command,text_orig,key,is_skippable,fit_mode,time,intro,volume,fadetime,a,r,g,b,block,image,screenadapt,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,index,text,jp_text,jp_name,text_match
name,只不过他最近嗓子不太好，说的话少了些吧......给了你们一点无声的压力。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,31,只不过他最近嗓子不太好，说的话少了些吧......给了你们一点无声的压力。,ただ彼は最近喉の調子が悪くて、あまり話さなくなっただけで……皆さんに無言のプレッシャーをかけているのかもしれません。,タルラ,True
name,至于我的状态......别担心。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,32,至于我的状态......别担心。,私の状態については……心配しないでください。,タルラ,True
name,嗯......只是想得比较多。我们的队伍离乌萨斯城市群越来越近，很多事也需要进一步的讨论，我会想得比较多一些才会给你这种感觉吧。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,33,嗯......只是想得比较多。我们的队伍离乌萨斯城市群越来越近，很多事也需要进一步的讨论，我会想得比较多一些才会给你这种感觉吧。,ええ……ただ考え事が多いだけです。私たちの隊はウサス市街地にどんどん近づいていて、多くの事をさらに話し合う必要があります。そのせいで、あなたにそのように感じられるのだと思います。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_080,avg_npc_078,1,,,,,,,,,,,,,,,34,,,,False
name,是啊，缺水少粮的，人手真不够用，再这样下去我们要耗不起了。,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,35,是啊，缺水少粮的，人手真不够用，再这样下去我们要耗不起了。,そうだな、水も食料も不足していて、人手が全然足りない。このままだと持ちこたえられない。,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_080,avg_npc_078,2,,,,,,,,,,,,,,,36,,,,False
name,是的，所以，我们必须更加注意外部各势力的动向。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,37,是的，所以，我们必须更加注意外部各势力的动向。,はい、だからこそ私たちは外部の勢力の動きにもっと注意を払わなければなりません。,タルラ,True
name,一方面是，我们要尽快联系上本地的感染者聚落和团体。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,38,一方面是，我们要尽快联系上本地的感染者聚落和团体。,一方で、地元の感染者たちの集落や団体と早急に連絡を取らなくてはなりません。,タルラ,True
name,另一方面，肯定有人会尝试捕捉我们的行踪......如果一个不小心落入圈套，所有人就都要和雪原告别了。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,39,另一方面，肯定有人会尝试捕捉我们的行踪......如果一个不小心落入圈套，所有人就都要和雪原告别了。,また他方で、必ず私たちの行動を捕捉しようとする者がいるでしょう……うっかり罠に落ちようものなら、皆が雪原に別れを告げることになります。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_080,avg_npc_078,1,,,,,,,,,,,,,,,40,,,,False
name,听着很糟。,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,41,听着很糟。,聞いただけで悪い話だな。,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_080,avg_npc_078,2,,,,,,,,,,,,,,,42,,,,False
name,当然很糟。不过只要我们缜密地规划接下来的路线，我们就不会走到那一步。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,43,当然很糟。不过只要我们缜密地规划接下来的路线，我们就不会走到那一步。,もちろん悪い状況です。でも私たちが慎重にこれからの道筋を計画すれば、その段階には至りません。,タルラ,True
name,......所以，减少损失才是当务之急。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,44,......所以，减少损失才是当务之急。,……だからこそ、被害を最小限に抑えることが最優先です。,タルラ,True
name,也许将我们的队伍分散开来会让我们的行动更隐蔽些，但这样一来通信就成了问题。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,45,也许将我们的队伍分散开来会让我们的行动更隐蔽些，但这样一来通信就成了问题。,隊を分散させれば行動は隠密になるかもしれませんが、通信が問題になります。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_080,avg_npc_078,1,,,,,,,,,,,,,,,46,,,,False
name,啊，是啊，那些抢来的乌萨斯的通讯设备，我们用不了，我们弄不到他们的发报设备。,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,47,啊，是啊，那些抢来的乌萨斯的通讯设备，我们用不了，我们弄不到他们的发报设备。,ああ、そうだ。奪ったウサスの通信機器は使えないし、彼らの送信設備は手に入らない。,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_080,avg_npc_078,2,,,,,,,,,,,,,,,48,,,,False
name,这会让我们的联络员和侦察员陷入不必要的危险之中。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,49,这会让我们的联络员和侦察员陷入不必要的危险之中。,そうすると、連絡役や偵察役が不必要な危険に晒されてしまいます。,タルラ,True
name,游击队密语的学习成本太高了，想配发一整套联络设备，我们就必须拿到原型机......,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,50,游击队密语的学习成本太高了，想配发一整套联络设备，我们就必须拿到原型机......,ゲリラの暗号を覚えるのはコストが高すぎます。連絡機器一式を配布したければ、プロトタイプを入手しなければ……,タルラ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,False
stopmusic,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,False
character,,,,,,,,,,,,,,,,avg_npc_037#2,,,,,,,,,,,,,,,,,54,,,,False
name,塔露拉......塔露拉！侦察员遇袭了！,,,,,,,,,,,,,,,雪怪小队队员,,,,,,,,,,,,,,,,,55,塔露拉......塔露拉！侦察员遇袭了！,タルラ……タルラ！偵察員が襲われました！,イエティ小隊隊員,True
character,,,,,,,,,,,,,,,,avg_npc_037#2,avg_npc_080,2,,,,,,,,,,,,,,,56,,,,False
name,这种小事，自己解决就......,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,57,这种小事，自己解决就......,そんな小さいことは自分で解決しろ……,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_037#2,,,,,,,,,,,,,,,,,58,,,,False
name,别吵，和以前不是一回事！连敌人是谁我们都没摸到，他就倒下去了！,,,,,,,,,,,,,,,雪怪小队队员,,,,,,,,,,,,,,,,,59,别吵，和以前不是一回事！连敌人是谁我们都没摸到，他就倒下去了！,騒ぐな、以前とは違う！敵が誰だかも分からないうちに彼は倒れた！,イエティ小隊隊員,True
name,直接找到然后准确地袭击了我们的侦察术师，这可不是什么普通感染者纠察队能做到的......！,,,,,,,,,,,,,,,雪怪小队队员,,,,,,,,,,,,,,,,,60,直接找到然后准确地袭击了我们的侦察术师，这可不是什么普通感染者纠察队能做到的......！,彼らは直接見つけ出し、正確に偵察術師を襲った。普通の感染者巡察隊にはできることではない……！,イエティ小隊隊員,True
playmusic,,$nervous_loop,,,,$nervous_intro,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,False
character,,,,,,,,,,,,,,,,avg_npc_078#4,,,,,,,,,,,,,,,,,62,,,,False
name,事关战友性命的事，没有小事。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,63,事关战友性命的事，没有小事。,仲間の命に関わることに、小さなことはありません。,タルラ,True
name,雪怪，带我去事发地点。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,64,雪怪，带我去事发地点。,イエティ、発生地点に案内してください。,タルラ,True
name,盾卫，我们也许遭遇了乌萨斯某个集团军的下属部队。跟我来。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,65,盾卫，我们也许遭遇了乌萨斯某个集团军的下属部队。跟我来。,盾衛、私たちはおそらくウサスのある集団軍の部隊に遭遇したのかもしれません。ついてきてください。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,66,,,,False
name,是！,,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,67,是！,はい！,盾衛,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,,,,,,,,,,,,,,,,,68,,,,False
name,记住，即使是先遣军也要万分小心，一旦处理不当，就会引来大规模的报复。一定要避免这种事的发生！,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,69,记住，即使是先遣军也要万分小心，一旦处理不当，就会引来大规模的报复。一定要避免这种事的发生！,覚えておいてください、先遣隊でも注意は最大限に。一度失敗すれば大規模な報復を招きます。絶対にそれを避けなければなりません！,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,70,,,,False
name,明白！,,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,71,明白！,了解！,盾衛,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,,,,,,,,,,,,,,,,,72,,,,False
name,传令兵，去通知爱国者先生！,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,73,传令兵，去通知爱国者先生！,伝令兵、パトリオットさんに連絡してください！,タルラ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,False
blocker,,,,,,,,2,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,75,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,False
background,,,,,,,,,,,,,,bg_snowconutry_1,coverall,,,,,,,,,,,,,,,,,,77,,,,False
blocker,,,,,,,,3,0,0,0,0,true,,,,,,,,,,,,,,,,,,,,78,,,,False
character,,,,,,,,,,,,,,,,avg_npc_037#2,,,,,,,,,,,,,,,,,79,,,,False
camerashake,,,,,,,,,,,,,false,,,,,,0.4,0,8,30,30,true,,,,,,,,,80,,,,False
name,去叫霜星大姊——呜！哦，咳......！,,,,,,,,,,,,,,,雪怪小队队员,,,,,,,,,,,,,,,,,81,去叫霜星大姊——呜！哦，咳......！,霜星姉さんを呼びに行け——うっ！あっ、咳……！,イエティ小隊隊員,True
character,,,,,,,,,,,,,,,,avg_npc_080,,,,,,,,,,,,,,,,,82,,,,False
name,孔德拉沙！！,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,83,孔德拉沙！！,コンドラシャ！！,感染者,True
name,你！,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,84,你！,おまえ！,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,85,,,,False
name,雪怪小弟！,,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,86,雪怪小弟！,イエティ小弟！,盾衛,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,False
character,,,,,,,,,,,,,,,,avg_npc_037#2,,,,,,,,,,,,,,,,,89,,,,False
camerashake,,,,,,,,,,,,,false,,,,,,0.4,0,8,30,30,true,,,,,,,,,90,,,,False
name,啊！！,,,,,,,,,,,,,,,雪怪小队队员,,,,,,,,,,,,,,,,,91,啊！！,あっ！！,イエティ小隊隊員,True
character,,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,92,,,,False
name,啊......！什么？！快，快把他放下来！把该死的枪拔出来！,,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,93,啊......！什么？！快，快把他放下来！把该死的枪拔出来！,ああ……！何だ？！早く、早く彼を下ろせ！くそったれの銃を抜け！,盾衛,True
name,（......黑色的长矛从他身上......长了出来？！）,,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,94,（......黑色的长矛从他身上......长了出来？！）,（……黒い長槍が彼の体から……生えてきた？！）,盾衛,True
name,（不会，不会......怎么会在这？！帝国豢养的孽物怎么会在这？！）,,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,95,（不会，不会......怎么会在这？！帝国豢养的孽物怎么会在这？！）,（まさか、まさか……どうしてここに？！帝国が飼いならした胎児がどうしてここに？！）,盾衛,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,False
name,嘶......,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,98,嘶......,シ――……,？？？,True
character,,,,,,,,,,,,,,,,avg_npc_080,,,,,,,,,,,,,,,,,99,,,,False
name,唔，呃......呃！,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,100,唔，呃......呃！,うっ、えっ……えっ！,感染者,True
name,装神弄鬼！,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,101,装神弄鬼！,インチキ野郎め！,感染者,True
name,天杀的没娘养的东西！上，剁了他！,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,102,天杀的没娘养的东西！上，剁了他！,この畜生！さあ、切り刻め！,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_080,avg_npc_058,2,,,,,,,,,,,,,,,103,,,,False
name,别去......！,,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,104,别去......！,行くな……！,盾衛,True
character,,,,,,,,,,,,,,,,avg_npc_080,avg_npc_058,1,,,,,,,,,,,,,,,105,,,,False
name,你干什么？你拦我干什么！,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,106,你干什么？你拦我干什么！,何をするんだ？俺を止めるな！,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_080,avg_npc_058,2,,,,,,,,,,,,,,,107,,,,False
name,你不知道我们......你不知道我们遇着了什么！你连他是什么都不知道还想上去送命！,,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,108,你不知道我们......你不知道我们遇着了什么！你连他是什么都不知道还想上去送命！,お前はわかっていない……俺たちが何に遭っているか知らないんだ！あいつが何なのかも知らずに命を捨てに行くのか！,盾衛,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,False
blocker,,,,,,,,1,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,111,,,,False
image,,,,,,,,0,,,,,,avg_8_29,,,,,,,,,,,0,0,1.1,1.1,,,,,112,,,,False
blocker,,,,,,,,1.5,0,,,,false,,,,,,,,,,,,,,,,,,,,113,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,False
imagetween,,,,,,,,,,,,,false,,,,,,15,,,,,,,,,,1.1,1.1,1,1,115,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,False
name,嘶......呼......,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,118,嘶......呼......,シ――……フ――……,？？？,True
character,,,,,,,,,,,,,,,,avg_npc_080,avg_npc_058,1,,,,,,,,,,,,,,,119,,,,False
name,你怕个屁？！我们人这么多！,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,120,你怕个屁？！我们人这么多！,何を怖がっているんだ？！こんなに人数いるんだぞ！,感染者,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,False
character,,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,122,,,,False
playsound,,$p_imp_blunt_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,False
camerashake,,,,,,,,,,,,,false,,,,,,0.2,10,12,30,90,true,,,,,,,,,124,,,,False
name,（将盾牌狠狠砸入地面）,,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,125,（将盾牌狠狠砸入地面）,（盾を力強く地面に叩きつける）,盾衛,True
character,,,,,,,,,,,,,,,,avg_npc_080,,,,,,,,,,,,,,,,,126,,,,False
name,呃？！,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,127,呃？！,うっ？！,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,128,,,,False
name,你想送死？！,,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,129,你想送死？！,死にたいのか？！,盾衛,True
name,......那是......,,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,130,......那是......,……それは……,盾衛,True
name,是**的乌萨斯的皇帝内卫！！,,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,131,是**的乌萨斯的皇帝内卫！！,まさしくウサスの皇帝内衛だ！！,盾衛,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,False
blocker,,,,,,,,2,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,133,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,False
image,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,False
blocker,,,,,,,,1,0,,,,true,,,,,,,,,,,,,,,,,,,,136,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,False
character,,,,,,,,1,,,,,true,,,avg_npc_077,,,,,,,,,,,,,,,,,138,,,,False
delay,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,False
name,......军团的盾卫也会自甘堕落。,,,,,,,,,,,,,,,皇帝内卫？,,,,,,,,,,,,,,,,,140,......军团的盾卫也会自甘堕落。,……軍団の盾衛でさえ自ら堕落することがある。,皇帝内衛？,True
name,规劝你们，现在自尽。,,,,,,,,,,,,,,,皇帝内卫？,,,,,,,,,,,,,,,,,141,规劝你们，现在自尽。,忠告しよう、今すぐ自決するがよい。,皇帝内衛？,True
character,,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,142,,,,False
name,各个盾卫，重整阵型！保护其他战士！,,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,143,各个盾卫，重整阵型！保护其他战士！,盾衛全員、陣形を整えろ！他の戦士を守れ！,盾衛,True
name,千万记住，千万记住！一点缺口都不要给他露！,,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,144,千万记住，千万记住！一点缺口都不要给他露！,絶対に忘れるな、少しも隙を見せるな！,盾衛,True
character,,,,,,,,,,,,,,,,avg_npc_077,,,,,,,,,,,,,,,,,145,,,,False
name,嘶......,,,,,,,,,,,,,,,皇帝内卫？,,,,,,,,,,,,,,,,,146,嘶......,シ――……,皇帝内衛？,True
name,恐惧漫溢在空气里。,,,,,,,,,,,,,,,皇帝内卫？,,,,,,,,,,,,,,,,,147,恐惧漫溢在空气里。,空気に恐怖が満ちている。,皇帝内衛？,True
name,你身边的感染者并没有准备好。,,,,,,,,,,,,,,,皇帝内卫？,,,,,,,,,,,,,,,,,148,你身边的感染者并没有准备好。,君の周りの感染者たちは準備ができていない。,皇帝内衛？,True
character,,,,,,,,,,,,,,,,avg_npc_080,,,,,,,,,,,,,,,,,149,,,,False
name,......我......,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,150,......我......,……僕は……,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_080,avg_npc_058,2,,,,,,,,,,,,,,,151,,,,False
name,别害怕！你越怕他，他越会杀你！,,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,152,别害怕！你越怕他，他越会杀你！,怖がるな！恐怖は相手の武器になる！,盾衛,True
name,他什么时候都可能动手，睁大眼睛，别移开视线！！,,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,153,他什么时候都可能动手，睁大眼睛，别移开视线！！,奴はいつでも動こうとしている。目を大きく見開いて視線をそらすな！！,盾衛,True
character,,,,,,,,,,,,,,,,avg_npc_077,,,,,,,,,,,,,,,,,154,,,,False
name,......,,,,,,,,,,,,,,,皇帝内卫？,,,,,,,,,,,,,,,,,155,......,……,皇帝内衛？,True
name,又一次无功而返。应该拔除这三座城市的信息网。毫无用处。,,,,,,,,,,,,,,,皇帝内卫？,,,,,,,,,,,,,,,,,156,又一次无功而返。应该拔除这三座城市的信息网。毫无用处。,また失敗に終わった。この三つの都市の情報網は排除すべきだ。無用の長物。,皇帝内衛？,True
name,感染者。,,,,,,,,,,,,,,,皇帝内卫？,,,,,,,,,,,,,,,,,157,感染者。,感染者。,皇帝内衛？,True
character,,,,,,,,,,,,,,,,avg_npc_080,,,,,,,,,,,,,,,,,158,,,,False
name,呃，呃......！你神气什么！你......,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,159,呃，呃......！你神气什么！你......,うっ、うっ……！何を威張っている！おまえ……,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_077,,,,,,,,,,,,,,,,,160,,,,False
name,向当地驻军投降，或者我割下并带走你们的口鼻。,,,,,,,,,,,,,,,皇帝内卫？,,,,,,,,,,,,,,,,,161,向当地驻军投降，或者我割下并带走你们的口鼻。,この地の駐屯軍に降伏するか、私が君たちの口と鼻を切り取って持ち去るかだ。,皇帝内衛？,True
character,,,,,,,,,,,,,,,,avg_npc_080,,,,,,,,,,,,,,,,,162,,,,False
name,割，割......割嘴和鼻子，那不就是......,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,163,割，割......割嘴和鼻子，那不就是......,切り取る、切り取る……口と鼻を切り取る、つまり……,感染者,True
name,......巫怪......毁脸巫怪！那不是......那不是故事吗......！,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,164,......巫怪......毁脸巫怪！那不是......那不是故事吗......！,……ブグリ……顔を壊すブグリ！あれは……あれは話じゃないか……！,感染者,True
name,就是他们？！就是他们吗？杀了人带走他们面孔，留下一林子无名尸体？！,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,165,就是他们？！就是他们吗？杀了人带走他们面孔，留下一林子无名尸体？！,あいつらか？！そうなのか？人を殺して顔を持ち去り、名もなき死体を残すって？！,感染者,True
name,他们要活多少年......这传说可......只......只可能是巫怪！,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,166,他们要活多少年......这传说可......只......只可能是巫怪！,彼らは何年も生き続ける……この伝説は……ただ……ただのブグリに違いない！,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_080,avg_npc_058,2,,,,,,,,,,,,,,,167,,,,False
name,不，他们不是传说也不是精怪故事里的邪魔！他们只是杀手和刽子手！,,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,168,不，他们不是传说也不是精怪故事里的邪魔！他们只是杀手和刽子手！,違う、彼らは伝説でも妖怪物語の悪霊でもない！ただの殺し屋で処刑人だ！,盾衛,True
character,,,,,,,,,,,,,,,,avg_npc_080,avg_npc_058,1,,,,,,,,,,,,,,,169,,,,False
name,我们怎么可能对付得了巫怪？！我们凭什么和他们斗，我们只是些人！只是些普通人！,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,170,我们怎么可能对付得了巫怪？！我们凭什么和他们斗，我们只是些人！只是些普通人！,俺たちがブグリにかなうわけがない！どうして戦える？俺たちはただの人間だ！普通の人間だ！,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_077,,,,,,,,,,,,,,,,,171,,,,False
name,感染者自称是人......普通人。,,,,,,,,,,,,,,,皇帝内卫？,,,,,,,,,,,,,,,,,172,感染者自称是人......普通人。,感染者は自分たちを人間……普通の人間だと称する。,皇帝内衛？,True
