command,text_orig,key,is_skippable,fit_mode,a,r,g,b,fadetime,block,image,screenadapt,intro,volume,name,time,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,afrom,rfrom,gfrom,bfrom,Delay,effect,keep,amount,index,text,jp_text,jp_name,text_match
name,虽然剩下四分之一的游击队已经能够打掉塔露拉那些蠢笨的卫队，但......,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,16,虽然剩下四分之一的游击队已经能够打掉塔露拉那些蠢笨的卫队，但......,残り4分の1のゲリラ部隊でも、タルラの愚かな衛兵たちを倒せるが……,シールドガード,True
name,......在这时候，多一个帮手，就能多抢占一些胜机。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,17,......在这时候，多一个帮手，就能多抢占一些胜机。,……この時、助けが一人でも増えれば、それだけ勝機が広がる。,シールドガード,True
name,源石祭坛已经失效。我们的魔族佬也不错，但大尉那种精怪传说里一般的神力，他们还是做不到的。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,18,源石祭坛已经失效。我们的魔族佬也不错，但大尉那种精怪传说里一般的神力，他们还是做不到的。,源石の祭壇はもう機能していない。俺たちの魔族も悪くはないが、大尉のような伝説の神力には及ばない。,シールドガード,True
name,我们需要更多火力。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,19,我们需要更多火力。,俺たちにはもっと火力が必要だ。,シールドガード,True
name,谁能点头同意，或是摇头否定？你们的领袖就是那只卡特斯吗？还是那只菲林？你们同样有力，都能承担大任。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,20,谁能点头同意，或是摇头否定？你们的领袖就是那只卡特斯吗？还是那只菲林？你们同样有力，都能承担大任。,誰が首を縦に振るのか、あるいは横に振るのか？君らのリーダーはあのカッツか？それともあのフェリンか？どちらも力があり、大役を担える。,シールドガード,True
character,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,False
name,问阿米娅。我只是罗德岛的干员。,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,,,22,问阿米娅。我只是罗德岛的干员。,アーミヤに聞いてください。私はロドスのオペレーターにすぎません。,ローズマリー,True
character,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,False
name,卡特斯，你同意吗？,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,24,卡特斯，你同意吗？,カッツ、同意するか？,シールドガード,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,False
name,先生，如果你所代表的整合运动，依然是个以主张救助感染者为第一优先目标的组织，,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,26,先生，如果你所代表的整合运动，依然是个以主张救助感染者为第一优先目标的组织，,あなたが代表する統合運動が、今も感染者の救済を最優先とする組織なら、,アーミヤ,True
name,而不是代表着乌萨斯某种国家政治力量的感染者团体......我们于公于私都会同意。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,27,而不是代表着乌萨斯某种国家政治力量的感染者团体......我们于公于私都会同意。,ウルサスの国家的な政治勢力としての感染者団体でないのなら……公私ともに我々は同意します。,アーミヤ,True
name,但是......我害怕......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,28,但是......我害怕......,でも……私は怖い……,アーミヤ,True
character,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,False
name,害怕什么？,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,30,害怕什么？,何が怖いんだ？,シールドガード,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,False
name,整合运动与我们之间的矛盾和既有暴力事件的创伤，在这一时半刻是无法抹平的。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,32,整合运动与我们之间的矛盾和既有暴力事件的创伤，在这一时半刻是无法抹平的。,統合運動との矛盾やすでに起きた暴力の傷は、今すぐに消えるものではありません。,アーミヤ,True
name,我们可以摆出一副愿意原谅罪行或者乞求宽恕的态度，但那是对真正受害者的不尊重。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,33,我们可以摆出一副愿意原谅罪行或者乞求宽恕的态度，但那是对真正受害者的不尊重。,罪を許す、または許しを乞う姿勢を取ることはできますが、それは本当の被害者への敬意ではありません。,アーミヤ,True
name,尤其是......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,34,尤其是......,とくに……,アーミヤ,True
character,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,False
name,你们整合运动杀害了我的朋友。我们刚刚杀死了你们尊敬的人。,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,,,36,你们整合运动杀害了我的朋友。我们刚刚杀死了你们尊敬的人。,あなたたち統合運動は私の友達を殺した。私たちもさっき、あなたたちが敬う人を殺した。,ローズマリー,True
character,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,False
name,（轻哼）,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,38,（轻哼）,（鼻で笑う）,シールドガード,True
character,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,False
name,我能明白......我杀了你们的家人，对不对？,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,,,40,我能明白......我杀了你们的家人，对不对？,わかる……私はあなたたちの家族を殺したのでしょう？,ローズマリー,True
name,这不可能原谅的。,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,,,41,这不可能原谅的。,こんなこと、許されるはずがない。,ローズマリー,True
character,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,False
name,但你们是感染者！,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,43,但你们是感染者！,だが、君たちは感染者だろう！,シールドガード,True
name,如果我方有感染者不同意你们的加入，那就是违抗命令。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,44,如果我方有感染者不同意你们的加入，那就是违抗命令。,もし味方の感染者が君たちの参加に同意しないなら、それは命令違反になる。,シールドガード,True
name,现在的命令，是摧毁塔露拉和她麾下的恶棍。违抗命令的，都会被处决。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,45,现在的命令，是摧毁塔露拉和她麾下的恶棍。违抗命令的，都会被处决。,今の命令は、タルラとその悪党どもを排除することだ。命令に背く者は全員処刑される。,シールドガード,True
character,,,,,,,,,,,,,,,avg_npc_042,,avg_npc_058,1,,,,,,,,,,,,,,,,,,,,,,,46,,,,False
name,你想放下？你能......放下？,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,,,47,你想放下？你能......放下？,あなたは乗り越えるつもり？本当に……乗り越えられるの？,ローズマリー,True
character,,,,,,,,,,,,,,,avg_npc_042,,avg_npc_058,2,,,,,,,,,,,,,,,,,,,,,,,48,,,,False
name,是的，你杀了我们的亲人。你杀了我们的指挥官，我们的领袖和榜样，我们的大尉。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,49,是的，你杀了我们的亲人。你杀了我们的指挥官，我们的领袖和榜样，我们的大尉。,そうだ、お前は俺たちの家族を殺した。司令官も、リーダーも、模範も、大尉も。,シールドガード,True
name,但我们不会因为你这么做了就动手。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,50,但我们不会因为你这么做了就动手。,だが、だからといってお前には手を出さない。,シールドガード,True
character,,,,,,,,,,,,,,,avg_npc_042,,avg_npc_058,1,,,,,,,,,,,,,,,,,,,,,,,51,,,,False
name,你们不想报仇吗？,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,,,52,你们不想报仇吗？,復讐したくないの？,ローズマリー,True
character,,,,,,,,,,,,,,,avg_npc_042,,avg_npc_058,2,,,,,,,,,,,,,,,,,,,,,,,53,,,,False
name,当然想。别逼我一遍又一遍地解释，菲林！听我说完。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,54,当然想。别逼我一遍又一遍地解释，菲林！听我说完。,もちろんしたい。何度も説明させるな、フェリン！最後まで聞け。,シールドガード,True
name,但是，在更高尚的目标之前，我们个人的仇恨不值一提。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,55,但是，在更高尚的目标之前，我们个人的仇恨不值一提。,しかし、もっと高い目標の前では、個人の憎しみなんて取るに足らない。,シールドガード,True
name,有更值得我们去恨的东西。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,56,有更值得我们去恨的东西。,もっと憎むべき存在がある。,シールドガード,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,False
name,恨......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,58,恨......,憎しみ……,アーミヤ,True
character,,,,,,,,,,,,,,,avg_npc_042,,avg_npc_058,2,,,,,,,,,,,,,,,,,,,,,,,59,,,,False
name,菲林，你知道的吧？你身边这只卡特斯，就像大尉说的那样，还是个充满幻想的孩子。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,60,菲林，你知道的吧？你身边这只卡特斯，就像大尉说的那样，还是个充满幻想的孩子。,フェリン、分かっているだろ？そばのカッツは、大尉が言ったように、まだ幻想を抱く子どもだ。,シールドガード,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,False
name,——,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,62,——,——,アーミヤ,True
character,,,,,,,,,,,,,,,avg_npc_042,,avg_npc_058,1,,,,,,,,,,,,,,,,,,,,,,,63,,,,False
name,不准这么说阿米娅。,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,,,64,不准这么说阿米娅。,アーミヤにそんなこと言わないで。,ローズマリー,True
character,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,False
name,哈，你相信她那套教化别人的傲慢想法，那就照她说的去做！,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,66,哈，你相信她那套教化别人的傲慢想法，那就照她说的去做！,ハッ、彼女の押し付けがましい考えを信じるならその通りにやればいい！,シールドガード,True
name,你会被人背叛，到死也不自知，你也救不了身边的人。看起来高尚，实际上不管用。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,67,你会被人背叛，到死也不自知，你也救不了身边的人。看起来高尚，实际上不管用。,お前は裏切られても気づかず、周りの者も救えない。見かけは立派でも、実際は何の役にも立たない。,シールドガード,True
name,而我们，我们相信大尉，他一路走来，向我们展示了一条不同以往乌萨斯无数争斗的道路......,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,68,而我们，我们相信大尉，他一路走来，向我们展示了一条不同以往乌萨斯无数争斗的道路......,だが俺たちは大尉を信じてきた。彼は数々のウルサスの争いとは違う道を示してくれた……,シールドガード,True
name,一条高尚的复仇与毁灭之路。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,69,一条高尚的复仇与毁灭之路。,崇高なる復讐と破壊の道だ。,シールドガード,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,False
name,毁灭之路？！,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,71,毁灭之路？！,破壊の道？！」,アーミヤ,True
character,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,False
name,毁灭敌人。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,73,毁灭敌人。,敵を滅ぼす。,シールドガード,True
name,认清你的敌人，然后毁灭他们！,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,74,认清你的敌人，然后毁灭他们！,敵を見極め、そして滅ぼすんだ！,シールドガード,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,False
name,可是，可是，谁是敌人？散播恨意，一味施暴，引起的战争，被卷入的悲剧，这难道好吗？,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,76,可是，可是，谁是敌人？散播恨意，一味施暴，引起的战争，被卷入的悲剧，这难道好吗？,でも……でも、誰が敵なの？憎しみを広め、暴力を振るうことで戦争が生まれ、悲劇に巻き込まれる――それが本当にいいことなの？,アーミヤ,True
name,这没让你们失去自己的朋友和战友吗？乌萨斯不也......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,77,这没让你们失去自己的朋友和战友吗？乌萨斯不也......,それで君たちは仲間や友を失わなかったの？ウルサスだって……,アーミヤ,True
character,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,False
name,先皇许诺过，总有一天这场战争会结束！而我们也笃信他伟大的愿景。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,79,先皇许诺过，总有一天这场战争会结束！而我们也笃信他伟大的愿景。,先皇はいつかこの戦争は終わると約束した！俺たち全員、その偉大な夢を信じている。,シールドガード,True
name,你做的那些才让我看不到头。讲道理？他们不讲道理。有的人就是混账，有的恶棍就是该杀！,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,80,你做的那些才让我看不到头。讲道理？他们不讲道理。有的人就是混账，有的恶棍就是该杀！,お前のやり方には終わりが見えない。理屈を説くのか？やつらは理屈を知らない。どうしようもない奴や悪党は殺さなきゃならない！,シールドガード,True
name,菲林，听着！,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,81,菲林，听着！,フェリン、聞け！,シールドガード,True
character,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,False
name,唔。,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,,,83,唔。,う……。,ローズマリー,True
character,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,False
name,斩杀仇敌不会让你痛快，原因很简单，因为这事儿还没完。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,85,斩杀仇敌不会让你痛快，原因很简单，因为这事儿还没完。,仇敵を斬ったところで気は晴れない。理由は簡単だ、まだ終わっていないからだ。,シールドガード,True
name,要做就做到底，要杀就杀干净，把这个国家里的龌龊事情一扫而空，看着白茫茫一片的雪原......这时候你才会高兴！,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,86,要做就做到底，要杀就杀干净，把这个国家里的龌龊事情一扫而空，看着白茫茫一片的雪原......这时候你才会高兴！,やるなら最後までやる。殺すなら徹底的に殺し、この国の汚れを一掃して、真っ白な雪原を見る……その時こそ嬉しいんだ！,シールドガード,True
name,想想吧，我们去把他们杀了。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,87,想想吧，我们去把他们杀了。,考えてみろ、俺たちで連中を倒すんだ。,シールドガード,True
name,把那个指挥塔上害死我们多少同胞的阴谋家杀了，把各个城市作威作福的统治者杀了，把各个军团的废物和叛徒全都杀了！,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,88,把那个指挥塔上害死我们多少同胞的阴谋家杀了，把各个城市作威作福的统治者杀了，把各个军团的废物和叛徒全都杀了！,指揮塔で仲間を殺した陰謀家を倒し、都市で好き勝手した支配者を倒し、軍団の役立たずや裏切り者も全部倒す！,シールドガード,True
name,最后再把现在皇帝身边那些用花言巧语祸害乌萨斯的群臣，全都杀了！,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,89,最后再把现在皇帝身边那些用花言巧语祸害乌萨斯的群臣，全都杀了！,最後は皇帝のそばでウルサスを害している大臣も皆殺しだ！,シールドガード,True
name,回头看看，再回头看看！你会看到那些该活着的人都活下来了，他们安居乐业，再也不用为谁送命为谁挨饿。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,90,回头看看，再回头看看！你会看到那些该活着的人都活下来了，他们安居乐业，再也不用为谁送命为谁挨饿。,振り返ってみろ、再び振り返れ！生き残るべき人々が生きて、平和に暮らし、誰かのために死んだり飢えたりしなくてよくなるんだ。,シールドガード,True
name,你也是在这样做的，对不对？,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,91,你也是在这样做的，对不对？,お前も同じことをしてるだろ？,シールドガード,True
character,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,False
name,......,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,,,93,......,……,ローズマリー,True
character,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,False
name,谁害死你的朋友，你就杀掉谁！,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,95,谁害死你的朋友，你就杀掉谁！,お前の友達を殺したやつがいれば、そいつを殺せ！,シールドガード,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,False
name,你们想直接杀死塔露拉。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,False
character,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,False
name,那当然！,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,False
name,不然呢？不杀她，大尉能安息吗？我们对得起叶莲娜小姐和她的雪怪吗，我们无数的整合运动兄弟们就这么被她怂恿着送了命吗？！,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,False
name,等一个圣人，等一个好皇帝，等一个英雄......我们厌倦了。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,False
name,等到了又怎么样？,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,False
name,伟大的皇帝陨落了，他最宝贵的遗产无人继承，所有人都在为了那些微不足道的利益勾心斗角，撕裂这个国家，挤压他的人民！,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,False
name,圣人被活埋了，英雄刚才就已经死在我们面前了！,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,False
name,这哪里是你们能理解的事情？,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,False
name,但你们有能理解的。菲林，你失去过亲人吗？,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,False
character,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,False
name,......,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,False
character,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,False
name,你的眼神已经把答案告诉我了。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,False
character,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,False
name,我不想和你说话。,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,False
character,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,False
name,但你会听的，菲林。你有着战士的眼神。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,False
blocker,,,,,1,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,False
background,,,,,,,,,,,bg_topout,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,False
blocker,,,,,0,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,False
character,,,,,,,,,,,,,,,avg_npc_016,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,False
name,封闭层还在上升......,,,,,,,,,,,,,,幻影弩手,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,False
character,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,False
name,这东西没见停下。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,avg_npc_058,1,,,,,,,,,,,,,,,,,,,,,,,122,,,,False
name,要调谐源石传动需要不少时间。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,avg_npc_058,2,,,,,,,,,,,,,,,,,,,,,,,124,,,,False
name,那你们最好快点。这门如果阖上，那乌萨斯公义的大门，可能是又要等上有几百年才能再开启了。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,avg_npc_058,1,,,,,,,,,,,,,,,,,,,,,,,126,,,,False
name,游击队不只是在为了感染者而战。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,avg_npc_058,2,,,,,,,,,,,,,,,,,,,,,,,128,,,,False
name,当然不只是！,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,False
name,感染者只是个理由。想要的话，多少都有！,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,False
name,我们走上雪原只有一个原因，那就是乌萨斯破坏了公平和秩序。大尉说了，感染者原本不必这样子，这只是现在乌萨斯的手段！,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,False
name,想象一下，一场大远征......大尉带我们走到这里，怎么会只是为了感染者？,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,False
name,我们从边疆来到边疆，绕过坚固的要塞城市，夺下帝国命脉的控制权，联合各种力量，长驱直入，刺向腐朽帝国的心脏......！,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,False
name,卡特斯，你难道没想过吗？你可不只是因为变成感染者才变成这样。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,False
name,如果他们公平地对待所有人，你可能不用变成感染者的。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,False
