command,text_orig,key,is_skippable,fit_mode,time,intro,volume,a,r,g,b,fadetime,block,image,screenadapt,name,name2,focus,index,text,jp_text,jp_name,text_match
name,这原本又是哪个贵族老爷的领地？,,,,,,,,,,,,,,,感染者战士,,,17,这原本又是哪个贵族老爷的领地？,ここは元々どの貴族様の領地だったんだ？,感染者戦士,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,avg_npc_080,1,18,,,,False
name,涅瓦山男爵，乱刀刺死。数百里内所有能继承他遗产的人也都被连根拔除了。,,,,,,,,,,,,,,,塔露拉,,,19,涅瓦山男爵，乱刀刺死。数百里内所有能继承他遗产的人也都被连根拔除了。,ネヴァ山男爵だよ。滅多刺しにされて亡くなった。数百里内で彼の遺産を継げる者も、皆根絶やしにされた。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,avg_npc_080,2,20,,,,False
name,谁做的？够狠的。,,,,,,,,,,,,,,,感染者战士,,,21,谁做的？够狠的。,誰の仕業だ？ずいぶん徹底してるな。,感染者戦士,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,avg_npc_080,1,22,,,,False
name,保皇党。第一集团军里有不少这种人。,,,,,,,,,,,,,,,塔露拉,,,23,保皇党。第一集团军里有不少这种人。,皇帝派さ。第一集団軍にはこういう人間が結構いる。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,avg_npc_080,2,24,,,,False
name,我不明白了，塔露拉，前几天你不是说，大叛乱是现在的皇帝和当兵的贵族老爷们干起来了吗？,,,,,,,,,,,,,,,感染者战士,,,25,我不明白了，塔露拉，前几天你不是说，大叛乱是现在的皇帝和当兵的贵族老爷们干起来了吗？,よく分からないぞ、タルラ。数日前、お前は大反乱は今の皇帝と兵役についてる貴族たちの仕業だって言ってなかったか？,感染者戦士,True
name,那为什么会有部队帮着皇帝杀贵族？,,,,,,,,,,,,,,,感染者战士,,,26,那为什么会有部队帮着皇帝杀贵族？,なのに、どうして軍隊が皇帝に協力して貴族を殺すんだ？,感染者戦士,True
character,,,,,,,,,,,,,,,,avg_npc_078,,,27,,,,False
name,大叛乱时期主导叛乱的，正是在上一个时代......那个乌萨斯不断对外扩张的时代里，占尽好处的贵族将领们。,,,,,,,,,,,,,,,塔露拉,,,28,大叛乱时期主导叛乱的，正是在上一个时代......那个乌萨斯不断对外扩张的时代里，占尽好处的贵族将领们。,大反乱を主導したのは、前の時代……ウルサスが絶えず対外拡張を続けていた時代に、一番得をした貴族の将軍たちだった。,タルラ,True
name,新皇登基了以后，自然要让这些人把他们吞进去的资源和城市、居民都吐出来。,,,,,,,,,,,,,,,塔露拉,,,29,新皇登基了以后，自然要让这些人把他们吞进去的资源和城市、居民都吐出来。,新しい皇帝が即位した後、当然、こういった者たちから奪った資源や都市、市民を取り戻させようとした。,タルラ,True
name,当时，乌萨斯的军队大多处在贵族将领的控制之下，但是保皇党也很聪明，少一张嘴多一份钱。,,,,,,,,,,,,,,,塔露拉,,,30,当时，乌萨斯的军队大多处在贵族将领的控制之下，但是保皇党也很聪明，少一张嘴多一份钱。,当時のウルサスの軍は大半が貴族の将軍の支配下にあったが、皇帝派も抜け目なく、分け前が減れば自分の分け前が増えると考えていた。,タルラ,True
name,杀了那些贵族，钱就进了自己的口袋，虽然风险很大，他们却也还算有冒险的资本。,,,,,,,,,,,,,,,塔露拉,,,31,杀了那些贵族，钱就进了自己的口袋，虽然风险很大，他们却也还算有冒险的资本。,貴族を殺してしまえば、その財産は自分たちのものになる。リスクは大きいが、それだけの度胸もあったんだ。,タルラ,True
name,所以大叛乱时期，除了明哲保身的各大城市，举兵叛乱的家族遭受的最严重的打击，可能都是保皇党一手促成的。,,,,,,,,,,,,,,,塔露拉,,,32,所以大叛乱时期，除了明哲保身的各大城市，举兵叛乱的家族遭受的最严重的打击，可能都是保皇党一手促成的。,だから大反乱の時代、身を守るために動いた大都市以外は、反乱を起こした家族は一番手ひどい打撃を受けた。それも皇帝派が仕組んだものだった。,タルラ,True
name,这么说。如果是叛军在大叛乱里取得了战争的优势。,,,,,,,,,,,,,,,塔露拉,,,33,这么说。如果是叛军在大叛乱里取得了战争的优势。,つまり、もし反乱軍が大反乱で優勢を取っていたなら……,タルラ,True
name,那结果只可能是保皇党被吊死，皇帝被软禁，被迫同意军队里这些浑身冒着酸臭气味的老贵族的特权。,,,,,,,,,,,,,,,塔露拉,,,34,那结果只可能是保皇党被吊死，皇帝被软禁，被迫同意军队里这些浑身冒着酸臭气味的老贵族的特权。,結果は、皇帝派が絞首刑にされ、皇帝は軟禁され、軍隊の中にいるくさい貴族たちの特権を無理やり認めさせられるだけだったろう。,タルラ,True
name,各个大公和诸集团军会把乌萨斯分割成好几块分别统治，至少暗地里肯定这么来。,,,,,,,,,,,,,,,塔露拉,,,35,各个大公和诸集团军会把乌萨斯分割成好几块分别统治，至少暗地里肯定这么来。,各大公と軍団はウルサスをいくつかの部分に分割して、それぞれが統治する。少なくとも裏では確実にそうなっていただろう。,タルラ,True
name,而且，现实地说，在大叛乱中和事情结束后节节高升的青年军官，可别以为他们都是向着新皇帝。他们可能只是向着钱。,,,,,,,,,,,,,,,塔露拉,,,36,而且，现实地说，在大叛乱中和事情结束后节节高升的青年军官，可别以为他们都是向着新皇帝。他们可能只是向着钱。,それに現実的に言えば、大反乱やその後に急速に出世した若い将校たちも、みんなが新皇帝に忠誠を誓っていると思わない方がいい。彼らはただ金に向かっていた可能性だってある。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,avg_npc_080,2,37,,,,False
name,......懂了。说到底还是为了钱打仗。,,,,,,,,,,,,,,,感染者战士,,,38,......懂了。说到底还是为了钱打仗。,……分かったよ。結局、金のための戦争ってわけだ。,感染者戦士,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,avg_npc_080,1,39,,,,False
name,没错。,,,,,,,,,,,,,,,塔露拉,,,40,没错。,その通りだ。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,avg_npc_080,2,41,,,,False
name,哈，你是什么事儿都答得上来吗，塔露拉？,,,,,,,,,,,,,,,感染者战士,,,42,哈，你是什么事儿都答得上来吗，塔露拉？,はは、お前って何でも答えられるんだな、タルラ？,感染者戦士,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,avg_npc_080,1,43,,,,False
name,......教我这些东西的人傲慢到根本不在乎我学了多少。我知道的那些，随口说出来肯定还是可以的。,,,,,,,,,,,,,,,塔露拉,,,44,......教我这些东西的人傲慢到根本不在乎我学了多少。我知道的那些，随口说出来肯定还是可以的。,……私にこういうことを教えた人は、私がいくら覚えたかなんて全く気にしないほど傲慢だった。知ってることなら即答できるさ。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,avg_npc_080,2,45,,,,False
name,得了吧，你可真够聪明的。来这是为了什么？你都说了，能住人的地方早都没了。,,,,,,,,,,,,,,,感染者战士,,,46,得了吧，你可真够聪明的。来这是为了什么？你都说了，能住人的地方早都没了。,まったく、お前は本当に頭が切れるよ。で、ここに来た理由は何だ？人が住める場所なんてもう残ってないんだろ？,感染者戦士,True
name,你这几天是怎么从那些人的疯话里听出来......听出来纠察队在这里的？,,,,,,,,,,,,,,,感染者战士,,,47,你这几天是怎么从那些人的疯话里听出来......听出来纠察队在这里的？,この数日間、どうやってあの人たちの馬鹿げた話から……巡察隊がここにいるって分かったんだ？,感染者戦士,True
character,,,,,,,,,,,,,,,,avg_npc_078,,,48,,,,False
name,周边的各个村庄都打算迁移，如果不是天灾要来了，那就只有一个原因。,,,,,,,,,,,,,,,塔露拉,,,49,周边的各个村庄都打算迁移，如果不是天灾要来了，那就只有一个原因。,周囲の村がどこも移転を考えている。もし天災が来るわけじゃないなら、理由は一つしかない。,タルラ,True
name,是这些腐败的纠察队进驻了。可这要是某支部队经过，村庄是不敢走的。,,,,,,,,,,,,,,,塔露拉,,,50,是这些腐败的纠察队进驻了。可这要是某支部队经过，村庄是不敢走的。,腐敗した巡察隊が駐屯したんだ。だが、ただの軍隊が通過するだけなら、村はわざわざ逃げだしはしない。,タルラ,True
name,大概是因为收获季刚过吧。纠察队挑这个时候进行例行搜查，不过是看准了税吏还没进村。,,,,,,,,,,,,,,,塔露拉,,,51,大概是因为收获季刚过吧。纠察队挑这个时候进行例行搜查，不过是看准了税吏还没进村。,きっと収穫期が終わったばかりだからだ。巡察隊はこのタイミングで定例の捜査をしているが、ただ税吏がまだ村に来ていないのを狙っているだけ。,タルラ,True
name,最近的还在运作的城市，舒拉茨堡，是个轻工业为主的城市，停靠在这里最多只是想要采购资源。,,,,,,,,,,,,,,,塔露拉,,,52,最近的还在运作的城市，舒拉茨堡，是个轻工业为主的城市，停靠在这里最多只是想要采购资源。,近くでまだ機能している都市、シュラーツブルクは軽工業中心の都市で、ここに立ち寄るとしても資源を買い付けるためくらいだ。,タルラ,True
name,附近几个村庄大多没有地主保护，腐败的纠察队千里迢迢赶到这里，一定是看中了有油水可捞。,,,,,,,,,,,,,,,塔露拉,,,53,附近几个村庄大多没有地主保护，腐败的纠察队千里迢迢赶到这里，一定是看中了有油水可捞。,近くの村の多くには地主の保護がなく、腐敗した巡察隊が遠路はるばるやって来たのは、間違いなく何かおいしい思いができるからだ。,タルラ,True
name,......原本只是在大叛乱之后组织起来搜捕感染者的流氓，现在都成了横行乡野无恶不作的老爷了。,,,,,,,,,,,,,,,塔露拉,,,54,......原本只是在大叛乱之后组织起来搜捕感染者的流氓，现在都成了横行乡野无恶不作的老爷了。,……元々は大反乱後に感染者を捜索するために組織されたゴロツキたちが、今や田舎でやりたい放題の権力者に成り下がっている。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_080,,,55,,,,False
name,那是得打掉他们。我们在附近过的这段日子会安生很多。该打。,,,,,,,,,,,,,,,感染者战士,,,56,那是得打掉他们。我们在附近过的这段日子会安生很多。该打。,そいつらを倒さなきゃな。そうすればこの辺りでの暮らしもだいぶ楽になる。やるべきだ。,感染者戦士,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,avg_npc_080,1,57,,,,False
name,我们没那个本事。,,,,,,,,,,,,,,,塔露拉,,,58,我们没那个本事。,私たちにはそんな力はない。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,avg_npc_080,2,59,,,,False
name,啊？那我们在这是要干什么？,,,,,,,,,,,,,,,感染者战士,,,60,啊？那我们在这是要干什么？,え？じゃあ俺たちはここで何をするんだ？,感染者戦士,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,avg_npc_080,1,61,,,,False
name,——“盾”。“盾”要进攻这个哨站。,,,,,,,,,,,,,,,塔露拉,,,62,——“盾”。“盾”要进攻这个哨站。,――「盾」だ。「盾」はこの哨所を攻撃するんだ。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,avg_npc_080,2,63,,,,False
name,......游击队？,,,,,,,,,,,,,,,感染者战士,,,64,......游击队？,……ゲリラ隊？,感染者戦士,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,avg_npc_080,1,65,,,,False
name,是的。,,,,,,,,,,,,,,,塔露拉,,,66,是的。,そうだ。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,avg_npc_080,2,67,,,,False
name,感染者的游击队？！那可是......皇帝在上......,,,,,,,,,,,,,,,感染者战士,,,68,感染者的游击队？！那可是......皇帝在上......,感染者のゲリラ隊だって？！そりゃあ……天にも届けよ……,感染者戦士,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,avg_npc_080,1,69,,,,False
name,想联络上他们并不容易，我们追了三个月的消息，现在总算捞到了机会。,,,,,,,,,,,,,,,塔露拉,,,70,想联络上他们并不容易，我们追了三个月的消息，现在总算捞到了机会。,彼らと連絡を取るのは簡単じゃない。私たちは三ヶ月間も情報を追い続けて、ようやくこのチャンスをつかんだんだ。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,avg_npc_080,2,71,,,,False
name,你前几天说我们在找另一帮人我还没在意，结果你真的在找......在找游击队。,,,,,,,,,,,,,,,感染者战士,,,72,你前几天说我们在找另一帮人我还没在意，结果你真的在找......在找游击队。,数日前、お前は別の連中を探してるって言ってたけど、まさか本当に……ゲリラ隊を探してたのか。,感染者戦士,True
name,但，这，你联系上南方城市里的感染者都很轻松，想联系上他们倒真有这么难？,,,,,,,,,,,,,,,感染者战士,,,73,但，这，你联系上南方城市里的感染者都很轻松，想联系上他们倒真有这么难？,でも、南方の都市の感染者とは簡単に連絡取れたろ？彼らと繋がるのはそんなに難しいものなのか？,感染者戦士,True
character,,,,,,,,,,,,,,,,avg_npc_078,,,74,,,,False
name,想在城市里生存，得靠有活力的情报和合作。,,,,,,,,,,,,,,,塔露拉,,,75,想在城市里生存，得靠有活力的情报和合作。,都市で生き残るには、しっかりした情報と協力が必要だ。,タルラ,True
name,想在雪原上生存，依靠的却是坚实的战术和没法被乌萨斯侦察兵预测的生活方式。,,,,,,,,,,,,,,,塔露拉,,,76,想在雪原上生存，依靠的却是坚实的战术和没法被乌萨斯侦察兵预测的生活方式。,雪原で生きるなら、確かな戦術とウルサスの斥候に予測されない暮らし方が要る。,タルラ,True
name,感染者也有不少信使，感染者还有自己传达信号的方式和渠道。,,,,,,,,,,,,,,,塔露拉,,,77,感染者也有不少信使，感染者还有自己传达信号的方式和渠道。,感染者にも多くの使者がいて、感染者だけの伝達方法やルートがある。,タルラ,True
name,游击队呢？游击队只和冻原上的感染者对话。,,,,,,,,,,,,,,,塔露拉,,,78,游击队呢？游击队只和冻原上的感染者对话。,ゲリラ隊はどうかというと、ツンドラの感染者としか話さない。,タルラ,True
name,游击队根本就不想被人找到，也不想和谁团结起来。,,,,,,,,,,,,,,,塔露拉,,,79,游击队根本就不想被人找到，也不想和谁团结起来。,ゲリラ隊はそもそも他人に見つかりたくもないし、誰かと団結したがっているわけでもない。,タルラ,True
name,它只是不断地接纳着感染者，把他们训练成战士。可能和我的期望不太一样，但游击队，无可置疑，依然是健壮的，生机勃勃的。,,,,,,,,,,,,,,,塔露拉,,,80,它只是不断地接纳着感染者，把他们训练成战士。可能和我的期望不太一样，但游击队，无可置疑，依然是健壮的，生机勃勃的。,ただ感染者を次々と受け入れて、彼らを戦士に育てるだけ。私の期待とは違うかもしれないが、ゲリラ隊は確かにたくましく、活き活きしている。,タルラ,True
name,——至少有两支游击队小队在十公里外的感染者聚落中交换过资源。,,,,,,,,,,,,,,,塔露拉,,,81,——至少有两支游击队小队在十公里外的感染者聚落中交换过资源。,――少なくとも二つのゲリラ小隊が、10キロ先の感染者集落で資源をやりとりしていた。,タルラ,True
name,就算当地的感染者不肯说，但村外头的那些生火痕迹可不会是军队留下的。,,,,,,,,,,,,,,,塔露拉,,,82,就算当地的感染者不肯说，但村外头的那些生火痕迹可不会是军队留下的。,現地の感染者が口を割らなくても、村の外に残る焚火の跡は軍のものじゃない。,タルラ,True
name,他们要做的只会是这件事：毁了这个刚建立起来的哨所和这几支步子还没站稳的纠察队。,,,,,,,,,,,,,,,塔露拉,,,83,他们要做的只会是这件事：毁了这个刚建立起来的哨所和这几支步子还没站稳的纠察队。,彼らがやるのはただ一つ――できたばかりのこの哨所と、まだ落ち着いていない巡察隊を潰すことだけ。,タルラ,True
name,各位，就在这里等吧。注意警戒，也许会有纠察官从这里逃跑。,,,,,,,,,,,,,,,塔露拉,,,84,各位，就在这里等吧。注意警戒，也许会有纠察官从这里逃跑。,みんな、ここで待機していてくれ。警戒するんだ。ここから巡察官が逃げ出すかもしれない。,タルラ,True
name,这儿离舒拉茨堡市还很远，哨站也没建设牢固，他们不会坚守的。,,,,,,,,,,,,,,,塔露拉,,,85,这儿离舒拉茨堡市还很远，哨站也没建设牢固，他们不会坚守的。,ここはシュラーツブルク市からかなり遠いし、哨所もしっかりとした造りじゃない。彼らは籠城はしないだろう。,タルラ,True
name,他们一定会撤退，如果他们没被游击队全歼的话。,,,,,,,,,,,,,,,塔露拉,,,86,他们一定会撤退，如果他们没被游击队全歼的话。,彼らはきっと撤退する、ゲリラ隊に全滅させられなければ、だけど。,タルラ,True
name,藏好。我们还是没法正面和两三个小队的纠察队对抗的。,,,,,,,,,,,,,,,塔露拉,,,87,藏好。我们还是没法正面和两三个小队的纠察队对抗的。,隠れていろ。私たちはまだ、二、三小隊の巡察隊と正面から戦える力はない。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_080,,,88,,,,False
name,塔露拉？！你要一个人去？,,,,,,,,,,,,,,,感染者战士,,,89,塔露拉？！你要一个人去？,タルラ？！一人で行くつもりか？,感染者戦士,True
character,,,,,,,,,,,,,,,,avg_npc_078,,,90,,,,False
name,就让我一个人去吧。要和游击队联络，得向游击队展示，我们没敌意。,,,,,,,,,,,,,,,塔露拉,,,91,就让我一个人去吧。要和游击队联络，得向游击队展示，我们没敌意。,私一人で行かせてくれ。ゲリラ隊と連絡を取るには、敵意がないことを示さなければいけない。,タルラ,True
name,还有，起了冲突的话，你们也能逃得掉。,,,,,,,,,,,,,,,塔露拉,,,92,还有，起了冲突的话，你们也能逃得掉。,それに、もし揉めごとになったとき、君たちも逃げやすいしな。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_080,,,93,,,,False
name,你当我们是懦夫？！,,,,,,,,,,,,,,,感染者战士,,,94,你当我们是懦夫？！,俺たちを臆病者扱いか？！,感染者戦士,True
character,,,,,,,,,,,,,,,,avg_npc_078,,,95,,,,False
name,我没见过比你们更勇敢的人了。所以对其他的感染者同胞来说，你们很重要，他们想要活得更久，就更需要你们。,,,,,,,,,,,,,,,塔露拉,,,96,我没见过比你们更勇敢的人了。所以对其他的感染者同胞来说，你们很重要，他们想要活得更久，就更需要你们。,君たち以上に勇敢な人を私は見たことがない。他の感染者仲間にとっても君たちは大切だ。彼らが長く生きていくためには、君たちの存在がより必要なんだ。,タルラ,True
name,你们活着，和因为我而牺牲更多人相比，哪个好？结果很明显了。,,,,,,,,,,,,,,,塔露拉,,,97,你们活着，和因为我而牺牲更多人相比，哪个好？结果很明显了。,君たちが生きていることと、私が原因でより多くの人が犠牲になるのと、どちらがいいか……答えは明らかだろう。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_080,,,98,,,,False
name,——,,,,,,,,,,,,,,,感染者战士,,,99,——,——,感染者戦士,True
name,你还是瞧不起我们。,,,,,,,,,,,,,,,感染者战士,,,100,你还是瞧不起我们。,やっぱり俺たちを見下してるんだな。,感染者戦士,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,,,101,,,,False
name,这是我想了很久得出来的结论，而且，这是对所有人都最好的那个结果。,,,,,,,,,,,,,,,塔露拉,,,102,这是我想了很久得出来的结论，而且，这是对所有人都最好的那个结果。,これは私が長い間考えて出した結論だし、みんなにとって一番良い結果だ。,タルラ,True
name,你可别乱说话。,,,,,,,,,,,,,,,塔露拉,,,103,你可别乱说话。,変なことを言わないでくれ。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_080,,,104,,,,False
name,你生气了！,,,,,,,,,,,,,,,感染者战士,,,105,你生气了！,お前、怒ってるじゃないか！,感染者戦士,True
name,可我们也一样火气很大！你觉得我们不懂你，就像我们觉着你没搞懂我们在想什么一样。,,,,,,,,,,,,,,,感染者战士,,,106,可我们也一样火气很大！你觉得我们不懂你，就像我们觉着你没搞懂我们在想什么一样。,でも、こっちだってイラついてる！お前が俺たちを分かってないって言うように、俺たちもお前が俺たちの考えを分かってないと思ってるんだ。,感染者戦士,True
name,我们几个不想要结论。我们和你一起从西北往回走......不是为了啥结论。,,,,,,,,,,,,,,,感染者战士,,,107,我们几个不想要结论。我们和你一起从西北往回走......不是为了啥结论。,俺たちは結論なんて求めてない。お前と一緒に西北から戻ってきたのも…何かの結果を得るためじゃない。,感染者戦士,True
name,你打得好！你让大家吃上了饭，你让我们知道了很多事儿。,,,,,,,,,,,,,,,感染者战士,,,108,你打得好！你让大家吃上了饭，你让我们知道了很多事儿。,お前はよく戦った！みんなに飯を食わせてくれたし、色んなことを教えてくれた。,感染者戦士,True
name,虽然不怎么懂，但我觉得你和那些其他城里来的，甚至是矿场里那些感染者是不一样的。,,,,,,,,,,,,,,,感染者战士,,,109,虽然不怎么懂，但我觉得你和那些其他城里来的，甚至是矿场里那些感染者是不一样的。,正直よく分からないけど、お前は他の都市から来た連中や、鉱山から来た感染者たちとも違う気がするんだ。,感染者戦士,True
name,你只是不想让我们死对吧？塔露拉，你看我们怕吗？我们不是懦夫！,,,,,,,,,,,,,,,感染者战士,,,110,你只是不想让我们死对吧？塔露拉，你看我们怕吗？我们不是懦夫！,お前はただ俺たちに死んで欲しくないんだろ？タルラ、俺たちが怖がってると思うか？俺たちは臆病者じゃない！,感染者戦士,True
name,你肯定没想过，我们比起苟且偷生，更愿意陪着你一块儿死！,,,,,,,,,,,,,,,感染者战士,,,111,你肯定没想过，我们比起苟且偷生，更愿意陪着你一块儿死！,きっと思いもしなかっただろうが、俺たちは細々と生き延びるくらいなら、お前と一緒に死ぬ方を選ぶんだ！,感染者戦士,True
character,,,,,,,,,,,,,,,,avg_npc_078,,,112,,,,False
name,如果我说我早就想到了，只不过就是不希望你们这么做呢？,,,,,,,,,,,,,,,塔露拉,,,113,如果我说我早就想到了，只不过就是不希望你们这么做呢？,もし私が、前から分かっていたとしても、ただ君たちにそうして欲しくないから言っただけなんだと言ったら？,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_080,,,114,,,,False
name,为什么？,,,,,,,,,,,,,,,感染者战士,,,115,为什么？,どうして？,感染者戦士,True
character,,,,,,,,,,,,,,,,avg_npc_078,,,116,,,,False
name,因为我不会死。,,,,,,,,,,,,,,,塔露拉,,,117,因为我不会死。,私は死なないから。,タルラ,True
name,放心吧，让我去。你们不去也是减少伤亡。我可是，哈，“不死的”。,,,,,,,,,,,,,,,塔露拉,,,118,放心吧，让我去。你们不去也是减少伤亡。我可是，哈，“不死的”。,心配しないで、私に行かせてくれ。君たちが行かない方が被害は少ない。私は――はは、「不死者」だから。,タルラ,True
name,这是个恶心的怪物亲口对我说的。,,,,,,,,,,,,,,,塔露拉,,,119,这是个恶心的怪物亲口对我说的。,それはある気持ち悪い化け物が私に言った言葉だ。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_080,,,120,,,,False
name,但......塔露拉，我们可不该被别人看低！别让他们觉得我们是在求他们，让我们跟你一起吧！,,,,,,,,,,,,,,,感染者战士,,,121,但......塔露拉，我们可不该被别人看低！别让他们觉得我们是在求他们，让我们跟你一起吧！,でも……タルラ、俺たちが他人に見下されるのは嫌だ！俺たちが媚びていると思わせたくない。一緒に行かせてくれ！,感染者戦士,True
character,,,,,,,,,,,,,,,,avg_npc_078#5,,,122,,,,False
name,不对！,,,,,,,,,,,,,,,塔露拉,,,123,不对！,違う！,タルラ,True
name,刽子手才讲究谁更会杀人。你们已经赢得很多人的尊敬了，因为你们站了出来。,,,,,,,,,,,,,,,塔露拉,,,124,刽子手才讲究谁更会杀人。你们已经赢得很多人的尊敬了，因为你们站了出来。,誰がたくさん殺せるかなんて、処刑人の理屈だ。君たちはもう多くの人の尊敬を得ている。立ち上がったからだ。,タルラ,True
name,如果谁看低你们，那该被鄙夷的就是他们。,,,,,,,,,,,,,,,塔露拉,,,125,如果谁看低你们，那该被鄙夷的就是他们。,もし君たちを見下す者がいれば、軽蔑されるべきなのはそいつらだ。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_080,,,126,,,,False
name,......,,,,,,,,,,,,,,,感染者战士,,,127,......,……,感染者戦士,True
name,行。,,,,,,,,,,,,,,,感染者战士,,,128,行。,分かった。,感染者戦士,True
name,——等等，塔露拉！你真的只带一把剑去吗！,,,,,,,,,,,,,,,感染者战士,,,129,——等等，塔露拉！你真的只带一把剑去吗！,――待て、タルラ！本当に剣一本だけで行くのか！？,感染者戦士,True
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,130,,,,False
delay,,,,,1,,,,,,,,,,,,,,131,,,,False
name,我还带了名册和频道号码簿！,,,,,,,,,,,,,,,塔露拉,,,132,我还带了名册和频道号码簿！,名簿と通信チャンネルのリストも持っていくよ！,タルラ,True
name,朋友们，记住！这可比剑重要得多！,,,,,,,,,,,,,,,塔露拉,,,133,朋友们，记住！这可比剑重要得多！,みんな、覚えておいて！これは剣よりもずっと大事なものだ！,タルラ,True
blocker,,,,,,,,1,0,0,0,2,true,,,,,,134,,,,False
background,,,,,,,,,,,,,,bg_ruins_1,coverall,,,,135,,,,False
blocker,,,,,,,,0,0,0,0,2,true,,,,,,136,,,,False
delay,,,,,1,,,,,,,,,,,,,,137,,,,False
blocker,,,,,,,,,,,,3,true,,,,,,138,,,,False
