command,text_orig,key,is_skippable,fit_mode,intro,volume,delay,time,x,y,alignment,size,width,a,r,g,b,afrom,rfrom,gfrom,bfrom,fadetime,block,effect,keep,initamount,amount,image,tiled,name,xScale,yScale,crossfade,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,xstrength,ystrength,vibrato,randomness,fadeout,Delay,height,initr,screenadapt,name2,focus,index,text,jp_text,jp_name,text_match
name,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,26,......,……,？？？,True
name,博士......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,27,博士......,ドクター……,？？？,True
blocker,,,,,,,,,,,,,,0,,,,,,,,2,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,False
name,......手！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,29,......手！,……手！,？？？,True
name,抓紧我的手！！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,30,抓紧我的手！！,私の手をしっかり掴んで！！,？？？,True
image,,,,,,,,,-100,-50,,,,,,,,,,,,4,,,,,,avg_0_1,,,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,31,,,,False
delay,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,False
delay,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,False
blocker,,,,,,,,,,,,,,1,0,0,0,,,,,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,False
playmusic,,$escape_loop,,,$escape_intro,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,37,,,,False
image,,,,,,,,,0,0,,,,,,,,,,,,1,,,,,,avg_1_2,,,1,1,,,,,,,,,,,,,,,,,,,,,,38,,,,False
delay,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,False
subtitle,还记得，离开沉睡之处，见到的残破不堪的世界。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,False
subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,False
blocker,,,,,,,,,,,,,,0,0,0,0,,,,,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,False
delay,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,False
delay,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,False
subtitle,还记得，无数敌人藏匿其中，虎视眈眈。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,False
subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,False
blocker,,,,,,,,,,,,,,1,0,0,0,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,False
character,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,False
background,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,False
image,,,,,,,,,0,-50,,,,,,,,,,,,1,,,,,,avg_1_1,,,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,52,,,,False
imagetween,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,0,-50,0,0,1.2,1.2,1,1,10,,,,,,,,,,,,53,,,,False
blocker,,,,,,,,,,,,,,0,,,,,,,,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,False
name,哼，逃跑......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,55,哼，逃跑......,ふん、逃げる……,？？？,True
name,又能逃到哪里？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,56,又能逃到哪里？,どこへ逃げるつもりだ？,？？？,True
name,去，撕碎他们。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,57,去，撕碎他们。,行け、彼らを引き裂け。,？？？,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,False
blocker,,,,,,,,,,,,,,1,0,0,0,,,,,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,False
image,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,False
delay,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,False
playmusic,,$calamity_loop,,,$calamity_intro,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,63,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,False
subtitle,依然记得，在与敌人的一波波战斗中，天灾就这样爆发了。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,False
subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,False
blocker,,,,,,,,,,,,,,1,0,0,0,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,False
background,,,,,,,,,,,,,,,,,,,,,,,,,,,,bg_cher_10,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,False
playsound,,$d_gen_explo_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,30,90,false,,,,,,,71,,,,False
blocker,,,,,,,,,,,,,,0,0,0,0,,,,,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,False
delay,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,False
blocker,,,,,,,,,,,,,,1,0,0,0,,,,,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,False
background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,False
subtitle,以及比天灾更可怕的敌人。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,False
subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,False
blocker,,,,,,,,,,,,,,0,0,0,0,,,,,0.5,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,False
playsound,,$d_gen_thunders_amb,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,False
playsound,,$b_char_defboost,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,80,,,,False
blocker,,,,,,,,,,,,,,1,1,1,1,,,,,0.2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,False
dialog,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,False
delay,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,False
image,,,,,,,,,0,-50,,,,,,,,,,,,0,,,,,,avg_11_1,,,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,85,,,,False
imagetween,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,-100,-50,0,0,1.3,1.3,1,1,35,,,,,,,,,,,,86,,,,False
blocker,,,,,,,,,,,,,,0,0,0,,,,,,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,False
name,我将赐予你们一个我十分喜爱的结局。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,,,88,我将赐予你们一个我十分喜爱的结局。,私は皆さんに、私がとても気に入っている結末を授けます。,タルラ,True
name,——毁灭。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,,,89,——毁灭。,――破滅。,タルラ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,False
blocker,,,,,,,,,,,,,,1,0,0,0,,,,,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,False
image,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,False
delay,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,False
blocker,,,,,,,,,,,,,,0,0,0,0,,,,,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,False
subtitle,大家付出了大量的牺牲，付出了沉重的代价。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,False
subtitle,每个人的名字，每个人的样貌，你都牢牢记得。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,False
subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,False
blocker,,,,,,,,,,,,,,1,0,0,0,,,,,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,False
background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,False
character,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,False
subtitle,即使如此，也没有多少时间留给你去熟悉罗德岛的一切。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,False
subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,False
delay,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,False
subtitle,切尔诺伯格的暴动只是个开始，罗德岛不得不马上前往龙门。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,False
subtitle,因为龙门很有可能会成为整合运动无差别攻击的下一个目标。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,False
subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,False
delay,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,False
background,,,,,,,,,,,,,1,,,,,,,,,,,,,,,bg_lungmen_b,,,,,,,,,,,,,,,,,,,,,1,,,,,114,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_012_misa_1,,,,,,,,,,,,,,,,,,,,,,,,115,,,,False
blocker,,,,,,,,,,,,,,0,,,,,,,,3,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,False
delay,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,False
blocker,,,,,,,,,,,,,,1,0,0,0,,,,,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,False
subtitle,为了取得龙门总督魏彦吾的信任，罗德岛来到贫民区进行调查。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,False
subtitle,记得在这里，到处都能看到感染者的疾苦。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,False
subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,False
delay,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,False
subtitle,以及在疾苦之下，已经渗透进入的，誓要反抗的整合运动。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,False
subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,False
background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,False
image,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,bg_1_back,,,1,"1,",,,,,,,,,,,,,,,,,,,,,,128,,,,False
blocker,,,,,,,,,,,,,,0,0,0,0,,,,,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,False
delay,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,False
blocker,,,,,,,,,,,,,,1,,,,,,,,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,False
background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,False
image,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,bg_1_firstcontact,,,1,"1,",,,,,,,,,,,,,,,,,,,,,,135,,,,False
blocker,,,,,,,,,,,,,,0,,,,,,,,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,False
delay,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,False
blocker,,,,,,,,,,,,,,1,,,,,,,,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,False
subtitle,还记得，那个仅仅是被卷入其中的少女，她却是整合运动真正的目标。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,False
subtitle,那个本来生性善良的她，最终选择了拿起武器拯救自己的同胞。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,False
subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,False
subtitle,还记得，她自己却并没有得到拯救。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,False
subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,False
playsound,,$e_skill_skulsrexplo,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,False
delay,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,1,8,6,30,90,true,,,,,,,147,,,,False
playsound,,$d_sp_chixiaobadao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,False
delay,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,False
image,,,,,,,,,,,,,,,,,,,,,,1,,,,,,bg_0_coma,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,False
blocker,,,,,,,,,,,,,,0,,,,,,,,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,False
delay,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,,False
name,人总是会超出预期。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,153,人总是会超出预期。,人はいつだって予想を超える。,チェン,True
name,感染者更会如此。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,154,感染者更会如此。,感染者ならなおさらだ。,チェン,True
name,力量使人疯狂，欲望使人堕落。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,155,力量使人疯狂，欲望使人堕落。,力は人を狂わせ、欲望は人を堕落させる。,チェン,True
name,像癌症一样，一点点侵蚀着所有美好的事物。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,156,像癌症一样，一点点侵蚀着所有美好的事物。,まるで癌のように、少しずつすべての美しいものを蝕む。,チェン,True
name,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,157,......,……,アーミヤ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,False
delay,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,False
name,如果你想留着，就留着吧。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,160,如果你想留着，就留着吧。,もし残したいなら、残せばいい。,チェン,True
name,总有一天，这种面具会堆满你的房间。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,161,总有一天，这种面具会堆满你的房间。,いつか君の部屋はそんな仮面で溢れることになるだろう。,チェン,True
name,所有人都要为他们的选择承担后果。感染者与否，都没有区别。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,162,所有人都要为他们的选择承担后果。感染者与否，都没有区别。,全ての人は自分の選択に責任を負う。感染者だろうとそうでなかろうと、違いはない。,チェン,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,False
blocker,,,,,,,,,,,,,,1,0,0,0,,,,,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,False
image,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,False
playmusic,,$nervous_loop,,,$nervous_intro,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,False
subtitle,记得与此同时，侦察小队在切尔诺伯格分区中，也发现了聚集的整合运动。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,False
subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,False
image,,,,,,,,,,,,,,,,,,,,,,0,,,,,,bg_0_guard,,,1,1,,,,,,,,,,,,,,,,,,,,,,170,,,,False
blocker,,,,,,,,,,,,,,0,,,,,,,,0.6,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,False
name,他们逃了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,172,他们逃了。,彼らは逃げた。,メフィスト,True
name,他们反应很快。在我们动手之前，就逃了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,173,他们反应很快。在我们动手之前，就逃了。,反応が早い。こちらが動く前に逃げ出した。,メフィスト,True
name,解开了地区锁，开足了马力，动用一切移动手段——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,174,解开了地区锁，开足了马力，动用一切移动手段——,地区のロックを解除し、フルパワーで、あらゆる移動手段を使って――,メフィスト,True
name,但他们又能逃到哪里去呢？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,175,但他们又能逃到哪里去呢？,だが彼らはどこへ逃げられるというのか？,メフィスト,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,False
