command,text,name,image,jp_text,jp_name
name,等......发生什么了！？,疲惫的罗德岛干员,,ちょっと……何が起きているのですか！？,疲れたロドスのオペレーター
name,唔啊——,疲惫的罗德岛干员,,うあっ——,疲れたロドスのオペレーター
character,,avg_npc_089,,,
name,抓紧我！,老练的罗德岛干员,,しっかり掴まってください！,熟練のロドスオペレーター
character,,avg_npc_012,,,
name,不对......火，火蔓延开了！？这里有什么可燃物吗！？,疲惫的罗德岛干员,,違います……火が、火が広がっています！？ここに可燃物がありますか！？,疲れたロドスのオペレーター
character,,avg_npc_089,,,
name,高温......和情报说的一样，这是塔露拉的伎俩......！,老练的罗德岛干员,,高温……情報通りです、これはタルラの手口……！,熟練のロドスオペレーター
character,,avg_npc_012,,,
name,别傻站着了！现在该怎么办！？,疲惫的罗德岛干员,,ボーッと立っている場合ではない！今どうすればいいのですか！？,疲れたロドスのオペレーター
character,,avg_npc_089,,,
name,唔——走这边，和其他人汇合！等等，你的腿没事了！？,老练的罗德岛干员,,うっ……こっちへ、他の者と合流してください！ちょっと、あなたの脚は大丈夫ですか！？,熟練のロドスオペレーター
character,,avg_npc_012,,,
name,分散注意力！！,疲惫的罗德岛干员,,気をそらしてください！！,疲れたロドスのオペレーター
dialog,,,,,
character,,,,,
playsound,,,,,
camerashake,,,,,
blocker,,,,,
camerashake,,,,,
blocker,,,,,
background,,,bg_topout,,
blocker,,,,,
delay,,,,,
character,,avg_npc_090,,,
name,确认全部通讯，暂时没有伤亡！,急促的罗德岛干员,,全通信を確認しました、現時点で負傷者はいません！,慌ただしいロドスオペレーター
character,,avg_npc_088,,,
name,别着急，那些雇佣兵可没走远，他们在确认事态，寻找机会......,沉稳的罗德岛干员,,慌てないでください。あの傭兵たちは遠くに行っていません。状況を確認し、機会を伺っています……,冷静なロドスオペレーター
name,现在这座指挥塔因为塔顶突如其来的爆炸而陷入......短暂的平静。,沉稳的罗德岛干员,,今、この指揮塔は屋上の突然の爆発によって……一時的な静けさに包まれています。,冷静なロドスオペレーター
dialog,,,,,
character,,,,,
playsound,,,,,
camerashake,,,,,
blocker,,,,,
camerashake,,,,,
character,,avg_npc_090,,,
name,你把这情形叫做平静！？阿、阿米娅她们没事吧？,急促的罗德岛干员,,この状況を静けさと言うのですか！？ア、アーミヤたちは大丈夫でしょうか？,慌ただしいロドスオペレーター
character,,avg_npc_088,,,
name,嗯......就因为塔顶是这个情形，我才觉得我们这里很安静。,沉稳的罗德岛干员,,ええ……屋上がそんな状態だからこそ、こちらは静かに感じるのです。,冷静なロドスオペレーター
dialog,,,,,
character,,,,,
playsound,,,,,
camerashake,,,,,
blocker,,,,,
camerashake,,,,,
character,,avg_npc_012,,,
name,总、总算——！,疲惫的罗德岛干员,,やっと、やっと——！,疲れたロドスのオペレーター
character,,avg_npc_089,,,
name,不要放松警惕，我们还——,老练的罗德岛干员,,油断しないで、私たちはまだ——,熟練のロドスのオペレーター
name,——,老练的罗德岛干员,,——,熟練のロドスのオペレーター
character,,avg_npc_012,,,
name,怎、怎么突然不说话了？喂——？,疲惫的罗德岛干员,,ど、どうして急に話さなくなったの？もしもし——？,疲れたロドスのオペレーター
name,你看天上做什么？塔顶有什么......,疲惫的罗德岛干员,,空を見てどうしたの？塔の頂上に何かが……,疲れたロドスのオペレーター
name,......等等，那、那是一个......光球？一团......一团火？光晕？那是啥？,疲惫的罗德岛干员,,……ちょっと待って、それは……光の玉？炎の塊？オーラ？あれは何ですか？,疲れたロドスのオペレーター
character,,avg_npc_088,,,
name,法术。,沉稳的罗德岛干员,,魔法です。,冷静なロドスのオペレーター
character,,avg_npc_012,,,
name,......法术？,疲惫的罗德岛干员,,……魔法ですって？,疲れたロドスのオペレーター
character,,avg_npc_090,,,
name,啊！我做了记录，从第一声巨响开始，火焰和高温气流就冲垮了建筑的穹顶，从塔的下方肉眼观测，像是......,急促的罗德岛干员,,あっ！記録しましたが、最初の大きな爆発音から炎と高温の気流が建物のドームを押し倒しました。塔の下から肉眼で見ると、それはまるで……,急いでいるロドスのオペレーター
dialog,,,,,
character,,,,,
,像是落日的余晖。,,,まるで夕日の残光のようです。,
,像是前仆后继的感染者之死。,,,まるで次々と倒れる感染者の死のようです。,
,像是愤怒。,,,まるで怒りのようです。,
,像是这座将毁的城。,,,まるでこの滅びゆく城のようです。,
character,,avg_npc_012,,,
name,......我自以为比起你们不算个特别感性的人，但我大概知道你要说什么，真的。,疲惫的罗德岛干员,,……私は皆さんほど特に感性的な方ではないと思っていましたが、あなたが言いたいことが大体わかります、本当に。,疲れたロドスのオペレーター
character,,avg_npc_088,,,
name,那就是属于整合运动领袖的......,沉稳的罗德岛干员,,それは統合運動のリーダーに属するもの……,冷静なロドスのオペレーター
character,,avg_npc_089,,,
name,高温和火。,老练的罗德岛干员,,高温と火です。,熟練のロドスのオペレーター
name,但高温和火......不该是这么可怕的东西。,老练的罗德岛干员,,しかし、高温と火は……こんな恐ろしいものではないはずです。,熟練のロドスのオペレーター
character,,avg_npc_088,,,
name,嗯，那团光，那是一个人......两个人，不，也许是更多、更多的愤怒......,沉稳的罗德岛干员,,うん、その光の塊、それは一人……二人、いや、もっと多くの、もっと多くの怒り……,冷静なロドスのオペレーター
character,,avg_npc_089,,,
name,那个就是......塔露拉？,老练的罗德岛干员,,あれは……タルラでしょうか？,熟練のロドスのオペレーター
character,,avg_npc_088,,,
name,不是，或者说，不止，远远不止。情报里的那个整合运动领袖谁都知道，我实在无法把我现在看见的东西和那个年轻的龙联系起来......,沉稳的罗德岛干员,,いいえ、違うか、それだけでなく、はるかに違う。情報の中のあの統合運動のリーダーは誰もが知っていますが、私には今見ているものとあの若いドラゴンを結びつけることができません……,冷静なロドスのオペレーター
character,,avg_npc_090,,,
name,上面......上面到底发生了什么？,急促的罗德岛干员,,上のほうで……一体何が起こっているのですか？,急いでいるロドスのオペレーター
character,,avg_npc_089,,,
name,......,老练的罗德岛干员,,……,熟練のロドスのオペレーター
character,,avg_npc_088,,,
name,......不知道。,沉稳的罗德岛干员,,……わかりません。,冷静なロドスのオペレーター
character,,avg_npc_090,,,
name,阿米娅......,急促的罗德岛干员,,アーミヤ……,急いでいるロドスのオペレーター
dialog,,,,,
character,,,,,
playsound,,,,,
playsound,,,,,
playsound,,,,,
camerashake,,,,,
blocker,,,,,
camerashake,,,,,
character,,avg_npc_012,,,
name,指挥塔里还有其他人吗！？,疲惫的罗德岛干员,,指揮塔に他の人はいますか！？,疲れたロドスのオペレーター
character,,avg_npc_090,,,
name,有！,急促的罗德岛干员,,います！,急いでいるロドスのオペレーター
character,,avg_npc_012,,,
name,我们得去帮他们！！,疲惫的罗德岛干员,,彼らを助けに行かなければ！！,疲れたロドスのオペレーター
character,,avg_npc_089,,,
name,等等！低头！,老练的罗德岛干员,,待て！ 頭を下げろ！,熟練したロドスのオペレーター
dialog,,,,,
character,,avg_npc_053,,,
name,——有敌人离开了指挥塔！去找他们！,萨卡兹雇佣兵,,——敵が指揮塔を離れました！彼らを追いましょう！,サカズ傭兵
name,封锁这里，不要让他们有寻援的机会。,萨卡兹雇佣兵,,ここを封鎖し、彼らが援助を求める機会を与えるな。,サカズ傭兵
dialog,,,,,
character,,,,,
playsound,,,,,
playsound,,,,,
playsound,,,,,
camerashake,,,,,
blocker,,,,,
camerashake,,,,,
character,,avg_npc_090,,,
name,现、现在怎么办！？,急促的罗德岛干员,,い、今どうすればいいですか！？,急いでいるロドスのオペレーター
character,,avg_npc_089,,,
name,也许我们该回去帮阿米娅——,老练的罗德岛干员,,もしかするとアーミヤを助けに戻るべきか——,熟練したロドスのオペレーター
character,,avg_npc_088,,,
name,——不。,沉稳的罗德岛干员,,——いいえ。,落ち着いたロドスのオペレーター
name,只有阿米娅......只有阿米娅能做到。她能的。一定。,沉稳的罗德岛干员,,アーミヤだけが……アーミヤだけができるのです。彼女にはできる、きっと。,落ち着いたロドスのオペレーター
name,我相信她。我也只因为这个理由，才站在这里。,沉稳的罗德岛干员,,私は彼女を信じています。それだけの理由でここに立っているのです。,落ち着いたロドスのオペレーター
name,而且......,沉稳的罗德岛干员,,そして……,落ち着いたロドスのオペレーター
name,而且她还答应过我，在带薪休假的时候陪我逛街......当领袖的可不能食言。,沉稳的罗德岛干员,,しかも彼女は、有給休暇の時に私と買い物に行くと約束してくれて……リーダーは約束を破ってはいけません。,落ち着いたロドスのオペレーター
character,,avg_npc_089,,,
name,......好。,老练的罗德岛干员,,……わかった。,熟練したロドスのオペレーター
name,那么在阿米娅凯旋之前，我们决不能放弃指挥塔。至少，撑到凯尔希医生抵达。,老练的罗德岛干员,,それではアーミヤの凱旋まで、指揮塔を絶対に放棄してはならない。少なくともケルシー・ドクターが到着するまで耐え抜くのだ。,熟練したロドスのオペレーター
name,我们——,老练的罗德岛干员,,我々は——,熟練したロドスのオペレーター
dialog,,,,,
character,,,,,
camerashake,,,,,
playsound,,,,,
blocker,,,,,
blocker,,,,,
delay,,,,,
character,,avg_npc_012,,,
name,唔——喂，有什么东西切开了天上的，呃，那玩意！,疲惫的罗德岛干员,,うーん——ねえ、何かが空を切り裂いた、あの、あの物体が！,疲れたロドスのオペレーター
name,——你们听见了吗！？又是一次！,疲惫的罗德岛干员,,——聞こえましたか！？またあの音です！,疲れたロドスのオペレーター
character,,avg_npc_089,,,
name,......是剑？对了，那个龙门警官的确是用剑的......,老练的罗德岛干员,,……剣か？そういえばあの龍門の警官は確かに剣を使っていたな……,熟練したロドスのオペレーター
dialog,,,,,
character,,,,,
camerashake,,,,,
playsound,,,,,
blocker,,,,,
blocker,,,,,
delay,,,,,
character,,avg_npc_090,,,
name,这、这是一把剑能发出的动静？,急促的罗德岛干员,,こ、これは剣から出る音でしょうか？,せっかちなロドスのオペレーター
character,,avg_npc_088,,,
name,......我去拦住指挥塔外的雇佣兵。你们回到塔里，接应剩下的人，确保一条没被摧毁的撤离道路。,沉稳的罗德岛干员,,……私は指揮塔の外の傭兵を食い止めます。あなたたちは塔に戻り、残りの者たちを援護し、破壊されていない撤退ルートを確保してください。,落ち着いたロドスのオペレーター
character,,avg_npc_012,,,
name,你一个人怎么拦那么多萨卡兹？,疲惫的罗德岛干员,,一人でそんなに多くのサカズを食い止められるのですか？,疲れたロドスのオペレーター
character,,avg_npc_089,,,
name,我也陪她去。,老练的罗德岛干员,,私も彼女に付き添います。,熟練のロドスのオペレーター
name,你们立刻回去，快。,老练的罗德岛干员,,あなたたちはすぐに戻ってください、急いで。,熟練のロドスのオペレーター
dialog,,,,,
character,,avg_npc_053,,,
name,......罗德岛的人数不多，通知其他小队收网。我们往这边......,萨卡兹雇佣兵,,……ロドスの人数は多くない。他の部隊に包囲網を敷くよう伝えろ。こちらに向かう……,サカズ傭兵
name,尽快搅碎防线，他们的死会是我们最好的筹码。,萨卡兹雇佣兵,,早く防衛線を壊せ。彼らの死は我々の最大の切り札になる。,サカズ傭兵
character,,avg_npc_089,,,
name,快！,老练的罗德岛干员,,急げ！,熟練のロドスのオペレーター
character,,avg_npc_012,,,
name,......好！,疲惫的罗德岛干员,,……はい！,疲れたロドスのオペレーター
character,,avg_npc_090,,,
name,你们俩不要勉强自己，他们人数很多！,急促的罗德岛干员,,お二人とも無理しないでください。彼らは数が多いのです！,せっかちなロドスのオペレーター
character,,avg_npc_088,,,
name,......很久没这样，我们两个并肩作战，找机会伏击敌人了。,沉稳的罗德岛干员,,……久しぶりですね。私たち二人が肩を並べて戦い、敵を待ち伏せる機会を探すのは。,落ち着いたロドスのオペレーター
dialog,,,,,
character,,,,,
,两位身经百战的干员默契地握紧了武器，萨卡兹厚重的威胁正在向前推进。,,,二人の経験豊かなオペレーターは息を合わせて武器を固く握りしめる。サカズの重い脅威が前進している。,
,双方目不转睛。,,,両者は一瞬も目を離さない。,
character,,avg_npc_089,,,
name,......的确。,老练的罗德岛干员,,……確かに。,熟練のロドスのオペレーター
name,那么休假的事，你俩缺不缺个拎包的？,老练的罗德岛干员,,それで休暇の話ですが、君たちふたりは荷物持ちが必要ですか？,熟練のロドスのオペレーター
dialog,,,,,
blocker,,,,,
image,,,,,
