command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,time,name,volume,a,r,g,b,afrom,rfrom,gfrom,bfrom,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,intro,crossfade,delay,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,name2,focus,index,text,jp_text,jp_name,text_match
name,我是该胆小懦弱，贪图钱财和安逸......还是说，我应该残忍冷酷，为达目的不择手段？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,我是该胆小懦弱，贪图钱财和安逸......还是说，我应该残忍冷酷，为达目的不择手段？,臆病で卑怯、金や安楽を求める人間か……それとも冷酷非情で目的のためなら手段を選ばない人間か？,ケルシー,True
name,现在的我，满足你的想象了吗？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,现在的我，满足你的想象了吗？,今の私でお前の想像に応えられているか？,ケルシー,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,102,,,,False
name,我没想过......没想过你是个彻头彻尾没心没肺的冷血女人！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,我没想过......没想过你是个彻头彻尾没心没肺的冷血女人！,考えたこともなかった……お前が徹底的な冷血女だとは！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,104,,,,False
name,你在杀谢尔盖的时候，他是不是忏悔了？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,你在杀谢尔盖的时候，他是不是忏悔了？,お前がセルゲイを殺した時、彼は懺悔したのか？,ケルシー,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,106,,,,False
name,......你怎么......,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,......你怎么......,……なぜ……,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,108,,,,False
name,你知道他是亚历克斯和米莎的父亲？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,你知道他是亚历克斯和米莎的父亲？,彼がアレックスとミーシャの父親だと知っているか？,ケルシー,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,110,,,,False
name,哼，哈哈哈......就是亚历克斯带我找到了他！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,哼，哈哈哈......就是亚历克斯带我找到了他！,ふん、ははは……アレックスが彼を探す手助けをしたのだ！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,112,,,,False
name,......整合运动吸纳了亚历克斯，杀死了他的父亲，追捕他的姐姐。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,......整合运动吸纳了亚历克斯，杀死了他的父亲，追捕他的姐姐。,……統合戦線はアレックスを受け入れ、彼の父を殺し、彼の姉を追っている。,ケルシー,True
name,呵......,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,呵......,ふっ……,ケルシー,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,False
name,红。给她一次机会。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,红。给她一次机会。,レッド。彼女にチャンスをやれ。,ケルシー,True
character,,,,,,,,,,,char_144_red_7#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,False
name,好。,,,,,,,,,,红,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,好。,わかった。,レッド,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,119,,,,False
name,......你要做什么？,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,......你要做什么？,……何をしようっていうの？,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,121,,,,False
name,给你一个杀掉我的机会。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,给你一个杀掉我的机会。,私を殺すチャンスをやる。,ケルシー,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,123,,,,False
name,给我机会？你真知道自己说了什么？,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,给我机会？你真知道自己说了什么？,チャンスをくれる？自分が何を言っているか分かっているのか？,弑君者,True
name,你想放弃生命？也想和那个靠出卖同事混到切尔诺伯格高层的谢尔盖一样，忏悔？,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,你想放弃生命？也想和那个靠出卖同事混到切尔诺伯格高层的谢尔盖一样，忏悔？,命を投げ出すつもりか？同僚を売ってチェルノボーグの高位にまで登ったセルゲイみたいに懺悔しようってのか？,弑君者,True
name,......你当然会后悔。你会为自己的做过的一切后悔！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,......你当然会后悔。你会为自己的做过的一切后悔！,……もちろん後悔するぞ。今までしたことすべてを後悔するだろう！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,127,,,,False
name,平常我都会说，“我从来没有后悔过”......,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,平常我都会说，“我从来没有后悔过”......,普段は「後悔したことはない」と言っていた……,ケルシー,True
name,今天我却可以坦然地告诉你，我有一件非常后悔的事。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,今天我却可以坦然地告诉你，我有一件非常后悔的事。,けれど今日は、心から告げられる。私は大変後悔していることがあると。,ケルシー,True
name,——但这和你父亲的事情没有任何关系。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,——但这和你父亲的事情没有任何关系。,——でもそれはお前の父のこととは関係ない。,ケルシー,True
character,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,False
name,......我要杀了你。我要杀了你！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,......我要杀了你。我要杀了你！,……お前を殺す。必ず殺す！,弑君者,True
name,嘶，哈......,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,嘶，哈......,しっ、はぁ……,弑君者,True
name,“吞下死难者的苦”......,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,“吞下死难者的苦”......,「死者の苦しみを飲み込め」……,弑君者,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,False
blocker,,,,,,,,,2,,,,0.4,1,1,1,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,136,,,,False
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,False
name,起雾？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,起雾？,霧？,ケルシー,True
character,,,,,,,,,,,char_144_red_7#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,False
name,是法术。,,,,,,,,,,红,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,是法术。,魔法だ。,レッド,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,False
name,雾......不，本质是烟。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,雾......不，本质是烟。,霧……いや、本質は煙だ。,ケルシー,True
name,利用口腔内的发烟器官，神经指令性应激发烟。的确是依赖感染器官的特殊化源石技艺。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,利用口腔内的发烟器官，神经指令性应激发烟。的确是依赖感染器官的特殊化源石技艺。,口腔内の発煙器官を使い、神経指令によって煙を発生させている。まさに感染器官に頼った特殊な源石技術だ。,ケルシー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,False
name,站在那里说个不停......没救的家伙，你难道吓得连怎么表达恐慌都忘了？,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,站在那里说个不停......没救的家伙，你难道吓得连怎么表达恐慌都忘了？,そこに立って喋り続けるだけか……救いようのない奴だな。怖くて恐怖を表現する方法さえ忘れたのか？,弑君者,True
name,你为什么要背叛我的父亲？为什么要背叛科学家们？,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,你为什么要背叛我的父亲？为什么要背叛科学家们？,なぜ私の父を裏切った？なぜ科学者たちを裏切った？,弑君者,True
name,为什么！告诉我为什么——,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,为什么！告诉我为什么——,なぜだ！理由を教えろ――,弑君者,True
name,“凯尔希所长”！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,“凯尔希所长”！,「ケルシー所長」！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,False
name,柳德米拉，我只是侥幸逃脱。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,柳德米拉，我只是侥幸逃脱。,リュドミラ、私はただ運良く逃げ延びただけだ。,ケルシー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,False
name,你想我信你的鬼话？,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,你想我信你的鬼话？,私にお前の嘘を信じろというのか？,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,False
name,呵。你的父亲教你读过《正当与正义》，对不对？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,呵。你的父亲教你读过《正当与正义》，对不对？,ふっ。お前の父親は『正義と正当』を読ませたんだろ？,ケルシー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,False
