command,text_orig,name,image,name2,index,text,jp_text,jp_name,text_match
name,罗德岛只是各个政治实体的稻草人，你会为了他们去杀害同胞，装出良善的模样，等待一个制造混乱谋取利益的时机。你们完全不在乎感染者。,塔露拉？,,,57,罗德岛只是各个政治实体的稻草人，你会为了他们去杀害同胞，装出良善的模样，等待一个制造混乱谋取利益的时机。你们完全不在乎感染者。,ロドスは各政治体の操り人形に過ぎず、あなたは彼らのために同胞を殺し、善人のふりをし、混乱を起こして利益を得る機会を待っている。あなた方は感染者のことなどまったく気にかけていません。,タルラ？,True
character,,char_002_amiya_1#7,,,58,,,char_002_amiya_1#7,True
name,你还想绑架谁？你还想让陈长官相信你那些谎言吗？,阿米娅,,,59,你还想绑架谁？你还想让陈长官相信你那些谎言吗？,まだ誰を誘拐しようというのですか？ドクター・チェンにあなたの嘘を信じさせたいのですか？,アーミヤ,True
name,你通过塔露拉绑架了整合运动，你用切尔诺伯格绑架了乌萨斯军队，让利益绑架了乌萨斯人，现在你还想绑架谁？！,阿米娅,,,60,你通过塔露拉绑架了整合运动，你用切尔诺伯格绑架了乌萨斯军队，让利益绑架了乌萨斯人，现在你还想绑架谁？！,あなたはタルラを使って統合運動を誘拐し、チェルノボーグでウルサス軍を誘拐し、利益でウルサス人を縛り上げ、今度は誰を誘拐しようというのですか？！,アーミヤ,True
name,识破你的谎言也很简单，因为你只说结果与动机，却从不说会发生什么！你对塔露拉的许诺也是相同的！,阿米娅,,,61,识破你的谎言也很简单，因为你只说结果与动机，却从不说会发生什么！你对塔露拉的许诺也是相同的！,あなたの嘘を見破るのは簡単です。あなたは結果と動機だけを語り、何が起きるかは決して言わない！タルラに対する約束も同じです！,アーミヤ,True
character,,char_011_talula_1#5,,,62,,,char_011_talula_1#5,True
name,哦......,塔露拉？,,,63,哦......,ああ……。,タルラ？,True
character,,char_002_amiya_1#7,,,64,,,char_002_amiya_1#7,True
name,你答应陈长官和整合运动说要让感染者有一片可以居住的地方，答应一场大战之后感染者终将崛起，可是，如果是塔露拉，她是不会再许诺的。,阿米娅,,,65,你答应陈长官和整合运动说要让感染者有一片可以居住的地方，答应一场大战之后感染者终将崛起，可是，如果是塔露拉，她是不会再许诺的。,あなたはドクター・チェンと統合運動に、感染者が住める場所を与えると約束し、大戦の後に感染者は必ず立ち上がると言いました。しかし、タルラならもう約束はしないでしょう。,アーミヤ,True
name,因为当时的那个承诺已经伤她够深了......,阿米娅,,,66,因为当时的那个承诺已经伤她够深了......,その当時の約束が彼女を深く傷つけたのです……。,アーミヤ,True
character,,char_010_chen_1,,,67,,,char_010_chen_1,True
name,阿米娅！,陈,,,68,阿米娅！,アーミヤ！,チェン,True
character,,char_002_amiya_1#7,,,69,,,char_002_amiya_1#7,True
name,陈长官......？,阿米娅,,,70,陈长官......？,ドクター・チェン……？,アーミヤ,True
character,,char_010_chen_1#5,,,71,,,char_010_chen_1#5,True
name,阿米娅......我有些后悔。要是早点认识你，也许很多事情都会不一样。,陈,,,72,阿米娅......我有些后悔。要是早点认识你，也许很多事情都会不一样。,アーミヤ……少し後悔している。もっと早くあなたを知っていれば、多くのことが違っていただろう。,チェン,True
name,但很多错我已经犯下了。,陈,,,73,但很多错我已经犯下了。,しかし、多くの過ちを犯してしまった。,チェン,True
character,,char_002_amiya_1#7,,,74,,,char_002_amiya_1#7,True
name,我想，那时候的陈长官，也不一定会认同我现在的想法。,阿米娅,,,75,我想，那时候的陈长官，也不一定会认同我现在的想法。,あの時のドクター・チェンは、今の私の考えに賛同しなかったかもしれません。,アーミヤ,True
character,,char_010_chen_1,,,76,,,char_010_chen_1,True
name,不是长官了。叫我陈。,陈,,,77,不是长官了。叫我陈。,もはや長官ではない。私をチェンと呼んでくれ。,チェン,True
character,,char_002_amiya_1#7,,,78,,,char_002_amiya_1#7,True
name,陈小姐。,阿米娅,,,79,陈小姐。,チェンさん。,アーミヤ,True
character,,char_010_chen_1#5,,,80,,,char_010_chen_1#5,True
name,也行，这样正式点。会不会太正式了？,陈,,,81,也行，这样正式点。会不会太正式了？,それもいい、少し正式だね。堅苦しすぎるかな？,チェン,True
name,不好意思，让你看见我们姐妹那么难看的那一面。我以为我们的重逢会更戏剧性些......或者更俗套些的。,陈,,,82,不好意思，让你看见我们姐妹那么难看的那一面。我以为我们的重逢会更戏剧性些......或者更俗套些的。,すまない、私たち姉妹のそんな醜い姿を見せてしまって。再会はもっと劇的か、あるいはもっとお決まりのものになると思っていた……。,チェン,True
character,,char_002_amiya_1#7,,,83,,,char_002_amiya_1#7,True
name,我觉得再怎么俗套，当久别重逢以后，我们的感情就是一样的。,阿米娅,,,84,我觉得再怎么俗套，当久别重逢以后，我们的感情就是一样的。,どんなにお決まりでも、久しぶりに再会した後の私たちの感情は同じです。,アーミヤ,True
name,流泪很俗套吗？我不觉得。普通人都会流泪。,阿米娅,,,85,流泪很俗套吗？我不觉得。普通人都会流泪。,涙を流すのはお決まりですか？私はそう思いません。普通の人は涙を流します。,アーミヤ,True
character,,char_011_talula_1,,,86,,,char_011_talula_1,True
name,口才不错，卡特斯。情感攻势也拿捏得很准。,塔露拉？,,,87,口才不错，卡特斯。情感攻势也拿捏得很准。,口が達者ね、カーツ。感情攻勢も的確だ。,タルラ？,True
name,不过，雄辩当用来说服王庭与元老院，征服议会与摇摆不定的软蛋，煽动盲目的军士与暴躁的领民......而不是用来说服我。,塔露拉？,,,88,不过，雄辩当用来说服王庭与元老院，征服议会与摇摆不定的软蛋，煽动盲目的军士与暴躁的领民......而不是用来说服我。,しかし、雄弁は王庭や元老院を説得し、議会や優柔不断な連中を征服し、盲目な兵士や荒々しい民を扇動するために使うもので、私を説得するためではない。,タルラ？,True
name,“卡兹戴尔三次毁于大火。它数次得重建，得千万新血，得王庭盘踞，只是先前住民皆已身化灰烬，随风而去。”,塔露拉？,,,89,“卡兹戴尔三次毁于大火。它数次得重建，得千万新血，得王庭盘踞，只是先前住民皆已身化灰烬，随风而去。”,「カズデルは三度の大火で焼かれた。何度も再建され、数え切れない新たな血が流れ、王庭が居座ったが、かつての住民は皆灰と化し、風に消え去った。」,タルラ？,True
name,在切城时，你曾举起一面屏障，拦下我的呼吸......我放走了你，因为为你牺牲的英勇战士当得尊崇。,塔露拉？,,,90,在切城时，你曾举起一面屏障，拦下我的呼吸......我放走了你，因为为你牺牲的英勇战士当得尊崇。,チェ城にて、あなたは盾を掲げ私の呼吸を遮断した……あなたを見逃したのは、あなたのために犠牲となった勇敢な戦士たちが敬われるべきだからだ。,タルラ？,True
name,但现在，你已得我注视。你不再有机会逃走了。,塔露拉？,,,91,但现在，你已得我注视。你不再有机会逃走了。,しかし今、あなたは私の視線を受けている。もう逃げるチャンスはない。,タルラ？,True
name,活过一场火焚吧，卡特斯。,塔露拉？,,,92,活过一场火焚吧，卡特斯。,炎の中を生き抜け、カーツ。,タルラ？,True
character,,char_010_chen_1#2,,,93,,,char_010_chen_1#2,True
name,糟了......！阿米娅！快来我这里！,陈,,,94,糟了......！阿米娅！快来我这里！,まずい……！アーミヤ！早く私のところへ！,チェン,True
character,,char_011_talula_1,,,95,,,char_011_talula_1,True
name,我在与她对话，而不是你，妹妹。现在——,塔露拉？,,,96,我在与她对话，而不是你，妹妹。现在——,私は彼女と話しているのであって、あなたではない、妹よ。今――,タルラ？,True
name,——闻闻烧焦的她会是什么味。,塔露拉？,,,97,——闻闻烧焦的她会是什么味。,――焼け焦げた彼女がどんな香りか、嗅いでみるがいい。,タルラ？,True
character,,char_010_chen_1#2,,,98,,,char_010_chen_1#2,True
name,阿米娅！！,陈,,,99,阿米娅！！,アーミヤ！！,チェン,True
character,,,,,100,,,,True
stopmusic,,,,,101,,,,True
dialog,,,,,102,,,,True
playsound,,,,,103,,,,True
playsound,,,,,104,,,,True
playsound,,,,,105,,,,True
playsound,,,,,106,,,,True
camerashake,,,,,107,,,,True
blocker,,,,,108,,,,True
blocker,,,,,109,,,,True
blocker,,,,,110,,,,True
blocker,,,,,111,,,,True
blocker,,,,,112,,,,True
blocker,,,,,113,,,,True
character,,,,,114,,,,True
blocker,,,,,115,,,,True
image,,,avg_8_23,,116,,,,True
blocker,,,,,117,,,,True
character,,,,,118,,,,True
imagetween,,,,,119,,,,True
,烈焰自无形化作有形，白色的火浪呼啸着自四面八方扑向阿米娅，将她与她所踩的地面彻底包裹。,,,,120,烈焰自无形化作有形，白色的火浪呼啸着自四面八方扑向阿米娅，将她与她所踩的地面彻底包裹。,烈焔は形なきものから形あるものへと変わり、白い火の波が四方八方からアーミヤに迫り、彼女と彼女が踏んでいる地面を完全に包み込みました。,,True
dialog,,,,,121,,,,True
blocker,,,,,122,,,,True
image,,,,,123,,,,True
blocker,,,,,124,,,,True
dialog,,,,,125,,,,True
character,,,,,126,,,,True
playsound,,,,,127,,,,True
character,,char_010_chen_1#2,,,128,,,char_010_chen_1#2,True
name,你！,陈,,,129,你！,あなた！,チェン,True
character,,char_011_talula_1,,,130,,,char_011_タルラ_1,True
name,你试试看，你如果现在出剑，会不会把我的法术和她一起切开？,塔露拉？,,,131,你试试看，你如果现在出剑，会不会把我的法术和她一起切开？,試してみて、もし今剣を振るったら、私の術と彼女を一緒に切り裂けるでしょうか？,タルラ？,True
character,,char_010_chen_1#2,,,132,,,char_010_chen_1#2,True
name,放开她！塔露拉，放开她！你想杀的人是我！,陈,,,133,放开她！塔露拉，放开她！你想杀的人是我！,彼女を離せ！タルラ、離せ！お前が殺そうとしているのは私だ！,チェン,True
character,,char_011_talula_1,,,134,,,char_011_タルラ_1,True
name,太迟了。,塔露拉？,,,135,太迟了。,もう遅い。,タルラ？,True
dialog,,,,,136,,,,True
blocker,,,,,137,,,,True
character,,,,,138,,,,True
,三分钟已经到了。时间已经够了。,,,,139,三分钟已经到了。时间已经够了。,3分が経過しました。時間は十分です。,,True
,她们的思绪跨过了龙门与切尔诺伯格，她们的记忆越过了北部荒原与乌萨斯的土地。,,,,140,她们的思绪跨过了龙门与切尔诺伯格，她们的记忆越过了北部荒原与乌萨斯的土地。,彼女たちの思考は龍門とチェルノボーグを超え、記憶は北の荒野とウーサスの地を越えました。,,True
,自己已经厘清了陈的想法。自己已经把陈的战斗全都浓聚在此。自己已经把龙门与切尔诺伯格，以及北原上的一切烙在身上。,,,,141,自己已经厘清了陈的想法。自己已经把陈的战斗全都浓聚在此。自己已经把龙门与切尔诺伯格，以及北原上的一切烙在身上。,自分はもうチェンの考えをはっきりさせました。チェンの戦いをすべてここに凝縮しました。龍門とチェルノボーグ、そして北原のすべてを身に刻みました。,,True
dialog,,,,,142,,,,True
delay,,,,,143,,,,True
blocker,,,,,144,,,,True
playsound,,,,,145,,,,True
camerashake,,,,,146,,,,True
blocker,,,,,147,,,,True
blocker,,,,,148,,,,True
delay,,,,,149,,,,True
,黑色的线条自焰球内喷涌而出，继而收束成形，在焰球上划开裂口。,,,,150,黑色的线条自焰球内喷涌而出，继而收束成形，在焰球上划开裂口。,黒い線が焔球の中から噴き出し、次第に集まって形を成し、焔球に裂け目を引き開きました。,,True
,白焰忽尔消失。,,,,151,白焰忽尔消失。,白い焔は忽然と消え去りました。,,True
character,,char_011_talula_1,,,152,,,char_011_talula_1,True
name,......怎么......,塔露拉？,,,153,......怎么......,……どうして……,タルラ？,True
name,是什么切开了焰狱......？,塔露拉？,,,154,是什么切开了焰狱......？,何が焔獄を切り裂いたのですか……？,タルラ？,True
dialog,,,,,155,,,,True
character,,,,,156,,,,True
character,,char_002_amiya_1#7,,,157,,,char_002_amiya_1#7,True
delay,,,,,158,,,,True
dialog,,,,,159,,,,True
blocker,,,,,160,,,,True
,阿米娅剧烈地喘息着。,,,,161,阿米娅剧烈地喘息着。,アーミヤは激しく息をしています。,,True
,她闭上眼。,,,,162,她闭上眼。,彼女は目を閉じました。,,True
,许多想法在阿米娅的脑海中成型，又迅速散去。,,,,163,许多想法在阿米娅的脑海中成型，又迅速散去。,多くの思いがアーミヤの脳裏に形作られ、すぐに散っていきました。,,True
character,,,,,164,,,,True
dialog,,,,,165,,,,True
background,,,bg_light,,166,,,,True
playmusic,,,,,167,,,,True
blocker,,,,,168,,,,True
delay,,,,,169,,,,True
character,,char_1505_frstar_1,,,170,,,char_1505_frstar_1,True
,她记得霜星咬牙切齿的悲鸣。,,,,171,她记得霜星咬牙切齿的悲鸣。,彼女はフロストスターの歯ぎしりする悲鳴を覚えています。,,True
character,,,,,172,,,,True
character,,avg_npc_025_1,,,173,,,avg_npc_025_1,True
,她看见温迪戈屹立不倒的遗躯。,,,,174,她看见温迪戈屹立不倒的遗躯。,彼女はウィンディゴの倒れない遺体を見ました。,,True
character,,,,,175,,,,True
character,,avg_npc_079#4,,,176,,,avg_npc_079#4,True
,她听过阿丽娜压抑不住的轻呼。,,,,177,她听过阿丽娜压抑不住的轻呼。,彼女はアリーナの抑えきれない小さな声を聞きました。,,True
character,,,,,178,,,,True
character,,char_014_riope,,avg_npc_026,179,,,char_014_riope,True
,她看见Ace与Scout，想起精英干员们在酒会上跳舞。,,,,180,她看见Ace与Scout，想起精英干员们在酒会上跳舞。,彼女はエースとスカウトを見て、エリートオペレーターたちがパーティーで踊っていることを思い出しました。,,True
character,,,,,181,,,,True
,她也想起丽萨从烤箱里端出姜饼，想起米米的手工小胸牌，看见稚日在走道停电时胸口亮起的微弱的光和他傻笑着的雀斑脸。,,,,182,她也想起丽萨从烤箱里端出姜饼，想起米米的手工小胸牌，看见稚日在走道停电时胸口亮起的微弱的光和他傻笑着的雀斑脸。,彼女はリサがオーブンからジンジャーブレッドを取り出すのを思い出し、ミミの手作りの小さなバッジを思い出し、停電した通路で稚日が胸にかすかな光を灯したときの彼のそばかす顔のにこやかな笑顔を見ました。,,True
,她想起爸爸和妈妈。,,,,183,她想起爸爸和妈妈。,彼女はお父さんとお母さんを思い出しました。,,True
,她看见妈妈帮她稳住琴弓时托住她肩膀的手，妈妈的手指白皙又修长，但伤疤和老茧蹭得她有些难受。,,,,184,她看见妈妈帮她稳住琴弓时托住她肩膀的手，妈妈的手指白皙又修长，但伤疤和老茧蹭得她有些难受。,彼女はお母さんが琴の弓を安定させるときに肩を支えた手を見ました。お母さんの指は白く細長いですが、傷痕とたこで少し痛そうでした。,,True
,她看见爸爸把她推出门外后摔落下去，她想不起爸爸说了什么，只记得他眼带泪花，说了声再见，活下去，阿米娅。,,,,185,她看见爸爸把她推出门外后摔落下去，她想不起爸爸说了什么，只记得他眼带泪花，说了声再见，活下去，阿米娅。,彼女はお父さんが彼女を戸の外に押し出してから落ちていくのを見ました。お父さんが何を言ったか思い出せませんが、涙を浮かべて、「さよなら、アーミヤ、生きてください」と言ったことだけ覚えています。,,True
character,,,,,186,,,,True
character,,avg_npc_056,,,187,,,avg_npc_056,True
,她看见特蕾西娅将剑刺入自己胸膛。,,,,188,她看见特蕾西娅将剑刺入自己胸膛。,彼女はテレシアが剣を自分の胸に刺すのを見ました。,,True
,她看见特蕾西娅说了声晚安后关上了灯。,,,,189,她看见特蕾西娅说了声晚安后关上了灯。,彼女はテレシアが「おやすみなさい」と言ってから電気を消したのを見ました。,,True
,她看见特蕾西娅为她挑了件白色的衣裳，笑得比自己还开心。,,,,190,她看见特蕾西娅为她挑了件白色的衣裳，笑得比自己还开心。,彼女はテレシアが彼女のために白い服を選び、自分よりも嬉しそうに笑っているのを見ました。,,True
character,,,,,191,,,,True
character,,avg_npc_048,,,192,,,avg_npc_048,True
,她看见博士走在她身前。她看见博士回头，等她走到身旁，才继续迈步。,,,,193,她看见博士走在她身前。她看见博士回头，等她走到身旁，才继续迈步。,彼女はドクターが自分の前を歩くのを見ました。ドクターが振り返り、彼女が隣に来るのを待ってからまた歩き始めました。,,True
character,,,,,194,,,,True
dialog,,,,,195,,,,True
delay,,,,,196,,,,True
dialog,,,,,197,,,,True
blocker,,,,,198,,,,True
subtitle,她看见一个萨卡兹。,,,,199,她看见一个萨卡兹。,彼女は一人のサカーズを見ました。,,True
subtitle,,,,,200,,,,True
subtitle,大火。同样也是大火。烧光一切却烧不尽恶意的大火。本就诞生自邪恶的大火。,,,,201,大火。同样也是大火。烧光一切却烧不尽恶意的大火。本就诞生自邪恶的大火。,大火。同じく大火です。すべてを焼き尽くすが、悪意を焼き尽くせない大火。元々邪悪から生まれた大火。,,True
subtitle,,,,,202,,,,True
subtitle,同样也是被大火包围的营帐里，那个萨卡兹高声咆哮。,,,,203,同样也是被大火包围的营帐里，那个萨卡兹高声咆哮。,同じく大火に囲まれた野営の中で、あのサカズは大声で吠えた。,,True
subtitle,,,,,204,,,,True
subtitle,我们又被背叛了！他们撕毁了协约，他们突袭了我们的驻地！,,,,205,我们又被背叛了！他们撕毁了协约，他们突袭了我们的驻地！,私たちはまた裏切られた！彼らは協定を破り、私たちの駐屯地を襲撃した！,,True
subtitle,,,,,206,,,,True
subtitle,那只是些普通的人，那些不是士兵！那只是些普通的萨卡兹人！！,,,,207,那只是些普通的人，那些不是士兵！那只是些普通的萨卡兹人！！,あれはただの普通の人々で、兵士ではない！ただの普通のサカズだ！！,,True
subtitle,,,,,208,,,,True
subtitle,为什么要杀死我的妻儿？为什么我的子民要受到如此不公的待遇？！,,,,209,为什么要杀死我的妻儿？为什么我的子民要受到如此不公的待遇？！,なぜ私の妻子を殺すのか？なぜ私の民がこんなに不当な扱いを受けなければならないのか？！,,True
subtitle,,,,,210,,,,True
subtitle,为什么不允许我们活下去？！,,,,211,为什么不允许我们活下去？！,なぜ私たちが生きることを許さないのか？！,,True
subtitle,,,,,212,,,,True
subtitle,我们只是想要一片安宁的土地！我们只是想要找个地方生活！,,,,213,我们只是想要一片安宁的土地！我们只是想要找个地方生活！,私たちはただ平穏な土地が欲しいだけだ！ただ暮らす場所が欲しいだけだ！,,True
subtitle,,,,,214,,,,True
subtitle,只因为我们是萨卡兹吗？！,,,,215,只因为我们是萨卡兹吗？！,ただ私たちがサカズだからですか？！,,True
subtitle,,,,,216,,,,True
,阿米娅的泪滴在火焰中蒸发。,,,,217,阿米娅的泪滴在火焰中蒸发。,アーミヤの涙は炎の中で蒸発しました。,,True
,只因为我们是感染者吗？阿米娅问到。,,,,218,只因为我们是感染者吗？阿米娅问到。,ただ私たちが感染者だからですか？アーミヤは尋ねました。,,True
dialog,,,,,219,,,,True
subtitle,只因为我们是萨卡兹，我们就是铁石心肠就是牲畜不如，就不该在这大地上活下去了吗？,,,,220,只因为我们是萨卡兹，我们就是铁石心肠就是牲畜不如，就不该在这大地上活下去了吗？,ただ私たちがサカズだから、私たちは冷酷で家畜以下で、この大地に生きるべきでないのですか？,,True
subtitle,,,,,221,,,,True
subtitle,那个萨卡兹的吼声刺透了焰舌，刺透了法术，刺透了时代。,,,,222,那个萨卡兹的吼声刺透了焰舌，刺透了法术，刺透了时代。,あのサカズの咆哮は炎の舌を突き刺し、魔法を突き刺し、時代を突き刺した。,,True
subtitle,,,,,223,,,,True
subtitle,他们做过什么坏事？他们不是无辜的吗？！,,,,224,他们做过什么坏事？他们不是无辜的吗？！,彼らは何の悪事を働いた？彼らは無実ではないのか？！,,True
subtitle,,,,,225,,,,True
,你恨他们吗？阿米娅轻声问。,,,,226,你恨他们吗？阿米娅轻声问。,あなたは彼らを憎んでいますか？アーミヤは静かに尋ねました。,,True
dialog,,,,,227,,,,True
subtitle,记忆是不会回答的。,,,,228,记忆是不会回答的。,記憶は答えない。,,True
subtitle,,,,,229,,,,True
subtitle,但高大的萨卡兹仿佛知晓一定会有人问出这个问题般说了下去。,,,,230,但高大的萨卡兹仿佛知晓一定会有人问出这个问题般说了下去。,だが背の高いサカズは、きっと誰かがこの問いを投げかけることを知っているかのように語り続けた。,,True
subtitle,,,,,231,,,,True
subtitle,不，或许他自己就不断地在问自己这个问题——,,,,232,不，或许他自己就不断地在问自己这个问题——,いいえ、もしかすると彼自身が絶えず自分自身にこの問いを投げかけている——,,True
subtitle,,,,,233,,,,True
subtitle,他们恨我们吗？！无来由地残害我们的同胞，允诺后反悔，为了掩盖罪恶犯下更大的罪恶！,,,,234,他们恨我们吗？！无来由地残害我们的同胞，允诺后反悔，为了掩盖罪恶犯下更大的罪恶！,彼らは私たちを憎んでいるのか？！理由もなく仲間を害し、約束を反故にし、罪を隠すためにさらに大きな罪を犯した！,,True
subtitle,,,,,235,,,,True
subtitle,这是玩弄，还是操控？这是逐利还是单纯的虐待？这是他们一时的偏执，还是骨子里的恶毒？,,,,236,这是玩弄，还是操控？这是逐利还是单纯的虐待？这是他们一时的偏执，还是骨子里的恶毒？,これは弄ぶことか、それとも操ることか？これは利益追求か、単なる虐待か？これは彼らの一時の偏執か、それとも根っからの悪意か？,,True
subtitle,,,,,237,,,,True
subtitle,他们该恨的是我们吗？,,,,238,他们该恨的是我们吗？,彼らが憎むべきは私たちなのか？,,True
subtitle,,,,,239,,,,True
subtitle,他们应该要恨他们自己，恨自己把自己的这片土地变成这种样子，把我们所有人都变成了恶棍！,,,,240,他们应该要恨他们自己，恨自己把自己的这片土地变成这种样子，把我们所有人都变成了恶棍！,彼らが憎むべきは自分自身だ、自分の土地をこんな姿に変え、私たちみんなを悪党にしてしまった自分自身を！,,True
subtitle,,,,,241,,,,True
subtitle,萨卡兹拿起了剑。,,,,242,萨卡兹拿起了剑。,サカズが剣を取った。,,True
subtitle,,,,,243,,,,True
,黑色与青色浸透了长剑的每个部分，那重量压在阿米娅的肩上，那长剑握在阿米娅手里。,,,,244,黑色与青色浸透了长剑的每个部分，那重量压在阿米娅的肩上，那长剑握在阿米娅手里。,黒と青が長剣のすべての部分を染め、その重さがアーミヤの肩にのしかかり、その長剣がアーミヤの手に握られていた。,,True
dialog,,,,,245,,,,True
subtitle,我恨他们吗？,,,,246,我恨他们吗？,私は彼らを憎んでいるのか？,,True
subtitle,,,,,247,,,,True
subtitle,愤怒。愤怒。,,,,248,愤怒。愤怒。,憤り。憤り。,,True
subtitle,,,,,249,,,,True
subtitle,无止境的愤怒，对这片大地上一切痛苦与不公的愤怒。,,,,250,无止境的愤怒，对这片大地上一切痛苦与不公的愤怒。,終わりなき怒り、この大地のすべての苦痛と不正に対する怒り。,,True
subtitle,,,,,251,,,,True
subtitle,冲破了萨卡兹的底线，冲破了阿米娅的心防。,,,,252,冲破了萨卡兹的底线，冲破了阿米娅的心防。,サカズの限界を突破し、アーミヤの心の防御を破った。,,True
subtitle,,,,,253,,,,True
subtitle,憎恨连仇怨都杀不死，养育恶意的东西怎么能战胜恶意？,,,,254,憎恨连仇怨都杀不死，养育恶意的东西怎么能战胜恶意？,憎しみは恨みさえも殺せず、悪意を育ててきたものがどうして悪意に勝てるのか？,,True
subtitle,,,,,255,,,,True
subtitle,但是......怒火是不一样的。,,,,256,但是......怒火是不一样的。,しかし……怒りは異なるものだ。,,True
subtitle,,,,,257,,,,True
subtitle,即使我不报复也不怀恨，我也有永远愤怒下去的权力！萨卡兹怒吼到。,,,,258,即使我不报复也不怀恨，我也有永远愤怒下去的权力！萨卡兹怒吼到。,たとえ私が復讐もしなければ恨みも抱かなくても、私は永遠に怒り続ける権利があるのだ！サカズは叫んだ。,,True
subtitle,,,,,259,,,,True
subtitle,如果他们没想过这个结局，他们就不该这样做！,,,,260,如果他们没想过这个结局，他们就不该这样做！,もし彼らがこの結末を考えていなかったなら、こんなことをするべきではなかったのだ！,,True
subtitle,,,,,261,,,,True
dialog,,,,,262,,,,True
blocker,,,,,263,,,,True
subtitle,火焰在他的吼叫中颤动不止，它们畏缩，自嘲弄的橙色转化成青色。青色的火焰越烧越旺。,,,,264,火焰在他的吼叫中颤动不止，它们畏缩，自嘲弄的橙色转化成青色。青色的火焰越烧越旺。,炎は彼の怒号の中で震え続け、それらはひるみ、嘲笑する橙色は青色に変わった。青い炎は燃え盛っていく。,,True
subtitle,,,,,265,,,,True
