command,text_orig,key,is_skippable,fit_mode,time,a,r,g,b,fadetime,block,intro,volume,crossfade,delay,image,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,screenadapt,width,height,name,name2,focus,options,values,references,option_number,index,text,jp_text,jp_name,text_match
name,他我可怜不起来。我可怜浮士德，他救了我的命，也是个好指挥官。,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,0,21,他我可怜不起来。我可怜浮士德，他救了我的命，也是个好指挥官。,彼には同情できない。私は浮士德には同情する、命を救ってくれたし、良い指揮官でもある。,整合運動のメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,2,,,,0,22,,,,False
name,浮士德把梅菲斯特托付给了我们......这是他最后的命令。我们会做到。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,23,浮士德把梅菲斯特托付给了我们......这是他最后的命令。我们会做到。,浮士德はメフィストを私たちに託した……これが彼の最後の命令です。私たちはそれを果たします。,幻影の弩手,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,1,,,,0,24,,,,False
name,干我什么事？,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,0,25,干我什么事？,俺には関係ないだろ？,整合運動のメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,2,,,,0,26,,,,False
name,一起出城，你们存活的可能性会大些。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,27,一起出城，你们存活的可能性会大些。,一緒に街を出れば、生き残る可能性は高くなる。,幻影の弩手,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,1,,,,0,28,,,,False
name,......行，那走吧。,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,0,29,......行，那走吧。,……わかった、行こう。,整合運動のメンバー,True
name,你们要把他带去哪？,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,0,30,你们要把他带去哪？,どこへ連れて行くつもりだ？,整合運動のメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,2,,,,0,31,,,,False
name,浮士德说过，不希望我们带他回切尔诺伯格。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,32,浮士德说过，不希望我们带他回切尔诺伯格。,浮士德は、彼をチェルノボーグには連れて帰ってほしくないと言った。,幻影の弩手,True
name,......可他又有哪里可以去？,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,33,......可他又有哪里可以去？,……でも彼はどこに行けるというのか？,幻影の弩手,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,1,,,,0,34,,,,False
name,你们跟浮士德多久了？,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,0,35,你们跟浮士德多久了？,お前たちは浮士德とどれくらいの付き合いだ？,整合運動のメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,2,,,,0,36,,,,False
name,哈......一开始，是他跟着我们才对。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,37,哈......一开始，是他跟着我们才对。,はは……最初のうちは、彼が私たちに付いてきていたんだ。,幻影の弩手,True
name,四五年前，浮士德并不会用什么战术，弩箭用的也并不好。这些都是我们教他的。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,38,四五年前，浮士德并不会用什么战术，弩箭用的也并不好。这些都是我们教他的。,四、五年前、浮士德は戦術も知らなかったし、弩の扱いも下手だった。これらは全部私たちが教えたんだ。,幻影の弩手,True
name,他不断地学，不断地练习，和雪怪切磋，和爱国者的士兵一起训练，他越来越强......,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,39,他不断地学，不断地练习，和雪怪切磋，和爱国者的士兵一起训练，他越来越强......,彼は絶えず学び、練習し、雪怪と切磋琢磨し、愛国者の兵士たちとも共に訓練した。どんどん強くなった……。,幻影の弩手,True
name,爱国者和霜星都教过他。他成了我们的队长，虽然我们不怎么这么叫他，但他名副其实。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,40,爱国者和霜星都教过他。他成了我们的队长，虽然我们不怎么这么叫他，但他名副其实。,愛国者も霜星も彼に教えた。彼は私たちの隊長になった。私たちはあまりそう呼ばないが、まさしくその通りだ。,幻影の弩手,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,1,,,,0,41,,,,False
name,......你们很幸运。,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,0,42,......你们很幸运。,……お前たちは運がいいな。,整合運動のメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,2,,,,0,43,,,,False
name,不管梅菲斯特怎么样，浮士德从来没逼我们做过什么。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,44,不管梅菲斯特怎么样，浮士德从来没逼我们做过什么。,メフィストがどうあろうと、浮士德は私たちに無理強いしたことは一度もない。,幻影の弩手,True
name,射手们，不要省高爆弩弹了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,45,射手们，不要省高爆弩弹了。,射手たち、高性能爆裂弩弾はケチるな。,幻影の弩手,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,1,,,,0,46,,,,False
name,这些弩弹，一会儿还能用来对付近卫局啊？,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,0,47,这些弩弹，一会儿还能用来对付近卫局啊？,その弩弾、後で近衛局に使うんじゃないのか？,整合運動のメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,2,,,,0,48,,,,False
name,浮士德一直坚持为我们死去的队友这么做。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,49,浮士德一直坚持为我们死去的队友这么做。,浮士德はずっと、亡くなった仲間への敬意としてこれを続けてきた。,幻影の弩手,True
name,“表达敬意可以不算是浪费。”,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,50,“表达敬意可以不算是浪费。”,「敬意を表すことは無駄にはならない」,幻影の弩手,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,,,,False
blocker,,,,,,1,0,0,0,0.5,true,,,,,,,,,,,,,,,,,,,,,,,,0,53,,,,False
background,,,,,,,,,,,,,,,,bg_outcity_1,,,,,,,,,,coverall,1,1,,,,,,,0,54,,,,False
blocker,,,,,,0,0,0,0,0.5,true,,,,,,,,,,,,,,,,,,,,,,,,0,55,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#3,,,,,,0,56,,,,False
name,灰喉？,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,57,灰喉？,グレイヴァ？,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_367_swllow_1,,,,,,0,58,,,,False
name,他......,,,,,,,,,,,,,,,,,,,,,,,,,,,,灰喉,,,,,,0,59,他......,彼は……,グレイヴァ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,char_367_swllow_1,1,,,,0,60,,,,False
name,如果我没记错，他应该是梅菲斯特身边的弩手，整合运动的另一位指挥官。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,61,如果我没记错，他应该是梅菲斯特身边的弩手，整合运动的另一位指挥官。,確か、彼はメフィストのそばにいる弩手で、整合運動のもう一人の指揮官のはずです。,アーミヤ,True
name,......你认识他？,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,62,......你认识他？,……あなたは彼を知っているのですか？,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,char_367_swllow_1#3,2,,,,0,63,,,,False
name,我不知道。我不知道自己和他......算不算认识。,,,,,,,,,,,,,,,,,,,,,,,,,,,,灰喉,,,,,,0,64,我不知道。我不知道自己和他......算不算认识。,わからない。自分が彼を……知っていると言えるのかもわからない。,グレイヴァ,True
decision,罗德岛能做的事，好像真的不多。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,罗德岛能做的事，好像真的不多。;......;我们真的有成功救下过什么感染者吗？,1;2;3,,3,65,罗德岛能做的事，好像真的不多。,ロドスができることは、本当に多くないようだ。,,True
decision,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,罗德岛能做的事，好像真的不多。;......;我们真的有成功救下过什么感染者吗？,1;2;3,,3,66,......,……,,True
decision,我们真的有成功救下过什么感染者吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,罗德岛能做的事，好像真的不多。;......;我们真的有成功救下过什么感染者吗？,1;2;3,,3,67,我们真的有成功救下过什么感染者吗？,私たちは本当に感染者を救えたことがあるのだろうか？,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,0,68,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,69,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,0,70,,,,False
name,是啊。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,71,是啊。,はい、そうです。,アーミヤ,True
name,罗德岛就是这样......大多数时候，都是这样。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,72,罗德岛就是这样......大多数时候，都是这样。,ロドスはこういうものです……大抵の場合、そうなのです。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,0,73,,,,False
name,但哪怕只有一点点能做的，我们也会去做。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,74,但哪怕只有一点点能做的，我们也会去做。,でも、少しでもできることがあれば、私たちはやります。,アーミヤ,True
name,我们一定会去做。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,75,我们一定会去做。,必ずそうします。,アーミヤ,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,76,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,0,77,,,,False
name,博士是在想过去的事情吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,78,博士是在想过去的事情吗？,ドクターは過去のことを考えているのですか？,アーミヤ,True
name,是在想......过去也看过许多次死亡？,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,79,是在想......过去也看过许多次死亡？,過去に何度も死を見てきたことを考えているのでしょうか？,アーミヤ,True
name,我是猜不出博士的心思，也不想直接感知博士你的。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,80,我是猜不出博士的心思，也不想直接感知博士你的。,私はドクターの考えは推し量れませんし、直接ドクターの心を感知したいとも思いません。,アーミヤ,True
name,因为......我想博士有一天能亲自告诉我。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,81,因为......我想博士有一天能亲自告诉我。,なぜなら……いつかドクターが自分で教えてくれると思うからです。,アーミヤ,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,82,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,0,83,,,,False
name,......干员们付出了许多。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,84,......干员们付出了许多。,……オペレーターたちは多くを犠牲にしました。,アーミヤ,True
name,死亡会比拯救更令人印象深刻。任何一次死亡，都会很难忘。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,85,死亡会比拯救更令人印象深刻。任何一次死亡，都会很难忘。,死は救いよりも印象に残ります。どんな死も忘れがたいものです。,アーミヤ,True
name,但是我很清楚，如果没有干员们的努力，我们会看见更多死亡。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,86,但是我很清楚，如果没有干员们的努力，我们会看见更多死亡。,でも、私ははっきりわかっています。オペレーターたちの努力がなければ、もっと多くの死を目にするでしょう。,アーミヤ,True
name,更多，更多，更多的死亡......,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,87,更多，更多，更多的死亡......,もっと、もっと、もっとたくさんの死が……。,アーミヤ,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,0,88,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_367_swllow_1,,,,,,0,89,,,,False
name,以前我以为，罗德岛就是为了感染者去战斗的。,,,,,,,,,,,,,,,,,,,,,,,,,,,,灰喉,,,,,,0,90,以前我以为，罗德岛就是为了感染者去战斗的。,前は思ってたんだ、ロドスは感染者のために戦っているって。,グレイヴァ,True
name,可是现在，倒在我们手下的却都是感染者。,,,,,,,,,,,,,,,,,,,,,,,,,,,,灰喉,,,,,,0,91,可是现在，倒在我们手下的却都是感染者。,でも今は、俺たちの手で倒れているのは感染者ばかりだ。,グレイヴァ,True
name,阿米娅......,,,,,,,,,,,,,,,,,,,,,,,,,,,,灰喉,,,,,,0,92,阿米娅......,アーミヤ……,グレイヴァ,True
name,罗德岛在为什么而战？,,,,,,,,,,,,,,,,,,,,,,,,,,,,灰喉,,,,,,0,93,罗德岛在为什么而战？,ロドスは何のために戦っているんだ？,グレイヴァ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,94,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,95,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,96,,,,False
character,,,,,,,,,,1,true,,,,,,,,,,,,,,,,,,char_017_homura_3#9,,,,,,0,97,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,98,,,,False
name,你现在问这种问题？,,,,,,,,,,,,,,,,,,,,,,,,,,,,煌,,,,,,0,99,你现在问这种问题？,今そんなこと聞くのか？,コーラル,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_017_homura_3#9,char_002_amiya_1#4,2,,,,0,100,,,,False
name,煌。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,101,煌。,コーラル。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,char_002_amiya_1#4,1,,,,0,102,,,,False
name,......你说吧。,,,,,,,,,,,,,,,,,,,,,,,,,,,,煌,,,,,,0,103,......你说吧。,……言ってみろよ。,コーラル,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,0,104,,,,False
name,这个问题，我也常常问自己。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,105,这个问题，我也常常问自己。,この問題は、私もよく自分に問いかけています。,アーミヤ,True
name,感染者，普通人，每天都在我们面前死去。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,106,感染者，普通人，每天都在我们面前死去。,感染者も一般人も、毎日私たちの目の前で亡くなっています。,アーミヤ,True
name,......我们不会，也不应该只是“阻止一次死亡”。对于这片大地来说，这没有意义。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,107,......我们不会，也不应该只是“阻止一次死亡”。对于这片大地来说，这没有意义。,……私たちはただ「一度の死を防ぐ」だけではないし、そうあるべきでもありません。この大地には意味がありません。,アーミヤ,True
name,就像现在......就像我们面对的这场战斗一样。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,108,就像现在......就像我们面对的这场战斗一样。,今のように……今私たちが直面している戦いのように。,アーミヤ,True
name,让战斗双方死去的，绝不是一把弩，一个法术......一场爆炸或是一个伤口。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,109,让战斗双方死去的，绝不是一把弩，一个法术......一场爆炸或是一个伤口。,戦いの両者を死に至らしめるものは、ただの一挺の弩、ひとつの術……ひとつの爆発や傷ではありません。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,0,110,,,,False
name,我们要战胜的，是催生了这一切的......普通人对感染者的仇视，感染者对普通人的仇视，他们互相厮杀的理由。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,111,我们要战胜的，是催生了这一切的......普通人对感染者的仇视，感染者对普通人的仇视，他们互相厮杀的理由。,私たちが克服しなければならないのは、これらすべてを生み出した……一般人の感染者への憎悪と、感染者の一般人への憎悪、彼らが殺し合う理由です。,アーミヤ,True
name,我们要铲除滋生仇恨的土壤。既用药物，也用行动。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,112,我们要铲除滋生仇恨的土壤。既用药物，也用行动。,私たちは憎悪を育てる土壌を根絶しなければなりません。薬も行動も使って。,アーミヤ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,113,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,114,,,,False
playsound,,$d_gen_signalbomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,115,,,,False
blocker,,,,,,0.7,0.95,0.95,0.95,0,true,,,,,,,,,,,,,,,,,,,,,,,,0,116,,,,False
blocker,,,,,,0,0.95,0.95,0.95,0.3,true,,,,,,,,,,,,,,,,,,,,,,,,0,117,,,,False
delay,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,118,,,,False
blocker,,,,,,0.7,0.95,0.95,0.95,0,true,,,,,,,,,,,,,,,,,,,,,,,,0,119,,,,False
blocker,,,,,,0,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,0,120,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,,,,,,0,121,,,,False
name,啊——,,,,,,,,,,,,,,,,,,,,,,,,,,,,煌,,,,,,0,122,啊——,あーっ,コーラル,True
name,那是不是整合运动发射的？,,,,,,,,,,,,,,,,,,,,,,,,,,,,煌,,,,,,0,123,那是不是整合运动发射的？,あれは整合運動が発射したものか？,コーラル,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,char_002_amiya_1#7,2,,,,0,124,,,,False
name,......是施加了源石技艺的弩弹。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,125,......是施加了源石技艺的弩弹。,……源石技術が施された弩弾です。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,char_002_amiya_1#7,1,,,,0,126,,,,False
name,好烂的烟火啊。,,,,,,,,,,,,,,,,,,,,,,,,,,,,煌,,,,,,0,127,好烂的烟火啊。,ひどい花火だな。,コーラル,True
name,按临光说的，在切尔诺伯格的时候，这长鳞的小子还有着相当强的战斗力。,,,,,,,,,,,,,,,,,,,,,,,,,,,,煌,,,,,,0,128,按临光说的，在切尔诺伯格的时候，这长鳞的小子还有着相当强的战斗力。,リンカによると、チェルノボーグにいたとき、この長い鱗のガキはかなり強かったらしい。,コーラル,True
name,她说那时候她的胳膊都差点被打断，凭我对这个女人的了解，至少我肯定是打不断的。,,,,,,,,,,,,,,,,,,,,,,,,,,,,煌,,,,,,0,129,她说那时候她的胳膊都差点被打断，凭我对这个女人的了解，至少我肯定是打不断的。,彼女はあのとき腕を折りかけたと言っていた。俺があの女を知る限り、少なくとも俺は折られない。,コーラル,True
name,但刚才我只觉得他的弦已经完了，弩弹里也没剩下多少法术。,,,,,,,,,,,,,,,,,,,,,,,,,,,,煌,,,,,,0,130,但刚才我只觉得他的弦已经完了，弩弹里也没剩下多少法术。,でもさっきは、弦はもう終わってるし、弩弾にもあまり術の力は残ってなかったように感じた。,コーラル,True
name,怎么回事啊，臭小子。,,,,,,,,,,,,,,,,,,,,,,,,,,,,煌,,,,,,0,131,怎么回事啊，臭小子。,どういうことだよ、このクソガキ。,コーラル,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,char_002_amiya_1#4,2,,,,0,132,,,,False
name,我想，他可能......没有理由再战斗下去了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,133,我想，他可能......没有理由再战斗下去了。,おそらく、彼には……もう戦う理由がないのだと思います。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,char_002_amiya_1#4,1,,,,0,134,,,,False
name,我说，阿米娅，有没有他用法术避过了攻击的可能性？,,,,,,,,,,,,,,,,,,,,,,,,,,,,煌,,,,,,0,135,我说，阿米娅，有没有他用法术避过了攻击的可能性？,なあ、アーミヤ、彼が術を使って攻撃をかわした可能性はないか？,コーラル,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,char_002_amiya_1#4,2,,,,0,136,,,,False
name,......抱歉。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,137,......抱歉。,……ごめんなさい。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,char_002_amiya_1#4,1,,,,0,138,,,,False
name,道什么歉啊。我只是可惜那个小子。凭我一眼看穿人的本事看，他不坏。,,,,,,,,,,,,,,,,,,,,,,,,,,,,煌,,,,,,0,139,道什么歉啊。我只是可惜那个小子。凭我一眼看穿人的本事看，他不坏。,謝るなよ。俺はただあのガキが気の毒なだけだ。人を見る目から言って、悪い奴じゃねえよ。,コーラル,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_367_swllow_1,,,,,,0,140,,,,False
name,现在说什么都太晚了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,灰喉,,,,,,0,141,现在说什么都太晚了。,もう何を言っても遅すぎる。,グレイヴァ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#1,char_367_swllow_1,1,,,,0,142,,,,False
name,并不晚。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,143,并不晚。,遅くはありません。,アーミヤ,True
name,过去埋下的悲剧，现在开花结果......而未来的悲剧，我们还有能力去阻止。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,144,过去埋下的悲剧，现在开花结果......而未来的悲剧，我们还有能力去阻止。,過去に植え付けられた悲劇が今、花開く……しかし未来の悲劇は、私たちにはまだ防ぐ力があります。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#1,char_367_swllow_1,2,,,,0,145,,,,False
name,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,灰喉,,,,,,0,146,......,……,グレイヴァ,True
name,我去回收他的弩。,,,,,,,,,,,,,,,,,,,,,,,,,,,,灰喉,,,,,,0,147,我去回收他的弩。,彼の弩を回収しに行く。,グレイヴァ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,148,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,149,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,150,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,char_002_amiya_1#1,1,,,,0,151,,,,False
name,她开窍了？,,,,,,,,,,,,,,,,,,,,,,,,,,,,煌,,,,,,0,152,她开窍了？,彼女、目覚めたのか？,コーラル,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,char_002_amiya_1#1,2,,,,0,153,,,,False
name,你不知道她的过去吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,154,你不知道她的过去吗？,彼女の過去を知らないのですか？,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,char_002_amiya_1#1,1,,,,0,155,,,,False
name,她没告诉我啊？我们也没那么熟。,,,,,,,,,,,,,,,,,,,,,,,,,,,,煌,,,,,,0,156,她没告诉我啊？我们也没那么熟。,教えてくれなかったよ？俺たち、そんなに仲良くないし。,コーラル,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,char_002_amiya_1#4,2,,,,0,157,,,,False
