command,text_orig,name,image,index,text,jp_text,jp_name,text_match
character,,avg_npc_042,,37,,,avg_npc_042,True
name,什么两类人？我和阿米娅关系很好，她教会了我许多事。,迷迭香,,38,什么两类人？我和阿米娅关系很好，她教会了我许多事。,別のタイプとは何ですか？私はアーミヤとは仲が良く、彼女には多くのことを教わりました。,ロズマリー,True
character,,avg_npc_058,,39,,,avg_npc_058,True
name,......呵，你会懂的。,盾卫,,40,......呵，你会懂的。,……ふっ、いずれわかるさ。,シールドガード,True
character,,avg_npc_042,,41,,,avg_npc_042,True
name,装神弄鬼......我也不想知道。,迷迭香,,42,装神弄鬼......我也不想知道。,まやかし……私も知りたくありません。,ロズマリー,True
name,你刚才说，我能加入你们？,迷迭香,,43,你刚才说，我能加入你们？,先ほど、私があなたたちに加われると仰いましたか？,ロズマリー,True
character,,avg_npc_058,,44,,,avg_npc_058,True
name,你可以。,盾卫,,45,你可以。,できます。,シールドガード,True
name,我们欢迎任何人。,盾卫,,46,我们欢迎任何人。,我々は誰でも歓迎します。,シールドガード,True
name,只要你为感染者的命运感到不公，只要你对乌萨斯感到愤怒，只要你想要战斗。,盾卫,,47,只要你为感染者的命运感到不公，只要你对乌萨斯感到愤怒，只要你想要战斗。,感染者の運命に理不尽を感じ、ウーサスに怒りを抱き、戦いたいと思うなら。,シールドガード,True
name,你就可以加入我们。,盾卫,,48,你就可以加入我们。,お前は我々に加わることができる。,シールドガード,True
name,你以为我们的队伍里只有乌萨斯人，只有这个国家的子民？不是的，菲林。,盾卫,,49,你以为我们的队伍里只有乌萨斯人，只有这个国家的子民？不是的，菲林。,我々の隊にはウーサス人だけ、この国の民だけだと思うか？違う、フィリン。,シールドガード,True
dialog,,,,50,,,,True
character,,,,51,,,,True
character,,avg_npc_058_2,,52,,,avg_npc_058_2,True
delay,,,,53,,,,True
character,,avg_npc_042,,54,,,avg_npc_042,True
name,......你也是菲林。,迷迭香,,55,......你也是菲林。,……あなたもフィリニアンですね。,迷迭香,True
character,,avg_npc_058_2,,56,,,avg_npc_058_2,True
name,我生长在雷姆必拓，随着父母来到乌萨斯，然后在这片寒冷的土地扎根。,盾卫,,57,我生长在雷姆必拓，随着父母来到乌萨斯，然后在这片寒冷的土地扎根。,私はレムビトールで育ち、両親と共にウーサスに来て、この寒い土地に根を下ろしました。,シールドナイト,True
name,我从小喜欢和人打架，于是后来决定参军。,盾卫,,58,我从小喜欢和人打架，于是后来决定参军。,幼い頃から喧嘩が好きで、後に軍に入ることを決めました。,シールドナイト,True
name,虽然乌萨斯的参军测验对菲林来说有些严苛，但我还是成功了。,盾卫,,59,虽然乌萨斯的参军测验对菲林来说有些严苛，但我还是成功了。,ウーサスの入隊試験はフィリニアンにとって厳しかったですが、私は合格しました。,シールドナイト,True
name,然后，我进了大尉的部队，我跟着大尉四处征战，这一打，就是十年。,盾卫,,60,然后，我进了大尉的部队，我跟着大尉四处征战，这一打，就是十年。,それから私は大尉の部隊に入り、大尉と共に戦地を巡り、十年も戦い続けました。,シールドナイト,True
name,战争，紧跟着战争，还有下一场战争，这就是乌萨斯。,盾卫,,61,战争，紧跟着战争，还有下一场战争，这就是乌萨斯。,戦争が戦争を呼び、次々と続く、これがウーサスです。,シールドナイト,True
name,我曾经为这个国家感到骄傲，孩子。,盾卫,,62,我曾经为这个国家感到骄傲，孩子。,私はかつてこの国を誇りに思っていました、子よ。,シールドナイト,True
name,我们之中，有无数人都曾为这个国家感到骄傲。,盾卫,,63,我们之中，有无数人都曾为这个国家感到骄傲。,私たちの中には、この国を誇りに思った者が幾人もいました。,シールドナイト,True
character,,avg_npc_042,,64,,,avg_npc_042,True
name,那么，为什么......？,迷迭香,,65,那么，为什么......？,それでは、なぜ……？,迷迭香,True
character,,avg_npc_058_2,,66,,,avg_npc_058_2,True
name,因为我的父母感染了矿石病，被赶出了城市，死在了荒野上。,盾卫,,67,因为我的父母感染了矿石病，被赶出了城市，死在了荒野上。,私の両親は鉱石病に感染し、街を追われ、荒野で命を落としました。,シールドナイト,True
name,而我甚至在他们死后的半年后才知道这件事。,盾卫,,68,而我甚至在他们死后的半年后才知道这件事。,そして彼らの死から半年も経ってから、そのことを知りました。,シールドナイト,True
character,,avg_npc_042,,69,,,avg_npc_042,True
name,......？！,迷迭香,,70,......？！,……？！,迷迭香,True
character,,avg_npc_058_2,,71,,,avg_npc_058_2,True
name,我们之中，有无数人经历过类似的事情。,盾卫,,72,我们之中，有无数人经历过类似的事情。,私たちの中には、同じような経験をした者が数多くいます。,シールドナイト,True
name,我听到你也经历了类似的事情，孩子。,盾卫,,73,我听到你也经历了类似的事情，孩子。,君も同じような経験をしたと聞いています、子よ。,シールドナイト,True
name,但不只是这样。,盾卫,,74,但不只是这样。,しかし、それだけではありません。,シールドナイト,True
name,如果只是这样，如果我只是凑巧不幸的那一个，我甚至或许可以理解。,盾卫,,75,如果只是这样，如果我只是凑巧不幸的那一个，我甚至或许可以理解。,もしそれだけならば、たまたま不幸だった一人だと私は納得できたかもしれません。,シールドナイト,True
name,但是，不是这样的。,盾卫,,76,但是，不是这样的。,ですが、そうではなかったのです。,シールドナイト,True
name,战争曾经是我脑中唯一存在且应该完成的事业。,盾卫,,77,战争曾经是我脑中唯一存在且应该完成的事业。,戦争はかつて私の頭の中で唯一存在し、成し遂げるべき仕事でした。,シールドナイト,True
name,我在那时才开始思考一些事情，才开始去了解这个国家，去尝试理解这个我曾为之奋斗的国家。,盾卫,,78,我在那时才开始思考一些事情，才开始去了解这个国家，去尝试理解这个我曾为之奋斗的国家。,その時初めて、いくつかのことを考え始め、この国を知り、戦ったこの国を理解しようと試みました。,シールドナイト,True
name,如果没有大尉，我可能已经因为在司令部出言不逊而进军事法庭了。,盾卫,,79,如果没有大尉，我可能已经因为在司令部出言不逊而进军事法庭了。,大尉がいなければ、司令部で無礼を働いたとして軍法会議にかけられていたでしょう。,シールドナイト,True
name,然后，我跟着大尉走入了北原。,盾卫,,80,然后，我跟着大尉走入了北原。,そして、大尉と共に北原へ進みました。,シールドナイト,True
name,而后一路走到了今天。,盾卫,,81,而后一路走到了今天。,それから今日までずっと歩んできました。,シールドナイト,True
name,在这之中，我学会了忍耐，学会了愤怒，学会了憎恨。,盾卫,,82,在这之中，我学会了忍耐，学会了愤怒，学会了憎恨。,その中で、私は忍耐を学び、怒りを覚え、憎しみを知りました。,シールドナイト,True
character,,avg_npc_042,,83,,,avg_npc_042,True
name,......阿米娅对我说，不要学会这些。,迷迭香,,84,......阿米娅对我说，不要学会这些。,……アーミヤは私にこう言いました。これらを学んではいけないと。,迷迭香,True
character,,avg_npc_058_2,,85,,,avg_npc_058_2,True
name,你总会学会的，孩子。,盾卫,,86,你总会学会的，孩子。,君はきっとそれらを学ぶことになるでしょう、子よ。,シールドナイト,True
name,如果你不会运用它们，你就会被它们吞没。,盾卫,,87,如果你不会运用它们，你就会被它们吞没。,もしそれらを使いこなせなければ、君はそれらに飲み込まれてしまいます。,シールドナイト,True
character,,avg_npc_042,,88,,,avg_npc_042,True
name,所以，爱国者是你的亲人吗？,迷迭香,,89,所以，爱国者是你的亲人吗？,つまり、愛国者はあなたの親しい方ですか？,迷迭香,True
character,,avg_npc_058_2,,90,,,avg_npc_058_2,True
name,我们共同奋战了二十年，他是我最好的兄弟，最亲的战友，最尊敬的人。,盾卫,,91,我们共同奋战了二十年，他是我最好的兄弟，最亲的战友，最尊敬的人。,私たちは二十年間共に戦い、彼は私の最良の兄弟で、最も親しい戦友であり、最も尊敬する人です。,シールドナイト,True
name,他是，孩子。,盾卫,,92,他是，孩子。,そうです、子よ。,シールドナイト,True
name,但我依然要说，你更适合加入我们。,盾卫,,93,但我依然要说，你更适合加入我们。,ですが、君はむしろ私たちに加わるべきだと私は思います。,シールドナイト,True
character,,avg_npc_042,,94,,,avg_npc_042,True
name,那阿米娅能够加入你们吗？,迷迭香,,95,那阿米娅能够加入你们吗？,それならアーミヤはあなたたちに加われますか？,迷迭香,True
character,,avg_npc_058_2,,96,,,avg_npc_058_2,True
name,那只卡特斯？不，她不行。,盾卫,,97,那只卡特斯？不，她不行。,あのカテスですか？いいえ、彼女は無理です。,シールドナイト,True
name,她不能加入我们。,盾卫,,98,她不能加入我们。,彼女は私たちに加わることはできません。,シールドナイト,True
character,,avg_npc_042,,99,,,avg_npc_042,True
name,那我不会加入你们。,迷迭香,,100,那我不会加入你们。,それなら、私はあなたたちには加わりません。,迷迭香,True
character,,avg_npc_058_2,,101,,,avg_npc_058_2,True
name,哈，我也说了，因为你杀了大尉，你不可能加入我们了。,盾卫,,102,哈，我也说了，因为你杀了大尉，你不可能加入我们了。,はっ、私も言った通り、お前は大尉を殺したから、私たちには加わることはできない。,盾衛,True
character,,avg_npc_042,,103,,,avg_npc_042,True
name,我不在乎。,迷迭香,,104,我不在乎。,私は気にしません。,迷迭香,True
character,,avg_npc_058_2,,105,,,avg_npc_058_2,True
name,但要我说的话，你要多注意一下她，她想要保护你，但她可能比你死得更快。,盾卫,,106,但要我说的话，你要多注意一下她，她想要保护你，但她可能比你死得更快。,しかし私が言いたいのは、お前は彼女をもっと注意しなければならない。彼女はお前を守りたいと思っているが、彼女の方が早く死ぬかもしれない。,盾衛,True
character,,avg_npc_042,,107,,,avg_npc_042,True
name,为什么你这么肯定？,迷迭香,,108,为什么你这么肯定？,なぜ、そんなに断言できるのですか？,迷迭香,True
character,,avg_npc_058_2,,109,,,avg_npc_058_2,True
name,因为我们曾经见过这样的人。,盾卫,,110,因为我们曾经见过这样的人。,それは、私たちはかつてそういう人を見たことがあるからだ。,盾衛,True
dialog,,,,111,,,,True
character,,,,112,,,,True
,盾卫似乎回想起了什么，不再理会迷迭香，重新戴上头盔，向着他的战友走去。,,,113,盾卫似乎回想起了什么，不再理会迷迭香，重新戴上头盔，向着他的战友走去。,盾衛は何かを思い出したようで、迷迭香を無視して再びヘルメットをかぶり、仲間に向かって歩き出した。,,True
dialog,,,,114,,,,True
blocker,,,,115,,,,True
image,,,,116,,,,True
