command,text_orig,key,is_skippable,fit_mode,a,r,g,b,fadetime,block,image,screenadapt,effect,amount,keep,volume,time,slot ,duration,isblock,name,end,layer,id,x,y,alignment,size,delay,width,xstrength,ystrength,vibrato,randomness,fadeout,loop,channel,options,values,references,slot,posfrom,posto,afrom,ato,intro,focus,xScale,yScale,xFrom,xTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,imagegroup,solidwidth,solidheight,duration ,ease,type,from,to,style,sfrom,sto,sduration,option_number,index,text,jp_text,jp_name,text_match
name,不要担心，就当作是一次寻常的休眠吧。除了时间要稍微漫长一点，和以往的时间旅行并无本质不同。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,不要担心，就当作是一次寻常的休眠吧。除了时间要稍微漫长一点，和以往的时间旅行并无本质不同。,心配いりません、普通の休眠だと思ってください。時間が少し長いだけで、今までの時間旅行と本質的に違いはありません。ですます調でお話ししますね。,プルシーズ,True
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""avg_npc_1718_1#8$1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,,,,False
name,何况这一次，我会在你身边的。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,何况这一次，我会在你身边的。,それに今回は、私があなたのそばにいます。ですます調でお話ししますね。,プルシーズ,True
name,我希望在跨越了寂静的永夜后，再次睁开眼时，还能第一时间看到你。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,我希望在跨越了寂静的永夜后，再次睁开眼时，还能第一时间看到你。,静かな永夜を越えて、再び目を開けたときに、真っ先にあなたを見ることを願っています。ですます調でお話ししますね。,プルシーズ,True
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""avg_npc_1360_1#1$1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,,,,False
name,可我们的辩论依然没有得出一个答案......,,,,,,,,,,,,,,,,,,,,预言家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,可我们的辩论依然没有得出一个答案......,しかし、私たちの議論はまだ答えを出していません……。,予言者,True
name,源石是我们最后的希望，我们几乎别无他法。我们必须要明确谨慎地选择道路。,,,,,,,,,,,,,,,,,,,,预言家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,源石是我们最后的希望，我们几乎别无他法。我们必须要明确谨慎地选择道路。,源石は私たちの最後の希望であり、ほとんど他に方法はありません。慎重に道を選ばなければなりません。,予言者,True
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""avg_npc_1718_1#8$1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,,,,False
name,......,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,......,......,プルシーズ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,,,,False
charslot,,,,,,,,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,False
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""avg_npc_1718_1#1$1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,,,,False
name,{@nickname}，我从来没有忘记我们的辩题。我们之间也不应存在任何保留。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,{@nickname}，我从来没有忘记我们的辩题。我们之间也不应存在任何保留。,{@nickname}、私は私たちの議題を決して忘れていません。私たちの間には何の遠慮もあってはなりません。ですます調でお話ししますね。,プルシーズ,True
name,看，当我们谈及属于我们的未来时，这就是我心中所想。我们应该是怀着同样的期待的。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,看，当我们谈及属于我们的未来时，这就是我心中所想。我们应该是怀着同样的期待的。,見てください、私たちの未来について語るとき、これが私の心の中にあるものです。私たちは同じ期待を抱いているはずです。ですます調でお話ししますね。,プルシーズ,True
name,嵌于我们思维中的同样的灰质销钉，也是将我们连接在一起的纽带。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37,嵌于我们思维中的同样的灰质销钉，也是将我们连接在一起的纽带。,私たちの思考に埋め込まれた同じ灰白質のピンは、私たちを結びつける絆でもあります。ですます調でお話ししますね。,プルシーズ,True
name,你我的思维因此得以紧密相连，直到我们的意识随整个宇宙共同寂灭。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38,你我的思维因此得以紧密相连，直到我们的意识随整个宇宙共同寂灭。,あなたと私の思考はこのために密接に繋がっており、私たちの意識は宇宙と共に消滅するまで続きます。ですます調でお話ししますね。,プルシーズ,True
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""avg_npc_1718_1#9$1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,,,,False
name,我们的思想交互碰撞，争论不休，却正因如此，我们才最能理解彼此的本性。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,我们的思想交互碰撞，争论不休，却正因如此，我们才最能理解彼此的本性。,私たちの思想は交流し激しくぶつかり合い、議論は尽きませんが、だからこそお互いの本質を最も理解できるのです。ですます調でお話ししますね。,プルシーズ,True
name,我很确信，对未来怀有期冀是我们的秉性，我们是彼此在这片虚无的星海中的锚点。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,我很确信，对未来怀有期冀是我们的秉性，我们是彼此在这片虚无的星海中的锚点。,私は確信しています。未来に希望をもつことが私たちの本質であり、この虚無の星海において私たちは互いの錨であると。ですます調でお話ししますね。,プルシーズ,True
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""avg_npc_1360_1#1$1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,,,,False
name,哪怕我们对于源石的分歧终究无法统一？我们所选择的道路终究无法共存......,,,,,,,,,,,,,,,,,,,,预言家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,哪怕我们对于源石的分歧终究无法统一？我们所选择的道路终究无法共存......,たとえ私たちの源石に関する意見の相違が結局統一できなくても？私たちが選ぶ道が共存できなくても……。,予言者,True
name,普瑞赛斯，我不确定......,,,,,,,,,,,,,,,,,,,,预言家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,44,普瑞赛斯，我不确定......,プルシーズ、私は確信が持てません……。,予言者,True
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""avg_npc_1718_1#1$1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,,,,False
name,既然如此，我们就继续等待吧。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,既然如此，我们就继续等待吧。,それならば、もう少し待ちましょう。ですます調でお話ししますね。,プルシーズ,True
name,你现在还不愿意进入休眠，没有关系，我们还有一些时间。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47,你现在还不愿意进入休眠，没有关系，我们还有一些时间。,あなたが今すぐ休眠に入りたくなくても大丈夫です。まだ少し時間がありますから。ですます調でお話ししますね。,プルシーズ,True
name,我们可以一起阅览DWDB中保存的典籍，宇宙间也还有不少可供我们解读的死去的行星留下的诗句。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,48,我们可以一起阅览DWDB中保存的典籍，宇宙间也还有不少可供我们解读的死去的行星留下的诗句。,私たちは一緒にDWDBに保存された典籍を閲覧できますし、宇宙には他にも私たちが解読できる、死んだ惑星が残した詩句がたくさんあります。ですます調でお話ししますね。,プルシーズ,True
multiline,在你自己下定决心之前，我都不会强求你——,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,49,,,,False
multiline,我永远不会将自己的意志强加于你。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,,,,False
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""avg_npc_1718_1#8$1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,,,,False
name,{@nickname}，我会等待，等到你自己做出与我站在一起的选择。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,{@nickname}，我会等待，等到你自己做出与我站在一起的选择。,{@nickname}、私は待っています。あなたが自ら私と共に歩むという選択をするまで。ですます調でお話ししますね。,プルシーズ,True
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""avg_npc_1360_1#1$1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,53,,,,False
name,普瑞赛斯......,,,,,,,,,,,,,,,,,,,,预言家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54,普瑞赛斯......,プルシーズ……。,予言者,True
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""avg_npc_1718_1#8$1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,55,,,,False
name,放轻松一点，{@nickname}，最近的观测工作让你过于疲惫了。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,56,放轻松一点，{@nickname}，最近的观测工作让你过于疲惫了。,リラックスしてください、{@nickname}。最近の観測作業で疲れすぎていますよ。ですます調でお話ししますね。,プルシーズ,True
name,闭上眼休息一会吧，我来帮你播放一段遥远的恒星用引力弹奏的和弦，你会有一个好梦的。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,57,闭上眼休息一会吧，我来帮你播放一段遥远的恒星用引力弹奏的和弦，你会有一个好梦的。,目を閉じて少し休んでください。遠くの恒星が重力で奏でる和音をお聞かせします。きっといい夢が見られますよ。ですます調でお話ししますね。,プルシーズ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,58,,,,False
stopmusic,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,59,,,,False
bgeffect,,,,,,,,,,,,,,,,,,,,,$eb_dim_closeeye,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,60,,,,False
delay,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,61,,,,False
blocker,,,,,0,255,255,255,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,62,,,,False
blocker,,,,,1,255,255,255,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,63,,,,False
delay,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,64,,,,False
charslot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,65,,,,False
background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,66,,,,False
bgeffect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,67,,,,False
sticker,<color=#000000>晚安，{@nickname}。,,,,,,,,,,,,,,,,,,1,,,,,"st1"", multi = true",250,300,center,24,0.04,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,68,,,,False
sticker,,,,,,,,,,,,,,,,,,,"1, block = false",,,,,st1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,69,,,,False
delay,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70,,,,False
sticker,<color=#000000>直到时间的尽头，我们跨过了归于静寂的宇宙。,,,,,,,,,,,,,,,,,,1,,,,,"st2"", multi = true",250,300,center,24,0.04,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,71,,,,False
sticker,"<color=#000000>\n\n我会在那个世界等你。"", block = true",,,,,,,,,,,,,,,,,,,,,,,"st2"", multi = true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,72,,,,False
sticker,,,,,,,,,,,,,,,,,,,"2, block = false",,,,,st2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,73,,,,False
blocker,,,,,0,255,255,255,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,74,,,,False
blocker,,,,,0,0,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,75,,,,False
blocker,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,76,,,,False
cameraeffect,,,,,,,,,,,,,Grayscale,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,77,,,,False
background,,,,,,,,,,,60_g13_rhodesdeck_origin,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,78,,,,False
delay,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,79,,,,False
playmusic,,$m_bat_wdslm_loop,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80,,,,False
blocker,,,,,0,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,81,,,,False
delay,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,82,,,,False
camerashake,,,,,,,,,,false,,,,,,,,,0.5,,,,,,,,,,,,30,30,30,90,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,83,,,,False
playsound,,$char_Mon3tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,84,,,,False
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""npc_10002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,85,,,,False
name,（兴奋的咆哮）,,,,,,,,,,,,,,,,,,,,Mon3tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,86,（兴奋的咆哮）,（興奮の咆哮）,Mon3tr,True
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""avg_npc_1718_1#2$1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,87,,,,False
name,......,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,88,......,......,プルシーズ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,89,,,,False
charslot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,,,,False
playsound,,$d_avg_scrystalroad,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,true,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,91,,,,False
delay,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,92,,,,False
stopsound,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,93,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,94,,,,False
camerashake,,,,,,,,,,false,,,,,,,,,1,,,,,,,,,,,,30,30,30,90,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,95,,,,False
playsound,,$char_Mon3tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,96,,,,False
delay,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,97,,,,False
playsound,,$d_avg_rockbreakout,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,98,,,,False
delay,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,99,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,,,,False
decision,凯尔希！当心——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,凯尔希！当心——,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,101,凯尔希！当心——,ケルシー！気をつけて——,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,102,,,,False
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""avg_npc_1718_1#1$1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,103,,,,False
name,你很让我惊喜，AMa-10。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,104,你很让我惊喜，AMa-10。,あなたには驚かされます、AMa-10。ですます調でお話ししますね。,プルシーズ,True
name,你以切断自己双生循环的系统为代价来脱离我的控制，哪怕这样会使你的生命变得脆弱不堪。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,105,你以切断自己双生循环的系统为代价来脱离我的控制，哪怕这样会使你的生命变得脆弱不堪。,あなたは自己の双生サイクルシステムを切断する代償を払ってまで、私の制御から離れました。たとえそれがあなたの生命を脆弱にすることになってもです。ですます調でお話ししますね。,プルシーズ,True
name,不过，你真的打算用这样的方式杀了我吗？,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,106,不过，你真的打算用这样的方式杀了我吗？,ですが、本当にそんな方法で私を殺すつもりですか？ですます調でお話ししますね。,プルシーズ,True
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""avg_003_kalts_1#6$1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,107,,,,False
name,我知道，在很久之前，你的意识已经与源石中的信息海洋同化。,,,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,108,我知道，在很久之前，你的意识已经与源石中的信息海洋同化。,私は知っています。ずっと前に、あなたの意識は源石内の情報の海と同化してしまったことを。,ケルシー,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,109,,,,False
playsound,,$d_avg_humanchange,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,110,,,,False
delay,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,111,,,,False
