command,text_orig,key,is_skippable,fit_mode,time,a,r,g,b,fadetime,block,intro,volume,image,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,screenadapt,name,name2,focus,Delay,xstrength,ystrength,vibrato,randomness,afrom,rfrom,gfrom,bfrom,fadeout,index,text,jp_text,jp_name,text_match
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,False
character,,,,,,,,,,1,true,,,,,,,,,,,,char_011_talula_1,,,,,,,,,,,,,33,,,,False
delay,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,False
name,W。你没有向任何人报告你的来访。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,35,W。你没有向任何人报告你的来访。,W。あなたは誰にも来訪を報告していませんね。,タルラ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#5,2,,,,,,,,,,,36,,,,False
name,哈，那我得说声抱歉，领袖。做了太长时间雇佣兵，我已经忘记还要向领袖报告自己的生活状态啦。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,37,哈，那我得说声抱歉，领袖。做了太长时间雇佣兵，我已经忘记还要向领袖报告自己的生活状态啦。,はは、じゃあお詫びしないとね、リーダー。傭兵を長くやりすぎて、リーダーに自分の活動を報告することなんてもう忘れていたよ。,W,True
name,但你也知道我根本上不去指挥塔顶部，只能请你屈尊下几层楼了。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,38,但你也知道我根本上不去指挥塔顶部，只能请你屈尊下几层楼了。,でも、私が指揮塔の最上階になんて行けないこと、あなたも分かってるでしょ。だから、少し降りてきてもらうしかないんだよ。,W,True
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#5,1,,,,,,,,,,,39,,,,False
name,出言讽刺对我们没有益处，W。整合运动需要你们萨卡兹的力量，我们间不应再有更多的私人冲突。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,40,出言讽刺对我们没有益处，W。整合运动需要你们萨卡兹的力量，我们间不应再有更多的私人冲突。,皮肉を言っても私たちのためにはなりません、W。統合運動にはあなたたちサルカズの力が必要ですし、私たちの間でこれ以上の私的な対立はやめましょう。,タルラ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#2,2,,,,,,,,,,,41,,,,False
name,叫魔族就行。心地柔软又喜欢自称良善的大人物才叫我们萨卡兹，但我们这些佣兵很清楚自己什么德性。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,42,叫魔族就行。心地柔软又喜欢自称良善的大人物才叫我们萨卡兹，但我们这些佣兵很清楚自己什么德性。,「魔族」って呼べばいいんだよ。優しくて善人ぶる大物だけが私たちのことを「サルカズ」と呼ぶ。でも、私たち傭兵は自分たちの本性をよくわかってる。,W,True
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#2,1,,,,,,,,,,,43,,,,False
name,奇怪。魔族，“被驱逐的劣等种族”，你们佣兵不可能接受这种定义，也不会以此为荣。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,44,奇怪。魔族，“被驱逐的劣等种族”，你们佣兵不可能接受这种定义，也不会以此为荣。,不思議ですね。「魔族」、つまり“追放された劣等種族”という定義、あなたたち傭兵が受け入れるとも、誇りに思うとも思えません。,タルラ,True
character,,,,,,,,,,,,,,,,,,,,,,,avg_npc_046#2,,,,,,,,,,,,,45,,,,False
name,当然。但你们这些人最开始把萨卡兹叫作“魔族”，可不是因为鄙夷或者好听才这么叫着玩的。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,46,当然。但你们这些人最开始把萨卡兹叫作“魔族”，可不是因为鄙夷或者好听才这么叫着玩的。,そりゃそうだ。でも、君たちが最初にサルカズを「魔族」と呼び始めたのは、軽蔑するためでも語感がいいからでもないんだよ。,W,True
name,魔族这个称呼出于【恐惧】。是恐惧促使你们这么称呼我们的族群。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,47,魔族这个称呼出于【恐惧】。是恐惧促使你们这么称呼我们的族群。,「魔族」という呼び方は【恐怖】から来てる。君たちが私たちの種族をこう呼ぶのは、恐怖がそうさせたんだよ。,W,True
name,所以，我们佣兵乐意被叫作“魔族”，完全是因为我们知道它真正的意思。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,48,所以，我们佣兵乐意被叫作“魔族”，完全是因为我们知道它真正的意思。,だから、私たち傭兵が「魔族」と呼ばれても気にしないのは、その本当の意味を分かっているからさ。,W,True
name,而且，我们也会狠狠地把这个涵义种进所有幸存者的心里。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,49,而且，我们也会狠狠地把这个涵义种进所有幸存者的心里。,それに、この意味を生き残った者たちすべてに深く刻み込んでやるつもりだよ。,W,True
name,哦，对不起——在你面前讨论这个，简直是在行家面前卖弄本事了吧？,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,50,哦，对不起——在你面前讨论这个，简直是在行家面前卖弄本事了吧？,ああ、ごめんね——君の前でこんな話をするなんて、玄人相手に素人芸を披露してるようなもんだよな？,W,True
name,我们这个以残暴著称的小佣兵队一旦被拿来和你比较，就像爬虫对上了磐蟹一样可笑。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,51,我们这个以残暴著称的小佣兵队一旦被拿来和你比较，就像爬虫对上了磐蟹一样可笑。,私たちみたいな、凶悪で有名な小規模傭兵隊が君と比べられたら、まるで虫けらが巨大な甲殻類に立ち向かうみたいで笑っちゃうよ。,W,True
name,领袖，你才是那个最擅长给别人带去恐惧的人。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,52,领袖，你才是那个最擅长给别人带去恐惧的人。,リーダー、君こそが恐怖を与えるのが一番得意な人だよ。,W,True
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,,,,,,,,,,,,,53,,,,False
name,“威慑你的敌人，温暖你的战友。”,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,54,“威慑你的敌人，温暖你的战友。”,「敵を威嚇し、仲間を温かく包むこと。」,タルラ,True
name,把恐惧带给敌人，把希望带给同胞。这是整合运动一贯的行事方式。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,55,把恐惧带给敌人，把希望带给同胞。这是整合运动一贯的行事方式。,敵には恐怖を、仲間には希望を与える。それが統合運動の一貫したやり方です。,タルラ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#2,2,,,,,,,,,,,56,,,,False
name,那把乌萨斯的核心城开进龙门，也很符合某位同胞的殷切希望咯？,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,57,那把乌萨斯的核心城开进龙门，也很符合某位同胞的殷切希望咯？,じゃあウルサスのコアシティを龍門に突入させるのも、ある仲間の切なる希望ってわけか？,W,True
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#2,1,,,,,,,,,,,58,,,,False
name,我们的整合运动战士们还在龙门城奋勇作战，他们需要我们的增援，所以我们要去。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,59,我们的整合运动战士们还在龙门城奋勇作战，他们需要我们的增援，所以我们要去。,私たちの統合運動の戦士たちはまだ龍門で勇敢に戦っています。彼らには援護が必要なので、私たちは向かいます。,タルラ,True
name,龙门城内的感染者需要希望，据守核心城的感染者战士们也强烈地想把希望带给他们。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,60,龙门城内的感染者需要希望，据守核心城的感染者战士们也强烈地想把希望带给他们。,龍門城の感染者たちには希望が必要ですし、コアシティを守る感染者の戦士たちも、彼らに希望を届けたいと強く思っています。,タルラ,True
name,所有人的愿望都相互契合，满足愿望的方式也由我们整合运动一手创造。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,61,所有人的愿望都相互契合，满足愿望的方式也由我们整合运动一手创造。,すべての人の願いが合致しており、その願いを叶える方法も統合運動が自ら作り出しています。,タルラ,True
name,——这会为你们萨卡兹带来好处，这个事实同样也毋庸置疑。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,62,——这会为你们萨卡兹带来好处，这个事实同样也毋庸置疑。,——これがあなたたちサルカズにも利益をもたらすことは、同じく疑う余地がありません。,タルラ,True
name,你们不需要希望，所以我带给你们利益。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,63,你们不需要希望，所以我带给你们利益。,あなたたちは希望を必要としないから、私はあなたたちに利益をもたらします。,タルラ,True
name,和你一样散布在各城邦的萨卡兹雇佣兵们，以及在背后掌控你们的人。你们会自城邦与国家间的混乱里汲取养分。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,64,和你一样散布在各城邦的萨卡兹雇佣兵们，以及在背后掌控你们的人。你们会自城邦与国家间的混乱里汲取养分。,あなたと同じように各都市に散らばるサルカズ傭兵たち、そしてその背後で彼らを操る者たち。あなたたちは都市と国家の混乱から糧を得ます。,タルラ,True
name,龙门之后，没有一座移动城邦会是安全的。魔族活动的空间会得到扩展，你们的族裔将繁荣昌盛。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,65,龙门之后，没有一座移动城邦会是安全的。魔族活动的空间会得到扩展，你们的族裔将繁荣昌盛。,龍門の後、どの移動都市も安全ではなくなります。魔族たちの活動範囲は拡大し、あなたたちの種族は繁栄するでしょう。,タルラ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#2,2,,,,,,,,,,,66,,,,False
name,嚯，听起来有些道理。看在利益的份上，我可以同意你的战略。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,67,嚯，听起来有些道理。看在利益的份上，我可以同意你的战略。,ほう、それは少し理にかなってる。利益のためなら、君の戦略に同意してあげてもいいよ。,W,True
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,,,,,,,,,,,,,68,,,,False
name,那么，W，你还有什么疑议吗？,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,69,那么，W，你还有什么疑议吗？,では、W、他に何か疑問はありますか？,タルラ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#5,2,,,,,,,,,,,70,,,,False
name,没有。你说的非常好，我可以给你鼓个掌吗？,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,71,没有。你说的非常好，我可以给你鼓个掌吗？,ないね。君の話は素晴らしいよ、拍手してもいい？,W,True
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#5,1,,,,,,,,,,,72,,,,False
name,不用。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,73,不用。,必要ありません。,タルラ,True
character,,,,,,,,,,,,,,,,,,,,,,,avg_npc_046#2,,,,,,,,,,,,,74,,,,False
name,然后，来说说我的任务吧。很不幸，我失败了。我没能带回任务目标，她也没肯把东西交给我。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,75,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#2,1,,,,,,,,,,,76,,,,False
name,这不是你的过失。米莎和碎骨之间的亲缘关系可能会导致种种意外。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,77,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#2,2,,,,,,,,,,,78,,,,False
name,那为什么还要派我去抓那个科学家的女儿？,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,79,,,,False
name,似乎没有她和她身上的秘密，你也能顺利地进行下去。攻击龙门，启动核心城，没地方用得上她。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,80,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#2,1,,,,,,,,,,,81,,,,False
name,密钥的真实性尚且需要验证。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,82,,,,False
name,核心城机能的启动，我可以亲手验证，但它的停止方式，也必须保证由整合运动完全掌控。密钥的作用恰在于此。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,83,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#2,2,,,,,,,,,,,84,,,,False
name,梅菲斯特和我说了，爱国者那个老头在废城里找到的才是真货。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,85,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#2,1,,,,,,,,,,,86,,,,False
name,不，W，梅菲斯特不会这么对你说。只会是你，把流言说给梅菲斯特听，想着从他那里提取你要的情报。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,87,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#2,2,,,,,,,,,,,88,,,,False
name,那这个消息究竟是真是假？,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,89,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#2,1,,,,,,,,,,,90,,,,False
name,你没有想听我自我辩解的意思，却也没有想为自己辩解的意图。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,91,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#2,2,,,,,,,,,,,92,,,,False
name,我有自己的渠道，而且可能有点心直口快了些。哦，可能也混淆了情报来源？大概。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,93,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,,,,,,,,,,,,,94,,,,False
name,W，如果你需要我表现得更加诚恳，我可以清楚地告诉你所有安排。所有。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,95,,,,False
name,碎骨和你的第一次行动成功测试了龙门近卫局的反应速度，让我们调整了战术，完善了进攻龙门的计划。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,96,,,,False
name,没有你的行动，我们不会成功。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,97,,,,False
name,密钥真实存在，却因为米莎的突然死亡而随之消失。爱国者寻找的密钥仅仅是用以应对这种情形的后备方案。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,98,,,,False
name,我不会逼迫你说出你的消息从何而来，但我的解释，也应该能令你信服。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,99,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,avg_npc_046#5,,,,,,,,,,,,,100,,,,False
name,好的，好的，但我，领袖，我想知道到底有几把密钥。我最后一个问题了，不会再问了，嗯。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,101,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,,,,,,,,,,,,,102,,,,False
name,两把。切尔诺伯格皇家科学家谢尔盖持有其中一把，通过特殊的方式，他将这把钥匙交付给了米莎。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,103,,,,False
name,另一把由原切尔诺伯格市长鲍里斯侯爵持有，他在我们攻占城市时调用城邦地块逃出了切尔诺伯格，但他没能逃过天灾。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,104,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#2,2,,,,,,,,,,,105,,,,False
name,废城。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,106,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#2,1,,,,,,,,,,,107,,,,False
name,潜藏在城中的要人保有我们需求的物品，适当的距离则能将近卫局诱入埋伏。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,108,,,,False
name,我们有相当充分的理由去攻占废城，将它占为据点也是物尽其用。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,109,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#2,2,,,,,,,,,,,110,,,,False
name,你说得很明白了，领袖。已经没什么好问的了。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,111,,,,False
name,等等，我问的是不是有点多？让你花这么多时间解释，我都有些过意不去了。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,112,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#2,1,,,,,,,,,,,113,,,,False
name,W。 如果我的坦率能够解开我们之间的误会，我不会吝啬时间。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,114,,,,False
name,为了保证你我之间长久的互利共赢，我会继续拟订我们未来的计划。这能稍稍增加你我间的信任么，W？,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,115,,,,False
name,我们需要互相扶持，才有机会面对未来更多的难题。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,116,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,avg_npc_046#5,2,,,,,,,,,,,117,,,,False
name,真的吗？那我可是太感动了。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,118,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,,,,,,,,,,,,,119,,,,False
name,这当然是......,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,120,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,False
blocker,,,,,,0.5,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,False
,我一直不喜欢这个女人。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,False
,他们私下里怀念的那个塔露拉只是让人觉得无聊，而我面前的这个塔露拉，则是个被谎言包得严严实实的混蛋。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,False
,哦，说谎是件再正常不过的事情。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,False
,我也常说谎，除了炸弹，没什么比谎言更有威力——真相不过是一杯水，当整栋房子都在燃烧的时候，一杯水又有什么用？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,False
,但我说谎，只是我在说谎，我扭曲了我的想法抛给别人；这个龙女的谎言却像是从不同的人嘴里说出来般自然。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,False
,无论她谈话的对象是谁，她都不会仅仅是甄选一小部分想法去掩盖自己的意图。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,False
,——她简直像是变成了不同的样子，刻意变成他们不那么容易怀疑的样子，把他们想听的说给他们听。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,False
,整合运动最喜欢的当然是领袖塔露拉。在我面前，她是交易伙伴塔露拉。在爱国者面前，她又是斗士塔露拉。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,False
,虽然总有一天她会露出真面目，但这一天不是每个人都有命看到的。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,False
,而且，真面目......她有吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,False
,她会不会是个洋葱？一层一层剥掉以后，里面就什么也不剩下？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,False
blocker,,,,,,0,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,,,,,,,,,,,,,137,,,,False
name,真的。,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,138,,,,False
stopmusic,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,False
blocker,,,,,,0.5,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,False
,上一刻的她就像一个伊比利亚修士那样诚恳。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,,,,False
,她只是微微抬起手。啊，我知道这招。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,False
,这一刻的她像最狡诈的萨弗拉那样善于突袭和杀戮。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,False
,有什么东西扯开了面前的空气，下一刻，它应该就要融化我的身躯了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,False
blocker,,,,,,0,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,avg_npc_046#3,,,,,,,,,,,,,152,,,,False
name,光是惹你发火，应该不会让你生气到想要杀我吧？,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,153,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,False
playsound,,$d_gen_thunders_amb,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,156,,,,False
playsound,,$b_char_defboost,,,,,,,,,,,0.5,,,,,,,,,,,,,0.4,,,,,,,,,,157,,,,False
playsound,,$d_gen_thunders_amb,,,,,,,,,,,0.2,,,,,,,,,,,,,0.7,,,,,,,,,,158,,,,False
playsound,,$flashback,,,,,,,,,,,0.2,,,,,,,,,,,,,0.7,,,,,,,,,,159,,,,False
camerashake,,,,,,,,,,,false,,,,,,,,,,0.5,,,,,,10,12,30,90,,,,,,160,,,,False
blocker,,,,,,0.3,1,0.4,0.4,0.1,true,,,,,,,,,,,,,,,,,,,,0,0,0,0,,161,,,,False
blocker,,,,,,0.3,1,0.4,0.4,0.1,true,,,,,,,,,,,,,,,,,,,,0,0,0,0,,162,,,,False
blocker,,,,,,0.1,1,0.4,0.1,0.2,true,,,,,,,,,,,,,,,,,,,,1,1,0.4,0.4,,163,,,,False
blocker,,,,,,0.1,0,0,0,0.3,true,,,,,,,,,,,,,,,,,,,,0.8,1,1,1,,164,,,,False
blocker,,,,,,0.1,0,0,0,0.3,true,,,,,,,,,,,,,,,,,,,,0,0,0,0,,165,,,,False
