command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,block,a,r,g,b,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,options,values,references,option_number,index,text,jp_text,jp_name,text_match
name,大姊......,,,,,,,,,,,,,雪怪小队成员,,,,,,,,,,,,,,,,,,,,,,,,,0,30,大姊......,姐さん……,イエティ小隊メンバー,True
character,,,,,,,,,,,,,,char_017_homura_3#5,,,,,,,,,,,,,,,,,,,,,,,,,0,31,,,,False
name,快走，阿米娅。路上可能还有其他的整合运动。有伤员吗？我可以搭把手。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,32,快走，阿米娅。路上可能还有其他的整合运动。有伤员吗？我可以搭把手。,急いで行け、アーミヤ。途中にまだ敵がいるかもしれない。負傷者はいるか？私も手伝えるぞ。,コウ,True
character,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,False
name,想这样就撤退？,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,0,34,想这样就撤退？,それで撤退するつもりか？,シュワンシン,True
character,,,,,,,,,,,,,,char_017_homura_3#5,char_1505_frstar_1,1,,,,,,,,,,,,,,,,,,,,,,,0,35,,,,False
name,我劝你一句。别再战斗了，白毛兔子。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,36,我劝你一句。别再战斗了，白毛兔子。,忠告だ。もう戦わないほうがいい、白ウサギ。,コウ,True
name,再这么强撑着用法术，你会死得很快。你的力量正在把你的活力榨干。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,37,再这么强撑着用法术，你会死得很快。你的力量正在把你的活力榨干。,無理して術を使い続けたら、お前はすぐ死ぬ。お前の力が、お前の生命力を削っている。,コウ,True
name,或者，你可以来罗德岛。至少我们有办法延续你的生命。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,38,或者，你可以来罗德岛。至少我们有办法延续你的生命。,それか、ロドスに来ればいい。少なくとも、君の命をつなぐ方法はある。,コウ,True
character,,,,,,,,,,,,,,char_017_homura_3#5,char_1505_frstar_1,2,,,,,,,,,,,,,,,,,,,,,,,0,39,,,,False
name,......,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,0,40,......,……,シュワンシン,True
name,怎么一副......怜悯他人的样子？谁需要你们的怜悯？,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,0,41,怎么一副......怜悯他人的样子？谁需要你们的怜悯？,なぜ……同情するような顔を？誰がお前たちの同情なんか……,シュワンシン,True
character,,,,,,,,,,,,,,char_017_homura_3#9,char_1505_frstar_1,1,,,,,,,,,,,,,,,,,,,,,,,0,42,,,,False
name,怎么，我看起来像是在可怜你？你挺强的，我是看得起你。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,43,怎么，我看起来像是在可怜你？你挺强的，我是看得起你。,どうした、私が哀れんでるように見えるか？お前は強い、私は認めている。,コウ,True
character,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,,,,,,,,,,,,0,44,,,,False
name,......,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,0,45,......,……,シュワンシン,True
name,凭什么让你们逃走？,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,0,46,凭什么让你们逃走？,なぜお前たちを逃がす必要がある？,シュワンシン,True
camerashake,,,,,,,,,,,,,,,,,1,10,12,30,90,true,false,,,,,,,,,,,,,,,,0,47,,,,False
name,咳......咳咳......,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,0,48,咳......咳咳......,ゴホッ……ゴホッゴホッ……,シュワンシン,True
blocker,,,,,,,,0.6,,,,,,,,,,,,,,,true,1,0,0,0,,,,,,,,,,,,0,49,,,,False
playsound,,$d_gen_soldiersrun,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,,,,False
blocker,,,,,,,,0.6,,,,,,,,,,,,,,,true,0,0,0,0,,,,,,,,,,,,0,51,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#6,,,,,,,,,,,,,,,,,,,,,,,,,0,52,,,,False
name,博士，快走，别看她了！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,53,博士，快走，别看她了！,ドクター、急いで！彼女を見てないで！,コウ,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,,,,,,,,,,,,0,54,,,,False
name,有整合运动在外围废墟向我们移动！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,0,55,有整合运动在外围废墟向我们移动！,外周の廃墟から敵がこちらに動いている！,エクシア,True
blocker,,,,,,,,0.6,,,,,,,,,,,,,,,true,1,0,0,0,,,,,,,,,,,,0,56,,,,False
blocker,,,,,,,,0.6,,,,,,,,,,,,,,,true,0,0,0,0,,,,,,,,,,,,0,57,,,,False
character,,,,,,,,,,,,,,char_1505_frstar_1#9,,,,,,,,,,,,,,,,,,,,,,,,,0,58,,,,False
name,别想走。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,0,59,别想走。,逃がさない。,シュワンシン,True
character,,,,,,,,,,,,,,char_1505_frstar_1#9,avg_npc_037,2,,,,,,,,,,,,,,,,,,,,,,,0,60,,,,False
name,大姊，你现在站的那个位置！别用那个！,,,,,,,,,,,,,雪怪小队成员,,,,,,,,,,,,,,,,,,,,,,,,,0,61,大姊，你现在站的那个位置！别用那个！,姐さん！今その場所に立っていると危ない！それを使わないで！,イエティ小隊メンバー,True
character,,,,,,,,,,,,,,char_1505_frstar_1#9,avg_npc_037,1,,,,,,,,,,,,,,,,,,,,,,,0,62,,,,False
name,不可以放他们走！,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,0,63,不可以放他们走！,あいつらを逃がしちゃだめよ！,シュワンシン,True
name,罗德岛会对龙门的同胞做什么，谁也不知道！,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,0,64,罗德岛会对龙门的同胞做什么，谁也不知道！,ロドスが龍門の同胞に何をするかわからない！,シュワンシン,True
character,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,,,,,,,,,,,,0,65,,,,False
name,温差升高，结构，脆化！,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,0,66,温差升高，结构，脆化！,温度差上昇、構造の脆化！,シュワンシン,True
name,咳，咳......冻结！,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,0,67,咳，咳......冻结！,ゴホッ、ゴホッ……凍結！,シュワンシン,True
name,......♪......,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,0,68,......♪......,……♪……,シュワンシン,True
name,咳......！,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,0,69,咳......！,ゴホッ……！,シュワンシン,True
playsound,,$d_gen_surfacefrozen,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70,,,,False
delay,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,71,,,,False
playsound,,$d_gen_surfacefrozen,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,72,,,,False
character,,,,,,,,,,,,,,avg_npc_037,,,,,,,,,,,,,,,,,,,,,,,,,0,73,,,,False
name,起作用了......,,,,,,,,,,,,,雪怪小队成员,,,,,,,,,,,,,,,,,,,,,,,,,0,74,起作用了......,うまくいった……,イエティ小隊メンバー,True
playsound,,$d_gen_surfacefrozen,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,75,,,,False
camerashake,,,,,,,,,,,,,,,,,5,10,12,30,90,true,false,,,,,,,,,,,,,,,,0,76,,,,False
name,我们埋设的源石改变了下层结构，地块已经开始倾斜了！,,,,,,,,,,,,,雪怪小队成员,,,,,,,,,,,,,,,,,,,,,,,,,0,77,我们埋设的源石改变了下层结构，地块已经开始倾斜了！,設置した源石で下の構造が変わって、地面が傾き始めた！,イエティ小隊メンバー,True
name,大姊，你那个位置太危险了，快抱住我！,,,,,,,,,,,,,雪怪小队成员,,,,,,,,,,,,,,,,,,,,,,,,,0,78,大姊，你那个位置太危险了，快抱住我！,姐さん、そこは危険だよ！早く、僕に掴まって！,イエティ小隊メンバー,True
character,,,,,,,,,,,,,,char_1505_frstar_1#7,,,,,,,,,,,,,,,,,,,,,,,,,0,79,,,,False
name,......,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,0,80,......,……,シュワンシン,True
character,,,,,,,,,,,,,,avg_npc_037,,,,,,,,,,,,,,,,,,,,,,,,,0,81,,,,False
name,大姊？！,,,,,,,,,,,,,雪怪小队成员,,,,,,,,,,,,,,,,,,,,,,,,,0,82,大姊？！,姐さん？！,イエティ小隊メンバー,True
blocker,,,,,,,,1,,,,,,,,,,,,,,,true,1,0,0,0,,,,,,,,,,,,0,83,,,,False
blocker,,,,,,,,1,,,,,,,,,,,,,,,true,0,0,0,0,,,,,,,,,,,,0,84,,,,False
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,,,,,,,,,,,,0,85,,,,False
name,......煌，听见没？,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,0,86,......煌，听见没？,……コウ、聞こえる？,エクシア,True
character,,,,,,,,,,,,,,char_017_homura_3#5,char_219_meteo_1,1,,,,,,,,,,,,,,,,,,,,,,,0,87,,,,False
name,啊？,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,88,啊？,あ？,コウ,True
character,,,,,,,,,,,,,,char_017_homura_3#5,char_219_meteo_1,2,,,,,,,,,,,,,,,,,,,,,,,0,89,,,,False
name,这是建筑物的碎裂声？,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,0,90,这是建筑物的碎裂声？,これは建物が壊れる音？,エクシア,True
character,,,,,,,,,,,,,,char_017_homura_3#5,char_219_meteo_1,1,,,,,,,,,,,,,,,,,,,,,,,0,91,,,,False
name,啊......,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,92,啊......,あ……,コウ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,0,93,,,,False
name,埋设源石，吸热，温差......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,0,94,埋设源石，吸热，温差......,源石を設置、吸熱、温度差……,アーミヤ,True
name,断裂的建筑墙体，难道......霜星的法术，也可以这样发挥作用吗......？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,0,95,断裂的建筑墙体，难道......霜星的法术，也可以这样发挥作用吗......？,壊れた建物の壁……まさか、シュワンシンの術がこんなふうに働くなんて……？,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#6,,,,,,,,,,,,,,,,,,,,,,,,,0,96,,,,False
name,不好！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,97,不好！,まずい！,コウ,True
blocker,,,,,,,,0.6,,,,,,,,,,,,,,,true,1,0,0,0,,,,,,,,,,,,0,98,,,,False
image,,,,,avg_6_16,,,0,,,,,,,,,,,,,,,,,,,,0,0,1.1,1.1,,,,,,,,0,99,,,,False
blocker,,,,,,,,0.6,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,0,100,,,,False
camerashake,,,,,,,,,,,,,,,,,10,10,12,30,90,true,false,,,,,,,,,,,,,,,,0,101,,,,False
imagetween,,,,,,,,,,,,,,,,,15,,,,,,false,,,,,,,,,1.1,1.1,1,1,,,,0,102,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#4,,,,,,,,,,,,,,,,,,,,,,,,,0,103,,,,False
name,这块地块在变形！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,104,这块地块在变形！,この地面が変形しはじめてる！,コウ,True
character,,,,,,,,,,,,,,char_017_homura_3#4,char_219_meteo_1,2,,,,,,,,,,,,,,,,,,,,,,,0,105,,,,False
name,整合运动还能做到这种事？,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,0,106,整合运动还能做到这种事？,敵がこんなことまでできるのか？,エクシア,True
character,,,,,,,,,,,,,,char_017_homura_3#4,char_219_meteo_1,1,,,,,,,,,,,,,,,,,,,,,,,0,107,,,,False
name,说不清，但......整片区域在下沉！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,108,说不清，但......整片区域在下沉！,わからないが……この一帯が沈んでいくぞ！,コウ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,0,109,,,,False
name,快走！去稳固的区域呆着，这里的地块要沉陷了！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,0,110,快走！去稳固的区域呆着，这里的地块要沉陷了！,早く逃げて！安全な場所に行って、この辺は陥没するから！,アーミヤ,True
blocker,,,,,,,,0.6,,,,,,,,,,,,,,,true,1,0,0,0,,,,,,,,,,,,0,111,,,,False
image,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,112,,,,False
blocker,,,,,,,,0.6,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,0,113,,,,False
character,,,,,,,,,,,,,,char_259_Jessica_1#3,,,,,,,,,,,,,,,,,,,,,,,,,0,114,,,,False
name,......博士？,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,,,,0,115,......博士？,……ドクター？,ジェシカ,True
name,博士，你脚下......开裂了？,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,,,,0,116,博士，你脚下......开裂了？,ドクター、足元が……割れてる？,ジェシカ,True
character,,,,,,,,,,,,,,char_017_homura_3#6,,,,,,,,,,,,,,,,,,,,,,,,,0,117,,,,False
name,完蛋。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,118,完蛋。,やばい。,コウ,True
name,博士！跳过来！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,119,博士！跳过来！,ドクター！飛んでこい！,コウ,True
decision,跳什么......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,跳什么......,1,,1,120,跳什么......,飛ぶって……,null,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,121,,,,False
camerashake,,,,,,,,,,,,,,,,,5,10,12,30,90,false,false,,,,,,,,,,,,,,,,0,122,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,0,123,,,,False
name,博士！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,0,124,博士！,ドクター！,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#6,,,,,,,,,,,,,,,,,,,,,,,,,0,125,,,,False
name,阿米娅，别去！博士，先抓住那根电线杆！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,126,阿米娅，别去！博士，先抓住那根电线杆！,アーミヤ、行くな！ドクター、まずはそこの電柱につかまって！,コウ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,0,127,,,,False
name,先救博士！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,0,128,先救博士！,まずドクターを助けて！,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#6,char_002_amiya_1#7,1,,,,,,,,,,,,,,,,,,,,,,,0,129,,,,False
name,地面撕裂倾斜的速度太快了，我够不到！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,130,地面撕裂倾斜的速度太快了，我够不到！,地面が裂けて傾くのが速すぎる、手が届かない！,コウ,True
character,,,,,,,,,,,,,,char_017_homura_3#6,char_002_amiya_1#7,2,,,,,,,,,,,,,,,,,,,,,,,0,131,,,,False
name,那我去！！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,0,132,那我去！！,じゃあ、私が行く！！,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#6,char_002_amiya_1#7,1,,,,,,,,,,,,,,,,,,,,,,,0,133,,,,False
name,不行！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,134,不行！,だめだ！,コウ,True
character,,,,,,,,,,,,,,char_017_homura_3#6,char_002_amiya_1#7,2,,,,,,,,,,,,,,,,,,,,,,,0,135,,,,False
name,你说什么——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,0,136,你说什么——,なんて言ったの——,アーミヤ,True
decision,......没事的。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,......没事的。,1,,1,137,......没事的。,......大丈夫。,null,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,138,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,0,139,,,,False
name,博士！！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,0,140,博士！！,ドクター！！,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#6,char_219_meteo_1,2,,,,,,,,,,,,,,,,,,,,,,,0,141,,,,False
name,周围的建筑物承受不了自重，正在坠落！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,0,142,周围的建筑物承受不了自重，正在坠落！,周りの建物が自重に耐えられず、崩れ始めてる！,エクシア,True
character,,,,,,,,,,,,,,char_017_homura_3#6,char_219_meteo_1,1,,,,,,,,,,,,,,,,,,,,,,,0,143,,,,False
name,陨星，接好！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,144,陨星，接好！,エクシア、受け止めて！,コウ,True
character,,,,,,,,,,,,,,char_017_homura_3#6,char_219_meteo_1,2,,,,,,,,,,,,,,,,,,,,,,,0,145,,,,False
name,好，我带阿米娅走！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,0,146,好，我带阿米娅走！,わかった、アーミヤを連れて行く！,エクシア,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,0,147,,,,False
camerashake,,,,,,,,,,,,,,,,,1,10,12,30,90,true,false,,,,,,,,,,,,,,,,0,148,,,,False
name,放手！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,0,149,放手！,離して！,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#9,char_002_amiya_1#7,1,,,,,,,,,,,,,,,,,,,,,,,0,150,,,,False
name,阿米娅，你走，我来帮博士！相信我作为罗德岛干员的实力！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,151,阿米娅，你走，我来帮博士！相信我作为罗德岛干员的实力！,アーミヤ、君は行け！ドクターは私が助ける！ロドスのオペレーターとしての力を信じてくれ！,コウ,True
character,,,,,,,,,,,,,,char_017_homura_3#9,char_002_amiya_1#7,2,,,,,,,,,,,,,,,,,,,,,,,0,152,,,,False
name,......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,0,153,......,……,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#9,char_002_amiya_1#7,1,,,,,,,,,,,,,,,,,,,,,,,0,154,,,,False
name,嘁，看来还是要流点血。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,155,嘁，看来还是要流点血。,ちっ、やっぱり血を流さないとダメか。,コウ,True
character,,,,,,,,,,,,,,char_017_homura_3#6,,,,,,,,,,,,,,,,,,,,,,,,,0,156,,,,False
name,博士，我会用气流和真空压减缓你的坠落速度，撑开你身边的建筑，放心，它们压不到你！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,157,博士，我会用气流和真空压减缓你的坠落速度，撑开你身边的建筑，放心，它们压不到你！,ドクター、気流と真空圧で落下速度を抑えて、周囲の建物を支えるから、安心して、押し潰されはしない！,コウ,True
name,不要怕！千万不要怕！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,158,不要怕！千万不要怕！,怖がるな！絶対に怖がるな！,コウ,True
name,......一会儿见！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,159,......一会儿见！,……また後で！,コウ,True
decision,一会儿见。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一会儿见。,1,,1,160,一会儿见。,また後で。,null,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,161,,,,False
camerashake,,,,,,,,,,,,,,,,,3,8,6,30,90,true,false,,,,,,,,,,,,,,,,0,162,,,,False
blocker,,,,,,,,0.02,,,,,,,,,,,,,,,true,0.7,0.95,0.95,0.95,,,,,,,,,,,,0,163,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,164,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,,,,true,0,0.95,0.95,0.95,,,,,,,,,,,,0,165,,,,False
camerashake,,,,,,,,,,,,,,,,,3,8,6,30,90,true,false,,,,,,,,,,,,,,,,0,166,,,,False
blocker,,,,,,,,0.02,,,,,,,,,,,,,,,true,0.7,0.95,0.95,0.95,,,,,,,,,,,,0,167,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,168,,,,False
blocker,,,,,,,,0,,,,,,,,,,,,,,,true,0,0,0,0,,,,,,,,,,,,0,169,,,,False
stopmusic,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,170,,,,False
blocker,,,,,,,,2,,,,,,,,,,,,,,,true,1,0,0,0,,,,,,,,,,,,0,171,,,,False
blocker,,,,,,,,3,,,,,,,,,,,,,,,true,0,0,0,0,,,,,,,,,,,,0,172,,,,False
playmusic,,$mist_loop,,,,,,,$mist_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,173,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#5,,,,,,,,,,,,,,,,,,,,,,,,,0,174,,,,False
name,......,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,175,......,……,コウ,True
character,,,,,,,,,,,,,,avg_npc_037,,,,,,,,,,,,,,,,,,,,,,,,,0,176,,,,False
