command,text_orig,key,is_skippable,fit_mode,time,volume,image,screenadapt,fadetime,block,name,a,r,g,b,intro,crossfade,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,index,text,jp_text,jp_name,text_match
background,,,,,,,bg_snowconutry_4,coverall,,,,,,,,,,,,,,,,,,48,,,,False
blocker,,,,,,,,,3,true,,0,0,0,0,,,,,,,,,,,49,,,,False
playmusic,,$warm_loop,,,,0.4,,,3,,,,,,,$warm_intro,,,,,,,,,,50,,,,False
,脱离黑蛇第三年,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,False
,乌萨斯小村庄,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,False
character,,,,,,,,,1,true,avg_npc_093#2,,,,,,,,,,,,,,,54,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,55,,,,False
name,塔露拉，快回来！别让他们看见你这身才好啊。,,,,,,,,,,老妇,,,,,,,,,,,,,,,56,塔露拉，快回来！别让他们看见你这身才好啊。,タルラ、早く戻ってきなさい！その格好を見られないようにしなさいよ。,おばあさん,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,False
character,,,,,,,,,1,true,avg_npc_078#2,,,,,,,,,,,,,,,59,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,60,,,,False
name,奶奶，别念叨了！我这就进来。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,61,奶奶，别念叨了！我这就进来。,おばあちゃん、もうその話はやめてよ！今すぐ入りますから。,タルラ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,False
blocker,,,,,,,,,1,true,,1,0,0,0,,,,,,,,,,,64,,,,False
background,,,,,,,bg_snowconutryinside,coverall,,,,,,,,,,,,,,,,,,65,,,,False
playsound,,$doorclosequite,,,,0.9,,,,,,,,,,,,,,,,,,,,66,,,,False
blocker,,,,,,,,,1,true,,0,0,0,0,,,,,,,,,,,67,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,68,,,,False
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#2,2,,,,,,,69,,,,False
name,你还是不肯换掉你这身衣服！都说了多少遍了，这衣服会把虫子招惹来的！,,,,,,,,,,老妇,,,,,,,,,,,,,,,70,你还是不肯换掉你这身衣服！都说了多少遍了，这衣服会把虫子招惹来的！,まだその服を着替えようとしないのね！何度も言ったでしょう、その服だと虫を呼んじゃうのよ！,おばあさん,True
name,大个的黑虫，还有毒......一口咬下去，就连田地都不会长庄稼啦！,,,,,,,,,,老妇,,,,,,,,,,,,,,,71,大个的黑虫，还有毒......一口咬下去，就连田地都不会长庄稼啦！,大きな黒い虫も来るし、毒もある......一口で畑の作物が育たなくなるんだから！,おばあさん,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#2,1,,,,,,,72,,,,False
name,奶奶，我平常不也是好好穿着普通衣服的吗？这两天只是因为有事要出门才换上这身的。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,73,奶奶，我平常不也是好好穿着普通衣服的吗？这两天只是因为有事要出门才换上这身的。,おばあちゃん、普段はちゃんと普通の服を着ていますよ？ここ二日は用事があったからこの服に着替えただけです。,タルラ,True
name,你想，奶奶，送我这身衣服的那个老爷，年轻帅气的老爷，我是要穿着这身，他才能记住我啊。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,74,你想，奶奶，送我这身衣服的那个老爷，年轻帅气的老爷，我是要穿着这身，他才能记住我啊。,考えてみてください、おばあちゃん。この服をくれたあの若くてかっこいいおじさまに会ったら、この服を着てないと私のことを覚えてもらえませんから。,タルラ,True
name,我是相信命运会送他与我重逢的，到时候，爷爷和奶奶就都能过上好日子啦。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,75,我是相信命运会送他与我重逢的，到时候，爷爷和奶奶就都能过上好日子啦。,運命が彼とまた再会させてくれると信じています。その時には、おじいちゃんもおばあちゃんも良い生活ができるようになりますから。,タルラ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#2,2,,,,,,,76,,,,False
name,呸，塔露拉......塔露拉！你这个谎话精，上次你哪是这么说的？,,,,,,,,,,老妇,,,,,,,,,,,,,,,77,呸，塔露拉......塔露拉！你这个谎话精，上次你哪是这么说的？,ふん、タルラ……タルラ！この嘘つきめ、前回はそんな風に言ってなかったでしょ？,おばあさん,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#2,1,,,,,,,78,,,,False
name,哎，我是怎么说的？我也忘记了，不就是这样的吗？,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,79,哎，我是怎么说的？我也忘记了，不就是这样的吗？,ええっと、私何て言ったっけ？私も忘れちゃいました、こんな感じじゃなかったですか？,タルラ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#2,2,,,,,,,80,,,,False
name,你上次还说这身是你爸爸送给你做生日礼物的呢！,,,,,,,,,,老妇,,,,,,,,,,,,,,,81,你上次还说这身是你爸爸送给你做生日礼物的呢！,前は、この服はお父さんが誕生日プレゼントにくれたって言ったでしょ！,おばあさん,True
name,说你爸爸在街上被什么头上顶个环的外国人抢劫了，你哭着穿着这身衣服逃了出来，衣服上沾满了你爸爸的血！,,,,,,,,,,老妇,,,,,,,,,,,,,,,82,说你爸爸在街上被什么头上顶个环的外国人抢劫了，你哭着穿着这身衣服逃了出来，衣服上沾满了你爸爸的血！,お父さんが頭に輪っかのある外国人に道で襲われたって、泣きながらこの服を着て逃げてきて、服はお父さんの血でいっぱいだったって言ったじゃない！,おばあさん,True
name,这都什么和什么......再上次你说的又不一样！,,,,,,,,,,老妇,,,,,,,,,,,,,,,83,这都什么和什么......再上次你说的又不一样！,何それ……前回だって違うこと言ってたのに！,おばあさん,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#2,1,,,,,,,84,,,,False
name,啊，这次我不是这么说的？奶奶的记性可真好啊。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,85,啊，这次我不是这么说的？奶奶的记性可真好啊。,あれ、今回そんなふうに言ってませんでしたっけ？おばあちゃん、よく覚えてますね。,タルラ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#2,2,,,,,,,86,,,,False
name,你夸我也没用！净胡说些有的没的......我已经快进棺材啦，你每次欺骗我这样一个老家伙，难道不会感到羞耻吗？,,,,,,,,,,老妇,,,,,,,,,,,,,,,87,你夸我也没用！净胡说些有的没的......我已经快进棺材啦，你每次欺骗我这样一个老家伙，难道不会感到羞耻吗？,ほめても無駄よ！でたらめばかり言って……私はもうすぐ棺桶よ。こんな年寄りを毎回だますなんて、恥ずかしくないのかい？,おばあさん,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#2,1,,,,,,,88,,,,False
name,啊，对不起，奶奶，我错了，对不起。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,89,啊，对不起，奶奶，我错了，对不起。,ごめんなさい、おばあちゃん、私が悪かったです、本当にすみません。,タルラ,True
character,,,,,,,,,,,avg_npc_093#2,,,,,,,,,,,,,,,90,,,,False
name,赶紧坐下！别换衣服了，净折腾！,,,,,,,,,,老妇,,,,,,,,,,,,,,,91,赶紧坐下！别换衣服了，净折腾！,早く座りなさい！もう着替えなんかしないで、おとなしくしなさい！,おばあさん,True
name,快快！把午饭给吃了。说了要中午回来，现在太阳都快跌进山里去了！,,,,,,,,,,老妇,,,,,,,,,,,,,,,92,快快！把午饭给吃了。说了要中午回来，现在太阳都快跌进山里去了！,さあ早く！お昼ごはんを食べなさい。昼に帰ってくるって言ったのに、もう太陽が山に沈みそうよ！,おばあさん,True
name,汤我还给你热着，都快烧干了，再这样下去，你可直接吃晚饭好了！,,,,,,,,,,老妇,,,,,,,,,,,,,,,93,汤我还给你热着，都快烧干了，再这样下去，你可直接吃晚饭好了！,スープは温めてあるのよ、もうほとんど蒸発しそうよ。このままじゃ夕飯だけになるわ！,おばあさん,True
character,,,,,,,,,,,avg_npc_093#5,,,,,,,,,,,,,,,94,,,,False
name,陛下在上，我们这丫头怎么是这么个样子啊......,,,,,,,,,,老妇,,,,,,,,,,,,,,,95,陛下在上，我们这丫头怎么是这么个样子啊......,陛下、ご覧ください、うちの娘はなんて子なんでしょうか……,おばあさん,True
name,赶紧吃完，老头子找你还有事。这个死醉鬼！又跑哪里去了......你得自己去找他了。,,,,,,,,,,老妇,,,,,,,,,,,,,,,96,赶紧吃完，老头子找你还有事。这个死醉鬼！又跑哪里去了......你得自己去找他了。,早く食べなさい、おじいさんがまだ用事があるって探してるよ。この酔っぱらいめ！どこ行ったんだか……自分で探しに行きなさい。,おばあさん,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#5,1,,,,,,,97,,,,False
name,好好，我知道啦。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,98,好好，我知道啦。,分かりました、分かりました。,タルラ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#2,2,,,,,,,99,,,,False
name,哼，姑娘家长得这么好，嘴巴却一点也不实在！和城里那些个甜言蜜语的小子可真像！,,,,,,,,,,老妇,,,,,,,,,,,,,,,100,哼，姑娘家长得这么好，嘴巴却一点也不实在！和城里那些个甜言蜜语的小子可真像！,ふん、こんなにきれいな娘なのに、口だけは本当じゃないんだから！まるで町の甘いことばかり言う男の子たちみたいだよ！,おばあさん,True
name,奶奶我年轻时候也是差点被骗去......都不是好东西！,,,,,,,,,,老妇,,,,,,,,,,,,,,,101,奶奶我年轻时候也是差点被骗去......都不是好东西！,おばあちゃんだって若い頃、もうちょっとで騙されそうになったんだから……みんなろくでもないよ！,おばあさん,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#2,1,,,,,,,102,,,,False
name,别念了......这我也听过好多次了啊，奶奶。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,103,别念了......这我也听过好多次了啊，奶奶。,もうやめて……その話、何度も聞きましたよ、おばあちゃん。,タルラ,True
character,,,,,,,,,,,avg_npc_093#2,,,,,,,,,,,,,,,104,,,,False
name,你还说！喏......快接。哎呀，快拿住盘子！把面包也赶紧吃了！,,,,,,,,,,老妇,,,,,,,,,,,,,,,105,你还说！喏......快接。哎呀，快拿住盘子！把面包也赶紧吃了！,まだ文句言う！ほら……早く、受け取りなさい。ああ、皿をしっかり持って！パンも早く食べなさい！,おばあさん,True
character,,,,,,,,,,,avg_npc_093#5,,,,,,,,,,,,,,,106,,,,False
name,也别这么急！噎着了该怎么办？,,,,,,,,,,老妇,,,,,,,,,,,,,,,107,也别这么急！噎着了该怎么办？,そんなに急がないで！喉に詰まらせたらどうするの？,おばあさん,True
name,......哎，但是你来那天满身是血，那是真的呀。,,,,,,,,,,老妇,,,,,,,,,,,,,,,108,......哎，但是你来那天满身是血，那是真的呀。,……でも、あんたが来た日に血だらけだったのは本当なのよ。,おばあさん,True
name,我现在想想还有点害怕呢，塔露拉，要不是你是这么一好孩子，老头子一定就用斧头把你劈死在门外头了。,,,,,,,,,,老妇,,,,,,,,,,,,,,,109,我现在想想还有点害怕呢，塔露拉，要不是你是这么一好孩子，老头子一定就用斧头把你劈死在门外头了。,今でも思い出すと怖いよ、タルラ。あんたがいい子じゃなかったら、おじいさんが斧で外で打ち殺したかもしれないのよ。,おばあさん,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#5,1,,,,,,,110,,,,False
name,哪有能一眼看出来别人是不是好人的......,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,111,哪有能一眼看出来别人是不是好人的......,人が良い人かどうかなんて、一目で分かるものじゃないですよ……,タルラ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#5,2,,,,,,,112,,,,False
name,你跑到这里那天，又是个黑乎乎的晚上，外头又有野兽，不管是驮兽还是肉兽，可都是叫个不停！我心里那个慌的呀......,,,,,,,,,,老妇,,,,,,,,,,,,,,,113,你跑到这里那天，又是个黑乎乎的晚上，外头又有野兽，不管是驮兽还是肉兽，可都是叫个不停！我心里那个慌的呀......,あんたがここに来た日は真っ暗な夜だったし、外は獣たちの鳴き声でいっぱいでね、私もすごく不安だったんだから……,おばあさん,True
name,还有，还有你手上拿的那把......,,,,,,,,,,老妇,,,,,,,,,,,,,,,114,还有，还有你手上拿的那把......,それに、あんたが手に持っていたあの……,おばあさん,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#5,1,,,,,,,115,,,,False
name,呜，噗......咳咳！,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,116,呜，噗......咳咳！,う、ぷっ……コホン！,タルラ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#5,2,,,,,,,117,,,,False
name,那可真是好大一把刀！我这辈子都没见过这么大的刀啊！,,,,,,,,,,老妇,,,,,,,,,,,,,,,118,那可真是好大一把刀！我这辈子都没见过这么大的刀啊！,あれは本当に大きなナイフだったよ！私の人生であんなに大きいの見たことないよ！,おばあさん,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#5,1,,,,,,,119,,,,False
name,那是把剑......是剑！不是刀。别再拿这把剑上山开路了，又不好用。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,120,那是把剑......是剑！不是刀。别再拿这把剑上山开路了，又不好用。,あれは剣です……剣ですよ！ナイフじゃありません。その剣で山道を切り開かないでください、あまり使いやすくないですから。,タルラ,True
name,再说，奶奶！说好不准提这事儿的呢？我可要生气了啊。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,121,再说，奶奶！说好不准提这事儿的呢？我可要生气了啊。,それに、おばあちゃん！この話はしないって約束したでしょう？私、本当に怒りますよ。,タルラ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#5,2,,,,,,,122,,,,False
name,哎呀，你看我这张嘴，呸，皇帝在上！不说了，下次绝对不会再说了！陛下啊，原谅我这老不死一时无心的过错吧！,,,,,,,,,,老妇,,,,,,,,,,,,,,,123,哎呀，你看我这张嘴，呸，皇帝在上！不说了，下次绝对不会再说了！陛下啊，原谅我这老不死一时无心的过错吧！,ああ、私ったら、つい口が滑っちゃって、陛下のお許しを！もう絶対言いません。陛下、こんな年寄りの過ちは許しておくれ……,おばあさん,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#5,1,,,,,,,124,,,,False
name,别这样，奶奶，皇帝可没空管这个。他在他的大城市里可是过得好得很呢，我们呢，连下个星期吃的土豆都没地方找。他想管也管不到。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,125,别这样，奶奶，皇帝可没空管这个。他在他的大城市里可是过得好得很呢，我们呢，连下个星期吃的土豆都没地方找。他想管也管不到。,そんなことしなくていいですよ、おばあちゃん。皇帝はこんなことに構っていられません。あの人は大都市で裕福に暮らしていますし、私たちは来週食べるイモも探せないのですから、どうしようもありません。,タルラ,True
name,再说了，现在是哪位皇帝，恐怕奶奶都不清楚吧？,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,126,再说了，现在是哪位皇帝，恐怕奶奶都不清楚吧？,それに、今の皇帝が誰か、おばあちゃんにも分からないでしょう？,タルラ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#2,2,,,,,,,127,,,,False
name,净瞎说！,,,,,,,,,,老妇,,,,,,,,,,,,,,,128,净瞎说！,もう、でたらめ言うんじゃないよ！,おばあさん,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,,,,,,,,,129,,,,False
name,这汤......家里没盐了？,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,130,这汤......家里没盐了？,このスープ……家にもう塩がないんですか？,タルラ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#5,2,,,,,,,131,,,,False
name,没啦！......早就没啦。昨晚盐罐子就空了！嘿，你们祖孙俩败家子！吃那么多盐......迟早把你们咸死！,,,,,,,,,,老妇,,,,,,,,,,,,,,,132,没啦！......早就没啦。昨晚盐罐子就空了！嘿，你们祖孙俩败家子！吃那么多盐......迟早把你们咸死！,もうないよ！……とっくになくなってるよ。昨晩、塩壺が空だったじゃないか！やれやれ、あんたたち親子は何でも使い果たして……そんなに塩を食べたらいつか塩漬けになっちゃうよ！,おばあさん,True
name,每次出去一两天，也不知道在做啥！回来以后啥也没带，钱也没有，粮食也没有！败家娘们儿......！,,,,,,,,,,老妇,,,,,,,,,,,,,,,133,每次出去一两天，也不知道在做啥！回来以后啥也没带，钱也没有，粮食也没有！败家娘们儿......！,いつも一、二日出かけて、何してるか分からないし！戻ってきても何も持ってこないし、お金もない、食糧もない！本当に困った娘だよ……！,おばあさん,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#5,1,,,,,,,134,,,,False
name,行了，行了，我去换点。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,135,行了，行了，我去换点。,分かりました、分かりました、塩を手に入れてきます。,タルラ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#2,2,,,,,,,136,,,,False
name,身体那么好，多干点活儿！,,,,,,,,,,老妇,,,,,,,,,,,,,,,137,身体那么好，多干点活儿！,あんた、そんなに丈夫なんだから、もっと働きなさいよ！,おばあさん,True
name,别去换了，我刚刚和阿丽娜说了，她会给我们家拿点。你再看看你这样！,,,,,,,,,,老妇,,,,,,,,,,,,,,,138,别去换了，我刚刚和阿丽娜说了，她会给我们家拿点。你再看看你这样！,もう行かなくていいよ、さっきアリーナに言っておいたから、うちに塩を持ってきてくれるって。自分を見てごらんよ！,おばあさん,True
name,人家姑娘可比你安稳多了，又喜欢读书，手工也勤快，你到现在连衣服都不会自己缝！,,,,,,,,,,老妇,,,,,,,,,,,,,,,139,人家姑娘可比你安稳多了，又喜欢读书，手工也勤快，你到现在连衣服都不会自己缝！,あの子はあんたよりずっとしっかりしてて、本も好きだし、手仕事も得意よ。あんたなんか、いまだに自分の服すら縫えないじゃないの！,おばあさん,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#2,1,,,,,,,140,,,,False
name,......人各有志。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,141,......人各有志。,……人にはそれぞれ志がありますから。,タルラ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#4,2,,,,,,,142,,,,False
name,哎，啥意思？,,,,,,,,,,老妇,,,,,,,,,,,,,,,143,哎，啥意思？,えっ、それどういう意味だい？,おばあさん,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#4,1,,,,,,,144,,,,False
name,每个人都有自己的志向。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,145,每个人都有自己的志向。,誰にも自分の志向がありますよ。,タルラ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093,2,,,,,,,146,,,,False
name,那你的志向是啥啊？早点找个好人家，带个结实的小伙子小英雌回来吧！指望你干活，苔麦都要烂在地里了。,,,,,,,,,,老妇,,,,,,,,,,,,,,,147,那你的志向是啥啊？早点找个好人家，带个结实的小伙子小英雌回来吧！指望你干活，苔麦都要烂在地里了。,じゃあ、あんたの志は何だい？早く良い人を見つけて、元気な若い男か女の子でも連れて帰ってきなよ！あんたに働いてもらうんなら、畑の麦も腐っちゃうよ。,おばあさん,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093,1,,,,,,,148,,,,False
name,年年农活我可都没落下。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,149,年年农活我可都没落下。,毎年ちゃんと畑仕事はしていますよ。,タルラ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_093#2,2,,,,,,,150,,,,False
name,这才几年！,,,,,,,,,,老妇,,,,,,,,,,,,,,,151,这才几年！,そんなの、ほんの数年だけじゃないか！,おばあさん,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,154,,,,False
character,,,,,,,,,1,true,avg_npc_079,,,,,,,,,,,,,,,155,,,,False
delay,,,,,2,,,,,,,,,,,,,,,,,,,,,156,,,,False
name,老妈妈，塔露拉干起活来可是一点都不落后的。你别再说她啦。,,,,,,,,,,？？？,,,,,,,,,,,,,,,157,老妈妈，塔露拉干起活来可是一点都不落后的。你别再说她啦。,お母さん、タルラはちゃんと働いてるよ。もうそんなに言わなくていいよ。,？？？,True
character,,,,,,,,,,,avg_npc_093,,,,,,,avg_npc_079,1,,,,,,,158,,,,False
name,阿丽娜！你可得帮忙说说她，再让她这么下去......,,,,,,,,,,老妇,,,,,,,,,,,,,,,159,阿丽娜！你可得帮忙说说她，再让她这么下去......,アリーナ！あんたからもタルラに言ってやって、放っておいたら……,おばあさん,True
character,,,,,,,,,,,avg_npc_093,,,,,,,avg_npc_079,2,,,,,,,160,,,,False
name,也不会出什么事的。,,,,,,,,,,阿丽娜,,,,,,,,,,,,,,,161,也不会出什么事的。,別に問題にはならないよ。,アリーナ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_079,1,,,,,,,162,,,,False
name,啊，你总算来了。也就你能让奶奶安静一小会儿了。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,163,啊，你总算来了。也就你能让奶奶安静一小会儿了。,ああ、やっと来てくれたんですね。アリーナにしかおばあちゃんを少し静かにさせることはできませんから。,タルラ,True
character,,,,,,,,,,,avg_npc_093#2,,,,,,,,,,,,,,,164,,,,False
name,真是翅膀硬了！披着身不知哪弄来的制服，就觉得自己是个贵族样子了？身子骨还没多壮实，架子就先摆了起来，从哪学来的......！,,,,,,,,,,老妇,,,,,,,,,,,,,,,165,真是翅膀硬了！披着身不知哪弄来的制服，就觉得自己是个贵族样子了？身子骨还没多壮实，架子就先摆了起来，从哪学来的......！,本当に強気になったもんだね！どこから取ってきたかわからない制服着て、まるで貴族みたいに気取って！体はそんなに頑丈でもないくせに、どこでそんな態度を覚えたんだか……！,おばあさん,True
name,我去干活了！你们自己吃吧。阿丽娜要是饿了就也吃些。塔露拉，别吃太多！给阿丽娜留些。,,,,,,,,,,老妇,,,,,,,,,,,,,,,166,我去干活了！你们自己吃吧。阿丽娜要是饿了就也吃些。塔露拉，别吃太多！给阿丽娜留些。,私は働きに行くよ！あんたたちで食べときな。アリーナが腹減ったら、彼女も食べていいから。タルラ、食べ過ぎるなよ！アリーナの分も残しとくんだよ。,おばあさん,True
character,,,,,,,,,,,avg_npc_078#6,,,,,,,,,,,,,,,167,,,,False
name,好，好......好。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,168,好，好......好。,はい、はい……分かりました。,タルラ,True
character,,,,,,,,,,,avg_npc_079#2,,,,,,,,,,,,,,,169,,,,False
name,我就不用啦，老妈妈。谢谢你。,,,,,,,,,,阿丽娜,,,,,,,,,,,,,,,170,我就不用啦，老妈妈。谢谢你。,私はいいです、お母さん。ありがとうございます。,アリーナ,True
character,,,,,,,,,,,avg_npc_079,,,,,,,,,,,,,,,171,,,,False
