command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,block,name2,focus,a,r,g,b,duration,xstrength,ystrength,vibrato,randomness,fadeout,index,text,jp_text,jp_name,text_match
name,老陈，你觉得——,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,46,老陈，你觉得——,チェン、どう思う——,ホシグマ,True
character,,,,,,,,,,,,,,,char_010_chen_1#3,,char_136_hsguma,2,,,,,,,,,,,47,,,,False
name,......,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,48,......,……,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1#3,,char_136_hsguma,2,,,,,,,,,,,49,,,,False
name,老陈？,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,50,老陈？,チェン？,ホシグマ,True
blocker,,,,,,,,,0.2,,,,,,,true,,,1,0,0,0,,,,,,,51,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,52,,,,False
background,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,53,,,,False
character,,,,,,,,,1,,,,,,char_010_chen_1#3,true,,,,,,,,,,,,,54,,,,False
blocker,,,,,,,,,0.2,,,,,,,true,,,0,,,,,,,,,,55,,,,False
name,怎么会——,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,56,怎么会——,どうして——,チェン,True
blocker,,,,,,,,,0.2,,,,,,,true,,,1,0,0,0,,,,,,,57,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,58,,,,False
background,,,,,coverall,bg_cher_2,1,1,0,,,,,,,,,,,,,,,,,,,,59,,,,False
blocker,,,,,,,,,0.2,,,,,,,true,,,0,,,,,,,,,,60,,,,False
character,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,61,,,,False
name,——！,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,62,——！,——！,ホシグマ,True
name,老陈，你去哪！,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,63,老陈，你去哪！,チェン、どこに行くんだ！,ホシグマ,True
name,该死，跑得真快！那个难道是——,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,64,该死，跑得真快！那个难道是——,くそっ、本当に速いな！あれはまさか——,ホシグマ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,65,,,,False
name,......我也没有看清楚！,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,66,......我也没有看清楚！,……私もはっきり見えませんでした！,アーミヤ,True
name,但我觉得那个身影确实是......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,67,但我觉得那个身影确实是......,でもあの姿は確かに……,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,68,,,,False
name,我们得追上去——,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,69,我们得追上去——,私たちも追いかけましょう——,アーミヤ,True
camerashake,,,,,,,,,,,,,,,,,,,,,,,1,8,12,30,90,true,70,,,,False
character,,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,71,,,,False
name,——,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,72,——,——,レユニオンメンバー,True
name,停下！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,73,停下！,止まれ！,レユニオンメンバー,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,74,,,,False
character,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,75,,,,False
name,居然选择在这个时候拦住我们......！,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,76,居然选择在这个时候拦住我们......！,まさかこんな時に私たちを止めるなんて……！,ホシグマ,True
name,那个家伙，不是一般的整合运动成员——,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,77,那个家伙，不是一般的整合运动成员——,あいつは普通のレユニオンじゃない——,ホシグマ,True
name,而且......从哪爬出来这么多源石生物？,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,78,而且......从哪爬出来这么多源石生物？,それに……どこからこんなにオリジニウム生物が現れたんだ？,ホシグマ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,79,,,,False
name,那些源石生物......可能会爆炸！,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,80,那些源石生物......可能会爆炸！,あのオリジニウム生物……爆発するかもしれません！,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,81,,,,False
name,博士！,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,82,博士！,ドクター！,ホシグマ,True
name,让罗德岛的伙计们，都小心点！！,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,83,让罗德岛的伙计们，都小心点！！,ロドスのみんな、気をつけろ！！,ホシグマ,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,84,,,,False
blocker,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,85,,,,False
