command,text_orig,key,is_skippable,fit_mode,image,screenadapt,fadetime,block,time,intro,volume,crossfade,delay,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,Delay,a,r,g,b,options,values,references,afrom,rfrom,gfrom,bfrom,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,option_number,index,text,jp_text,jp_name,text_match
blocker,,,,,,,0.2,true,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,0,32,,,,False
delay,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,False
name,......唔......唔！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,......唔......唔！,……うっ……ううっ！,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#5,char_002_amiya_1#4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,,,,False
name,阿米娅？你的表情很奇怪......等等！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,阿米娅？你的表情很奇怪......等等！,アーミヤ？お前の顔が変だぞ……待て！,煌,True
name,阿米娅，快住手，别再摸索她的意识了！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37,阿米娅，快住手，别再摸索她的意识了！,アーミヤ、すぐやめろ、もう彼女の意識を探るな！,煌,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38,,,,False
name,我没有......没有施术！但她的情感......她的情感在倒灌进我的意识......！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,我没有......没有施术！但她的情感......她的情感在倒灌进我的意识......！,私は……術を使っていません！でも彼女の感情が……彼女の感情が私の意識に逆流しています……！,アーミヤ,True
character,,,,,,,,,,,,,,char_1505_frstar_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,,,,False
name,......,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,......,……,フロストノヴァ,True
name,我等到你们了。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,我等到你们了。,あなたたちを待っていた。,フロストノヴァ,True
name,你们想要杀死整合运动的指挥官吧？,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,44,你们想要杀死整合运动的指挥官吧？,あなたたちは統合運動の指揮官を殺したいのでしょう？,フロストノヴァ,True
name,现在她就站在你的面前。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,现在她就站在你的面前。,今、彼女は君たちの目の前にいる。,フロストノヴァ,True
name,你的目标就在这里。发热，发烫。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,你的目标就在这里。发热，发烫。,君たちの標的はここにいる。熱を持って、熱くなっている。,フロストノヴァ,True
character,,,,,,,,,,,,,,char_017_homura_3#5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47,,,,False
name,发热......？,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,48,发热......？,発熱……？,煌,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,49,,,,False
name,是说......她的情感......！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,是说......她的情感......！,つまり……彼女の感情のことですね……！,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,,,,False
name,小队成员，准备！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,小队成员，准备！,部隊のメンバー、準備しろ！,煌,True
name,霜星，我们没必要在这浪费气力！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,53,霜星，我们没必要在这浪费气力！,フロストノヴァ、ここで体力を無駄にする必要はない！,煌,True
character,,,,,,,,,,,,,,char_1505_frstar_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54,,,,False
name,龙门已经不再关心彻底被逐出这座城市的感染者们会去向哪里。他们不会来。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,55,龙门已经不再关心彻底被逐出这座城市的感染者们会去向哪里。他们不会来。,龍門はこの都市から追い出された感染者たちがどこへ行くか、もう気にしていない。彼らは来ることはない。,フロストノヴァ,True
name,即使这座城市里还有着成千上万的感染者......但他们的命运已经被龙门决定好了。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,56,即使这座城市里还有着成千上万的感染者......但他们的命运已经被龙门决定好了。,この都市にはまだ何千、何万もの感染者がいるとしても、彼らの運命はすでに龍門によって決められている。,フロストノヴァ,True
name,已经没人会干扰这场战斗了。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,57,已经没人会干扰这场战斗了。,もう誰もこの戦いの邪魔をしない。,フロストノヴァ,True
character,,,,,,,,,,,,,,char_367_swllow_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,58,,,,False
name,我们这么多人......围攻你一个？,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,59,我们这么多人......围攻你一个？,私たちこんなに多くて……あなたひとりを包囲するの？,グレイソー,True
character,,,,,,,,,,,,,,char_1505_frstar_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,60,,,,False
name,不然呢？,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,61,不然呢？,でなければ？,フロストノヴァ,True
character,,,,,,,,,,,,,,char_017_homura_3#5,char_1505_frstar_1#6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,62,,,,False
name,我是觉得，我们人算是带少了。没人会傻到正面对上一场雪崩。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,63,我是觉得，我们人算是带少了。没人会傻到正面对上一场雪崩。,俺はむしろ人を連れてきすぎたとは思わない。正面から雪崩に立ち向かう奴なんていないさ。,煌,True
name,哎，不，正面对上雪崩，我应该能赢？,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,64,哎，不，正面对上雪崩，我应该能赢？,あ、いや、もし雪崩と正面対決しても俺なら勝てるか？,煌,True
name,但你是那种......类似整片大地的寒冷聚到了一具身躯上的那种东西。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,65,但你是那种......类似整片大地的寒冷聚到了一具身躯上的那种东西。,でもお前は……大地全体の寒さが一つの体に集まっているような存在だ。,煌,True
name,我以为你的雪怪小队能够尽可能地延展你的能力，让你的法术更加强大有效。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,66,我以为你的雪怪小队能够尽可能地延展你的能力，让你的法术更加强大有效。,お前のスノーデビル小隊ができる限りお前の能力を拡張し、術式をより強力に、有効にしていると思っていた。,煌,True
name,我错了，我弄错了......不是你因为他们变强了。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,67,我错了，我弄错了......不是你因为他们变强了。,間違っていた、俺は勘違いしていた……強くなったのはお前が彼らのためにそうなったからじゃない。,煌,True
name,是他们因为你的法术而变强了。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,68,是他们因为你的法术而变强了。,お前の術のおかげで彼らが強くなったんだ。,煌,True
character,,,,,,,,,,,,,,char_017_homura_3#5,char_1505_frstar_1#4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,69,,,,False
name,只要我的兄弟姐妹还在我身边，我就不会出全力。因为那会伤害他们。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70,只要我的兄弟姐妹还在我身边，我就不会出全力。因为那会伤害他们。,自分の兄弟たちがいる限り、私は本気を出さない。だって彼らを傷つけてしまうから。,フロストノヴァ,True
name,现在不一样。他们都死了。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,71,现在不一样。他们都死了。,でも今は違う。みんな死んでしまった。,フロストノヴァ,True
character,,,,,,,,,,,,,,char_1505_frstar_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,72,,,,False
name,我的身边，已经没剩下任何活物了。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,73,我的身边，已经没剩下任何活物了。,私の周りには、もう生きているものは誰もいない。,フロストノヴァ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,74,,,,False
playsound,,$d_gen_surfacefrozen,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,75,,,,False
blocker,,,,,,,3,false,,,,,,,,,,,,,,,,0.1,1,1,1,,,,,,,,,,,,,,,,0,76,,,,False
background,,,,,bg_undergroud_f,coverall,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,77,,,,False
delay,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,78,,,,False
character,,,,,,,,,,,,,,char_367_swllow_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,79,,,,False
name,唔！！,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80,唔！！,うっ！！,グレイソー,True
name,温度急剧下降，已经达到......,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,81,温度急剧下降，已经达到......,温度が急激に下がって、もう……,グレイソー,True
name,......不好！这个低温......我的仪器在失衡！！,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,82,......不好！这个低温......我的仪器在失衡！！,……まずい！この低温では……僕の装置がバランスを崩している！！,グレイソー,True
character,,,,,,,,,,,,,,char_1505_frstar_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,83,,,,False
name,我已经没有理由再压抑我体内的这抔冬天了。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,84,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#5,char_1505_frstar_1#4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,85,,,,False
name,搞什么，整合运动是批发人形天灾的吗？,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,86,,,,False
name,源石技艺所能创造的历史最低温是多少？怕是被她摁在地上一层层突破了吧......,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,87,,,,False
name,霜星，我再问一遍，你是想玩真的？,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,88,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#5,char_1505_frstar_1#4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,89,,,,False
name,还有什么想说的？,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#5,char_1505_frstar_1#4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,91,,,,False
name,有。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,92,,,,False
name,——现在，停下。白毛兔子，你会被你自己弄死。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,93,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#5,char_1505_frstar_1#4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,94,,,,False
name,哼。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,95,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#6,char_1505_frstar_1#4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,96,,,,False
name,你真的会死！就算你不把自己逼到这个地步，你也已经够强了！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,97,,,,False
name,别再强撑着干架了！要打以后随便打！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,98,,,,False
name,无论是杀掉别人还是被杀......这种事，我根本不希望在感染者之间发生！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,99,,,,False
name,现在你我哪有什么理由去打得不死不休！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#6,char_1505_frstar_1#4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,101,,,,False
name,不。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,102,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,103,,,,False
name,煌！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,104,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,105,,,,False
name,爆雾！卷起来！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,106,,,,False
name,嘁！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,107,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,108,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,109,,,,False
playsound,,$d_gen_surfacefrozen,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,110,,,,False
blocker,,,,,,,0.3,true,,,,,,,,,,,,,,,,1,255,255,255,,,,,,,,,,,,,,,,0,111,,,,False
camerashake,,,,,,,,false,,,,,,,,,1,10,10,30,90,true,,,,,,,,,,,,,,,,,,,,,0,112,,,,False
blocker,,,,,,,1,true,,,,,,,,,,,,,,,,0.1,1,1,1,,,,,,,,,,,,,,,,0,113,,,,False
blocker,,,,,,,0.3,true,,,,,,,,,,,,,,,,1,255,255,255,,,,,,,,,,,,,,,,0,114,,,,False
blocker,,,,,,,2,true,,,,,,,,,,,,,,,,0.1,1,1,1,,,,,,,,,,,,,,,,0,115,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,,,,False
name,......指甲盖都快冻裂了。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,117,,,,False
name,你真想杀掉我们？,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,118,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#9,char_1505_frstar_1#4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,119,,,,False
name,理由，我有。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,120,,,,False
name,作为指挥官，我已经输了。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,121,,,,False
name,——但作为战士，我还从没输过。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,122,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,124,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,125,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,126,,,,False
name,......Amiya-1，Blaze-4，全小队，听从命令。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,127,,,,False
name,退出这个区域。现在。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,128,,,,False
name,嘉维尔，你也出去！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,129,,,,False
name,因为你现在出去，之后才能进来救下我们！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,130,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,131,,,,False
name,我们小队里最强的狙击手是谁？,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,132,,,,False
character,,,,,,,,,,,,,,char_367_swllow_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,133,,,,False
name,......我。,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,134,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#5,char_367_swllow_1#4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,135,,,,False
name,你可能会死。真要这么推荐自己？,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#5,char_367_swllow_1#4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,137,,,,False
name,没有错。现在最强的，是我。,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,138,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,139,,,,False
name,好，灰喉，你留下。其他人，立刻出去。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,140,,,,False
name,快！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,141,,,,False
decision,为什么在决战时撤出小队？,,,,,,,,,,,,,,,,,,,,,,,,,,,为什么在决战时撤出小队？,1,,,,,,,,,,,,,,1,142,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,143,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,144,,,,False
name,对付这个霜星，一两支小队和两三个人比起来并没有优势，他们根本没有有效的防护手段，被杀也就是一瞬间的事。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,145,,,,False
name,就算是巡林者老爷子那样的好手来也没什么办法，这不是箭术的问题，是材料的问题。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,146,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#5,char_367_swllow_1#4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,147,,,,False
name,我的弩箭似乎已经没用了。,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,148,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#5,char_367_swllow_1#4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,149,,,,False
name,一会儿还是有用的。不过你要说有没有用......,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,150,,,,False
name,是我的话，建议直接用舰炮对着她来几发，那最有用。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,151,,,,False
name,或者变出十个以上的火力小队全力倾泻弹药和源石技艺，看她的极限在哪。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,152,,,,False
name,她终归会撑不住的。不过......现在先撑不住的，可能是我们。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,153,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,char_017_homura_3#5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,154,,,,False
name,止血剂带了吗？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,155,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,char_017_homura_3#5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,156,,,,False
name,你该问我有没有带抗凝血剂，不会捣乱的那种。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,157,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,char_017_homura_3#5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,158,,,,False
name,煌......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,159,,,,False
name,......你刚才问过，霜星为什么能忍受源石结晶从她皮肤里渗出的那种疼痛？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,160,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,char_017_homura_3#5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,161,,,,False
name,......,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,162,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,char_017_homura_3#5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,163,,,,False
name,我知道原因。我感受到了......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,164,,,,False
name,她能忍下来，是因为她内心的痛苦，要比这痛上几倍......好几倍。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,165,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,166,,,,False
name,......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,167,,,,False
name,现在，博士，请你也出去。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,168,,,,False
