command,text_orig,key,is_skippable,fit_mode,time,fadetime,block,a,r,g,b,image,screenadapt,volume,intro,name,name2,focus,options,values,references,duration,xstrength,ystrength,vibrato,randomness,fadeout,option_number,index,text,jp_text,jp_name,text_match
playsound,,$d_gen_transmissionget,,,,,,,,,,,,1,,,,,,,,,,,,,,0,39,,,,False
name,Raidian，我是阿米娅。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,40,Raidian，我是阿米娅。,Raidian、私はアーミヤです。,アーミヤ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,,,,False
decision,（Raidian是位怎样的干员？）,,,,,,,,,,,,,,,,,,（Raidian是位怎样的干员？）,1,,,,,,,,1,43,（Raidian是位怎样的干员？）,（Raidianはどんなオペレーター？）,,True
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,44,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,45,,,,False
name,（嗯......你也看到阿米娅和迷迭香的表情了。）,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,46,（嗯......你也看到阿米娅和迷迭香的表情了。）,（ふん……アーミヤとローズマリーの表情もあなたは見ていたでしょう。）,ケルシー,True
name,（Raidian是位受到低年龄层驻舰人员普遍喜爱的干员。对于成年人来说，她则可能显得有点过于热情友善。）,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,47,（Raidian是位受到低年龄层驻舰人员普遍喜爱的干员。对于成年人来说，她则可能显得有点过于热情友善。）,（Raidianは低年齢層の乗員たちに広く好かれているオペレーターです。大人にとってはやや熱心すぎたり、フレンドリーに見えるかもしれません。）,ケルシー,True
name,（和她矛盾最大的则是青少年。）,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,48,（和她矛盾最大的则是青少年。）,（彼女と最も衝突が多いのはティーンエイジャーです。）,ケルシー,True
decision,（为什么？）,,,,,,,,,,,,,,,,,,（为什么？）,1,,,,,,,,1,49,（为什么？）,（なぜ？）,,True
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,50,,,,False
name,（建立自我认同的急切需要会与Raidian不合时宜的母性产生不小的冲突。）,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,51,（建立自我认同的急切需要会与Raidian不合时宜的母性产生不小的冲突。）,（自己認識を確立したいという切実な願いは、Raidianの時に合わない母性的な部分と大きな衝突を起こします。）,ケルシー,True
name,（一般而言我不会把他们安排在同支小队。日后在安排时，这些细节你也可以参考手册。）,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,52,（一般而言我不会把他们安排在同支小队。日后在安排时，这些细节你也可以参考手册。）,（通常、私は彼らを同じチームに配置しません。今後の配置の際も、これらの詳細はマニュアルを参考にしてください。）,ケルシー,True
character,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,0,53,,,,False
name,嗯......我看到了，Raidian，是的。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,54,嗯......我看到了，Raidian，是的。,うん……見えました、Raidian。はい。,アーミヤ,True
name,你说的没错。是，那不是普通游击战士的战术编排。应该说......唔......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,55,你说的没错。是，那不是普通游击战士的战术编排。应该说......唔......,あなたの言う通りです。はい、それは普通のゲリラ戦士の戦術配置ではありません。つまり……うぅ……,アーミヤ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,56,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,57,,,,False
decision,像军人？,,,,,,,,,,,,,,,,,,像军人？,1,,,,,,,,1,58,像军人？,軍人みたい？,,True
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,59,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#3,,,,,,,,,,,,0,60,,,,False
name,对！Raidian，就像博士说的那样，虽然经过调整，但这里整合运动的战场部署，还是有着乌萨斯军制的影子。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,61,对！Raidian，就像博士说的那样，虽然经过调整，但这里整合运动的战场部署，还是有着乌萨斯军制的影子。,はい！Raidian、ドクターがおっしゃった通り、調整はされていますが、ここのインテグラルムーブメントの戦場配置は、やはりウルサス軍制の痕跡が見られます。,アーミヤ,True
name,经受了严格的军事训练......是的，很可能。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,62,经受了严格的军事训练......是的，很可能。,厳しい軍事訓練を受けた……そう、可能性が高いですね。,アーミヤ,True
name,也许整合运动所谓的“中枢神经”人员，也是经过了一小段时间乌萨斯军事化训练的感染者。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,63,也许整合运动所谓的“中枢神经”人员，也是经过了一小段时间乌萨斯军事化训练的感染者。,インテグラルムーブメントの“中枢神経”と言われる人たちも、もしかしたら短期間ではありますがウルサスの軍事訓練を受けた感染者かもしれません。,アーミヤ,True
name,只有他们才能担负起号召大量感染者的任务。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,64,只有他们才能担负起号召大量感染者的任务。,彼らだけが大量の感染者をまとめあげる任務を担うことができるのだと思います。,アーミヤ,True
name,这场战斗，可以预见，我们绝对没可能轻松取胜。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,65,这场战斗，可以预见，我们绝对没可能轻松取胜。,この戦いで、私たちが楽に勝てることは絶対にないと思います。,アーミヤ,True
name,嗯？不，我没关系。我和迷迭香，还有罗德岛的干员们......是自己要站在这里的。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,66,嗯？不，我没关系。我和迷迭香，还有罗德岛的干员们......是自己要站在这里的。,え？いいえ、私は大丈夫です。私もローズマリーも、それにロドスのオペレーターたちも……自分の意志でここに立っていますから。,アーミヤ,True
name,嗯嗯，放心吧，Raidian. 我身边也有博士和凯尔希医生在。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,67,嗯嗯，放心吧，Raidian. 我身边也有博士和凯尔希医生在。,うんうん、心配しなくても大丈夫です、Raidian。私のそばにはドクターもケルシー医師もいます。,アーミヤ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,68,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,69,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,70,,,,False
name,那么，阿米娅，我们要开始了。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,71,那么，阿米娅，我们要开始了。,それでは、アーミヤ、始めましょう。,ケルシー,True
character,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,0,72,,,,False
name,我知道了。那，Raidian，交给你和凯尔希医生了。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,73,我知道了。那，Raidian，交给你和凯尔希医生了。,分かりました。それでは、Raidian、あとはドクターとケルシー医師にお任せします。,アーミヤ,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,74,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,,,,1,,,,,,,,,,,,,,0,75,,,,False
name,......首先是利用好我们的通讯手段。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,76,,,,False
name,R-4小队，启动你们布设好的所有器械。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,77,,,,False
name,Raidian，在迷迭香开始施行法术的十分钟内，我们间的通讯一刻也不能断线，除非我们有人做出判断必须暂停。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,78,,,,False
name,持续运用源石技艺会让你感到不适，如果恶心感已经增长到了让你很难忍受的地步，立即服用我之前为你调配的辅助药物。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,79,,,,False
name,副作用是中度的眩晕感。虽然不会伤害你的神经系统，但会大幅消耗你的体力。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,80,,,,False
name,切记，不要过量用药，十分钟后，一切可以间歇进行。绝对不要透支身体。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,81,,,,False
name,委屈你了，Raidian。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,82,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,83,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,84,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,85,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,avg_npc_042,1,,,,,,,,,,0,86,,,,False
name,迷迭香，所有敌人传令兵的特征都会通过Raidian发送的电信号直接输入你的携带终端。你来感知，你来记录。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,87,,,,False
name,即使他们的位置有所改变，你也要忍住，尽量别松开。抓到他们的感觉，然后再次记录。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,88,,,,False
name,延展你的身体，迷迭香，想象自己在这座城市里行走。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,89,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,avg_npc_042,2,,,,,,,,,,0,90,,,,False
name,我知道了，凯尔希医生。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,91,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,char_002_amiya_1#7,1,,,,,,,,,,0,92,,,,False
name,阿米娅......,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,93,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,char_002_amiya_1#7,2,,,,,,,,,,0,94,,,,False
name,我知道。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,95,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,char_002_amiya_1#7,1,,,,,,,,,,0,96,,,,False
name,辛苦你们。一旦出现任何异常，我会打断你们的施术过程。如果身体感到疼痛，立刻说。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,97,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#3,,,,,,,,,,,,0,98,,,,False
name,迷迭香......我会靠近你一点。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,99,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#3,avg_npc_042,2,,,,,,,,,,0,100,,,,False
name,嗯，我也准备好了。我不害怕。阿米娅，不要怕我。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,101,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#3,avg_npc_042,1,,,,,,,,,,0,102,,,,False
camerashake,,,,,,,false,,,,,,,,,,,,,,,0.4,0,8,30,30,true,0,103,,,,False
name,我不会的，我不害怕迷迭香。我们不会害怕。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,104,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,105,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,106,,,,False
decision,她们额头相碰......,,,,,,,,,,,,,,,,,,她们额头相碰......,1,,,,,,,,1,107,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,108,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,109,,,,False
name,阿米娅在稳定迷迭香的情绪。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,110,,,,False
name,我建议你不要直视，博士。除了饱受惨剧折磨的战士外，我不建议任何人直视迷迭香法术本质的延展。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,111,,,,False
decision,你岂不是在说小兔子她......,,,,,,,,,,,,,,,,,,我没听错吧？！;......阿米娅......？;你岂不是在说小兔子她......,1;2;3,,,,,,,,3,112,,,,False
decision,......阿米娅......？,,,,,,,,,,,,,,,,,,我没听错吧？！;......阿米娅......？;你岂不是在说小兔子她......,1;2;3,,,,,,,,3,113,,,,False
decision,我没听错吧？！,,,,,,,,,,,,,,,,,,我没听错吧？！;......阿米娅......？;你岂不是在说小兔子她......,1;2;3,,,,,,,,3,114,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,0,115,,,,False
name,——,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,116,,,,False
name,我以为你能更早察觉到。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,117,,,,False
name,或者，你已经拥有了这种认知，却还没来得及告诉我。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,118,,,,False
name,但是，是的，博士。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,119,,,,False
name,......阿米娅或亲身、或在意识中历经的战斗，绝对不是一个个体人类该承受的。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,120,,,,False
decision,你们......,,,,,,,,,,,,,,,,,,你们......,1,,,,,,,,1,121,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,122,,,,False
name,但是两个人也许可以。三个人也许也行。越多人分担，越多人承受。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,123,,,,False
name,博士，我不完全是在讲一种记忆或者战场的经验。这同时也包含了责任和体能两个范畴。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,124,,,,False
name,如果你想，可以去握住阿米娅的手替她分担。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,125,,,,False
decision,（什么也不做）,,,,,,,,,,,,,,,,,,（向阿米娅伸手）;（什么也不做）,1;2,,,,,,,,2,126,,,,False
decision,（向阿米娅伸手）,,,,,,,,,,,,,,,,,,（向阿米娅伸手）;（什么也不做）,1;2,,,,,,,,2,127,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1;2,,,,,,,0,128,,,,False
name,不，无论如何，今天还是不了。你我都有另外一项紧要任务去做。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,129,,,,False
name,我们需要在他们规划的空间里，为他们节省宝贵的时间。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,130,,,,False
name,——,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,131,,,,False
name,医药公司要深究问题起因，适应环境，合理分配职能，寻找突破口。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,132,,,,False
name,比起常规战争，我们的目标要小得多、精确得多。而小队打击任务，相较战争更接近一场手术。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,133,,,,False
name,战争贩子不在行的事情，却落在我们的专业范畴之内。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,134,,,,False
name,罗德岛在核心城进行的是一次斩首行动。我们设立的任务标的，无不围绕着消灭病灶展开。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,135,,,,False
name,可即使排除了病变，如果没能真正探明病因，那么问题不会得到根本性的解决。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,136,,,,False
name,博士，我也希望你能考虑一下这个问题。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,137,,,,False
name,——我们的病人是谁？,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,138,,,,False
name,是普通的感染者，是乌萨斯的被动感染者，是整合运动，还是这座城市？,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,139,,,,False
name,它的病根又在哪里？,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,140,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,141,,,,False
name,之前我们说过，整合运动没有维持城内的各个通讯节点。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,142,,,,False
name,现在我们可以清楚地看到，塔露拉为了让城内持续处于混乱状态，刻意保留了天灾带来的源石丛。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,143,,,,False
name,这会对通讯状况造成极大干扰。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,144,,,,False
name,即使是最先进的通讯设备也无法在这种情况下正常运作。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,145,,,,False
name,但现在，利用精英干员Raidian的能力，我们可以将原本混乱的电波加以区分。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,146,,,,False
name,所以，我们拥有更直观更便捷的通讯能力，这是战备的优势。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,147,,,,False
decision,一项优势是不够的。,,,,,,,,,,,,,,,,,,一项优势是不够的。,1,,,,,,,,1,148,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,149,,,,False
name,是的。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,150,,,,False
name,你也看见那些背着扩音装置的传令兵了，在这样原始的通讯环境下，游击队利用加密指令传递消息与命令。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,151,,,,False
name,我们还没成功掌握这片战场上传令兵的整体动向，但迷迭香会为我们找出来。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,152,,,,False
name,传令兵传递的讯息也许并不即时，同时也有距离上的限制，但在险恶环境中却最稳定，也最能维持纪律。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,153,,,,False
name,猜猜看，这种循环有什么问题？,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,154,,,,False
decision,是谁第一个发令的？,,,,,,,,,,,,,,,,,,是谁第一个发令的？;......起源。;部队不会只有传令兵，没有发令者。,1;2;3,,,,,,,,3,155,,,,False
decision,......起源。,,,,,,,,,,,,,,,,,,是谁第一个发令的？;......起源。;部队不会只有传令兵，没有发令者。,1;2;3,,,,,,,,3,156,,,,False
decision,部队不会只有传令兵，没有发令者。,,,,,,,,,,,,,,,,,,是谁第一个发令的？;......起源。;部队不会只有传令兵，没有发令者。,1;2;3,,,,,,,,3,157,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,0,158,,,,False
name,是。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,159,,,,False
name,真正的指挥者隐藏了自己的位置。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,160,,,,False
name,如果是你，你会怎么做，博士？,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,161,,,,False
decision,逼他出来！！,,,,,,,,,,,,,,,,,,逼他出来！！;......诱饵。;得动点手脚才能见见他。,1;2;3,,,,,,,,3,162,,,,False
decision,......诱饵。,,,,,,,,,,,,,,,,,,逼他出来！！;......诱饵。;得动点手脚才能见见他。,1;2;3,,,,,,,,3,163,,,,False
decision,得动点手脚才能见见他。,,,,,,,,,,,,,,,,,,逼他出来！！;......诱饵。;得动点手脚才能见见他。,1;2;3,,,,,,,,3,164,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,0,165,,,,False
name,对。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,166,,,,False
name,现在我们拥有了针对性的思维，这是战术的优势。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,167,,,,False
name,......,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,168,,,,False
name,博士，迷迭香正在释放的源石技艺，可以确定所有传令兵的即时位置和巡逻路线。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,169,,,,False
name,迷迭香将膨大她的意志，捕捉所有范围内的实在形体，但在这时，她的精神状态会逐渐陷入紊乱。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,170,,,,False
name,阿米娅正尝试抚平她的情绪。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,171,,,,False
name,Raidian是我们的通讯核心。依靠她的法术，我们能够在短时间内畅通无阻的进行交流。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,172,,,,False
name,我们只需要等迷迭香完成规划，然后行动。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,173,,,,False
name,这时，游击队则对我们依然一无所知。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,174,,,,False
name,他们不知道我们选择瓦解整个游击队的讯息传递方式，也不知道我们有应对布置在战场上的萨卡兹古老巫术的措施......,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,175,,,,False
name,即使效果有限，我们也依然有。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,176,,,,False
name,击溃传令兵后，游击队也会做出反应，不到半小时，替补的传令兵就会开始运作，并且更难被袭击。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,177,,,,False
name,那时的他们会比现在更加警觉，近乎没有弱点。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,178,,,,False
name,以及，我们的位置和战术也会被洞悉，那时我们就会陷入困境。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,179,,,,False
name,但是，我们只系统地进攻一次。通过这仅仅一轮打击，我们逼出他们的指挥部队。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,180,,,,False
name,游击队不会想象另一支感染者特殊小队的存在。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,181,,,,False
name,这是我们战略上的优势。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,182,,,,False
decision,我更在意它的实施过程。能成功吗？,,,,,,,,,,,,,,,,,,我更在意它的实施过程。能成功吗？,1,,,,,,,,1,183,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,184,,,,False
name,——我不会在这时候夸大其词。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,185,,,,False
name,博士，就算我们拥有这三项优势，我们失败的概率也比成功的概率更大。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,186,,,,False
decision,那为什么要这么安排？,,,,,,,,,,,,,,,,,,那为什么要这么安排？,1,,,,,,,,1,187,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,188,,,,False
name,因为别的办法概率更低。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,189,,,,False
