command,text,name,option_number,option_value,references,image,values,jp_text,jp_name
name,根据整合运动的一系列表现，我们可以很清楚地知道，整合运动的其他领袖对塔露拉的行为并没有太多认识。,凯尔希,0,,,,,統合運動が示した一連の行動から、他のリーダーたちがタルラの行動をあまり把握していないことが明らかです。,ケルシー
name,即使是已经窥见她阴谋的爱国者，也没有能力在急剧变化中力挽狂澜。假使他能杀了塔露拉，也一样改变不了整合运动倾颓的趋势。,凯尔希,0,,,,,既に彼女の陰謀に気付いた愛国者でさえ、急激な状況変化の中で立て直す力はありません。仮にタルラを殺したとしても、統合運動の衰退傾向は変わらないでしょう。,ケルシー
name,何况，塔露拉在脑海中勾勒这个利用感染者的阴谋......她需要的时间，可能比现在整合运动存在的时间更长。,凯尔希,0,,,,,ましてや、タルラが感染者を利用するこの陰謀を描いてきた時間は、今の統合運動が存続している期間よりも長いかもしれません。,ケルシー
name,我猜想，整合运动迄今为止的所有行动，都是以一个前提去设计的......,凯尔希,0,,,,,私の考えでは、これまでの全ての統合運動の行動は、ある前提に基づいて設計されています……,ケルシー
name,“整合运动将在事件结束后毁灭。”,凯尔希,0,,,,,「統合運動は事件が終わった後、滅びる」,ケルシー
name,塔露拉会将尖锐而隐秘的力量分散在疆土各处，在需要的时候召集他们，让他们在合适的时机出现。,凯尔希,0,,,,,タルラは鋭く秘密の力を各地に分散させ、必要な時に集め、適切なタイミングで登場させるでしょう。,ケルシー
name,博士，我想，乌萨斯帝国的第三集团军其实是不会允许任何感染者自由行动的。,凯尔希,0,,,,,ドクター、ウルサス帝国の第三軍団は、感染者の自由な行動を決して許さないのではないかと思います。,ケルシー
name,只不过，整合运动现在的所有作为，都在他们的容忍范围之内。这种表面上的暴力、缺乏纪律与散漫，是第三集团军所乐见的。,凯尔希,0,,,,,ただし、今の統合運動の活動はすべて第三軍団の容認範囲内です。この表面上の暴力や規律のなさ、散漫さは、第三軍団にとって好都合なのです。,ケルシー
name,仔细想想，他们会仅仅只是旁观吗？他们如此冒险，就真的甘愿只是让塔露拉一人操纵一城甚至一国的局势吗？,凯尔希,0,,,,,よく考えてみれば、彼らはただ傍観しているだけなのでしょうか？これほどの危険を冒し、タルラ一人に都市や国家の事態を操らせて本当に満足するのでしょうか？,ケルシー
name,还是说，这甚至也是塔露拉的砝码，用来骗取乌萨斯军队的力量......让他们蛰伏在某处，只等着事态变化到即将超脱她掌控的地步。,凯尔希,0,,,,,それとも、これもタルラの駆け引きで、ウルサス軍を利用するために……彼らをどこかに潜伏させ、状況が彼女の手に収まらなくなる瞬間を待っているのではないでしょうか。,ケルシー
name,那时，她就可以名正言顺地......动用她根本无法触及的力量。如她所愿。,凯尔希,0,,,,,その時こそ、彼女は正当な理由を得て……本来使えない力さえ動かすことができるのです。思いのままに。,ケルシー
name,但这需要时间。,凯尔希,0,,,,,ですが、それには時間が必要です。,ケルシー
decision,你都这么说了，她为什么还不是一个暴君？,,1,1,,,1,あなたがそう言うなら、なぜ彼女はまだ暴君ではないのですか？,
predicate,,,0,,1,,,,
name,因为现在的整合运动想要一个这样的领袖，却不真的需要这样一个领袖。,凯尔希,0,,,,,今の統合運動はそのような指導者を求めているものの、本当にはそういう指導者が必要ではありません。,ケルシー
name,暴君珍惜自己的羽翼，即使他们往往因为短视或狂躁而肆意地摧毁了它们，而后又真情实感地痛哭流涕。,凯尔希,0,,,,,暴君は自分の配下を大事にしますが、時に短絡的または激情によりそれを自ら壊し、後から本気で泣きます。,ケルシー
name,阴谋家不会。暴君有棋子，阴谋家也有；但暴君自己同在棋盘，阴谋家却坐在棋盘之外。,凯尔希,0,,,,,策士はそうしません。暴君にも策士にも駒（こま）はありますが、暴君は盤上に立ち、策士は盤の外から動かすのです。,ケルシー
name,假设她有人性，她就可能犯错。但是对一个合格的阴谋家来说，当阴谋行驶在轨道上时，即使自身死了，她的阴谋一样会继续自然发展。,凯尔希,0,,,,,もし彼女に人間性があるなら、過ちを犯すかもしれません。しかし優秀な策士にとって、陰謀が動き始めれば、たとえ自分が死んでも陰謀は自然に進行し続けます。,ケルシー
decision,我们的行动没有用吗？,,1,1,,,1,私たちの行動は無駄なのですか？,
predicate,,,0,,1,,,,
name,如果是那样，我们根本就不会带着罗德岛的雇员们出生入死。,凯尔希,0,,,,,もしそうなら、私たちはロドスのスタッフを連れて命を懸けるはずがありません。,ケルシー
name,仅仅是杀了她自然是没有用的。所以，我们要在各个部分各个地方，分解她的阴谋，对抗她的指令，令她的阴谋失效。,凯尔希,0,,,,,彼女を殺すだけでは意味がありません。だからこそ、私たちはあらゆる部分で彼女の陰謀を分解し、指令を妨げ、陰謀を無効化する必要があるのです。,ケルシー
name,如果我们不能停止一艘舰船继续向前，那么我们就把它拆成碎片，让它在到达目的地时只剩下无害的空壳。,凯尔希,0,,,,,もし船の進行を止められないなら、バラバラにして、目的地に着く頃には無害な殻だけが残るようにするまでです。,ケルシー
name,......啊，也许我的说法会让你误会。我们还是得停下切尔诺伯格这座核心城的。,凯尔希,0,,,,,……あぁ、私の言い方で誤解させてしまったかもしれません。それでも、チェルノボーグという中枢都市を止めなければなりません。,ケルシー
dialog,,,0,,,,,,
character,,,0,,,,,,
blocker,,,0,,,,,,
background,,,0,,,bg_cherunder_2,,,
blocker,,,0,,,,,,
character,,char_003_kalts_1,0,,,,,,
name,博士，你担忧过阿米娅他们是否可能会遭遇突发事态......,凯尔希,0,,,,,ドクター、あなたはアーミヤたちが予期せぬ事態に遭遇する可能性を心配していましたが……,ケルシー
name,我认为，摆在我们面前的，这才是真正的突发事态。,凯尔希,0,,,,,私の考えでは、私たちの目の前にあるのこそが本当の突発事態です。,ケルシー
character,,avg_npc_091,0,,,,,,
name,W，W。W在哪？W更强。,牧群化萨卡兹战士,0,,,,,W、W。Wはどこだ？Wはもっと強い。,群れ化したサルカズ戦士
name,不要，不要进入......,牧群化萨卡兹战士,0,,,,,ダメ、入るな……,群れ化したサルカズ戦士
character,,,0,,,,,,
dialog,,,0,,,,,,
decision,能和他们交流吗？,,1,1,,,1,彼らと意思疎通できるのか？,
predicate,,,0,,1,,,,
character,,char_003_kalts_1,0,,,,,,
name,（萨卡兹某部族语言）,凯尔希,0,,,,,（サルカズの部族語）,ケルシー
character,,avg_npc_091,0,,,,,,
name,地下充斥黑暗。黑暗滋生邪恶。邪恶带来痛苦。,牧群化萨卡兹战士,0,,,,,地下は闇で満ちている。闇は邪悪を生み、邪悪は苦痛をもたらす。,群れ化したサルカズ戦士
name,太多的，痛苦。,牧群化萨卡兹战士,0,,,,,あまりにも多くの、苦しみ。,群れ化したサルカズ戦士
character,,char_003_kalts_1,0,,,,,,
name,（萨卡兹某部族语言）,凯尔希,0,,,,,（サルカズの部族語）,
character,,avg_npc_091,0,,,,,,
name,你们，分享我们的痛苦？,牧群化萨卡兹战士,0,,,,,お前たち、我々の苦しみを分かち合うのか？,群れ化したサルカズ戦士
character,,char_003_kalts_1,0,,,,,,
name,不行。即使他们不是卡兹戴尔出身，也应该对母语类的暗示有所反应。他们的主动思维能力已经损坏了。,凯尔希,0,,,,,ダメです。たとえカズデール出身でなくても、母語的な暗示には反応するはずです。彼らの自発的思考能力はもう損なわれています。,ケルシー
decision,你说的那些词句能影响他们？,,1,1,,,1,君が言った言葉は彼らに効果があるのか？,
predicate,,,0,,1,,,,
name,原本是应该能的。,凯尔希,0,,,,,本来は効くはずでした。,ケルシー
name,等等......这不是常理性的手段。不要好奇。,凯尔希,0,,,,,待って……これは常識的な手段ではありません。好奇心は控えて。,ケルシー
name,但如果我用这种手段都不能唤醒他们的意识，那他们确实已经失去了思考能力而不是单纯的表达能力。,凯尔希,0,,,,,でも、この方法で意識を呼び覚ませないなら、彼らは表現能力だけでなく、思考能力自体を失っていることになります。,ケルシー
name,是他们的脑活动被封锁了，还是他们的神经系统被感染器官扰乱了......我们剩下的时间尚不够我们探明问题的答案。,凯尔希,0,,,,,彼らの脳活動が封じられているのか、それとも神経系が感染器官に乱されているのか……残された時間では答えを追及できません。,ケルシー
name,只是依据事实判断，我想可能凶多吉少。,凯尔希,0,,,,,事実に基づく判断ですが、希望は薄いと思います。,ケルシー
decision,他们似乎不会攻击我们。,,1,1,,,1,彼らは私たちを攻撃しないようだ。,
predicate,,,0,,1,,,,
name,他们在阻止我们深入。深度感染的萨卡兹雇佣兵，在这个区域的，大概有六个左右，大多数时间里只是进行着看似无意识的漫游。,凯尔希,0,,,,,彼らは私たちの奥への進入を阻んでいます。この地区にいる重度感染のサルカズ傭兵は6人ほどで、多くは無意識の徘徊をしているだけです。,ケルシー
name,他们的活动范围不会延伸到这个通道之外，而现在这些深度感染者是在意识到我们的行为后才聚集在这里的。,凯尔希,0,,,,,彼らの活動範囲はこの通路を超えません。今ここに集まっているのは、私たちの行動を察知したからです。,ケルシー
name,并且，只要我们不跨过界线，他们就不会采取进一步的行动。,凯尔希,0,,,,,そして私たちが境界線を越えない限り、さらなる行動は起こしません。,ケルシー
name,侦查干员，能检测出我们与石棺之间线性距离吗？根据我提供的波形来判定位置。,凯尔希,0,,,,,偵察オペレーター、私たちと石棺の間の直線距離を測定できますか？私が与える波形で位置を判定してください。,ケルシー
name,......1.4公里。准确数字？,凯尔希,0,,,,,……1.4キロメートル。正確な数字は？,ケルシー
name,1453米。,凯尔希,0,,,,,1453メートルです。,ケルシー
name,......如果我没算错，那么，之前整合运动与萨卡兹特殊感染者发生冲突的位置，距离市政厅的距离也恰巧是1.4公里左右。,凯尔希,0,,,,,……もし計算が正しければ、以前の統合運動とサルカズ特殊感染者の衝突現場も市庁舎から約1.4キロだったはずです。,ケルシー
name,我们原本打算从市政厅下方的避难通道进入石棺区，现在，那个出口可能已经被这些萨卡兹特殊感染者占据了。,凯尔希,0,,,,,元々は市庁舎下の避難通路から石棺エリアに入るつもりでしたが、今やその出口はサルカズ特殊感染者に占拠されている可能性があります。,ケルシー
name,我有一个未经证实的猜想，博士......,凯尔希,0,,,,,ドクター、私にはまだ未確認の仮説があります……,ケルシー
decision,什么样的猜想？,,1,1,,,1,どんな仮説ですか？,
predicate,,,0,,1,,,,
name,虽然不知道目的是什么，但这些萨卡兹特殊感染者可能是在阻止其他人进入石棺区，而这个控制区域的大小，也恰好是1.4公里。,凯尔希,0,,,,,目的は分かりませんが、彼らは他者を石棺エリアに入れないために行動している可能性があります。そして、その制御エリアの半径もちょうど1.4キロほどです。,ケルシー
decision,你说的也许是对的，但是目的呢？,,1,1,,,1,君の言うことは正しいかもしれないが、目的は何だ？,
predicate,,,0,,1,,,,
name,（摇头）,凯尔希,0,,,,,（首を振る）,ケルシー
name,至少不再是这些萨卡兹原本的目的了。,凯尔希,0,,,,,少なくとも、これらのサルカズの本来の目的ではなくなっています。,ケルシー
name,......,凯尔希,0,,,,,......,
name,源自卡兹戴尔，可悲的萨卡兹人，无论在哪里都会成为工具。,凯尔希,0,,,,,カズデール由来の哀れなサルカズたちは、どこにいても道具にされてしまう。,ケルシー
name,我认为，感染者现在的处境也与萨卡兹相似，现在的这些萨卡兹只能在充满仇恨和失去一切间选择。,凯尔希,0,,,,,感染者たちの現状もサルカズたちと似ていると思います。今のサルカズは、憎しみとすべてを失うことの間でしか選べない。,ケルシー
name,......本来，事情该有所改变。我们是能够改变的。,凯尔希,0,,,,,……本来なら、事態は変えられるべきでした。私たちには変える力があります。,ケルシー
name,失去了家乡的提卡兹，变成了无根之人萨卡兹。,凯尔希,0,,,,,故郷を失ったティカズは、根無し草となったサルカズに変わったのです。,ケルシー
name,现在，我们面前的这些萨卡兹，则连人都算不上了。,凯尔希,0,,,,,今、私たちの前にいるサルカズたちは、もはや人とも言えません。,ケルシー
decision,你要怎么做？,,1,1,,,1,あなたはどうするつもりだ？,
predicate,,,0,,1,,,,
name,诸位干员，检查你们的防化装备。,凯尔希,0,,,,,オペレーターの皆さん、防護装備を確認してください。,ケルシー
name,我们面对的也许是二级紧急感染事态。,凯尔希,0,,,,,私たちは二次緊急感染事態に直面している可能性があります。,ケルシー
name,博士，我们要在尽可能减少损耗的情况下，尽可能多地停止特殊感染者的运作。,凯尔希,0,,,,,ドクター、被害を最小限に抑えつつ、できるだけ多くの特殊感染者の活動を停止させる必要があります。,ケルシー
name,......我们有段时间没有出面解决紧急感染事态了，这身行头，简直就像是乌萨斯的感染者纠察队。,凯尔希,0,,,,,……緊急感染事態の解決に直接関わるのは久しぶりですね。この装備、まるでウルサスの感染者査察隊のようです。,ケルシー
decision,感染者纠察队？,,1,1,,,1,感染者査察隊？,
predicate,,,0,,1,,,,
character,,,0,,,,,,
dialog,,,0,,,,,,
dialog,,,0,,,,,,
blocker,,,0,,,,,,
image,,,0,,,avg_8_26,,,
blocker,,,0,,,,,,
character,,,0,,,,,,
imagetween,,,0,,,,,,
name,我无法否认的一点是，我们配备的防化设备与乌萨斯对感染者的残暴统治象征......分享着同一个原型设计。,凯尔希,0,,,,,否定できませんが、私たちの装備はウルサスが感染者を残酷に支配する象徴である……その原型を共有しています。,ケルシー
name,虽然，我们在行为上和感染者纠察队有着本质的不同，但我也只能希望我们真能继续保持这种本质差异，不因种种外力所迫变得面目全非。,凯尔希,0,,,,,私たちの行動は感染者査察隊と本質的に異なりますが、その本質的な違いを保ち続けることを切に願います。外圧で変わり果てたくはありません。,ケルシー
name,这也是我们对很多事情的期望。和我一段时间前对你说的那样。希望你也如此。,凯尔希,0,,,,,これは多くの物事に対する私たちの期待でもあります。少し前にあなたに言った通りです。あなたも同じ気持ちであってほしい。,ケルシー
dialog,,,0,,,,,,
blocker,,,0,,,,,,
image,,,0,,,,,,
background,,,0,,,bg_chercen_2,,,
blocker,,,0,,,,,,
character,,char_002_amiya_1#7,0,,,,,,
delay,,,0,,,,,,
stopmusic,,,0,,,,,,
dialog,,,0,,,,,,
character,,char_002_amiya_1#7,0,,,,,,
playsound,,,0,,,,,,
camerashake,,,0,,,,,,
cameraeffect,,,0,,,,,,
cameraeffect,,,0,,,,,,
delay,,,0,,,,,,
playsound,,,0,,,,,,
camerashake,,,0,,,,,,
cameraeffect,,,0,,,,,,
cameraeffect,,,0,,,,,,
playsound,,,0,,,,,,
camerashake,,,0,,,,,,
cameraeffect,,,0,,,,,,
cameraeffect,,,0,,,,,,
delay,,,0,,,,,,
name,——————————！,阿米娅,0,,,,,——————————！,アーミヤ
name,————这是，陈长官的？,阿米娅,0,,,,,——これは、チェン主任のもの？,アーミヤ
dialog,,,0,,,,,,
blocker,,,0,,,,,,
character,,,0,,,,,,
cameraeffect,,,0,,,,,,
character,,,0,,,,,,
dialog,,,0,,,,,,
blocker,,,0,,,,,,
background,,,0,,,bg_uptown_2,,,
cameraeffect,,,0,,,,,,
blocker,,,0,,,,,,
delay,,,0,,,,,,
playmusic,,,0,,,,,,
character,,char_2005_weiyw_1#5,0,,,,,,
name,他向哪个方向去了？,魏彦吾,0,,,,,彼はどの方向に行ったのだ？,ウェイ・イェンウ
character,,,0,,,,,,
name,西方。很快就能到达辉蹄城的禁区。,影卫,0,,,,,西の方角です。まもなくヒティ城の禁区に着きます。,影衛
character,,char_2005_weiyw_1#5,0,,,,,,
name,......这一切是他谋划好的。为了确认协议签署区的安保情况，莱塔尼亚外扩了冲突禁区，和我们的禁区重叠。,魏彦吾,0,,,,,……全ては彼の計画通りだ。協定署名区域の安保を確認するため、ライタニアは紛争禁区を拡大し、我々の禁区と重なっている。,ウェイ・イェンウ
character,,,0,,,,,,
name,我们能够潜入进去，杀死科西切，夺回小姐。,影卫,0,,,,,我々は内部に潜入してコシチェを殺し、お嬢様を取り戻すことができます。,影衛
character,,char_2005_weiyw_1#5,0,,,,,,
name,不。他做好了准备。,魏彦吾,0,,,,,いや。彼は既に準備を整えている。,ウェイ・イェンウ
name,......这次会面，孪生女皇直接派遣了女皇之声，随行的武装力量不在少数。,魏彦吾,0,,,,,……今回の会談には、双子女帝が自ら「女帝の声」を派遣し、多数の武装兵を同行させている。,ウェイ・イェンウ
name,女皇们刚登基不久，一旦科西切有意引爆外交冲突，我们一切的逾矩行为都可能成为女皇们彰示威权的借口。,魏彦吾,0,,,,,女帝たちは即位したばかりだ。もしコシチェが外交衝突を引き起こせば、我々のいかなる越権行為も彼女らの威信誇示の口実になりかねない。,ウェイ・イェンウ
name,不能给科西切更多伤害龙门乃至大炎的机会。,魏彦吾,0,,,,,コシチェにこれ以上、龍門や大炎を傷つける隙を与えてはならない。,ウェイ・イェンウ
character,,,0,,,,,,
name,舅舅！,陈晖洁,0,,,,,おじさん！,チェン・ホイジエ
character,,char_2005_weiyw_1#5,0,,,,,,
name,......,魏彦吾,0,,,,,......,
name,晖洁......,魏彦吾,0,,,,,ホイジエ……,ウェイ・イェンウ
character,,,0,,,,,,
name,舅舅......不要怪小塔！,陈晖洁,0,,,,,おじさん……シャオタを責めないで！,チェン・ホイジエ
character,,char_2005_weiyw_1#5,0,,,,,,
name,我没有责怪她。,魏彦吾,0,,,,,私は彼女を責めていない。,ウェイ・イェンウ
character,,,0,,,,,,
name,......那你骂我吧。,陈晖洁,0,,,,,……じゃあ、私を叱って。,チェン・ホイジエ
character,,char_2005_weiyw_1#5,0,,,,,,
name,你没有做错什么。,魏彦吾,0,,,,,君は何も間違っていない。,ウェイ・イェンウ
character,,,0,,,,,,
name,我答应她要和她一起走的。可是我害怕了......我......我松开手了。我没和她一起......,陈晖洁,0,,,,,彼女と一緒に行くと約束したのに、私……怖くなって……手を離してしまった。一緒にいられなかった……,チェン・ホイジエ
name,她的眼神，很害怕。我很害怕，她也很害怕。我......我一定做错了。,陈晖洁,0,,,,,彼女も怖そうだった。私も怖かったし、彼女も怖がっていた。私……きっと間違ったんだ。,チェン・ホイジエ
character,,char_2005_weiyw_1#5,0,,,,,,
name,......晖洁，这是她的错，不是你的。,魏彦吾,0,,,,,……ホイジエ、それは彼女のせいであって、君のせいじゃない。,ウェイ・イェンウ
character,,,0,,,,,,
name,啊？可，可舅舅你说不会怪她的！,陈晖洁,0,,,,,え？でも、おじさんは彼女を責めないと言ったじゃない！,チェン・ホイジエ
character,,char_2005_weiyw_1#5,0,,,,,,
name,是的，不会。,魏彦吾,0,,,,,ああ、責めない。,ウェイ・イェンウ
character,,,0,,,,,,
name,但她......但她不是做错了吗？做错了也......不会被骂吗？,陈晖洁,0,,,,,でも彼女……彼女は間違えたんでしょう？間違えても……叱られないの？,チェン・ホイジエ
character,,char_2005_weiyw_1#5,0,,,,,,
name,——,魏彦吾,0,,,,,——,ウェイ・イェンウ
name,她不知道真相。这个真相不该被任何人知道，所以她肯定会犯错，哪怕不是现在，将来也会。,魏彦吾,0,,,,,彼女は真実を知らない。その真実は誰にも知られるべきではなく、だから今でなくとも、いつか必ず間違いを犯すことになる。,ウェイ・イェンウ
name,......很多情况下，犯错是不该被责罚的。我们不仅会犯错，还会犯很多错。有些错，我们一定会犯，躲不开，避不过。,魏彦吾,0,,,,,……多くの場合、過ちは責められるべきものではない。私たちは過ちを犯すだけでなく、たくさんの間違いを重ねる。どうしても避けられない過ちもある。,ウェイ・イェンウ
name,塔露拉只是犯了那个她一定会犯的错。,魏彦吾,0,,,,,タルラは、必ず犯すであろうその過ちを犯しただけだ。,ウェイ・イェンウ
character,,,0,,,,,,
name,那样的话还叫犯错吗？,陈晖洁,0,,,,,それでも過ちと言えるの？,チェン・ホイジエ
character,,char_2005_weiyw_1#5,0,,,,,,
name,是的，依然还是。这片土地不因一件事一定发生就宽容待它。,魏彦吾,0,,,,,ああ、依然として。それは失敗でもある。この土地は何かが起きる運命だという理由で、優しくしてはくれない。,ウェイ・イェンウ
name,严苛的土地，严苛的人民，严苛的统治。除了对错，它们什么都不在乎，好像对错才是它们的生命，而不是呼吸和吞咽......！,魏彦吾,0,,,,,厳しい土地、厳しい人々、厳しい支配。正しいか間違っているか、それ以外気にしない。まるで正誤だけが命であり、呼吸や食事ではないかのように……！,ウェイ・イェンウ
character,,,0,,,,,,
name,......,陈晖洁,0,,,,,......,
name,你说的这些我不懂，舅舅。,陈晖洁,0,,,,,おじさんの言ってること、私にはよく分からない。,チェン・ホイジエ
name,所以......小塔她还会回来吗？,陈晖洁,0,,,,,だから……シャオタは戻ってくるの？,チェン・ホイジエ
character,,char_2005_weiyw_1#5,0,,,,,,
name,——我不知道，晖洁。我不知道。,魏彦吾,0,,,,,——分からない、ホイジエ。分からないよ。,ウェイ・イェンウ
character,,,0,,,,,,
name,......呜......那小塔她因为我......不会回来了吗？都怪我......都怪我......小塔......,陈晖洁,0,,,,,……うぅ……じゃあ、シャオタは私のせいで……戻ってこないの？全部私のせいだ……全部私が……シャオタ……,チェン・ホイジエ
character,,char_2005_weiyw_1#5,0,,,,,,
name,晖洁！,魏彦吾,0,,,,,ホイジエ！,ウェイ・イェンウ
character,,,0,,,,,,
name,呜......！,陈晖洁,0,,,,,うぅ……！,チェン・ホイジエ
character,,char_2005_weiyw_1#5,0,,,,,,
name,把你的眼泪擦掉。,魏彦吾,0,,,,,涙を拭きなさい。,ウェイ・イェンウ
character,,,0,,,,,,
name,呜，我......,陈晖洁,0,,,,,うぅ、私……,チェン・ホイジエ
character,,char_2005_weiyw_1#5,0,,,,,,
name,或者，哭吧。给你五分钟，哭完之后，如果你不再流眼泪了，我就告诉你该怎么办。,魏彦吾,0,,,,,あるいは、泣けばいい。5分間泣いて、涙が止まったら次に何をすべきか教えるよ。,ウェイ・イェンウ
character,,,0,,,,,,
name,唔......！,陈晖洁,0,,,,,うっ……！,チェン・ホイジエ
name,......哇......！小塔......！,陈晖洁,0,,,,,……わあ……！シャオタ……！,チェン・ホイジエ
dialog,,,0,,,,,,
,魏彦吾望向天空。他本想弓下身子安慰矮小的女孩，踌躇之后，他觉得自己不配。,,0,,,,,魏彦吾は空を見上げた。彼は小柄な少女を慰めるために身をかがめようとしたが、ためらった末に自分にはそれがふさわしくないと感じた。,
character,,,0,,,,,,
dialog,,,0,,,,,,
blocker,,,0,,,,,,
image,,,0,,,avg_8_38,,,
blocker,,,0,,,,,,
character,,,0,,,,,,
imagetween,,,0,,,,,,
name,你不哭了。,魏彦吾,0,,,,,もう泣いていないね。,ウェイ・イェンウ
name,......嗯。我想小塔回来。我该怎么办？,陈晖洁,0,,,,,……うん。シャオタに帰ってきてほしい。私はどうしたらいい？,チェン・ホイジエ
name,我会教你很多事，教你怎么管理城市，怎么对抗恶棍，怎么对待朋友。,魏彦吾,0,,,,,私は君に多くのことを教える。都市の管理方法、悪党への対抗、友人との接し方などだ。,ウェイ・イェンウ
name,照我说的做，塔露拉就有可能回来。,魏彦吾,0,,,,,私の言う通りにすれば、タルラも戻ってくるかもしれない。,ウェイ・イェンウ
name,要，要怎么做？小塔真的可能回来吗？舅舅会不会骗我？,陈晖洁,0,,,,,ど、どうすれば？シャオタは本当に戻ってくるの？おじさんは私を騙したりしない？,チェン・ホイジエ
name,......妈妈......妈妈说，说你只会骗人，我......我真可以信你吗？,陈晖洁,0,,,,,……お母さん……お母さんは、おじさんは嘘つきだって……私、本当に信じていいの？,チェン・ホイジエ
name,也许吧。,魏彦吾,0,,,,,たぶん、ね。,ウェイ・イェンウ
name,我也犯下了一个巨大的错误，导致你的母亲终一生都恨我入骨，至死都没能放开。她这么说情有可原。,魏彦吾,0,,,,,私も大きな過ちを犯し、君の母親に一生憎まれてしまった。彼女がそう言うのも無理はない。,ウェイ・イェンウ
name,但错误是可以被弥补的。,魏彦吾,0,,,,,だが、間違いは償うことができる。,ウェイ・イェンウ
name,晖洁，听好。正确行事值得你努力一生，纠正错误，却值得人押上性命。,魏彦吾,0,,,,,ホイジエ、よく聞きなさい。正しく生きるのは一生かけて努力する価値があり、過ちを正すことには命をかける価値がある。,ウェイ・イェンウ
name,塔露拉的离去是一桩错误。这桩错误带来的所有后果，我都会承担。,魏彦吾,0,,,,,タルラが去ったことは過ちだ。その結果はすべて私が背負う。,ウェイ・イェンウ
name,而你，晖洁。快快长大吧。,魏彦吾,0,,,,,そしてお前だ、ホイジエ。早く大人になれ。,ウェイ・イェンウ
name,长大以后会怎么样？,陈晖洁,0,,,,,大人になったら、どうなるの？,チェン・ホイジエ
name,你的话，长大的你......就能改变一切。,魏彦吾,0,,,,,お前なら、大人になったお前が……すべてを変えられる。,ウェイ・イェンウ
name,真的吗？！,陈晖洁,0,,,,,本当？！,チェン・ホイジエ
