command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,a,r,g,b,block,image,fadetime,time,duration,xstrength,ystrength,vibrato,randomness,fadeout,name,options,values,references,name2,option_number,index,text,jp_text,jp_name,text_match
name,博士把医生推进了掩体？可这样......这样的话，博士——！,,,,,,,,,,,,,,,,,,,,,,近卫干员,,,,,0,67,博士把医生推进了掩体？可这样......这样的话，博士——！,ドクターが医者をシェルターに押し込んだ？でもこれじゃ……これじゃ、ドクター——！,前衛オペレーター,True
name,不，博士！！,,,,,,,,,,,,,,,,,,,,,,近卫干员,,,,,0,68,不，博士！！,だめだ、ドクター！！,前衛オペレーター,True
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,0,69,,,,False
name,博士！！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,0,70,博士！！,ドクター！！,ニアール,True
character,,,,,,,,,,,,,,,,,,,,,,,char_013_riop,,,,,0,71,,,,False
name,啊？,,,,,,,,,,,,,,,,,,,,,,近卫干员,,,,,0,72,啊？,あれ？,前衛オペレーター,True
name,临，临光她冲出去了！,,,,,,,,,,,,,,,,,,,,,,近卫干员,,,,,0,73,临，临光她冲出去了！,ニ、ニアール、彼女が飛び出した！」,前衛オペレーター,True
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,0,74,,,,False
name,博士，蹲下！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,0,75,博士，蹲下！,ドクター、しゃがんで！」,ニアール,True
playsound,,$d_gen_explo_n,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0,76,,,,False
camerashake,,,,,,,,,,,,,false,,,,3,25,25,30,90,true,,,,,,0,77,,,,False
blocker,,,,,,,,,0.2,0.93,0.7,0.2,true,,0.1,,,,,,,,,,,,,0,78,,,,False
blocker,,,,,,,,,0,0.93,0.75,0.32,true,,0.2,,,,,,,,,,,,,0,79,,,,False
blocker,,,,,,,,,1,0.93,0.8,0.4,true,,0.1,,,,,,,,,,,,,0,80,,,,False
blocker,,,,,,,,,1,0,0,0,true,,0.3,,,,,,,,,,,,,0,81,,,,False
blocker,,,,,,,,,0,,,,true,,2,,,,,,,,,,,,,0,82,,,,False
character,,,,,,,,,,,,,,,0.7,,,,,,,,char_148_nearl_1#3,,,,,0,83,,,,False
name,咯......,,,,,,,,,,,,,,,,,,,,,,临光,,,,,0,84,咯......,くっ……,ニアール,True
name,赶上了！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,0,85,赶上了！,間に合った！」,ニアール,True
character,,,,,,,,,,,,,,,,,,,,,,,char_013_riop,,,,,0,86,,,,False
name,她救下......她救下博士了！,,,,,,,,,,,,,,,,,,,,,,近卫干员,,,,,0,87,她救下......她救下博士了！,彼女が……彼女がドクターを助けた！」,前衛オペレーター,True
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,0,88,,,,False
name,咳哈......！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,0,89,咳哈......！,ゴホッ……！」,ニアール,True
character,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,0,90,,,,False
name,临光！博士！快回来！,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,0,91,临光！博士！快回来！,ニアール！ドクター！早く戻ってきて！」,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,0,92,,,,False
name,没问题的！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,0,93,没问题的！,大丈夫だ！」,ニアール,True
name,我的盾牌还撑得住——！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,0,94,我的盾牌还撑得住——！,私の盾はまだ持ちこたえてる——！」,ニアール,True
name,跳啊，博士！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,0,95,跳啊，博士！,飛んで、ドクター！」,ニアール,True
name,跳！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,0,96,跳！,飛んで！」,ニアール,True
blocker,,,,,,,,,1,0,0,0,true,,0.6,,,,,,,,,,,,,0,97,,,,False
blocker,,,,,,,,,0,,,,true,,0.6,,,,,,,,,,,,,0,98,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,0,99,,,,False
name,博士，博士......,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,0,100,博士，博士......,ドクター、ドクター……,アーミヤ,True
name,你，你没事吧？,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,0,101,你，你没事吧？,だ、大丈夫ですか？」,アーミヤ,True
decision,我没事，这算不了什么！,,,,,,,,,,,,,,,,,,,,,,,我没事，这算不了什么！;......;多亏临光小姐救下了我。,1;2;3,,,3,102,我没事，这算不了什么！,大丈夫だ、これくらいなんでもない！」,,True
decision,......,,,,,,,,,,,,,,,,,,,,,,,我没事，这算不了什么！;......;多亏临光小姐救下了我。,1;2;3,,,3,103,......,......,,True
decision,多亏临光小姐救下了我。,,,,,,,,,,,,,,,,,,,,,,,我没事，这算不了什么！;......;多亏临光小姐救下了我。,1;2;3,,,3,104,多亏临光小姐救下了我。,ニアールさんに助けられてよかった。」,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,0,105,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,0,106,,,,False
name,一个人......处在那样的危险中！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,0,107,一个人......处在那样的危险中！,一人で……あんな危険な中に！」,ニアール,True
name,至少拉上我一起，让我保护博士你！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,0,108,至少拉上我一起，让我保护博士你！,せめて私も一緒に、ドクターを守らせてください！」,ニアール,True
name,无论怎样，我都不能允许你受伤——,,,,,,,,,,,,,,,,,,,,,,临光,,,,,0,109,无论怎样，我都不能允许你受伤——,どんなことがあっても、あなたが傷つくことは許せません——,ニアール,True
name,何况，是在我面前！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,0,110,何况，是在我面前！,それも、この私の目の前で！」,ニアール,True
character,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,0,111,,,,False
name,大家都还安全，就非常好了......！,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,0,112,大家都还安全，就非常好了......！,みんなが無事で、本当に良かった……！」,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,0,113,,,,False
name,但我们......,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,0,114,但我们......,でも、私たちは……,アーミヤ,True
name,（还要坚持多久呢？）,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,0,115,（还要坚持多久呢？）,（あとどれくらい耐えればいいの……？）」,アーミヤ,True
name,（我们真的能活下来吗？）,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,0,116,（我们真的能活下来吗？）,（本当に生き残れるのかな？）」,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,0,117,,,,False
name,......唔......,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,0,118,......唔......,……うう……,アーミヤ,True
name,坠石的数量减少了？,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,0,119,坠石的数量减少了？,落石の数が減った？」,アーミヤ,True
name,我们撑过了第一波主灾害了吗......,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,0,120,我们撑过了第一波主灾害了吗......,私たち、第一波の主な災害を乗り越えたのかな……」,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,0,121,,,,False
name,还不能大意，谁知道这次的天灾会持续多久。,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,0,122,还不能大意，谁知道这次的天灾会持续多久。,まだ油断できない、今回の天災がどれだけ続くか分からないからな。」,ドーベルマン,True
name,不过至少......我们不是身处天灾正中心的人。,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,0,123,不过至少......我们不是身处天灾正中心的人。,だが少なくとも……私たちは天災の中心ではなかった。」,ドーベルマン,True
name,我们侥幸躲过去了。,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,0,124,我们侥幸躲过去了。,我々は運よくやり過ごしたな。」,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,0,125,,,,False
name,嗯......,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,0,126,嗯......,うん……,アーミヤ,True
name,大家怎么样了？,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,0,127,大家怎么样了？,みんなはどう？」,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_013_riop,,,,,0,128,,,,False
name,干员们基本都没事......！,,,,,,,,,,,,,,,,,,,,,,近卫干员,,,,,0,129,干员们基本都没事......！,オペレーターはほぼ無事です……！」,前衛オペレーター,True
name,有些干员受了轻伤，但状况都还算不错！,,,,,,,,,,,,,,,,,,,,,,近卫干员,,,,,0,130,有些干员受了轻伤，但状况都还算不错！,少し怪我をしたオペレーターもいますが、状態は悪くないです！」,前衛オペレーター,True
name,我们......活下来了！,,,,,,,,,,,,,,,,,,,,,,近卫干员,,,,,0,131,我们......活下来了！,私たち……生き延びました！」,前衛オペレーター,True
blocker,,,,,,,,,1,0,0,0,true,,0.3,,,,,,,,,,,,,0,132,,,,False
blocker,,,,,,,,,0,,,,true,,0.3,,,,,,,,,,,,,0,133,,,,False
name,啊......,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,0,134,啊......,ああ……,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,0,135,,,,False
name,整合运动也有部分人员——,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,0,136,整合运动也有部分人员——,レユニオンも一部の人が——,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,0,137,,,,False
name,......啊？,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,0,138,......啊？,……あれ？」,レユニオンメンバー,True
name,啊......啊！！罗德岛！,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,0,139,啊......啊！！罗德岛！,あっ……あ！ロドスだ！」,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,0,140,,,,False
name,......什么？,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,0,141,......什么？,……何だ？」,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,char_1002_nsabr_2,0,142,,,,False
name,啊......！！！,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,0,143,啊......！！！,"ああ……！！！」},{",レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,0,144,,,,False
name,整合运动还要继续攻击我们吗？,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,0,145,整合运动还要继续攻击我们吗？,レユニオンはまだ私たちを攻撃するつもりなの？」,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,char_1002_nsabr_2,0,146,,,,False
name,......,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,0,147,......,......,レユニオンメンバー,True
name,罗德岛！,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,0,148,罗德岛！,ロドス！」,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,0,149,,,,False
name,这些家伙！,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,0,150,这些家伙！,こいつらめ！」,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,0,151,,,,False
name,别跑......！,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,0,152,别跑......！,逃げるな……！」,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,0,153,,,,False
name,真的是疯了。,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,0,154,真的是疯了。,本当に狂ってるな。」,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,0,155,,,,False
name,这些人为什么就不能珍惜自己的生命？！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,0,156,这些人为什么就不能珍惜自己的生命？！,どうしてこの人たちは自分の命を大事にできないの！？」,ニアール,True
character,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,0,157,,,,False
name,杜宾......,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,0,158,杜宾......,ドーベルマン……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,0,159,,,,False
name,没有办法......,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,0,160,没有办法......,仕方ない……,ドーベルマン,True
name,彻底击溃他们，然后马上移动！,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,0,161,彻底击溃他们，然后马上移动！,徹底的に叩きのめして、すぐに移動するぞ！」,ドーベルマン,True
delay,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,0,162,,,,False
blocker,,,,,,,,,,,,,true,,,,,,,,,,,,,,,0,163,,,,False
