command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,block,a,initr,r,g,b,index,text,jp_text,jp_name,text_match
name,你很过分哦，雷蛇！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,21,你很过分哦，雷蛇！,ひどいよ、レイズ！,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,2,,,,,,,,,,,,,22,,,,False
name,平时老说要传染我的不是你吗！,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,23,平时老说要传染我的不是你吗！,いつも感染させるって言ってるのはお前だろ！,レイズ,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,char_107_liskam_1,1,,,,,,,,,,,,,24,,,,False
name,哈，哈哈......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,25,哈，哈哈......,は、はは……,アーミヤ,True
name,急性和慢性之分，具体回答起来有些复杂......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,26,急性和慢性之分，具体回答起来有些复杂......,急性と慢性の違いは、詳しく説明するとちょっと複雑で……,アーミヤ,True
name,但至少，米莎她的情况，非常危险。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,27,但至少，米莎她的情况，非常危险。,でも少なくとも、ミーシャの状況はとても危険です。,アーミヤ,True
name,这样下去，在很短的时间内，矿石病就有可能威胁到她的生命。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,28,这样下去，在很短的时间内，矿石病就有可能威胁到她的生命。,このままだと、すぐに鉱石病が命を脅かすかもしれません。,アーミヤ,True
name,只能先应急处理一下......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,29,只能先应急处理一下......,まずは応急処置をするしかありません……,アーミヤ,True
name,但对米莎的病情进行控制这件事，刻不容缓。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,30,但对米莎的病情进行控制这件事，刻不容缓。,でもミーシャの病状を制御することは、一刻も猶予できません。,アーミヤ,True
name,必须向龙门声明这一点。事件平息之后，我们必须把米莎接回罗德岛。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,31,必须向龙门声明这一点。事件平息之后，我们必须把米莎接回罗德岛。,龍門にこれを伝えなくてはなりません。事件が収まったら、ミーシャをロドスに連れ戻す必要があります。,アーミヤ,True
name,这是我们对任务目标的责任。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,32,这是我们对任务目标的责任。,これは私たちの任務目標への責任です。,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,char_103_angel_1,2,,,,,,,,,,,,,33,,,,False
name,呃......,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,34,呃......,えっ……,エクシア,True
name,她是不是......快爆了？,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,35,她是不是......快爆了？,彼女、もしかして……もうすぐ爆発する？,エクシア,True
camerashake,,,,,,,,,,,,,,,,,1,0,8,30,90,true,true,,,,,,36,,,,False
character,,,,,,,,,,,,,,char_103_angel_1,,,,,,,,,,,,,,,37,,,,False
name,唉！疼！为什么要打我......,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,38,唉！疼！为什么要打我......,あっ！痛い！なんで叩くの……,エクシア,True
character,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,1,,,,,,,,,,,,,39,,,,False
name,说话注意点。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,40,说话注意点。,発言に気をつけて。,テキサス,True
character,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,2,,,,,,,,,,,,,41,,,,False
name,呜......,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,42,呜......,うぅ……,エクシア,True
character,,,,,,,,,,,,,,char_106_franka_1,char_103_angel_1,1,,,,,,,,,,,,,43,,,,False
name,如果有一天我快爆了，我一定会努力爬到你身边的。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,44,如果有一天我快爆了，我一定会努力爬到你身边的。,もし私が爆発しそうになったら、頑張って君のそばまで這っていくよ。,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_103_angel_1,2,,,,,,,,,,,,,45,,,,False
name,对不起！芙兰卡小姐！以前多有得罪请原谅我！,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,46,对不起！芙兰卡小姐！以前多有得罪请原谅我！,ごめんなさい！フランカさん！これまで失礼なことして、本当に許してください！,エクシア,True
character,,,,,,,,,,,,,,char_106_franka_1,char_103_angel_1,1,,,,,,,,,,,,,47,,,,False
name,噗。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,48,噗。,ぷっ。,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,2,,,,,,,,,,,,,49,,,,False
name,先把目标转移到安全的地区吧。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,50,先把目标转移到安全的地区吧。,まずは目標を安全な場所に移そう。,レイズ,True
name,顺便，我们后方，发生了些情况。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,51,顺便，我们后方，发生了些情况。,それと、後方で何かが起こっている。,レイズ,True
blocker,,,,,,,,0.6,,,,,,,,,,,,,,,true,1,2,0,0,0,52,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,53,,,,False
blocker,,,,,,,,0.6,,,,,,,,,,,,,,,true,0,,,,,54,,,,False
name,你们要干什么！！滚出去！！,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,55,你们要干什么！！滚出去！！,お前ら何をするつもりだ！！出ていけ！！,感染者,True
name,大家都是感染者，我们不想动粗！别挡路！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,56,大家都是感染者，我们不想动粗！别挡路！,みんな感染者なんだ、無理に暴力を振るいたくない！邪魔するな！,レユニオンメンバー,True
name,你已经毁了我们的家，现在还要把近卫局引过来吗！别想过去！！,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,57,你已经毁了我们的家，现在还要把近卫局引过来吗！别想过去！！,お前はもう俺たちの家を壊しただろ、今度は衛兵まで呼ぶつもりか！絶対に通すな！！,感染者,True
name,你......！不识时务的家伙，快滚开！！,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,58,你......！不识时务的家伙，快滚开！！,お前……！空気読めよ、さっさとどけ！！,感染者,True
name,呜啊！,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,59,呜啊！,うわっ！,感染者,True
name,别逼我们！,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,60,别逼我们！,俺たちを追い詰めるな！,感染者,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,1,,,,,,,,,,,,,61,,,,False
name,（要动手吗？）,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,62,（要动手吗？）,（やるしかないの？）,フランカ,True
name,（看来他们是跟丢了。现在动手的话，罗德岛会暴露行踪。）,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,63,（看来他们是跟丢了。现在动手的话，罗德岛会暴露行踪。）,（どうやら追いかけを撒いたみたい。今動くと、ロドスの居場所がばれる。）,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,2,,,,,,,,,,,,,64,,,,False
name,（会不会干扰到任务进程？如果会，后果有多严重？）,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,65,（会不会干扰到任务进程？如果会，后果有多严重？）,（任務の進行に支障が出るか？もしそうなら、どれほどの影響が？）,レイズ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,1,,,,,,,,,,,,,66,,,,False
name,（有一定影响，但——）,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,67,（有一定影响，但——）,（ある程度影響はあるけど――）,フランカ,True
name,（没有那么严重吧？）,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,68,（没有那么严重吧？）,（そこまで深刻じゃないかな？）,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1,2,,,,,,,,,,,,,69,,,,False
name,那就干吧。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,70,那就干吧。,じゃあ、やりましょう。,アーミヤ,True
name,如果条件允许，救助感染者是罗德岛理所当然的任务。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,71,如果条件允许，救助感染者是罗德岛理所当然的任务。,条件が許せば、感染者の救助はロドスとして当然の使命です。,アーミヤ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1,1,,,,,,,,,,,,,72,,,,False
name,哼哼，好。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,73,哼哼，好。,ふふっ、いいよ。,フランカ,True
name,果然当初选择跟着你是正确的。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,74,果然当初选择跟着你是正确的。,やっぱり最初から君についてきてよかった。,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1#6,2,,,,,,,,,,,,,75,,,,False
name,那是什么意思......芙兰卡小姐？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,76,那是什么意思......芙兰卡小姐？,それってどういう意味ですか……フランカさん？,アーミヤ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1#6,1,,,,,,,,,,,,,77,,,,False
name,没什么没什么，就是夸夸你！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,78,没什么没什么，就是夸夸你！,別に別に、褒めてるだけだよ！,フランカ,True
character,,,,,,,,,,,,,,char_002_amiya_1#6,char_107_liskam_1,2,,,,,,,,,,,,,79,,,,False
name,大概意思是，性格和你很合得来吧？,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,80,大概意思是，性格和你很合得来吧？,つまり、君と性格が合うってことじゃないか？,レイズ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,1,,,,,,,,,,,,,81,,,,False
name,你为什么那么懂我呢？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,82,你为什么那么懂我呢？,なんでそんなによく私のことが分かるの？,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,2,,,,,,,,,,,,,83,,,,False
name,大概是因为，你可真烦人吧？,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,84,大概是因为，你可真烦人吧？,たぶん、お前ってほんと面倒だからな。,レイズ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1,2,,,,,,,,,,,,,85,,,,False
name,唔......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,86,唔......,う……,アーミヤ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1,1,,,,,,,,,,,,,87,,,,False
name,该教训一下这帮为非作歹的家伙了。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,88,该教训一下这帮为非作歹的家伙了。,この悪さしてる連中にはひと泡吹かせないとね。,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1,2,,,,,,,,,,,,,89,,,,False
name,嗯。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,90,嗯。,うん。,アーミヤ,True
name,小心那些会在各个建筑物间跳来跳去的整合运动感染者。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,91,小心那些会在各个建筑物间跳来跳去的整合运动感染者。,建物の間を飛び回るレユニオン感染者には気をつけて。,アーミヤ,True
name,除此之外，还要记得保全龙门本地的感染者！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,92,除此之外，还要记得保全龙门本地的感染者！,それから、龍門の現地感染者の保護も忘れないで！,アーミヤ,True
character,,,,,,,,,,,,,,char_102_texas_1,,,,,,,,,,,,,,,93,,,,False
name,难度不小。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,94,难度不小。,簡単じゃないな。,テキサス,True
name,——但，没问题。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,95,——但，没问题。,――でも、問題ない。,テキサス,True
character,,,,,,,,,,,,,,char_103_angel_1,,,,,,,,,,,,,,,96,,,,False
name,那就，上吧！,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,97,那就，上吧！,じゃあ、行こう！,エクシア,True
name,博士，要好好指挥我和德克萨斯哦！,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,98,博士，要好好指挥我和德克萨斯哦！,ドクター、私とテキサスをちゃんと指揮してよ！,エクシア,True
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,99,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,100,,,,False
