command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,duration,xstrength,ystrength,vibrato,randomness,block,a,r,g,b,screenadapt,fadeout,stop,initr,xScale,yScale,channel,loop,ease,index,text,jp_text,jp_name,text_match
name,是从......地下！？？,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,,,,,,37,是从......地下！？？,……地下から！？？,エンジェル,True
name,阿米娅！从地下传来了！,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,,,,,,38,阿米娅！从地下传来了！,アーミヤ！地下からだ！,エンジェル,True
delay,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,39,,,,False
playsound,,$e_skill_skulsrshot,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,40,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,41,,,,False
name,！！！！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,42,！！！！,！！！！,アーミヤ,True
delay,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,43,,,,False
playsound,,$e_skill_skulsrexplo,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,44,,,,False
camerashake,,,,,,,,,,,,,,,0.6,8,12,30,90,false,,,,,,,,,,,,,,45,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,true,1,0.95,0.95,0.95,,,,,,,,,,46,,,,False
background,,,,,bg_wild_a,1,1,0,,,,,,,,,,,,,,,,,coverall,,,,,,,,,47,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,true,0,0.95,0.95,0.95,,,,,,,,,,48,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,true,1,1,1,1,,,,,,,,,,49,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,true,0,0.95,0.95,0.95,,,,,,,,,,50,,,,False
playsound,,$e_skill_skulsrshot,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,51,,,,False
delay,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,52,,,,False
character,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,53,,,,False
name,博士！！快趴下！！！,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,54,博士！！快趴下！！！,ドクター！！伏せて！！！,ホシグマ,True
name,这群人......真是不择手段！,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,55,这群人......真是不择手段！,こいつら……手段を選ばないな！,ホシグマ,True
playsound,,$e_skill_skulsrexplo,,,,,,,,0.3,,0.1,,,,,,,,,,,,,,,,,,,,,,56,,,,False
playsound,,$p_imp_blunt_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,true,1,0.95,0.95,0.95,,,,,,,,,,58,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,true,0,0.95,0.95,0.95,,,,,,,,,,59,,,,False
camerashake,,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,,true,,,,,,,,60,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,61,,,,False
character,,,,,,,,,,,,,,char_1500_skulsr,,,,,,,,,,,,,,,,,,,,62,,,,False
name,————！？,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,63,————！？,————！？,スイコツ,True
name,怎么......你居然......能挡住？,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,64,怎么......你居然......能挡住？,なぜ……お前は……防げるのか？,スイコツ,True
character,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,65,,,,False
name,这面“般若”，可不是你能打得穿的。,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,66,这面“般若”，可不是你能打得穿的。,この“ハンニャ”は、あなたには貫けない。,ホシグマ,True
character,,,,,,,,,,,,,,char_1500_skulsr,,,,,,,,,,,,,,,,,,,,67,,,,False
name,那可......未必......,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,68,那可......未必......,それは……どうかな……,スイコツ,True
playsound,,$e_skill_skulsrshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,False
delay,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,70,,,,False
playsound,,$e_skill_skulsrexplo,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,71,,,,False
camerashake,,,,,,,,,,,,,,,1,12,1,30,90,false,,,,,,false,,,,,,,,72,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,true,1,0.95,0.95,0.95,,,,,,,,,,73,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,true,0,0.95,0.95,0.95,,,,,,,,,,74,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,75,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,76,,,,False
blocker,,,,,,,,2,,,,,,,,,,,,true,1,0.95,0.95,0.95,,,,,,,,,,77,,,,False
name,——！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,78,——！,——！,フランカ,True
name,温度急剧升高！！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,79,温度急剧升高！！,温度が急激に上がってる！！,フランカ,True
name,他想引爆手中的魔杖吗？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,80,他想引爆手中的魔杖吗？,彼は手に持っている杖を爆発させるつもりなの？,フランカ,True
name,博士！快跑！那个距离，你会————,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,81,博士！快跑！那个距离，你会————,ドクター！早く逃げて！その距離だと、あなたが———,フランカ,True
name,你————,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,82,你————,あなた———,ホシグマ,True
blocker,,,,,,,,0.3,,,,,,,,,,,,true,1,0,0,0,,,,2,,,,,,83,,,,False
image,,,,,bg_1_lastattack,,,0,,,,,,,,,,,,,,,,,,,,,1,1,,,,84,,,,False
blocker,,,,,,,,0.3,,,,,,,,,,,,true,0,0,0,0,,,,2,,,,,,85,,,,False
delay,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,86,,,,False
camerashake,,,,,,,,,,,,,,,1,20,20,30,90,false,,,,,,false,,,,,,,,87,,,,False
name,结束了！,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,88,结束了！,終わりだ！,スイコツ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,False
stopmusic,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,False
playsound,,$d_gen_heartbeat,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,HB,true,,91,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,92,,,,False
background,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,False
blocker,,,,,,,,1.5,,,,,,,,,,,,true,0,,,,,,,,,,,,,94,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#8,,,,,,,,,,,,,,,,,,,,95,,,,False
name,不......不要———,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,96,不......不要———,だめ……やめて———,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#8,,,,,,,,,,,,,,,,,,,,97,,,,False
name,不能—————,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,98,不能—————,いけない—————,アーミヤ,True
name,不可以伤害博士———————！！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,99,不可以伤害博士———————！！,ドクターを傷つけてはだめ———————！！,アーミヤ,True
blocker,,,,,,,,1,,,,,,,,,,,,true,1,0.6,0,0,,,,2,,,,,,100,,,,False
image,,,,,bg_1_reflect,,,0.4,,,,,,,,,,,,,,,,,,,,,1,1,,,,101,,,,False
name,......！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,102,......！,……！,アーミヤ,True
blocker,,,,,,,,1,,,,,,,,,,,,true,0,0,0,0,,,,2,,,,,,103,,,,False
delay,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,104,,,,False
blocker,,,,,,,,1,,,,,,,,,,,,true,1,0,0,0,,,,2,,,,,,105,,,,False
playsound,,$p_skill_chimera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,False
delay,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,107,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,False
background,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,False
playsound,,$d_sp_amiyakilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,False
playsound,,$d_sp_amiyakilling,,,,,,,,0.2,,1.5,,,,,,,,,,,,,,,,,,,,,,111,,,,False
playsound,,$d_sp_amiyakilling,,,,,,,,0.18,,1.53,,,,,,,,,,,,,,,,,,,,,,112,,,,False
playsound,,$d_sp_amiyakilling,,,,,,,,0.13,,3,,,,,,,,,,,,,,,,,,,,,,113,,,,False
playsound,,$d_sp_amiyakilling,,,,,,,,0.10,,3.03,,,,,,,,,,,,,,,,,,,,,,114,,,,False
playsound,,$d_sp_amiyakilling,,,,,,,,0.07,,4.5,,,,,,,,,,,,,,,,,,,,,,115,,,,False
playsound,,$d_sp_amiyakilling,,,,,,,,0.05,,4.53,,,,,,,,,,,,,,,,,,,,,,116,,,,False
stopsound,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,HB,,,117,,,,False
blocker,,,,,,,,2,,,,,,,,,,,,true,0,1,1,1,,,,,,,,,,118,,,,False
delay,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,119,,,,False
image,,,,,bg_1_underattack,,,3,,,,,,,,,,,,,,,,,,,,,1,1,,,InOutCubic,120,,,,False
delay,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,121,,,,False
blocker,,,,,,,,2,,,,,,,,,,,,true,1,1,1,1,,,,,,,,,,122,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,123,,,,False
image,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,False
blocker,,,,,,,,2,,,,,,,,,,,,true,0,1,1,1,,,,,,,,,InOutCubic,125,,,,False
image,,,,,bg_1_lastbreath,,,1.5,,,,,,,,,,,,,,,,,,,,,1,1,,,,126,,,,False
background,,,,,bg_light,,,0,,,,,,,,,,,,,,,,,coverall,,,,,,,,,127,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,128,,,,False
playmusic,,$darkness01_loop,,,,,,,$darkness01_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,129,,,,False
name,咳，咳咳......,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,130,咳，咳咳......,ゲホッ、ゲホゲホ……,スイコツ,True
name,......！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,131,......！,……！,アーミヤ,True
name,......很厉害。,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,132,......很厉害。,……すごいな。,スイコツ,True
name,你......这是什么？,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,133,你......这是什么？,お前の……それは何だ？,スイコツ,True
name,你好强。,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,134,你好强。,お前は強い。,スイコツ,True
name,......咳......好疼......,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,135,......咳......好疼......,……ゲホッ……痛い……,スイコツ,True
name,明明有这种力量......,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,136,明明有这种力量......,そんな力がありながら……,スイコツ,True
name,......你......就甘......心......看着同胞们......,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,137,......你......就甘......心......看着同胞们......,……お前は……黙って……仲間たちを……見ていられるのか……,スイコツ,True
name,我不能，原谅......,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,138,我不能，原谅......,私は……許せない……,スイコツ,True
name,原谅你们这种......,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,139,原谅你们这种......,君たちのような……,スイコツ,True
name,呃......,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,140,呃......,うっ……,スイコツ,True
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,141,,,,False
dialog,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,False
image,,,,,,,,2,,,,,,,,,,,,true,,,,,,,,,,,,,,143,,,,False
delay,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,144,,,,False
character,,,,,,,,,,,,,,char_012_misa_1#2,,,,,,,,,,,,,,,,,,,,145,,,,False
name,............,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,146,............,............,ミーシャ,True
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,147,,,,False
name,不...........不要.............,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,148,不...........不要.............,だめ………やめて……,ミーシャ,True
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,149,,,,False
blocker,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,150,,,,False
