command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,block,focus,a,r,g,b,afrom,rfrom,gfrom,bfrom,duration,xstrength,ystrength,vibrato,randomness,fadeout,index,text,jp_text,jp_name,text_match
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,1,,,,,,,,,,,,,,,52,,,,False
name,我们什么时候动手？整合运动似乎不喜欢布置侦查小队，我们随时可以突袭他们。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,53,我们什么时候动手？整合运动似乎不喜欢布置侦查小队，我们随时可以突袭他们。,いつ仕掛ける？整合運動は偵察隊を配置するのが好きじゃないみたいだし、いつでも奇襲できる。,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,,2,,,,,,,,,,,,,,,54,,,,False
name,一直在做猎人，从来没做过猎物吧。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,55,一直在做猎人，从来没做过猎物吧。,ずっと狩る側で、狩られる側になったことはないだろう。,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,,1,,,,,,,,,,,,,,,56,,,,False
name,这时候成为猎物，马上就会没命。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,57,这时候成为猎物，马上就会没命。,今、獲物になったらすぐに命を落とすことになるぞ。,ホシグマ,True
name,还是先仔细观察一下。我们要优先确认敌人的目的，却不是要折腾他们。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,58,还是先仔细观察一下。我们要优先确认敌人的目的，却不是要折腾他们。,まずは慎重に見極めよう。敵の目的を優先して確認し、むやみに動かない方がいい。,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,,2,,,,,,,,,,,,,,,59,,,,False
name,摧毁目标轻而易举，想要了解敌人的目标却需要我们的耐心。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,60,摧毁目标轻而易举，想要了解敌人的目标却需要我们的耐心。,目標を破壊するのは簡単だが、敵の目的を知るには忍耐が必要だ。,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,,1,,,,,,,,,,,,,,,61,,,,False
name,明白。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,62,明白。,了解。,ホシグマ,True
blocker,,,,,,,,,1,,,,,,,,true,,1,0,0,0,,,,,,,,,,,63,,,,False
blocker,,,,,,,,,1,,,,,,,,true,,0,,,,,,,,,,,,,,64,,,,False
character,,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,,65,,,,False
blocker,,,,,,,,,0.1,,,,,,,,true,,1,1,1,1,0,0,0,0,,,,,,,66,,,,False
playsound,,$p_imp_sword_n,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,67,,,,False
blocker,,,,,,,,,1.5,,,,,,,,false,,0,,,,,,,,,,,,,,68,,,,False
camerashake,,,,,,,,,,,,,,,,,false,,,,,,,,,,1,10,12,30,90,true,69,,,,False
blocker,,,,,,,,,1,,,,,,,,true,,1,0,0,0,,,,,,,,,,,70,,,,False
blocker,,,,,,,,,1,,,,,,,,true,,0,,,,,,,,,,,,,,71,,,,False
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,,1,,,,,,,,,,,,,,,72,,,,False
name,等等！老陈，他们是不是想要破坏那栋宅子的大门？,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,73,等等！老陈，他们是不是想要破坏那栋宅子的大门？,待て！チェン、奴ら、あの家の門を壊そうとしてないか？,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,,2,,,,,,,,,,,,,,,74,,,,False
name,已经确定了目标建筑？快，整队！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,75,已经确定了目标建筑？快，整队！,目標の建物を特定したか？急げ、隊列を組め！,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,,1,,,,,,,,,,,,,,,76,,,,False
name,要为市民减少点损失是吧？,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,77,要为市民减少点损失是吧？,市民の被害を減らすためだな？,ホシグマ,True
character,,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,,,,78,,,,False
name,那是自然！狙击手，待命！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,79,那是自然！狙击手，待命！,当然だ！スナイパー、待機！,チェン,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,80,,,,False
name,明白。,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,81,明白。,了解。,近衛局隊員,True
blocker,,,,,,,,,0.7,,,,,,,,true,,1,0,0,0,,,,,,,,,,,82,,,,False
delay,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,83,,,,False
blocker,,,,,,,,,0.7,,,,,,,,true,,0,,,,,,,,,,,,,,84,,,,False
name,......！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,85,......！,……！,整合運動隊員,True
name,是龙门的军队！撤退！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,86,是龙门的军队！撤退！,龍門の軍隊だ！撤退！,整合運動隊員,True
name,联络——,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,87,联络——,連絡――,整合運動隊員,True
character,,,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,88,,,,False
name,狙击手！射击那个背着无线电台的家伙！别让他发讯！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,89,狙击手！射击那个背着无线电台的家伙！别让他发讯！,スナイパー！無線機を背負っているやつを撃て！連絡させるな！,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,90,,,,False
name,明明该固守据点，第一反应居然是跑？肯定有鬼！,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,91,明明该固守据点，第一反应居然是跑？肯定有鬼！,拠点を守るべきなのに、真っ先に逃げるとは…絶対に怪しい！,ホシグマ,True
character,,,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,92,,,,False
name,想跑就跑，跑得了吗！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,93,想跑就跑，跑得了吗！,逃げたいなら逃げろ、逃げ切れるものか！,チェン,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,94,,,,False
blocker,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,95,,,,False
