command,text_orig,key,is_skippable,fit_mode,a,r,g,b,fadetime,block,image,screenadapt,intro,volume,name,time,duration,xstrength,ystrength,vibrato,randomness,fadeout,options,values,references,effect,keep,amount,afrom,rfrom,gfrom,bfrom,name2,focus,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,option_number,index,text,jp_text,jp_name,text_match
name,照射。现在！,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,照射。现在！,照射だ。今よ！,ケルシー,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,,,,False
playsound,,$p_imp_blunt_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38,,,,False
blocker,,,,,1,0.95,0.95,0.95,0.2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,,,,False
blocker,,,,,0,0,0,0,0.25,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,,,,False
camerashake,,,,,,,,,,true,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,,,,0,41,,,,False
delay,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,,,,False
name,——,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,——,——,パトリオット,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,44,,,,False
name,（低吼）,,,,,,,,,,,,,,Mon3tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,（低吼）,（低い唸り声）,Mon3tr,True
character,,,,,,,,,,,,,,,char_003_kalts_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,,,,False
name,这竟然也不足以破坏他的身体机能......,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47,这竟然也不足以破坏他的身体机能......,これでも彼の肉体機能を破壊するには足りないのね……,ケルシー,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,48,,,,False
decision,怎么会这么胶着......！,,,,,,,,,,,,,,,,,,,,,,怎么会这么胶着......！,1,,,,,,,,,,,,,,,,,,,1,49,怎么会这么胶着......！,どうしてこんなに膠着状態に……！,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,50,,,,False
character,,,,,,,,,,,,,,,char_003_kalts_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,,,,False
name,“每一次战斗都是死斗，每次战斗都豁出性命，因为生命会回归血脉，生命将在他人体内永生......”,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,“每一次战斗都是死斗，每次战斗都豁出性命，因为生命会回归血脉，生命将在他人体内永生......”,「全ての戦いは死闘、命を懸ける。それは、命が血脈へと返り、彼の中で永遠となるから――」,ケルシー,True
name,近卫干员，不要怠慢......撤退。他的身躯也会释放“食人”仪式，他自身就是一个巨大的巫术装置......,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,53,近卫干员，不要怠慢......撤退。他的身躯也会释放“食人”仪式，他自身就是一个巨大的巫术装置......,近衛オペレーター、油断しないで……撤退しなさい。彼の肉体は“人食い”の儀式をも放つ。彼自身が巨大な呪術装置なのよ……,ケルシー,True
name,博卓卡斯替，许多萨卡兹，并不希望你这样的温迪戈无谓地牺牲掉。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54,博卓卡斯替，许多萨卡兹，并不希望你这样的温迪戈无谓地牺牲掉。,ボジョカスティ、多くのサルカズはあなたのようなウェンディゴが無駄に犠牲になることを望んでいない。,ケルシー,True
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,55,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,56,,,,False
name,不。我怎么会，牺牲？,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,57,不。我怎么会，牺牲？,いや、私はどうして犠牲になることなど……,パトリオット,True
name,我还能动。我还能，杀死你们。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,58,我还能动。我还能，杀死你们。,私はまだ動ける。まだ、お前たちを殺せる。,パトリオット,True
name,我的身体，还能听从，我的指挥。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,59,我的身体，还能听从，我的指挥。,この体はまだ、私の指揮に従っている。,パトリオット,True
name,我还没体会尽，痛苦......不甘与遗憾。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,60,我还没体会尽，痛苦......不甘与遗憾。,私はまだ、苦しみ……無念と後悔を味わい尽くしていない。,パトリオット,True
name,这就够了？这难道，就够了？,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,61,这就够了？这难道，就够了？,これで終わりか？これで、本当に十分なのか？,パトリオット,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,62,,,,False
name,博卓卡斯替先生......停下吧，请你......停下吧！更多的战斗只是折磨！,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,63,博卓卡斯替先生......停下吧，请你......停下吧！更多的战斗只是折磨！,ボジョカスティさん……もうやめてください、どうか……やめてください！これ以上戦っても苦しむだけです！,アーミヤ,True
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,64,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,65,,,,False
name,战士。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,66,战士。,戦士。,パトリオット,True
name,战士就是，要背负，所有死者。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,67,战士就是，要背负，所有死者。,戦士というものは、すべての死者を背負わなければならない。,パトリオット,True
name,我背着，他们的痛，他们的恨，他们的沉默。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,68,我背着，他们的痛，他们的恨，他们的沉默。,私は彼らの痛みも、憎しみも、沈黙も背負っている。,パトリオット,True
name,如果，我，驻足......,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,69,如果，我，驻足......,もし、私がここで立ち止まれば……,パトリオット,True
name,他们就是白死。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70,他们就是白死。,彼らは無駄死にしてしまう。,パトリオット,True
name,折磨？你们应该，感到折磨。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,71,折磨？你们应该，感到折磨。,苦しみ？お前たちこそ、苦しみを感じるべきだ。,パトリオット,True
name,你们，无法战胜我。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,72,你们，无法战胜我。,お前たちは、私に勝てない。,パトリオット,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,73,,,,False
name,呜......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,74,呜......,うっ……,アーミヤ,True
stopmusic,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,75,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,76,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,77,,,,False
blocker,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,78,,,,False
cameraeffect,,,,,,,,,0,,,,,,,,,,,,,,,,,Grayscale,true,1,,,,,,,,,,,,,,,0,79,,,,False
background,,,,,,,,,,,bg_indoor_u,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80,,,,False
blocker,,,,,0,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,81,,,,False
playmusic,,$loneliness_loop,,,,,,,,,,,$loneliness_intro,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,82,,,,False
name,亲爱的......别难过。,,,,,,,,,,,,,,妻子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,83,,,,False
name,您不会续弦？别这样，亲爱的......,,,,,,,,,,,,,,妻子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,84,,,,False
name,唉，但您是不会认同我的这些絮叨的。您真是像石头一样顽固，我又有哪一次真说服过您呢？,,,,,,,,,,,,,,妻子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,85,,,,False
name,您还会继续打仗，对吗？,,,,,,,,,,,,,,妻子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,86,,,,False
name,答应我，博卓卡斯替，答应我。别死在战场。,,,,,,,,,,,,,,妻子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,87,,,,False
name,我只希望您不要再受折磨。您想一想，我离去后，这里依然有我们的家人陪伴着您，你看，小格尔......,,,,,,,,,,,,,,妻子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,88,,,,False
name,他的睡脸，这是多么可爱的脸蛋啊。,,,,,,,,,,,,,,妻子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,89,,,,False
name,他那两只还没长得很坚硬的，红彤彤的小角......,,,,,,,,,,,,,,妻子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,,,,False
name,这是生命。是我生命的延续。孩子，是大地上所有人生命的延续。,,,,,,,,,,,,,,妻子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,91,,,,False
name,我知道您不会吃掉我。您非常讨厌温迪戈的传统。,,,,,,,,,,,,,,妻子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,92,,,,False
name,但我多想永远在您的生命里流淌啊。,,,,,,,,,,,,,,妻子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,93,,,,False
name,不过，生命......本来就不朽。,,,,,,,,,,,,,,妻子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,94,,,,False
name,您憔悴了。过度的伤感会摧毁您的，我们的孩子日后还需要您去照料，在这里徘徊，会毁了您的。,,,,,,,,,,,,,,妻子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,95,,,,False
name,......不，博卓卡斯替。您不是一个冷血的怪物。,,,,,,,,,,,,,,妻子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,96,,,,False
name,您对我的爱是真切的。即使是我这样只善于厌恶他人的女人，也对您倾注了同等的感情。,,,,,,,,,,,,,,妻子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,97,,,,False
name,您很惊讶......请不要惊讶。我是爱您的，就像您如此宽大又如此温热地爱着我一样。,,,,,,,,,,,,,,妻子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,98,,,,False
name,博卓卡斯替，我的挚爱......您未来的家人，都是我的家人。,,,,,,,,,,,,,,妻子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,99,,,,False
name,我就是这样爱您。,,,,,,,,,,,,,,妻子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,101,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,102,,,,False
blocker,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,103,,,,False
cameraeffect,,,,,,,,,0,,,,,,,,,,,,,,,,,Grayscale,true,0,,,,,,,,,,,,,,,0,104,,,,False
background,,,,,,,,,,,bg_black,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,105,,,,False
blocker,,,,,0,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,106,,,,False
name,海伦。我不配得到你的爱。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,107,,,,False
name,我没能守住你。我也没能，守住誓言。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,108,,,,False
name,我的家人，我全都，没能保护。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,109,,,,False
name,爱......我配不上。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,110,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,111,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,112,,,,False
blocker,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,113,,,,False
background,,,,,,,,,,,bg_chercen_2,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,114,,,,False
blocker,,,,,0,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,115,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,,,,False
name,被信赖的人，背弃了诺言。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,117,,,,False
name,背弃诺言的人，依然活着。即使如此，诺言，依然还在。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,118,,,,False
name,因为诺言里，还有悔恨。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,119,,,,False
character,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,120,,,,False
name,......,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,121,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,122,,,,False
name,不仅是，已死的人。菲林，你的悔恨，在哪里？,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,,,,False
character,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,124,,,,False
name,我......,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,125,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,126,,,,False
name,你要，背着，走下去。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,127,,,,False
name,这座城里的人。乌萨斯的感染者。大地上，失去父母的人。大地上，父母做下错事的人。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,128,,,,False
name,都会被人背负。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,129,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,130,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,131,,,,False
blocker,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,132,,,,False
cameraeffect,,,,,,,,,0,,,,,,,,,,,,,,,,,Grayscale,true,1,,,,,,,,,,,,,,,0,133,,,,False
background,,,,,,,,,,,bg_cherbefore_1,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,134,,,,False
blocker,,,,,0,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,135,,,,False
name,父亲，我请求你！不要，不要再站在帝国那一边！,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,,,,False
name,命令？帝国的命令就是笑话！,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,137,,,,False
name,不，抱歉，父亲......我不是在嘲讽你。不。我不会。,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,138,,,,False
name,但帝国的法令，就是为我们所有人设下的残忍骗局。,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,139,,,,False
name,我的朋友叶克多，只因为被查出是矿石病人，就被笞杖活活打死在桥上！,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,140,,,,False
name,你不是也很喜欢他的诗吗？你不是也曾在夜晚大声朗诵，喜极而泣吗？,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,141,,,,False
name,他死了！他走上了昏暗的死路，永远离我们而去，再也不会回头了！,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,142,,,,False
name,作为诗人，除了文学，任何人也没有让他死去的资格！,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,143,,,,False
name,帝国的所谓感染者法令，只是一个闯入我们心中的恶徒！,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,144,,,,False
name,那种死亡，看啊，感染者的死亡，也只是让夺走生命的人和失去生命的人都舍弃了尊严！,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,145,,,,False
name,帝国的士兵们，难道是为了这种没有尊严的事领受皇帝的恩惠吗？太荒谬了！,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,146,,,,False
name,出身卡兹戴尔的你，和你一起长大的那些感染的萨卡兹......你也一定能理解我们乌萨斯的感染者的！,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,147,,,,False
name,......你为什么那样无所谓？你的心肠难道也是是铁铸的吗？还是说，因为你作为萨卡兹却没有被感染，所以你心里连一点同情都没有？,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,148,,,,False
name,我们萨卡兹......有谁会比萨卡兹更容易感染矿石病呢？,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,149,,,,False
name,那么，当我们中有人感染矿石病的时候，你就会知道这种罪名是多么可笑了！,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,150,,,,False
name,也许到那时候，你才能离开你现在行走的血路，走上宽敞仁慈的大道！,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,151,,,,False
name,父亲......罢了，罢了！你可是博卓卡斯替！矿石病不会纠缠你这样强悍的军人，那就只能让它爬上我的身躯！,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,152,,,,False
name,当它盘踞在我的遗体上对你哈哈大笑的时候，你才会意识到自己的错误！,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,153,,,,False
name,不要让自己后悔，父亲！,,,,,,,,,,,,,,儿子,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,154,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,155,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,156,,,,False
blocker,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,157,,,,False
cameraeffect,,,,,,,,,0,,,,,,,,,,,,,,,,,Grayscale,true,0,,,,,,,,,,,,,,,0,158,,,,False
background,,,,,,,,,,,bg_black,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,159,,,,False
blocker,,,,,0,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,160,,,,False
name,......格罗瓦兹尔，你是无辜的。你是无罪的。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,161,,,,False
name,感染的，是我。隐瞒的，也是我。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,162,,,,False
name,父亲终归，有眼却盲，父亲没能，走上正途。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,163,,,,False
name,我......很后悔。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,164,,,,False
name,我真的，很后悔。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,165,,,,False
name,我儿......父亲杀了你，父亲还让你，白白死去。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,166,,,,False
name,父亲......不配，做你的父亲。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,167,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,168,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,169,,,,False
blocker,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,170,,,,False
background,,,,,,,,,,,bg_chercen_2,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,171,,,,False
