command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,duration,xstrength,ystrength,vibrato,randomness,fadeout,a,r,g,b,block,name,name2,focus,screenadapt,widgetID,style,fadestyle,offsetx,initr,index,text,jp_text,jp_name,text_match
name,......是啊。,,,,,,,,,,,,,,,,,,,,,,,,德克萨斯,,,,,,,,,66,......是啊。,……ああ。,テキサス,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,False
background,,,,,bg_wild_a,1,1,1,,,,,,,,,,,,,,,,,,,,coverall,,,,,,68,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,69,,,,False
name,别跑！,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,70,别跑！,逃がすな！,レユニオン構成員,True
character,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,,,,,,,,,71,,,,False
name,敌人的大部队赶了过来。,,,,,,,,,,,,,,,,,,,,,,,,德克萨斯,,,,,,,,,72,敌人的大部队赶了过来。,敵の大部隊がこちらに来た。,テキサス,True
name,看来是被我们闹出的动静吸引了。,,,,,,,,,,,,,,,,,,,,,,,,德克萨斯,,,,,,,,,73,看来是被我们闹出的动静吸引了。,どうやら俺たちの騒ぎに引き寄せられたようだ。,テキサス,True
character,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_2,char_1002_nsabr_2,,,,,,,,74,,,,False
name,啊啊啊！！！可恶！！,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,75,啊啊啊！！！可恶！！,あああ！！！くそっ！！,レユニオン構成員,True
name,怎么会.....你们，你们究竟，做了什么好事？！,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,76,怎么会.....你们，你们究竟，做了什么好事？！,な、何が……お前たち、一体何をしたんだ？！,レユニオン構成員,True
character,,,,,,,,,,,,,,,,,,,,,,,,,char_103_angel_1,,,,,,,,,77,,,,False
name,唔，我是和你们无仇无怨啦。,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,78,唔，我是和你们无仇无怨啦。,うーん、私は君たちに恨みはないよ。,エクシア,True
name,但是，合同就是合同哦？,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,79,但是，合同就是合同哦？,でもさ、契約は契約だからね？,エクシア,True
name,履行合同可是物流的基本行业规则呢！,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,80,履行合同可是物流的基本行业规则呢！,契約履行は物流業界の基本ルールだよ！,エクシア,True
character,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,1,,,,,,,81,,,,False
name,左边。,,,,,,,,,,,,,,,,,,,,,,,,德克萨斯,,,,,,,,,82,左边。,左だ。,テキサス,True
playsound,,$p_imp_sword_n,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,83,,,,False
camerashake,,,,,,,,,,,,,,1,10,8,30,90,false,,,,,,,,,,,,,,,84,,,,False
blocker,,,,,,,,0.1,,,,,,,,,,,,0.7,1,1,1,true,,,,,,,,,,85,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,0,0.93,0.75,0.32,true,,,,,,,,,,86,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,char_103_angel_1,,,,,,,,,87,,,,False
name,啊？,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,88,啊？,あ？,エクシア,True
character,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,89,,,,False
character,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,char_103_angel_1,,,,,,,,,91,,,,False
name,啊，啊呀？,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,92,啊，啊呀？,あ、あれ？,エクシア,True
name,谢，谢谢啊。,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,93,谢，谢谢啊。,あ、ありがとう。,エクシア,True
character,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,1,,,,,,,94,,,,False
name,那我右侧的敌人，就麻烦你解决了。,,,,,,,,,,,,,,,,,,,,,,,,德克萨斯,,,,,,,,,95,那我右侧的敌人，就麻烦你解决了。,じゃあ俺の右側の敵は、君に任せたぞ。,テキサス,True
name,跑起来吧，该转移了。,,,,,,,,,,,,,,,,,,,,,,,,德克萨斯,,,,,,,,,96,跑起来吧，该转移了。,走るぞ、そろそろ移動だ。,テキサス,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,False
playsound,,$p_atk_smg_h,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,98,,,,False
blocker,,,,,,,,2,,,,,,,,,,,,1,0,0,0,true,,,,,,,,,,99,,,,False
delay,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,100,,,,False
blocker,,,,,,,,2,,,,,,,,,,,,0,0,0,0,true,,,,,,,,,,101,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,False
charactercutin,,,,,,200,,0.5,,,,,,,,,,,,,,,,true,char_002_amiya_1,,,,1,cutin,horiz_expand_center,0,,103,,,,False
name,能天使，我们快要抵达你们所在的位置了！,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,104,能天使，我们快要抵达你们所在的位置了！,エクシア、もうすぐ君たちの所に到着する！,アーミヤ,True
charactercutin,,,,,,,,0.5,,,,,,,,,,,,,,,,true,,,,,1,,,,,105,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,char_103_angel_1,,,,,,,,,106,,,,False
name,现在敌人注意力都在我们俩身上，你们自己看着办！,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,107,现在敌人注意力都在我们俩身上，你们自己看着办！,今は敵の注意が私たちに向いてるから、みんな自分で判断して！,エクシア,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,False
charactercutin,,,,,,200,,0.5,,,,,,,,,,,,,,,,true,char_002_amiya_1,,,,1,cutin,horiz_expand_center,0,,109,,,,False
name,两位，注意安全！,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,110,两位，注意安全！,二人とも、気をつけて！,アーミヤ,True
charactercutin,,,,,,,,0.5,,,,,,,,,,,,,,,,true,,,,,1,,,,,111,,,,False
blocker,,,,,,,,0.6,,,,,,,,,,,,1,0,0,0,true,,,,,,,,,2,112,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,False
blocker,,,,,,,,0.6,,,,,,,,,,,,0,,,,true,,,,,,,,,,114,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,115,,,,False
name,芙兰卡，你们抵达预定地点了吗？,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,116,芙兰卡，你们抵达预定地点了吗？,フランカ、予定地点についた？,アーミヤ,True
charactercutin,,,,,,200,,0.5,,,,,,,,,,,,,,,,true,char_106_franka_1,,,,1,cutin,horiz_expand_center,0,,117,,,,False
name,我ok了。,,,,,,,,,,,,,,,,,,,,,,,,芙兰卡,,,,,,,,,118,我ok了。,私はOKだ。,フランカ,True
charactercutin,,,,,,,,0.5,,,,,,,,,,,,,,,,true,,,,,1,,,,,119,,,,False
charactercutin,,,,,,200,,0.5,,,,,,,,,,,,,,,,true,char_107_liskam_1,,,,1,cutin,horiz_expand_center,0,,120,,,,False
name,雷蛇和其余重装干员已经就位。,,,,,,,,,,,,,,,,,,,,,,,,雷蛇,,,,,,,,,121,雷蛇和其余重装干员已经就位。,レイズと他の重装オペレーターはすでに配置についた。,レイズ,True
charactercutin,,,,,,,,0.5,,,,,,,,,,,,,,,,true,,,,,1,,,,,122,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,123,,,,False
name,全体干员注意，敌人的狙击手可能利用了地形来隐蔽自己。,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,124,全体干员注意，敌人的狙击手可能利用了地形来隐蔽自己。,全員注意、敵のスナイパーが地形を使って隠れている可能性があるわ。,アーミヤ,True
name,一定要注意自己的位置，优先解决狙击手。,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,125,一定要注意自己的位置，优先解决狙击手。,自分の位置に気をつけて、まずはスナイパーを優先的に対処して。,アーミヤ,True
name,接下来......大家，准备突袭。,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,126,接下来......大家，准备突袭。,これから……みんな、突撃の準備を。,アーミヤ,True
name,......小心目标，不要太过火了。,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,127,......小心目标，不要太过火了。,……ターゲットには気を付けて、やりすぎないように。,アーミヤ,True
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,128,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,129,,,,False
