command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,index,text,jp_text,jp_name,text_match
name,去吧。老陈就交给你们了。,,,,,,,,,,,,,,星熊,,,,,,,,41,去吧。老陈就交给你们了。,行け。チェンのことは任せたぞ。,ホシグマ,True
name,你可得把她活着还给近卫局哦。,,,,,,,,,,,,,,星熊,,,,,,,,42,你可得把她活着还给近卫局哦。,必ず彼女を生きて近衛局に返せよ。,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_002_amiya_1#7,2,,,,,,43,,,,False
name,好的，星熊......！我们一定会让陈长官平安归来......！,,,,,,,,,,,,,,阿米娅,,,,,,,,44,好的，星熊......！我们一定会让陈长官平安归来......！,はい、ホシグマ……！必ずチェン長官を無事に戻します……！,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_002_amiya_1#7,1,,,,,,45,,,,False
name,你们自己也要小心点。,,,,,,,,,,,,,,星熊,,,,,,,,46,你们自己也要小心点。,お前たちも気を付けろよ。,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_002_amiya_1#7,2,,,,,,47,,,,False
name,嗯！,,,,,,,,,,,,,,阿米娅,,,,,,,,48,嗯！,うん！,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,49,,,,False
name,博士，请跟上我吧。,,,,,,,,,,,,,,阿米娅,,,,,,,,50,博士，请跟上我吧。,ドクター、私についてきてください。,アーミヤ,True
name,罗德岛，出发！,,,,,,,,,,,,,,阿米娅,,,,,,,,51,罗德岛，出发！,ロドス、出発します！,アーミヤ,True
blocker,,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,52,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,53,,,,False
background,,,,,,,,,0,,,,,,,,,,,,,,54,,,,False
blocker,,,,,,,,,0.6,,,,,,,,,0,,,,true,55,,,,False
name,（等着我，陈长官......）,,,,,,,,,,,,,,阿米娅,,,,,,,,56,（等着我，陈长官......）,（待っててください、チェン長官……）,アーミヤ,True
name,（霜叶，陨星，杰西卡......）,,,,,,,,,,,,,,阿米娅,,,,,,,,57,（霜叶，陨星，杰西卡......）,（フロストリーフ、メテオ、ジェシカ……）,アーミヤ,True
name,（一定要坚持住啊！）,,,,,,,,,,,,,,阿米娅,,,,,,,,58,（一定要坚持住啊！）,（絶対に耐え抜いて！）,アーミヤ,True
blocker,,,,,,,,,1,,,,,,,,,1,0,0,0,true,59,,,,False
background,,,,,coverall,bg_cher_3,1,1,0,,,,,,,,,,,,,,60,,,,False
blocker,,,,,,,,,1,,,,,,,,,0,,,,true,61,,,,False
character,,,,,,,,,,,,,,,char_016_medic,char_003_kalts_1,1,,,,,,62,,,,False
name,最后一支联系上的侦查小队也收容完毕了！,,,,,,,,,,,,,,医疗干员,,,,,,,,63,最后一支联系上的侦查小队也收容完毕了！,最後に連絡が取れた偵察小隊も全員保護完了しました！,医療オペレーター,True
name,情况......很糟糕......,,,,,,,,,,,,,,医疗干员,,,,,,,,64,情况......很糟糕......,状況……かなり悪いです……,医療オペレーター,True
character,,,,,,,,,,,,,,,char_016_medic,char_003_kalts_1,2,,,,,,65,,,,False
name,——,,,,,,,,,,,,,,凯尔希,,,,,,,,66,——,――,ケルシー,True
name,皮肤红肿，全身失温，组织坏死——,,,,,,,,,,,,,,凯尔希,,,,,,,,67,皮肤红肿，全身失温，组织坏死——,皮膚が赤く腫れ、全身が低体温、組織壊死――,ケルシー,True
name,怎么回事？,,,,,,,,,,,,,,凯尔希,,,,,,,,68,怎么回事？,どういうことだ？,ケルシー,True
character,,,,,,,,,0,,,,,,,,,,,,,,69,,,,False
name,咕......,,,,,,,,,,,,,,重伤的罗德岛干员,,,,,,,,70,咕......,ぐっ……,重傷のロドスオペレーター,True
character,,,,,,,,,,,,,,,char_003_kalts_1#3,,,,,,,,71,,,,False
name,全是冻伤？,,,,,,,,,,,,,,凯尔希,,,,,,,,72,全是冻伤？,全部凍傷なのか？,ケルシー,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,73,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,true,74,,,,False
