command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,xScale,yScale,xScaleTo,yScaleTo,duration,options,values,references,initr,y,yto,option_number,index,text,jp_text,jp_name,text_match
name,别以为我没看见你们增援的队伍。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,31,别以为我没看见你们增援的队伍。,君たちの増援部隊が見えなかったと思うなよ。,メフィスト,True
name,也罢。算了，我有些东西要给你们看。你们会喜欢的。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,32,也罢。算了，我有些东西要给你们看。你们会喜欢的。,まあいい。見せたいものがあるんだ。きっと気に入るよ。,メフィスト,True
name,说起来——自一开始，我们就是要接管整个切尔诺伯格......,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,33,说起来——自一开始，我们就是要接管整个切尔诺伯格......,そういえば――最初から僕たちはチェルノボーグ全体を掌握するつもりだった……,メフィスト,True
name,等待，等待，等待了那么久......终于等到这个时刻——,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,34,等待，等待，等待了那么久......终于等到这个时刻——,待って、待って、ずっと待って……ついにこの時が来た――,メフィスト,True
name,这个向乌萨斯、向迫害我们感染者的人复仇的时刻！,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,35,这个向乌萨斯、向迫害我们感染者的人复仇的时刻！,このウルサスと、僕たち感染者を迫害した連中への復讐の時だ！,メフィスト,True
name,然而，这个分城的这些家伙呢？,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,36,然而，这个分城的这些家伙呢？,しかし、この地区の連中はどうしたかな？,メフィスト,True
blocker,,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,0,37,,,,False
image,,,,,,bg_0_guard,,,0,,,,,,,,,,,,,,1,1,,,,,,,,,,0,38,,,,False
imagetween,,,,,,bg_0_guard,,,,,,,,,,,,,,,,,,,1.3,1.3,20,,,,,,,0,39,,,,False
blocker,,,,,,,,,0.6,,,,,,,,,0,,,,true,,,,,,,,,,,,0,40,,,,False
name,他们逃了。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,41,他们逃了。,彼らは逃げた。,メフィスト,True
name,他们反应很快。在我们动手之前，就逃了。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,42,他们反应很快。在我们动手之前，就逃了。,素早く反応して、僕たちが動く前に逃げたんだ。,メフィスト,True
name,解开了地区锁，开足了马力，动用一切移动手段——,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,43,解开了地区锁，开足了马力，动用一切移动手段——,区域ロックを解除し、全力で逃走し、あらゆる移動手段を使って――,メフィスト,True
name,但他们又能逃到哪里去呢？,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,44,但他们又能逃到哪里去呢？,だが、彼らはどこまで逃げられるかな？,メフィスト,True
blocker,,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,0,45,,,,False
image,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,46,,,,False
blocker,,,,,,,,,0.6,,,,,,,,,0,,,,true,,,,,,,,,,,,0,47,,,,False
name,我们的同胞，早就在各个城区中潜伏着，寻找着机会。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,48,我们的同胞，早就在各个城区中潜伏着，寻找着机会。,僕たちの仲間はすでに各区画に潜伏して、機会をうかがっていたんだ。,メフィスト,True
name,最终他们被我们追上，得到了应有的惩罚。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,49,最终他们被我们追上，得到了应有的惩罚。,最終的に彼らは僕たちに追いつかれ、当然の罰を受けた。,メフィスト,True
name,这些懦夫，这些施暴者，我们该怎么处理他们呢？,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,50,这些懦夫，这些施暴者，我们该怎么处理他们呢？,この臆病者たち、暴力を振るった者たちを、どうするべきかな？,メフィスト,True
character,,,,,,,,,,,,,,,char_1507_Mephisto_1#5,,,,,,,,,,,,,,,,,,,0,51,,,,False
name,当然是——让他们成为一个标志！,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,52,当然是——让他们成为一个标志！,もちろん――彼らを「標」にするのさ！,メフィスト,True
name,一个宣告感染者身上的一切不公，终将被摧毁的标志——,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,53,一个宣告感染者身上的一切不公，终将被摧毁的标志——,感染者への全ての不正義は必ず滅ぼされることを告げる「標」だ――,メフィスト,True
name,——没错，那就是，整合运动的标志——,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,54,——没错，那就是，整合运动的标志——,――そうさ、それこそが、レユニオンの象徴――,メフィスト,True
name,让它们一个个都成为恐怖的象征吧！,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,55,让它们一个个都成为恐怖的象征吧！,それら全てを恐怖の象徴にしてやるさ！,メフィスト,True
name,你们，去点燃那个标志！照亮周围！,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,56,你们，去点燃那个标志！照亮周围！,お前たち、その「標」に火をつけろ！辺りを照らせ！,メフィスト,True
character,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,0,57,,,,False
name,是！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,0,58,是！,はい！,レユニオンのメンバー,True
character,,,,,,,,,,,,,,,char_1507_Mephisto_1#5,,,,,,,,,,,,,,,,,,,0,59,,,,False
name,来吧，照亮这个城市吧！让罗德岛看看软弱的压迫者们的末路！,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,60,来吧，照亮这个城市吧！让罗德岛看看软弱的压迫者们的末路！,さあ、この都市を照らせ！ロドスに見せてやるんだ、臆病な抑圧者どもの末路を！,メフィスト,True
blocker,,,,,,,,,0.2,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,0,61,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,62,,,,False
blocker,,,,,,,,,0.2,,,,,,,,,0,,,,true,,,,,,,,,,,,0,63,,,,False
background,,,,,,,,,2,,,,,,,,,,,,,false,,,,,,,,,,,,0,64,,,,False
character,,,,,,,,,,,,,,,char_219_meteo_1#3,,,,,,,,,,,,,,,,,,,0,65,,,,False
name,（——不！）,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,0,66,（——不！）,（――だめ！）,メテオライト,True
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,67,,,,False
decision,（迅速掩住阿米娅的双眼）,,,,,,,,,,,,,,,,,,,,,,,,,,,（迅速掩住阿米娅的双眼）,1,,,,,1,68,（迅速掩住阿米娅的双眼）,（素早くアーミヤの目を覆う）,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,69,,,,False
blocker,,,,,,,,,0.8,,,,,,,,,1,0,0,0,true,,,,,,,,,2,,,0,70,,,,False
image,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,71,,,,False
blocker,,,,,,,,,0.8,,,,,,,,,0,,,,true,,,,,,,,,,,,0,72,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,0,73,,,,False
name,博士——？！,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,74,博士——？！,ドクター――！？,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#6,,-1,,,,,,,,,,,,,,,,,0,75,,,,False
decision,别看！,,,,,,,,,,,,,,,,,,,,,,,,,,,别看！;......,1;2,,,,,2,76,别看！,見ないで！,,True
decision,......,,,,,,,,,,,,,,,,,,,,,,,,,,,别看！;......,1;2,,,,,2,77,......,……,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2,,,,0,78,,,,False
character,,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,0,79,,,,False
name,......,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,0,80,......,……,フロストリーフ,True
name,那是......恶毒和疯狂堆成的焚炉。,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,0,81,那是......恶毒和疯狂堆成的焚炉。,あれは……悪意と狂気が積み重なった焼却炉だ。,フロストリーフ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,0,82,,,,False
name,......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,83,......,……,アーミヤ,True
name,博士。请挪开你的手。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,84,博士。请挪开你的手。,ドクター。手を離してください。,アーミヤ,True
name,我没问题的。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,85,我没问题的。,私は大丈夫です。,アーミヤ,True
name,——不，你必须让我看见。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,86,——不，你必须让我看见。,――いいえ、あなたが私に見せてくれなきゃ。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,0,87,,,,False
name,他的行为总是一天，是我需要面对的。更何况以前也......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,88,他的行为总是一天，是我需要面对的。更何况以前也......,彼の行動はいつもそう、私が向き合わなきゃいけない。それに、前にも……,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,-1,,,,,,,,,,,,,,,,,0,89,,,,False
decision,（松开手）,,,,,,,,,,,,,,,,,,,,,,,,,,,（松开手）,1,,,,,1,90,（松开手）,（手を離す）,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,91,,,,False
dialog,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,92,,,,False
blocker,,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,0,93,,,,False
image,,,,,,avg_40_1,,,0,,,,,,,,,,,,,,1.1,1.1,,,,,,,,-50,,0,94,,,,False
imagetween,,,,,,bg_0_guard,,,,,,,,,,,,,,,,,,,1,1,10,,,,,,0,0,95,,,,False
blocker,,,,,,,,,0.6,,,,,,,,,0,,,,true,,,,,,,,,,,,0,96,,,,False
name,为什么......为什么......,,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,0,97,为什么......为什么......,どうして……どうして……,ジェシカ,True
name,杰西卡，冷静点。,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,0,98,杰西卡，冷静点。,ジェシカ、落ち着いて。,メテオライト,True
name,——可恶！,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,0,99,——可恶！,――くそっ！,メテオライト,True
name,......真是作孽......,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,0,100,......真是作孽......,……なんてひどい……,フロストリーフ,True
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,101,,,,False
blocker,,,,,,,,,0.8,,,,,,,,,1,0,0,0,true,,,,,,,,,2,,,0,102,,,,False
image,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,103,,,,False
background,,,,,coverall,bg_cher_2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,104,,,,False
blocker,,,,,,,,,0.8,,,,,,,,,0,,,,true,,,,,,,,,,,,0,105,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,0,106,,,,False
name,那些焦臭味......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,107,那些焦臭味......,あの焦げ臭い匂い……,アーミヤ,True
name,............,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,108,............,…………,アーミヤ,True
blocker,,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,,,,,,,,,2,,,0,109,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,110,,,,False
blocker,,,,,,,,,0.6,,,,,,,,,0,,,,true,,,,,,,,,,,,0,111,,,,False
character,,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,0,112,,,,False
name,你们还要躲多久呢，切尔诺伯格的那只兔子？,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,113,你们还要躲多久呢，切尔诺伯格的那只兔子？,まだどれくらい隠れるつもりだい、チェルノボーグのウサギさん？,メフィスト,True
name,刚才你们几个就悄悄摸摸的，我还以为你们要做什么。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,114,刚才你们几个就悄悄摸摸的，我还以为你们要做什么。,さっき君たちがこっそりと動いてたから、何か企んでるのかと思ったよ。,メフィスト,True
name,结果也只能默默看着吗......真的很无趣呢。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,115,结果也只能默默看着吗......真的很无趣呢。,結局はただ見ているだけか……本当に退屈だな。,メフィスト,True
name,看来，你还带了不少人？,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,116,看来，你还带了不少人？,どうやら、君は結構な人数を連れているみたいだね？,メフィスト,True
blocker,,,,,,,,,0.3,,,,,,,,,1,0,0,0,true,,,,,,,,,2,,,0,117,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,118,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,0,119,,,,False
blocker,,,,,,,,,0.3,,,,,,,,,0,,,,true,,,,,,,,,,,,0,120,,,,False
name,这些，都是你做的吗？,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,121,这些，都是你做的吗？,これ、全部あなたの仕業？,アーミヤ,True
character,,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,0,122,,,,False
name,当然了——,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,123,当然了——,もちろんさ――,メフィスト,True
name,不运用恐怖的手段，如何减少损失呢。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,124,不运用恐怖的手段，如何减少损失呢。,恐怖の手段を使わずに、どうやって損害を減らせるのさ。,メフィスト,True
name,只要十分之一的人的死——,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,125,只要十分之一的人的死——,十分の一の人間が死ねば――,メフィスト,True
name,就能恐吓住剩下十分之九的人。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,126,就能恐吓住剩下十分之九的人。,残りの十分の九を脅すことができる。,メフィスト,True
name,这可是，最有效的减少伤亡的措施呢。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,127,这可是，最有效的减少伤亡的措施呢。,これが、最も効果的な損害軽減策さ。,メフィスト,True
blocker,,,,,,,,,0.2,,,,,,,,,1,0,0,0,true,,,,,,,,,2,,,0,128,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,129,,,,False
blocker,,,,,,,,,0.2,,,,,,,,,0,,,,true,,,,,,,,,,,,0,130,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#9,,,,,,,,,,,,,,,,,,,0,131,,,,False
name,......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,132,......,……,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,0,133,,,,False
name,——————,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,134,——————,――――――,アーミヤ,True
name,——博士。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,135,——博士。,――ドクター。,アーミヤ,True
name,我已经不是当时的我了。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,136,我已经不是当时的我了。,私はもう、あの時の私じゃありません。,アーミヤ,True
name,虽然你不记得——,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,137,虽然你不记得——,あなたは覚えていないかもしれませんが――,アーミヤ,True
name,是的，当时的我又胆小又脆弱，很容易就感到害怕......依靠着你，我才能向前走——,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,138,是的，当时的我又胆小又脆弱，很容易就感到害怕......依靠着你，我才能向前走——,はい、あの時の私は弱くて臆病で、すぐに怖がって……あなたに頼ることで、やっと進めたんです――,アーミヤ,True
name,也许我看上去依然是那副模样。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,139,也许我看上去依然是那副模样。,今も私はそう見えるかもしれません。,アーミヤ,True
name,但现在的我，见过的惨剧已经足够多了。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,140,但现在的我，见过的惨剧已经足够多了。,でも今の私は、数多くの悲劇を目にしてきました。,アーミヤ,True
name,我当然不想再看到这种事情发生,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,141,我当然不想再看到这种事情发生,こんなこと、もう二度と見たくありません,アーミヤ,True
name,......但不去面对它们是不行的！,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,142,......但不去面对它们是不行的！,……でも、それに向き合わなきゃいけないのです！,アーミヤ,True
blocker,,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,,,,,,,,,2,,,0,143,,,,False
name,......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,144,......,……,アーミヤ,True
name,因为我要提醒自己。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,145,因为我要提醒自己。,自分に言い聞かせなきゃいけませんから。,アーミヤ,True
name,我还不能退后——,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,146,我还不能退后——,私はまだ、退くわけにはいきません――,アーミヤ,True
name,我还要继续战斗下去!,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,147,我还要继续战斗下去!,私はこれからも戦い続けなければなりません！,アーミヤ,True
blocker,,,,,,,,,0.3,,,,,,,,,1,0,0,0,true,,,,,,,,,2,,,0,148,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,149,,,,False
