command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,widgetID,style,fadestyle,offsetx,duration,xstrength,ystrength,vibrato,randomness,fadeout,screenadapt,options,values,references,option_number,index,text,jp_text,jp_name,text_match
name,不是不是，刚才就说了，往上。,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,,,,,,,,,0,86,不是不是，刚才就说了，往上。,違う違う、さっき言ったでしょ、上に。,エクシア,True
character,,,,,,,,,,,,,,char_102_texas_1,char_107_liskam_1,2,,,,,,,,,,,,,,,,,,,,,0,87,,,,False
name,......往上？,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,,0,88,......往上？,……上に？,レイズ,True
name,我们真的......可以相信她？,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,,0,89,我们真的......可以相信她？,本当に……彼女を信じても大丈夫？,レイズ,True
character,,,,,,,,,,,,,,char_102_texas_1,char_107_liskam_1,1,,,,,,,,,,,,,,,,,,,,,0,90,,,,False
name,企鹅物流的宗旨之一是，只要能抵达目的地，什么路都可以走。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,,,,,0,91,企鹅物流的宗旨之一是，只要能抵达目的地，什么路都可以走。,ペンギン急便のモットーの一つは、目的地に着けばルートは問わないこと。,テキサス,True
name,先试一次我们的服务吧。你会喜欢上的。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,,,,,0,92,先试一次我们的服务吧。你会喜欢上的。,まずは一度、私たちのサービスを試してみて。きっと気に入るよ。,テキサス,True
character,,,,,,,,,,,,,,char_102_texas_1,char_107_liskam_1,2,,,,,,,,,,,,,,,,,,,,,0,93,,,,False
name,......,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,,0,94,......,……,レイズ,True
blocker,,,,,,,,,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,0,95,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,96,,,,False
background,,,,,bg_indoor_2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,coverall,,,,0,97,,,,False
blocker,,,,,,,,0.6,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,0,98,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,,,,,,,,,,,,0,99,,,,False
name,呼......呼......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,0,100,呼......呼......,はぁ……はぁ……,アーミヤ,True
name,米莎，对不起......我也没想到......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,0,101,米莎，对不起......我也没想到......,ミーシャ、ごめん……私も、こんなことになるなんて……,アーミヤ,True
character,,,,,,,,,,,,,,char_012_misa_1,,,,,,,,,,,,,,,,,,,,,,,0,102,,,,False
name,......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,,,0,103,......,……,ミーシャ,True
character,,,,,,,,,,,,,,char_102_texas_1,,,,,,,,,,,,,,,,,,,,,,,0,104,,,,False
name,呼。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,,,,,0,105,呼。,ふう。,テキサス,True
name,喂，你。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,,,,,0,106,喂，你。,おい、君。,テキサス,True
decision,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,......,1,,1,107,......,……,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,108,,,,False
character,,,,,,,,,,,,,,char_102_texas_1,,,,,,,,,,,,,,,,,,,,,,,0,109,,,,False
name,你就是罗德岛的那位博士？,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,,,,,0,110,你就是罗德岛的那位博士？,君がロドスのあのドクターか？,テキサス,True
name,看起来你不太喜欢爬楼。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,,,,,0,111,看起来你不太喜欢爬楼。,階段を登るのはあまり好きじゃなさそうだな。,テキサス,True
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0,112,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,0,113,,,,False
