command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,name,duration,xstrength,ystrength,vibrato,randomness,fadeout,a,r,g,b,block,name2,focus,options,values,references,time,option_number,index,text,jp_text,jp_name,text_match
name,谨慎行动，别在敌人面前暴露弱点！,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,91,谨慎行动，别在敌人面前暴露弱点！,慎重に動け、敵の前で弱点をさらすな！,チェン,True
character,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,char_136_hsguma,2,,,,,0,92,,,,False
name,不会给他们机会的！,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,0,93,不会给他们机会的！,奴らに隙は見せない！,ホシグマ,True
character,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,char_015_lmg,2,,,,,0,94,,,,False
name,小心敌人的冲锋！,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,0,95,小心敌人的冲锋！,敵の突撃に注意しろ！,近衛局隊員,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,96,,,,False
playsound,,$p_imp_axe_h,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,0,97,,,,False
camerashake,,,,,,,,,,,,,,1,12,1,30,90,true,,,,,,,,,,,,0,98,,,,False
blocker,,,,,,,,0.02,,,,,,,,,,,,0.7,0.95,0.95,0.95,true,,,,,,,0,99,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,0,0.95,0.95,0.95,true,,,,,,,0,100,,,,False
camerashake,,,,,,,,,,,,,,1,12,18,30,90,true,,,,,false,,,,,,,0,101,,,,False
blocker,,,,,,,,0.02,,,,,,,,,,,,0.7,0.95,0.95,0.95,true,,,,,,,0,102,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,0,0.95,0.95,0.95,true,,,,,,,0,103,,,,False
character,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,0,104,,,,False
name,阿米娅！别接近敌人——,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,0,105,阿米娅！别接近敌人——,アーミヤ！敵に近づくな――,フランカ,True
character,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,0,106,,,,False
name,那，那是......,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,107,那，那是......,あ、あれは……,アーミヤ,True
name,我......,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,108,我......,わたし……,アーミヤ,True
character,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,,,,,,,0,109,,,,False
name,博士，博士......我该怎么办......,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,110,博士，博士......我该怎么办......,ドクター、ドクター……どうすればいいの……,アーミヤ,True
character,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,,-1,,,,,0,111,,,,False
decision,你该做的事，阿米娅。,,,,,,,,,,,,,,,,,,,,,,,,,,你该做的事，阿米娅。,1,,,1,112,你该做的事，阿米娅。,やるべきことを、アーミヤ。,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,113,,,,False
character,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,0,114,,,,False
name,可是我......,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,115,可是我......,でも、私は……,アーミヤ,True
name,对不起，博士......我......,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,116,对不起，博士......我......,ごめんなさい、ドクター……私……,アーミヤ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,117,,,,False
character,,,,,,,,,,,,,char_1500_skulsr,,,,,,,,,,,,,,,,,,0,118,,,,False
name,......,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,0,119,......,……,スカルシュレッダー,True
name,阿......,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,0,120,阿......,あ……,スカルシュレッダー,True
name,阿米娅......？,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,0,121,阿米娅......？,アーミヤ……？,スカルシュレッダー,True
blocker,,,,,,,,0.2,,,,,,,,,,,,0.7,0.95,0.95,0.95,true,,,,,,,0,122,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,0,0.95,0.95,0.95,true,,,,,,,0,123,,,,False
playsound,,$e_skill_skulsrexplo,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,0,124,,,,False
camerashake,,,,,,,,,,,,,,1,12,18,30,90,true,,,,,true,,,,,,,0,125,,,,False
character,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,0,126,,,,False
name,为什么............,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,127,为什么............,どうして…………,アーミヤ,True
name,你......,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,128,你......,あなたは……,アーミヤ,True
name,会变成这样......,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,129,会变成这样......,どうしてこうなったの……,アーミヤ,True
character,,,,,,,,,,,,,char_1500_skulsr,,,,,,,,,,,,,,,,,,0,130,,,,False
name,阿米娅......大概这就是命运吧。,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,0,131,阿米娅......大概这就是命运吧。,アーミヤ……これが運命なんだろうな。,スカルシュレッダー,True
delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,132,,,,False
character,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,0,133,,,,False
name,阿米娅！你在做什么？快......,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,134,阿米娅！你在做什么？快......,アーミヤ！何をしている！早く……,チェン,True
character,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,0,135,,,,False
name,我......,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,136,我......,わたし……,アーミヤ,True
character,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,0,137,,,,False
name,......,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,138,......,……,チェン,True
character,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,0,139,,,,False
name,啧......,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,140,啧......,ちっ……,チェン,True
character,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,0,141,,,,False
name,陈长官？我......,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,142,陈长官？我......,チェン長官？私……,アーミヤ,True
stopmusic,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,143,,,,False
blocker,,,,,,,,0,,,,,,,,,,,,1,0,0,0,true,,,,,,,0,144,,,,False
character,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,0,145,,,,False
name,够了。,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,146,够了。,もういい。,チェン,True
name,还是......,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,147,还是......,それとも……,チェン,True
name,这一切该结束了。,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,148,这一切该结束了。,全て、終わらせるべきだ。,チェン,True
delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0,149,,,,False
character,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,,,,,,,0,150,,,,False
name,......陈长官......,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,151,......陈长官......,……チェン長官……,アーミヤ,True
delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0,152,,,,False
character,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,0,153,,,,False
name,我需要告诉你一件事情。,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,154,我需要告诉你一件事情。,君に話さなければならないことがある。,チェン,True
name,从现在开始，你最好对所有感染者一视同仁。那些都是你的敌人。,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,155,从现在开始，你最好对所有感染者一视同仁。那些都是你的敌人。,これからは、全ての感染者を等しく扱った方がいい。彼らはみんな君の敵だ。,チェン,True
character,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,0,156,,,,False
name,......,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,157,......,……,アーミヤ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,158,,,,False
delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0,159,,,,False
character,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,0,160,,,,False
name,命运是不公的。,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,161,命运是不公的。,運命は不公平だ。,チェン,True
delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0,162,,,,False
delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0,163,,,,False
character,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,0,164,,,,False
name,要恨，就恨我吧。,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,165,要恨，就恨我吧。,恨むなら、私を恨め。,チェン,True
character,,,,,,,,,,,,,char_010_chen_1#6,,,,,,,,,,,,,,,,,,0,166,,,,False
delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0,167,,,,False
name,近卫局！进攻！,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,168,近卫局！进攻！,近衛局！攻撃開始！,チェン,True
delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,169,,,,False
