command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,name,a,r,g,b,block,name2,focus,time,index,text,jp_text,jp_name,text_match
name,（所以结论是不能。明明是三对三，却像是被包围了呢。）,,,,,,,,,,,,,霜叶,,,,,,,,,43,（所以结论是不能。明明是三对三，却像是被包围了呢。）,（だから無理ってことね。三対三のはずなのに、包囲されてるみたい。）,ソウヨウ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_219_meteo_1,2,,44,,,,False
name,（有点糟糕。我很讨厌这种感觉。）,,,,,,,,,,,,,陨星,,,,,,,,,45,（有点糟糕。我很讨厌这种感觉。）,（ちょっとまずいな。この感じはすごく嫌いだ。）,インセイ,True
name,（猎人被更庞大的野兽逼入绝路，不得不藏起来的感觉。）,,,,,,,,,,,,,陨星,,,,,,,,,46,（猎人被更庞大的野兽逼入绝路，不得不藏起来的感觉。）,（ハンターが巨大な獣に追い詰められて、隠れるしかない気分だ。）,インセイ,True
name,（等等，他们似乎在与谁通讯——）,,,,,,,,,,,,,陨星,,,,,,,,,47,（等等，他们似乎在与谁通讯——）,（待って、誰かと通信しているみたい――）,インセイ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_219_meteo_1,1,,48,,,,False
name,（在这里是听不到内容的。让我去。）,,,,,,,,,,,,,霜叶,,,,,,,,,49,（在这里是听不到内容的。让我去。）,（ここじゃ内容は聞こえないわ。私が見てくる。）,ソウヨウ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_219_meteo_1,2,,50,,,,False
name,（不行，现在移动太冒险了。）,,,,,,,,,,,,,陨星,,,,,,,,,51,（不行，现在移动太冒险了。）,（だめだ、今動くのは危険すぎる。）,インセイ,True
name,（太安静了。我们不知道敌人是什么样的感染者......）,,,,,,,,,,,,,陨星,,,,,,,,,52,（太安静了。我们不知道敌人是什么样的感染者......）,（静かすぎる。敵がどんな感染者か分からない……）,インセイ,True
name,（如果有听力强化的那种，可就要遭殃了。）,,,,,,,,,,,,,陨星,,,,,,,,,53,（如果有听力强化的那种，可就要遭殃了。）,（もし聴力が強化されてるタイプなら、アウトだ。）,インセイ,True
name,（——他们在等什么？）,,,,,,,,,,,,,陨星,,,,,,,,,54,（——他们在等什么？）,（――彼らは何を待っている？）,インセイ,True
name,（我感觉——很奇怪。）,,,,,,,,,,,,,陨星,,,,,,,,,55,（我感觉——很奇怪。）,（なんだか――変な感じだ。）,インセイ,True
name,（是不是——）,,,,,,,,,,,,,陨星,,,,,,,,,56,（是不是——）,（もしかして――）,インセイ,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,,57,,,,False
name,（杰西卡，你有没有......）,,,,,,,,,,,,,陨星,,,,,,,,,58,（杰西卡，你有没有......）,（ジェシカ、君は……）,インセイ,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,char_219_meteo_1,1,,59,,,,False
name,（我......我也......）,,,,,,,,,,,,,杰西卡,,,,,,,,,60,（我......我也......）,（わたし……わたしも……）,ジェシカ,True
name,（温度又下降了......）,,,,,,,,,,,,,杰西卡,,,,,,,,,61,（温度又下降了......）,（また気温が下がってきた……）,ジェシカ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#5,,,,,,char_219_meteo_1,1,,62,,,,False
name,（我......好冷......）,,,,,,,,,,,,,杰西卡,,,,,,,,,63,（我......好冷......）,（わたし……すごく寒い……）,ジェシカ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#5,,,,,,char_219_meteo_1,2,,64,,,,False
name,（难道就是他们......！）,,,,,,,,,,,,,陨星,,,,,,,,,65,（难道就是他们......！）,（まさか、やつらのせい……！）,インセイ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#5,,,,,,char_219_meteo_1#3,2,,66,,,,False
name,（——！杰西卡，你为什么咬住手指——）,,,,,,,,,,,,,陨星,,,,,,,,,67,（——！杰西卡，你为什么咬住手指——）,（――！ジェシカ、どうして指を噛んでるんだ――）,インセイ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_219_meteo_1#3,1,,68,,,,False
name,（在防止牙齿因为打颤相碰而出声。）,,,,,,,,,,,,,霜叶,,,,,,,,,69,（在防止牙齿因为打颤相碰而出声。）,（寒さで歯の震えがぶつかって音が出るのを防いでるんだ。）,ソウヨウ,True
name,（先不说是否必要，但这种素养，真是厉害的孩子。）,,,,,,,,,,,,,霜叶,,,,,,,,,70,（先不说是否必要，但这种素养，真是厉害的孩子。）,（必要かは別として、素晴らしい心構えだ。まったく立派な子だよ。）,ソウヨウ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_219_meteo_1,2,,71,,,,False
name,（在我眼里，你也是孩子啊。）,,,,,,,,,,,,,陨星,,,,,,,,,72,（在我眼里，你也是孩子啊。）,（僕から見れば、君も子供なんだけどね。）,インセイ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_219_meteo_1,1,,73,,,,False
name,（——哈。）,,,,,,,,,,,,,霜叶,,,,,,,,,74,（——哈。）,（――ははっ。）,ソウヨウ,True
name,（不要。）,,,,,,,,,,,,,霜叶,,,,,,,,,75,（不要。）,（やめて。）,ソウヨウ,True
playmusic,,$escape_loop,,,,,,,,$escape_intro,0.8,1.5,0.5,,,,,,,,,,76,,,,False
blocker,,,,,,,,,,,,,,,1,0,0,0,true,,,,77,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,78,,,,False
blocker,,,,,,,,,2,,,,,,0,,,,true,,,,79,,,,False
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_219_meteo_1,2,,80,,,,False
name,（......回温了。那三个整合运动也离开了。）,,,,,,,,,,,,,陨星,,,,,,,,,81,（......回温了。那三个整合运动也离开了。）,（……気温が戻った。あの三人のインテグレーターも去ったみたいだ。）,インセイ,True
name,是在测试什么东西的功能吗——,,,,,,,,,,,,,陨星,,,,,,,,,82,是在测试什么东西的功能吗——,何かの機能をテストしていたのか――,インセイ,True
name,——带着冰寒一声不响而来，带着温度默默离开，只留下受害者在暗处瑟瑟发抖。,,,,,,,,,,,,,陨星,,,,,,,,,83,——带着冰寒一声不响而来，带着温度默默离开，只留下受害者在暗处瑟瑟发抖。,――静かに冷気をもたらし、また温度と共に去って行く。闇に震える犠牲者だけを残して。,インセイ,True
name,可恶，这些家伙，确实很像传说中的雪怪。,,,,,,,,,,,,,陨星,,,,,,,,,84,可恶，这些家伙，确实很像传说中的雪怪。,くそっ、こいつら、本当に伝説の雪男みたいだ。,インセイ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_219_meteo_1,1,,85,,,,False
name,没准我蒙对了。,,,,,,,,,,,,,霜叶,,,,,,,,,86,没准我蒙对了。,もしかして私の勘は当たったのかも。,ソウヨウ,True
name,也许他们就是雪怪。,,,,,,,,,,,,,霜叶,,,,,,,,,87,也许他们就是雪怪。,もしかしたら、彼らこそが雪男かもしれない。,ソウヨウ,True
blocker,,,,,,,,,1,,,,,,1,0,0,0,true,,,,88,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,89,,,,False
blocker,,,,,,,,,1,,,,,,0,,,,true,,,,90,,,,False
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_219_meteo_1,1,,91,,,,False
name,......找到了。,,,,,,,,,,,,,霜叶,,,,,,,,,92,......找到了。,……見つけた。,ソウヨウ,True
name,还是遭到冰封的墙体。但是，你们看——,,,,,,,,,,,,,霜叶,,,,,,,,,93,还是遭到冰封的墙体。但是，你们看——,まだ凍りついた壁だ。でも、見て――,ソウヨウ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_219_meteo_1,2,,94,,,,False
name,墙角掩埋着黑色的源石？,,,,,,,,,,,,,陨星,,,,,,,,,95,墙角掩埋着黑色的源石？,壁の隅に黒い源石が埋まっているのか？,インセイ,True
name,果然。寒潮是从这个地点向外释放的。,,,,,,,,,,,,,陨星,,,,,,,,,96,果然。寒潮是从这个地点向外释放的。,やはり。寒波はここから広がったんだ。,インセイ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_219_meteo_1,1,,97,,,,False
name,墙体上能看到鲜明的纹路。,,,,,,,,,,,,,霜叶,,,,,,,,,98,墙体上能看到鲜明的纹路。,壁にはっきりした模様が見える。,ソウヨウ,True
name,这块源石就是区域降温的中心。,,,,,,,,,,,,,霜叶,,,,,,,,,99,这块源石就是区域降温的中心。,この源石が、区域の温度低下の中心だ。,ソウヨウ,True
name,——我在做佣兵的时候，营房里流传过一阵这样一个传说。,,,,,,,,,,,,,霜叶,,,,,,,,,100,——我在做佣兵的时候，营房里流传过一阵这样一个传说。,――傭兵をしていた時、宿舎でこんな噂が流れていた。,ソウヨウ,True
name,乌萨斯西北域有一支感染者游击队，一直在与乌萨斯为敌。,,,,,,,,,,,,,霜叶,,,,,,,,,101,乌萨斯西北域有一支感染者游击队，一直在与乌萨斯为敌。,ウルサス西北部に感染者のゲリラ部隊がいて、ずっとウルサスと戦っている。,ソウヨウ,True
name,他们中，有一个铁塔般的怪物。,,,,,,,,,,,,,霜叶,,,,,,,,,102,他们中，有一个铁塔般的怪物。,その中には、塔のような怪物がいるという。,ソウヨウ,True
name,据说，没有任何东西能阻止它前进。,,,,,,,,,,,,,霜叶,,,,,,,,,103,据说，没有任何东西能阻止它前进。,それは、何ものにも止められないと言われてる。,ソウヨウ,True
name,盾牌会被挤压，武器会被折断。,,,,,,,,,,,,,霜叶,,,,,,,,,104,盾牌会被挤压，武器会被折断。,盾は押しつぶされ、武器は折られる。,ソウヨウ,True
name,那个怪物离开之后，留下的只有平地，灭绝了生机的平地。,,,,,,,,,,,,,霜叶,,,,,,,,,105,那个怪物离开之后，留下的只有平地，灭绝了生机的平地。,その怪物が去れば、残るのは命なき平地だけ。,ソウヨウ,True
name,而在那支游击队里，又有这样一支小队——,,,,,,,,,,,,,霜叶,,,,,,,,,106,而在那支游击队里，又有这样一支小队——,そして、そのゲリラにはさらに別の小隊がいて――,ソウヨウ,True
name,他们就像是寒冬。,,,,,,,,,,,,,霜叶,,,,,,,,,107,他们就像是寒冬。,彼らはまるで冬そのものだ。,ソウヨウ,True
name,他们走过的地方，全数冰结。,,,,,,,,,,,,,霜叶,,,,,,,,,108,他们走过的地方，全数冰结。,彼らが通った場所はすべて凍りつく。,ソウヨウ,True
name,建筑轰然倒下，化作粉末，四散弥漫在空旷的战场。,,,,,,,,,,,,,霜叶,,,,,,,,,109,建筑轰然倒下，化作粉末，四散弥漫在空旷的战场。,建物は音を立てて倒壊し、粉となって戦場に舞う。,ソウヨウ,True
name,而战壕中，躺满了被冻成冰块的乌萨斯士兵。,,,,,,,,,,,,,霜叶,,,,,,,,,110,而战壕中，躺满了被冻成冰块的乌萨斯士兵。,塹壕の中は、凍りついたウルサス兵でいっぱいだった。,ソウヨウ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_219_meteo_1,2,,111,,,,False
name,你是觉得......,,,,,,,,,,,,,陨星,,,,,,,,,112,你是觉得......,君は……だと思ってるんだね。,インセイ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_219_meteo_1,1,,113,,,,False
name,是的。我觉得他们就是那个传说。,,,,,,,,,,,,,霜叶,,,,,,,,,114,是的。我觉得他们就是那个传说。,そう。私は彼らがその伝説だと思う。,ソウヨウ,True
name,——“雪怪小队”。,,,,,,,,,,,,,霜叶,,,,,,,,,115,——“雪怪小队”。,――『イエティ小隊』。,ソウヨウ,True
name,前进吧。我想我们快要找到整合运动的据点了。,,,,,,,,,,,,,霜叶,,,,,,,,,116,前进吧。我想我们快要找到整合运动的据点了。,行こう。たぶん、インテグレーターの拠点がもうすぐ見つかる。,ソウヨウ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#4,,,,,,char_219_meteo_1,1,,117,,,,False
name,唔......,,,,,,,,,,,,,杰西卡,,,,,,,,,118,唔......,うぅ……,ジェシカ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#4,,,,,,char_219_meteo_1,2,,119,,,,False
name,怎么了？,,,,,,,,,,,,,陨星,,,,,,,,,120,怎么了？,どうした？,インセイ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#4,,,,,,char_219_meteo_1,1,,121,,,,False
name,你们有没有闻到一股......,,,,,,,,,,,,,杰西卡,,,,,,,,,122,你们有没有闻到一股......,みんな、なんだか匂いが……,ジェシカ,True
name,烧焦的味道？,,,,,,,,,,,,,杰西卡,,,,,,,,,123,烧焦的味道？,焦げた匂い、しない？,ジェシカ,True
delay,,,,,,,,,,,,,,,,,,,,,,0.6,124,,,,False
blocker,,,,,,,,,,,,,,,,,,,true,,,,125,,,,False
