command,text_orig,key,is_skippable,fit_mode,name,time,volume,image,width,height,fadetime,intro,crossfade,delay,name2,focus,options,values,references,a,r,g,b,block,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,channel,loop,widgetID,style,fadestyle,offsetx,xstrength,ystrength,vibrato,randomness,fadeout,option_number,index,text,jp_text,jp_name,text_match
name,抱歉，我需要插一句。,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,抱歉，我需要插一句。,すみません、一言挟ませていただきます。,チェン,True
name,关于龙门的防卫情报，龙门近卫局方面比罗德岛更了解。对于整合运动的渗透，也已经做了相应准备。,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47,关于龙门的防卫情报，龙门近卫局方面比罗德岛更了解。对于整合运动的渗透，也已经做了相应准备。,龍門の防衛情報については、近衛局側がロドスよりも詳しく把握しています。統合運動の浸透にもすでに対応準備を進めています。,チェン,True
name,只是龙门目前没有将相关机密行动的方针通知罗德岛的义务。,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,48,只是龙门目前没有将相关机密行动的方针通知罗德岛的义务。,ただし、龍門には現在、関連する極秘行動の方針をロドスに知らせる義務はありません。,チェン,True
character,,,,,char_003_kalts_1,,,,,,,,,,char_2005_weiyw_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,49,,,,False
name,......,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,......,……,ウェイ・イェンウ,True
name,凯尔希小姐，请继续说。,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,凯尔希小姐，请继续说。,ケルシーさん、続けてください。,ウェイ・イェンウ,True
character,,,,,char_003_kalts_1,,,,,,,,,,char_2005_weiyw_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,,,,False
name,龙门的确有对付手无寸铁的感染者的经验，但恐怕龙门目前没有面对集团化感染者暴徒的经验，这可能会让龙门造成不必要的损失。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,53,龙门的确有对付手无寸铁的感染者的经验，但恐怕龙门目前没有面对集团化感染者暴徒的经验，这可能会让龙门造成不必要的损失。,龍門には確かに非武装の感染者を対処する経験はありますが、集団化した感染者の暴徒に対する経験は恐らくありません。それによって、不要な損失を招く可能性があります。,ケルシー,True
name,以罗德岛目前的经验来说————只有感染者，才能更好对抗感染者。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54,以罗德岛目前的经验来说————只有感染者，才能更好对抗感染者。,ロドスの現在の経験から言えば――感染者には、感染者でしかうまく対抗できません。,ケルシー,True
character,,,,,char_2005_weiyw_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,55,,,,False
name,那么，罗德岛是否已经从针对整合运动的行动中获得了有效的经验？,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,56,那么，罗德岛是否已经从针对整合运动的行动中获得了有效的经验？,では、ロドスは統合運動に対する行動から有効な経験を得たのですか？,ウェイ・イェンウ,True
blocker,,,,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,,0,57,,,,False
image,,,,,,,,bg_0_rhodes2,,,0,,,,,,,,,,,,,,0,0,1.2,1.2,,,,,,,,,,,,,,,,,,,,,0,58,,,,False
imagetween,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,0,-0,0,0,1.2,1.2,1,1,27,,,,,,,,,,,,0,59,,,,False
blocker,,,,,,,,,,,0.6,,,,,,,,,0,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,0,60,,,,False
character,,,,,char_003_kalts_1,,,,,,,,,,char_2005_weiyw_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,61,,,,False
name,仅仅是有而已，大概是不敢自称专家的。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,62,仅仅是有而已，大概是不敢自称专家的。,あるにはありますが、自分たちが専門家だとはとても言えません。,ケルシー,True
character,,,,,char_003_kalts_1,,,,,,,,,,char_2005_weiyw_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,63,,,,False
charactercutin,,,,,char_2005_weiyw_1,,,,200,,0.5,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,1,cutin,horiz_expand_center,300,,,,,,0,64,,,,False
name,哦——？,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,65,哦——？,おお――？,ウェイ・イェンウ,True
name,我听说，罗德岛曾卷入过切尔诺伯格事件，并且从中也获得了不少整合运动的其他情报。,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,66,我听说，罗德岛曾卷入过切尔诺伯格事件，并且从中也获得了不少整合运动的其他情报。,聞くところによると、ロドスはチェルノボーグ事件に関わり、そこから多くの統合運動の他の情報も得たそうですね。,ウェイ・イェンウ,True
charactercutin,,,,,,,,,,,0.5,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,1,,,,,,,,,0,67,,,,False
character,,,,,char_003_kalts_1,,,,,,,,,,char_2005_weiyw_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,68,,,,False
charactercutin,,,,,char_003_kalts_1,,,,200,,0.5,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,1,cutin,horiz_expand_center,-300,,,,,,0,69,,,,False
name,无论魏先生是从哪里得到这条消息的——,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70,无论魏先生是从哪里得到这条消息的——,ウェイさんがどこからその情報を得たとしても――,ケルシー,True
name,这都不是现阶段能与龙门交换的信息。这只是履历，只是站在这里与魏先生交谈的资格。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,71,这都不是现阶段能与龙门交换的信息。这只是履历，只是站在这里与魏先生交谈的资格。,これは現段階で龍門と交換できる情報ではありません。これはただの経歴であり、ここでウェイさんと話す資格にしか過ぎません。,ケルシー,True
charactercutin,,,,,,,,,,,0.5,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,1,,,,,,,,,0,72,,,,False
name,决定是否要和你们进行利益交换的是龙门。如果这种程度的信息罗德岛都无法提供的话——,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,73,决定是否要和你们进行利益交换的是龙门。如果这种程度的信息罗德岛都无法提供的话——,利益交換を行うかどうか決めるのは龍門です。この程度の情報もロドスが提供できないのであれば――,ウェイ・イェンウ,True
name,呵。,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,74,呵。,フッ。,ウェイ・イェンウ,True
name,龙门将无法信任你们的真实实力。,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,75,龙门将无法信任你们的真实实力。,龍門はあなたたちの本当の実力を信頼できなくなるでしょう。,ウェイ・イェンウ,True
blocker,,,,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,,0,76,,,,False
blocker,,,,,,,,,,,0.6,,,,,,,,,0,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,0,77,,,,False
character,,,,,char_003_kalts_1,,,,,,,,,,char_2005_weiyw_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,78,,,,False
name,魏先生，我的言辞可能不够清晰。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,79,魏先生，我的言辞可能不够清晰。,ウェイさん、私の言葉足らずかもしれません。,ケルシー,True
name,不过需要强调的是——罗德岛提供的信息，本身就是用实力换来的。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80,不过需要强调的是——罗德岛提供的信息，本身就是用实力换来的。,ですが、強調しておきます――ロドスが提供する情報は、その実力で手に入れたものです。,ケルシー,True
character,,,,,char_003_kalts_1,,,,,,,,,,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,81,,,,False
name,但，无论怎样，龙门都无法信任同样是一群感染者的罗德岛。,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,82,但，无论怎样，龙门都无法信任同样是一群感染者的罗德岛。,しかし、どんなにしても、龍門は同じ感染者集団であるロドスを信用できません。,チェン,True
character,,,,,char_003_kalts_1,,,,,,,,,,char_010_chen_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,83,,,,False
name,如果陈小姐认为龙门的安危，尚不如对感染者进行盲目的惩罚来得重要————,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,84,如果陈小姐认为龙门的安危，尚不如对感染者进行盲目的惩罚来得重要————,もしチェンさんが龍門の安全よりも、感染者への盲目的な懲罰の方が大切だとお考えでしたら―――,ケルシー,True
name,那我会立刻服从本地法令，任由陈小姐逮捕我，然后在监牢里看着龙门被整合运动焚烧殆尽，默默惋惜。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,85,那我会立刻服从本地法令，任由陈小姐逮捕我，然后在监牢里看着龙门被整合运动焚烧殆尽，默默惋惜。,私は直ちに現地の法律に従い、チェンさんに逮捕されます。そして、牢獄の中から、龍門が統合運動に焼き尽くされるのを静かに悔やみます。,ケルシー,True
name,这次，龙门别无选择。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,86,这次，龙门别无选择。,今回、龍門には他に選択肢がありません。,ケルシー,True
character,,,,,char_003_kalts_1,,,,,,,,,,char_010_chen_1#5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,87,,,,False
blocker,,,,,,,,,,,0.1,,,,,,,,,0.6,1,1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,0,88,,,,False
blocker,,,,,,,,,,,0.1,,,,,,,,,0,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,0,89,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,0.5,,,,,,,10,12,15,90,true,0,90,,,,False
name,——龙门既不是因为有人出言不逊就拒绝善意的城市——,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,91,——龙门既不是因为有人出言不逊就拒绝善意的城市——,――龍門は、誰かの無礼な言動だけで善意を拒む都市ではない――,チェン,True
name,却也不是收留无用说客的慈善机构。,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,92,却也不是收留无用说客的慈善机构。,だが、役に立たない説得者を受け入れる慈善団体でもない。,チェン,True
character,,,,,char_2005_weiyw_1,,,,,,,,,,char_010_chen_1#5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,93,,,,False
name,陈警官。,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,94,陈警官。,チェン警官。,ウェイ・イェンウ,True
character,,,,,char_2005_weiyw_1,,,,,,,,,,char_010_chen_1#5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,95,,,,False
name,魏长官，让外来的感染者参与龙门的机密事务，我认为并不妥当。,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,96,魏长官，让外来的感染者参与龙门的机密事务，我认为并不妥当。,ウェイ長官、外部から来た感染者を龍門の機密事項に参加させるのは適切ではないと思います。,チェン,True
character,,,,,char_2005_weiyw_1,,,,,,,,,,char_010_chen_1#5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,97,,,,False
name,冷静些，陈警官，他们是客人。,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,98,冷静些，陈警官，他们是客人。,落ち着いて、チェン警官。彼らは客人です。,ウェイ・イェンウ,True
name,——我的客人。,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,99,——我的客人。,――私の客人です。,ウェイ・イェンウ,True
character,,,,,char_2005_weiyw_1,,,,,,,,,,char_010_chen_1#5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,,,,False
name,.....,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,101,.....,……,チェン,True
name,是。,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,102,是。,はい。,チェン,True
character,,,,,char_2005_weiyw_1,,,,,,,,,,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,103,,,,False
name,在他们违反龙门法律之前，我会容忍，长官。,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,104,在他们违反龙门法律之前，我会容忍，长官。,彼らが龍門の法律に違反するまで、私は許容します、長官。,チェン,True
character,,,,,char_2005_weiyw_1,,,,,,,,,,char_003_kalts_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,105,,,,False
name,啊，不好意思。我想起来了，有这么一句——,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,106,啊，不好意思。我想起来了，有这么一句——,ああ、すみません。思い出しました、こういう言葉がありました――,ウェイ・イェンウ,True
name,——没错，呣......,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,107,——没错，呣......,――そうだ、うーん……,ウェイ・イェンウ,True
name,我所看重的就只有一点。,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,108,我所看重的就只有一点。,私が重視するのは、ただ一点だけです。,ウェイ・イェンウ,True
name,实力。,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,109,实力。,実力。,ウェイ・イェンウ,True
name,据我所知，罗德岛也参与清剿了附近的感染者吧？,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,110,据我所知，罗德岛也参与清剿了附近的感染者吧？,私の知る限り、ロドスも近辺の感染者の掃討に参加しましたね？,ウェイ・イェンウ,True
name,陈警官，以目前确切了解的情报，罗德岛在军事力量的实力如何？,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,111,陈警官，以目前确切了解的情报，罗德岛在军事力量的实力如何？,チェン警官、現在正確に把握している情報から見て、ロドスの軍事力はどの程度ですか？,ウェイ・イェンウ,True
character,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,112,,,,False
name,......请容我简要描述一下我所见的罗德岛的行动情况。,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,113,......请容我简要描述一下我所见的罗德岛的行动情况。,……ロドスの行動状況について、簡単に説明させてください。,チェン,True
name,——详情如下——,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,114,——详情如下——,――詳細は以下の通りです――,チェン,True
stopsound,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,115,,,,False
delay,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,0,117,,,,False
