command,text_orig,key,is_skippable,fit_mode,image,width,height,screenadapt,fadetime,intro,volume,crossfade,delay,name,time,widgetID,style,fadestyle,offsetx,block,name2,focus,options,values,references,a,r,g,b,x,y,xScale,yScale,option_number,index,text,jp_text,jp_name,text_match
predicate,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,,,0,17,,,,False
character,,,,,,,,,,,,,,char_empty,,,,,,,char_002_amiya_1#1,1,,,,,,,,,,,,0,18,,,,False
name,博士——,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,19,博士——,ドクター——,魏彦吾,True
name,有一张错综复杂的无形巨网，覆盖了整片大地。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,20,有一张错综复杂的无形巨网，覆盖了整片大地。,複雑に絡み合った巨大な見えない網が、この大地全体を覆っている。,魏彦吾,True
name,没有任何一个城邦能和这片大地脱开干系、在阴谋诡局中独善其身，何况是夹在数个庞然巨物之间的这里。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,21,没有任何一个城邦能和这片大地脱开干系、在阴谋诡局中独善其身，何况是夹在数个庞然巨物之间的这里。,この大地と無関係で、陰謀の渦中で無傷でいられる都市国家など存在しない。ましてや巨大勢力に挟まれたここではなおさらだ。,魏彦吾,True
name,你也许意识到了，也许没有。但至少，我是必须要考虑这些问题的那个人。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,22,你也许意识到了，也许没有。但至少，我是必须要考虑这些问题的那个人。,あなたは気づいているかもしれないし、いないかもしれない。しかし少なくとも、私はこれらの問題を考えなければならない立場だ。,魏彦吾,True
character,,,,,,,,,,,,,,char_empty,,,,,,,char_002_amiya_1#7,2,,,,,,,,,,,,0,23,,,,False
name,如果魏长官想要任务更顺利地执行，本就应该和我们分享信息。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,0,24,如果魏长官想要任务更顺利地执行，本就应该和我们分享信息。,魏長官が任務をもっと円滑に進めたいなら、私たちと情報を共有すべきです。,アーミヤ,True
name,至少必要的那些，我该知道。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,0,25,至少必要的那些，我该知道。,少なくとも必要な情報は、私にも知る権利があります。,アーミヤ,True
character,,,,,,,,,,,,,,char_empty,,,,,,,char_002_amiya_1#7,1,,,,,,,,,,,,0,26,,,,False
name,再次向你道歉，阿米娅小姐。我的位置迫使我不能把情报全盘披露。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,27,再次向你道歉，阿米娅小姐。我的位置迫使我不能把情报全盘披露。,改めて申し訳ありません、アーミヤさん。私の立場上、すべての情報を明かすことはできません。,魏彦吾,True
name,如果你处在我的位置上，你也会做出相同的选择。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,28,如果你处在我的位置上，你也会做出相同的选择。,もしあなたが私の立場なら、同じ選択をするでしょう。,魏彦吾,True
name,切城废城的行动不甚圆满，但至少你们取得了相应的战果。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,29,切城废城的行动不甚圆满，但至少你们取得了相应的战果。,切城廃墟での行動は完全とはいかなかったが、少なくともあなたたちは相応の成果を得た。,魏彦吾,True
character,,,,,,,,,,,,,,char_empty,,,,,,,char_017_homura_3#1,2,,,,,,,,,,,,0,30,,,,False
name,你让我们吸引整合运动的注意力。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,0,31,你让我们吸引整合运动的注意力。,あなたは私たちに整合運動の注意を引きつけさせた。,ホシグマ,True
character,,,,,,,,,,,,,,char_empty,,,,,,,char_017_homura_3#1,1,,,,,,,,,,,,0,32,,,,False
name,错了，龙门近卫局本也与你们一起。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,33,错了，龙门近卫局本也与你们一起。,違う、龍門近衛局も本来は君たちと一緒だった。,魏彦吾,True
decision,你利用我们所有人做诱饵。,,,,,,,,,,,,,,,,,,,,,,你利用我们所有人做诱饵。,1,,,,,,,,,,1,34,你利用我们所有人做诱饵。,あなたは私たち全員をおとりに利用した。,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,35,,,,False
name,哦？,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,36,哦？,おや？,魏彦吾,True
blocker,,,,,,,,,0.6,,,,,,,,,,,true,,,,,,1,0,0,0,,,,,0,37,,,,False
charactercutin,,,,,,,,,,,,,,,,1,,,,true,,,,,,,,,,,,,,0,38,,,,False
blocker,,,,,,,,,0.5,,,,,,,,,,,true,,,,,,0,,,,,,,,0,39,,,,False
name,这一切他早就勾画好了。,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,40,这一切他早就勾画好了。,これら全ては彼がすでに描いていた計画だ。,ケルシー,True
name,时间越长，渗透越深，他要当机立断。,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,41,时间越长，渗透越深，他要当机立断。,時間が経つほど潜入は深まる、彼は即断を下す必要があった。,ケルシー,True
blocker,,,,,,,,,0.6,,,,,,,,,,,true,,,,,,1,0,0,0,,,,,0,42,,,,False
background,,,,,bg_rooftop,1,1,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,,,,False
blocker,,,,,,,,,0.5,,,,,,,,,,,true,,,,,,0,,,,,,,,0,44,,,,False
decision,在最关键的时刻、在整合运动最躁动的时刻,,,,,,,,,,,,,,,,,,,,,,在最关键的时刻、在整合运动最躁动的时刻,1,,,,,,,,,,1,45,在最关键的时刻、在整合运动最躁动的时刻,最も重要な瞬間、整合運動が最も騒然となる時に,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,46,,,,False
decision,让罗德岛去吸引他们。,,,,,,,,,,,,,,,,,,,,,,让罗德岛去吸引他们。,1,,,,,,,,,,1,47,让罗德岛去吸引他们。,ロドスに彼らを引きつけさせた。,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,48,,,,False
blocker,,,,,,,,,0.6,,,,,,,,,,,true,,,,,,1,0,0,0,,,,,0,49,,,,False
blocker,,,,,,,,,0.5,,,,,,,,,,,true,,,,,,0,,,,,,,,0,50,,,,False
name,顺便让整合运动觉得近卫局孤身在外——,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,51,顺便让整合运动觉得近卫局孤身在外——,ついでに整合運動に近衛局が孤立していると思わせて——,ケルシー,True
blocker,,,,,,,,,0.6,,,,,,,,,,,true,,,,,,1,0,0,0,,,,,0,52,,,,False
background,,,,,bg_rooftop,1,1,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,0,53,,,,False
blocker,,,,,,,,,0.5,,,,,,,,,,,true,,,,,,0,,,,,,,,0,54,,,,False
decision,——让他们的领袖觉得龙门内部空虚。,,,,,,,,,,,,,,,,,,,,,,——让他们的领袖觉得龙门内部空虚。,1,,,,,,,,,,1,55,——让他们的领袖觉得龙门内部空虚。,——そのリーダーに龍門内部が手薄だと思わせる。,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,56,,,,False
charactercutin,,,,,,200,,,0.5,,,,,char_2005_weiyw_1,,1,cutin,horiz_expand_center,-300,true,,,,,,,,,,,,,,0,57,,,,False
character,,,,,,,,,,,,,,char_empty,,,,,,,char_017_homura_3#1,2,,,,,,,,,,,,0,58,,,,False
name,哈，说得好，博士！长官，你当然需要我们拖住整合运动，越多越好，对吗？,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,0,59,哈，说得好，博士！长官，你当然需要我们拖住整合运动，越多越好，对吗？,はは、いいぞドクター！長官、あなたはもちろんできるだけ多く整合運動を引き止めたかったんだろ？,ホシグマ,True
name,看到龙门是这种情况，潜伏的整合运动肯定觉得自己有机会。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,0,60,看到龙门是这种情况，潜伏的整合运动肯定觉得自己有机会。,龍門がこうなっているのを見て、潜伏していた整合運動はきっと自分たちにチャンスがあると思ったはずだ。,ホシグマ,True
name,从藏身处倾巢而出的整合运动，等着他们的，啧啧，竟然是龙门不知道从哪里搬出来的精兵良将。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,0,61,从藏身处倾巢而出的整合运动，等着他们的，啧啧，竟然是龙门不知道从哪里搬出来的精兵良将。,隠れていた整合運動が一斉に現れたが、待っていたのはどこから現れたのかわからない龍門の精鋭たちだった。,ホシグマ,True
name,你们龙门是从什么时候开始隐藏实力的？是不是切尔诺伯格事件发生的那一天，你就在准备这些了？,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,0,62,你们龙门是从什么时候开始隐藏实力的？是不是切尔诺伯格事件发生的那一天，你就在准备这些了？,君たち龍門はいつから実力を隠していた？チェルノボーグ事件が起こったその日から、これを準備していたんじゃないか？,ホシグマ,True
character,,,,,,,,,,,,,,char_empty,,,,,,,char_017_homura_3#1,1,,,,,,,,,,,,0,63,,,,False
name,龙门保证了你们的安全，也促使你们回到了你们足以发挥价值的位置。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,64,龙门保证了你们的安全，也促使你们回到了你们足以发挥价值的位置。,龍門は君たちの安全を保証し、君たちが力を発揮できる場所に戻るよう促した。,魏彦吾,True
character,,,,,,,,,,,,,,char_empty,,,,,,,char_017_homura_3#1,2,,,,,,,,,,,,0,65,,,,False
name,你把阿米娅丢在废城，让整合运动那么多人围攻我们罗德岛，也是你讲的这个什么位置？,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,0,66,你把阿米娅丢在废城，让整合运动那么多人围攻我们罗德岛，也是你讲的这个什么位置？,アーミヤを廃城に放り出し、整合運動の大勢を私たちロドスにけしかけたのも、あなたが言う“この立場”なのか？,ホシグマ,True
character,,,,,,,,,,,,,,char_empty,,,,,,,char_017_homura_3#1,1,,,,,,,,,,,,0,67,,,,False
name,我只是希望罗德岛能理解我们必须共同面对的艰难处境。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,68,我只是希望罗德岛能理解我们必须共同面对的艰难处境。,私はロドスに、私たちが共に直面しなければならない困難な状況を理解してほしいだけです。,魏彦吾,True
character,,,,,,,,,,,,,,char_empty,,,,,,,char_002_amiya_1#1,2,,,,,,,,,,,,0,69,,,,False
name,"煌小姐，博士,不必了。",,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,0,70,"煌小姐，博士,不必了。",ホシグマさん、ドクター、もう結構です。,アーミヤ,True
name,诗怀雅小姐和我们一起击退了整合运动的追兵，龙门没有放弃我们。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,0,71,诗怀雅小姐和我们一起击退了整合运动的追兵，龙门没有放弃我们。,シーウァイアさんも私たちと一緒に整合運動の追っ手を撃退しました。龍門は私たちを見捨ててはいません。,アーミヤ,True
name,（我们没有证据。）,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,0,72,（我们没有证据。）,（私たちには証拠がありません。）,アーミヤ,True
character,,,,,,,,,,,,,,char_empty,,,,,,,char_017_homura_3#1,2,,,,,,,,,,,,0,73,,,,False
name,嘁。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,0,74,嘁。,チッ。,ホシグマ,True
character,,,,,,,,,,,,,,char_empty,,,,,,,char_002_amiya_1#1,1,,,,,,,,,,,,0,75,,,,False
name,我们的合约依旧有效。无论中途发生了什么，只有结果才能让我满意。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,76,我们的合约依旧有效。无论中途发生了什么，只有结果才能让我满意。,私たちの契約は依然有効です。途中で何が起きても、結果だけが私を満足させるのです。,魏彦吾,True
name,无论中途发生了什么。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,77,无论中途发生了什么。,途中で何が起きようとも。,魏彦吾,True
name,罗德岛的博士，上次我们见面时，我用同样的方式表达过同样的意思。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,78,罗德岛的博士，上次我们见面时，我用同样的方式表达过同样的意思。,ロドスのドクター、前回お会いしたときも同じように伝えたはずです。,魏彦吾,True
name,你的选择不多。但至少你可以选择消灭敌人的方式。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,79,你的选择不多。但至少你可以选择消灭敌人的方式。,選択肢は多くない。しかし、少なくとも敵を倒す方法は選べるでしょう。,魏彦吾,True
decision,我不信你和你的鬼话。,,,,,,,,,,,,,,,,,,,,,,我不信你和你的鬼话。;......;没有人会在被愚弄了之后依然笑脸迎人的。,1;2;3,,,,,,,,,,3,80,我不信你和你的鬼话。,私はあなたの言葉も、あなた自身も信じない。,,True
decision,......,,,,,,,,,,,,,,,,,,,,,,我不信你和你的鬼话。;......;没有人会在被愚弄了之后依然笑脸迎人的。,1;2;3,,,,,,,,,,3,81,......,……,,True
decision,没有人会在被愚弄了之后依然笑脸迎人的。,,,,,,,,,,,,,,,,,,,,,,我不信你和你的鬼话。;......;没有人会在被愚弄了之后依然笑脸迎人的。,1;2;3,,,,,,,,,,3,82,没有人会在被愚弄了之后依然笑脸迎人的。,騙された後で笑顔で迎える者などいない。,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,83,,,,False
name,那当然好。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,84,那当然好。,それはもちろん、良いことです。,魏彦吾,True
name,我们都该保持警醒，大敌当前时不该有人松懈。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,85,我们都该保持警醒，大敌当前时不该有人松懈。,誰もが油断せず、強大な敵を前にして常に警戒すべきだ。,魏彦吾,True
name,你的戒备心能促使你规避陷阱。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,86,你的戒备心能促使你规避陷阱。,君の警戒心は、罠を避ける助けになる。,魏彦吾,True
name,听我一言，博士——,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,87,听我一言，博士——,私の一言を聞いてください、ドクター——,魏彦吾,True
name,——我们虽然还不是朋友，却至少还不是敌人。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,88,——我们虽然还不是朋友，却至少还不是敌人。,——私たちはまだ友人ではありませんが、少なくとも敵でもありません。,魏彦吾,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,0,89,,,,False
name,沉默以对吗。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,90,沉默以对吗。,沈黙で返すか。,魏彦吾,True
name,优秀的判断。你在掩藏你的缺点，也在发挥你的优势。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,91,优秀的判断。你在掩藏你的缺点，也在发挥你的优势。,優れた判断だ。君は自分の弱点を隠し、長所を発揮している。,魏彦吾,True
name,罗德岛是强大的合作伙伴，我在这次事件中已经认可了这一点。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,92,罗德岛是强大的合作伙伴，我在这次事件中已经认可了这一点。,ロドスは強力なパートナーだと、今回の事件で私は認識した。,魏彦吾,True
name,前提是，我们确实还是伙伴关系，而不是非法感染者与地方当局。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,93,前提是，我们确实还是伙伴关系，而不是非法感染者与地方当局。,前提として、我々の関係は今もまだパートナーであり、違法感染者と地方当局の関係ではない。,魏彦吾,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0,94,,,,False
name,我无意愚弄任何人。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,95,我无意愚弄任何人。,私は誰も欺くつもりはない。,魏彦吾,True
name,啊，客观结果上，我可能确实愚弄了整合运动。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,96,啊，客观结果上，我可能确实愚弄了整合运动。,ああ、結果的には確かに私は整合運動を騙したかもしれない。,魏彦吾,True
name,但这一切都是无法被证明的。整合运动可能同样也握住了我们的把柄。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,97,但这一切都是无法被证明的。整合运动可能同样也握住了我们的把柄。,しかしそれを証明することはできない。整合運動もまた私たちの弱みを握っているかもしれません。,魏彦吾,True
name,我们只能在他们有足够能力认清我们的策略之前，掐灭他们。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,98,我们只能在他们有足够能力认清我们的策略之前，掐灭他们。,彼らが私たちの策略に気付く前に、私たちは彼らを潰すしかない。,魏彦吾,True
name,这个目标是否能让你找到一点动力？,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,99,这个目标是否能让你找到一点动力？,この目標が、君に少しでも動機を与えられるか？,魏彦吾,True
name,阿米娅小姐，博士，你们和龙门之间的合作并未结束。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,100,阿米娅小姐，博士，你们和龙门之间的合作并未结束。,アーミヤさん、ドクター、あなたたちと龍門の協力関係は終わっていません。,魏彦吾,True
name,反攻的号角已经吹响，整合运动将见识龙门的广大、善谋与团结。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,101,反攻的号角已经吹响，整合运动将见识龙门的广大、善谋与团结。,反撃の号角はすでに鳴った。整合運動は龍門の広大さ、知謀、団結力を思い知るだろう。,魏彦吾,True
name,如果可能的话，我也想看到罗德岛的专业、果敢与勇猛。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,102,如果可能的话，我也想看到罗德岛的专业、果敢与勇猛。,もし可能なら、ロドスの専門性、果断さ、そして勇猛さも見たいものです。,魏彦吾,True
name,一刻钟之后，陈警官会继续协同你们作战。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,103,一刻钟之后，陈警官会继续协同你们作战。,15分後、チェン警官が引き続きあなたたちと共に戦います。,魏彦吾,True
character,,,,,,,,,,,,,,char_empty,,,,,,,char_002_amiya_1#7,2,,,,,,,,,,,,0,104,,,,False
name,魏先生，不要忘记自己说过的话。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,0,105,魏先生，不要忘记自己说过的话。,魏さん、ご自分の言葉をお忘れなく。,アーミヤ,True
name,罗德岛不会忘记。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,0,106,罗德岛不会忘记。,ロドスも忘れません。,アーミヤ,True
character,,,,,,,,,,,,,,char_empty,,,,,,,char_002_amiya_1#7,1,,,,,,,,,,,,0,107,,,,False
name,自然。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,108,自然。,もちろんです。,魏彦吾,True
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,0,109,,,,False
charactercutin,,,,,,,,,0.5,,,,,,,1,,,,true,,,,,,,,,,,,,,0,110,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,,,,,,,0,111,,,,False
name,煌，博士，我们走。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,0,112,煌，博士，我们走。,ホシグマ、ドクター、行きましょう。,アーミヤ,True
name,啊，对了陈长官，星熊警官呢？我为什么没在这看见她，她......没事吧？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,0,113,啊，对了陈长官，星熊警官呢？我为什么没在这看见她，她......没事吧？,ああ、そうだチェン長官、ホシグマ警官は？ここで見かけませんが、彼女……大丈夫ですか？,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,char_010_chen_1#1,2,,,,,,,,,,,,0,114,,,,False
name,星熊她受了点伤，但没什么大碍。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,0,115,星熊她受了点伤，但没什么大碍。,ホシグマは少しけがをしましたが、大したことはありません。,チェン,True
character,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,char_010_chen_1#1,1,,,,,,,,,,,,0,116,,,,False
name,这样啊......我知道了。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,0,117,这样啊......我知道了。,そうですか……わかりました。,アーミヤ,True
name,陈长官，罗德岛也可以帮你检查一下伤势，做一些应急处理。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,0,118,陈长官，罗德岛也可以帮你检查一下伤势，做一些应急处理。,チェン長官、ロドスでも怪我の検査や応急処置をお手伝いできますよ。,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,char_010_chen_1#1,2,,,,,,,,,,,,0,119,,,,False
name,不用了。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,0,120,不用了。,結構です。,チェン,True
character,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,char_010_chen_1#1,1,,,,,,,,,,,,0,121,,,,False
name,不用有什么顾忌，罗德岛的医疗检查是全程保密的。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,0,122,不用有什么顾忌，罗德岛的医疗检查是全程保密的。,遠慮しないでください。ロドスの医療検査は完全に守秘されます。,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,char_010_chen_1#1,2,,,,,,,,,,,,0,123,,,,False
name,我简单处理一下就行。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,0,124,我简单处理一下就行。,自分で簡単に処置します。,チェン,True
character,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,char_010_chen_1#1,1,,,,,,,,,,,,0,125,,,,False
name,嗯......我就不勉强陈长官了，如果你这么坚持的话。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,0,126,嗯......我就不勉强陈长官了，如果你这么坚持的话。,うーん…… そこまでおっしゃるなら、チェン長官を無理には引き止めません。,アーミヤ,True
name,那，陈长官，一会儿见。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,0,127,那，陈长官，一会儿见。,では、チェン長官、また後で。,アーミヤ,True
character,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,,,,,,0,128,,,,False
name,......,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,0,129,......,……,チェン,True
blocker,,,,,,,,,3,,,,,,,,,,,true,,,,,,1,0,0,0,,,,,0,130,,,,False
background,,,,,bg_lungmen_o,1,1,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,0,131,,,,False
blocker,,,,,,,,,3,,,,,,,,,,,true,,,,,,0,,,,,,,,0,132,,,,False
name,05:00 A.M.   天气/晴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,133,05:00 A.M.   天气/晴,午前5時 天気/晴れ,,True
name,龙门上城区，行政长官办事处,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,134,龙门上城区，行政长官办事处,龍門上城区、行政長官執務室,,True
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,0,135,,,,False
charactercutin,,,,,,200,,,0.5,,,,,char_308_swire_1#5,,1,cutin,horiz_expand_center,-300,true,,,,,,,,,,,,,,0,136,,,,False
name,魏大人，你那里还顺利吗？,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,,,0,137,魏大人，你那里还顺利吗？,魏殿、そちらは順調ですか？,シーウァイア,True
character,,,,,,,,,,,,,,char_empty,,,,,,,char_2005_weiyw_1,2,,,,,,,,,,,,0,138,,,,False
name,自然，否则我也没机会和各位在这里闲谈。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,139,自然，否则我也没机会和各位在这里闲谈。,もちろんです。そうでなければ、ここで皆さんと話す余裕もありません。,魏彦吾,True
character,,,,,,,,,,,,,,char_empty,,,,,,,char_2005_weiyw_1,1,,,,,,,,,,,,0,140,,,,False
name,他们答应会暂缓行动的步调？,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,,,0,141,他们答应会暂缓行动的步调？,彼らは行動を一時停止すると約束したのですか？,シーウァイア,True
character,,,,,,,,,,,,,,char_empty,,,,,,,char_2005_weiyw_1,2,,,,,,,,,,,,0,142,,,,False
