command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,image,x,y,xScale,yScale,fadetime,time,name,a,r,g,b,block,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,name2,focus,options,values,references,initr,Delay,option_number,index,text,jp_text,jp_name,text_match
blocker,,,,,,,,,,,,,,1,,,0,,,,true,,,,,,,,,,,,,,,,,0,22,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,,,,,,,,,,,0,23,,,,False
name,怎么回事......？！为什么，为什么整合运动会......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,24,怎么回事......？！为什么，为什么整合运动会......,どういうこと……？！なんで、なんでレユニオンが……,アーミヤ,True
character,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,0,25,,,,False
name,遮遮掩掩这么多年，还是露出本性了吗？,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,0,26,遮遮掩掩这么多年，还是露出本性了吗？,長年隠してきて、ついに本性を現したか？,ドーベルマン,True
character,,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,,,,,,,,,,,,,,0,27,,,,False
name,感，感染者......在袭击乌萨斯人......,,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,0,28,感，感染者......在袭击乌萨斯人......,か、感染者が……ウルサス人を襲って……,医療オペレーター,True
character,,,,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,,,,,,,,,,0,29,,,,False
name,为，为什么！感染者这样去骚扰乌萨斯政府的话，会死无葬身之地的......！,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,0,30,为，为什么！感染者这样去骚扰乌萨斯政府的话，会死无葬身之地的......！,な、なんでだ！感染者がウルサス政府をこんなに刺激したら、もう逃げ場はなくなるのに……！,前衛オペレーター,True
character,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,0,31,,,,False
name,不，他们的攻势相当猛烈。这绝对是有预谋的行动。,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,0,32,不，他们的攻势相当猛烈。这绝对是有预谋的行动。,いや、奴らの攻撃はかなり激しい。これは間違いなく計画的な行動だ。,ドーベルマン,True
name,之前我们救出博士的位置，相当机密......就连那里都被他们渗入了。,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,0,33,之前我们救出博士的位置，相当机密......就连那里都被他们渗入了。,先にドクターを救出した場所はかなり機密だった……そこまで奴らに infiltrate されているとは。,ドーベルマン,True
name,可能切尔诺伯格各处，都已经遭到了整合运动的袭击。,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,0,34,可能切尔诺伯格各处，都已经遭到了整合运动的袭击。,おそらく、チェルノボーグ各地がすでにレユニオンの攻撃を受けているかもしれん。,ドーベルマン,True
character,,,,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,,,,,,,,,,0,35,,,,False
name,啊......这，怎么会......,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,0,36,啊......这，怎么会......,あぁ……どうして、こんなことに……,前衛オペレーター,True
character,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,0,37,,,,False
name,嘘！,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,38,嘘！,しっ！,アーミヤ,True
stopmusic,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0,39,,,,False
blocker,,,,,,,,,,,,,,0.6,,,1,0,0,0,true,,,,,,,,,,,,,,,,,0,40,,,,False
blocker,,,,,,,,,,,,,,0.6,,,0,,,,true,,,,,,,,,,,,,,,,,0,41,,,,False
name,还有逃脱的切尔诺伯格人吗？,,,,,,,,,,,,,,,整合运动成员A,,,,,,,,,,,,,,,,,,,,,,0,42,还有逃脱的切尔诺伯格人吗？,まだ逃げたチェルノボーグ人はいるか？,レユニオンメンバーA,True
name,我在搜！,,,,,,,,,,,,,,,整合运动成员B,,,,,,,,,,,,,,,,,,,,,,0,43,我在搜！,探している！,レユニオンメンバーB,True
name,一个也别漏掉！,,,,,,,,,,,,,,,整合运动成员A,,,,,,,,,,,,,,,,,,,,,,0,44,一个也别漏掉！,一人残らず捕まえろ！,レユニオンメンバーA,True
name,切尔诺伯格的冷血动物......刻在我父辈身上的痛苦，这次，就让我全都还给你们！,,,,,,,,,,,,,,,整合运动成员A,,,,,,,,,,,,,,,,,,,,,,0,45,切尔诺伯格的冷血动物......刻在我父辈身上的痛苦，这次，就让我全都还给你们！,チェルノボーグの冷酷な奴らめ……俺の親たちが受けた苦しみを、今度こそ全部返してやる！,レユニオンメンバーA,True
blocker,,,,,,,,,,,,,,0.6,,,1,0,0,0,true,,,,,,,,,,,,,,,,,0,46,,,,False
blocker,,,,,,,,,,,,,,0.6,,,0,,,,true,,,,,,,,,,,,,,,,,0,47,,,,False
character,,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,,,,,,,,,,,,,,0,48,,,,False
name,（咳......）,,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,0,49,（咳......）,（ゴホッ……）,医療オペレーター,True
name,什么声音？,,,,,,,,,,,,,,,整合运动成员A,,,,,,,,,,,,,,,,,,,,,,0,50,什么声音？,今の音は何だ？,レユニオンメンバーA,True
name,在那里！,,,,,,,,,,,,,,,整合运动成员B,,,,,,,,,,,,,,,,,,,,,,0,51,在那里！,あそこだ！,レユニオンメンバーB,True
playmusic,,$calamity_loop,,,$calamity_intro,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,,,,False
character,,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,,,,,,,,,,,,,,0,53,,,,False
name,（唔！）,,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,0,54,（唔！）,（うっ！）,医療オペレーター,True
name,（他，他们，发......）,,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,0,55,（他，他们，发......）,（か、彼らが……）,医療オペレーター,True
character,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,0,56,,,,False
name,（安静！）,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,0,57,（安静！）,（静かに！）,ドーベルマン,True
character,,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,,,,,,,,,,,,,,0,58,,,,False
name,（唔......！）,,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,0,59,（唔......！）,（うぅ……！）,医療オペレーター,True
blocker,,,,,,,,,,,,,,0.6,,,1,0,0,0,true,,,,,,,,,,,,,,,,,0,60,,,,False
blocker,,,,,,,,,,,,,,0.6,,,0,,,,true,,,,,,,,,,,,,,,,,0,61,,,,False
delay,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,62,,,,False
character,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,,,,0,63,,,,False
delay,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,0,64,,,,False
blocker,,,,,,,,,,,,,,0.6,,,1,0,0,0,true,,,,,,,,,,,,,,,,,0,65,,,,False
blocker,,,,,,,,,,,,,,0.6,,,0,,,,true,,,,,,,,,,,,,,,,,0,66,,,,False
name,......呜......,,,,,,,,,,,,,,,女性,,,,,,,,,,,,,,,,,,,,,,0,67,......呜......,……うぅ……,女性,True
blocker,,,,,,,,,,,,,,0.6,,,1,0,0,0,true,,,,,,,,,,,,,,,,,0,68,,,,False
background,,,,,,,,,bg_cher_1,0,20,1.1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,0,69,,,,False
blocker,,,,,,,,,,,,,,0.6,,,0,,,,true,,,,,,,,,,,,,,,,,0,70,,,,False
name,在这儿！找到了！,,,,,,,,,,,,,,,整合运动成员A,,,,,,,,,,,,,,,,,,,,,,0,71,在这儿！找到了！,ここだ！見つけたぞ！,レユニオンメンバーA,True
name,......呜哇哇哇！！！,,,,,,,,,,,,,,,女性,,,,,,,,,,,,,,,,,,,,,,0,72,......呜哇哇哇！！！,……うわあああ！！！,女性,True
name,啊！不，别......,,,,,,,,,,,,,,,女性,,,,,,,,,,,,,,,,,,,,,,0,73,啊！不，别......,あっ！やめて、やめて……,女性,True
name,......！,,,,,,,,,,,,,,,整合运动成员B,,,,,,,,,,,,,,,,,,,,,,0,74,......！,……！,レユニオンメンバーB,True
name,躲在巷子里？,,,,,,,,,,,,,,,整合运动成员B,,,,,,,,,,,,,,,,,,,,,,0,75,躲在巷子里？,路地裏に隠れていたのか？,レユニオンメンバーB,True
name,出来。,,,,,,,,,,,,,,,整合运动成员B,,,,,,,,,,,,,,,,,,,,,,0,76,出来。,出てこい。,レユニオンメンバーB,True
name,啊，啊啊......！,,,,,,,,,,,,,,,女性,,,,,,,,,,,,,,,,,,,,,,0,77,啊，啊啊......！,あ、ああ……！,女性,True
name,躲在那里，就有用吗......,,,,,,,,,,,,,,,整合运动成员B,,,,,,,,,,,,,,,,,,,,,,0,78,躲在那里，就有用吗......,そこに隠れていても無駄だぞ……,レユニオンメンバーB,True
name,对，对不起！对不起啊！！至少，至少饶了我的儿子！！,,,,,,,,,,,,,,,女性,,,,,,,,,,,,,,,,,,,,,,0,79,对，对不起！对不起啊！！至少，至少饶了我的儿子！！,ご、ごめんなさい！ごめんなさい！！せめて、せめて息子だけは許して！！,女性,True
name,......,,,,,,,,,,,,,,,整合运动成员B,,,,,,,,,,,,,,,,,,,,,,0,80,......,……,レユニオンメンバーB,True
blocker,,,,,,,,,,,,,,0.6,,,1,0,0,0,true,,,,,,,,,,,,,,,,,0,81,,,,False
blocker,,,,,,,,,,,,,,0.6,,,0,,,,true,,,,,,,,,,,,,,,,,0,82,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,0,83,,,,False
name,......我们应该，立刻突袭整合运动。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,84,......我们应该，立刻突袭整合运动。,……私たちは、今すぐレユニオンを強襲すべきです。,アーミヤ,True
character,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,0,85,,,,False
name,......阿米娅......,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,0,86,......阿米娅......,……アーミヤ……,ドーベルマン,True
character,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,char_130_doberm_ex,1,,,,,,0,87,,,,False
name,我知道有风险，杜宾教官。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,88,我知道有风险，杜宾教官。,リスクは理解しています、ドーベルマン教官。,アーミヤ,True
name,只是，等这些整合运动解散后再行动......会耗费大量时间。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,89,只是，等这些整合运动解散后再行动......会耗费大量时间。,でも、レユニオンが解散するのを待ってから動くと……膨大な時間がかかってしまいます。,アーミヤ,True
name,何况，谁知道现在的状况，会持续到什么时候......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,90,何况，谁知道现在的状况，会持续到什么时候......,それに、今の状況がいつまで続くか誰も分かりませんし……,アーミヤ,True
name,那么，就应该迅速击溃敌人并转移。我说的，没错吧？,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,91,那么，就应该迅速击溃敌人并转移。我说的，没错吧？,なら、素早く敵を撃破して撤退すべきです。私の考え、間違っていませんよね？,アーミヤ,True
character,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,char_130_doberm_ex,2,,,,,,0,92,,,,False
name,——————,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,0,93,——————,——————,ドーベルマン,True
name,明白了，我服从你的命令。,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,0,94,明白了，我服从你的命令。,わかった、君の命令に従う。,ドーベルマン,True
character,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,0,95,,,,False
name,各小组，听好。,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,0,96,各小组，听好。,各チーム、よく聞け。,ドーベルマン,True
name,这些整合运动，还没有意识到我们的存在。,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,0,97,这些整合运动，还没有意识到我们的存在。,このレユニオンの連中は、まだ私たちの存在に気づいていない。,ドーベルマン,True
name,记住，果断、迅速地解决掉！,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,0,98,记住，果断、迅速地解决掉！,覚えておけ、決断力と迅速さで片付けるぞ！,ドーベルマン,True
name,博士，调集队伍吧，现在是你证明自己的时候了。,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,0,99,博士，调集队伍吧，现在是你证明自己的时候了。,ドクター、部隊をまとめてくれ。今こそ君の力を見せる時だ。,ドーベルマン,True
name,现在的局势，可不允许我们有所保留。,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,0,100,现在的局势，可不允许我们有所保留。,今の情勢は、一切の手加減を許さない。,ドーベルマン,True
decision,早就该交给我了！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早就该交给我了！;......;简单，我会轻松解决的。,1;2;3,,,,3,101,早就该交给我了！,最初から私に任せるべきだった！,,True
decision,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早就该交给我了！;......;简单，我会轻松解决的。,1;2;3,,,,3,102,......,......,,True
decision,简单，我会轻松解决的。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早就该交给我了！;......;简单，我会轻松解决的。,1;2;3,,,,3,103,简单，我会轻松解决的。,簡単だ、すぐに片付くよ。,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,,0,104,,,,False
character,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,0,105,,,,False
name,呵。,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,0,106,呵。,ふっ。,ドーベルマン,True
name,阿米娅，看你的了。,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,0,107,阿米娅，看你的了。,アーミヤ、頼んだぞ。,ドーベルマン,True
character,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,0,108,,,,False
name,我明白。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,109,我明白。,わかりました。,アーミヤ,True
blocker,,,,,,,,,,,,,,0.2,,,1,0,0,0,true,,,,,,,,,,,,,,,2,,0,110,,,,False
character,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,111,,,,False
background,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,112,,,,False
image,,,,,,,,,avg_1_3,0,-20,1.1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,0,113,,,,False
imagetween,,,,,,,,,,,,,,,,,,,,,false,0,-20,0,0,1.1,1.1,1,1,4,,,,,,,,0,114,,,,False
blocker,,,,,,,,,,,,,,0.5,,,0,,,,true,,,,,,,,,,,,,,,,,0,115,,,,False
delay,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0,116,,,,False
name,......“如果争端能够避免，那我们应当沉默——,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,117,......“如果争端能够避免，那我们应当沉默——,……「争いが避けられるなら、我々は沈黙するべき――,アーミヤ,True
name,——如果战斗是必要的，那就战斗到最后！”,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,118,——如果战斗是必要的，那就战斗到最后！”,――でも、戦いが必要なら、最後まで戦い抜く！」,アーミヤ,True
name,罗德岛的信条......从来没有改变过！,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,119,罗德岛的信条......从来没有改变过！,ロドスの信条……決して変わらない！,アーミヤ,True
delay,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0,120,,,,False
image,,,,,,,,,avg_1_3,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,121,,,,False
playsound,,$flashback,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,122,,,,False
imagetween,,,,,,,,,,,,,,,,,,,,,false,0,0,0,-700,1,1,8,8,1.6,,,,,,,,0,123,,,,False
playsound,,$flashback,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0,124,,,,False
playsound,,$flashback,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0,125,,,,False
delay,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0,126,,,,False
blocker,,,,,,,,,,,,,,0.3,,,1,255,255,255,true,,,,,,,,,,,,,,,,,0,127,,,,False
blocker,,,,,,,,,,,,,,0.5,,,,,,,true,,,,,,,,,,,,,,,,,0,128,,,,False
