command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,duration,xstrength,ystrength,vibrato,randomness,index,text,jp_text,jp_name,text_match
character,,,,,,,,,,,,,,char_013_riop,char_130_doberm_ex,2,,,,,,,,,,,14,,,,False
name,......,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,15,......,……,ドーベルマン,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,16,,,,False
name,我们会去确认。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,17,我们会去确认。,私たちが確認しに行きます。,アーミヤ,True
character,,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,18,,,,False
name,......啊。,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,19,......啊。,……あ。,近衛オペレーター,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,1,,,,,,,,,,,20,,,,False
name,我们要亲眼确认事件之后，才会做出揣测。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,21,我们要亲眼确认事件之后，才会做出揣测。,私たちは実際に状況を確認してから、推測を立てるべきだ。,Ace,True
name,不要用怀疑恐吓自己。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,22,不要用怀疑恐吓自己。,疑いで自分自身を怖がらせるな。,Ace,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,2,,,,,,,,,,,23,,,,False
name,明，明白了......,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,24,明，明白了......,わ、わかりました……,近衛オペレーター,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,25,,,,False
name,失去联络手段所带来的恐慌情绪，比想象中蔓延得快得多......,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,26,失去联络手段所带来的恐慌情绪，比想象中蔓延得快得多......,連絡手段を失ったことで生じるパニックは、想像以上に早く広がる……,ドーベルマン,True
name,特别是......在这个天灾仿佛近在眼前的时候。,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,27,特别是......在这个天灾仿佛近在眼前的时候。,特に……この天災がまるですぐそこに迫っている時は。,ドーベルマン,True
name,我们得赶紧加快速度了。,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,28,我们得赶紧加快速度了。,急いでスピードを上げないと。,ドーベルマン,True
blocker,,,,,,,,4,,,,,,,,,0.3,0.95,0.95,0.95,true,,,,,,29,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,,30,,,,False
name,......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,31,......,……,アーミヤ,True
name,欸......这阵雾气......？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,32,欸......这阵雾气......？,えっ……この霧は……？,アーミヤ,True
name,——难道——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,33,——难道——,——まさか——,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,34,,,,False
name,小心！！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,35,小心！！,気をつけて！！,アーミヤ,True
character,,,,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,36,,,,False
name,干掉他们。,,,,,,,,,,,,,？？？,,,,,,,,,,,,,37,干掉他们。,奴らを倒せ。,？？？,True
blocker,,,,,,,,0.02,,,,,,,,,0.7,0.95,0.95,0.95,true,,,,,,38,,,,False
playsound,,$e_atk_arrow_h,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,False
blocker,,,,,,,,0.25,,,,,,,,,0,0.95,0.95,0.95,true,,,,,,40,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,true,0.6,5,8,30,90,41,,,,False
blocker,,,,,,,,0.02,,,,,,,,,0.7,0.95,0.95,0.95,true,,,,,,42,,,,False
playsound,,$e_atk_arrow_h,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,False
blocker,,,,,,,,0.25,,,,,,,,,0,0.95,0.95,0.95,true,,,,,,44,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,true,0.6,5,8,30,90,45,,,,False
playmusic,,$calamity_loop,,,,,,,$calamity_intro,1,1.5,,,,,,,,,,,,,,,,46,,,,False
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,47,,,,False
name,敌军的射击！！,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,48,敌军的射击！！,敵の射撃だ！！,ドーベルマン,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,49,,,,False
name,这是陷阱......！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,50,这是陷阱......！,これは罠だ……！,アーミヤ,True
blocker,,,,,,,,0.3,,,,,,,,,1,0,0,0,true,,,,,,51,,,,False
blocker,,,,,,,,0.3,,,,,,,,,0,,,,true,,,,,,52,,,,False
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,53,,,,False
name,————！！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,54,————！！,————！！,レユニオンメンバー,True
character,,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,55,,,,False
name,不好，我们的后方也出现了整合运动的追兵......！,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,56,不好，我们的后方也出现了整合运动的追兵......！,まずい、後方にもレユニオンの追撃隊が現れた……！,近衛オペレーター,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,57,,,,False
name,侦查干员呢！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,58,侦查干员呢！,偵察オペレーターは？！,アーミヤ,True
character,,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,59,,,,False
name,被战场分割了！,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,60,被战场分割了！,戦場で分断されました！,近衛オペレーター,True
blocker,,,,,,,,0.3,,,,,,,,,1,0,0,0,true,,,,,,61,,,,False
blocker,,,,,,,,0.3,,,,,,,,,0,,,,true,,,,,,62,,,,False
character,,,,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,63,,,,False
name,罗德岛......,,,,,,,,,,,,,？？？,,,,,,,,,,,,,64,罗德岛......,ロドス……,？？？,True
name,追上你们了。,,,,,,,,,,,,,？？？,,,,,,,,,,,,,65,追上你们了。,追いついたぞ。,？？？,True
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,66,,,,False
name,——！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,67,——！,——！,レユニオンメンバー,True
name,杀！！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,68,杀！！,殺せ！！,レユニオンメンバー,True
character,,,,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,69,,,,False
name,这次，就让你们粉身碎骨。,,,,,,,,,,,,,？？？,,,,,,,,,,,,,70,这次，就让你们粉身碎骨。,今回は、お前たちを粉々にしてやる。,？？？,True
blocker,,,,,,,,0.3,,,,,,,,,1,0,0,0,true,,,,,,71,,,,False
blocker,,,,,,,,0.3,,,,,,,,,0,,,,true,,,,,,72,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,73,,,,False
name,杜宾！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,74,杜宾！,ドーベルマン！,アーミヤ,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,75,,,,False
name,狙击干员！压制敌人的冲锋！,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,76,狙击干员！压制敌人的冲锋！,スナイパーオペレーター！敵の突撃を制圧しろ！,ドーベルマン,True
name,重装干员，防御姿态，随时准备向前顶上！,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,77,重装干员，防御姿态，随时准备向前顶上！,重装オペレーター、防御態勢をとり、いつでも前進できるように！,ドーベルマン,True
name,Ace，准备————,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,78,Ace，准备————,Ace、準備を————,ドーベルマン,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,79,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,False
character,,,,,,,,2,,,,,,char_1507_Mephisto_1#6,,,,,,,,,,,,,81,,,,False
stopmusic,,,,,,,,2,,,,,,,,,,,,,,,,,,,82,,,,False
name,等一下，等一下——,,,,,,,,,,,,,？？？,,,,,,,,,,,,,83,等一下，等一下——,ちょっと待て、待て——,？？？,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,84,,,,False
name,？！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,85,？！,？！,アーミヤ,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#6,,,,,,,,,,,,,86,,,,False
name,在清剿了东南要塞之后，我一听到你的消息，可是立刻就赶过来了。,,,,,,,,,,,,,？？？,,,,,,,,,,,,,87,在清剿了东南要塞之后，我一听到你的消息，可是立刻就赶过来了。,東南要塞を掃討したあと、君の情報を聞いてすぐに駆けつけたんだ。,？？？,True
name,这里已经是我的处理范围咯，弑君者。,,,,,,,,,,,,,？？？,,,,,,,,,,,,,88,这里已经是我的处理范围咯，弑君者。,ここはもう私の管轄だよ、キングスレイヤー。,？？？,True
character,,,,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,89,,,,False
name,......,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,90,......,……,キングスレイヤー,True
name,你来做什么？,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,91,你来做什么？,何しに来た？,キングスレイヤー,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#6,,,,,,,,,,,,,92,,,,False
name,该把他们，交给我了吧？,,,,,,,,,,,,,？？？,,,,,,,,,,,,,93,该把他们，交给我了吧？,そろそろ、彼らを私に引き渡してもいいだろう？,？？？,True
delay,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,94,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,true,,,,,,95,,,,False
