command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,time,name,duration,xstrength,ystrength,vibrato,randomness,fadeout,a,r,g,b,block,name2,focus,delay,index,text,jp_text,jp_name,text_match
name,调两位重装干员和一位狙击干员！只要能牵制他们就足够了！,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,32,调两位重装干员和一位狙击干员！只要能牵制他们就足够了！,重装オペレーターを二人と狙撃オペレーター一人配置して！牽制できれば十分です！,アーミヤ,True
character,,,,,,,,,,,,,char_1507_Mephisto_1#1,,,,,,,,,,,,,,,33,,,,False
name,之后！h2，h6！,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,34,之后！h2，h6！,その後！h2、h6！,メフィスト,True
character,,,,,,,,,,,,,char_016_medic,,,,,,,,,,,,,,,35,,,,False
name,他们，他们在冲击我们的阵线！,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,36,他们，他们在冲击我们的阵线！,彼らが、陣線に突撃してきます！,医療オペレーター,True
character,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,37,,,,False
name,近卫干员，把敌人赶出掩体！,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,38,近卫干员，把敌人赶出掩体！,前衛オペレーター、敵を遮蔽物から追い出せ！,エース,True
character,,,,,,,,,,,,,char_1507_Mephisto_1#1,,,,,,,,,,,,,,,39,,,,False
name,没错，再让我多看一会儿，你们挣扎的样子！,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,40,没错，再让我多看一会儿，你们挣扎的样子！,そうだ、そのもがき苦しむ姿をもう少し見せてくれ！,メフィスト,True
name,现在，术师，c7，吃掉敌人的战车吧！,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,41,现在，术师，c7，吃掉敌人的战车吧！,今だ、術師、c7、敵の戦車を取れ！,メフィスト,True
character,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,42,,,,False
name,敌人的术师现身了......！之前，一直躲在重装干员身后吗！,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,43,敌人的术师现身了......！之前，一直躲在重装干员身后吗！,敵の術師が姿を現した……！今までずっと重装オペレーターの後ろに隠れていたの？,アーミヤ,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,44,,,,False
name,来不及了！趴下！,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,45,来不及了！趴下！,もう間に合わない！伏せろ！,ドーベルマン,True
blocker,,,,,,,,0.02,,,,,,,,,,,,0.7,0.95,0.95,0.95,true,,,,46,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,0,0.95,0.95,0.95,true,,,,48,,,,False
camerashake,,,,,,,,,,,,,,0.6,5,8,30,90,,,,,,true,,,,49,,,,False
blocker,,,,,,,,0.02,,,,,,,,,,,,0.7,0.95,0.95,0.95,true,,,,50,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,0,0.95,0.95,0.95,true,,,,52,,,,False
camerashake,,,,,,,,,,,,,,0.6,5,8,30,90,,,,,,true,,,,53,,,,False
delay,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,54,,,,False
character,,,,,,,,,,,,,char_016_medic,,,,,,,,,,,,,,,55,,,,False
name,呜啊啊啊！,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,56,呜啊啊啊！,うわあああ！,医療オペレーター,True
character,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,,,57,,,,False
name,咳......,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,58,咳......,げほっ……,前衛オペレーター,True
character,,,,,,,,,,,,,char_1507_Mephisto_1#5,,,,,,,,,,,,,,,59,,,,False
name,然后就去死吧，就像雨夜中的火星一样！,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,60,然后就去死吧，就像雨夜中的火星一样！,そして死ぬがいい、雨夜の火花のように！,メフィスト,True
character,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,61,,,,False
name,他，是在指挥自己的队伍吗......！仅仅运用象棋走法，就能下达精准的命令？,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,62,他，是在指挥自己的队伍吗......！仅仅运用象棋走法，就能下达精准的命令？,彼は自分の部隊を指揮しているの……？チェスの動きだけで正確な指示を出しているなんて？,アーミヤ,True
name,明明都是些狂暴的感染者，战斗却完全由他一人指挥......！,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,63,明明都是些狂暴的感染者，战斗却完全由他一人指挥......！,あれほど狂暴な感染者たちなのに、戦闘は彼一人が完全に指揮している……！,アーミヤ,True
name,再这样下去，他会把指挥优势发挥到极致——,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,64,再这样下去，他会把指挥优势发挥到极致——,このままだと、彼は指揮の優位を最大限に発揮してしまう——,アーミヤ,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,65,,,,False
name,相应的，只要能压制他的话，也就没什么大不了！,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,66,相应的，只要能压制他的话，也就没什么大不了！,逆に、彼さえ抑えられれば、なんてことはない！,ドーベルマン,True
name,不要让整合运动打开哪怕一丁点缺口！,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,67,不要让整合运动打开哪怕一丁点缺口！,レユニオンに、ほんの僅かでも突破口を開かせるな！,ドーベルマン,True
name,混账，我们的时间越来越少了！,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,68,混账，我们的时间越来越少了！,くそっ、私たちに残された時間がどんどん減っている！,ドーベルマン,True
character,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,69,,,,False
name,不能再让整合运动拖延我们的脚步了！,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,70,不能再让整合运动拖延我们的脚步了！,これ以上レユニオンに足止めされるわけにはいかない！,アーミヤ,True
blocker,,,,,,,,1,,,,,,,,,,,,1,0,0,0,true,,,,71,,,,False
name,有什么，有什么办法能迅速打开局面吗......！,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,72,有什么，有什么办法能迅速打开局面吗......！,何か、何か状況をすぐに打開できる方法は……！,アーミヤ,True
name,如果继续拖下去，博士和大家就......！,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,73,如果继续拖下去，博士和大家就......！,このままもたついていたら、ドクターやみんなが……！,アーミヤ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,74,,,,False
stopmusic,,,,,,,,1,,,,,,,,,,,,,,,,,,,,75,,,,False
playsound,,$p_imp_blunt_h,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,1,0.95,0.95,0.95,true,,,,78,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,0,0.95,0.95,0.95,true,,,,79,,,,False
camerashake,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,true,,,,80,,,,False
name,唔唔唔唔唔啊啊啊！！！,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,81,唔唔唔唔唔啊啊啊！！！,うううううあああ！！！,レユニオンメンバー,True
character,,,,,,,,,,,,,char_1507_Mephisto_1#2,,,,,,,,,,,,,,,82,,,,False
name,什么？,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,83,什么？,何？,メフィスト,True
name,......唔唔......怎么回事？怎么有人被......撞飞起来了？,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,84,......唔唔......怎么回事？怎么有人被......撞飞起来了？,……うう……どういうことだ？誰かが……弾き飛ばされたのか？,メフィスト,True
name,这......,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,85,这......,こ、これは……,メフィスト,True
name,......什么啊？,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,86,......什么啊？,……なんだ？,メフィスト,True
character,,,,,,,,,,,,,char_148_nearl_1#5,,,,,,,,,,,,,,,87,,,,False
name,你们的速度比我估算的慢上太多了，我可是连平民都顺手安顿好了。,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,88,你们的速度比我估算的慢上太多了，我可是连平民都顺手安顿好了。,君たちの動きは予想よりずっと遅いよ。私はもう民間人の避難まで終わらせておいたのに。,？？？,True
character,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,89,,,,False
name,——？！！,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,90,——？！！,——？！,アーミヤ,True
character,,,,,,,,,,,,,char_148_nearl_1#5,,,,,,,,,,,,,,,91,,,,False
name,别挡道！,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,92,别挡道！,道を塞ぐな！,？？？,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,93,,,,False
playsound,,$p_imp_blunt_h,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,1,0.95,0.95,0.95,true,,,,96,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,0,0.95,0.95,0.95,true,,,,97,,,,False
camerashake,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,true,,,,98,,,,False
playmusic,,$m_bat_game02_loop,,,,,,,$m_bat_game02_intro,0.8,1.5,,,,,,,,,,,,,,,,0.5,99,,,,False
character,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,char_1002_nsabr_2,,,100,,,,False
name,呜啊！,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,101,呜啊！,うわっ！,レユニオンメンバー,True
character,,,,,,,,,,,,,char_148_nearl_1#5,,,,,,,,,,,,,,,102,,,,False
name,加大进攻力度！别给敌人重整阵形的机会！,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,103,加大进攻力度！别给敌人重整阵形的机会！,攻撃を強化しろ！敵に体勢を立て直させるな！,？？？,True
playsound,,$p_imp_blunt_h,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,1,0.95,0.95,0.95,true,,,,106,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,0,0.95,0.95,0.95,true,,,,107,,,,False
camerashake,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,true,,,,108,,,,False
playsound,,$d_gen_soldiersrun,,,,,,,,0.8,,,,,,,,,,,,,,,,,,109,,,,False
character,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,110,,,,False
name,临光小姐！！,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,111,临光小姐！！,ニアールさん！！,アーミヤ,True
character,,,,,,,,,,,,,char_148_nearl_1#5,,,,,,,,,,,,,,,112,,,,False
character,,,,,,,,1,,,,,char_148_nearl_1#1,,,,,,,,,,,true,,,,113,,,,False
delay,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,114,,,,False
name,我在。,,,,,,,,,,,,临光,,,,,,,,,,,,,,,115,我在。,ここにいる。,ニアール,True
name,你没事就好，阿米娅。快撤。,,,,,,,,,,,,临光,,,,,,,,,,,,,,,116,你没事就好，阿米娅。快撤。,無事で良かった、アーミヤ。早く撤退しろ。,ニアール,True
playsound,,$d_gen_soldiersrun,,,,,,,,0.8,,,,,,,,,,,,,,,,,,117,,,,False
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,char_148_nearl_1,1,,118,,,,False
name,幸亏这次作战，有你参加。,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,119,幸亏这次作战，有你参加。,今回の作戦に君が参加していて助かった。,ドーベルマン,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,char_148_nearl_1,2,,120,,,,False
name,信号弹的定位很有效。看来你们遇到的麻烦确实不小。,,,,,,,,,,,,临光,,,,,,,,,,,,,,,121,信号弹的定位很有效。看来你们遇到的麻烦确实不小。,信号弾の位置情報はとても役に立った。君たちが大変な状況にいたのがよく分かったよ。,ニアール,True
character,,,,,,,,,,,,,char_148_nearl_1#1,,,,,,,,,,,,,,,122,,,,False
name,——,,,,,,,,,,,,临光,,,,,,,,,,,,,,,123,——,——,ニアール,True
name,您就是博士吧？,,,,,,,,,,,,临光,,,,,,,,,,,,,,,124,您就是博士吧？,あなたがドクターですね？,ニアール,True
blocker,,,,,,,,0.5,,,,,,,,,,,,1,0,0,0,true,,,,125,,,,False
character,,,,,,,,,,,,,char_148_nearl_1#1,,,,,,,,,,,,,,,126,,,,False
name,耀骑士临光，前来迎接你们了。,,,,,,,,,,,,临光,,,,,,,,,,,,,,,127,耀骑士临光，前来迎接你们了。,耀きの騎士ニアール、君たちを迎えに来た。,ニアール,True
delay,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,128,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,,,true,,,,129,,,,False
