command,text_orig,key,is_skippable,fit_mode,time,fadetime,block,a,r,g,b,image,screenadapt,intro,volume,options,values,references,name,name2,focus,effect,keep,amount,Delay,duration,xstrength,ystrength,vibrato,randomness,fadeout,x,y,xScale,yScale,xFrom,xTo,option_number,index,text,jp_text,jp_name,text_match
name,更不希望他们派出一艘高速军舰，在荒原上摧毁我们的船舰，杀死我们的雇员。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,31,更不希望他们派出一艘高速军舰，在荒原上摧毁我们的船舰，杀死我们的雇员。,さらには、彼らが高速軍艦を出して荒野で私たちの船を破壊し、雇われた者たちを殺すことも望んでいません。,ケルシー,True
name,即使事情这么发生了，你也不会在任何一张报纸上看见证据。银行家和保险业只会划去你的名字，将所有的积累全部放进自己的保险库。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,32,即使事情这么发生了，你也不会在任何一张报纸上看见证据。银行家和保险业只会划去你的名字，将所有的积累全部放进自己的保险库。,たとえそんなことが起きても、証拠が新聞に載ることは決してありません。銀行家や保険業者はただあなたの名前を削って、蓄積されたもの全てを自分の金庫に入れるだけです。,ケルシー,True
name,没有人会开口，因为乌萨斯不会希望有人开口。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,33,没有人会开口，因为乌萨斯不会希望有人开口。,誰も口を開きません。なぜならウルサスは誰にも口を開いてほしくないのです。,ケルシー,True
name,中立身份意味着我们在夹缝中依然拥有些许的自由，相应的，罗德岛不能拥有任何政治势力作为后盾。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,34,中立身份意味着我们在夹缝中依然拥有些许的自由，相应的，罗德岛不能拥有任何政治势力作为后盾。,中立の立場というのは、狭間でわずかな自由を持つことに他なりません。その代わりに、ロドスは一切の政治的勢力の後ろ盾を持つことができません。,ケルシー,True
name,隐蔽行事是我们的生存理念。派遣小队去救你时，也是一样。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,35,隐蔽行事是我们的生存理念。派遣小队去救你时，也是一样。,隠密行動は私たちの生き残るための理念です。あなたを救うために小隊を送った時も同じです。,ケルシー,True
name,五支小队。留下痕迹、清除痕迹；目标完成、目标失败。无论如何，罗德岛最多只能派出五支小队。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,36,五支小队。留下痕迹、清除痕迹；目标完成、目标失败。无论如何，罗德岛最多只能派出五支小队。,五つの小隊――痕跡を残し、痕跡を消し、目標達成、目標失敗。どんな場合でも、ロドスが出せる小隊は最大で五つだけです。,ケルシー,True
decision,但更多小队意味着更多的武装力量！,,,,,,,,,,,,,,,但更多小队意味着更多的武装力量！;......;即使没办法解决问题？,1;2;3,,,,,,,,,,,,,,,,,,,,,3,37,但更多小队意味着更多的武装力量！,けれど、もっと多くの小隊があれば、さらに戦力が増えるじゃないか！,,True
decision,即使没办法解决问题？,,,,,,,,,,,,,,,但更多小队意味着更多的武装力量！;......;即使没办法解决问题？,1;2;3,,,,,,,,,,,,,,,,,,,,,3,38,即使没办法解决问题？,問題が解決できないとしても？,,True
decision,......,,,,,,,,,,,,,,,但更多小队意味着更多的武装力量！;......;即使没办法解决问题？,1;2;3,,,,,,,,,,,,,,,,,,,,,3,39,......,......,,True
predicate,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,,,,,,,,,,,,,,0,40,,,,False
character,,,,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,0,41,,,,False
name,,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,42,,,ケルシー,True
name,即使是龙门这样的城邦，想要消灭我们也是易如反掌。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,43,即使是龙门这样的城邦，想要消灭我们也是易如反掌。,龍門のような都市国家ですら、私たちを消すのはたやすいことです。,ケルシー,True
name,你也看见了，成建制的近卫局和比起各国顶级精英武装也毫不逊色的特殊部队，他们的实力远不是一家医药公司能比的。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,44,你也看见了，成建制的近卫局和比起各国顶级精英武装也毫不逊色的特殊部队，他们的实力远不是一家医药公司能比的。,あなたも見たでしょう。整然とした近衛局や、各国のトップエリート武装に劣らぬ特殊部隊。その実力は一介の医薬会社には到底及びません。,ケルシー,True
decision,那为什么我们要参与？ ,,,,,,,,,,,,,,,那为什么我们要参与？ ,1,,,,,,,,,,,,,,,,,,,,,1,45,那为什么我们要参与？ ,それなら、どうして私たちは関与するんだ？,,True
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,46,,,,False
character,,,,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,0,47,,,,False
name,因为这个阴谋已经卷入了感染者。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,48,因为这个阴谋已经卷入了感染者。,この陰謀に感染者が巻き込まれているからです。,ケルシー,True
name,现在，罗德岛已经离开了龙门，以每小时十五公里的速度驶向下一个贸易城邦。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,49,现在，罗德岛已经离开了龙门，以每小时十五公里的速度驶向下一个贸易城邦。,現在、ロドスは龍門を離れ、時速15キロで次の交易都市へ向かっています。,ケルシー,True
name,在这之前，我们可能会在荒野上停留数个星期。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,50,在这之前，我们可能会在荒野上停留数个星期。,その前に、私たちは荒野を何週間も彷徨うことになるかもしれません。,ケルシー,True
name,除了靠近我们的罗德岛通讯专员和可信任船只，没有人会收到我们的信号，我们会在各城邦的移动规划中，挑选出避开所有人的路线。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,51,除了靠近我们的罗德岛通讯专员和可信任船只，没有人会收到我们的信号，我们会在各城邦的移动规划中，挑选出避开所有人的路线。,ロドスの通信担当や信頼できる船舶以外、誰も私たちからの信号を受信できません。各都市国家の移動計画をもとに、誰にも遭遇しないルートを選びます。,ケルシー,True
name,即使龙门在事件过后反悔，他们也没法再找到我们。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,52,即使龙门在事件过后反悔，他们也没法再找到我们。,たとえ事件後に龍門が後悔しても、私たちを二度と見つけられません。,ケルシー,True
decision,但这样还不够吧？,,,,,,,,,,,,,,,但这样还不够吧？,1,,,,,,,,,,,,,,,,,,,,,1,53,但这样还不够吧？,でも、それだけじゃ足りないだろう？,,True
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,54,,,,False
decision,这一拳打上去不够狠！,,,,,,,,,,,,,,,这一拳打上去不够狠！;还要更锋利。;我们的赌注应该不会只有这点。,1;2;3,,,,,,,,,,,,,,,,,,,,,3,55,这一拳打上去不够狠！,この一撃だけじゃ、まだ足りない！,,True
decision,还要更锋利。,,,,,,,,,,,,,,,这一拳打上去不够狠！;还要更锋利。;我们的赌注应该不会只有这点。,1;2;3,,,,,,,,,,,,,,,,,,,,,3,56,还要更锋利。,もっと鋭さが必要だ。,,True
decision,我们的赌注应该不会只有这点。,,,,,,,,,,,,,,,这一拳打上去不够狠！;还要更锋利。;我们的赌注应该不会只有这点。,1;2;3,,,,,,,,,,,,,,,,,,,,,3,57,我们的赌注应该不会只有这点。,私たちの賭けはこれだけじゃないはずだ。,,True
predicate,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,,,,,,,,,,,,,,0,58,,,,False
character,,,,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,0,59,,,,False
name,没错。我们还需要额外的致命砝码。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,60,没错。我们还需要额外的致命砝码。,そのとおりです。私たちにはさらに致命的な切り札が必要です。,ケルシー,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1,char_003_kalts_1,1,,,,,,,,,,,,,,,,,0,61,,,,False
name,......,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,62,......,……,アーミヤ,True
name,博士和凯尔希，都变得很阴沉可怕。,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,63,博士和凯尔希，都变得很阴沉可怕。,ドクターもケルシーさんも、とても暗くて怖くなってしまいました。,アーミヤ,True
name,就算我知道事情的必要性，你们也不用......露出那种笑容吧？,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,64,就算我知道事情的必要性，你们也不用......露出那种笑容吧？,私も事情の必要性は分かっているんですけど、そんな笑い方をしなくてもいいじゃないですか？,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1,char_003_kalts_1,2,,,,,,,,,,,,,,,,,0,65,,,,False
name,阿米娅......我笑了吗？,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,66,阿米娅......我笑了吗？,アーミヤ……私は笑っていたのか？,ケルシー,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1,char_003_kalts_1,1,,,,,,,,,,,,,,,,,0,67,,,,False
name,我知道凯尔希医生笑了啦。虽然你嘴唇不动，但我是能感受到笑的。,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,68,我知道凯尔希医生笑了啦。虽然你嘴唇不动，但我是能感受到笑的。,ケルシー先生は笑っていたと思いますよ。唇は動かなくても、私は笑っているって感じました。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1,char_003_kalts_1,2,,,,,,,,,,,,,,,,,0,69,,,,False
name,竟然是这样。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,70,竟然是这样。,そうだったのか。,ケルシー,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1,char_003_kalts_1,1,,,,,,,,,,,,,,,,,0,71,,,,False
name,......真好！,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,72,......真好！,……よかったです！,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1,char_003_kalts_1,2,,,,,,,,,,,,,,,,,0,73,,,,False
name,不，事先声明，我没有要和这个人修缮人际关系的意思。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,74,不，事先声明，我没有要和这个人修缮人际关系的意思。,いや、事前に言っておくが、私はこの人物と良好な関係を築くつもりはない。,ケルシー,True
decision,呵，我也没这个意思。,,,,,,,,,,,,,,,呵，我也没这个意思。;......;有无必要取决于双方的自由意愿。,1;2;3,,,,,,,,,,,,,,,,,,,,,3,75,呵，我也没这个意思。,フッ、俺もそのつもりはない。,,True
decision,有无必要取决于双方的自由意愿。,,,,,,,,,,,,,,,呵，我也没这个意思。;......;有无必要取决于双方的自由意愿。,1;2;3,,,,,,,,,,,,,,,,,,,,,3,76,有无必要取决于双方的自由意愿。,必要かどうかは双方の自由意思による。,,True
decision,......,,,,,,,,,,,,,,,呵，我也没这个意思。;......;有无必要取决于双方的自由意愿。,1;2;3,,,,,,,,,,,,,,,,,,,,,3,77,......,……,,True
predicate,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,,,,,,,,,,,,,,0,78,,,,False
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,0,79,,,,False
name,欸......,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,80,欸......,ええっと……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,0,81,,,,False
name,这五支小队，将分别由我、阿米娅与另外三位精英干员带领。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,82,这五支小队，将分别由我、阿米娅与另外三位精英干员带领。,この五つの小隊は、私、アーミヤ、そして他の三人のエリートオペレーターがそれぞれ指揮を執ります。,ケルシー,True
name,三支作战小队，一支侦察小队，以及一支特殊作业小队。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,83,三支作战小队，一支侦察小队，以及一支特殊作业小队。,三つの戦闘小隊、一つの偵察小隊、そして一つの特殊作戦小隊です。,ケルシー,True
name,其中，有一支作战小队的队长，你也许该先见她一面。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,84,其中，有一支作战小队的队长，你也许该先见她一面。,そのうちの一つの作戦小隊の隊長に、あなたはまず会っておいた方がいいでしょう。,ケルシー,True
stopmusic,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,85,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,86,,,,False
blocker,,,,,,2,true,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,87,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,88,,,,False
cameraeffect,,,,,,0,,,,,,,,,,,,,,,,Grayscale,true,1,,,,,,,,,,,,,,0,89,,,,False
background,,,,,,,,,,,,bg_bridge,coverall,,,,,,,,,,,,,,,,,,,,,,,,,0,90,,,,False
blocker,,,,,,2,true,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,91,,,,False
character,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,,,,,,,,,,,,,,,,,,,0,92,,,,False
name,迷迭香！等等！,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,0,93,迷迭香！等等！,ロズマリン！待ってくれ！,ホウ,True
playmusic,,$dignified_loop,,,,,,,,,,,,$dignified_intro,0.4,,,,,,,,,,,,,,,,,,,,,,,0,94,,,,False
character,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,avg_npc_042,2,,,,,,,,,,,,,,,,,0,95,,,,False
name,啊......煌。,,,,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,0,96,啊......煌。,あ……ホウ。,ロズマリン,True
name,你伤得好重，怎么还跑出来？快回去。快点回去。,,,,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,0,97,你伤得好重，怎么还跑出来？快回去。快点回去。,あなた、ひどい怪我じゃないですか。なんでここに来るの？早く戻って。急いで戻ってください。,ロズマリン,True
character,,,,,,,,,,,,,,,,,,,char_017_homura_3#9,avg_npc_042,1,,,,,,,,,,,,,,,,,0,98,,,,False
name,你这次要出战？,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,0,99,你这次要出战？,今度はお前が出撃するのか？,ホウ,True
character,,,,,,,,,,,,,,,,,,,char_017_homura_3#9,avg_npc_042,2,,,,,,,,,,,,,,,,,0,100,,,,False
name,嗯。,,,,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,0,101,嗯。,うん。,ロズマリン,True
character,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,avg_npc_042,1,,,,,,,,,,,,,,,,,0,102,,,,False
name,我找人替你。让Misery去。他比你擅长攻坚战。,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,0,103,我找人替你。让Misery去。他比你擅长攻坚战。,代わりの奴を探してやる。ミザリーに行かせろ。あいつの方がお前より突撃戦が得意だ。,ホウ,True
name,他一挥手就能解决的事，让他去。,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,0,104,他一挥手就能解决的事，让他去。,あいつなら一振りで片付くだろう。行かせろ。,ホウ,True
character,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,avg_npc_042,2,,,,,,,,,,,,,,,,,0,105,,,,False
name,你不想我去？,,,,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,0,106,你不想我去？,私に行ってほしくないんですか？,ロズマリン,True
character,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,avg_npc_042,1,,,,,,,,,,,,,,,,,0,107,,,,False
name,对，你不该去。,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,0,108,对，你不该去。,そうだ、お前は行くべきじゃない。,ホウ,True
character,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,avg_npc_042,2,,,,,,,,,,,,,,,,,0,109,,,,False
name,煌让人感觉很奇怪。,,,,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,0,110,煌让人感觉很奇怪。,ホウってちょっと変な感じ……。,ロズマリン,True
character,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,avg_npc_042,1,,,,,,,,,,,,,,,,,0,111,,,,False
name,这和你以前的任务可不一样！,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,0,112,这和你以前的任务可不一样！,今までのお前の任務とは全く違うんだぞ！,ホウ,True
character,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,avg_npc_042,2,,,,,,,,,,,,,,,,,0,113,,,,False
name,因为可能会死？,,,,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,0,114,因为可能会死？,死ぬかもしれないからですか？,ロズマリン,True
character,,,,,,,,,,,,,,,,,,,char_017_homura_3#6,avg_npc_042,1,,,,,,,,,,,,,,,,,0,115,,,,False
name,说啥啊！,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,0,116,说啥啊！,何言ってるんだよ！,ホウ,True
name,你怎么能，怎么......是怎么这么轻松地说出来啊！,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,0,117,你怎么能，怎么......是怎么这么轻松地说出来啊！,なんで、お前は…なんでそんなにあっさり言えるんだよ！,ホウ,True
name,你年纪太小了，这么危险的任务，你是不该去的！,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,0,118,你年纪太小了，这么危险的任务，你是不该去的！,お前は若過ぎる、こんな危険な任務に行かせるわけにはいかない！,ホウ,True
character,,,,,,,,,,,,,,,,,,,char_017_homura_3#6,avg_npc_042,2,,,,,,,,,,,,,,,,,0,119,,,,False
name,可阿米娅也要去。,,,,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,0,120,可阿米娅也要去。,でもアーミヤさんも行くんですよ。,ロズマリン,True
character,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,avg_npc_042,1,,,,,,,,,,,,,,,,,0,121,,,,False
name,因为她......！她是......！,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,0,122,因为她......！她是......！,彼女は……！彼女は……！,ホウ,True
name,她是......,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,0,123,她是......,彼女は……,ホウ,True
name,阿米娅......,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,0,124,阿米娅......,アーミヤ……,ホウ,True
character,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,avg_npc_042,2,,,,,,,,,,,,,,,,,0,125,,,,False
name,她和我一样，是感染者，也是干员。,,,,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,0,126,她和我一样，是感染者，也是干员。,彼女も私と同じく、感染者でありオペレーターです。,ロズマリン,True
name,而且，我检查了日志。Ace和Scout都在切尔诺伯格，他们没回来。,,,,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,0,127,而且，我检查了日志。Ace和Scout都在切尔诺伯格，他们没回来。,それに、私がログを確認しました。エースさんやスカウトさんはチェルノボーグにいて、帰ってきませんでした。,ロズマリン,True
name,也就是说，他们已经不在了吧。,,,,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,0,128,也就是说，他们已经不在了吧。,つまり、もう二人は居ないってことですよね。,ロズマリン,True
name,我想去看看。我要明白是怎么回事。我要看看管整合运动的人，我要知道是谁做了什么。,,,,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,0,129,我想去看看。我要明白是怎么回事。我要看看管整合运动的人，我要知道是谁做了什么。,私は見に行きたいです。どうなっているのか知りたい。整合運動を指揮している人を見て、何が起きたか知りたいです。,ロズマリン,True
name,我要知道在Ace和Scout身上发生了什么。,,,,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,0,130,我要知道在Ace和Scout身上发生了什么。,エースさんとスカウトさんに何があったのか、知りたいです。,ロズマリン,True
character,,,,,,,,,,,,,,,,,,,char_017_homura_3#10,avg_npc_042,1,,,,,,,,,,,,,,,,,0,131,,,,False
name,迷迭香？这种事你......你可以不记的。,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,0,132,迷迭香？这种事你......你可以不记的。,ロズマリン？そんなこと……覚えてなくてもいいんだぞ。,ホウ,True
character,,,,,,,,,,,,,,,,,,,char_017_homura_3#10,avg_npc_042,2,,,,,,,,,,,,,,,,,0,133,,,,False
name,......煌？,,,,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,0,134,......煌？,……ホウさん？,ロズマリン,True
character,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,avg_npc_042,1,,,,,,,,,,,,,,,,,0,135,,,,False
name,(粗口)，我他妈在说什么......,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,0,136,(粗口)，我他妈在说什么......,（罵り）俺は一体何を言ってる……,ホウ,True
name,不，对不起，我不该这么说。我不应该。**，我这张臭嘴！,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,0,137,不，对不起，我不该这么说。我不应该。**，我这张臭嘴！,いや、すまない、こんなこと言うべきじゃなかった。俺の口は……！,ホウ,True
name,可是，他们的死......他们......,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,0,138,可是，他们的死......他们......,でも、あいつらの死……あいつら……,ホウ,True
character,,,,,,,,,,,,,,,,,,,char_017_homura_3#5,avg_npc_042,2,,,,,,,,,,,,,,,,,0,139,,,,False
name,煌。,,,,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,0,140,煌。,ホウ。,ロズマリン,True
