command,text_orig,key,is_skippable,fit_mode,a,initr,r,g,b,fadetime,block,intro,volume,crossfade,delay,image,width,height,name,time,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,options,values,references,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,screenadapt,option_number,index,text,jp_text,jp_name,text_match
name,受天灾影响，龙门全域处于停航状态。龙门5区所有入城关口将于2小时后关闭。,,,,,,,,,,,,,,,,,,广播,,,,,,,,,,,,,,,,,,,,,,0,17,受天灾影响，龙门全域处于停航状态。龙门5区所有入城关口将于2小时后关闭。,天災の影響により、龍門全域は運航停止状態です。龍門第5区のすべての入市ゲートは2時間後に閉鎖されます。,放送,True
name,请积极配合工作人员进行矿石病检疫。,,,,,,,,,,,,,,,,,,广播,,,,,,,,,,,,,,,,,,,,,,0,18,请积极配合工作人员进行矿石病检疫。,スタッフの指示に従い、積極的に鉱石病の検疫にご協力ください。,放送,True
name,一旦发现任何未经登记的感染者，请广大市民立刻向最近的警员通报，,,,,,,,,,,,,,,,,,,广播,,,,,,,,,,,,,,,,,,,,,,0,19,一旦发现任何未经登记的感染者，请广大市民立刻向最近的警员通报，,未登録の感染者を発見した場合は、直ちに最寄りの警官に通報してください。,放送,True
name,近卫局将依照《紧急处理法案》依法对其进行拘捕。,,,,,,,,,,,,,,,,,,广播,,,,,,,,,,,,,,,,,,,,,,0,20,近卫局将依照《紧急处理法案》依法对其进行拘捕。,近衛局は『緊急処理法案』に基づき、法的措置を取って逮捕します。,放送,True
name,请注意——,,,,,,,,,,,,,,,,,,广播,,,,,,,,,,,,,,,,,,,,,,0,21,请注意——,ご注意ください——,放送,True
playsound,,$radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,,,,False
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,,,,,,,,,0,23,,,,False
name,和传闻中一样......,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,24,和传闻中一样......,噂通りですね……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,,,,0,25,,,,False
name,走吧，博士。,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,26,走吧，博士。,行きましょう、ドクター。,アーミヤ,True
name,我们到了。,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,27,我们到了。,到着しました。,アーミヤ,True
delay,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,28,,,,False
character,,,,,,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,,,,,0,29,,,,False
name,罗德岛与近卫局约好在十点见面。,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,0,30,罗德岛与近卫局约好在十点见面。,ロドスが近衛局と10時に会う約束をしました。,？？？,True
name,现在是十点十四。,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,0,31,现在是十点十四。,今は10時14分です。,？？？,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#4,,,,,,,,,,,,,,,,,,,,,,0,32,,,,False
name,你们迟到了十四分钟，无谓地浪费了我十四分钟时间。,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,0,33,你们迟到了十四分钟，无谓地浪费了我十四分钟时间。,あなたたちは14分遅刻し、無駄に私の14分の時間を浪費しました。,？？？,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1,,char_002_amiya_1,2,,,,,,,,,,,,,,,,,,,0,34,,,,False
name,......抱歉，陈长官，这片区域刚才有整合————,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,35,......抱歉，陈长官，这片区域刚才有整合————,……すみません、チェン長官。この区域で先ほど統合——,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1,,char_002_amiya_1,1,,,,,,,,,,,,,,,,,,,0,36,,,,False
name,行了，我知道。不过这些都不重要。,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,37,行了，我知道。不过这些都不重要。,もういい、分かっています。でもそれは重要じゃありません。,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,,,,,0,38,,,,False
name,——这个人是？,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,39,——这个人是？,——この人は？,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1,,char_002_amiya_1,2,,,,,,,,,,,,,,,,,,,0,40,,,,False
name,博士是罗德岛的顾问。凯尔希医生应该通知过龙门的各位。,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,41,博士是罗德岛的顾问。凯尔希医生应该通知过龙门的各位。,ドクターはロドスの顧問です。ケルシー先生が龍門の皆さんに連絡しているはずです。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,,,,,0,42,,,,False
name,哼.......,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,43,哼.......,ふん.......,チェン,True
name,好了，人已经到齐，现在你们需要跟我去见——,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,44,好了，人已经到齐，现在你们需要跟我去见——,では、全員揃いましたね。これから私と一緒に——,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1,,char_015_lmg,2,,,,,,,,,,,,,,,,,,,0,45,,,,False
playsound,,$d_gen_soldiersrun,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,,,,False
name,陈长官！不好了！不好——感染者——那又——,,,,,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,0,47,陈长官！不好了！不好——感染者——那又——,チェン長官！大変です！だめ——感染者が——また——,近衛局隊員,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#4,,char_015_lmg,1,,,,,,,,,,,,,,,,,,,0,48,,,,False
camerashake,,,,,,,,,,,false,,,,,,,,,,,,0.5,10,12,15,90,true,,,,,,,,,,,,,0,49,,,,False
name,慌什么！,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,50,慌什么！,慌てるな！,チェン,True
name,一队，戒备！狙击队员，就位！,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,51,一队，戒备！狙击队员，就位！,第一小隊、警戒！スナイパー、配置につけ！,チェン,True
character,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,,,,False
name,发生，发生什么了！,,,,,,,,,,,,,,,,,,普通市民,,,,,,,,,,,,,,,,,,,,,,0,53,发生，发生什么了！,な、何が起こったんだ！,一般市民,True
name,放开我！！,,,,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,,,,,,0,54,放开我！！,離してくれ！！,感染者,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,,,,,0,55,,,,False
name,啧......怎么回事，汇报情况。,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,56,啧......怎么回事，汇报情况。,ちっ……どうなってる、状況を報告しろ。,チェン,True
character,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,57,,,,False
camerashake,,,,,,,,,,,false,,,,,,,,,,,,1.5,10,12,15,90,true,,,,,,,,,,,,,0,58,,,,False
name,让我过去！！为什么要抓我！！,,,,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,,,,,,0,59,让我过去！！为什么要抓我！！,通してくれ！！どうして俺を捕まえるんだ！！,感染者,True
name,我们不是怪物！！！,,,,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,,,,,,0,60,我们不是怪物！！！,俺たちは化け物じゃない！！！,感染者,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1,,char_015_lmg,2,,,,,,,,,,,,,,,,,,,0,61,,,,False
name,有感染者——不服从管理——我们——,,,,,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,0,62,有感染者——不服从管理——我们——,感染者が——管理に従わなくて——私たちは——,近衛局隊員,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1,,char_015_lmg,1,,,,,,,,,,,,,,,,,,,0,63,,,,False
name,......我自己都看到了。,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,64,......我自己都看到了。,……自分の目で見ている。,チェン,True
name,算了。,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,65,算了。,もういい。,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1,,char_015_lmg,1,,,,,,,,,,,,,,,,,,,0,66,,,,False
name,把他们全部拘押。,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,67,把他们全部拘押。,全員拘束しろ。,チェン,True
name,立刻疏散人群，半小时后通过复查流程后，再开放关口。,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,68,立刻疏散人群，半小时后通过复查流程后，再开放关口。,すぐに人々を避難させろ。再検査後、30分後にゲートを再開しろ。,チェン,True
name,还有，把检疫口检查线向前推四十米。,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,69,还有，把检疫口检查线向前推四十米。,あと、検疫所の検査ラインを40メートル前に移動しろ。,チェン,True
delay,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,0,70,,,,False
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#4,,,,,,,,,,,,,,,,,,,,,,0,71,,,,False
name,罗德岛的，除了你和博士，其他人不需要一起同行，留在这里协助龙门边防进行驻守。,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,72,罗德岛的，除了你和博士，其他人不需要一起同行，留在这里协助龙门边防进行驻守。,ロドスの者は、君とドクター以外は一緒に来なくていい。ここで龍門の国境警備を支援しなさい。,チェン,True
name,要是连这点小事都处理不好，无论是什么任务，我可都没法交给你们。,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,73,要是连这点小事都处理不好，无论是什么任务，我可都没法交给你们。,こんな小さなことすら処理できないなら、どんな任務も君たちには任せられないぞ。,チェン,True
name,PC94172，你给这些人安排一下任务，今晚不要再出乱子了。,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,74,PC94172，你给这些人安排一下任务，今晚不要再出乱子了。,PC94172、彼らに任務を割り振れ。今夜はもう騒動を起こすな。,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1,,char_015_lmg,2,,,,,,,,,,,,,,,,,,,0,75,,,,False
name,明白，陈警司！,,,,,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,0,76,明白，陈警司！,了解です、チェン警司！,近衛局隊員,True
character,,,,,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,,,,,0,77,,,,False
name,诸位，请注意......,,,,,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,0,78,诸位，请注意......,皆さん、ご注意ください……,近衛局隊員,True
playsound,,$d_gen_walk_n,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,79,,,,False
character,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80,,,,False
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,,,,,,,,,,,0,81,,,,False
name,......,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,82,......,......,アーミヤ,True
name,（陈长官真的很严格......比我想象的要严格......）,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,83,（陈长官真的很严格......比我想象的要严格......）,（チェン長官は本当に厳しい……想像以上に厳しい……）,アーミヤ,True
decision,......（点头）,,,,,,,,,,,,,,,,,,,,,,,,,,,,......（点头）,1,,,,,,,,,,,1,84,......（点头）,......（うなずく）,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,85,,,,False
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#4,,,,,,,,,,,,,,,,,,,,,,0,86,,,,False
name,你们，,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,87,你们，,君たち、,チェン,True
blocker,,,,,1,,0,0,0,0.4,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,88,,,,False
name,跟我来。——,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,89,跟我来。——,私についてこい。——,チェン,True
blocker,,,,,1,,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,,,,False
character,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,91,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,92,,,,False
blocker,,,,,0,,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,93,,,,False
character,,,,,,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,,,,,0,94,,,,False
name,到了。,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,95,到了。,着いた。,チェン,True
character,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,96,,,,False
delay,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0,97,,,,False
background,,,,,,,,,,1,,,,,,bg_lungmen_n,,,,,,,,,,,,,,,,40,0,1.3,1.3,,,,,,0,98,,,,False
delay,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0,99,,,,False
backgroundtween,,,,,,,,,,,true,,,,,,,,,,,,4,,,,,,,,,,,,,40,0,40,-150,,0,100,,,,False
delay,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,101,,,,False
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,0,102,,,,False
name,好，好高的建筑！,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,103,好，好高的建筑！,わあ、すごく高い建物ですね！,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,,,,,0,104,,,,False
name,......,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,105,......,......,チェン,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,0,106,,,,False
name,唔......,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,107,唔......,うぅ……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,,,,,,,,,,,0,108,,,,False
name,对，对不......,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,109,对，对不......,あ、あの……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,,,,,0,110,,,,False
name,——罗德岛的身手还算不错。,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,111,——罗德岛的身手还算不错。,——ロドスの腕前はなかなかだな。,チェン,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,,,,0,112,,,,False
name,啊......,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,113,啊......,あぁ……,アーミヤ,True
name,谢谢陈长官夸奖。,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,114,谢谢陈长官夸奖。,チェン長官、お褒めいただきありがとうございます。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,,,,,0,115,,,,False
name,只不过——,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,116,只不过——,ただし——,チェン,True
name,切尔诺伯格事件发生之后，什么人都疯了一样地向龙门跑。,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,117,切尔诺伯格事件发生之后，什么人都疯了一样地向龙门跑。,チェルノボーグ事件の後、誰もが狂ったように龍門を目指して来ている。,チェン,True
name,感染者就该清楚，来龙门会有什么下场。,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,118,感染者就该清楚，来龙门会有什么下场。,感染者は龍門に来ればどうなるか、分かっているはずだ。,チェン,True
delay,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,119,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,120,,,,False
blocker,,,,,1,2,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,121,,,,False
character,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,122,,,,False
background,,,,,,,,,,0,,,,,,bg_lungmen_o,1,1,,,,,,,,,,,,,,,,,,,,,,coverall,0,123,,,,False
blocker,,,,,0,,,,,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,124,,,,False
name,我再提醒你一次。,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,0,125,我再提醒你一次。,もう一度警告する。,？？？,True
name,龙门就是下一个切尔诺伯格。,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,0,126,龙门就是下一个切尔诺伯格。,龍門は次のチェルノボーグになるぞ。,？？？,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,,,,0,127,,,,False
name,是凯尔希医生......！,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,128,是凯尔希医生......！,ケルシー先生……！,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,,,,,0,129,,,,False
name,你们罗德岛的代表已经和魏长官先行接触了。,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,130,你们罗德岛的代表已经和魏长官先行接触了。,君たちロドスの代表はすでにウェイ長官と先に接触している。,チェン,True
name,在这里等着。,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,131,在这里等着。,ここで待っていろ。,チェン,True
name,我一会儿通知你们。,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,132,我一会儿通知你们。,後で知らせる。,チェン,True
dialog,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,133,,,,False
character,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,134,,,,False
delay,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,135,,,,False
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,0,136,,,,False
name,呼......那个陈警官，真的很难应付呢。,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,137,呼......那个陈警官，真的很难应付呢。,ふぅ……あのチェン警官、本当に手強いですね。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,,,,0,138,,,,False
name,博士，接下来的交涉就交给凯尔希医生。,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,139,博士，接下来的交涉就交给凯尔希医生。,ドクター、これからの交渉はケルシー先生に任せましょう。,アーミヤ,True
name,请相信她吧。,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,140,请相信她吧。,彼女を信じてください。,アーミヤ,True
dialog,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,141,,,,False
blocker,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,142,,,,False
