command,text_orig,key,is_skippable,fit_mode,image,width,height,screenadapt,fadetime,intro,volume,crossfade,delay,time,name,block,name2,focus,a,r,g,b,afrom,rfrom,gfrom,bfrom,duration,xstrength,ystrength,vibrato,randomness,fadeout,widgetID,style,fadestyle,offsetx,index,text,jp_text,jp_name,text_match
name,我们从各处突然涌了出来，哪里都有我们，*乌萨斯粗口*，就像在切尔诺伯格时一样。,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,26,我们从各处突然涌了出来，哪里都有我们，*乌萨斯粗口*，就像在切尔诺伯格时一样。,俺たちは至る所から一気に現れた。どこにでも俺たちがいる、*ウルサスのののしり*、チェルノボーグの時と同じさ。,整合運動メンバー,True
name,这回我们不毁掉它，我们要夺下它，把它当做我们的城市！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,27,这回我们不毁掉它，我们要夺下它，把它当做我们的城市！,今回は破壊しないぞ。奪い取って、自分たちの街にするんだ！,整合運動メンバー,True
character,,,,,,,,,,,,,,,char_1011_wizard_1,,char_1002_nsabr_1,1,,,,,,,,,,,,,,,,,,,28,,,,False
name,你不知道吗？,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,,,,,,,,,,,,29,你不知道吗？,知らないのか？,整合運動術師,True
character,,,,,,,,,,,,,,,char_1011_wizard_1,,char_1002_nsabr_1,2,,,,,,,,,,,,,,,,,,,30,,,,False
name,知道什么？,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,31,知道什么？,何をだよ？,整合運動メンバー,True
character,,,,,,,,,,,,,,,char_1011_wizard_1,,char_1002_nsabr_1,1,,,,,,,,,,,,,,,,,,,32,,,,False
name,大古广场是离近卫局最近的据点，从这里很快就能赶到近卫局，支援他们也很方便。,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,,,,,,,,,,,,33,大古广场是离近卫局最近的据点，从这里很快就能赶到近卫局，支援他们也很方便。,大古広場は近衛局に一番近い拠点で、ここからすぐに近衛局に駆けつけられるし、支援もしやすいんだ。,整合運動術師,True
character,,,,,,,,,,,,,,,char_1011_wizard_1,,char_1002_nsabr_1,2,,,,,,,,,,,,,,,,,,,34,,,,False
name,上次通报讲过了，我听过这段。其他的呢？,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,35,上次通报讲过了，我听过这段。其他的呢？,前回通報で聞いたな。その話はもう知ってる。他には？,整合運動メンバー,True
character,,,,,,,,,,,,,,,char_1011_wizard_1,,char_1002_nsabr_1,1,,,,,,,,,,,,,,,,,,,36,,,,False
name,各处的整合运动理应在近卫局附近汇合，然后向外扩散，接管整座城市。,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,,,,,,,,,,,,37,各处的整合运动理应在近卫局附近汇合，然后向外扩散，接管整座城市。,各地の整合運動部隊は本来なら近衛局の近くで合流して、そこから外に広がり、この街全体を掌握するはずなんだ。,整合運動術師,True
name,我们是很清楚我们周遭队伍的分布......,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,,,,,,,,,,,,38,我们是很清楚我们周遭队伍的分布......,自分たちの周囲の部隊の配置はよく把握している……,整合運動術師,True
name,但其他区域的队伍呢？我知道很多支队伍都正向近卫局这里移动，但更多的队伍消失了，消失得无影无踪。,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,,,,,,,,,,,,39,但其他区域的队伍呢？我知道很多支队伍都正向近卫局这里移动，但更多的队伍消失了，消失得无影无踪。,でも他の地域の部隊は？多くの部隊が近衛局に向かって動いているのは知っているが、さらに多くの部隊が消えてしまった。まったく痕跡すらない。,整合運動術師,True
character,,,,,,,,,,,,,,,char_1011_wizard_1,,char_1002_nsabr_1,2,,,,,,,,,,,,,,,,,,,40,,,,False
name,消失......是什么意思？,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,41,消失......是什么意思？,消えた……ってどういう意味だ？,整合運動メンバー,True
character,,,,,,,,,,,,,,,char_1011_wizard_1,,char_1002_nsabr_1,1,,,,,,,,,,,,,,,,,,,42,,,,False
name,很神秘。他们的话筒开着，却一点声音都没传出来。我们没法联系上他们了。,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,,,,,,,,,,,,43,很神秘。他们的话筒开着，却一点声音都没传出来。我们没法联系上他们了。,とても奇妙だ。彼らのマイクはオンになっているのに、まったく音が聞こえない。我々はもう連絡できない。,整合運動術師,True
delay,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,44,,,,False
stopmusic,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,False
name,马上也没人能联系上你了。,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,46,马上也没人能联系上你了。,すぐ、お前たちとも連絡が取れなくなる。,？？？,True
character,,,,,,,,,,,,,,,char_1011_wizard_1,,,,,,,,,,,,,,,,,,,,,,47,,,,False
name,什么，谁！,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,,,,,,,,,,,,48,什么，谁！,なに、誰だ！,整合運動術師,True
character,,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,,,,,,49,,,,False
name,窗户！在窗户外面！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,50,窗户！在窗户外面！,窓だ！窓の外に！,整合運動メンバー,True
blocker,,,,,,,,,0.1,,,,,,,true,,,1,1,1,1,0,0,0,0,,,,,,,,,,,51,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,False
blocker,,,,,,,,,1.5,,,,,,,false,,,0,,,,,,,,,,,,,,,,,,53,,,,False
camerashake,,,,,,,,,,,,,,,,true,,,,,,,,,,,2,5,3,30,90,true,,,,,54,,,,False
playsound,,$d_gen_soldiersrun,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,False
character,,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,,,,,,56,,,,False
name,有敌人！敌人在攻击我们，近卫局，是近卫局！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,57,有敌人！敌人在攻击我们，近卫局，是近卫局！,敵だ！敵が攻撃してきている！近衛局だ、近衛局だ！,整合運動メンバー,True
character,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,,58,,,,False
name,哈，是近卫局没错！,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,59,哈，是近卫局没错！,はっ、間違いなく近衛局だ！,星熊,True
playmusic,,$escapebattle_loop,,,,,,,,$escapebattle_intro,0.5,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,60,,,,False
playsound,,$p_imp_blunt_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,False
blocker,,,,,,,,,0.1,,,,,,,true,,,1,1,1,1,0,0,0,0,,,,,,,,,,,62,,,,False
blocker,,,,,,,,,1.5,,,,,,,false,,,0,,,,,,,,,,,,,,,,,,63,,,,False
playsound,,$p_imp_blunt_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,False
blocker,,,,,,,,,0.1,,,,,,,true,,,1,1,1,1,0,0,0,0,,,,,,,,,,,65,,,,False
blocker,,,,,,,,,1.5,,,,,,,false,,,0,,,,,,,,,,,,,,,,,,66,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,18,30,90,false,,,,,67,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,68,,,,False
character,,,,,,,,,,,,,,,char_1011_wizard_1,,,,,,,,,,,,,,,,,,,,,,69,,,,False
name,可恶！难道是从顶楼挂绳下来，跳进窗户的吗！,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,,,,,,,,,,,,70,可恶！难道是从顶楼挂绳下来，跳进窗户的吗！,くそっ！まさか屋上からロープで降りて窓から飛び込んだのか！,整合運動術師,True
name,战斗！动起来！我们的人数远比他们多，消灭他们就行了！,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,,,,,,,,,,,,71,战斗！动起来！我们的人数远比他们多，消灭他们就行了！,戦闘だ！動け！こっちの方が人数は多い、奴らを倒せばいい！,整合運動術師,True
character,,,,,,,,,,,,,,,char_010_chen_1#5,,,,,,,,,,,,,,,,,,,,,,72,,,,False
name,通讯，给我。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,73,通讯，给我。,通信、私によこせ。,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1#1,,char_015_lmg,2,,,,,,,,,,,,,,,,,,,74,,,,False
name,Yes sir！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,75,Yes sir！,イエッサー！,近衛局メンバー,True
character,,,,,,,,,,,,,,,char_010_chen_1#5,,,,,,,,,,,,,,,,,,,,,,76,,,,False
name,近卫局听好！把整合运动连同他们的掩体统统砸个粉碎！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,77,近卫局听好！把整合运动连同他们的掩体统统砸个粉碎！,近衛局、よく聞け！整合運動とその防御もろとも粉々にしろ！,チェン,True
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,False
charactercutin,,,,,,200,,,0.5,,,,,,char_308_swire_1#5,true,,,,,,,,,,,,,,,,,1,cutin,horiz_expand_center,-300,79,,,,False
name,（龙门粗口），你要干嘛？！大古广场是我家的财产！你凭什么——,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,,,,,80,（龙门粗口），你要干嘛？！大古广场是我家的财产！你凭什么——,（龍門の罵り）、何するつもり？！大古広場はうちの財産だよ！どうして——,詩懐雅,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#1,2,,,,,,,,,,,,,,,,,,,81,,,,False
name,抱歉，“小姐”，整合运动负隅顽抗，先摧毁他们的战斗力才是第一优先级......,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,82,抱歉，“小姐”，整合运动负隅顽抗，先摧毁他们的战斗力才是第一优先级......,悪いな、“お嬢様”、整合運動は最後まで抵抗している。まずは彼らの戦力を叩き潰すのが最優先だ……,チェン,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#1,1,,,,,,,,,,,,,,,,,,,83,,,,False
name,你在说什么！！！你这条仆街龙！！你！！,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,,,,,84,你在说什么！！！你这条仆街龙！！你！！,何言ってるの！！！このクソドラゴン！！お前！！,詩懐雅,True
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,False
charactercutin,,,,,,,,,0.5,,,,,,,true,,,,,,,,,,,,,,,,,1,,,,86,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,,,,,,,,87,,,,False
name,近卫局！进攻！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,88,近卫局！进攻！,近衛局！進撃！,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,,89,,,,False
name,哎，我的天。哎。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,90,哎，我的天。哎。,ああ、なんてこった。ああ。,星熊,True
name,你们注意点，这怎么说也是市民财产。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,91,你们注意点，这怎么说也是市民财产。,お前ら気をつけろよ、いくらなんでもこれは市民の財産だ。,星熊,True
name,那台钢琴他们没抬走，估计太重了。但值个一百八十万龙门币，“小姐”向我吹嘘过的，小心点。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,92,那台钢琴他们没抬走，估计太重了。但值个一百八十万龙门币，“小姐”向我吹嘘过的，小心点。,あのピアノは持ち出されてない、たぶん重すぎたんだろう。でも180万龍門コインの価値があると“お嬢様”が自慢してたから、気をつけてな。,星熊,True
character,,,,,,,,,,,,,,,char_1011_wizard_1,,,,,,,,,,,,,,,,,,,,,,93,,,,False
name,你们跑不了了！,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,,,,,,,,,,,,94,你们跑不了了！,お前たちはもう逃げられない！,整合運動術師,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,,,,,95,,,,False
name,找掩体！快！躲在那架钢琴后面！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,96,找掩体！快！躲在那架钢琴后面！,遮蔽物を探せ！早く！あのピアノの後ろに隠れろ！,近衛局メンバー,True
character,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,,97,,,,False
name,啊。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,98,啊。,ああ。,星熊,True
blocker,,,,,,,,,0.1,,,,,,,true,,,1,1,1,1,,,,,,,,,,,,,,,99,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,False
blocker,,,,,,,,,0.2,,,,,,,true,,,0,,,,,,,,,,,,,,,,,,101,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,10,30,90,true,,,,,102,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,103,,,,False
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,,,,,104,,,,False
name,它打破了我们的掩体！转移！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,105,它打破了我们的掩体！转移！,遮蔽物が壊された！移動だ！,近衛局メンバー,True
character,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,,106,,,,False
name,一百八十万......炸了。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,107,一百八十万......炸了。,180万……吹き飛んだな。,星熊,True
character,,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,,,,,,108,,,,False
name,其他同胞，其他同胞！听着！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,109,其他同胞，其他同胞！听着！,仲間たち、他の同志たち！聞いてくれ！,整合運動メンバー,True
name,我们占据了龙门的大古广场作为据点，也做好了防御准备，但近卫局从广场高层突袭了我们！他们正在削减我们的人数！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,110,我们占据了龙门的大古广场作为据点，也做好了防御准备，但近卫局从广场高层突袭了我们！他们正在削减我们的人数！,俺たちは龍門の大古広場を拠点に占拠し、防御も整えたが、近衛局が上の階から急襲してきた！連中は俺たちの数を減らしてる！,整合運動メンバー,True
name,通报！！近卫局的主力，在大古广场！大古广场！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,111,通报！！近卫局的主力，在大古广场！大古广场！,通報！！近衛局の主力が大古広場にいる！大古広場だ！,整合運動メンバー,True
character,,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,,,,,,,,112,,,,False
name,汇报完了？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,113,汇报完了？,報告は終わったか？,チェン,True
character,,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,,,,,,114,,,,False
name,你什么时候——,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,115,你什么时候——,お前、いつから——,整合運動メンバー,True
character,,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,,,,,,,,116,,,,False
name,如果你已经汇报完毕了，那你的任务就已经完成了。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,117,如果你已经汇报完毕了，那你的任务就已经完成了。,もしもう報告が終わったなら、それで任務は完了だ。,チェン,True
character,,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,,,,,,118,,,,False
blocker,,,,,,,,,0.1,,,,,,,true,,,1,1,1,1,0,0,0,0,,,,,,,,,,,119,,,,False
playsound,,$e_skill_skulsrsword,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,False
blocker,,,,,,,,,1.5,,,,,,,false,,,0,,,,,,,,,,,,,,,,,,121,,,,False
camerashake,,,,,,,,,,,,,,,,false,,,,,,,,,,,1,10,12,30,90,true,,,,,122,,,,False
blocker,,,,,,,,,0.1,,,,,,,true,,,1,1,1,1,0,0,0,0,,,,,,,,,,,123,,,,False
playsound,,$e_skill_skulsrsword,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,False
blocker,,,,,,,,,1.5,,,,,,,false,,,0,,,,,,,,,,,,,,,,,,125,,,,False
camerashake,,,,,,,,,,,,,,,,false,,,,,,,,,,,1,10,12,30,90,true,,,,,126,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,127,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,,,,,128,,,,False
name,让整个龙门的整合运动都知道我们在这里。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,129,让整个龙门的整合运动都知道我们在这里。,龍門中の整合運動全体に、俺たちがここにいることを知らせろ。,チェン,True
name,我们等着他们来，等着他们追逐我们，等着和他们在近卫局决一死战。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,130,我们等着他们来，等着他们追逐我们，等着和他们在近卫局决一死战。,俺たちは奴らが来るのを待つ、追ってくるのを待つ、近衛局で最後の戦いをするために待つ。,チェン,True
name,近卫局！继续攻击！别停火！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,131,近卫局！继续攻击！别停火！,近衛局！攻撃を続けろ！止まるな！,チェン,True
delay,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,132,,,,False
blocker,,,,,,,,,2,,,,,,,true,,,,,,,,,,,,,,,,,,,,,133,,,,False
