command,text_orig,key,is_skippable,fit_mode,time,fadetime,block,image,screenadapt,a,r,g,b,intro,volume,duration,xstrength,ystrength,vibrato,randomness,fadeout,name,x,y,xScale,yScale,xFrom,xTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,name2,focus,index,text,jp_text,jp_name,text_match
name,最后还是变成了这种小打小闹。,,,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,33,最后还是变成了这种小打小闹。,結局、くだらない争いになってしまったな。,ホシグマ,True
name,我拦不住你了。你走吧。,,,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,34,我拦不住你了。你走吧。,もう君を止めることはできない。行きなさい。,ホシグマ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,False
blocker,,,,,,2,true,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,36,,,,False
image,,,,,,0,,avg_7_6,,,,,,,,,,,,,,,-30,0,1.1,1.1,,,,,,,,,37,,,,False
imagetween,,,,,,,false,,,,,,,,,40,,,,,,,,,,,-30,0,1.1,1.1,0.87,0.87,,,38,,,,False
blocker,,,,,,2,true,,,0,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,False
name,......,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,40,......,……,チェン,True
name,抱歉，星熊。,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,41,抱歉，星熊。,ごめんなさい、ホシグマ。,チェン,True
name,我走以后，请你代我去贫民区。贫民区的居民惊魂未定，该有人代表近卫局去保护他们。,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,42,我走以后，请你代我去贫民区。贫民区的居民惊魂未定，该有人代表近卫局去保护他们。,私が去った後、代わりにスラムに行ってください。スラムの住民たちはまだ不安なままなので、近衛局の者が彼らを守るべきです。,チェン,True
name,如果有感染者的孩子，送你玩具小熊的话......,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,43,如果有感染者的孩子，送你玩具小熊的话......,もし感染者の子供が君にぬいぐるみのクマを渡してきたら……,チェン,True
name,收下吧。那是乌萨斯人教她们做的。因我们的失误而丧生的米莎，教她们做的。,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,44,收下吧。那是乌萨斯人教她们做的。因我们的失误而丧生的米莎，教她们做的。,受け取ってください。それはウルサスの人々が彼女たちに教えたものです。私たちの過ちで亡くなったミーシャが、彼女たちに作り方を教えたものです。,チェン,True
name,好。我会做到。,,,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,45,好。我会做到。,わかった。きっとやる。,ホシグマ,True
name,对不起。我欠你的。,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,46,对不起。我欠你的。,ごめんなさい。あなたに借りができました。,チェン,True
name,我不想听你道歉。说实在的，你不适合。,,,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,47,我不想听你道歉。说实在的，你不适合。,謝らなくていいさ。正直、君には似合わない。,ホシグマ,True
name,星熊......,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,48,星熊......,ホシグマ……,チェン,True
name,......该说都说完了。,,,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,49,......该说都说完了。,……もう言うことは全部言った。,ホシグマ,True
name,走！别再回来。,,,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,50,走！别再回来。,行け！もう戻ってくるな。,ホシグマ,True
name,——,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,51,——,——,チェン,True
name,......珍重。,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,52,......珍重。,……お元気で。,チェン,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,False
blocker,,,,,,2,true,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,55,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,False
background,,,,,,,,bg_black,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,False
blocker,,,,,,1,true,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,58,,,,False
name,“无法忍受这座城市？”,,,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,59,“无法忍受这座城市？”,「この都市を受け入れられない？」,ホシグマ,True
name,......有几个人比你更在乎这座城市？,,,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,60,......有几个人比你更在乎这座城市？,……君以上にこの都市を気にかけている者が何人いるんだ？,ホシグマ,True
name,谎话精......,,,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,61,谎话精......,嘘つきめ……,ホシグマ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,False
blocker,,,,,,1,true,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,63,,,,False
background,,,,,,,,bg_turf,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,False
playsound,,$rungeneral,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,65,,,,False
blocker,,,,,,3,true,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,66,,,,False
character,,,,,,,,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,char_015_lmg,2,67,,,,False
name,星熊督察！,,,,,,,,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,68,星熊督察！,ホシグマ督察！,近衛局メンバー,True
name,......什么？督察，你，你受伤了？谁能......,,,,,,,,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,69,......什么？督察，你，你受伤了？谁能......,……え？督察、あなた、怪我を？誰が……,近衛局メンバー,True
name,对了，我们刚刚、刚刚看见陈长官她——,,,,,,,,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,70,对了，我们刚刚、刚刚看见陈长官她——,それと、さっき、さっきチェン長官が——,近衛局メンバー,True
character,,,,,,,,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,char_015_lmg,1,71,,,,False
name,啊，那个，抱歉。,,,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,72,啊，那个，抱歉。,ああ、それは……ごめん。,ホシグマ,True
name,你们有没有时间好好聊聊？,,,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,73,你们有没有时间好好聊聊？,少し話せる時間はあるか？,ホシグマ,True
character,,,,,,,,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,char_015_lmg,2,74,,,,False
name,督察......意思是你也要妨碍公务哈？,,,,,,,,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,75,督察......意思是你也要妨碍公务哈？,督察……それってあなたも公務の邪魔をするつもりですか？,近衛局メンバー,True
character,,,,,,,,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,char_015_lmg,1,76,,,,False
name,......也不能这么说吧。,,,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,77,......也不能这么说吧。,……そういうことでもないだろう。,ホシグマ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,False
stopmusic,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,False
blocker,,,,,,2,true,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,81,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,False
background,,,,,,,,bg_lungmen_o,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,False
blocker,,,,,,1,true,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,84,,,,False
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,,,85,,,,False
name,出去吧。,,,,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,86,出去吧。,出ていきなさい。,ウェイ・イェンウー,True
character,,,,,,,,,,,,,,,,,,,,,,avg_npc_038,,,,,,,,,,,,,87,,,,False
name,是，魏公。,,,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,88,是，魏公。,はい、ウェイ公。,？？？,True
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,,,89,,,,False
name,我说过......别再那么称呼我。,,,,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,90,我说过......别再那么称呼我。,前にも言った……もうそんなふうに呼ぶな。,ウェイ・イェンウー,True
character,,,,,,,,,,,,,,,,,,,,,,avg_npc_038,,,,,,,,,,,,,91,,,,False
name,是。随时听候您的吩咐。,,,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,92,是。随时听候您的吩咐。,はい。いつでもご指示ください。,？？？,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,False
playsound,,$doorclosequite,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,94,,,,False
character,,,,,,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,False
delay,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,False
playmusic,,$dignified_loop,,,,,,,,,,,,$dignified_intro,0.4,,,,,,,,,,,,,,,,,,,,97,,,,False
character,,,,,,,,,,,,,,,,,,,,,,char_2006_weiywfmzuki_1,,,,,,,,,,,,,98,,,,False
name,......,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,99,......,……,フミヅキ,True
name,凯尔希小姐和阿米娅妹妹，在你们说话前，我能先和他说上两句吗？,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,100,凯尔希小姐和阿米娅妹妹，在你们说话前，我能先和他说上两句吗？,ケルシーさん、アーミヤちゃん、あなたたちが話す前に、私が彼と少しだけ話してもいい？,フミヅキ,True
character,,,,,,,,,,,,,,,,,,,,,,char_2006_weiywfmzuki_1,,,,,,,,,,,char_002_amiya_1,2,101,,,,False
name,嗯，您说吧，文月小姐。,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,102,嗯，您说吧，文月小姐。,はい、お話しください、フミヅキさん。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,char_2006_weiywfmzuki_1,,,,,,,,,,,char_003_kalts_1,2,103,,,,False
name,请便。,,,,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,104,请便。,どうぞ。,ケルシー,True
character,,,,,,,,,,,,,,,,,,,,,,char_2006_weiywfmzuki_1,,,,,,,,,,,,,105,,,,False
name,我们相处很多年了，魏彦吾。,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,106,我们相处很多年了，魏彦吾。,私たちは何年も付き合いがあるわね、ウェイ・イェンウー。,フミヅキ,True
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,char_2006_weiywfmzuki_1,1,107,,,,False
name,为什么说这个——为什么是现在？,,,,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,108,为什么说这个——为什么是现在？,なぜ今こんな話を——どうして今なんだ？,ウェイ・イェンウー,True
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,char_2006_weiywfmzuki_1,2,109,,,,False
name,我可是能从你眼睛里看出你在想什么的。,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,110,我可是能从你眼睛里看出你在想什么的。,私はあなたの目を見れば何を考えているか分かるのよ。,フミヅキ,True
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,char_2006_weiywfmzuki_1,1,111,,,,False
name,......文月。,,,,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,112,......文月。,……フミヅキ。,ウェイ・イェンウー,True
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,char_2006_weiywfmzuki_1,2,113,,,,False
name,哎，哎。我向来都看得出。,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,114,哎，哎。我向来都看得出。,そうよ、私は昔から分かるのよ。,フミヅキ,True
name,我知道龙门对你来说是你的一切，你的心血你的梦想。,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,115,我知道龙门对你来说是你的一切，你的心血你的梦想。,私は分かっている、龍門があなたにとって全てで、あなたの努力も夢もそこにあることを。,フミヅキ,True
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,char_2006_weiywfmzuki_1,1,116,,,,False
name,不，文月......,,,,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,117,不，文月......,違う、フミヅキ……,ウェイ・イェンウー,True
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,char_2006_weiywfmzuki_1,2,118,,,,False
name,但今天这一切不是你想要的吧？,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,119,但今天这一切不是你想要的吧？,でも、今日のこの状況はあなたが望んでいるものじゃないのでしょう？,フミヅキ,True
name,啊，（东国语道歉）。我不是在说我们进退两难的处境。,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,120,啊，（东国语道歉）。我不是在说我们进退两难的处境。,ああ、（東国語で謝罪）。私が言いたいのは私たちが進退窮まった立場だということじゃないの。,フミヅキ,True
name,我说的是......你这拿自己一切换来的繁荣。,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,121,我说的是......你这拿自己一切换来的繁荣。,私が言っているのは……あなたがすべてを犠牲にして得た繁栄のこと。,フミヅキ,True
name,你已经失去两位亲人了。不，用你的话说，三位，甚至是十几位。,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,122,你已经失去两位亲人了。不，用你的话说，三位，甚至是十几位。,あなたはすでに二人の親族を失っているわね。いや、あなたの言い方なら三人、あるいは十数人……,フミヅキ,True
name,现在你总不会还想让自己的侄女也死在那吧？,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,123,现在你总不会还想让自己的侄女也死在那吧？,今度は自分の姪まで死なせたいなんて思ってないでしょう？,フミヅキ,True
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,char_2006_weiywfmzuki_1,1,124,,,,False
name,她痛恨影卫们。一旦让他们去抓陈，她只会拼死反抗。,,,,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,125,她痛恨影卫们。一旦让他们去抓陈，她只会拼死反抗。,彼女は影衛たちを憎んでいる。彼らがチェンを捕まえに行けば、彼女は命懸けで抵抗するだろう。,ウェイ・イェンウー,True
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,char_2006_weiywfmzuki_1,2,126,,,,False
name,不，魏彦吾......我也不是在说这个。,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,127,不，魏彦吾......我也不是在说这个。,違うわ、ウェイ・イェンウー……私が言っているのはそれじゃない。,フミヅキ,True
name,你不后悔吗？你要让她们两个全都死在异国的城市吗？,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,128,你不后悔吗？你要让她们两个全都死在异国的城市吗？,あなたは後悔していないの？二人とも異郷の都市で死なせたいの？,フミヅキ,True
name,感染者又怎么了？成了感染者，她们就不是你的侄女了？,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,129,感染者又怎么了？成了感染者，她们就不是你的侄女了？,感染者になったからといって、彼女たちはもうあなたの姪じゃないの？,フミヅキ,True
name,如果我们有了孩子，难道也会被你这样对待......？,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,130,如果我们有了孩子，难道也会被你这样对待......？,もし私たちに子供ができても、同じように扱うつもり……？,フミヅキ,True
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,char_2006_weiywfmzuki_1,1,131,,,,False
name,我所做的一切都是为了让这片土地能够变得更好，也从没要陈晖洁去做该我做的事情。,,,,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,132,我所做的一切都是为了让这片土地能够变得更好，也从没要陈晖洁去做该我做的事情。,私がしてきたのは、この土地をより良くするためであり、チェン・フェイジエに私のすべきことまでさせようとしたことはない。,ウェイ・イェンウー,True
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,char_2006_weiywfmzuki_1,2,133,,,,False
name,但她就是这个性子！,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,134,但她就是这个性子！,でも、彼女はそういう性格なのよ！,フミヅキ,True
name,不，对她隐瞒，只是在她的心上继续割肉而已。她只会觉得自己不属于这里......,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,135,不，对她隐瞒，只是在她的心上继续割肉而已。她只会觉得自己不属于这里......,違う、彼女に隠したって、それは心の傷を深くするだけ。彼女は自分がここに属していないと感じるだけよ……,フミヅキ,True
name,你期望她去做的那些事情，太遥远了，太难了。,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,136,你期望她去做的那些事情，太遥远了，太难了。,あなたが彼女に望むことは、あまりに遠すぎ、あまりに難しい。,フミヅキ,True
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,char_2006_weiywfmzuki_1,1,137,,,,False
name,那我能够停手吗？,,,,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,138,,,,False
name,我身后的这些人，我脚下的这座城，我与他们角力了那么久，却也只能搏到这种结果。,,,,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,139,,,,False
name,......龙门能允许我停手吗？,,,,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,140,,,,False
name,是她想要这么做，是她想要正本清源，是她想要这座城邦不再是我治下的模样。,,,,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,141,,,,False
name,我只是教她如果那么做，需要些什么，又要放弃什么。,,,,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,142,,,,False
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,char_2006_weiywfmzuki_1,2,143,,,,False
name,行了，行了。还解释些什么，耳朵都起茧子了。,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,144,,,,False
name,我去把她抓回来。我可不能看着她去送死。,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,145,,,,False
name,你做不了的事，我来做。,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,146,,,,False
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#4,,,,,,,,,,,char_2006_weiywfmzuki_1,1,147,,,,False
name,荒唐！不许......！,,,,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,148,,,,False
name,我已经拟好了方案。我会把她带回来，而你，文月，你不准走出这里一步。,,,,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,149,,,,False
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#4,,,,,,,,,,,char_2006_weiywfmzuki_1,2,150,,,,False
name,嚯，你要拦我？,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,151,,,,False
name,（东国语）？！,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,152,,,,False
character,,,,,,,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,153,,,,False
name,唔哦。,,,,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,154,,,,False
character,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,char_003_kalts_1,1,155,,,,False
name,啊？医生，文月小姐刚说了什么？,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,156,,,,False
character,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,char_003_kalts_1,2,157,,,,False
name,如果不是她提，我都快不记得东国有这么粗鲁的词汇了。,,,,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,158,,,,False
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#4,,,,,,,,,,,char_2006_weiywfmzuki_1,2,159,,,,False
name,魏彦吾，是不是忘了我是谁？,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,160,,,,False
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#4,,,,,,,,,,,char_2006_weiywfmzuki_1,1,161,,,,False
name,文月，我有底线。,,,,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,162,,,,False
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#4,,,,,,,,,,,char_2006_weiywfmzuki_1,2,163,,,,False
name,你还记不记得自己是谁？,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,164,,,,False
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#4,,,,,,,,,,,char_2006_weiywfmzuki_1,1,165,,,,False
name,文月......！,,,,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,166,,,,False
character,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,char_003_kalts_1,1,167,,,,False
name,......医生，我觉得......,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,168,,,,False
name,（魏彦吾先生，是不是非常在乎文月小姐？）,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,169,,,,False
character,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,char_003_kalts_1,2,170,,,,False
name,（对文月来说亦然。也许......）,,,,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,171,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,False
stopmusic,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,False
blocker,,,,,,2,true,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,175,,,,False
background,,,,,,,,bg_lungmen_o,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,False
blocker,,,,,,1,true,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,177,,,,False
character,,,,,,,,,,,,,,,,,,,,,,char_2006_weiywfmzuki_1,,,,,,,,,,,char_003_kalts_1,1,178,,,,False
name,好了，罗德岛的二位。请罗德岛帮助龙门城和小陈，要多少钱？,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,179,,,,False
name,我来出这个钱。,,,,,,,,,,,,,,,,,,,,,文月,,,,,,,,,,,,,180,,,,False
character,,,,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#2,,,,,,,,,,,char_2006_weiywfmzuki_1,1,181,,,,False
name,你......,,,,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,182,,,,False
character,,,,,,,,,,,,,,,,,,,,,,char_2006_weiywfmzuki_1,,,,,,,,,,,char_002_amiya_1,2,183,,,,False
name,文月小姐真要这样委托吗？,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,184,,,,False
