command,text_orig,key,is_skippable,fit_mode,time,name,fadetime,block,a,r,g,b,image,screenadapt,intro,volume,crossfade,delay,name2,focus,index,text,jp_text,jp_name,text_match
image,,,,,,,2,,,,,,avg_5_1_swire,coverall,,,,,,,38,,,,False
blocker,,,,,,,2,true,0,,,,,,,,,,,,39,,,,False
playmusic,,$newhope01_loop,,,,,,,,,,,,,$newhope01_intro,0.6,1.5,0.5,,,40,,,,False
blocker,,,,,,,,true,1,0,0,0,,,,,,,,,41,,,,False
background,,,,,,,,,,,,,bg_corridor,coverall,,,,,,,42,,,,False
character,,,,,,char_010_chen_1#6,,,,,,,,,,,,,,,43,,,,False
blocker,,,,,,,1.5,true,0,,,,,,,,,,,,44,,,,False
name,唔！,,,,,陈,,,,,,,,,,,,,,,45,唔！,うっ！,チェン,True
name,噗，咳，咳咳......,,,,,陈,,,,,,,,,,,,,,,46,噗，咳，咳咳......,ぷっ、ゴホッ、ゴホゴホ……,チェン,True
character,,,,,,,,,,,,,,,,,,,,,47,,,,False
character,,,,,,char_308_swire_1#4,,,,,,,,,,,,,,,48,,,,False
name,醒了？,,,,,？？？,,,,,,,,,,,,,,,49,醒了？,起きた？,？？？,True
character,,,,,,char_010_chen_1#6,,,,,,,,,,,,,,,50,,,,False
name,咳。,,,,,陈,,,,,,,,,,,,,,,51,咳。,ゴホッ。,チェン,True
name,怎么......,,,,,陈,,,,,,,,,,,,,,,52,怎么......,どうして……,チェン,True
character,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,53,,,,False
name,星熊，快！整合运动——,,,,,陈,,,,,,,,,,,,,,,54,星熊，快！整合运动——,ホシグマ、早く！レユニオンが――,チェン,True
character,,,,,,char_010_chen_1#3,,,,,,,,,,,,,,,55,,,,False
name,......,,,,,陈,,,,,,,,,,,,,,,56,......,……,チェン,True
dialog,,,,,,,,,,,,,,,,,,,,,57,,,,False
blocker,,,,,,,2,true,1,0,0,0,,,,,,,,,58,,,,False
image,,,,,,,,,,,,,,,,,,,,,59,,,,False
character,,,,,,,,,,,,,,,,,,,,,60,,,,False
background,,,,,,,,,,,,,bg_corridor,coverall,,,,,,,61,,,,False
blocker,,,,,,,1.5,true,0,,,,,,,,,,,,62,,,,False
character,,,,,,char_308_swire_1#5,1,true,,,,,,,,,,,,,63,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,64,,,,False
name,白日梦做够了吗？真是的，一脸败相。,,,,,？？？,,,,,,,,,,,,,,,65,白日梦做够了吗？真是的，一脸败相。,夢ばかり見てるのはもう十分？まったく、負け犬みたいな顔して。,？？？,True
character,,,,,,char_308_swire_1#5,,,,,,,,,,,,,char_010_chen_1#4,2,66,,,,False
name,怎么是你？我的队伍呢？,,,,,陈,,,,,,,,,,,,,,,67,怎么是你？我的队伍呢？,どうしてあなたが？私の部隊は？,チェン,True
character,,,,,,char_308_swire_1#5,,,,,,,,,,,,,char_010_chen_1#4,1,68,,,,False
name,如果我说全灭了呢？,,,,,？？？,,,,,,,,,,,,,,,69,如果我说全灭了呢？,もし全滅したと言ったら？,？？？,True
character,,,,,,char_308_swire_1#5,,,,,,,,,,,,,char_010_chen_1#4,2,70,,,,False
name,想挨打的话，建议去整合运动后面排队。,,,,,陈,,,,,,,,,,,,,,,71,想挨打的话，建议去整合运动后面排队。,殴られたいなら、レユニオンの後ろに並ぶことをおすすめするわ。,チェン,True
character,,,,,,char_308_swire_1#5,,,,,,,,,,,,,char_010_chen_1#4,1,72,,,,False
name,嘴上功夫一直厉害得很，战场上怎么见不到你这么凶？,,,,,？？？,,,,,,,,,,,,,,,73,嘴上功夫一直厉害得很，战场上怎么见不到你这么凶？,口だけは本当に強いけど、戦場じゃそんなに怖そうに見えないよ？,？？？,True
dialog,,,,,,,,,,,,,,,,,,,,,74,,,,False
character,,,,,,,,,,,,,,,,,,,,,75,,,,False
delay,,,,,0.3,,,,,,,,,,,,,,,,76,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,77,,,,False
character,,,,,,char_136_hsguma,0.5,,,,,,,,,,,,,,78,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,79,,,,False
name,你们怎么回事？我才走开一小会儿，你们两个就又吵架吵成这个样？,,,,,星熊,,,,,,,,,,,,,,,80,你们怎么回事？我才走开一小会儿，你们两个就又吵架吵成这个样？,どうしたんだ？ちょっと目を離しただけなのに、また二人ともそんなに喧嘩してるの？,ホシグマ,True
character,,,,,,char_136_hsguma,,,,,,,,,,,,,char_308_swire_1#5,1,81,,,,False
name,Miss.诗怀雅，少讽刺她两句对你没坏处，真的。,,,,,星熊,,,,,,,,,,,,,,,82,Miss.诗怀雅，少讽刺她两句对你没坏处，真的。,詩懷雅さん、彼女をちょっとからかわない方があなたのためにもいいよ、本当に。,ホシグマ,True
character,,,,,,char_136_hsguma,,,,,,,,,,,,,char_308_swire_1#5,2,83,,,,False
name,哼。,,,,,诗怀雅,,,,,,,,,,,,,,,84,哼。,ふん。,シー・ワイア,True
character,,,,,,char_136_hsguma,,,,,,,,,,,,,char_010_chen_1#1,1,85,,,,False
name,老陈你也是，才刚醒就......,,,,,星熊,,,,,,,,,,,,,,,86,老陈你也是，才刚醒就......,チェン、君もだよ。起きたばかりなのに……,ホシグマ,True
name,等等，你怎么湿得跟刚被园艺车浇过一样？,,,,,星熊,,,,,,,,,,,,,,,87,等等，你怎么湿得跟刚被园艺车浇过一样？,それに、なんで君は園芸車で水まかれたみたいにびしょ濡れなんだ？,ホシグマ,True
character,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,88,,,,False
name,你问她。,,,,,陈,,,,,,,,,,,,,,,89,你问她。,彼女に聞いてくれ。,チェン,True
character,,,,,,char_136_hsguma,,,,,,,,,,,,,char_308_swire_1#5,1,90,,,,False
name,“小姐”，这空杯子是怎么回事？我记得我给你们两个人各倒了一杯水？,,,,,星熊,,,,,,,,,,,,,,,91,“小姐”，这空杯子是怎么回事？我记得我给你们两个人各倒了一杯水？,「お嬢さん」、この空のコップはどういうことだ？確か二人に一杯ずつ水を入れたはずだけど？,ホシグマ,True
character,,,,,,char_136_hsguma,,,,,,,,,,,,,char_308_swire_1#5,2,92,,,,False
name,她梦里说胡话。,,,,,诗怀雅,,,,,,,,,,,,,,,93,她梦里说胡话。,彼女は夢の中で寝言を言ってた。,シー・ワイア,True
character,,,,,,char_136_hsguma,,,,,,,,,,,,,,,94,,,,False
name,搞什么......,,,,,星熊,,,,,,,,,,,,,,,95,搞什么......,どういうことだよ……,ホシグマ,True
character,,,,,,char_136_hsguma,,,,,,,,,,,,,char_010_chen_1#1,2,96,,,,False
name,我们在哪？,,,,,陈,,,,,,,,,,,,,,,97,我们在哪？,ここはどこだ？,チェン,True
character,,,,,,char_136_hsguma,,,,,,,,,,,,,char_010_chen_1#1,1,98,,,,False
name,罗德岛的某个舱室。,,,,,星熊,,,,,,,,,,,,,,,99,罗德岛的某个舱室。,ロドスのどこかの船室だよ。,ホシグマ,True
character,,,,,,char_308_swire_1#5,,,,,,,,,,,,,,,100,,,,False
name,三刻钟前，陈警司，你和你的小队逃窜回了龙门。,,,,,诗怀雅,,,,,,,,,,,,,,,101,三刻钟前，陈警司，你和你的小队逃窜回了龙门。,四十五分前、チェン警司、あなたとあなたの小隊は龍門へ逃げ戻ったわ。,シー・ワイア,True
name,你可能觉得你们把自己的行踪隐藏得很好，但徘徊在龙门外围的整合运动并不这么想。,,,,,诗怀雅,,,,,,,,,,,,,,,102,你可能觉得你们把自己的行踪隐藏得很好，但徘徊在龙门外围的整合运动并不这么想。,あなたたちは自分の行動をうまく隠したつもりかもしれないけど、龍門の外でうろついてるレユニオンはそう思ってないわ。,シー・ワイア,True
dialog,,,,,,,,,,,,,,,,,,,,,103,,,,False
delay,,,,,0.5,,,,,,,,,,,,,,,,104,,,,False
blocker,,,,,,,2,true,1,0,0,0,,,,,,,,,105,,,,False
blocker,,,,,,,0.5,true,,,,,,,,,,,,,106,,,,False
