command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,initr,duration,xstrength,ystrength,vibrato,randomness,fadeout,afrom,rfrom,gfrom,bfrom,index,text,jp_text,jp_name,text_match
name,这样吧，阿米娅。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,54,这样吧，阿米娅。,こうしよう、アーミヤ。,フランカ,True
name,我先和雷蛇迂回作战，边侦察敌情，边尝试占领这片区域中的高地。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,55,我先和雷蛇迂回作战，边侦察敌情，边尝试占领这片区域中的高地。,私とレイズが回り込んで敵を偵察しつつ、このエリアの高台を確保してくるよ。,フランカ,True
name,在我们通知你之前，罗德岛最好先坚守阵地。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,56,在我们通知你之前，罗德岛最好先坚守阵地。,私たちから連絡があるまで、ロドスは持ち場を守っていて。,フランカ,True
name,可别因为我们战斗得太激烈就突然冲出来哦，阿米娅。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,57,可别因为我们战斗得太激烈就突然冲出来哦，阿米娅。,私たちが激しく戦っても、急に飛び出してこないでね、アーミヤ。,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1,2,,,,,,,,,,,,,,,,,58,,,,False
name,我知道的，我会自己判断局势。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,59,我知道的，我会自己判断局势。,分かっている、自分で状況を判断するよ。,アーミヤ,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,60,,,,False
name,博士，你也要拉好她哦！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,61,博士，你也要拉好她哦！,ドクター、アーミヤをしっかり引き止めておいてね！,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,2,,,,,,,,,,,,,,,,,62,,,,False
name,保持联系。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,63,保持联系。,連絡を取り合おう。,レイズ,True
blocker,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,2,,,,,,,,,,,64,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,False
blocker,,,,,,,,0.6,,,,,,,,,0,,,,true,,,,,,,,,,,,66,,,,False
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,67,,,,False
name,废墟空无一人，制高点也没人防守。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,68,废墟空无一人，制高点也没人防守。,廃墟は無人、高台も誰も守っていない。,フランカ,True
name,有趣，整合运动难道没有指挥官？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,69,有趣，整合运动难道没有指挥官？,おもしろい、レユニオンには指揮官がいないのか？,フランカ,True
character,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,70,,,,False
name,芙兰卡，有什么问题吗？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,71,芙兰卡，有什么问题吗？,フランカ、何か問題が？,アーミヤ,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,72,,,,False
name,明明是十分易守难攻的地形。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,73,明明是十分易守难攻的地形。,これだけ守りやすく攻めにくい地形なのに。,フランカ,True
name,整合运动肯定会埋伏我们——————,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,74,整合运动肯定会埋伏我们——————,レユニオンは絶対にここで待ち伏せしているはず――――――,フランカ,True
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,75,,,,False
name,去死吧，感染者叛徒！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,76,去死吧，感染者叛徒！,死ね、感染者の裏切り者め！,レユニオンメンバー,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,77,,,,False
name,啧，真是不给面子啊。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,78,啧，真是不给面子啊。,ちっ、まったく容赦ないな。,フランカ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,79,,,,False
name,——芙兰卡！！小心侧面也有！！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,80,——芙兰卡！！小心侧面也有！！,――フランカ！！側面にも気をつけて！！,アーミヤ,True
name,我看见有整合运动从建筑下方——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,81,我看见有整合运动从建筑下方——,建物の下からレユニオンが……,アーミヤ,True
camerashake,,,,,,,,,,,,,,,,,,,,,false,,1,10,12,30,90,true,,,,,82,,,,False
blocker,,,,,,,,0.1,,,,,,,,,1,1,1,1,true,,,,,,,,0,0,0,0,83,,,,False
playsound,,$p_imp_sword_n,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,84,,,,False
blocker,,,,,,,,1.5,,,,,,,,,0,,,,false,,,,,,,,,,,,85,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,86,,,,False
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,87,,,,False
name,咳......快剑......？！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,88,咳......快剑......？！,ぐっ……速剣……？！,レユニオンメンバー,True
name,怎么......会......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,89,怎么......会......,なぜ……こんな……,レユニオンメンバー,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,90,,,,False
name,呵呵。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,91,呵呵。,ふふ。,フランカ,True
name,以为躲在废墟下方，就能从脚底偷袭我们？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,92,以为躲在废墟下方，就能从脚底偷袭我们？,廃墟の下に隠れていれば、足元から奇襲できると思った？,フランカ,True
name,未免也太小看我了吧？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,93,未免也太小看我了吧？,私のこと、なめすぎだよね？,フランカ,True
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,94,,,,False
name,......黑钢......！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,95,......黑钢......！,……ブラックスチール……！,レユニオンメンバー,True
dialog,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,False
playsound,,$d_gen_soldiersrun,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,98,,,,False
name,撤退！快撤退！,,,,,,,,,,,,,整合运动,,,,,,,,,,,,,,,,,,,99,撤退！快撤退！,撤退！早く撤退だ！,レユニオン,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,1,,,,,,,,,,,,,,,,,100,,,,False
name,我还真以为会有大批整合运动埋伏在这，弄得我一路都是踮着脚尖走过来的呢。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,101,我还真以为会有大批整合运动埋伏在这，弄得我一路都是踮着脚尖走过来的呢。,大量のレユニオンが待ち伏せしてると思って、ずっとつま先立ちで歩いてきたのに。,フランカ,True
name,结果就是一批胆小鬼而已，真让人有些泄气。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,102,结果就是一批胆小鬼而已，真让人有些泄气。,結局は臆病者ばかりで、ちょっとがっかりだよ。,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,2,,,,,,,,,,,,,,,,,103,,,,False
name,别因为这点小事泄气啊！,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,104,别因为这点小事泄气啊！,こんなことで落ち込んじゃだめだよ！,レイズ,True
name,不能让他们这么轻易就逃脱，我们理当追击敌人！,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,105,不能让他们这么轻易就逃脱，我们理当追击敌人！,こんな簡単に逃げさせるわけにはいかない、私たちは敵を追撃するべきだ！,レイズ,True
name,阿米娅，你觉得呢？,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,106,阿米娅，你觉得呢？,アーミヤ、どう思う？,レイズ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,107,,,,False
name,我觉得，还是不能冒进！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,108,我觉得，还是不能冒进！,私は、やっぱり無謀に突っ込むべきじゃないと思う！,アーミヤ,True
name,先让企鹅物流的二位帮你们稳定局势之后再做打算比较好。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,109,先让企鹅物流的二位帮你们稳定局势之后再做打算比较好。,まずはペンギン急便の二人に状況を安定させてもらってから、考えよう。,アーミヤ,True
name,能天使，能优先确保制高点吗？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,110,能天使，能优先确保制高点吗？,エクシア、高台の確保を優先してくれる？,アーミヤ,True
character,,,,,,,,,,,,,,char_103_angel_1,,,,,,,,,,,,,,,,,,,111,,,,False
name,好嘞！那我就去咯？,,,,,,,,,,,,, 能天使,,,,,,,,,,,,,,,,,,,112,好嘞！那我就去咯？,はーい！じゃあ、行ってくるね？, エクシア,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,113,,,,False
name,好的，尽量压制住敌人，不要给整合运动丁点反击的机会！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,114,好的，尽量压制住敌人，不要给整合运动丁点反击的机会！,了解、できるだけ敵を圧倒して、レユニオンに反撃の隙を与えないように！,アーミヤ,True
character,,,,,,,,,,,,,,char_102_texas_1,,,,,,,,,,,,,,,,,,,115,,,,False
name,——,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,116,——,――,テキサス,True
name,整合运动跑了一小段距离之后，就在那里重整阵形了。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,117,整合运动跑了一小段距离之后，就在那里重整阵形了。,レユニオンは少し離れたところで隊列を立て直してる。,テキサス,True
name,他们好像......还牵了个什么出来。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,118,他们好像......还牵了个什么出来。,どうやら……何かを連れてきたみたいだ。,テキサス,True
character,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,119,,,,False
name,——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,120,——,――,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,121,,,,False
name,当心。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,122,当心。,気をつけて。,アーミヤ,True
name,那个整合运动的暴徒......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,123,那个整合运动的暴徒......,あのレユニオンの暴徒は……,アーミヤ,True
name,可不是普通的战斗人员！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,124,可不是普通的战斗人员！,普通の戦闘員じゃない！,アーミヤ,True
name,整合运动这些家伙，怎么还和......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,125,整合运动这些家伙，怎么还和......,レユニオンのやつら、まさか……,アーミヤ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,1,,,,,,,,,,,,,,,,,126,,,,False
name,会不会是......,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,127,会不会是......,もしかして……,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,2,,,,,,,,,,,,,,,,,128,,,,False
name,和什么？,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,129,和什么？,何と？,レイズ,True
name,......,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,130,......,……,レイズ,True
name,确实，这个整合运动的成员，难道说，是魔......,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,131,确实，这个整合运动的成员，难道说，是魔......,確かに、このレユニオンのメンバーは、まさか、魔……,レイズ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,132,,,,False
name,难道说......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,133,难道说......,もしかして……,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,char_107_liskam_1,1,,,,,,,,,,,,,,,,,134,,,,False
name,（雷蛇，我们正和近卫局共事，今天可能......不太适合讨论这样敏感的问题！）,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,135,（雷蛇，我们正和近卫局共事，今天可能......不太适合讨论这样敏感的问题！）,（レイズ、今は近衛局と一緒にいるから、今日はこういうデリケートな話は控えたほうがいいよ！）,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,char_107_liskam_1,2,,,,,,,,,,,,,,,,,136,,,,False
name,（啊，明白。）,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,137,（啊，明白。）,（あ、分かった。）,レイズ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,char_107_liskam_1,1,,,,,,,,,,,,,,,,,138,,,,False
name,（下次我会再和你谈谈我的猜想！）,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,139,（下次我会再和你谈谈我的猜想！）,（また今度、君に推測を話すね！）,アーミヤ,True
character,,,,,,,,,,,,,,char_102_texas_1,,,,,,,,,,,,,,,,,,,140,,,,False
name,......唔哦。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,141,......唔哦。,……ううっ。,テキサス,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,142,,,,False
name,大家，请做好准备！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,143,大家，请做好准备！,みんな、準備して！,アーミヤ,True
name,可能......会是场十分艰巨的战斗！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,144,可能......会是场十分艰巨的战斗！,これから……とても厳しい戦いになるかもしれません！,アーミヤ,True
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,145,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,146,,,,False
