command,text_orig,name,focus,image,index,text,jp_text,jp_name,text_match
name,乌萨斯已经不再是过往那只庞然恶物，只有蠢人和疯子才会发动一场损失甚巨、无利可图，且必定失败的战争。,魏彦吾,,,27,乌萨斯已经不再是过往那只庞然恶物，只有蠢人和疯子才会发动一场损失甚巨、无利可图，且必定失败的战争。,ウルサスはもはやかつての巨大な怪物ではない。これほど大きな損失をもたらし利益もなく、確実に失敗する戦争を始めるのは愚か者か狂人だけだ。,魏彦吾,True
character,,char_2005_weiyw_1,2,,28,,,char_2005_weiyw_1,True
name,魏先生，据我所知，这两种人在任何国家与城邦都不少见。,凯尔希,,,29,魏先生，据我所知，这两种人在任何国家与城邦都不少见。,魏さん、私が知る限り、この二種類の人間はどんな国や都市にも決して少なくはありません。,ケルシー,True
character,,char_2005_weiyw_1,,,30,,,char_2005_weiyw_1,True
name,剔除酝酿灾难的种种因素，既是我的职责之一，也是乌萨斯的帝国议会的职能所在。,魏彦吾,,,31,剔除酝酿灾难的种种因素，既是我的职责之一，也是乌萨斯的帝国议会的职能所在。,災厄の芽を摘むことは、私の役目のひとつであると同時に、ウルサス帝国議会の職能でもある。,魏彦吾,True
character,,char_010_chen_1#5,,,32,,,char_010_chen_1#5,True
name,......,陈,,,33,......,……,チェン,True
character,,char_2005_weiyw_1,,,34,,,char_2005_weiyw_1,True
name,一旦帝国议会做出答复，我们就会立刻实施各项措施，停止切尔诺伯格核心城的运作。,魏彦吾,,,35,一旦帝国议会做出答复，我们就会立刻实施各项措施，停止切尔诺伯格核心城的运作。,帝国議会が回答を下し次第、私たちは直ちにあらゆる手段を講じ、チェルノボーグのコアシティの稼働を停止する。,魏彦吾,True
name,之后的外交事端，交给外交官们去做。,魏彦吾,,,36,之后的外交事端，交给外交官们去做。,そのあとの外交問題は外交官に任せる。,魏彦吾,True
name,我们只负责把危机消灭在摇篮里。,魏彦吾,,,37,我们只负责把危机消灭在摇篮里。,我々は、危機を揺りかごのうちに消し去ることだけが任務だ。,魏彦吾,True
character,,char_2005_weiyw_1,2,,38,,,char_2005_weiyw_1,True
name,你很信任对方，哪怕对方是乌萨斯？,凯尔希,,,39,你很信任对方，哪怕对方是乌萨斯？,あなたは相手をとても信頼しているようですね。たとえ相手がウルサスであっても？,ケルシー,True
character,,char_2005_weiyw_1,1,,40,,,char_2005_weiyw_1,True
name,不。我很信任利益。,魏彦吾,,,41,不。我很信任利益。,いや、私は利益を信じている。,魏彦吾,True
name,接连的战争带来了惨痛的教训，纵使乌萨斯成功自战争中攫取了大量的资源，它却无力对抗接踵而至的内部腐蚀......,魏彦吾,,,42,接连的战争带来了惨痛的教训，纵使乌萨斯成功自战争中攫取了大量的资源，它却无力对抗接踵而至的内部腐蚀......,続く戦争がもたらしたのは痛ましい教訓だ。ウルサスは戦争で多くの資源を手に入れたものの、内部の腐敗には対抗できなかった…。,魏彦吾,True
name,它没能消化它征服的居民与土地，任何国家都无法同时承受叛乱的剧痛与民众相互仇视产生的剧毒。,魏彦吾,,,43,它没能消化它征服的居民与土地，任何国家都无法同时承受叛乱的剧痛与民众相互仇视产生的剧毒。,征服した住民や土地を消化できず、どの国であっても、反乱の激痛や国民同士の憎悪という猛毒に同時に耐え続けることはできない。,魏彦吾,True
name,现在的乌萨斯帝国只是具外强中干的腐尸。,魏彦吾,,,44,现在的乌萨斯帝国只是具外强中干的腐尸。,今のウルサス帝国は、強そうに見えて中身は腐った屍だ。,魏彦吾,True
character,,char_2005_weiyw_1,2,,45,,,char_2005_weiyw_1,True
name,这就是魏先生相信乌萨斯会遵循利益的走向，履行与你之间的协定的理由？,凯尔希,,,46,这就是魏先生相信乌萨斯会遵循利益的走向，履行与你之间的协定的理由？,それが、魏さんがウルサスが利益に則って動き、あなたとの協定を履行するだろうと信じている理由なのですね？,ケルシー,True
character,,char_2005_weiyw_1,,,47,,,char_2005_weiyw_1,True
name,我和帝国议会议长间没有任何或口头或成文的协议。我们只是同样还保留着少许理智。,魏彦吾,,,48,我和帝国议会议长间没有任何或口头或成文的协议。我们只是同样还保留着少许理智。,私と帝国議会の議長との間に、口頭でも文書でもいかなる協定もない。ただ、我々にはまだ少しばかり理性が残っているだけだ。,魏彦吾,True
name,文月，替我发送消息，我需要第一时间得到两方的......,魏彦吾,,,49,文月，替我发送消息，我需要第一时间得到两方的......,文月、連絡を頼む。私は両者からの情報をすぐに知る必要があるのだ……。,魏彦吾,True
character,,char_2005_weiyw_1,2,,50,,,char_2005_weiyw_1,True
name,呵。,文月,,,51,呵。,ふっ。,文月,True
character,,char_2005_weiyw_1,1,,52,,,char_2005_weiyw_1,True
name,......文月。,魏彦吾,,,53,......文月。,……文月。,魏彦吾,True
character,,char_2005_weiyw_1,2,,54,,,char_2005_weiyw_1,True
name,这里还有一份消息。只属于你的消息。,文月,,,55,这里还有一份消息。只属于你的消息。,ここにもう1件、あなただけに宛てたメッセージがある。,文月,True
character,,char_2006_weiywfmzuki_1,,,56,,,char_2006_weiywfmzuki_1,True
name,凯尔希医生和阿米娅小姐，还有小陈......你们也听一听。,文月,,,57,凯尔希医生和阿米娅小姐，还有小陈......你们也听一听。,ケルシードクター、アーミヤさん、そしてチェンちゃん……あなたたちも聞いてくれ。,文月,True
character,,char_2005_weiyw_1#5,1,,58,,,char_2005_weiyw_1#5,True
name,文月？,魏彦吾,,,59,文月？,文月？,魏彦吾,True
character,,char_2005_weiyw_1#5,2,,60,,,char_2005_weiyw_1#5,True
name,好好听完，你会改变看法的。,文月,,,61,好好听完，你会改变看法的。,最後までよく聞けば、お前の考えも変わるさ。,文月,True
character,,char_2005_weiyw_1#5,1,,62,,,char_2005_weiyw_1#5,True
name,我不同意。,魏彦吾,,,63,我不同意。,私は同意しない。,魏彦吾,True
character,,char_2005_weiyw_1#5,2,,64,,,char_2005_weiyw_1#5,True
name,如果你再拒绝她们，我们就真的要孤立无援了。,文月,,,65,如果你再拒绝她们，我们就真的要孤立无援了。,お前がこれ以上彼女たちを拒むなら、本当に誰からも助けてもらえなくなるぞ。,文月,True
dialog,,,,,66,,,,True
character,,,,,67,,,,True
playsound,,,,,68,,,,True
delay,,,,,69,,,,True
name,“魏长官，接到这条消息意味着你必须立刻采取行动。”,录音,,,70,“魏长官，接到这条消息意味着你必须立刻采取行动。”,「魏長官、このメッセージを受け取ったということは、あなたが直ちに行動を起こさなければならないということです。」,録音,True
character,,char_2005_weiyw_1,,,71,,,char_2005_weiyw_1,True
name,怎么......是我的信使。,魏彦吾,,,72,怎么......是我的信使。,どうして……私の伝令か。,魏彦吾,True
dialog,,,,,73,,,,True
character,,,,,74,,,,True
playsound,,,,,75,,,,True
delay,,,,,76,,,,True
name,“接下来的讯息已经过法术加密。”,录音,,,77,“接下来的讯息已经过法术加密。”,「これからのメッセージは魔術によって暗号化されています。」,録音,True
name,“魏先生，第三和第四集团军出现了松动。我们没能查到事情的源头。”,浑厚的男声录音,,,78,“魏先生，第三和第四集团军出现了松动。我们没能查到事情的源头。”,「魏さん、第三軍と第四軍団で動揺が出ています。原因を突き止めることができませんでした。」,重厚な男性の録音,True
name,“我甚至没法推测谁是主谋。”,浑厚的男声录音,,,79,“我甚至没法推测谁是主谋。”,「首謀者が誰なのかさえ推測できません。」,重厚な男性の録音,True
name,“他们在议会席上窃窃私语，嘲笑着我无力取胜的丑态，我却找不出追究他们责任的证据。”,浑厚的男声录音,,,80,“他们在议会席上窃窃私语，嘲笑着我无力取胜的丑态，我却找不出追究他们责任的证据。”,「彼らは議会の席でひそひそと私語し、私が勝てない無様な姿を嘲笑っています。しかし、私は彼らの責任を追及する証拠を見つけ出せませんでした。」,重厚な男性の声の録音,True
name,“如果在切尔诺伯格发生了什么，您应该倾力阻止。否则事情将一发不可收拾。”,浑厚的男声录音,,,81,“如果在切尔诺伯格发生了什么，您应该倾力阻止。否则事情将一发不可收拾。”,「もしチェルノボーグで何かが起きた場合、あなたは全力で止めるべきです。そうでなければ、事態は手に負えなくなるでしょう。」,重厚な男性の声の録音,True
name,“您仍然有足够的智慧与能力，去将事端消灭在源头处。我们无能为力的事情，只能交给您。”,浑厚的男声录音,,,82,“您仍然有足够的智慧与能力，去将事端消灭在源头处。我们无能为力的事情，只能交给您。”,「あなたにはまだ、トラブルを根本から解決できるだけの知恵と能力があります。我々には何もできませんので、お任せするしかありません。」,重厚な男性の声の録音,True
character,,char_2006_weiywfmzuki_1,,,83,,,char_2006_weiywfmzuki_1,True
name,结束了。,文月,,,84,结束了。,終わりました。,文月,True
character,,char_2005_weiyw_1#5,1,,85,,,char_2005_weiyw_1#5,True
name,......让我听完。,魏彦吾,,,86,......让我听完。,……最後まで聞かせてくれ。,魏彦吾,True
character,,char_2005_weiyw_1#5,2,,87,,,char_2005_weiyw_1#5,True
name,之后是信使的独白......,文月,,,88,之后是信使的独白......,次は信使の独白です……,文月,True
character,,char_2005_weiyw_1#5,1,,89,,,char_2005_weiyw_1#5,True
name,他是我的信使。让我听完。,魏彦吾,,,90,他是我的信使。让我听完。,彼は私の信使だ。最後まで聞かせてくれ。,魏彦吾,True
dialog,,,,,91,,,,True
character,,,,,92,,,,True
delay,,,,,93,,,,True
playsound,,,,,94,,,,True
name,“我没能见到维特议长，他派来与我联络的信使也遭到了不明势力的追杀。幸亏这位信使安然无恙。”,浑厚的男声录音,,,95,“我没能见到维特议长，他派来与我联络的信使也遭到了不明势力的追杀。幸亏这位信使安然无恙。”,「ヴィト議長には会えませんでしたが、議長が私との連絡役として派遣した信使も正体不明の勢力に命を狙われました。幸い、この信使は無事でした。」,重厚な男性の声の録音,True
name,“这位信使连夜溜出圣骏堡，有人暗中为他提供了方便，我认为乌萨斯的内部势力正在相互拉锯。”,浑厚的男声录音,,,96,“这位信使连夜溜出圣骏堡，有人暗中为他提供了方便，我认为乌萨斯的内部势力正在相互拉锯。”,「この信使は夜のうちに聖駿堡から抜け出し、誰かが裏で彼に便宜を図ったようです。私はウルサス内部の勢力が対立していると考えています。」,重厚な男性の声の録音,True
name,“在这之后的路途中，我多次遭遇袭击，也有许多身份不明的人尝试保护我。”,浑厚的男声录音,,,97,“在这之后的路途中，我多次遭遇袭击，也有许多身份不明的人尝试保护我。”,「その後の道中、私は何度も襲撃を受け、また多くの身元不明な人物が私を守ろうとしました。」,重厚な男性の声の録音,True
character,,char_2005_weiyw_1#5,,,98,,,char_2005_weiyw_1#5,True
name,维特的势力帮助了他们......,魏彦吾,,,99,维特的势力帮助了他们......,ヴィトの勢力が彼らを助けたのか……,魏彦吾,True
dialog,,,,,100,,,,True
character,,,,,101,,,,True
delay,,,,,102,,,,True
playsound,,,,,103,,,,True
name,“我已经抵达了乌拉尔裂谷，征用了脚下的发报站。之后会发生什么事，我也不清楚。”,浑厚的男声录音,,,104,“我已经抵达了乌拉尔裂谷，征用了脚下的发报站。之后会发生什么事，我也不清楚。”,「私はすでにウラル峡谷に到着し、目の前の無線通信所を占用しました。この先何が起きるか、私にも分かりません。」,重厚な男性の声の録音,True
name,“真希望回龙门喝点家乡的茶。”,浑厚的男声录音,,,105,“真希望回龙门喝点家乡的茶。”,「本当に、龍門に戻って故郷のお茶を飲みたいものです。」,重厚な男性の声の録音,True
dialog,,,,,106,,,,True
playsound,,,,,107,,,,True
delay,,,,,108,,,,True
character,,char_2005_weiyw_1#5,,,109,,,char_2005_weiyw_1#5,True
name,他现在？,魏彦吾,,,110,他现在？,彼は今どこに？,魏彦吾,True
character,,char_2005_weiyw_1#5,2,,111,,,char_2005_weiyw_1#5,True
name,生死未卜。,文月,,,112,生死未卜。,生死は不明です。,文月,True
dialog,,,,,113,,,,True
character,,,,,114,,,,True
blocker,,,,,115,,,,True
blocker,,,,,116,,,,True
character,,char_003_kalts_1,,,117,,,char_003_kalts_1,True
name,听上去帝国议长正要袖手旁观。,凯尔希,,,118,听上去帝国议长正要袖手旁观。,聞いた感じだと、帝国議長は傍観するつもりのようだ。,ケルシー,True
name,帝国议会虽然是乌萨斯的中心......但切尔诺伯格现在所处的区域，恰好是乌萨斯的边疆。,凯尔希,,,119,帝国议会虽然是乌萨斯的中心......但切尔诺伯格现在所处的区域，恰好是乌萨斯的边疆。,帝国議会はウルサスの中枢ではあるが……チェルノボーグがある場所は、ちょうどウルサスの辺境だ。,ケルシー,True
name,边疆一直处于军队和残余旧贵族的势力范围之内。,凯尔希,,,120,边疆一直处于军队和残余旧贵族的势力范围之内。,辺境は常に軍と残った旧貴族の勢力範囲にあった。,ケルシー,True
name,军队没有在大叛乱后继续参与类似行动的机会，但感染者有。,凯尔希,,,121,军队没有在大叛乱后继续参与类似行动的机会，但感染者有。,軍は大反乱の後、同じような行動に関与する機会はなかったが、感染者にはその余地がある。,ケルシー,True
name,所有被严密监视的旧贵族都没法策划切尔诺伯格的灾难，但感染者能。,凯尔希,,,122,所有被严密监视的旧贵族都没法策划切尔诺伯格的灾难，但感染者能。,厳しく監視されている旧貴族にはチェルノボーグの災害を計画することはできないが、感染者にはできる。,ケルシー,True
name,是的，大多数未经训练的整合运动感染者，并不能与军警和被蒙在鼓里的切尔诺伯格常备防暴武装抗衡——,凯尔希,,,123,是的，大多数未经训练的整合运动感染者，并不能与军警和被蒙在鼓里的切尔诺伯格常备防暴武装抗衡——,そうだ、未訓練の統合運動感染者の大多数は、軍警や何も知らないままのチェルノボーグ常備暴動部隊には太刀打ちできない……,ケルシー,True
name,但天灾能。切尔诺伯格没有提前拆分地块，面对天灾的袭击，切尔诺伯格无计可施。,凯尔希,,,124,但天灾能。切尔诺伯格没有提前拆分地块，面对天灾的袭击，切尔诺伯格无计可施。,だが、天災は違う。チェルノボーグはあらかじめ区画分割をしておらず、天災の襲撃にはなす術がない。,ケルシー,True
name,整合运动需要提前潜入这座城市来阻止城市武装力量的纠集，军队也可以对他们的潜入视而不见。,凯尔希,,,125,整合运动需要提前潜入这座城市来阻止城市武装力量的纠集，军队也可以对他们的潜入视而不见。,統合運動は都市武装の集結を阻止するために、あらかじめこの都市に潜入する必要がある。軍も彼らの潜入を見て見ぬふりができる。,ケルシー,True
name,龙门和我们提前预见了整合运动的动向，近卫局也策划了针对整合运动的全面围剿，但切尔诺伯格......,凯尔希,,,126,龙门和我们提前预见了整合运动的动向，近卫局也策划了针对整合运动的全面围剿，但切尔诺伯格......,龍門と私たちは統合運動の動きを事前に察知し、近衛局も統合運動に対する全面掃討を計画した。しかしチェルノボーグは……,ケルシー,True
name,哪怕到今天为止，切尔诺伯格，或者说乌萨斯和他们的喉舌......一声未发。,凯尔希,,,127,哪怕到今天为止，切尔诺伯格，或者说乌萨斯和他们的喉舌......一声未发。,今日に至るまで、チェルノボーグ、つまりウルサスとその代弁者たちは……何も発言していない。,ケルシー,True
name,谜底揭晓了。,凯尔希,,,128,谜底揭晓了。,答えが明らかになった。,ケルシー,True
name,无视这座城市的价值，无视所有居民的死活，乌萨斯把切尔诺伯格拱手送给了整合运动。,凯尔希,,,129,无视这座城市的价值，无视所有居民的死活，乌萨斯把切尔诺伯格拱手送给了整合运动。,この都市の価値も、すべての住民の生死も無視して、ウルサスはチェルノボーグを統合運動に引き渡した。,ケルシー,True
name,而已经被感染的，已经在死亡边缘徘徊太久的感染者，无惧死亡的感染者们，将在天灾后接管这座城市。,凯尔希,,,130,而已经被感染的，已经在死亡边缘徘徊太久的感染者，无惧死亡的感染者们，将在天灾后接管这座城市。,そして既に感染し、死の淵をさまよい続け、死を恐れない感染者たちが、天災の後、この都市を引き継ぐことになるだろう。,ケルシー,True
character,,char_2006_weiywfmzuki_1,,,131,,,char_2006_weiywfmzuki_1,True
name,他们根本不需要出手，他们只需要......让道。,文月,,,132,他们根本不需要出手，他们只需要......让道。,彼らは何もする必要はありません。ただ……道を譲ればいいのです。,文月,True
name,他们只需要允许这件事情发生。,文月,,,133,他们只需要允许这件事情发生。,ただ、この出来事が起こることを許せば良いのです。,文月,True
character,,char_002_amiya_1#7,,,134,,,char_002_amiya_1#7,True
name,即使这样，切尔诺伯格遭到天灾侵袭后，只是个缺乏资源的死城......,阿米娅,,,135,即使这样，切尔诺伯格遭到天灾侵袭后，只是个缺乏资源的死城......,それでも、チェルノボーグが天災の侵襲を受ければ、ただの資源不足の死の都市になるだけです……,アーミヤ,True
character,,char_2006_weiywfmzuki_1,,,136,,,char_2006_weiywfmzuki_1,True
name,感染者自然会涌向龙门！无论整合运动是谁在操纵，这一切简直，简直都水到渠成......！,文月,,,137,感染者自然会涌向龙门！无论整合运动是谁在操纵，这一切简直，简直都水到渠成......！,感染者は当然のように龍門へと流れ込むでしょう！統合運動を誰が操っていようが、これら全ては、まるで、まるで当然の流れのように……！,文月,True
character,,char_2005_weiyw_1#5,,,138,,,char_2005_weiyw_1#5,True
name,——,魏彦吾,,,139,——,——,魏彦吾,True
name,传令。立刻阻拦监察司，使用武力也无所谓。做好一切开战准备，我要龙门保证能确定无误地瘫痪核心城。,魏彦吾,,,140,传令。立刻阻拦监察司，使用武力也无所谓。做好一切开战准备，我要龙门保证能确定无误地瘫痪核心城。,伝令を。直ちに監察司を阻止し、武力の使用も厭わない。全面的な開戦準備を整えさせろ。龍門には、必ずや核心都市の無力化を確実に行わせるのだ。,魏彦吾,True
name,在核心城停下之前，不准有一丝让消息传递出去的可能性。,魏彦吾,,,141,在核心城停下之前，不准有一丝让消息传递出去的可能性。,核心都市が止まるまで、少したりとも情報が流出する可能性を許すな。,魏彦吾,True
character,,char_002_amiya_1#6,,,142,,,char_002_amiya_1#6,True
name,魏先生？！,阿米娅,,,143,魏先生？！,魏さん？！,アーミヤ,True
character,,char_2005_weiyw_1#5,2,,144,,,char_2005_weiyw_1#5,True
name,你要主动开战？,文月,,,145,你要主动开战？,あなたは自ら戦争を仕掛けるつもりですか？,文月,True
character,,char_2005_weiyw_1#5,1,,146,,,char_2005_weiyw_1#5,True
name,文月，在龙门经历了这么多的你应该清楚。胞弟绝不会允许我主动与乌萨斯开战。,魏彦吾,,,147,文月，在龙门经历了这么多的你应该清楚。胞弟绝不会允许我主动与乌萨斯开战。,文月、龍門でこれだけ経験してきた君なら分かるはずだ。弟は私が自らウルサスと戦端を開くのを決して許しはしない。,魏彦吾,True
name,......哪怕让我们获得优势的代价是这座龙门城的一切。我必须主动出击。,魏彦吾,,,148,......哪怕让我们获得优势的代价是这座龙门城的一切。我必须主动出击。,……たとえ優位に立つ代償として、この龍門の全てを失うことになっても、私は自ら行動を起こさねばならない。,魏彦吾,True
character,,char_2005_weiyw_1#5,2,,149,,,char_2005_weiyw_1#5,True
name,主动开战意味着开战者将必定受到他国的敌视，也更难与其他国家结交战时盟友关系。,凯尔希,,,150,主动开战意味着开战者将必定受到他国的敌视，也更难与其他国家结交战时盟友关系。,自ら戦争を仕掛けることは、必ず他国から敵視され、他国との戦時同盟も結び難くなるということだ。,ケルシー,True
name,先进入宣战状态的国家，很可能会陷入孤立无援的境地。,凯尔希,,,151,先进入宣战状态的国家，很可能会陷入孤立无援的境地。,先に宣戦する国は、孤立無援の立場に追い込まれる可能性が高い。,ケルシー,True
character,,char_002_amiya_1#4,1,,152,,,char_002_amiya_1#4,True
name,这......最糟糕的是无论真相是什么样，也要战争过后才会有人去查证......！,阿米娅,,,153,这......最糟糕的是无论真相是什么样，也要战争过后才会有人去查证......！,これ……最悪の場合、真実がどうであっても、戦争の後でしか誰もそれを確かめようとしないんです……！,アーミヤ,True
character,,char_002_amiya_1#4,2,,154,,,char_002_amiya_1#4,True
name,有些国家也并不在乎真相，只是想要一个借口。,凯尔希,,,155,有些国家也并不在乎真相，只是想要一个借口。,真実になど興味はなく、口実さえあればいいという国もある。,ケルシー,True
name,但是，魏先生，我相信和平依然可以依靠和平的外交手段去缔造。,凯尔希,,,156,但是，魏先生，我相信和平依然可以依靠和平的外交手段去缔造。,ですが、魏さん、私はいまだに平和的な外交手段で平和は築けると信じています。,ケルシー,True
character,,char_2005_weiyw_1,1,,157,,,char_2005_weiyw_1,True
name,凯尔希女士，感谢你的建议。,魏彦吾,,,158,凯尔希女士，感谢你的建议。,ケルシー殿、ご提案に感謝する。,魏彦吾,True
name,只是很可惜，我和维特就已经是这两个国家最后的和平手段。,魏彦吾,,,159,只是很可惜，我和维特就已经是这两个国家最后的和平手段。,ただ残念なことに、私とヴィトがこの二国にとって最後の平和手段だったのだ。,魏彦吾,True
name,无论我们的敌人是帝国第三集团军还是乌萨斯皇帝，就算我们必定能够赢得这场战争，这场战争也终归会发生。已经没有和平的可能了。,魏彦吾,,,160,无论我们的敌人是帝国第三集团军还是乌萨斯皇帝，就算我们必定能够赢得这场战争，这场战争也终归会发生。已经没有和平的可能了。,私たちの敵が帝国第三集団軍であろうとウルサス皇帝であろうと、たとえ私たちがこの戦争に必ず勝てるとしても、この戦争は結局起こるのです。もはや平和の可能性はありません。,魏彦吾,True
name,如果维特不敢通过官方渠道指责或制止这一系列行为，说明他会因此被群起而攻之，甚至适得其反。他是政客，他必定自私。,魏彦吾,,,161,如果维特不敢通过官方渠道指责或制止这一系列行为，说明他会因此被群起而攻之，甚至适得其反。他是政客，他必定自私。,ウィットが公式なルートでこの一連の行動を非難したり制止したりする勇気がないのであれば、それは彼がそうすることで皆に攻撃され、逆効果になることを意味しています。彼は政治家であり、必ず自己中心的です。,魏彦吾,True
name,把他逼到这个地步，帝国的官僚结构可能已经处于半瘫痪的状态。,魏彦吾,,,162,把他逼到这个地步，帝国的官僚结构可能已经处于半瘫痪的状态。,彼をこのような状況に追い込んだ以上、帝国の官僚機構はすでに半分麻痺状態かもしれません。,魏彦吾,True
character,,char_2005_weiyw_1,2,,163,,,char_2005_weiyw_1,True
name,两个集团军能要挟整个乌萨斯，却要挟不了不在乌萨斯境内的龙门。龙门理应有紧急应对另一座移动城市的措施。,凯尔希,,,164,两个集团军能要挟整个乌萨斯，却要挟不了不在乌萨斯境内的龙门。龙门理应有紧急应对另一座移动城市的措施。,二つの集団軍はウルサス全体を脅かすことができますが、ウルサス国内にいない龍門を脅かすことはできません。龍門はもう一つの移動都市に緊急対応する手段を持っているはずです。,ケルシー,True
character,,char_2005_weiyw_1,2,,165,,,char_2005_weiyw_1,True
name,那样的话，现在疏散城市已经来不及了？！,阿米娅,,,166,那样的话，现在疏散城市已经来不及了？！,その場合、今から都市を避難させても間に合わないのでしょうか？！,アーミヤ,True
character,,char_2005_weiyw_1,1,,167,,,char_2005_weiyw_1,True
name,如果不停下核心城，龙门将会在冲撞中毁之一旦。之后的领土冲突，同样会孕育无尽的灾难。,魏彦吾,,,168,如果不停下核心城，龙门将会在冲撞中毁之一旦。之后的领土冲突，同样会孕育无尽的灾难。,核心都市を止めないと、龍門は衝突によって壊滅してしまいます。その後の領土争いも、同じく果てしない災厄を生むことになります。,魏彦吾,True
character,,char_2005_weiyw_1,2,,169,,,char_2005_weiyw_1,True
name,可想要停止核心城......,阿米娅,,,170,可想要停止核心城......,ですが、核心都市を止めるには……,アーミヤ,True
character,,char_2005_weiyw_1,1,,171,,,char_2005_weiyw_1,True
name,一旦我们发射舰炮或派遣特殊队伍进行斩首，便是向乌萨斯宣战。,魏彦吾,,,172,一旦我们发射舰炮或派遣特殊队伍进行斩首，便是向乌萨斯宣战。,私たちが艦砲を発射したり、特殊部隊を派遣して首を討つようなことをすれば、それはウルサスに対する宣戦布告となります。,魏彦吾,True
name,原本维特可以遏制住的事态，被切尔诺伯格核心城完全切断了。,魏彦吾,,,173,原本维特可以遏制住的事态，被切尔诺伯格核心城完全切断了。,本来ウィットが抑えられた事態は、チェルノボーグ核心都市によって完全に断たれてしまいました。,魏彦吾,True
