command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,duration,xstrength,ystrength,vibrato,randomness,afrom,rfrom,gfrom,bfrom,screenadapt,fadeout,xScale,yScale,xScaleTo,yScaleTo,yScaleFrom,xScaleFrom,x,y,index,text,jp_text,jp_name,text_match
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,False
blocker,,,,,,,,0.2,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,,,,,,30,,,,False
name,别挡道！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,别挡道！,邪魔しないで！,アーミヤ,True
camerashake,,,,,,,,,,,,,,,,,,,,,,false,0.5,8,10,30,90,,,,,,,,,,,,,,,32,,,,False
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,False
blocker,,,,,,,,0.1,,,,,,,,,1,,1,1,1,true,,,,,,0,0,0,0,,,,,,,,,,,34,,,,False
playsound,,$p_skill_chimera,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,False
blocker,,,,,,,,1.5,,,,,,,,,0,,,,,false,,,,,,,,,,,,,,,,,,,,36,,,,False
name,呜哇！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,呜哇！,うわっ！,レユニオン構成員,True
name,黑，黑色的法术......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,黑，黑色的法术......,く、黒い術だ......,レユニオン構成員,True
name,快，快跑！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,快，快跑！,は、早く逃げろ！,レユニオン構成員,True
name,我不想和梅菲斯特的手下一个下场......！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,我不想和梅菲斯特的手下一个下场......！,メフィストの手下みたいになりたくない……！,レユニオン構成員,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,False
name,梅菲斯特，看你还能逃到哪里去！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,梅菲斯特，看你还能逃到哪里去！,メフィスト、今度はどこに逃げるつもり？！,アーミヤ,True
blocker,,,,,,,,0.2,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,,,,,,43,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,False
character,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,False
blocker,,,,,,,,0.2,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,,,,,,46,,,,False
name,哦。看来这些家伙还不足以拦住你们罗德岛嘛。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,哦。看来这些家伙还不足以拦住你们罗德岛嘛。,ああ。どうやらこいつらじゃ君たちロドスを止められないようだね。,メフィスト,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,False
name,为你的所作所为付出代价吧，残忍的家伙！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,为你的所作所为付出代价吧，残忍的家伙！,自分のしてきたことの代償を払ってもらうわ、残酷な奴！,アーミヤ,True
blocker,,,,,,,,0.6,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,,,,,,50,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,False
blocker,,,,,,,,0.6,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,,,,,,52,,,,False
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,False
name,你逃不掉的。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,你逃不掉的。,君は逃げられない。,霜葉,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,False
name,小狐狸，你离我离得，有点近哦。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,小狐狸，你离我离得，有点近哦。,小さなキツネ、君は僕にちょっと近すぎだよ。,メフィスト,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,False
name,因为我就是将手刃你的那个人。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,因为我就是将手刃你的那个人。,僕が君をこの手で倒す人だから。,霜葉,True
name,不尊重生命的人——,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,不尊重生命的人——,命を尊重しない人間は——,霜葉,True
name,不配拥有生命。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,不配拥有生命。,命を持つ資格はない。,霜葉,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,False
name,哦——,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,哦——,おお——,メフィスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,False
background,,,,,bg_cher_6,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,coverall,,,,,,,,,,64,,,,False
stopmusic,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,False
name,是嘛。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,是嘛。,そうかい。,メフィスト,True
camerashake,,,,,,,,,,,,,,,,,,,,,,false,0.5,10,10,30,90,,,,,,true,,,,,,,,,67,,,,False
blocker,,,,,,,,3,,,,,,,,,0.5,,255,255,255,true,,,,,,,,,,,,,,,,,,,,68,,,,False
playsound,,$d_gen_surfacefrozen,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,False
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,False
name,？！,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,？！,？！,霜葉,True
name,怎么会，我的脚——？,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,怎么会，我的脚——？,どうして、私の足が——？,霜葉,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,False
name,阿米娅！各个方向都出现了整合运动的敌人！虽然数量不多......,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,阿米娅！各个方向都出现了整合运动的敌人！虽然数量不多......,アーミヤ！あちこちでレユニオンの敵が現れた！数は多くないけど……,流れ星,True
name,......,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,......,……,流れ星,True
character,,,,,,,,,,,,,,char_219_meteo_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,False
name,糟了，是雪怪小队......,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,糟了，是雪怪小队......,まずい、スノーストーカー小隊だ……,流れ星,True
name,雪怪小队......聚拢起来了！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,雪怪小队......聚拢起来了！,スノーストーカー小隊が……集まった！,流れ星,True
blocker,,,,,,,,1,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,,,,,,79,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,False
character,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,False
name,好了，得向你们介绍一位新朋友才行。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,好了，得向你们介绍一位新朋友才行。,さて、新しい友達を紹介しなければならないね。,メフィスト,True
name,嗯哼~接下来，请热烈欢迎我们这个舞台的真正主角——,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,嗯哼~接下来，请热烈欢迎我们这个舞台的真正主角——,ふふん〜次は、この舞台の真の主役を盛大に歓迎してください——,メフィスト,True
name,西北冻原的噩梦，雪怪们的公主——,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,西北冻原的噩梦，雪怪们的公主——,北西の凍原の悪夢、スノーストーカーたちの姫——,メフィスト,True
name,————霜————星————小————姐！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,————霜————星————小————姐！,————フロスト————ノヴァ————お嬢様！,メフィスト,True
name,她会把你们的血肉，一点一滴的......,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,她会把你们的血肉，一点一滴的......,彼女が君たちの血肉を、一滴残らず……,メフィスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#5,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,False
name,全·都·冻·成·碎·渣·哦~,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,全·都·冻·成·碎·渣·哦~,すべて凍らせて、粉々にしちゃうよ〜,メフィスト,True
blocker,,,,,,,,0.2,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,,,,,,89,,,,False
background,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,False
blocker,,,,,,,,0.2,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,,,,,,92,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,False
name,————糟了！————,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,————糟了！————,——まずい！——,アーミヤ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,False
blocker,,,,,,,,1,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,,,,,,96,,,,False
playmusic,,$frostnova_loop,,,,,,,$frostnova_intro,0.8,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,False
blocker,,,,,,,,0.6,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,,,,,,98,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,False
image,,,,,avg_40_2,,,0,,,,,,,,,,,,,,true,,,,,,,,,,,,1,1,,,,,,,100,,,,False
playsound,,$d_gen_surfacefrozen,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,False
imagetween,,,,,avg_40_2,,,,,,,,,,,,,,,,,false,23,,,,,,,,,,,,,1.22,1.22,1,1,,,102,,,,False
blocker,,,,,,,,2,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,,,,,,103,,,,False
name,——————,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,——————,——————,フロストノヴァ,True
blocker,,,,,,,,0.3,,,,,,,,,0.7,2,1,1,1,true,,,,,,,,,,,,,,,,,,,,105,,,,False
image,,,,,avg_40_2,,,0,,,,,,,,,,,,,,true,,,,,,,,,,,,1.45,1.45,,,,,-50,50,106,,,,False
imagetween,,,,,avg_40_2,,,,,,,,,,,,,,,,,false,23,,,,,,,,,,,,,1.7,1.7,1.45,1.45,,,107,,,,False
blocker,,,,,,,,0.5,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,,,,,,108,,,,False
delay,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,False
blocker,,,,,,,,1,,,,,,,,,1,2,1,1,1,true,,,,,,,,,,,,,,,,,,,,110,,,,False
image,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,False
background,,,,,bg_light,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,coverall,,,,,,,,,,112,,,,False
blocker,,,,,,,,0.3,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,,,,,,113,,,,False
character,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,False
name,——梅菲斯特————,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,——梅菲斯特————,——メフィスト——,フロストノヴァ,True
blocker,,,,,,,,2,,,,,,,,,0,,,,,false,,,,,,,,,,,,,,,,,,,,116,,,,False
name,我该先把你这个连野兽都不如的杀人狂，丢在雪原里等死。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,我该先把你这个连野兽都不如的杀人狂，丢在雪原里等死。,お前のような獣以下の殺人鬼は、雪原に捨ててやるべきだ。,フロストノヴァ,True
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,False
blocker,,,,,,,,1,,,,,,,,,1,2,1,1,1,true,,,,,,,,,,,,,,,,,,,,119,,,,False
background,,,,,bg_cher_6,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,coverall,,,,,,,,,,120,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,False
blocker,,,,,,,,0.8,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,,,,,,122,,,,False
character,,,,,,,,,,,,,,char_1507_Mephisto_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,False
name,啊呀，好可怕好可怕~,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,啊呀，好可怕好可怕~,あら、怖い怖い〜,メフィスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,False
name,但罗德岛在那边哦。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,但罗德岛在那边哦。,でも、ロドスはあっちだよ。,メフィスト,True
blocker,,,,,,,,0.6,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,,,,,,127,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,False
background,,,,,bg_cher_6,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,False
blocker,,,,,,,,0.6,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,,,,,,130,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#9,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,False
name,霜叶——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,霜叶——,霜葉——,アーミヤ,True
name,退后。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,退后。,下がって。,アーミヤ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,False
name,——,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,——,——,霜葉,True
name,阿米娅，带她们走。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,阿米娅，带她们走。,アーミヤ、みんなを連れて逃げて。,霜葉,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,False
name,不行！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,不行！,だめ！,アーミヤ,True
name,那个是......那个是——！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,那个是......那个是——！,あれは……あれは——！,アーミヤ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,False
name,她......向我们走过来了。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,她......向我们走过来了。,彼女が……こっちに来ている。,霜葉,True
name,我们不可能赢。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,我们不可能赢。,私たちが勝てるはずがない。,霜葉,True
name,呵......虽然感觉还没活够......,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,呵......虽然感觉还没活够......,はは……まだ生き足りない気分だけど……,霜葉,True
name,能遇见你们，我已经很开心了。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,能遇见你们，我已经很开心了。,みんなに会えただけで、本当に嬉しかった。,霜葉,True
name,快走。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,快走。,早く行って。,霜葉,True
character,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,False
name,霜叶？！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,霜叶？！,霜葉？！,アーミヤ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,false,5,10,8,20,90,,,,,,true,,,,,,,,,149,,,,False
name,走！,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,走！,行くんだ！,霜葉,True
blocker,,,,,,,,2,,,,,,,,,1,2,1,1,1,true,,,,,,,,,,,,,,,,,,,,151,,,,False
playsound,,$d_gen_surfacefrozen,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,,False
background,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,False
playsound,,$d_gen_surfacefrozen,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,false,-1,5,5,15,90,,,,,,true,,,,,,,,,156,,,,False
image,,,,,avg_40_2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.2,,,,,,,157,,,,False
imagetween,,,,,avg_40_2,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,1,1,,,,,158,,,,False
blocker,,,,,,,,1,,,,,,,,,0,,1,1,1,true,,,,,,,,,,,,,,,,,,,,159,,,,False
name,————,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,————,————,フロストノヴァ,True
name,放心吧，罗德岛。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,放心吧，罗德岛。,安心して、ロドス。,フロストノヴァ,True
name,我会让你们死的毫无痛苦。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,我会让你们死的毫无痛苦。,君たちを全く苦しませずに死なせてあげる。,フロストノヴァ,True
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,164,,,,False
