command,text_orig,key,is_skippable,fit_mode,image,width,height,screenadapt,fadetime,intro,volume,crossfade,delay,time,name,block,name2,focus,a,r,g,b,widgetID,style,fadestyle,offsetx,xScale,yScale,xScaleTo,yScaleTo,duration,index,text,jp_text,jp_name,text_match
name,你真下定决心，这回不带上我？近卫局里潜伏着的可是整合运动的指挥官，这一定是场恶仗。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,16,你真下定决心，这回不带上我？近卫局里潜伏着的可是整合运动的指挥官，这一定是场恶仗。,本当に決心したのか、今回は私を連れて行かないの？近衛局には整合運動の指揮官が潜んでいる、きっと激しい戦いになるよ。,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,,char_010_chen_1#1,2,,,,,,,,,,,,,,17,,,,False
name,我无所谓。但对你的状态来说，这样更好。你也是这么觉得的吧。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,18,我无所谓。但对你的状态来说，这样更好。你也是这么觉得的吧。,私は気にしない。でも君の状態を考えれば、その方がいい。君もそう思うだろ。,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,,char_010_chen_1#1,1,,,,,,,,,,,,,,19,,,,False
name,这话有些伤人，但没事，我心里清楚。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,20,这话有些伤人，但没事，我心里清楚。,ちょっと傷つく言葉だけど、平気だよ。ちゃんと分かってる。,ホシグマ,True
name,记住，千万当心。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,21,记住，千万当心。,忘れないで、絶対に気をつけて。,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,,char_010_chen_1#1,2,,,,,,,,,,,,,,22,,,,False
name,我知道。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,23,我知道。,分かってる。,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,,char_010_chen_1#1,1,,,,,,,,,,,,,,24,,,,False
name,整合运动不论从哪个层面上，都比我们估计的弱。但无论他们有多弱，他们都吃下了切尔诺伯格。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,25,整合运动不论从哪个层面上，都比我们估计的弱。但无论他们有多弱，他们都吃下了切尔诺伯格。,整合運動はどの観点から見ても、私たちの予想より弱い。でもどんなに弱くても、切ルノボーグを占領したのは事実だ。,ホシグマ,True
name,还有，你有个弱点。千万不要，不要，不要沉浸在某个想法里。不要。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,26,还有，你有个弱点。千万不要，不要，不要沉浸在某个想法里。不要。,それから、君には弱点がある。絶対に、絶対に、一つの考えにとらわれすぎないで。やめて。,ホシグマ,True
name,别因为某种执着就一意孤行。除了你的现在，所有的东西都不配你去战斗。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,27,别因为某种执着就一意孤行。除了你的现在，所有的东西都不配你去战斗。,執着のせいで突っ走らないで。今の君以外のもののために戦う必要はない。,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,,char_010_chen_1#1,2,,,,,,,,,,,,,,28,,,,False
name,我就当做是建议，好好收下了。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,29,我就当做是建议，好好收下了。,助言として、しっかり受け取っておくよ。,チェン,True
name,快去治疗，任务完成之后，我等你归队。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,30,快去治疗，任务完成之后，我等你归队。,早く治療へ行って。任務が終わったら、隊に戻るのを待っている。,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,,char_010_chen_1#1,1,,,,,,,,,,,,,,31,,,,False
name,我会保护医疗队的安全。你快去吧。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,32,我会保护医疗队的安全。你快去吧。,医療チームの安全は私が守る。君は早く行って。,ホシグマ,True
character,,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,,,33,,,,False
name,好。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,34,好。,分かった。,チェン,True
blocker,,,,,,,,,2,,,,,,,true,,,1,0,0,0,,,,,,,,,,35,,,,False
blocker,,,,,,,,,2,,,,,,,true,,,0,,,,,,,,,,,,,36,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,37,,,,False
name,......,,,,,,,,,,,,,,通讯,,,,,,,,,,,,,,,,,38,......,......,通信,True
name,整合运动已经经过铜钟。,,,,,,,,,,,,,,通讯,,,,,,,,,,,,,,,,,39,整合运动已经经过铜钟。,整合運動はすでにトンチョンを通過した。,通信,True
name,下环同样有整合运动聚集，正在整队。这是AU7的任务简报。,,,,,,,,,,,,,,通讯,,,,,,,,,,,,,,,,,40,下环同样有整合运动聚集，正在整队。这是AU7的任务简报。,下環にも整合運動が集結しており、編成中。こちらはAU7の任務報告です。,通信,True
name,AO3小队已照既定计划清理了前湾的整合运动，正逼迫残余势力退向近卫局方向，完毕。,,,,,,,,,,,,,,通讯,,,,,,,,,,,,,,,,,41,AO3小队已照既定计划清理了前湾的整合运动，正逼迫残余势力退向近卫局方向，完毕。,AO3部隊は予定通り前湾の整合運動を掃討し、残余勢力を近衛局方面に追い込んでいる。以上。,通信,True
name,已全歼太羯宫的所有整合运动。正撤向查理士大道，前往既定地点汇合。AL1小队汇报完毕。,,,,,,,,,,,,,,通讯,,,,,,,,,,,,,,,,,42,已全歼太羯宫的所有整合运动。正撤向查理士大道，前往既定地点汇合。AL1小队汇报完毕。,太羯宮の整合運動をすべて殲滅。現在チャールズ通りへ撤退し、指定地点で合流予定。AL1部隊、報告完了。,通信,True
name,......,,,,,,,,,,,,,,通讯,,,,,,,,,,,,,,,,,43,......,......,通信,True
name,以上为整合运动行迹与各小队进程通报。,,,,,,,,,,,,,,通讯,,,,,,,,,,,,,,,,,44,以上为整合运动行迹与各小队进程通报。,以上が整合運動の動向と各部隊の進捗報告です。,通信,True
name,通报完毕。,,,,,,,,,,,,,,通讯,,,,,,,,,,,,,,,,,45,通报完毕。,報告は以上です。,通信,True
character,,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,,,46,,,,False
name,明白。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,47,明白。,了解。,チェン,True
name,继续行动。目标，将所有整合运动全都赶到指定区域。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,48,继续行动。目标，将所有整合运动全都赶到指定区域。,行動を続ける。目標は全ての整合運動を指定エリアへ追い込むこと。,チェン,True
name,如果还有盘踞在其他区域的小股整合运动势力，允许直接消灭。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,49,如果还有盘踞在其他区域的小股整合运动势力，允许直接消灭。,他の区域に残っている小規模の整合運動勢力は、直接排除しても良い。,チェン,True
name,可以的话，引诱他们出动。注意把伤亡比控制在最低。我们需要保存实力。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,50,可以的话，引诱他们出动。注意把伤亡比控制在最低。我们需要保存实力。,できれば、彼らを誘い出して。損害比率を最小限に抑えるよう注意する。我々は戦力を維持する必要がある。,チェン,True
name,Yes sir。,,,,,,,,,,,,,,通讯,,,,,,,,,,,,,,,,,51,Yes sir。,了解です。,通信,True
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,52,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,53,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,,,54,,,,False
name,呼......,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,55,呼......,ふう……,チェン,True
name,嗯？又有通讯？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,56,嗯？又有通讯？,ん？また通信か？,チェン,True
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,57,,,,False
charactercutin,,,,,,200,,,0.5,,,,,,char_308_swire_1#5,true,,,,,,,1,cutin,horiz_expand_center,-300,,,,,,58,,,,False
name,喂，喂？阿陈吗？你还在吗？,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,59,喂，喂？阿陈吗？你还在吗？,もしもし、チェン？まだいるの？,シー,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#2,2,,,,,,,,,,,,,,60,,,,False
name,你叫我什么？！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,61,你叫我什么？！,何て呼んだ？！,チェン,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#2,1,,,,,,,,,,,,,,62,,,,False
name,阿陈啊。你完了！大古广场这事儿你死定了，我听得清清楚楚，你叫他们动手的！,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,63,阿陈啊。你完了！大古广场这事儿你死定了，我听得清清楚楚，你叫他们动手的！,チェンだよ。君、終わったね！ダグ広場のこと、君が指示したのはちゃんと聞こえてたよ！,シー,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,2,,,,,,,,,,,,,,64,,,,False
name,你不会就想说这个吧。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,65,你不会就想说这个吧。,まさか、それだけを言いに来たのか。,チェン,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,1,,,,,,,,,,,,,,66,,,,False
name,我说，你拒绝罗德岛的协助，是不是因为心里过意不去啊？,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,67,我说，你拒绝罗德岛的协助，是不是因为心里过意不去啊？,ねえ、君がロドスの協力を断ったのは、内心で気が引けてるからじゃないの？,シー,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,2,,,,,,,,,,,,,,68,,,,False
name,别揣测我的心思。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,69,别揣测我的心思。,私の気持ちを勝手に推測するな。,チェン,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,1,,,,,,,,,,,,,,70,,,,False
name,没事，我会帮你弥补的。,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,71,没事，我会帮你弥补的。,大丈夫、私がちゃんとフォローするから。,シー,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,2,,,,,,,,,,,,,,72,,,,False
name,弥补什么？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,73,弥补什么？,何をフォローするんだ？,チェン,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,1,,,,,,,,,,,,,,74,,,,False
name,哼哼，暂时还是个秘密。,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,75,哼哼，暂时还是个秘密。,ふふ、今はまだ秘密。,シー,True
name,但大古广场这事儿，你真的完蛋了！,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,76,但大古广场这事儿，你真的完蛋了！,でも、ダグ広場の件、君は本当にピンチだよ！,シー,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,2,,,,,,,,,,,,,,77,,,,False
name,对了，你记不记得上环有家茶餐厅？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,78,对了，你记不记得上环有家茶餐厅？,そうだ、上環に茶餐廳あったの覚えてるか？,チェン,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,1,,,,,,,,,,,,,,79,,,,False
name,啊？哪家？哎不管是哪家，现在都关门了啊！,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,80,啊？哪家？哎不管是哪家，现在都关门了啊！,え？どこだっけ？まあ、今全部閉まってるよ！,シー,True
name,——你是不是很想岔开话题？！,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,81,——你是不是很想岔开话题？！,――君、話題を変えたいだけでしょ？！,シー,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,2,,,,,,,,,,,,,,82,,,,False
name,三文治里肉排很酥的那家。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,83,三文治里肉排很酥的那家。,サンドイッチの肉がとてもサクサクの店だよ。,チェン,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,1,,,,,,,,,,,,,,84,,,,False
name,哦？哦......哦！我想起来了！那家的茶餐厅，肉扒包是不是有两个手掌大！,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,85,哦？哦......哦！我想起来了！那家的茶餐厅，肉扒包是不是有两个手掌大！,ああ？ああ……あっ！思い出した！あの茶餐廳、肉のパオが手のひら二つ分も大きいやつだよね！,シー,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,2,,,,,,,,,,,,,,86,,,,False
name,是啊。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,87,是啊。,そうだよ。,チェン,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,1,,,,,,,,,,,,,,88,,,,False
name,以前巡逻的时候，我也经常往这家店跑呢......躺下！谁让你站起来了！,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,89,以前巡逻的时候，我也经常往这家店跑呢......躺下！谁让你站起来了！,昔パトロールしてた時も、よくその店に行ったよ……伏せて！誰が立っていいって言った！,シー,True
name,啊！！,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,90,啊！！,あっ！！,？？？,True
name,叫什么来着，“靓饮茶餐厅？”,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,91,叫什么来着，“靓饮茶餐厅？”,なんだっけ、「リャン飲茶餐廳」？,シー,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,2,,,,,,,,,,,,,,92,,,,False
name,对。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,93,对。,そうだ。,チェン,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,1,,,,,,,,,,,,,,94,,,,False
name,哼哼，我知道了，你是准备喊我饮茶，是不是？不过我们为什么不去点高档店？,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,95,哼哼，我知道了，你是准备喊我饮茶，是不是？不过我们为什么不去点高档店？,ふふん、分かった、君は私をお茶に誘いたいんでしょ？でもなんで高級店じゃないの？,シー,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,2,,,,,,,,,,,,,,96,,,,False
name,你的高档和我的高档区别很大。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,97,你的高档和我的高档区别很大。,君の高級と私の高級は全然違う。,チェン,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,1,,,,,,,,,,,,,,98,,,,False
name,哎，我可以请你。,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,99,哎，我可以请你。,え、私がご馳走してもいいけど。,シー,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,2,,,,,,,,,,,,,,100,,,,False
name,诗小姐，我像那种人吗？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,101,诗小姐，我像那种人吗？,詩さん、私がそういう人に見えるか？,チェン,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,1,,,,,,,,,,,,,,102,,,,False
name,你再这么叫我试试？,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,103,你再这么叫我试试？,もう一度そう呼んでみな？,シー,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,2,,,,,,,,,,,,,,104,,,,False
name,别介意，口误。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,105,别介意，口误。,気にするな、言い間違いだ。,チェン,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,1,,,,,,,,,,,,,,106,,,,False
name,你明摆着故意的啊！,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,107,你明摆着故意的啊！,絶対わざとだよね！,シー,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,2,,,,,,,,,,,,,,108,,,,False
name,诗怀雅，其实我是觉得，如果这次我们不做好点，会对不起街坊邻居。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,109,诗怀雅，其实我是觉得，如果这次我们不做好点，会对不起街坊邻居。,シー、実は今回上手くやらなきゃ近所の人たちに申し訳ないと思ってるんだ。,チェン,True
name,我们的事业仰仗着龙门，龙门也仰仗着我们。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,110,我们的事业仰仗着龙门，龙门也仰仗着我们。,私たちの事業は龍門に依存しているし、龍門もまた私たちを頼りにしている。,チェン,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,1,,,,,,,,,,,,,,111,,,,False
name,有感而发也该适可而止吧，你早点把整合运动干掉，我们就能早点去喫茶。,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,112,有感而发也该适可而止吧，你早点把整合运动干掉，我们就能早点去喫茶。,感慨はこのくらいでいいでしょ。早く整合運動を片付ければ、早くお茶できるよ。,シー,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,2,,,,,,,,,,,,,,113,,,,False
name,你那里的战斗好像很激烈？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,114,你那里的战斗好像很激烈？,そっちは戦いが激しそうだな？,チェン,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,1,,,,,,,,,,,,,,115,,,,False
name,啊，没事，我拿得住。,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,116,啊，没事，我拿得住。,うん、大丈夫、私なら大丈夫だよ。,シー,True
name,快！他们要逃走了！,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,117,快！他们要逃走了！,早く！彼らが逃げるぞ！,？？？,True
name,烦人！喂，你们几个动作也快点！没时间了！,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,118,烦人！喂，你们几个动作也快点！没时间了！,めんどくさい！みんな早く動いて！もう時間がない！,シー,True
name,阿陈！我要番茄扒蛋堡！,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,119,阿陈！我要番茄扒蛋堡！,チェン！私はトマトオムレツバーガーがいい！,シー,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,2,,,,,,,,,,,,,,120,,,,False
name,没问题。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,121,没问题。,問題ない。,チェン,True
name,上次一不小心把你关在金库那事，我向你赔罪。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,122,上次一不小心把你关在金库那事，我向你赔罪。,この前うっかり君を金庫に閉じ込めた件は謝るよ。,チェン,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,1,,,,,,,,,,,,,,123,,,,False
name,那也能是一不小心？！算了，你肯定是存心的！算了，早上那杯水我泼得很解气，两清了。,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,124,那也能是一不小心？！算了，你肯定是存心的！算了，早上那杯水我泼得很解气，两清了。,うっかりなんてある？絶対わざとだよ！でもまあ、朝水をかけたのでおあいこね。,シー,True
name,喂，阿陈。,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,125,喂，阿陈。,ねえ、チェン。,シー,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,2,,,,,,,,,,,,,,126,,,,False
name,嗯？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,127,嗯？,ん？,チェン,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,1,,,,,,,,,,,,,,128,,,,False
name,命最重要。不要为了眼前事把命搭上，你还有很多人可以依靠。,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,129,命最重要。不要为了眼前事把命搭上，你还有很多人可以依靠。,命が一番大事。目の前のことで命を捨てないで、君には頼れる人がまだたくさんいる。,シー,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,2,,,,,,,,,,,,,,130,,,,False
name,哼，是吗。谢谢你的忠告。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,131,哼，是吗。谢谢你的忠告。,ふん、そうか。忠告ありがとう。,チェン,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,1,,,,,,,,,,,,,,132,,,,False
name,你在这家茶餐厅门口了，也就说明你快到近卫局大楼了吧？,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,133,你在这家茶餐厅门口了，也就说明你快到近卫局大楼了吧？,もうその茶餐廳の前なら、近衛局ビルまでもうすぐだよね？,シー,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,2,,,,,,,,,,,,,,134,,,,False
name,对。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,135,对。,そうだ。,チェン,True
character,,,,,,,,,,,,,,,char_empty,,char_010_chen_1#5,1,,,,,,,,,,,,,,136,,,,False
name,祝你好运。,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,137,祝你好运。,幸運を祈るわ。,シー,True
blocker,,,,,,,,,0.6,,,,,,,true,,,1,0,0,0,,,,,,,,,,138,,,,False
charactercutin,,,,,,,,,0.5,,,,,,,true,,,,,,,1,,,,,,,,,139,,,,False
background,,,,,bg_building_3,1,1,coverall,,,,,,,,,,,,,,,,,,,,,,,,140,,,,False
blocker,,,,,,,,,2,,,,,,,true,,,0,,,,,,,,,,,,,141,,,,False
name,07:40 P.M.  天气/阴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,07:40 P.M.  天气/阴,午後7時40分　天気／曇,,True
name,龙门上城区，上厂街，近卫局大楼东侧670m处,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,龙门上城区，上厂街，近卫局大楼东侧670m处,龍門上城区、上廠通り、近衛局ビル東側670m地点,,True
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,144,,,,False
playsound,,$d_gen_soldiersrun,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,145,,,,False
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,146,,,,False
name,陈sir，第四机动小队向你报到。,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,147,陈sir，第四机动小队向你报到。,チェン様、第四機動小隊が到着しました。,近衛局メンバー,True
character,,,,,,,,,,,,,,,char_010_chen_1#5,,,,,,,,,,,,,,,,,148,,,,False
name,辛苦。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,149,辛苦。,ご苦労だ。,チェン,True
name,诸位，我们现在已经集结了一支精锐的队伍。许多同事还在我们看不见的地方奋战着，但我们有自己的任务。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,150,诸位，我们现在已经集结了一支精锐的队伍。许多同事还在我们看不见的地方奋战着，但我们有自己的任务。,諸君、今我々は精鋭部隊を集結させた。他にも多くの同僚が見えないところで奮闘しているが、我々には自分たちの任務がある。,チェン,True
name,我们面前的大楼，曾是龙门安全的象征，法律的实体，龙门近卫局。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,151,我们面前的大楼，曾是龙门安全的象征，法律的实体，龙门近卫局。,我々の前にあるビルは、かつて龍門の安全の象徴であり、法律の具現、龍門近衛局だった。,チェン,True
name,但现在，它被整合运动攫取了，沦陷在阴谋战火中。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,152,但现在，它被整合运动攫取了，沦陷在阴谋战火中。,だが今、そのビルは整合運動に奪われ、陰謀と戦火に陥っている。,チェン,True
name,对于各位而言，也许这只是工作；又或许这件事触动了你的感情；甚至，这让你义愤填膺。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,153,对于各位而言，也许这只是工作；又或许这件事触动了你的感情；甚至，这让你义愤填膺。,みんなにとってこれは仕事かもしれないし、感情に訴えることかもしれない。あるいは憤りを感じているかもしれない。,チェン,True
blocker,,,,,,,,,0.6,,,,,,,true,,,1,0,0,0,,,,,,,,,,154,,,,False
image,,,,,bg_5_6_police,,,,0,,,,,,,,,,,,,,,,,,1,1,,,,155,,,,False
imagetween,,,,,bg_5_6_police,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.3,20,156,,,,False
blocker,,,,,,,,,0.6,,,,,,,true,,,0,,,,,,,,,,,,,157,,,,False
name,但无论如何，我们都是近卫局，我们不是暴徒，不是罪犯。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,158,但无论如何，我们都是近卫局，我们不是暴徒，不是罪犯。,でも、私たちは近衛局だ。暴徒でも罪人でもない。,チェン,True
name,我们要夺回近卫局，未必是出于尊严或者正义。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,159,我们要夺回近卫局，未必是出于尊严或者正义。,私たちが近衛局を奪還するのは、必ずしも尊厳や正義のためだけではない。,チェン,True
name,我们是龙门近卫局，我们拿回属于我们自己的东西，这已经足够了。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,160,我们是龙门近卫局，我们拿回属于我们自己的东西，这已经足够了。,私たちは龍門近衛局だ。自分たちのものを取り戻す、それだけで十分だ。,チェン,True
