command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,image,width,height,fadetime,time,name,a,initr,r,g,b,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,name2,focus,widgetID,style,fadestyle,offsetx,options,values,references,option_number,index,text,jp_text,jp_name,text_match
name,别不知好歹！,,,,,,,,,,,,,暴民,,,,,,,,,,,,,,,,,,,,,,0,42,别不知好歹！,分からず屋め！,暴徒,True
name,龙姐姐！龙姐姐！你在哪里！救命啊——,,,,,,,,,,,,,小孩,,,,,,,,,,,,,,,,,,,,,,0,43,龙姐姐！龙姐姐！你在哪里！救命啊——,龍お姉ちゃん！龍お姉ちゃん！どこなの！助けて——,子供,True
name,米莎姐姐！米莎姐姐，救救我！！,,,,,,,,,,,,,小孩,,,,,,,,,,,,,,,,,,,,,,0,44,米莎姐姐！米莎姐姐，救救我！！,ミーシャお姉ちゃん！ミーシャお姉ちゃん、助けて！！,子供,True
name,......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,45,......,……,アーミヤ,True
character,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,46,,,,False
name,谁？,,,,,,,,,,,,,暴民,,,,,,,,,,,,,,,,,,,,,,0,47,谁？,誰だ？,暴徒,True
name,别想走！,,,,,,,,,,,,,暴民,,,,,,,,,,,,,,,,,,,,,,0,48,别想走！,逃がさないぞ！,暴徒,True
character,,,,,,,,,,,,1,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,0,49,,,,False
name,......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,50,......,……,アーミヤ,True
name,......我劝你们，立刻离开。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,51,......我劝你们，立刻离开。,……忠告します。すぐに立ち去ってください。,アーミヤ,True
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,52,,,,False
character,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,53,,,,False
name,......？！,,,,,,,,,,,,,暴民,,,,,,,,,,,,,,,,,,,,,,0,54,......？！,……？！,暴徒,True
name,你——？！,,,,,,,,,,,,,暴民,,,,,,,,,,,,,,,,,,,,,,0,55,你——？！,お前——？！,暴徒,True
name,哪里来的外地人！,,,,,,,,,,,,,暴民,,,,,,,,,,,,,,,,,,,,,,0,56,哪里来的外地人！,どこから来たよそ者だ！,暴徒,True
name,你就不怕我们......,,,,,,,,,,,,,暴民,,,,,,,,,,,,,,,,,,,,,,0,57,你就不怕我们......,お前、俺たちを恐れてないのか……,暴徒,True
playsound,,$p_skill_spiritexplo,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,58,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,0,59,,,,False
name,否则——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,60,否则——,さもないと――,アーミヤ,True
character,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,61,,,,False
name,啊？,,,,,,,,,,,,,暴民,,,,,,,,,,,,,,,,,,,,,,0,62,啊？,あ？,暴徒,True
name,咕啊！！,,,,,,,,,,,,,暴民,,,,,,,,,,,,,,,,,,,,,,0,63,咕啊！！,ぐあっ！！,暴徒,True
name,那，那是什么？,,,,,,,,,,,,,暴民,,,,,,,,,,,,,,,,,,,,,,0,64,那，那是什么？,な、なんだあれ？,暴徒,True
name,法术！她，她在使用法术？！,,,,,,,,,,,,,暴民,,,,,,,,,,,,,,,,,,,,,,0,65,法术！她，她在使用法术？！,術だ！彼女は、彼女は術を使っている？！,暴徒,True
name,啊啊啊！别过来！,,,,,,,,,,,,,暴民,,,,,,,,,,,,,,,,,,,,,,0,66,啊啊啊！别过来！,あああ！来るな！,暴徒,True
blocker,,,,,,,,,,,,0.5,,,0,,,,,true,,,,,,,,,,,,,,,,0,67,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,0,68,,,,False
name,——以后别再做些欺压弱小的事情。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,69,——以后别再做些欺压弱小的事情。,――これからは弱い者いじめを二度とするな。,アーミヤ,True
character,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,70,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,false,1,3,4,30,90,true,,,,,,,,,,0,71,,,,False
name,呃呃啊，怪物！,,,,,,,,,,,,,暴民,,,,,,,,,,,,,,,,,,,,,,0,72,呃呃啊，怪物！,ううっ、怪物め！,暴徒,True
playsound,,$d_gen_soldiersrun,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,73,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,true,1,5,6,90,90,true,,,,,,,,,,0,74,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,0,75,,,,False
name,呵......怪物......吗。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,76,呵......怪物......吗。,ふっ……怪物、か。,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,0,77,,,,False
name,......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,78,......,……,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,,,,0,79,,,,False
name,好啦，没事了，都出来吧。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,80,好啦，没事了，都出来吧。,もう大丈夫。みんな、出てきて。,アーミヤ,True
name,这里危险，快去安全点的地方吧。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,81,这里危险，快去安全点的地方吧。,ここは危ないから、安全な場所へ早く行って。,アーミヤ,True
character,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,82,,,,False
name,谢谢你，兔姐姐！,,,,,,,,,,,,,小孩们,,,,,,,,,,,,,,,,,,,,,,0,83,谢谢你，兔姐姐！,ありがとう、うさぎお姉ちゃん！,子供たち,True
character,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,,,,0,84,,,,False
name,都小心点啊！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,85,都小心点啊！,みんな、気をつけてね！,アーミヤ,True
delay,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0,86,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,87,,,,False
character,,,,,,,,,,,,1,,char_106_franka_1,,,,,,,,,,,,,,,,,,,,,,0,88,,,,False
name,阿米娅，这是什么情况？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,0,89,阿米娅，这是什么情况？,アーミヤ、これはどういう状況？,フランカ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,char_106_franka_1,1,,,,,,,,0,90,,,,False
name,嗯，我看见了一个，应该也是未登记的感染者......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,91,嗯，我看见了一个，应该也是未登记的感染者......,うん、一人見かけた。あれも未登録の感染者だと思う……,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,char_106_franka_1,2,,,,,,,,0,92,,,,False
name,乌萨斯人？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,0,93,乌萨斯人？,ウルサス人？,フランカ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,char_106_franka_1,1,,,,,,,,0,94,,,,False
name,是的，乌萨斯人，她往贫民区更深处去了。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,95,是的，乌萨斯人，她往贫民区更深处去了。,そう、ウルサス人だ。彼女はスラムのもっと奥へ行った。,アーミヤ,True
name,芙兰卡，让附近参与搜查的干员集合。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,96,芙兰卡，让附近参与搜查的干员集合。,フランカ、近くで捜索しているオペレーターたちを集めて。,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,char_106_franka_1,2,,,,,,,,0,97,,,,False
name,Ok。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,0,98,Ok。,オーケー。,フランカ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,,0,99,,,,False
name,越往贫民区前进，形势就越复杂......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,100,越往贫民区前进，形势就越复杂......,スラム街に深く入るほど、状況がさらに複雑になる……,アーミヤ,True
name,一般居民，犯罪分子，未确认身份的流民......层出不穷。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,101,一般居民，犯罪分子，未确认身份的流民......层出不穷。,普通の住民、犯罪者、身元不明の流民……次々と現れる。,アーミヤ,True
name,必须多加准备才行。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,102,必须多加准备才行。,もっと準備が必要だ。,アーミヤ,True
character,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,,,,,,,,,,,,,,0,103,,,,False
name,有通信，阿米娅。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,0,104,有通信，阿米娅。,通信が入っています、アーミヤ。,レイズ,True
name,请稍等一下。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,0,105,请稍等一下。,少しお待ちください。,レイズ,True
name,——,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,0,106,——,——,レイズ,True
name,是。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,0,107,是。,はい。,レイズ,True
name,阿米娅，是近卫局。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,0,108,阿米娅，是近卫局。,アーミヤ、近衛局からです。,レイズ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,char_107_liskam_1,1,,,,,,,,0,109,,,,False
name,是陈长官？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,110,是陈长官？,チェン長官ですか？,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,char_107_liskam_1,2,,,,,,,,0,111,,,,False
name,没错。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,0,112,没错。,その通りです。,レイズ,True
name,——是的，我们已经搜查出了不少非登记感染者。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,0,113,——是的，我们已经搜查出了不少非登记感染者。,――はい、すでに多くの未登録感染者を発見しました。,レイズ,True
name,——是的。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,0,114,——是的。,――はい。,レイズ,True
name,——什么？,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,0,115,——什么？,――何ですって？,レイズ,True
name,——白色短发，乌萨斯人，少年女性，身高一米四五左右，名叫米莎？,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,0,116,——白色短发，乌萨斯人，少年女性，身高一米四五左右，名叫米莎？,――白い短髪、ウルサス人、少女、身長約1.45ｍ、ミーシャ？,レイズ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,char_107_liskam_1,1,,,,,,,,0,117,,,,False
name,这是——？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,118,这是——？,これは――？,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,char_107_liskam_1,2,,,,,,,,0,119,,,,False
name,——明白。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,0,120,——明白。,――了解しました。,レイズ,True
name,阿米娅，陈长官要求我们，立即搜查具备这种特征的感染者。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,0,121,阿米娅，陈长官要求我们，立即搜查具备这种特征的感染者。,アーミヤ、チェン長官はこれらの特徴を持つ感染者をすぐに捜索するようにと言っています。,レイズ,True
name,一经发现，立刻交给近卫局。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,0,122,一经发现，立刻交给近卫局。,発見し次第、すぐ近衛局に引き渡します。,レイズ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,char_107_liskam_1,1,,,,,,,,0,123,,,,False
name,请给我一下通讯设备。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,124,请给我一下通讯设备。,通信機を私にください。,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,,0,125,,,,False
name,喂，喂......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,126,喂，喂......,もしもし……,アーミヤ,True
name,陈长官，你听得到吗？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,127,陈长官，你听得到吗？,チェン長官、聞こえますか？,アーミヤ,True
charactercutin,,,,,,,,,,200,,0.5,,char_010_chen_1,,,,,,true,,,,,,,,,1,cutin,horiz_expand_center,-300,,,,0,128,,,,False
name,我听得到。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,129,我听得到。,聞こえている。,チェン,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,,0,130,,,,False
name,我能否确认下，刚才你下达命令的有效性？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,131,我能否确认下，刚才你下达命令的有效性？,さっき出された指令の有効性を確認してもいいですか？,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,0,,,,,,,,0,132,,,,False
name,真实可靠，立刻执行。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,133,真实可靠，立刻执行。,本物だ。すぐに実行しろ。,チェン,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,,0,134,,,,False
name,明白了。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,135,明白了。,了解しました。,アーミヤ,True
playsound,,$d_gen_transmissionget,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,,,,False
charactercutin,,,,,,,,,,,,0.5,,,,,,,,true,,,,,,,,,1,,,,,,,0,137,,,,False
name,......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,138,......,……,アーミヤ,True
name,突然就挂断了......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,139,突然就挂断了......,急に切られた……,アーミヤ,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,,,,0,140,,,,False
name,陈长官，好硬的脾气啊。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,0,141,陈长官，好硬的脾气啊。,チェン長官、ずいぶん頑固ですね。,フランカ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,,0,142,,,,False
name,那这就是我们接下来所要执行的任务了。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,143,那这就是我们接下来所要执行的任务了。,これが次に私たちが実行する任務です。,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,char_107_liskam_1,2,,,,,,,,0,144,,,,False
name,阿米娅......几位重装干员向我发来了另一条通讯。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,0,145,阿米娅......几位重装干员向我发来了另一条通讯。,アーミヤ……何名かの重装オペレーターからもうひとつ通信が届きました。,レイズ,True
name,他们遭遇了对罗德岛干员展现出攻击倾向的人。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,0,146,他们遭遇了对罗德岛干员展现出攻击倾向的人。,彼らはロドスのオペレーターに攻撃的な人物と遭遇しました。,レイズ,True
name,而且，那些袭击者不是普通人，他们是......感染者。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,0,147,而且，那些袭击者不是普通人，他们是......感染者。,しかも、襲撃者は普通の人間ではなく……感染者です。,レイズ,True
character,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,0,148,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,,0,149,,,,False
name,......让重装干员们向我们目前所在的区域撤退。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,150,......让重装干员们向我们目前所在的区域撤退。,……重装オペレーターたちを今いるエリアへ撤退させて。,アーミヤ,True
name,侦察小队！去追踪任务目标，白发乌萨斯少女，身高1.45米，务必注意隐蔽和安全！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,151,侦察小队！去追踪任务目标，白发乌萨斯少女，身高1.45米，务必注意隐蔽和安全！,偵察隊！任務目標、白髪のウルサス少女、身長1.45mを追跡して。隠密と安全を最優先するように！,アーミヤ,True
name,其他干员，跟随各自的队长散开。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,152,其他干员，跟随各自的队长散开。,他のオペレーターは、各自の隊長に従い分散して行動してください。,アーミヤ,True
decision,以逸待劳，很好。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,以逸待劳，很好。;这是......诱敌深入？;芙兰卡小姐，我们是不是要伏击敌人？,1;2;3,,3,153,以逸待劳，很好。,待ち伏せ、いい判断だ。,,True
decision,这是......诱敌深入？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,以逸待劳，很好。;这是......诱敌深入？;芙兰卡小姐，我们是不是要伏击敌人？,1;2;3,,3,154,这是......诱敌深入？,これは……敵を誘い込む作戦か？,,True
decision,芙兰卡小姐，我们是不是要伏击敌人？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,以逸待劳，很好。;这是......诱敌深入？;芙兰卡小姐，我们是不是要伏击敌人？,1;2;3,,3,155,芙兰卡小姐，我们是不是要伏击敌人？,フランカさん、私たちは敵を待ち伏せるんですか？,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,0,156,,,,False
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,char_107_liskam_1,1,,,,,,,,0,157,,,,False
name,哟——不错嘛。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,0,158,哟——不错嘛。,おー、悪くないね。,フランカ,True
name,雷蛇，这孩子很聪明呢。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,0,159,雷蛇，这孩子很聪明呢。,レイズ、この子は賢いね。,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,char_107_liskam_1,2,,,,,,,,0,160,,,,False
name,......博士可是战术指挥官，你严肃点。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,0,161,......博士可是战术指挥官，你严肃点。,……ドクターは戦術指揮官だ、ちゃんと真面目にしろ。,レイズ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,0,162,,,,False
name,行动吧。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,163,行动吧。,行動開始です。,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,0,164,,,,False
name,攻击罗德岛的感染者......吗。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,165,攻击罗德岛的感染者......吗。,ロドスを襲う感染者……か。,アーミヤ,True
blocker,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,0,166,,,,False
