command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,time,image,fadetime,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,name,a,r,g,b,width,height,name2,focus,options,values,references,initr,Delay,option_number,index,text,jp_text,jp_name,text_match
character,,,,,,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,char_219_meteo_1,1,,,,,,0,36,,,,False
name,陨星......其实我......也想要......,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,37,陨星......其实我......也想要......,メテオ……実は私も……欲しかったんだ……,フロストリーフ,True
name,通过迂回来......来给你们创造空间......,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,38,通过迂回来......来给你们创造空间......,回り道して……みんなに隙間を作ってあげたかった……,フロストリーフ,True
character,,,,,,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,char_219_meteo_1#3,2,,,,,,0,39,,,,False
name,你......,,,,,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,0,40,你......,あなた……,メテオ,True
character,,,,,,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,char_219_meteo_1#3,1,,,,,,0,41,,,,False
name,可是......我的身体......已经冻僵了。,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,42,可是......我的身体......已经冻僵了。,でも……私の身体……もう凍りついてる。,フロストリーフ,True
name,我的脚......动不了了。,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,43,我的脚......动不了了。,足が……もう動かない……,フロストリーフ,True
character,,,,,,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,char_219_meteo_1#3,2,,,,,,0,44,,,,False
name,霜叶！！,,,,,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,0,45,霜叶！！,フロストリーフ！！,メテオ,True
character,,,,,,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,0,46,,,,False
name,阿米娅，带她们突破包围。,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,47,阿米娅，带她们突破包围。,アーミヤ、みんなを連れて突破して。,フロストリーフ,True
name,再过不到一分钟，敌人的指挥官......可能会冻上整个广场。,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,48,再过不到一分钟，敌人的指挥官......可能会冻上整个广场。,あと1分もしないうちに、敵の指揮官が……広場全体を凍らせるかも。,フロストリーフ,True
name,我的命，可别浪费了。,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,49,我的命，可别浪费了。,私の命、無駄にしないで。,フロストリーフ,True
camerashake,,,,,,,,,,,,true,1,8,10,30,90,,,,,,,,,,,,,,,,0,50,,,,False
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,char_219_meteo_1#3,2,,,,,,0,51,,,,False
name,阿米娅......我们不能......我不能！,,,,,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,0,52,阿米娅......我们不能......我不能！,アーミヤ……私たちにはできない……私はできない！,メテオ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,char_219_meteo_1#3,1,,,,,,0,53,,,,False
name,我明白。,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,54,我明白。,分かってる。,アーミヤ,True
name,我不会丢下霜叶的。,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,55,我不会丢下霜叶的。,フロストリーフを置いていかない。,アーミヤ,True
name,我是不会——丢下任何人的！,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,56,我是不会——丢下任何人的！,私は絶対に——誰も見捨てない！,アーミヤ,True
name,我来封锁敌方小队的行动！,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,57,我来封锁敌方小队的行动！,私が敵の部隊の行動を食い止める！,アーミヤ,True
name,陨星——去把霜叶救回来！！,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,58,陨星——去把霜叶救回来！！,メテオ——フロストリーフを助けて！,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,char_219_meteo_1#3,2,,,,,,0,59,,,,False
name,明白！,,,,,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,0,60,明白！,了解！,メテオ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,0,61,,,,False
name,博士！拜托你指挥各个小队！,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,62,博士！拜托你指挥各个小队！,ドクター！各チームの指揮、お願いします！,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,-1,,,,,,0,63,,,,False
decision,好的！,,,,,,,,,,,,,,,,,,,,,,,,,,,不用你说！;（点头）;好的！,1;2;3,,,,3,64,好的！,わかった！,,True
decision,（点头）,,,,,,,,,,,,,,,,,,,,,,,,,,,不用你说！;（点头）;好的！,1;2;3,,,,3,65,（点头）,（うなずく）,,True
decision,不用你说！,,,,,,,,,,,,,,,,,,,,,,,,,,,不用你说！;（点头）;好的！,1;2;3,,,,3,66,不用你说！,言われなくても！,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,,0,67,,,,False
blocker,,,,,,,,,,,0.2,true,,,,,,,,1,0,0,0,,,,,,,,2,,0,68,,,,False
character,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,69,,,,False
blocker,,,,,,,,,,,0.2,true,,,,,,,,0,,,,,,,,,,,,,0,70,,,,False
character,,,,,,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,0,71,,,,False
name,————,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,72,————,————,フロストリーフ,True
name,想了想，这法术......,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,73,想了想，这法术......,考えてみた、この術は……,フロストリーフ,True
name,我只用过一次呢。,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,74,我只用过一次呢。,一度しか使ったことないんだ。,フロストリーフ,True
name,——“凡有血气......”,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,75,——“凡有血气......”,——「生ある者は……」,フロストリーフ,True
blocker,,,,,,,,,,,0.1,true,,,,,,,,1,0,0,0,,,,,,,,,,0,76,,,,False
blocker,,,,,,,,,,,0.1,true,,,,,,,,0,1,1,1,,,,,,,,,,0,77,,,,False
delay,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,78,,,,False
character,,,,,,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,0,79,,,,False
name,呵。,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,80,呵。,ふっ。,フロストノヴァ,True
name,想用冰对抗冰......吗。,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,81,想用冰对抗冰......吗。,氷で氷に対抗しようって……か。,フロストノヴァ,True
character,,,,,,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,0,82,,,,False
name,唔......！,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,83,唔......！,うっ……！,フロストリーフ,True
character,,,,,,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,0,84,,,,False
name,舌头，是不是不听使唤了？,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,85,舌头，是不是不听使唤了？,舌が、もう言うことを聞かないか？,フロストノヴァ,True
character,,,,,,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,0,86,,,,False
name,你......,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,87,你......,あなた……,フロストリーフ,True
character,,,,,,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,0,88,,,,False
name,————,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,89,————,————,フロストノヴァ,True
name,雪怪小队，各自散开就位。,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,90,雪怪小队，各自散开就位。,スノーストーカー小隊、散開して持ち場につけ。,フロストノヴァ,True
character,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,0,91,,,,False
name,是。,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,0,92,是。,了解。,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,0,93,,,,False
name,我的兄弟们......,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,94,我的兄弟们......,私の同志たちよ……,フロストノヴァ,True
name,去摧毁他们的掩体，冻结他们的血液吧。,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,95,去摧毁他们的掩体，冻结他们的血液吧。,奴らの防壁を壊し、血まで凍らせなさい。,フロストノヴァ,True
character,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,0,96,,,,False
name,明白。,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,0,97,明白。,了解。,レユニオンメンバー,True
delay,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0,98,,,,False
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,0,99,,,,False
name,“——我知道你在想什么。”,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,100,“——我知道你在想什么。”,――分かるよ、あなたが何を考えているか。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,0,101,,,,False
name,咒语？,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,0,102,咒语？,呪文？,レユニオンメンバー,True
name,罗德岛的兔子......,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,0,103,罗德岛的兔子......,ロドスのウサギ……,レユニオンメンバー,True
name,黑色的......线？......那是什么东西？,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,0,104,黑色的......线？......那是什么东西？,黒い……糸？……あれは何だ？,レユニオンメンバー,True
name,是，是什么法术——,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,0,105,是，是什么法术——,な、なんの術だ――,レユニオンメンバー,True
name,等，等等，那东西跃过了......掩体？！,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,0,106,等，等等，那东西跃过了......掩体？！,ま、待って、それが障壁を……越えてきた？！,レユニオンメンバー,True
name,别——,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,0,107,别——,やめ――,レユニオンメンバー,True
name,——啊啊啊啊！！！！,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,0,108,——啊啊啊啊！！！！,――あああああ！！！！,レユニオンメンバー,True
camerashake,,,,,,,,,,,,true,1,8,10,30,90,,,,,,,,,,,,,,,,0,109,,,,False
name,我，我的身体！好烫......！好烫！,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,0,110,我，我的身体！好烫......！好烫！,お、俺の体が！熱い……熱い！,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,0,111,,,,False
name,陨星！,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,112,陨星！,メテオ！,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,0,113,,,,False
name,我知道！,,,,,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,0,114,我知道！,分かってる！,メテオ,True
name,就拜托你，继续制造空隙了！,,,,,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,0,115,就拜托你，继续制造空隙了！,引き続き隙間を作るのを頼む！,メテオ,True
character,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,0,116,,,,False
name,不不......不......好冷......！,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,0,117,不不......不......好冷......！,やめ……やめて……寒い……！,レユニオンメンバー,True
name,呃啊......好疼，好疼呀！,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,0,118,呃啊......好疼，好疼呀！,うあ……痛い、痛いよ！,レユニオンメンバー,True
name,......喀......别，别再......,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,0,119,......喀......别，别再......,……カッ……もう、もうやめて……,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,char_1002_nsabr_2,1,,,,,,0,120,,,,False
name,——！,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,121,——！,——！,フロストノヴァ,True
name,快点！别再让普通的整合运动同胞们受伤！,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,122,快点！别再让普通的整合运动同胞们受伤！,急げ！これ以上一般のレユニオンの仲間を傷つけさせるな！,フロストノヴァ,True
character,,,,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,0,123,,,,False
name,了解！,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,0,124,了解！,了解！,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,0,125,,,,False
name,这种源石技艺......很强大。,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,126,这种源石技艺......很强大。,このオリジニウムの術……とても強力ね。,フロストノヴァ,True
name,——,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,127,——,——,フロストノヴァ,True
character,,,,,,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,0,128,,,,False
name,唔......啊......,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,129,唔......啊......,う……あ……,フロストリーフ,True
name,你这家伙......别想......再前进了......,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,130,你这家伙......别想......再前进了......,あんた……もう一歩も進ませない……,フロストリーフ,True
name,呃......,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,131,呃......,うっ……,フロストリーフ,True
name,......,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,132,......,……,フロストリーフ,True
character,,,,,,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,0,133,,,,False
name,不会让你有释放法术的机会的，小妹妹。,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,134,不会让你有释放法术的机会的，小妹妹。,術を使わせる暇は与えないよ、妹ちゃん。,フロストノヴァ,True
name,就这样，稍微睡一会儿吧。,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,135,就这样，稍微睡一会儿吧。,このまま、少し眠ってな。,フロストノヴァ,True
name,等一下再来结束你的痛苦。,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,136,等一下再来结束你的痛苦。,後でまた、苦しみを終わらせてあげる。,フロストノヴァ,True
character,,,,,,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,0,137,,,,False
name,可，可恶......！,,,,,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,0,138,可，可恶......！,く、くそ……！,メテオ,True
character,,,,,,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,0,139,,,,False
name,......,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,140,......,……,フロストノヴァ,True
name,那么，你就是阿米娅吧。,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,141,那么，你就是阿米娅吧。,さて、君がアーミヤか。,フロストノヴァ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,0,142,,,,False
name,......！,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,143,......！,……！,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,0,144,,,,False
name,——,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,145,——,——,フロストノヴァ,True
name,你的眼神，很棒。,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,146,你的眼神，很棒。,君の目、素晴らしいよ。,フロストノヴァ,True
name,确实是属于战士的眼神。,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,147,确实是属于战士的眼神。,確かに戦士の目だ。,フロストノヴァ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,0,148,,,,False
name,......,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,149,......,……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,0,150,,,,False
name,......抱歉。,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,151,......抱歉。,……ごめんね。,フロストノヴァ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,0,152,,,,False
name,你......为什么......,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,153,你......为什么......,あなた……どうして……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,0,154,,,,False
name,......♬,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,155,......♬,……♬,フロストノヴァ,True
name,——♪——♬——,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,156,——♪——♬——,――♪――♬――,フロストノヴァ,True
playsound,,$d_gen_surfacefrozen,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,157,,,,False
blocker,,,,,,,,,,,3,true,,,,,,,,0.3,255,255,255,,,,,,,,,,0,158,,,,False
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,0,159,,,,False
name,——！,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,160,——！,――！,アーミヤ,True
name,怎么回事？,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,161,怎么回事？,どういうこと？,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,0,162,,,,False
name,——♬——♬——,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,163,——♬——♬——,――♬――♬――,フロストノヴァ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,0,164,,,,False
name,......下雪了？,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,165,......下雪了？,……雪が降ってる？,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,0,166,,,,False
blocker,,,,,,,,,,,3,true,,,,,,,,1,255,255,255,,,,,,,,,,0,167,,,,False
name,......♪,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,168,......♪,……♪,フロストノヴァ,True
name,“沉睡啊，沉睡吧，,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,169,“沉睡啊，沉睡吧，,「眠れ、眠るのだ、,フロストノヴァ,True
name,刺猬玩偶与小熊们”......,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,170,刺猬玩偶与小熊们”......,ハリネズミの人形とクマたちよ」……,フロストノヴァ,True
playsound,,$d_gen_surfacefrozen,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,171,,,,False
character,,,,,,,,,,,,,,,,,,,char_219_meteo_1#3,,,,,,,,,,,,,,0,172,,,,False
name,这个怪异的旋律......,,,,,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,0,173,这个怪异的旋律......,この奇妙な旋律……,メテオ,True
name,——她在施术！,,,,,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,0,174,——她在施术！,――彼女が術を使ってる！,メテオ,True
character,,,,,,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,0,175,,,,False
name,“沉进静静的黑色......♩,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,176,“沉进静静的黑色......♩,「静かな黒に沈んでいく……♩,フロストノヴァ,True
name,......我，破烂的人偶与娃娃♬”,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,0,177,......我，破烂的人偶与娃娃♬”,……私は、壊れた人形とぬいぐるみ♬」,フロストノヴァ,True
playsound,,$d_gen_surfacefrozen,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,178,,,,False
blocker,,,,,,,,,,,1,true,,,,,,,,0.5,255,255,255,,,,,,,,,,0,179,,,,False
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,0,180,,,,False
name,——,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,181,——,——,アーミヤ,True
name,凭空诞生的黑色冰晶，数量又增多了？,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,182,凭空诞生的黑色冰晶，数量又增多了？,突然現れた黒い氷晶、また増えてる？,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_219_meteo_1#3,,,,,,,,,,,,,,0,183,,,,False
name,冰晶缓缓降落在地面上了！,,,,,,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,0,184,冰晶缓缓降落在地面上了！,氷晶がゆっくり地面に降りてきた！,ジェシカ,True
character,,,,,,,,,,,,,,,,,,,char_219_meteo_1#3,,,,,,,,,,,,,,0,185,,,,False
name,糟糕，冰晶与地面的接触面......结冰了？,,,,,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,0,186,糟糕，冰晶与地面的接触面......结冰了？,まずい、氷晶と地面の接触面が……凍りついた？,メテオ,True
name,黑色的冰面......,,,,,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,0,187,黑色的冰面......,黒い氷の表面が……,メテオ,True
name,居然......在蔓延？！,,,,,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,0,188,居然......在蔓延？！,まさか……広がってる？！,メテオ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,0,189,,,,False
name,冰晶正在迅速侵蚀周边的地形！,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,190,冰晶正在迅速侵蚀周边的地形！,氷晶が急速に周囲の地形を侵食してる！,アーミヤ,True
