command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,screenadapt,intro,volume,crossfade,delay,time,name,a,initr,r,g,b,block,name2,focus,xScale,yScale,x,y,xScaleTo,yScaleTo,duration,xTo,yTo,ease,index,text,jp_text,jp_name,text_match
playsound,,$d_gen_soldiersrun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,False
character,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,17,,,,False
name,快点！后面的，跟紧了！,,,,,,,,,,,,,,整合运动,,,,,,,,,,,,,,,,,,,18,快点！后面的，跟紧了！,急げ！後ろの奴、遅れるな！,レユニオン,True
character,,,,,,,,,,,,,,,char_102_texas_1,,,,,,,,,,,,,,,,,,,19,,,,False
name,那边的面具人。,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,20,那边的面具人。,そこの仮面のやつ。,テキサス,True
character,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,21,,,,False
name,谁？！,,,,,,,,,,,,,,整合运动,,,,,,,,,,,,,,,,,,,22,谁？！,誰だ？！,レユニオン,True
name,你想干什么？,,,,,,,,,,,,,,整合运动,,,,,,,,,,,,,,,,,,,23,你想干什么？,何のつもりだ？,レユニオン,True
character,,,,,,,,,,,,,,,char_102_texas_1,,,,,,,,,,,,,,,,,,,24,,,,False
name,一起上吧，我赶时间。,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,25,一起上吧，我赶时间。,まとめてかかってこい、急いでいる。,テキサス,True
blocker,,,,,,,,2,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,26,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,False
background,,,,,bg_indoor_2,1,1,0,coverall,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,False
blocker,,,,,,,,2,,,,,,,,0,,,,,true,,,,,,,,,,,,,29,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,char_106_franka_1,2,,,,,,,,,,,30,,,,False
name,阿米娅，企鹅物流的德克萨斯已归队。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,31,阿米娅，企鹅物流的德克萨斯已归队。,アーミヤ、ペンギン急便のテキサスが合流した。,フランカ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,char_106_franka_1,1,,,,,,,,,,,32,,,,False
name,啊......太好了！,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,33,啊......太好了！,ああ……よかった！,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,char_102_texas_1,2,,,,,,,,,,,34,,,,False
name,有些新情况。,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,35,有些新情况。,新しい状況だ。,テキサス,True
name,我干掉了不少，那些叫整合运动的。,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,36,我干掉了不少，那些叫整合运动的。,レユニオンってやつら、かなり片付けた。,テキサス,True
name,——但他们后面，跟着的更多。,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,37,——但他们后面，跟着的更多。,——でも、さらに増援が来てる。,テキサス,True
name,整合运动已经放弃了最开始的伪装，开始集体行动了。,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,38,整合运动已经放弃了最开始的伪装，开始集体行动了。,レユニオンは最初の偽装をやめて、一斉に動き始めた。,テキサス,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,char_102_texas_1,1,,,,,,,,,,,39,,,,False
name,......果然是这样吗......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,40,......果然是这样吗......,……やっぱりそうなんだね……,アーミヤ,True
name,整合运动已经通过贫民区混进龙门......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,41,整合运动已经通过贫民区混进龙门......,レユニオンがスラム街を通って龍門に侵入した……,アーミヤ,True
name,而且......目标和我们相同。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,42,而且......目标和我们相同。,しかも……目標は私たちと同じだ。,アーミヤ,True
name,否则，他们没理由追击我们罗德岛。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,43,否则，他们没理由追击我们罗德岛。,でなければ、ロドスを追う理由はないはず。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,char_107_liskam_1,2,,,,,,,,,,,44,,,,False
name,米莎小姐身上，有龙门和整合运动才知道的秘密。,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,45,米莎小姐身上，有龙门和整合运动才知道的秘密。,ミーシャさんには、龍門とレユニオンだけが知る秘密がある。,レイズ,True
name,这对罗德岛很不利。,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,46,这对罗德岛很不利。,これはロドスにとって不利だ。,レイズ,True
character,,,,,,,,,,,,,,,char_106_franka_1,,,,,,,char_107_liskam_1,1,,,,,,,,,,,47,,,,False
name,形势有点不容乐观啊。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,48,形势有点不容乐观啊。,状況は少し楽観できないな。,フランカ,True
name,一会儿得去戳戳那个督察的漂亮脸蛋问个明白了。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,49,一会儿得去戳戳那个督察的漂亮脸蛋问个明白了。,後であの監察官のきれいな顔をつついて聞き出さなきゃな。,フランカ,True
character,,,,,,,,,,,,,,,char_102_texas_1,,,,,,,,,,,,,,,,,,,50,,,,False
name,......还有事吗？,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,51,......还有事吗？,……他に何か？,テキサス,True
name,没事的话，我来带路。我很清楚该怎么走！,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,52,没事的话，我来带路。我很清楚该怎么走！,用がなければ案内する。道順はちゃんと分かってる！,テキサス,True
name,能天使已经确定了撤退路线，我带你们过去。,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,53,能天使已经确定了撤退路线，我带你们过去。,エンジェルはすでに撤退ルートを確保した。私が案内する。,テキサス,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,54,,,,False
name,芙兰卡，集合各个小队，我们——,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,55,芙兰卡，集合各个小队，我们——,フランカ、各部隊を集めて、私たちは――,アーミヤ,True
character,,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,56,,,,False
name,我们？我们得先找个掩体。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,57,我们？我们得先找个掩体。,私たち？まずは隠れる場所を探さないと。,フランカ,True
name,整合运动已经到了。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,58,整合运动已经到了。,レユニオンがもう来てるぞ。,フランカ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,False
name,在这边！别让他们跑了！,,,,,,,,,,,,,,整合运动,,,,,,,,,,,,,,,,,,,60,在这边！别让他们跑了！,こっちだ！逃がすな！,レユニオン,True
character,,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,61,,,,False
name,追在尾巴后面的麻烦是最讨厌的。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,62,追在尾巴后面的麻烦是最讨厌的。,後をつけてくるやつが一番厄介だな。,フランカ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,63,,,,False
name,——不对。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,64,——不对。,――違う。,アーミヤ,True
name,——不对——！,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,65,——不对——！,――違う――！,アーミヤ,True
name,他们......有首领！,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,66,他们......有首领！,彼ら……リーダーがいる！,アーミヤ,True
character,,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,67,,,,False
name,啊......,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,68,啊......,ああ……,フランカ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,69,,,,False
name,当心！,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,70,当心！,気をつけて！,アーミヤ,True
blocker,,,,,,,,0.5,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,71,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,False
blocker,,,,,,,,0.5,,,,,,,,0,2,0,0,0,true,,,,,,,,,,,,,73,,,,False
name,碎骨，他们就在这儿——是她没错！,,,,,,,,,,,,,,整合运动,,,,,,,,,,,,,,,,,,,74,碎骨，他们就在这儿——是她没错！,スカルシュレッダー、ここだ――間違いなく彼女だ！,レユニオン,True
name,术师们，去吧，去把这些人撕得稀碎！,,,,,,,,,,,,,,整合运动,,,,,,,,,,,,,,,,,,,75,术师们，去吧，去把这些人撕得稀碎！,術師たち、行け！こいつらをバラバラにしろ！,レユニオン,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,char_107_liskam_1,2,,,,,,,,,,,76,,,,False
name,口出狂言......,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,77,口出狂言......,口だけの奴め……,レイズ,True
name,小心！敌人派出了多个术师，注意对策！,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,78,小心！敌人派出了多个术师，注意对策！,注意しろ！敵は術師を複数送り込んできてる、対策を！,レイズ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,char_107_liskam_1,1,,,,,,,,,,,79,,,,False
name,对方的目标是——,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,80,对方的目标是——,相手の目的は――,アーミヤ,True
name,——米莎！,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,81,——米莎！,――ミーシャ！,アーミヤ,True
blocker,,,,,,,,0.5,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,82,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,False
background,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,False
image,,,,,bg_1_firstcontact,,,2,,,,,,,,,,,,,,,,1.5,1.5,-300,200,,,,,,,85,,,,False
imagetween,,,,,,,,,,,,,,,,,,,,,false,,,,,,,1,1,10,0,0,InOutCubic,86,,,,False
blocker,,,,,,,,,,,,,,,,0,,,,,true,,,,,,,,,,,,,87,,,,False
delay,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,88,,,,False
name,啊......你是......,,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,89,啊......你是......,ああ……あなたは……,ミーシャ,True
delay,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,90,,,,False
name,——,,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,91,——,――,スカルシュレッダー,True
name,终于......,,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,92,终于......,ついに……,スカルシュレッダー,True
name,我......,,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,93,我......,俺は……,スカルシュレッダー,True
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,False
name,......,,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,95,......,……,ミーシャ,True
delay,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,96,,,,False
name,我终于......找到你了。,,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,97,我终于......找到你了。,やっと……見つけたぞ。,スカルシュレッダー,True
delay,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,98,,,,False
name,你是......？！,,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,99,你是......？！,あなたは……？！,ミーシャ,True
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,100,,,,False
blocker,,,,,,,,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,101,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,False
image,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,False
blocker,,,,,,,,,,,,,,,,0,,,,,true,,,,,,,,,,,,,104,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,105,,,,False
