command,text_orig,key,is_skippable,fit_mode,time,image,screenadapt,fadetime,block,intro,volume,crossfade,delay,options,values,references,a,r,g,b,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,duration,name,width,height,xstrength,ystrength,vibrato,randomness,fadeout,name2,focus,xScaleFrom,yScaleFrom,afrom,rfrom,gfrom,bfrom,yT,option_number,index,text,jp_text,jp_name,text_match
blocker,,,,,,,,1,true,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,,,,False
image,,,,,,avg_6_4,,0,,,,,,,,,,,,,0,0,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,0,52,,,,False
blocker,,,,,,,,2,false,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,53,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54,,,,False
imagetween,,,,,,,,,false,,,,,,,,,,,,,,1.1,1.1,0,0,20,0,15,,,,,,,,,,,,,,,,,,0,55,,,,False
,龙门近卫局 暨 罗德岛制药公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,56,,,,False
,龙门围剿行动 最后环节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,57,,,,False
,1：控制整合运动在龙门中的行动范围。由龙门近卫局主导完成。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,58,,,,False
,2：消灭龙门中残余的整合运动小队。由龙门近卫局主导完成。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,59,,,,False
,3：保证消灭整合运动行动指挥官或使其彻底失去影响力。由龙门近卫局主导完成。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,60,,,,False
,4：在整合运动撤入贫民区之前，消灭整合运动。由龙门近卫局与罗德岛合作完成。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,61,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,62,,,,False
blocker,,,,,,,,0.6,true,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,63,,,,False
image,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,64,,,,False
blocker,,,,,,,,0.6,false,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,65,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,66,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,67,,,,False
blocker,,,,,,,,1,true,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,68,,,,False
background,,,,,,bg_uptown_2,coverall,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,0,69,,,,False
playmusic,,$escape_loop,,,,,,,,$escape_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70,,,,False
blocker,,,,,,,,1,true,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,71,,,,False
,“......请各位市民注意......正在进行疏散演习......”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,72,,,,False
,“......没有随行动指示进行避难的市民，请锁紧门窗，拉好窗帘，不要随意走出家门......”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,73,,,,False
name,吵死了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,0,74,吵死了。,うるさい。,？？？,True
name,把那个无人机射下来！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,0,75,把那个无人机射下来！,あのドローンを撃ち落とせ！,？？？,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,76,,,,False
blocker,,,,,,,,0.02,true,,,,,,,,0.7,0.95,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,0,77,,,,False
playsound,,$e_atk_arrow_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,78,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,15,10,30,90,true,,,,,,,,,,0,79,,,,False
blocker,,,,,,,,0.25,true,,,,,,,,0,0.95,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80,,,,False
blocker,,,,,,,,0.02,true,,,,,,,,0.7,0.95,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,0,81,,,,False
playsound,,$e_atk_arrow_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,82,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,15,10,30,90,true,,,,,,,,,,0,83,,,,False
blocker,,,,,,,,0.25,true,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,84,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,85,,,,False
character,,,,,,,,1,true,,,,,,,,,,,,,,,,,,,,,char_1507_Mephisto_1#2,,,,,,,,,,,,,,,,,0,86,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,87,,,,False
name,我们就只是个演习对象而已？居然想用这种把戏这种说辞，把我辛苦制造出的恐怖完全掩盖掉？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,0,88,我们就只是个演习对象而已？居然想用这种把戏这种说辞，把我辛苦制造出的恐怖完全掩盖掉？,俺たちはただの演習の対象だって？こんな手で、俺が苦労して作り上げた恐怖を完全に隠すつもりか？,メフィスト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1507_Mephisto_1#3,,,,,,,,,,,,,,,,,0,89,,,,False
name,还敢用龙门语播一遍，乌萨斯语播一遍，又播一遍！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,0,90,还敢用龙门语播一遍，乌萨斯语播一遍，又播一遍！,龍門語で一回、ウルサス語でもう一回、また同じことを流すとは！,メフィスト,True
name,别被无人机干扰，走，都走！快点，避开主干道！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,0,91,别被无人机干扰，走，都走！快点，避开主干道！,ドローンに惑わされるな、行け、みんな行け！急げ、大通りを避けろ！,メフィスト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avg_npc_016,,,,,,,,,,,,,,,,,0,92,,,,False
name,侦查小队三号也没消息了！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,,,,,,,,,,,,0,93,侦查小队三号也没消息了！,偵察小隊三号も連絡がありません！,ファントムクロスボウマン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,0,94,,,,False
name,突，突击手的信号都消失了......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,0,95,突，突击手的信号都消失了......,と、突撃兵の信号が全て消えました......,レユニオンメンバー,True
name,外围保障小队的联络通道在一个接一个地断线！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,0,96,外围保障小队的联络通道在一个接一个地断线！,外周警備隊の通信回線が次々と切断されています！,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1507_Mephisto_1#3,,,,,,,,,,,,,,,,,0,97,,,,False
name,可恨，可恶！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,0,98,可恨，可恶！,憎い、くそっ！,メフィスト,True
name,这种侮辱......这是对整合运动的羞辱！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,0,99,这种侮辱......这是对整合运动的羞辱！,こんな侮辱......これはレユニオンへの屈辱だ！,メフィスト,True
name,怎么会这样，怎么会这样？该死的龙门，该死的龙门人！该死的非感染者！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,0,100,怎么会这样，怎么会这样？该死的龙门，该死的龙门人！该死的非感染者！,どうしてこうなる、どうしてだ？くそったれの龍門、くそったれの龍門人！くそったれの非感染者め！,メフィスト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,avg_npc_016,2,,,,,,,,0,101,,,,False
name,（我从没见过他这样，他似乎很不安。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,,,,,,,,,,,,0,102,（我从没见过他这样，他似乎很不安。）,（彼のこんな様子は初めて見た。とても不安そうだ。）,ファントムクロスボウマン,True
name,（浮士德，我们还有机会撤离吗？）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,,,,,,,,,,,,0,103,（浮士德，我们还有机会撤离吗？）,（ファウスト、私たちまだ撤退できるチャンスはあるか？）,ファントムクロスボウマン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,avg_npc_016,1,,,,,,,,0,104,,,,False
name,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,0,105,......,……,ファウスト,True
name,（我给你们创造空间。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,0,106,（我给你们创造空间。）,（俺がみんなにスペースを作る。）,ファウスト,True
name,（如果对手只有普通警力和龙门近卫局，以及罗德岛，我们一定能安全撤退。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,0,107,（如果对手只有普通警力和龙门近卫局，以及罗德岛，我们一定能安全撤退。）,（相手が普通の警察と龍門近衛局、それとロドスだけなら、必ず安全に撤退できる。）,ファウスト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,avg_npc_016,2,,,,,,,,0,108,,,,False
name,（什么意思？你是说，除了这些还有别的？）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,,,,,,,,,,,,0,109,（什么意思？你是说，除了这些还有别的？）,（どういう意味だ？それ以外にも何かいるのか？）,ファントムクロスボウマン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,110,,,,False
name,烦死了......烦死了！根本说不通！！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,0,111,烦死了......烦死了！根本说不通！！,イライラする……本当にうんざりだ！！どうして通じないんだ！！,メフィスト,True
name,跟不上我指挥的队伍，我要怎么样才能赢？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,0,112,跟不上我指挥的队伍，我要怎么样才能赢？,俺の指揮についてこれない部隊で、どうやって勝てっていうんだ？,メフィスト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,avg_npc_016,1,,,,,,,,0,113,,,,False
name,（有人在监视我们。这座城市里有其它东西。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,0,114,（有人在监视我们。这座城市里有其它东西。）,（誰かが俺たちを監視している。この都市には他にも何かがいる。）,ファウスト,True
name,（做好准备，为了生存。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,0,115,（做好准备，为了生存。）,（準備しろ、生き残るために。）,ファウスト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,avg_npc_016,2,,,,,,,,0,116,,,,False
name,（明白。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,,,,,,,,,,,,0,117,（明白。）,（了解した。）,ファントムクロスボウマン,True
name,（......浮士德。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,,,,,,,,,,,,0,118,（......浮士德。）,（……ファウスト。）,ファントムクロスボウマン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,avg_npc_016,1,,,,,,,,0,119,,,,False
name,（嗯？）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,0,120,（嗯？）,（ん？）,ファウスト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,avg_npc_016,2,,,,,,,,0,121,,,,False
name,（我们相信你。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,,,,,,,,,,,,0,122,（我们相信你。）,（俺たちはお前を信じている。）,ファントムクロスボウマン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,,,,0,123,,,,False
name,（......）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,0,124,（......）,（……）,ファウスト,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,125,,,,False
stopmusic,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,126,,,,False
blocker,,,,,,,,2,true,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,127,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,128,,,,False
background,,,,,,bg_rooftop,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,129,,,,False
delay,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,130,,,,False
blocker,,,,,,,,2,true,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,131,,,,False
,9:20AM 近龙门近卫局某处 罗德岛行动小队预计巡逻点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,132,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,133,,,,False
blocker,,,,,,,,1,true,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,134,,,,False
image,,,,,,avg_6_5,,0,,,,,,,,,,,,,0,0,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,0,135,,,,False
playmusic,,$darkness02_loop,,,,,,,,$darkness02_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,,,,False
blocker,,,,,,,,1,false,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,137,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,138,,,,False
imagetween,,,,,,,,,false,,,,,,,,,,,,,,,,0,0,20,0,15,,,,,,,,,,,1.2,1.2,,,,,,0,139,,,,False
delay,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,140,,,,False
name,这种事情居然也要感染者去做？罗德岛这回还真是接了个恶毒的活。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,0,141,这种事情居然也要感染者去做？罗德岛这回还真是接了个恶毒的活。,こんなことまで感染者にやらせるのか？ロドスは本当に厄介な仕事を引き受けたな。,煌（ホウ）,True
name,龙门。哼，龙门，这么大的城市怎么可能没有自己对抗入侵势力的手段？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,0,142,龙门。哼，龙门，这么大的城市怎么可能没有自己对抗入侵势力的手段？,龍門。ふん、龍門ほどの大都市が侵入勢力に対抗する手段を持っていないはずがないさ。,煌（ホウ）,True
name,让感染者协助普通人对抗感染者......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,0,143,让感染者协助普通人对抗感染者......,感染者に一般人と協力させて感染者と戦わせるとは……,煌（ホウ）,True
name,算了，反正也不是第一次了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,0,144,算了，反正也不是第一次了。,まぁいい、どうせこれが初めてじゃないしな。,煌（ホウ）,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,145,,,,False
playsound,,$rungeneral,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,146,,,,False
blocker,,,,,,,,1,true,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,147,,,,False
image,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,148,,,,False
blocker,,,,,,,,1,false,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,149,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,150,,,,False
blocker,,,,,,,,1,true,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,151,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,152,,,,False
background,,,,,,bg_building_3,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,153,,,,False
blocker,,,,,,,,2,true,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,154,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,0,155,,,,False
name,快点干掉拦路的！身后的别管，突破他们的防御就行！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,0,156,快点干掉拦路的！身后的别管，突破他们的防御就行！,早く邪魔者を倒せ！後ろの奴らは気にするな、奴らの防御を突破するんだ！,レユニオンメンバー,True
name,只要穿过这条街，我们就有机会和第二大队汇合！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,0,157,只要穿过这条街，我们就有机会和第二大队汇合！,この通りを抜ければ、第二部隊と合流するチャンスがある！,レユニオンメンバー,True
name,别给他们反击的机会，我们已经不剩下多少人了——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,0,158,别给他们反击的机会，我们已经不剩下多少人了——,やつらに反撃のチャンスを与えるな、俺たちはもうほとんど人が残っていない——,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,159,,,,False
name,现在不剩下多少人，一会儿可就一个都不剩了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,0,160,现在不剩下多少人，一会儿可就一个都不剩了。,今はまだ少し残っているけど、もうすぐ誰も残らなくなるぞ。,？？？,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,0,161,,,,False
name,啊？！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,0,162,啊？！,あ？！,レユニオンメンバー,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,163,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,164,,,,False
