command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,duration,xstrength,ystrength,vibrato,randomness,block,a,r,g,b,afrom,rfrom,gfrom,bfrom,name2,focus,initr,screenadapt,index,text,jp_text,jp_name,text_match
name,我没任何理由向你保证，但我会尽到我的职责。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,62,我没任何理由向你保证，但我会尽到我的职责。,君に約束できる理由はないが、私は自分の責任を果たす。,チェン,True
name,毕竟——,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,63,毕竟——,なにせ――,チェン,True
character,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,char_012_misa_1,2,,,64,,,,False
name,他们说过，以前也——,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,65,他们说过，以前也——,前にも、彼らは言っていた――,ミーシャ,True
character,=,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,char_012_misa_1,1,,,66,,,,False
name,这是我们一直在做的事情。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,67,这是我们一直在做的事情。,これが私たちのしてきたことだ。,チェン,True
character,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,char_012_misa_1,2,,,68,,,,False
name,......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,69,......,……,ミーシャ,True
name,谢谢你......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,70,谢谢你......,ありがとう……,ミーシャ,True
character,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,char_012_misa_1,1,,,71,,,,False
name,......,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,72,......,……,チェン,True
name,——你知道我们找你的原因吗？,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,73,——你知道我们找你的原因吗？,――私たちが君を探している理由がわかるか？,チェン,True
character,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,char_012_misa_1,2,,,74,,,,False
name,......我不清楚。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,75,......我不清楚。,……私にはわかりません。,ミーシャ,True
name,我想不出自己有什么值得你们追缉的理由。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,76,我想不出自己有什么值得你们追缉的理由。,自分が追われる理由は思いつきません。,ミーシャ,True
name,但我觉得，也许......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,77,但我觉得，也许......,でも、もしかしたら……,ミーシャ,True
name,原因不在我，却在——,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,78,原因不在我，却在——,理由は私でなく――,ミーシャ,True
name,——我的父亲身上。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,79,——我的父亲身上。,――私の父にあるのかも。,ミーシャ,True
character,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,char_012_misa_1,1,,,80,,,,False
name,————是的。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,81,————是的。,――――そうだ。,チェン,True
name,你的父亲，是切尔诺伯格最著名的科学家。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,82,你的父亲，是切尔诺伯格最著名的科学家。,君の父はチェルノボーグで最も有名な科学者だ。,チェン,True
name,同时，他也是切尔诺伯格重要的政治人物之一。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,83,同时，他也是切尔诺伯格重要的政治人物之一。,そして、彼はチェルノボーグの重要な政治家でもある。,チェン,True
name,也许，你身上有着......,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,84,也许，你身上有着......,君にもしかすると……,チェン,True
name,——,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,85,——,――,チェン,True
name,也许没有。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,86,也许没有。,あるいは、そうではないかもしれない。,チェン,True
name,但我们不能允许你落入整合运动之手。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,87,但我们不能允许你落入整合运动之手。,だが、君をインテグレーションムーブメントに渡すわけにはいかない。,チェン,True
character,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,False
background,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,coverall,89,,,,False
character,,,,,,,,0.2,,,,,,char_1504_cqbw#2,,,,,,,,,,,,,,,,,,,90,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,91,,,,False
name,呵呵，找到你们了，龙门近卫局。,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,92,呵呵，找到你们了，龙门近卫局。,ふふ、見つけたよ、龍門近衛局。,W,True
name,虽然我和你们无冤无仇——,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,93,虽然我和你们无冤无仇——,別に恨みもないけど――,W,True
name,但我手上有一个很有意思的剧本哦。,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,94,但我手上有一个很有意思的剧本哦。,だけど私の手元には面白いシナリオがあるんだ。,W,True
name,为了让事情变得好玩起来，有必要让你们参与其中呢。,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,95,为了让事情变得好玩起来，有必要让你们参与其中呢。,もっと楽しくするために、君たちにも参加してもらう必要があるね。,W,True
name,就让我们开始吧。,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,96,就让我们开始吧。,さあ、始めようか。,W,True
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,97,,,,False
blocker,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,98,,,,False
