command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,index,text,jp_text,jp_name,text_match
name,你们对着乌萨斯人泄私愤的时候考虑过战略目标吗？,,,,,,,,,,,,,雪怪小队成员A,,,,,,,,30,你们对着乌萨斯人泄私愤的时候考虑过战略目标吗？,お前ら、ウルサス人に八つ当たりしてる時、戦略目標なんて考えてたのか？,イエティ小隊メンバーA,True
name,行行好，我们尽量，你们能不能宽容下？,,,,,,,,,,,,,雪怪小队成员A,,,,,,,,31,行行好，我们尽量，你们能不能宽容下？,頼むから、できるだけ頑張るよ。ちょっとは寛大になれないのか？,イエティ小隊メンバーA,True
character,,,,,,,,,,,,,,,,,,,,,,32,,,,False
name,你们难道......和罗德岛进行了交流？,,,,,,,,,,,,,整合运动术师,,,,,,,,33,你们难道......和罗德岛进行了交流？,もしかして……ロドスと接触したのか？,レユニオン術師,True
name,你在背叛我们的运动！,,,,,,,,,,,,,整合运动术师,,,,,,,,34,你在背叛我们的运动！,お前は我々の運動を裏切っている！,レユニオン術師,True
character,,,,,,,,,,,,,,avg_npc_037,,,,,,,,35,,,,False
name,......,,,,,,,,,,,,,雪怪小队成员A,,,,,,,,36,......,……,イエティ小隊メンバーA,True
character,,,,,,,,,,,,,,char_017_homura_3#5,,,,,,,,37,,,,False
name,（你们那怎么回事？）,,,,,,,,,,,,,煌,,,,,,,,38,（你们那怎么回事？）,（そっちはどうなってる？）,スルト,True
character,,,,,,,,,,,,,,avg_npc_037,,,,,,,,39,,,,False
name,（感觉得打一场，逃不掉了。）,,,,,,,,,,,,,雪怪小队成员A,,,,,,,,40,（感觉得打一场，逃不掉了。）,（戦わなきゃダメそうだ、逃げられそうにない。）,イエティ小隊メンバーA,True
playsound,,$d_gen_transmissionget,,,,,,,,0.4,,,,,,,,,,,,41,,,,False
name,如果你们觉得只要有交流那就是背叛，行啊，那就是了行吧。,,,,,,,,,,,,,雪怪小队成员A,,,,,,,,42,如果你们觉得只要有交流那就是背叛，行啊，那就是了行吧。,もし、お前らが交流しただけで裏切りだって思うなら、それでいいさ、もうそういうことにしてくれ。,イエティ小隊メンバーA,True
name,就这种战术思想，也难怪被人牵着鼻子走。,,,,,,,,,,,,,雪怪小队成员A,,,,,,,,43,就这种战术思想，也难怪被人牵着鼻子走。,そんな戦術思想じゃ、誰かに振り回されても仕方ないな。,イエティ小隊メンバーA,True
character,,,,,,,,,,,,,,,,,,,,,,44,,,,False
name,......雪怪！你们要做什么！,,,,,,,,,,,,,整合运动术师,,,,,,,,45,......雪怪！你们要做什么！,……イエティ！お前たち、何をするつもりだ！,レユニオン術師,True
name,我们的人数可是比你们多了好几倍，别犯蠢！！,,,,,,,,,,,,,整合运动术师,,,,,,,,46,我们的人数可是比你们多了好几倍，别犯蠢！！,こっちはお前たちよりずっと人数が多いんだぞ。バカな真似はするな！！,レユニオン術師,True
character,,,,,,,,,,,,,,avg_npc_037,,,,,,,,47,,,,False
name,......等等，我们可是和乌萨斯常备军交手过无数次了，乌合之众有什么好嚣张的？,,,,,,,,,,,,,雪怪小队成员A,,,,,,,,48,......等等，我们可是和乌萨斯常备军交手过无数次了，乌合之众有什么好嚣张的？,……待てよ、俺たちはウルサス常備軍と何度も戦ってきたんだぞ。烏合の衆が偉そうにするなよ？,イエティ小隊メンバーA,True
character,,,,,,,,,,,,,,,,,,,,,,49,,,,False
name,你们等着！,,,,,,,,,,,,,整合运动术师,,,,,,,,50,你们等着！,覚えていろ！,レユニオン術師,True
character,,,,,,,,,,,,,,avg_npc_037,,,,,,,,51,,,,False
playsound,,$transmission,,,,,,,,0.4,,,,,,,,,,,,52,,,,False
name,（掐断）,,,,,,,,,,,,,雪怪小队成员A,,,,,,,,53,（掐断）,（通話切断）,イエティ小隊メンバーA,True
character,,,,,,,,,,,,,,avg_npc_037,,,,,,,,54,,,,False
name,这样，罗德岛。我们可能要教训下这帮不懂规矩的家伙。,,,,,,,,,,,,,雪怪小队成员A,,,,,,,,55,这样，罗德岛。我们可能要教训下这帮不懂规矩的家伙。,これでロドス。多分、規律を守らないあいつらを少し懲らしめる必要があるな。,イエティ小隊メンバーA,True
name,劝你们别插手，我们可不想被判通敌。,,,,,,,,,,,,,雪怪小队成员A,,,,,,,,56,劝你们别插手，我们可不想被判通敌。,手出ししないほうがいいぞ。こっちも敵と内通してるとか言われたくないからな。,イエティ小隊メンバーA,True
character,,,,,,,,,,,,,,char_017_homura_3#5,,,,,,,,57,,,,False
name,啊，通敌？你在说什么？,,,,,,,,,,,,,煌,,,,,,,,58,啊，通敌？你在说什么？,えっ、内通？何のことだ？,スルト,True
name,阿米娅，在废城发生了什么，罗德岛的官方口吻会怎么说？,,,,,,,,,,,,,煌,,,,,,,,59,阿米娅，在废城发生了什么，罗德岛的官方口吻会怎么说？,アーミヤ、廃墟で何があったか、ロドスの公式見解は？,スルト,True
character,,,,,,,,,,,,,,char_017_homura_3#5,char_002_amiya_1#7,2,,,,,,60,,,,False
name,......什么都没发生。我们和雪怪小队交战，从未有其它整合运动插手过。,,,,,,,,,,,,,阿米娅,,,,,,,,61,......什么都没发生。我们和雪怪小队交战，从未有其它整合运动插手过。,……何も起きていません。私たちはイエティ小隊と交戦しましたが、他のレユニオンが介入したことはありません。,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#8,,,,,,,,62,,,,False
name,演戏？演戏我最擅长了。,,,,,,,,,,,,,煌,,,,,,,,63,演戏？演戏我最擅长了。,芝居か？芝居なら一番得意だ。,スルト,True
name,我们一会儿装装样子，然后趁乱把这些人全都解决了，你觉得怎么样？,,,,,,,,,,,,,煌,,,,,,,,64,我们一会儿装装样子，然后趁乱把这些人全都解决了，你觉得怎么样？,しばらく演技して、混乱に乗じて全員片付ける、どうだ？,スルト,True
character,,,,,,,,,,,,,,avg_npc_037,,,,,,,,65,,,,False
name,我没意见。你们队长怎么说？,,,,,,,,,,,,,雪怪小队成员A,,,,,,,,66,我没意见。你们队长怎么说？,俺は構わない。お前らの隊長はどう言う？,イエティ小隊メンバーA,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,67,,,,False
name,......,,,,,,,,,,,,,阿米娅,,,,,,,,68,......,……,アーミヤ,True
character,,,,,,,,,,,,,,avg_npc_037,char_002_amiya_1#1,2,,,,,,69,,,,False
name,请问先生，我该怎么称呼你？,,,,,,,,,,,,,阿米娅,,,,,,,,70,请问先生，我该怎么称呼你？,あの、先生、私はどうお呼びすればよろしいでしょうか？,アーミヤ,True
character,,,,,,,,,,,,,,avg_npc_037,char_002_amiya_1#1,1,,,,,,71,,,,False
name,......呃，嗯，小姑娘你长得很可爱，但我们见面时间那么短，我还没做好准备......,,,,,,,,,,,,,雪怪小队成员A,,,,,,,,72,......呃，嗯，小姑娘你长得很可爱，但我们见面时间那么短，我还没做好准备......,……えっと、うん、君は可愛いけど、出会ってそんなに経ってないから、まだ心の準備が……,イエティ小隊メンバーA,True
character,,,,,,,,,,,,,,,,,,,,,,73,,,,False
name,准备个头啊！想什么呢！,,,,,,,,,,,,,雪怪小队成员B,,,,,,,,74,准备个头啊！想什么呢！,何の準備だよ！何考えてんだ！,イエティ小隊メンバーB,True
character,,,,,,,,,,,,,,avg_npc_037,char_002_amiya_1#1,1,,,,,,75,,,,False
name,抱歉，抱歉！就，就缓和下气氛。就叫雪怪1号怎么样？,,,,,,,,,,,,,雪怪小队成员A,,,,,,,,76,抱歉，抱歉！就，就缓和下气氛。就叫雪怪1号怎么样？,ごめん、ごめん！ちょっと雰囲気を和らげたかっただけだ。イエティ1号ってことでいいかな？,イエティ小隊メンバーA,True
character,,,,,,,,,,,,,,avg_npc_037,char_002_amiya_1#1,2,,,,,,77,,,,False
name,那么雪怪1号先生......我们都有要救的人，对吗？,,,,,,,,,,,,,阿米娅,,,,,,,,78,那么雪怪1号先生......我们都有要救的人，对吗？,それでは、イエティ1号さん……私たち皆、助けたい人がいるのですよね？,アーミヤ,True
name,就让我们一起制服那些可能干扰到救援进程的整合运动吧。,,,,,,,,,,,,,阿米娅,,,,,,,,79,就让我们一起制服那些可能干扰到救援进程的整合运动吧。,それなら一緒に救援活動の妨げとなるレユニオンを制圧しましょう。,アーミヤ,True
character,,,,,,,,,,,,,,avg_npc_037,char_002_amiya_1#1,1,,,,,,80,,,,False
name,好。我现在非常有干劲。,,,,,,,,,,,,,雪怪1号先生,,,,,,,,81,好。我现在非常有干劲。,よし、今すごくやる気が出てきた。,イエティ1号さん,True
character,,,,,,,,,,,,,,char_017_homura_3#9,,,,,,,,82,,,,False
name,......你的干劲究竟是从哪来的？,,,,,,,,,,,,,煌,,,,,,,,83,......你的干劲究竟是从哪来的？,……そのやる気、どこから出てきたんだ？,スルト,True
dialog,,,,,,,,,,,,,,,,,,,,,,84,,,,False
delay,,,,,,,,,,,,,0.5,,,,,,,,,85,,,,False
blocker,,,,,,,,2,,,,,,,,,1,0,0,0,true,86,,,,False
blocker,,,,,,,,0.5,,,,,,,,,,,,,true,87,,,,False
