command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,a,r,g,b,afrom,rfrom,gfrom,bfrom,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,name,name2,focus,initr,xScale,yScale,xScaleTo,yScaleTo,xFrom,xTo,screenadapt,index,text,jp_text,jp_name,text_match
name,芙兰卡，有没有找到米莎？,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,56,芙兰卡，有没有找到米莎？,フランカ、ミーシャは見つかった？,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1,1,,,,,,,,,57,,,,False
name,到处都没有她的踪迹。,,,,,,,,,,,,,,,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,58,到处都没有她的踪迹。,どこにも彼女の痕跡がない。,フランカ,True
name,W可能，已经把她带走了——,,,,,,,,,,,,,,,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,59,W可能，已经把她带走了——,Wがもう彼女を連れて行ったかも——,フランカ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1#4,2,,,,,,,,,60,,,,False
name,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,61,......,......,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1#4,1,,,,,,,,,62,,,,False
name,啧，动作也太快了——,,,,,,,,,,,,,,,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,63,啧，动作也太快了——,ちっ、動きが早すぎる——,フランカ,True
playsound,,$e_skill_skulsrexplo,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,65,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,66,,,,False
name,......？,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,67,......？,......？,アーミヤ,True
name,哪里发生了......爆炸？,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,68,哪里发生了......爆炸？,どこかで……爆発が？,アーミヤ,True
name,芙兰卡，集合各个小队，支援近卫局！,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,69,芙兰卡，集合各个小队，支援近卫局！,フランカ、各小隊を集めて、近衛局を援護して！,アーミヤ,True
playsound,,$e_skill_skulsrexplo,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,71,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_015_lmg,char_002_amiya_1#7,1,,,,,,,,,72,,,,False
playmusic,,$m_bat_game02_loop,,,,,,,$m_bat_game02_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,False
name,罗德岛的各位，千万小心！,,,,,,,,,,,,,,,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,74,罗德岛的各位，千万小心！,ロドスの皆さん、くれぐれも気を付けて！,近衛局隊員,True
name,这个敌人，它，它......,,,,,,,,,,,,,,,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,75,这个敌人，它，它......,この敵……それが……,近衛局隊員,True
name,它......,,,,,,,,,,,,,,,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,76,它......,それが……,近衛局隊員,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_015_lmg,char_002_amiya_1#7,2,,,,,,,,,77,,,,False
name,——发生什么了？为什么不说话？,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,78,——发生什么了？为什么不说话？,——何があったの？どうして喋らないの？,アーミヤ,True
name,敌人——,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,79,敌人——,敵が——,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,80,,,,False
name,......咦？！,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,81,......咦？！,……え？！,アーミヤ,True
name,那是......？,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,82,那是......？,あれは……？,アーミヤ,True
name,怎，怎么会......!,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,83,怎，怎么会......!,ど、どうして……！,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,84,,,,False
name,————什么？,,,,,,,,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,85,————什么？,————何だ？,チェン,True
name,嘁，这是什么把戏？,,,,,,,,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,86,嘁，这是什么把戏？,チッ、何の手品だ？,チェン,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,1,14,20,30,90,true,,,,,,,,,,,,88,,,,False
name,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,89,——,——,レユニオンメンバー,True
name,是奇迹，奇迹啊！,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,90,是奇迹，奇迹啊！,奇跡だ、奇跡だ！,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,91,,,,False
name,————,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,92,————,————,アーミヤ,True
name,为什么？,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,93,为什么？,なぜ？,アーミヤ,True
playsound,,$e_skill_skulsrexplo,,,,,,,,0.7,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,1,14,20,30,90,true,,,,,,,,,,,,95,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_010_chen_1#2,char_002_amiya_1#5,1,,,,,,,,,96,,,,False
name,别发呆！找掩体！,,,,,,,,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,97,别发呆！找掩体！,ぼーっとするな！遮蔽物を探せ！,チェン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,98,,,,False
name,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,99,......,......,アーミヤ,True
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,False
blocker,,,,,,,,0.5,,,,,,1,255,255,255,,,,,true,,,,,,,,,,2,,,,,,,,101,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,False
blocker,,,,,,,,0.1,,,,,,1,0.6,0.3,,,,,,true,,,,,,,,,,,,,,,,,,103,,,,False
image,,,,,bg_1_back,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1,"1,",,,,,,104,,,,False
imagetween,,,,,bg_1_back,,,,,,,,,,,,,,,,,false,20,,,,,,,,,,,,1.3,1.3,0,-100,,105,,,,False
blocker,,,,,,,,1,,,,,,0,0.6,0.3,,,,,,true,,,,,,,,,,,,,,,,,,106,,,,False
blocker,,,,,,,,0.1,,,,,,0.3,1,1,1,0,0,0,0,true,,,,,,,,,,,,,,,,,,107,,,,False
blocker,,,,,,,,0.1,,,,,,0,,,,,,,,true,,,,,,,,,,,,,,,,,,108,,,,False
name,奇迹发生了！！,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,109,奇迹发生了！！,奇跡が起きた！！,レユニオンメンバー,True
name,————是你吗......是你吗！！！,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,110,————是你吗......是你吗！！！,————あなたか……あなたなんだ！！！,レユニオンメンバー,True
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,False
name,——他没事！！,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,112,——他没事！！,——彼は無事だ！！,レユニオンメンバー,True
name,他，他没事啊！,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,113,他，他没事啊！,彼、彼は大丈夫だ！,レユニオンメンバー,True
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,False
name,碎骨还活着！！,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,115,碎骨还活着！！,スカルシュレッダーはまだ生きてる！！,レユニオンメンバー,True
blocker,,,,,,,,0.1,,,,,,0.3,1,1,1,0,0,0,0,true,,,,,,,,,,,,,,,,,,116,,,,False
blocker,,,,,,,,0.1,,,,,,0,,,,,,,,true,,,,,,,,,,,,,,,,,,117,,,,False
name,碎骨！真的是碎骨！！,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,118,碎骨！真的是碎骨！！,スカルシュレッダーだ！本当にスカルシュレッダーだ！！,レユニオンメンバー,True
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,False
blocker,,,,,,,,0.1,,,,,,0.3,1,1,1,0,0,0,0,true,,,,,,,,,,,,,,,,,,120,,,,False
blocker,,,,,,,,0.1,,,,,,0,,,,,,,,true,,,,,,,,,,,,,,,,,,121,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,false,0.3,10,12,15,90,true,,,,,,,,,,,,122,,,,False
name,万岁！！,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,123,万岁！！,万歳！！,レユニオンメンバー,True
background,,,,,bg_wild_a,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coverall,124,,,,False
image,,,,,,,,0.5,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,125,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,127,,,,False
name,......难道......,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,128,......难道......,……まさか……,アーミヤ,True
name,......不......,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,129,......不......,……そんな……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,130,,,,False
name,整合运动......因为领袖的出现士气大振了吗。,,,,,,,,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,131,整合运动......因为领袖的出现士气大振了吗。,レユニオンは……リーダーの登場で一気に士気が上がったな。,チェン,True
name,要拿下他们变得更难了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,132,要拿下他们变得更难了。,これで彼らを倒すのがもっと難しくなった。,チェン,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1500_skulsr,char_1002_nsabr_2,2,,,,,,,,,135,,,,False
name,......形势很严峻，碎骨。,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,136,......形势很严峻，碎骨。,……状況は厳しい、スカルシュレッダー。,レユニオンメンバー,True
name,但至少......你回来了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,137,但至少......你回来了。,でも少なくとも……あなたが戻って来た。,レユニオンメンバー,True
name,——太好了......真的......太好了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,138,——太好了......真的......太好了。,——よかった……本当に……よかった。,レユニオンメンバー,True
name,米莎她也应该离开了吧。,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,139,米莎她也应该离开了吧。,ミーシャももう離脱したはずだ。,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1500_skulsr,char_1002_nsabr_2,1,,,,,,,,,140,,,,False
name,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,碎骨,,,,,,,,,,,141,......,......,スカルシュレッダー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1500_skulsr,char_1002_nsabr_2,2,,,,,,,,,142,,,,False
name,这样，我们就能放手一搏了！,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,143,这样，我们就能放手一搏了！,これで、思い切り戦えるぞ！,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1500_skulsr,char_1002_nsabr_2,1,,,,,,,,,144,,,,False
name,——我会在这里，挡住他们。,,,,,,,,,,,,,,,,,,,,,,,,,,,,碎骨,,,,,,,,,,,145,——我会在这里，挡住他们。,——ここに残って、奴らを食い止める。,スカルシュレッダー,True
name,你们，快走。,,,,,,,,,,,,,,,,,,,,,,,,,,,,碎骨,,,,,,,,,,,146,你们，快走。,お前たちは、早く行け。,スカルシュレッダー,True
name,我会保护你们——,,,,,,,,,,,,,,,,,,,,,,,,,,,,碎骨,,,,,,,,,,,147,我会保护你们——,俺が守る——,スカルシュレッダー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1500_skulsr,char_1002_nsabr_2,2,,,,,,,,,148,,,,False
name,说什么呢碎骨。,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,149,说什么呢碎骨。,何言ってるんだ、スカルシュレッダー。,レユニオンメンバー,True
name,我们不是早说过，要一起回乌萨斯，给那些家伙点颜色看看吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,150,我们不是早说过，要一起回乌萨斯，给那些家伙点颜色看看吗？,一緒にウルサスに戻って、やつらに一泡吹かせようって言ったじゃないか？,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1500_skulsr,,,,,,,,,,,151,,,,False
name,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,碎骨,,,,,,,,,,,152,......,......,スカルシュレッダー,True
name,好好照顾自己，别死了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,碎骨,,,,,,,,,,,153,好好照顾自己，别死了。,自分の身は大事にしろ、死ぬなよ。,スカルシュレッダー,True
character,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,156,,,,False
name,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,157,......,......,アーミヤ,True
name,不，不可能......,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,158,不，不可能......,そんな、ありえない……,アーミヤ,True
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,160,,,,False
name,愣在那做什么！,,,,,,,,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,161,愣在那做什么！,そこで突っ立って、どうした！,チェン,True
name,星熊，立刻向外围的近卫局成员发出通讯！,,,,,,,,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,162,星熊，立刻向外围的近卫局成员发出通讯！,ホシグマ、すぐに外周の近衛局隊員に連絡を！,チェン,True
name,陷阱和埋伏已经基本被我方排除，没有发现敌方领袖W和任务目标的身影。,,,,,,,,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,163,陷阱和埋伏已经基本被我方排除，没有发现敌方领袖W和任务目标的身影。,罠と待ち伏せはほぼ排除した。敵リーダーWと目標は未確認だ。,チェン,True
name,现在，更改作战目标！,,,,,,,,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,164,现在，更改作战目标！,今、作戦目標を変更する！,チェン,True
name,立刻收拢包围圈，合力夹击整合运动！,,,,,,,,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,165,立刻收拢包围圈，合力夹击整合运动！,すぐに包囲網を縮めて、レユニオンを一斉に攻撃するぞ！,チェン,True
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,167,,,,False
name,为什么......,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,168,为什么......,なぜ……,アーミヤ,True
blocker,,,,,,,,1.1,,,,,,1,0,0,0,,,,,true,,,,,,,,,,,,,,,,,,169,,,,False
name,......为什么会这样.......,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,170,......为什么会这样.......,……どうしてこんなことに……,アーミヤ,True
name,不......,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,171,不......,いや……,アーミヤ,True
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,173,,,,False
