command,text_orig,key,is_skippable,fit_mode,screenadapt,image,fadetime,block,time,intro,volume,crossfade,delay,name,a,r,g,b,options,values,references,width,height,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,option_number,index,text,jp_text,jp_name,text_match
name,我很准时的！不要慌！马上就到！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,42,我很准时的！不要慌！马上就到！,私は時間通りだって！焦るな！すぐ着く！,スルト,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,44,,,,False
decision,......,,,,,,,,,,,,,,,,,,阿米娅！她在抓我的外套！;......;请问能不能把我放下来再通讯呢？,1;2;3,,,,,,,,,,,,3,45,......,……,,True
decision,阿米娅！她在抓我的外套！,,,,,,,,,,,,,,,,,,阿米娅！她在抓我的外套！;......;请问能不能把我放下来再通讯呢？,1;2;3,,,,,,,,,,,,3,46,阿米娅！她在抓我的外套！,アーミヤ！彼女が俺の上着を掴んでる！,,True
decision,请问能不能把我放下来再通讯呢？,,,,,,,,,,,,,,,,,,阿米娅！她在抓我的外套！;......;请问能不能把我放下来再通讯呢？,1;2;3,,,,,,,,,,,,3,47,请问能不能把我放下来再通讯呢？,できれば降ろしてから通信しませんか？,,True
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,48,,,,False
name,煌！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,49,煌！,スルト！,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#5,,,,,,,,,,,,,,,,,,0,50,,,,False
name,我也没办法，这不是要赶路吗......,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,51,我也没办法，这不是要赶路吗......,私もどうしようもないよ、移動中なんだからさ……,スルト,True
name,（你给我记住了，一会儿有你好果子吃！）,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,52,（你给我记住了，一会儿有你好果子吃！）,（覚えてろよ、そのうち痛い目みせてやるからな！）,スルト,True
predicate,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,53,,,,False
name,博士怎么没声音了？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,54,博士怎么没声音了？,ドクター、どうして黙っているのですか？,アーミヤ,True
name,......煌！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,55,......煌！,……スルト！,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#4,,,,,,,,,,,,,,,,,,0,56,,,,False
name,我什么都没做啊！这个人自己不说话！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,57,我什么都没做啊！这个人自己不说话！,俺は何もしてない！この人が自分で黙ってるんだ！,スルト,True
name,你说两句给她听听啊！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,58,你说两句给她听听啊！,何かアーミヤに言ってやれよ！,スルト,True
name,快说啊，为啥不说话啊......！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,59,快说啊，为啥不说话啊......！,早く言えよ、なんで黙ってるんだよ……！,スルト,True
predicate,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,0,60,,,,False
name,啊......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,61,啊......,あ……,アーミヤ,True
name,抱歉博士，我忘了你和煌一起行动一定会是这种样子了......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,62,抱歉博士，我忘了你和煌一起行动一定会是这种样子了......,すみませんドクター、スルトさんと一緒に行動するとこうなるのを忘れていました……,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#7,,,,,,,,,,,,,,,,,,0,63,,,,False
name,因地制宜嘛。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,64,因地制宜嘛。,臨機応変だろ。,スルト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,65,,,,False
name,你在得意个什么劲，谁是地啊......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,66,你在得意个什么劲，谁是地啊......,何を得意げにしているのですか、誰が“地”なんですか……,アーミヤ,True
predicate,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,,,,,0,67,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,0,68,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,69,,,,False
name,可以了，我只要知道你们的位置和行动就好。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,70,可以了，我只要知道你们的位置和行动就好。,もう大丈夫です。あなたたちの位置と行動が分かれば十分です。,アーミヤ,True
name,你们的关系还变得挺好的。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,71,你们的关系还变得挺好的。,あなたたちの関係もずいぶん良くなったみたいですね。,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#7,,,,,,,,,,,,,,,,,,0,72,,,,False
name,是啊！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,73,是啊！,そうだな！,スルト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,74,,,,False
name,......是吗？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,75,......是吗？,……そうですか？,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#9,,,,,,,,,,,,,,,,,,0,76,,,,False
name,......,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,77,......,……,スルト,True
name,（不对，怎么回事？我该怎么回答？）,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,78,（不对，怎么回事？我该怎么回答？）,（違う、どうなってる？どうやって答えればいい？）,スルト,True
decision,（不说话）,,,,,,,,,,,,,,,,,,（不知道）;（不说话）;（不清楚）,1;2;3,,,,,,,,,,,,3,79,（不说话）,（黙っている）,,True
decision,（不知道）,,,,,,,,,,,,,,,,,,（不知道）;（不说话）;（不清楚）,1;2;3,,,,,,,,,,,,3,80,（不知道）,（分からない）,,True
decision,（不清楚）,,,,,,,,,,,,,,,,,,（不知道）;（不说话）;（不清楚）,1;2;3,,,,,,,,,,,,3,81,（不清楚）,（はっきりしない）,,True
predicate,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,,,,,0,82,,,,False
name,（很危险！现在很危险！我心态有损，我急需指点！）,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,83,（很危险！现在很危险！我心态有损，我急需指点！）,（やばい！今めっちゃやばい！精神が削られてる、誰かアドバイスを！）,スルト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,84,,,,False
name,你们加油。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,85,你们加油。,お二人とも、頑張ってください。,アーミヤ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,86,,,,False
playsound,,$transmission,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,0,87,,,,False
delay,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,88,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#5,,,,,,,,,,,,,,,,,,0,89,,,,False
name,她挂断了！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,90,她挂断了！,彼女、通信切ったぞ！,スルト,True
name,完了。我也完了。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,91,完了。我也完了。,終わった……俺も終わりだ。,スルト,True
name,反正已经到了，我们坐会儿吧。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,92,反正已经到了，我们坐会儿吧。,どうせもう着いたし、少し休もう。,スルト,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,93,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,94,,,,False
delay,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,95,,,,False
decision,可这里是区域内的最高点啊？,,,,,,,,,,,,,,,,,,可这里是区域内的最高点啊？,1,,,,,,,,,,,,1,96,可这里是区域内的最高点啊？,でもここがこの区間の一番高い所だよ？,,True
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,97,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#4,,,,,,,,,,,,,,,,,,0,98,,,,False
name,啊~完蛋了。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,99,啊~完蛋了。,あー、もうだめだ。,スルト,True
name,我喜欢高处啊。反正两点间直线最短，我们一会儿跳下去就行了。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,100,我喜欢高处啊。反正两点间直线最短，我们一会儿跳下去就行了。,私は高いところが好きさ。どうせ二点間は直線が一番早いし、あとで飛び降りればいいだろ。,スルト,True
decision,这么高？跳下去？,,,,,,,,,,,,,,,,,,这么高？跳下去？,1,,,,,,,,,,,,1,101,这么高？跳下去？,こんな高いところから？飛び降りるの？,,True
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,102,,,,False
name,是啊。哈欠。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,103,是啊。哈欠。,そうだよ。ふぁぁ……。,スルト,True
character,,,,,,,,,,,,,,char_017_homura_3#5,,,,,,,,,,,,,,,,,,0,104,,,,False
name,等等。我没看错的话......正在向埋伏圈移动的，东边的是梅菲斯特带着的队伍。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,105,等等。我没看错的话......正在向埋伏圈移动的，东边的是梅菲斯特带着的队伍。,待てよ。俺の見間違いでなければ……東側で待ち伏せ地点に移動してるのは、メフィストの隊だ。,スルト,True
name,另一边......长鳞的小子？,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,106,另一边......长鳞的小子？,もう一方は……鱗の長いやつか？,スルト,True
name,他还在带着队伍和什么交战。那黑压压一片是啥？,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,107,他还在带着队伍和什么交战。那黑压压一片是啥？,奴もまだ隊を率いて何かと交戦中だ。あの黒い集団は何だ？,スルト,True
character,,,,,,,,,,,,,,char_017_homura_3#6,,,,,,,,,,,,,,,,,,0,108,,,,False
name,......是牧群？这个数量是怎么回事？！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,109,......是牧群？这个数量是怎么回事？！,……群れか？この数はどうなってるんだ？！,スルト,True
character,,,,,,,,,,,,,,char_017_homura_3#9,,,,,,,,,,,,,,,,,,0,110,,,,False
name,看来没法在这闲着了。走了，博士，这就是最后一战了！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,111,看来没法在这闲着了。走了，博士，这就是最后一战了！,もうここでのんびりしてる暇はなさそうだ。行くぞ、ドクター、これが最後の戦いだ！,スルト,True
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,0,112,,,,False
name,喂，阿米娅，喂！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,113,喂，阿米娅，喂！,おい、アーミヤ！おい！,スルト,True
name,我马上就和博士一起加入战场！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,114,我马上就和博士一起加入战场！,すぐにドクターと一緒に戦場へ向かうぞ！,スルト,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,115,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,,,,False
blocker,,,,,,,1,true,,,,,,,1,0,0,0,,,,,,,,,,,,,,0,117,,,,False
background,,,,,coverall,bg_indoor_n,,,,,,,,,,,,,,,,1,1,,,,,,,,,0,118,,,,False
blocker,,,,,,,1,true,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,119,,,,False
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,,char_010_chen_1#1,1,,,,,,,0,120,,,,False
name,你有什么打算？,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,121,你有什么打算？,どうするつもり？,スワイヤー,True
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,,char_010_chen_1#1,2,,,,,,,0,122,,,,False
name,......,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,123,......,……,チェン,True
name,我要放走一小部分整合运动，然后我们进贫民区追踪它们。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,124,我要放走一小部分整合运动，然后我们进贫民区追踪它们。,統合運動の一部を逃がして、それから私たちが貧民街に入って奴らを追跡する。,チェン,True
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,,char_010_chen_1#1,1,,,,,,,0,125,,,,False
name,你这不是给了那些特殊部队把柄？,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,126,你这不是给了那些特殊部队把柄？,それじゃ特殊部隊に口実を与えることになるじゃない？,スワイヤー,True
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,,char_010_chen_1#1,2,,,,,,,0,127,,,,False
name,但我们也可以顺势再进入贫民区作业。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,128,但我们也可以顺势再进入贫民区作业。,だが、それで私たちも自然に貧民街で行動できる。,チェン,True
name,我已经去探查过一次情况，有一点可以明确：只要我们还在，特殊部队就没法明目张胆地行动。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,129,我已经去探查过一次情况，有一点可以明确：只要我们还在，特殊部队就没法明目张胆地行动。,私はすでに一度様子を見に行った。はっきりしているのは、私たちがいる限り、特殊部隊は堂々とは動けない。,チェン,True
name,撑到战事结束，特殊部队也不好再动手。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,130,撑到战事结束，特殊部队也不好再动手。,戦いが終わるまで耐えれば、特殊部隊もそう簡単には手を出せない。,チェン,True
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,,char_010_chen_1#1,1,,,,,,,0,131,,,,False
name,你不怕上司给你下命令？,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,132,你不怕上司给你下命令？,上司に命令されるのは怖くないの？,スワイヤー,True
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,,char_010_chen_1#1,2,,,,,,,0,133,,,,False
name,谁敢站出来声称“这支队伍是我的”？,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,134,谁敢站出来声称“这支队伍是我的”？,誰がこの隊を自分のものだと堂々と名乗れる？,チェン,True
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,,char_010_chen_1#1,1,,,,,,,0,135,,,,False
name,行啊，算盘打得挺好的。贫民区里的情况怎么样？,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,136,行啊，算盘打得挺好的。贫民区里的情况怎么样？,なるほどね、よく考えてる。で、貧民区の状況は？,スワイヤー,True
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,,char_010_chen_1#1,2,,,,,,,0,137,,,,False
name,我的线人们一直在调查。除了少数失联的区域，我们掌握的情报会比其他人多得多。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,138,我的线人们一直在调查。除了少数失联的区域，我们掌握的情报会比其他人多得多。,私の情報屋たちがずっと調査している。少し連絡のつかない地域以外は、私たちが持っている情報は他よりずっと多い。,チェン,True
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,,char_010_chen_1#1,1,,,,,,,0,139,,,,False
name,这把赌的有点大，但我们确实得赌了。,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,140,这把赌的有点大，但我们确实得赌了。,これは結構な賭けだが、私たちも賭けるしかないね。,スワイヤー,True
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,,char_010_chen_1#1,2,,,,,,,0,141,,,,False
name,现在能让特殊部队回避的也就只有近卫局。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,142,现在能让特殊部队回避的也就只有近卫局。,今、特殊部隊を回避させられるのは近衛局だけだ。,チェン,True
name,阿米娅，听得见吗？,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,143,阿米娅，听得见吗？,アーミヤ、聞こえるか？,チェン,True
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,0,144,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,145,,,,False
name,陈长官，我们已经就位！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,146,陈长官，我们已经就位！,チェン長官、私たちはすでに配置につきました！,アーミヤ,True
character,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,,,,0,147,,,,False
name,......嗯。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,148,......嗯。,……うん。,チェン,True
name,之前，整合运动掳走感染者的事件，我向你致歉。如果我们考虑的更周到，这种事就不会发生。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,149,之前，整合运动掳走感染者的事件，我向你致歉。如果我们考虑的更周到，这种事就不会发生。,以前、統合運動が感染者を連れ去った件は謝る。もっと気を配っていれば、こんなことにはならなかった。,チェン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,150,,,,False
name,......正是因为近卫局在贫民区的先期行动，龙门才能提前规划出对抗整合运动渗透的方法。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,151,......正是因为近卫局在贫民区的先期行动，龙门才能提前规划出对抗整合运动渗透的方法。,……近衛局が早く貧民区で行動してくれたから、龍門は統合運動の浸透を防ぐ対策ができたのです。,アーミヤ,True
name,在战略上，我认为陈长官没有责任。至于个人的问题......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,152,在战略上，我认为陈长官没有责任。至于个人的问题......,戦略上では、チェン長官に責任はないと思います。個人的なことについては……,アーミヤ,True
name,陈长官，米莎是没法死而复生的。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,153,陈长官，米莎是没法死而复生的。,チェン長官、ミーシャはもう生き返ることはできません。,アーミヤ,True
character,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,,,,0,154,,,,False
name,......,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,155,......,……,チェン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,156,,,,False
name,而且，我不会同意陈长官对感染者的看法。甚至陈长官自己也很清楚......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,157,而且，我不会同意陈长官对感染者的看法。甚至陈长官自己也很清楚......,それに、私はチェン長官の感染者に対する考えには賛成できません。ご自身もよく分かっているはずです……,アーミヤ,True
name,在龙门，热爱龙门的龙门人会为龙门而战，不分身份。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,158,在龙门，热爱龙门的龙门人会为龙门而战，不分身份。,龍門では、龍門を愛する者は身分に関係なく、龍門のために戦うのです。,アーミヤ,True
character,,,,,,,,,,,,,,char_308_swire_1#3,,,,,,,,,,,,,,,,,,0,159,,,,False
name,哎，这只小兔子，好厉害啊。,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,160,哎，这只小兔子，好厉害啊。,おお、このウサちゃん、すごいな。,スワイヤー,True
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,0,161,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,162,,,,False
name,那是诗怀雅小姐的声音吗？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,163,那是诗怀雅小姐的声音吗？,それはスワイヤーさんの声でしょうか？,アーミヤ,True
character,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,,,,0,164,,,,False
name,别管她。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,165,别管她。,彼女は気にするな。,チェン,True
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,,char_010_chen_1#1,1,,,,,,,0,166,,,,False
