command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,time,name,image,width,height,fadetime,name2,focus,options,values,references,a,initr,r,g,b,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,afrom,rfrom,gfrom,bfrom,option_number,index,text,jp_text,jp_name,text_match
name,啊......？我......,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,啊......？我......,あ……？ わたし……,アーミヤ,True
character,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,,,,False
name,博士......我没有在害怕什么......,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,博士......我没有在害怕什么......,ドクター……私は何も怖がってない……,アーミヤ,True
name,当然，我害怕，害怕再一次失去......所以才......,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,当然，我害怕，害怕再一次失去......所以才......,もちろん、怖い……また失うのが怖い……だから……,アーミヤ,True
name,不，我只是不想的......,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,44,不，我只是不想的......,ううん、ただ……したくないだけ……,アーミヤ,True
predicate,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0,45,,,,False
character,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,,,,False
name,我......我不知道......,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,47,我......我不知道......,わたし……わからない……,アーミヤ,True
character,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,0,48,,,,False
name,我不知道该不该这么说......但我......,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,49,我不知道该不该这么说......但我......,こんなこと言っていいかわからないけど……でも私……,アーミヤ,True
name,它不应该光是......伤害别人。,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,它不应该光是......伤害别人。,この力は……誰かを傷つけるためだけのものじゃないはず。,アーミヤ,True
name,我不想让博士看到我，这么近的看到我......,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,我不想让博士看到我，这么近的看到我......,ドクターに、こんな私をこんな近くで見てほしくない……,アーミヤ,True
name,......夺走生命。,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,......夺走生命。,……命を奪うところを。,アーミヤ,True
predicate,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,0,53,,,,False
character,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,0,54,,,,False
name,我没有后悔。,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,55,我没有后悔。,私は後悔していない。,アーミヤ,True
name,不，我是说......,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,56,不，我是说......,違う、つまり……,アーミヤ,True
name,我就是会为了博士而使用力量，无论他背负着什么，我不后悔杀死他。,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,57,我就是会为了博士而使用力量，无论他背负着什么，我不后悔杀死他。,私はドクターのために力を使う。彼が何を背負っていても、彼を殺したことに後悔はない。,アーミヤ,True
name,但是，当然......原本，应该会有更好的办法吧。,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,58,但是，当然......原本，应该会有更好的办法吧。,でも、やっぱり……本当はもっと良い方法があったはず。,アーミヤ,True
name,因为没能找到那个办法，所以他死去了。,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,59,因为没能找到那个办法，所以他死去了。,その方法を見つけられなかったから、彼は死んだ。,アーミヤ,True
name,这一点......我很后悔。,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,60,这一点......我很后悔。,このことは……とても後悔している。,アーミヤ,True
name,我不希望......,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,61,我不希望......,私は望んでいない……,アーミヤ,True
name,不希望{@Nickname}你看到这样的我。,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,62,不希望{@Nickname}你看到这样的我。,{@Nickname}、こんな私を見てほしくない。,アーミヤ,True
name,明明说着让这片大地的感染者从痛苦中脱身......,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,63,明明说着让这片大地的感染者从痛苦中脱身......,この大地の感染者たちを苦しみから救うって言っているのに……,アーミヤ,True
name,关键时刻，却还是要一次又一次的，说服自己，去剥夺感染者的生命。,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,64,关键时刻，却还是要一次又一次的，说服自己，去剥夺感染者的生命。,いざという時になると、何度も自分に言い聞かせて感染者の命を奪う。,アーミヤ,True
name,我真是，太弱了。,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,65,我真是，太弱了。,私は、本当に弱い……,アーミヤ,True
predicate,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,,,,,,,,,,,0,66,,,,False
character,,,,,,,,,,char_002_amiya_1#4,,,,,,-1,,,,,,,,,,,,,,,,,,,,0,67,,,,False
decision,阿米娅，至少你保护了我。,,,,,,,,,,,,,,,,阿米娅，至少你保护了我。,1,,,,,,,,,,,,,,,,,,1,68,阿米娅，至少你保护了我。,アーミヤ、少なくとも君は私を守ってくれた。,,True
predicate,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,69,,,,False
character,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,,,,,,0,70,,,,False
name,——————,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,71,——————,——————,アーミヤ,True
name,......这是我应该做的。,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,72,......这是我应该做的。,……これは私がやるべきことです。,アーミヤ,True
character,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,,,,,0,73,,,,False
name,我明白了。,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,74,我明白了。,分かりました。,アーミヤ,True
character,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,,,,,,0,75,,,,False
name,我从来都不认为，有什么事情真的命中注定。,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,76,我从来都不认为，有什么事情真的命中注定。,私は、何かが本当に運命づけられているなんて思ったことはありません。,アーミヤ,True
name,只是，无论如何......无论我会走到哪一步......,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,77,只是，无论如何......无论我会走到哪一步......,ただ、どんな場合でも……私がどこまで行ったとしても……,アーミヤ,True
name,我都会保护你的，博士。,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,78,我都会保护你的，博士。,私は必ずあなたを守ります、ドクター。,アーミヤ,True
name,我保证。,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,79,我保证。,約束します。,アーミヤ,True
blocker,,,,,,,,,,,,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,0,80,,,,False
character,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,81,,,,False
blocker,,,,,,,,,,,,,,1,,,,,,0,,,,,true,,,,,,,,,,,0,82,,,,False
character,,,,,,,,,,char_1002_nsabr_2,,,,,char_1002_nsabr_2,1,,,,,,,,,,,,,,,,,,,,0,83,,,,False
name,不行！,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,0,84,不行！,だめだ！,レユニオンメンバー,True
name,你们先走！,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,0,85,你们先走！,先に行け！,レユニオンメンバー,True
name,我得去......得去把碎骨救回来！,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,0,86,我得去......得去把碎骨救回来！,俺は……砕骨を助けにいく！,レユニオンメンバー,True
character,,,,,,,,,,char_1002_nsabr_2,,,,,char_1002_nsabr_2,2,,,,,,,,,,,,,,,,,,,,0,87,,,,False
name,你疯了？,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,0,88,你疯了？,お前、正気か？,レユニオンメンバー,True
name,你这是自投罗网......要去，就大家一起去！,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,0,89,你这是自投罗网......要去，就大家一起去！,自分から罠に飛び込む気か……行くならみんなで行こう！,レユニオンメンバー,True
character,,,,,,,,,,char_1002_nsabr_2,,,,,char_1002_nsabr_2,1,,,,,,,,,,,,,,,,,,,,0,90,,,,False
name,好！,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,0,91,好！,よし！,レユニオンメンバー,True
name,我可不能，不能让他在这荒野中......,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,0,92,我可不能，不能让他在这荒野中......,俺は、彼をこの荒野で……見捨てられない。,レユニオンメンバー,True
character,,,,,,,,,,char_1002_nsabr_2,,,,,char_1002_nsabr_2,2,,,,,,,,,,,,,,,,,,,,0,93,,,,False
name,那就上吧！,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,0,94,那就上吧！,じゃあ行くぞ！,レユニオンメンバー,True
blocker,,,,,,,,,,,,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,0,95,,,,False
character,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,96,,,,False
blocker,,,,,,,,,,,,,,1,,,,,,0,,,,,true,,,,,,,,,,,0,97,,,,False
character,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,,,,,,0,98,,,,False
name,怎么会——,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,99,怎么会——,どうして――,ホシグマ,True
name,整合运动......折返了？,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,整合运动......折返了？,レユニオンが……引き返した？,ホシグマ,True
name,他们要做什么——？！,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,101,他们要做什么——？！,奴らは何をしようとしている――？！,ホシグマ,True
character,,,,,,,,,,char_136_hsguma,,,,,char_002_amiya_1#7,2,,,,,,,,,,,,,,,,,,,,0,102,,,,False
name,星熊警官！快回撤！,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,103,星熊警官！快回撤！,ホシグマ警官！すぐに撤退を！,アーミヤ,True
character,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,,,,,,0,104,,,,False
name,近卫局，别懈怠！,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,105,近卫局，别懈怠！,近衛局、気を緩めるな！,ホシグマ,True
name,准备好防御对方的攻击！,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,106,准备好防御对方的攻击！,敵の攻撃に備えろ！,ホシグマ,True
playsound,,$p_imp_blunt_h,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,107,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,0,108,,,,False
character,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,,,,,,,,0,109,,,,False
name,掩护！掩护我！,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,0,110,掩护！掩护我！,援護だ！援護してくれ！,レユニオンメンバー,True
name,那个女人......,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,0,111,那个女人......,あの女……,レユニオンメンバー,True
name,不行，那个女人的盾，我们是越不过去的！,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,0,112,不行，那个女人的盾，我们是越不过去的！,無理だ、あの女の盾は突破できない！,レユニオンメンバー,True
name,快！迂回！趁他们还没反应过来......,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,0,113,快！迂回！趁他们还没反应过来......,早く！回り込め！奴らがまだ気付いていないうちに……,レユニオンメンバー,True
name,先把碎骨，把碎骨——,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,0,114,先把碎骨，把碎骨——,まず砕骨を、砕骨を――,レユニオンメンバー,True
name,把他抢回来！！,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,0,115,把他抢回来！！,彼を取り返せ！！,レユニオンメンバー,True
character,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,,,,False
name,罗德岛！他们在转移目标，你们要注意！,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,117,罗德岛！他们在转移目标，你们要注意！,ロドス！奴らは目標を切り替えた、注意しろ！,ホシグマ,True
character,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,0,118,,,,False
name,不好！,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,119,不好！,まずい！,アーミヤ,True
name,星熊警官！小心你的右边！,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,120,星熊警官！小心你的右边！,ホシグマ警官！右側に気をつけて！,アーミヤ,True
character,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,,,,,,0,121,,,,False
name,——嗯——？,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,122,——嗯——？,――ん――？,ホシグマ,True
playsound,,$p_imp_grenade_n,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,true,1,10,12,30,90,true,,,,,0,124,,,,False
character,,,,,,,,,,char_136_hsguma,,,,,char_1504_cqbw,2,,,,,,,,,,,,,,,,,,,,0,125,,,,False
name,呼呼，用盾挡开了？有些意思——,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,0,126,呼呼，用盾挡开了？有些意思——,ふふっ、盾で防いだ？面白い――,W,True
character,,,,,,,,,,char_136_hsguma,,,,,char_1504_cqbw,1,,,,,,,,,,,,,,,,,,,,0,127,,,,False
name,爆炸？整合运动的偷袭？！,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,128,爆炸？整合运动的偷袭？！,爆発？レユニオンの奇襲か？！,ホシグマ,True
character,,,,,,,,,,char_136_hsguma,,,,,char_1504_cqbw,2,,,,,,,,,,,,,,,,,,,,0,129,,,,False
name,当然不止是偷袭哦~,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,0,130,当然不止是偷袭哦~,もちろん奇襲だけじゃないよ～,W,True
name,就请你在这里乖乖呆着，别向后去了哦？,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,0,131,就请你在这里乖乖呆着，别向后去了哦？,ここでおとなしくしててくれる？後ろに下がっちゃダメよ？,W,True
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,20,30,90,false,,,,,0,132,,,,False
blocker,,,,,,,,,,,,,,0.2,,,,,,1,,1,1,1,true,,,,,,,0,0,0,0,0,133,,,,False
playsound,,$p_imp_grenade_n,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,134,,,,False
blocker,,,,,,,,,,,,,,0.3,,,,,,0,,,,,false,,,,,,,,,,,0,135,,,,False
character,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,,,,False
name,啧——哪来的混蛋！,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,137,啧——哪来的混蛋！,ちっ――どこから現れたバカ野郎だ！,ホシグマ,True
name,又是爆炸！,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,138,又是爆炸！,また爆発か！,ホシグマ,True
name,阿米娅！我遭到整合运动远程火力的压制！,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,139,阿米娅！我遭到整合运动远程火力的压制！,アーミヤ！レユニオンの遠距離攻撃で抑え込まれている！,ホシグマ,True
name,其余的整合运动，正朝你们的方向快速移动！,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,140,其余的整合运动，正朝你们的方向快速移动！,他のレユニオンが君たちの方に素早く移動している！,ホシグマ,True
character,,,,,,,,,,char_1504_cqbw,,,,,,,,,,,,,,,,,,,,,,,,,,0,141,,,,False
name,唔，这面盾还挺厚实的。,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,0,142,唔，这面盾还挺厚实的。,うーん、この盾けっこう分厚いのね。,W,True
name,我似乎有点自找麻烦的意思呢......,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,0,143,我似乎有点自找麻烦的意思呢......,ちょっと面倒なことに首を突っ込んじゃったかも……,W,True
name,算了，就当我帮整合运动一点小忙吧。,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,0,144,算了，就当我帮整合运动一点小忙吧。,まあいいわ、レユニオンに少し協力してあげましょう。,W,True
name,要让我看到有趣的事情哦。可别让我太失望了~,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,0,145,要让我看到有趣的事情哦。可别让我太失望了~,面白いこと見せてよ。がっかりさせないでね～,W,True
character,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,0,146,,,,False
name,是切城的那个叫W的人！,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,147,是切城的那个叫W的人！,チェン城のWって人だ！,アーミヤ,True
name,难道说，陈长官他们被她甩掉了吗？！,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,148,难道说，陈长官他们被她甩掉了吗？！,まさか、チェンたちが彼女を見失ったの？,アーミヤ,True
name,小心敌人的突袭！迅速援护星熊警官！,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,149,小心敌人的突袭！迅速援护星熊警官！,敵の奇襲に注意！すぐにホシグマ警官を援護して！,アーミヤ,True
name,还有很多敌人埋伏在周围！,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,150,还有很多敌人埋伏在周围！,まだ周囲にたくさんの敵が潜んでいる！,アーミヤ,True
name,只有暴露他们的踪迹，我们才能取得优势！,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,151,只有暴露他们的踪迹，我们才能取得优势！,敵の位置を暴かなければ、優位には立てない！,アーミヤ,True
name,博士！请指挥各小队应对敌人的袭击！,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,152,博士！请指挥各小队应对敌人的袭击！,ドクター！各部隊を指揮して敵の襲撃に備えてください！,アーミヤ,True
delay,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0,153,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,0,154,,,,False
