command,text_orig,key,is_skippable,fit_mode,time,screenadapt,image,fadetime,block,intro,volume,crossfade,delay,name,a,r,g,b,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,duration,name2,focus,xstrength,ystrength,vibrato,randomness,fadeout,index,text,jp_text,jp_name,text_match
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,False
blocker,,,,,,,,2,true,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,25,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,False
,有多少人死在我面前了？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,False
blocker,,,,,,,,1,true,,,,,,0,,,,,,,,,,,,,,,,,,,,29,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,False
stopmusic,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,False
character,,,,,,,,,,,,,,char_367_swllow_1#2,,,,,,,,,,,,,,,,,,,,,33,,,,False
name,放下武器！,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,34,放下武器！,武器を捨てろ！,？？？,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,False
blocker,,,,,,,,0.6,true,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,36,,,,False
image,,,,,,,avg_6_8,0,,,,,,,,,,,0,0,1.1,1.1,,,,,,,,,,,,,37,,,,False
blocker,,,,,,,,0.6,false,,,,,,0,,,,,,,,,,,,,,,,,,,,38,,,,False
playmusic,,$mist_loop,,,,,,,,$mist_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,39,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,False
imagetween,,,,,,,,,false,,,,,,,,,,,,1.1,1.1,0,0,-20,0,10,,,,,,,,41,,,,False
name,......只有你一个？,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,42,......只有你一个？,......あなただけ？,グレイスロート,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,,,,,,,,43,,,,False
name,......,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,44,......,......,ファウスト,True
character,,,,,,,,,,,,,,char_367_swllow_1#4,,,,,,,,,,,,,,char_1508_Faust_1#1,1,,,,,,45,,,,False
name,别回头。再动一下，我就射击！,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,46,别回头。再动一下，我就射击！,振り向くな。もう一度動いたら撃つぞ！,グレイスロート,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,False
blocker,,,,,,,,0.6,true,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,48,,,,False
image,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,False
blocker,,,,,,,,0.6,false,,,,,,0,,,,,,,,,,,,,,,,,,,,50,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,False
character,,,,,,,,,,,,,,char_367_swllow_1#4,,,,,,,,,,,,,,char_1508_Faust_1#1,2,,,,,,52,,,,False
name,弩手要先射击，再说话。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,53,弩手要先射击，再说话。,ボウガン使いなら、撃ってから話すものだ。,ファウスト,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,False
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,,,,,,,,55,,,,False
delay,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,False
character,,,,,,,,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,False
character,,,,,,,,,,,,,,char_367_swllow_1,,,,,,,,,,,,,,,,,,,,,59,,,,False
name,什么？身体......消失了？,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,60,什么？身体......消失了？,なに？体が......消えた？,グレイスロート,True
name,不......情报档案上有，你是他们的指挥官之一，浮士德。你的法术瞒不住我！,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,61,不......情报档案上有，你是他们的指挥官之一，浮士德。你的法术瞒不住我！,違う……情報ファイルに載ってる、お前はあいつらの指揮官の一人、ファウストだ。お前の術なんか、ごまかせない！,グレイスロート,True
name,我知道，我知道你的法术只对视觉起作用。只要我射击，你也一样会被弩箭刺穿。,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,62,我知道，我知道你的法术只对视觉起作用。只要我射击，你也一样会被弩箭刺穿。,わかってる、お前の術は視覚にしか作用しない。私が撃てば、お前も矢に貫かれるだけだ。,グレイスロート,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,False
name,不会。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,64,不会。,そんなことはない。,ファウスト,True
character,,,,,,,,,,,,,,char_367_swllow_1#4,,,,,,,,,,,,,,,,,,,,,65,,,,False
name,——！,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,66,——！,——！,グレイスロート,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,False
camerashake,,,,,,,,,false,,,,,,,,,,,,,,,,,,0.2,,,10,12,30,90,true,68,,,,False
blocker,,,,,,,,0.02,true,,,,,,0.7,0.95,0.95,0.95,,,,,,,,,,,,,,,,,69,,,,False
playsound,,$e_atk_arrow_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,False
blocker,,,,,,,,0.25,true,,,,,,0,0.95,0.95,0.95,,,,,,,,,,,,,,,,,71,,,,False
camerashake,,,,,,,,,false,,,,,,,,,,,,,,,,,,0.3,,,10,12,30,90,true,72,,,,False
blocker,,,,,,,,0.02,true,,,,,,0.7,0.95,0.95,0.95,,,,,,,,,,,,,,,,,73,,,,False
playsound,,$e_atk_arrow_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,False
blocker,,,,,,,,0.25,true,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,75,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,False
name,你能预判我的动作？,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,78,你能预判我的动作？,俺の動きを予測できるのか？,ファウスト,True
character,,,,,,,,,,,,,,char_367_swllow_1#4,,,,,,,,,,,,,,,,,,,,,79,,,,False
name,......,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,80,......,......,グレイスロート,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,False
name,我们，两个落单的弩手。同时按下扳机，我们都死。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,82,我们，两个落单的弩手。同时按下扳机，我们都死。,俺たちは二人とも孤立した弩使いだ。同時にトリガーを引けば、どっちも死ぬ。,ファウスト,True
name,你的名字？,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,83,你的名字？,名前は？,ファウスト,True
character,,,,,,,,,,,,,,char_367_swllow_1,,,,,,,,,,,,,,,,,,,,,84,,,,False
name,代号灰喉。你什么时候跳到我身后的？,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,85,代号灰喉。你什么时候跳到我身后的？,コードネームはグレイスロート。いつ私の背後に回った？,グレイスロート,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,False
character,,,,,,,,1,true,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1,,,,,,,88,,,,False
delay,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,False
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1,1,,,,,,90,,,,False
name,你第三次眨眼的时候。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,91,你第三次眨眼的时候。,三回目にお前が瞬きをしたときだ。,ファウスト,True
name,......你很爽快。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,92,......你很爽快。,......素直だな。,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1,2,,,,,,93,,,,False
name,你也和你的小队失散了。我不想杀伤没有战意的人。,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,94,你也和你的小队失散了。我不想杀伤没有战意的人。,お前も部隊とはぐれてる。戦意のない奴を傷つけたくないんだ。,グレイスロート,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1,1,,,,,,95,,,,False
name,我们是敌人。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,96,我们是敌人。,俺たちは敵同士だ。,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1,2,,,,,,97,,,,False
name,罗德岛想要救助感染者。我看到你在帮助感染者。,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,98,罗德岛想要救助感染者。我看到你在帮助感染者。,ロドスは感染者を救いたいだけだ。お前が手助けしているのを見た。,グレイスロート,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1,1,,,,,,99,,,,False
name,......那是我的战友。你是我的敌人。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,100,......那是我的战友。你是我的敌人。,......あれは俺の仲間だ。だが、お前は俺の敵だ。,ファウスト,True
name,罗德岛怎么会有这样幼稚的人？,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,101,罗德岛怎么会有这样幼稚的人？,ロドスにはどうしてこんな子供じみた奴がいるんだ？,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1,2,,,,,,102,,,,False
name,是的，我很幼稚。我只会按命令做事。当我自己做决定时，我什么都做不了。,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,103,是的，我很幼稚。我只会按命令做事。当我自己做决定时，我什么都做不了。,そう、私は幼稚だ。命令通りにしか動けない。自分で決めると、何もできなくなる。,グレイスロート,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1,1,,,,,,104,,,,False
name,你要当心。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,105,你要当心。,気をつけろ。,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1#4,2,,,,,,106,,,,False
name,手指松开！,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,107,手指松开！,指を離して！,グレイスロート,True
name,你的弩没有连射机能。只要我躲过你的第一发射击，你就会死。别去按扳机。,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,108,你的弩没有连射机能。只要我躲过你的第一发射击，你就会死。别去按扳机。,お前の弩には連射機能なんてない。私が最初の一発をかわしたら、お前は死ぬ。トリガーを引くな。,グレイスロート,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1#4,1,,,,,,109,,,,False
name,只听从命令，一味依赖别人的想法行动，最后会变成可怕的模样。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,110,只听从命令，一味依赖别人的想法行动，最后会变成可怕的模样。,命令だけに従い、他人の考えに頼りきって動けば、やがて恐ろしい存在になるぞ。,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1#4,2,,,,,,111,,,,False
name,为什么？,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,112,为什么？,なぜ？,グレイスロート,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1#4,1,,,,,,113,,,,False
name,多数人只是盲从，他们会退缩，也会颤抖。他们并不真依赖谁，他们只是没有开始思考。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,114,多数人只是盲从，他们会退缩，也会颤抖。他们并不真依赖谁，他们只是没有开始思考。,大多数の人間は盲目的に従うだけだ。尻込みし、震える。本当に誰かを頼っているわけじゃない。ただ考え始めていないだけだ。,ファウスト,True
name,......而那些没有自己方向的人，只是种索求愿望来获得成就感和存在感的机器。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,115,......而那些没有自己方向的人，只是种索求愿望来获得成就感和存在感的机器。,......自分の方向性を持たない者は、願いを求めることで充足感と存在感を満たす機械に過ぎない。,ファウスト,True
name,开动，不断运作，投入愿望，实现愿望，把周围一切都吃掉，把许愿的人也吃掉。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,116,开动，不断运作，投入愿望，实现愿望，把周围一切都吃掉，把许愿的人也吃掉。,動き続け、願いを注ぎ込み、願いを叶え、周囲のすべてを食らい、願った者すらも食らう。,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1,2,,,,,,117,,,,False
name,我不会。,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,118,我不会。,私はそうならない。,グレイスロート,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1,1,,,,,,119,,,,False
name,你经历的还不够多。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,120,你经历的还不够多。,お前はまだ、経験が足りない。,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1,2,,,,,,121,,,,False
name,我看见你和刚才那个感染者最后的对话。你在做对的事。,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,122,我看见你和刚才那个感染者最后的对话。你在做对的事。,さっきのお前と感染者の最後のやりとりを見た。お前は正しいことをしている。,グレイスロート,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1,1,,,,,,123,,,,False
name,你的对错和我无关。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,124,你的对错和我无关。,お前の正しさは、俺には関係ない。,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1,2,,,,,,125,,,,False
name,浮士德，你一直在避开近卫局，哪怕是落单的龙门近卫局，你也没有射击他们。这些我都看到了。,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,126,浮士德，你一直在避开近卫局，哪怕是落单的龙门近卫局，你也没有射击他们。这些我都看到了。,ファウスト、お前はずっと近衛局を避けていた。孤立した龍門近衛局すら撃っていない。それは全部見ていた。,グレイスロート,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1,1,,,,,,127,,,,False
name,......别把我的忍耐当成软弱。如果伏击的人是我，你已经死了。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,128,......别把我的忍耐当成软弱。如果伏击的人是我，你已经死了。,......俺の我慢を弱さと勘違いするな。俺が狙っていたら、お前はもう死んでいる。,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1,2,,,,,,129,,,,False
name,但你没有。,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,130,但你没有。,でも、しなかった。,グレイスロート,True
name,你很累了。只要是用弩的人，都能看出你的疲劳。弦绷得太紧，这样下去一定会断掉。,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,131,你很累了。只要是用弩的人，都能看出你的疲劳。弦绷得太紧，这样下去一定会断掉。,疲れてるのが分かる。弩を扱う者なら、お前の疲労は見抜ける。弦を張りすぎだ、このままだといずれ切れる。,グレイスロート,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1,1,,,,,,132,,,,False
name,......作为弩手，你实在太多话。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,133,......作为弩手，你实在太多话。,......弩使いにしては、随分とおしゃべりだな。,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1,2,,,,,,134,,,,False
name,你也遭遇了那些特殊感染者，我们可以想办法。,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,135,你也遭遇了那些特殊感染者，我们可以想办法。,お前もあの特殊な感染者に会ったな。対策を考えられるはずだ。,グレイスロート,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1,1,,,,,,136,,,,False
name,你说的也许很对。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,137,你说的也许很对。,お前の言うことも正しいかもしれない。,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,char_367_swllow_1#4,2,,,,,,138,,,,False
name,等等！,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,139,等等！,待って！,グレイスロート,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,False
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,,,,,,,,141,,,,False
delay,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,False
character,,,,,,,,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,False
name,但我没有办法。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,145,但我没有办法。,だが、俺にはどうしようもない。,ファウスト,True
character,,,,,,,,,,,,,,char_367_swllow_1#4,,,,,,,,,,,,,,,,,,,,,146,,,,False
name,（在开始运动的一瞬间消失了？......没法判断他的位置！）,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,147,（在开始运动的一瞬间消失了？......没法判断他的位置！）,（動き始めた瞬間に消えた？……居場所が分からない！）,グレイスロート,True
name,......,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,148,......,......,グレイスロート,True
character,,,,,,,,,,,,,,char_367_swllow_1,,,,,,,,,,,,,,,,,,,,,149,,,,False
name,......嗯？,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,150,......嗯？,......ん？,グレイスロート,True
name,为什么不杀我？,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,151,为什么不杀我？,なぜ殺さない？,グレイスロート,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,,False
name,你没有射击我，我也没有。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,153,你没有射击我，我也没有。,お前が俺を撃たなかったから、俺も撃たなかった。,ファウスト,True
name,下次不会了。如果你没射杀我，我就会射杀你。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,154,下次不会了。如果你没射杀我，我就会射杀你。,次はない。お前が俺を撃たなければ、俺が撃つ。,ファウスト,True
character,,,,,,,,,,,,,,char_367_swllow_1,,,,,,,,,,,,,,,,,,,,,155,,,,False
name,我没有恶意！,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,156,我没有恶意！,悪意はない！,グレイスロート,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,False
name,那才最可怜。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,158,那才最可怜。,その方が哀れだ。,ファウスト,True
name,......也许你需要别人回答你的问题。不回答，你就不懂。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,159,......也许你需要别人回答你的问题。不回答，你就不懂。,......もしかしたら、お前は他人に答えてもらわなければ分からないのかもしれない。答えがなければ、理解できない。,ファウスト,True
name,别有负担，杀人、被杀，这种事天天发生。你们罗德岛也不可能避过的。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,160,别有负担，杀人、被杀，这种事天天发生。你们罗德岛也不可能避过的。,気にするな。人を殺し、殺される。そんなことは毎日起こる。ロドスだって避けられまい。,ファウスト,True
character,,,,,,,,,,,,,,char_367_swllow_1,,,,,,,,,,,,,,,,,,,,,161,,,,False
name,......为什么不能一起帮助他们？,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,,,,162,......为什么不能一起帮助他们？,......なぜ一緒に彼らを助けられない？,グレイスロート,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,False
name,——我很想答应你的要求，但我知道不可能。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,164,——我很想答应你的要求，但我知道不可能。,——お前の願いを聞き入れてやりたいが、無理だと分かっている。,ファウスト,True
name,别再追踪我了。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,165,别再追踪我了。,もう俺を追うな。,ファウスト,True
name,你和他们的接触太少了，大脑里满是错觉和误解。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,166,你和他们的接触太少了，大脑里满是错觉和误解。,お前は奴らと接する機会が少なすぎる。頭の中は幻と誤解ばかりだ。,ファウスト,True
name,......而我已经，没有任何办法了。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,167,......而我已经，没有任何办法了。,......だが、俺にはもう、どうしようもない。,ファウスト,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,False
blocker,,,,,,,,1,true,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,170,,,,False
,有多少人因为我做了什么而死，又有多少人因为我什么都没做而死？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,False
background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,False
blocker,,,,,,,,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,,,False
