command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,block,index,text,jp_text,jp_name,text_match
name,但在我们来到这里的理由中，最重要的那个，是解救罗德岛的成员。,,,,,,,,,,,,,,阿米娅,,,,42,但在我们来到这里的理由中，最重要的那个，是解救罗德岛的成员。,でも、ここに来た一番大きな理由は、ロドスのメンバーを救出することです。,アーミヤ,True
name,罗德岛不会放弃任何一个人。,,,,,,,,,,,,,,阿米娅,,,,43,罗德岛不会放弃任何一个人。,ロドスは誰一人も見捨てません。,アーミヤ,True
name,因此，罗德岛的作战方针也不会改变。,,,,,,,,,,,,,,阿米娅,,,,44,因此，罗德岛的作战方针也不会改变。,だから、ロドスの作戦方針も変わりません。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,char_010_chen_1,2,,45,,,,False
name,......,,,,,,,,,,,,,,陈,,,,46,......,……,チェン,True
name,我会带队与你们汇合——在条件允许的情况下。,,,,,,,,,,,,,,陈,,,,47,我会带队与你们汇合——在条件允许的情况下。,状況が許すなら、私が隊を率いて君たちと合流する――,チェン,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,char_010_chen_1,1,,48,,,,False
name,好的。,,,,,,,,,,,,,,阿米娅,,,,49,好的。,わかりました。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,50,,,,False
name,陈长官！罗德岛可以让一支小队护送你——,,,,,,,,,,,,,,阿米娅,,,,51,陈长官！罗德岛可以让一支小队护送你——,チェン長官！ロドスから小隊を護衛につけられます――,アーミヤ,True
character,,,,,,,,,,,,,,,char_010_chen_1,,,,52,,,,False
name,不用。,,,,,,,,,,,,,,陈,,,,53,不用。,必要ない。,チェン,True
dialog,,,,,,,,,0.6,,,,,,,,,,54,,,,False
character,,,,,,,,,0.6,,,,,,,,,,55,,,,False
delay,,,,,,,,,,,,,,0.6,,,,,56,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,57,,,,False
name,......,,,,,,,,,,,,,,阿米娅,,,,58,......,……,アーミヤ,True
name,......陈长官，真要强呢。,,,,,,,,,,,,,,阿米娅,,,,59,......陈长官，真要强呢。,……チェン長官、本当に強いですね。,アーミヤ,True
name,嗯？博士？,,,,,,,,,,,,,,阿米娅,,,,60,嗯？博士？,ん？ドクター？,アーミヤ,True
name,......没关系的。,,,,,,,,,,,,,,阿米娅,,,,61,......没关系的。,……大丈夫です。,アーミヤ,True
name,我知道......罗德岛又要孤军奋战了。,,,,,,,,,,,,,,阿米娅,,,,62,我知道......罗德岛又要孤军奋战了。,わかっています……ロドスはまた単独で戦わなきゃいけませんね。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,63,,,,False
name,但现在可不是垂头丧气的时候。,,,,,,,,,,,,,,阿米娅,,,,64,但现在可不是垂头丧气的时候。,でも、今は落ち込んでいる場合じゃありません。,アーミヤ,True
name,毕竟，杰西卡她们还在等着我们。,,,,,,,,,,,,,,阿米娅,,,,65,毕竟，杰西卡她们还在等着我们。,だって、ジェシカたちがまだ私たちを待っていますから。,アーミヤ,True
delay,,,,,,,,,,,,,,0.6,,,,,66,,,,False
blocker,,,,,,,,,,,,,,,,,,true,67,,,,False
