command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,screenadapt,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,index,text,jp_text,jp_name,text_match
name,......我可以问问——我们要去哪里吗？,,,,,,,,,,,,,,米莎,,,,,,,,,41,......我可以问问——我们要去哪里吗？,……聞いてもいいですか――私たちはどこに行くんですか？,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,1,,,,,,,42,,,,False
name,我们会与近卫局汇合。,,,,,,,,,,,,,,阿米娅,,,,,,,,,43,我们会与近卫局汇合。,私たちは近衛局と合流します。,アーミヤ,True
name,龙门近卫局会负责保护你。,,,,,,,,,,,,,,阿米娅,,,,,,,,,44,龙门近卫局会负责保护你。,龍門近衛局があなたを護衛します。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,2,,,,,,,45,,,,False
name,......咦？,,,,,,,,,,,,,,米莎,,,,,,,,,46,......咦？,……え？,ミーシャ,True
name,......龙门近卫局？,,,,,,,,,,,,,,米莎,,,,,,,,,47,......龙门近卫局？,……龍門近衛局？,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,1,,,,,,,48,,,,False
name,我们现在的任务，是把你安全地移交给近卫局，由他们进行暂时的保护。,,,,,,,,,,,,,,阿米娅,,,,,,,,,49,我们现在的任务，是把你安全地移交给近卫局，由他们进行暂时的保护。,今の任務は、あなたを安全に近衛局に引き渡し、一時的に護衛してもらうことです。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,2,,,,,,,50,,,,False
name,......,,,,,,,,,,,,,,米莎,,,,,,,,,51,......,……,ミーシャ,True
name,......我差点就以为，你们真的是来救我的了。,,,,,,,,,,,,,,米莎,,,,,,,,,52,......我差点就以为，你们真的是来救我的了。,……もう少しで、本当に助けに来てくれたんだと思っちゃった。,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,char_012_misa_1,1,,,,,,,53,,,,False
name,不，我们真的是来救你的......,,,,,,,,,,,,,,阿米娅,,,,,,,,,54,不，我们真的是来救你的......,違う、私たちは本当にあなたを助けに来たんです……,アーミヤ,True
name,我们原本准备直接向龙门要求接收部分感染者......,,,,,,,,,,,,,,阿米娅,,,,,,,,,55,我们原本准备直接向龙门要求接收部分感染者......,本来は直接龍門に一部の感染者を引き取ってもらうつもりだったんですが……,アーミヤ,True
name,只是近卫局在听到我们的汇报之后，突然要求罗德岛将米莎小姐你移交给他们。,,,,,,,,,,,,,,阿米娅,,,,,,,,,56,只是近卫局在听到我们的汇报之后，突然要求罗德岛将米莎小姐你移交给他们。,ただ、近衛局が私たちの報告を聞いた後、急にミーシャさんを引き渡すようにロドスに要求してきたんです。,アーミヤ,True
name,况且......在龙门，近卫局对你的保护，将是最安全的。,,,,,,,,,,,,,,阿米娅,,,,,,,,,57,况且......在龙门，近卫局对你的保护，将是最安全的。,それに……龍門では、近衛局の保護が一番安全だから。,アーミヤ,True
name,如果我们不行动，你就会遭遇更大的危险。,,,,,,,,,,,,,,阿米娅,,,,,,,,,58,如果我们不行动，你就会遭遇更大的危险。,私たちが動かなければ、あなたはもっと大きな危険に遭うことになる。,アーミヤ,True
name,许多尝试抢夺你的感染者，身上都戴着整合运动的标志——,,,,,,,,,,,,,,阿米娅,,,,,,,,,59,许多尝试抢夺你的感染者，身上都戴着整合运动的标志——,あなたを奪おうとした多くの感染者が、みんなレユニオンのマークを付けていた――,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,char_012_misa_1,2,,,,,,,60,,,,False
name,我不知道什么整合运动......我记不清......,,,,,,,,,,,,,,米莎,,,,,,,,,61,我不知道什么整合运动......我记不清......,レユニオンなんて知らない……思い出せない……,ミーシャ,True
name,但我知道近卫局，也看到过近卫局怎么对待感染者。如果你们真的只是想抓我的话，直说不就行了。,,,,,,,,,,,,,,米莎,,,,,,,,,62,但我知道近卫局，也看到过近卫局怎么对待感染者。如果你们真的只是想抓我的话，直说不就行了。,でも近衛局は知っているし、感染者にどう接しているかも見た。もし本当に私を捕まえたいだけなら、はっきり言えばいいでしょ。,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,char_012_misa_1,1,,,,,,,63,,,,False
name,......对不起，但......我们并不是这样想的。有些误会现在还没法解开。,,,,,,,,,,,,,,阿米娅,,,,,,,,,64,......对不起，但......我们并不是这样想的。有些误会现在还没法解开。,……ごめんなさい、でも……私たちはそう思ってない。今はまだ誤解を解くことができないの。,アーミヤ,True
name,无论你觉得我们有多恶劣——抱歉......请你先忍耐一下。,,,,,,,,,,,,,,阿米娅,,,,,,,,,65,无论你觉得我们有多恶劣——抱歉......请你先忍耐一下。,どんなにひどく思われても――ごめんね……少しだけ我慢して。,アーミヤ,True
name,比起你的心情，还是你的安全更重要。,,,,,,,,,,,,,,阿米娅,,,,,,,,,66,比起你的心情，还是你的安全更重要。,あなたの気持ちより、あなたの安全の方が大事なの。,アーミヤ,True
name,如果有机会，我会解释一切。,,,,,,,,,,,,,,阿米娅,,,,,,,,,67,如果有机会，我会解释一切。,機会があれば、全部説明します。,アーミヤ,True
name,并且有些事情，我也想知道......,,,,,,,,,,,,,,阿米娅,,,,,,,,,68,并且有些事情，我也想知道......,それに、私も知りたいことがあるから……,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,char_012_misa_1,2,,,,,,,69,,,,False
name,......,,,,,,,,,,,,,,米莎,,,,,,,,,70,......,……,ミーシャ,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,71,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,,true,72,,,,False
