command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,time,intro,volume,crossfade,delay,name,name2,focus,a,r,g,b,block,index,text,jp_text,jp_name,text_match
name,务必小心。,,,,,,,,,,,,,,？？？,,,,,,,,38,务必小心。,十分に注意してください。,？？？,True
character,,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,39,,,,False
name,......明白。,,,,,,,,,,,,,,陈,,,,,,,,40,......明白。,……了解した。,チェン,True
name,Only-1，有隶属龙门的特殊部队在贫民区活动。我们还暂时没法阻止他们。你要注意安全。,,,,,,,,,,,,,,陈,,,,,,,,41,Only-1，有隶属龙门的特殊部队在贫民区活动。我们还暂时没法阻止他们。你要注意安全。,Only-1、龍門に属する特殊部隊がスラムで活動している。私たちはまだ彼らを止められない。気をつけてくれ。,チェン,True
name,好。,,,,,,,,,,,,,,？？？,,,,,,,,42,好。,わかった。,？？？,True
character,,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,43,,,,False
name,......Only-1，之前为什么没有发送定时通信？,,,,,,,,,,,,,,陈,,,,,,,,44,......Only-1，之前为什么没有发送定时通信？,……Only-1、なぜ定時通信を送ってこなかった？,チェン,True
name,我在想一些事。,,,,,,,,,,,,,,？？？,,,,,,,,45,我在想一些事。,ちょっと考え事をしていた。,？？？,True
name,现在我想清楚了，龙门就拜托你了。,,,,,,,,,,,,,,？？？,,,,,,,,46,现在我想清楚了，龙门就拜托你了。,今はもうはっきりした。龍門は君に任せたよ。,？？？,True
character,,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,47,,,,False
name,什么？我不理解你的意思。,,,,,,,,,,,,,,陈,,,,,,,,48,什么？我不理解你的意思。,何だって？君の意味がわからない。,チェン,True
name,现在的我，早已经不再属于这里。,,,,,,,,,,,,,,？？？,,,,,,,,49,现在的我，早已经不再属于这里。,今の私は、もうここには属していない。,？？？,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,,,,,,,,50,,,,False
name,Only-1！,,,,,,,,,,,,,,陈,,,,,,,,51,Only-1！,Only-1！,チェン,True
name,我会带一些龙门的感染者走。近卫局没法保护他们，这座城市不在乎他们。,,,,,,,,,,,,,,？？？,,,,,,,,52,我会带一些龙门的感染者走。近卫局没法保护他们，这座城市不在乎他们。,私は龍門の感染者の何人かを連れて行く。近衛局は彼らを守れないし、この都市は彼らに関心がない。,？？？,True
name,或者说，即使你是这么想的，这座城市也并不如你所愿。,,,,,,,,,,,,,,？？？,,,,,,,,53,或者说，即使你是这么想的，这座城市也并不如你所愿。,あるいは、たとえあなたがそう思っても、この都市はあなたの願い通りにはならない。,？？？,True
character,,,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,54,,,,False
name,九！服从命令！,,,,,,,,,,,,,,陈,,,,,,,,55,九！服从命令！,キュウ！命令に従え！,チェン,True
name,......三年前起，我就不属于近卫局了。,,,,,,,,,,,,,,九,,,,,,,,56,......三年前起，我就不属于近卫局了。,……三年前から、私はもう近衛局に属していない。,キュウ,True
name,再说，原本，理应是我命令你。,,,,,,,,,,,,,,九,,,,,,,,57,再说，原本，理应是我命令你。,それに、本来は私があなたに命令する立場だったのよ。,キュウ,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,,,,,,,,58,,,,False
name,九......！,,,,,,,,,,,,,,陈,,,,,,,,59,九......！,キュウ……！,チェン,True
name,你说的特殊部队，我似乎已经看见过了。,,,,,,,,,,,,,,九,,,,,,,,60,你说的特殊部队，我似乎已经看见过了。,あなたが言った特殊部隊、私はもう見かけたみたい。,キュウ,True
name,我还是把龙门想象得太好了。再见，陈。,,,,,,,,,,,,,,九,,,,,,,,61,我还是把龙门想象得太好了。再见，陈。,私はやっぱり龍門を理想化しすぎてた。さようなら、チェン。,キュウ,True
name,对了，别去检查排水系统。,,,,,,,,,,,,,,九,,,,,,,,62,对了，别去检查排水系统。,そうだ、排水システムは調べない方がいい。,キュウ,True
playsound,,$transmission,,,,,,,,,,0.4,,,,,,,,,,,63,,,,False
delay,,,,,,,,,,1,,,,,,,,,,,,,64,,,,False
blocker,,,,,,,,,1,,,,,,,,,1,0,0,0,true,65,,,,False
blocker,,,,,,,,,1,,,,,,,,,0,0,0,0,true,66,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,67,,,,False
name,......,,,,,,,,,,,,,,陈,,,,,,,,68,......,……,チェン,True
name,我声音是不是太大了？,,,,,,,,,,,,,,陈,,,,,,,,69,我声音是不是太大了？,私、声が大きすぎたかな？,チェン,True
name,那确实特别大，我感觉一条街都听见了。,,,,,,,,,,,,,,诗怀雅,,,,,,,,70,那确实特别大，我感觉一条街都听见了。,確かにすごく大きかったよ。一帯の通りに聞こえてたと思う。,スワイヤー,True
character,,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,71,,,,False
name,怎么也没你的嗓门大。,,,,,,,,,,,,,,陈,,,,,,,,72,怎么也没你的嗓门大。,でも君ほどじゃないさ。,チェン,True
name,哎，阿陈，你过来。,,,,,,,,,,,,,,诗怀雅,,,,,,,,73,哎，阿陈，你过来。,ねぇ、チェン、こっち来て。,スワイヤー,True
character,,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,74,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,75,,,,False
name,......,,,,,,,,,,,,,,陈,,,,,,,,76,......,……,チェン,True
character,,,,,,,,,,,,,,,char_308_swire_1#3,char_010_chen_1#1,1,,,,,,77,,,,False
name,坐啊。,,,,,,,,,,,,,,诗怀雅,,,,,,,,78,坐啊。,座ってよ。,スワイヤー,True
character,,,,,,,,,,,,,,,char_308_swire_1#3,char_010_chen_1#1,2,,,,,,79,,,,False
name,Miss诗怀雅居然不顾形象、不怕裙子脏，就这样子蹲坐在街边？,,,,,,,,,,,,,,陈,,,,,,,,80,Miss诗怀雅居然不顾形象、不怕裙子脏，就这样子蹲坐在街边？,ミス・スワイヤーが恰好も気にせず、スカートが汚れるのも怖がらず、道端にしゃがんでるなんて？,チェン,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,1,,,,,,81,,,,False
name,无所谓啦！你怎么觉得我会在意那种事的！,,,,,,,,,,,,,,诗怀雅,,,,,,,,82,无所谓啦！你怎么觉得我会在意那种事的！,気にしないよ！私がそんなことを気にすると思ってるの？,スワイヤー,True
name,......我准备再给那只下水道老鼠打个电话。,,,,,,,,,,,,,,诗怀雅,,,,,,,,83,......我准备再给那只下水道老鼠打个电话。,……もう一度あの下水道のネズミに電話してみるわ。,スワイヤー,True
name,虽然我没怎么来过这里，但我觉得特殊部队一定在做可怕的事。,,,,,,,,,,,,,,诗怀雅,,,,,,,,84,虽然我没怎么来过这里，但我觉得特殊部队一定在做可怕的事。,私自身はあまり来たことがないけど、特殊部隊がきっと恐ろしいことをしてると思う。,スワイヤー,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,2,,,,,,85,,,,False
name,你见过贫民区的林吗？,,,,,,,,,,,,,,陈,,,,,,,,86,你见过贫民区的林吗？,スラムのリンに会ったことはあるか？,チェン,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,1,,,,,,87,,,,False
name,我见过。是个很和善的老人，比我爷爷好多了。,,,,,,,,,,,,,,诗怀雅,,,,,,,,88,我见过。是个很和善的老人，比我爷爷好多了。,会ったことあるよ。とても優しいおじいさん。私の祖父よりずっといい人さ。,スワイヤー,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,2,,,,,,89,,,,False
name,......他可是“鼠王”。,,,,,,,,,,,,,,陈,,,,,,,,90,......他可是“鼠王”。,……彼は「鼠王（そおう）」だぞ。,チェン,True
character,,,,,,,,,,,,,,,char_308_swire_1#3,char_010_chen_1#1,1,,,,,,91,,,,False
name,这几个人不都这样。但他真的是个好人。,,,,,,,,,,,,,,诗怀雅,,,,,,,,92,这几个人不都这样。但他真的是个好人。,この人たち、だいたいそうだよ。でも、彼は本当にいい人だよ。,スワイヤー,True
name,我只是没想到雨霞她会变成现在这个样子。明明以前是个又胆小又腼腆的孩子，经常躲在你背后来着。,,,,,,,,,,,,,,诗怀雅,,,,,,,,93,我只是没想到雨霞她会变成现在这个样子。明明以前是个又胆小又腼腆的孩子，经常躲在你背后来着。,まさか雨霞がこんなふうになるなんて思わなかった。前は臆病で内気な子で、よくあなたの後ろに隠れてたじゃん。,スワイヤー,True
character,,,,,,,,,,,,,,,char_308_swire_1#3,char_010_chen_1#1,2,,,,,,94,,,,False
name,我倒觉得她没有变。她只是......担负起了责任。也许并不该属于她的责任。,,,,,,,,,,,,,,陈,,,,,,,,95,我倒觉得她没有变。她只是......担负起了责任。也许并不该属于她的责任。,私は彼女は変わっていないと思う。ただ……責任を背負っただけ。それも本来なら彼女が負う必要のない責任かもしれない。,チェン,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,1,,,,,,96,,,,False
name,就算你这么提醒她，也没用。我们已经被架在火上烤了。,,,,,,,,,,,,,,诗怀雅,,,,,,,,97,就算你这么提醒她，也没用。我们已经被架在火上烤了。,いくらあなたがそう諭しても無駄だよ。私たちはもう追い詰められているから。,スワイヤー,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,2,,,,,,98,,,,False
name,她和她父亲的事情，我也没有头绪。只不过，她不会是那种冷血的人。,,,,,,,,,,,,,,陈,,,,,,,,99,她和她父亲的事情，我也没有头绪。只不过，她不会是那种冷血的人。,彼女と彼女の父親のこと、私もわからない。ただ、彼女が冷酷な人間じゃないのは確かだ。,チェン,True
character,,,,,,,,,,,,,,,char_308_swire_1#3,char_010_chen_1#1,1,,,,,,100,,,,False
name,所以我想再打个电话。,,,,,,,,,,,,,,诗怀雅,,,,,,,,101,所以我想再打个电话。,だからもう一度電話しようと思う。,スワイヤー,True
character,,,,,,,,,,,,,,,char_308_swire_1#3,char_010_chen_1#1,2,,,,,,102,,,,False
name,......,,,,,,,,,,,,,,陈,,,,,,,,103,......,……,チェン,True
name,也许刚才的消息可以帮到我们。,,,,,,,,,,,,,,陈,,,,,,,,104,也许刚才的消息可以帮到我们。,さっきの情報が役に立つかもしれないな。,チェン,True
character,,,,,,,,,,,,,,,char_308_swire_1#3,char_010_chen_1#1,1,,,,,,105,,,,False
name,怎么说的？,,,,,,,,,,,,,,诗怀雅,,,,,,,,106,怎么说的？,何て言ってた？,スワイヤー,True
character,,,,,,,,,,,,,,,char_308_swire_1#3,char_010_chen_1#1,2,,,,,,107,,,,False
name,一支有着特殊能力的整合运动力量进入了贫民区，他们甚至能指挥现在的整合运动。,,,,,,,,,,,,,,陈,,,,,,,,108,一支有着特殊能力的整合运动力量进入了贫民区，他们甚至能指挥现在的整合运动。,特殊能力を持つ整合運動の部隊がスラムに入った。今の整合運動を指揮する力を持っている。,チェン,True
name,这个消息只有我知道。现在，只有我们两个知道。,,,,,,,,,,,,,,陈,,,,,,,,109,这个消息只有我知道。现在，只有我们两个知道。,この情報を知っているのは私だけだ。今は、私たち二人だけが知っている。,チェン,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,1,,,,,,110,,,,False
name,你打算怎么做？,,,,,,,,,,,,,,诗怀雅,,,,,,,,111,你打算怎么做？,あなたはどうするつもり？,スワイヤー,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,2,,,,,,112,,,,False
name,把雨披引向他们。,,,,,,,,,,,,,,陈,,,,,,,,113,把雨披引向他们。,レインコートを彼らの方へ誘導する。,チェン,True
name,除了留在外面和近卫局一起清理特殊感染者的，不少特殊部队已经和我们同时进入了贫民区。,,,,,,,,,,,,,,陈,,,,,,,,114,除了留在外面和近卫局一起清理特殊感染者的，不少特殊部队已经和我们同时进入了贫民区。,外で近衛局と一緒に特殊感染者を片付けている部隊以外にも、多くの特殊部隊が同時にスラムへ入った。,チェン,True
name,就算这样，我们也依然不知道他们的力量分布，也没法防范他们，不知道他们会做出什么事来。,,,,,,,,,,,,,,陈,,,,,,,,115,就算这样，我们也依然不知道他们的力量分布，也没法防范他们，不知道他们会做出什么事来。,それでも、彼らの勢力分布も実力も分からないし、防ぐこともできない。何をしてくるかも分からない。,チェン,True
name,但你可以通过林雨霞，把他们引到这支整合运动小队那里。,,,,,,,,,,,,,,陈,,,,,,,,116,但你可以通过林雨霞，把他们引到这支整合运动小队那里。,でも君は林雨霞を使って、彼らをあの整合運動の小隊に誘導できるはずだ。,チェン,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,1,,,,,,117,,,,False
name,逼他们出来？让所有近卫局的成员都看见？,,,,,,,,,,,,,,诗怀雅,,,,,,,,118,逼他们出来？让所有近卫局的成员都看见？,無理やり炙り出すの？全員の近衛局隊員に見せる？,スワイヤー,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,2,,,,,,119,,,,False
name,让所有近卫局的成员都看见。甚至，让罗德岛也看见。,,,,,,,,,,,,,,陈,,,,,,,,120,让所有近卫局的成员都看见。甚至，让罗德岛也看见。,すべての近衛局隊員に見せる。それどころかロドスにも見せるさ。,チェン,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,1,,,,,,121,,,,False
name,你现在这么信任他们？,,,,,,,,,,,,,,诗怀雅,,,,,,,,122,你现在这么信任他们？,今はそんなに彼らを信じるの？,スワイヤー,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,2,,,,,,123,,,,False
name,他们比我见过的任何人都专注于自己的目标，比近卫局还要诚实。,,,,,,,,,,,,,,陈,,,,,,,,124,他们比我见过的任何人都专注于自己的目标，比近卫局还要诚实。,彼らは今まで出会った誰よりも自分の目標に集中していて、近衛局よりも正直だ。,チェン,True
name,我们也没有什么可以信任的人了。,,,,,,,,,,,,,,陈,,,,,,,,125,我们也没有什么可以信任的人了。,もう私たちが信頼できる人はいない。,チェン,True
character,,,,,,,,,,,,,,,char_308_swire_1#3,char_010_chen_1#1,1,,,,,,126,,,,False
name,你胆子真大。,,,,,,,,,,,,,,诗怀雅,,,,,,,,127,你胆子真大。,大胆だね。,スワイヤー,True
character,,,,,,,,,,,,,,,char_308_swire_1#3,char_010_chen_1#1,2,,,,,,128,,,,False
name,龙门人不知道什么林，不怎么认识你的祖父，也不太清楚魏彦吾是谁，更别说底下那些商会什么的了。,,,,,,,,,,,,,,陈,,,,,,,,129,龙门人不知道什么林，不怎么认识你的祖父，也不太清楚魏彦吾是谁，更别说底下那些商会什么的了。,龍門の人たちはリンのことも、お前の祖父のこともよく知らないし、ウェイ・イェンウが誰かもわからない。商会の連中のことなんてなおさらだ。,チェン,True
name,龙门人只相信近卫局。这几个人没有人敢冒风险真的抹除龙门近卫局，只留下普通警力。,,,,,,,,,,,,,,陈,,,,,,,,130,龙门人只相信近卫局。这几个人没有人敢冒风险真的抹除龙门近卫局，只留下普通警力。,龍門の人たちが信じているのは近衛局だけだ。誰も本当に近衛局を消して普通の警察だけを残すなんて、そんなリスクは冒さないよ。,チェン,True
name,再加上外人......这个秤砣会重到他们不敢接手。,,,,,,,,,,,,,,陈,,,,,,,,131,再加上外人......这个秤砣会重到他们不敢接手。,さらに外部の人間も加わる…この重責は誰も引き受けられなくなるさ。,チェン,True
character,,,,,,,,,,,,,,,char_308_swire_1#3,char_010_chen_1#1,1,,,,,,132,,,,False
name,你会被撤职哦。,,,,,,,,,,,,,,诗怀雅,,,,,,,,133,你会被撤职哦。,あなた、クビになるかもよ。,スワイヤー,True
character,,,,,,,,,,,,,,,char_308_swire_1#3,char_010_chen_1#1,2,,,,,,134,,,,False
name,也挺好。,,,,,,,,,,,,,,陈,,,,,,,,135,也挺好。,それでもいい。,チェン,True
character,,,,,,,,,,,,,,,char_308_swire_1#2,char_010_chen_1#1,1,,,,,,136,,,,False
name,那就痛快做完这最后一班活吧！下次，我要让他们把巡逻路线排进贫民区。,,,,,,,,,,,,,,诗怀雅,,,,,,,,137,那就痛快做完这最后一班活吧！下次，我要让他们把巡逻路线排进贫民区。,じゃあ、最後の仕事を思いっきりやっちゃおう！次回は巡回ルートをスラムに入れさせるんだから。,スワイヤー,True
character,,,,,,,,,,,,,,,char_308_swire_1#2,char_010_chen_1#1,2,,,,,,138,,,,False
name,林会不会接受？,,,,,,,,,,,,,,陈,,,,,,,,139,林会不会接受？,リンは受け入れるかな？,チェン,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,1,,,,,,140,,,,False
name,只要我们能保下这里，林肯定接受。,,,,,,,,,,,,,,诗怀雅,,,,,,,,141,只要我们能保下这里，林肯定接受。,ここの住民を守れれば、リンはきっと賛成するよ。,スワイヤー,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,2,,,,,,142,,,,False
name,对了......,,,,,,,,,,,,,,陈,,,,,,,,143,对了......,そうだ……,チェン,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,1,,,,,,144,,,,False
name,什么？,,,,,,,,,,,,,,诗怀雅,,,,,,,,145,什么？,なに？,スワイヤー,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,2,,,,,,146,,,,False
name,你知不知道我们有三位客人？,,,,,,,,,,,,,,陈,,,,,,,,147,你知不知道我们有三位客人？,私たちに三人のゲストがいるの、知ってる？,チェン,True
blocker,,,,,,,,,1,,,,,,,,,1,0,0,0,true,148,,,,False
blocker,,,,,,,,,1,,,,,,,,,0,0,0,0,true,149,,,,False
character,,,,,,,,,,,,,,,avg_npc_036,,,,,,,,150,,,,False
name,......,,,,,,,,,,,,,,林雨霞,,,,,,,,151,......,……,リン・ユウシャ,True
name,做什么？,,,,,,,,,,,,,,林雨霞,,,,,,,,152,做什么？,何の用？,リン・ユウシャ,True
playsound,,$d_gen_transmissionget,,,,,,,,,,0.4,,,,,,,,,,,153,,,,False
name,臭老鼠，有个消息给你。有支整合运动，我们现在挡不住，需要你那支队伍的帮助。,,,,,,,,,,,,,,诗怀雅,,,,,,,,154,臭老鼠，有个消息给你。有支整合运动，我们现在挡不住，需要你那支队伍的帮助。,ねずみ野郎、情報だ。整合運動の部隊を今は止められない。君たちの助けが必要だ。,スワイヤー,True
character,,,,,,,,,,,,,,,avg_npc_036,,,,,,,,155,,,,False
name,......怎么可能？不要骗我。,,,,,,,,,,,,,,林雨霞,,,,,,,,156,......怎么可能？不要骗我。,……そんなはずないだろ？嘘つかないで。,リン・ユウシャ,True
name,我骗过你吗？,,,,,,,,,,,,,,诗怀雅,,,,,,,,157,我骗过你吗？,私が今まで君を騙したか？,スワイヤー,True
character,,,,,,,,,,,,,,,avg_npc_036,,,,,,,,158,,,,False
name,你和我说要和我上同一所中学，结果你去了维多利亚。,,,,,,,,,,,,,,林雨霞,,,,,,,,159,你和我说要和我上同一所中学，结果你去了维多利亚。,あなた、同じ中学に行くって言ったのに、結局ビクトリアへ行ったよね。,リン・ユウシャ,True
name,......,,,,,,,,,,,,,,诗怀雅,,,,,,,,160,......,……,スワイヤー,True
name,对不起。实在对不起。,,,,,,,,,,,,,,诗怀雅,,,,,,,,161,对不起。实在对不起。,ごめん。本当にごめん。,スワイヤー,True
character,,,,,,,,,,,,,,,avg_npc_036,,,,,,,,162,,,,False
name,没什么，我不在意了。,,,,,,,,,,,,,,林雨霞,,,,,,,,163,没什么，我不在意了。,気にしてない。もういいさ。,リン・ユウシャ,True
name,雨霞，你爸为龙门做了很多。我们不想失去这里，这里的居民也不能失去我们。,,,,,,,,,,,,,,诗怀雅,,,,,,,,164,雨霞，你爸为龙门做了很多。我们不想失去这里，这里的居民也不能失去我们。,雨霞、君のお父さんは龍門のために多くを尽くした。私たちはここを失いたくないし、ここに住む人たちも私たちを失うわけにはいかない。,スワイヤー,True
character,,,,,,,,,,,,,,,avg_npc_036,,,,,,,,165,,,,False
name,骗子。你会来这里吗？,,,,,,,,,,,,,,林雨霞,,,,,,,,166,骗子。你会来这里吗？,嘘つき。君は本当にここに来てくれるの？,リン・ユウシャ,True
name,你会来贫民区吗？,,,,,,,,,,,,,,林雨霞,,,,,,,,167,你会来贫民区吗？,スラムに来てくれるの？,リン・ユウシャ,True
name,......陈会。,,,,,,,,,,,,,,诗怀雅,,,,,,,,168,......陈会。,……チェンが来る。,スワイヤー,True
character,,,,,,,,,,,,,,,avg_npc_036,,,,,,,,169,,,,False
name,......你还真不会骗人啊。她，关我什么事？,,,,,,,,,,,,,,林雨霞,,,,,,,,170,......你还真不会骗人啊。她，关我什么事？,……本当に嘘がつけないね。あの人が来ても、私には関係ないでしょ？,リン・ユウシャ,True
name,你爸出于一些原因，不能够直接着手调解普通人和感染者的矛盾，但陈会。,,,,,,,,,,,,,,诗怀雅,,,,,,,,171,你爸出于一些原因，不能够直接着手调解普通人和感染者的矛盾，但陈会。,君のお父さんは事情があって、一般市民と感染者の仲介ができないけど、チェンはできる。,スワイヤー,True
name,陈和你的父亲一起调理着贫民区。,,,,,,,,,,,,,,诗怀雅,,,,,,,,172,陈和你的父亲一起调理着贫民区。,チェンは君のお父さんと一緒にスラムをまとめてきた。,スワイヤー,True
name,他们在努力让贫民区变成一个可以让更多人生活的地方，甚至是甩掉贫民区这个名字。,,,,,,,,,,,,,,诗怀雅,,,,,,,,173,他们在努力让贫民区变成一个可以让更多人生活的地方，甚至是甩掉贫民区这个名字。,彼らはスラムをもっと多くの人が暮らせる場所にしようと努力してきた。「スラム」という名前でさえ取っ払いたいと思っている。,スワイヤー,True
name,你想......虽然龙门的普通市民很少居住在这，但是过去这些年里，他们不也经常来这里吗？,,,,,,,,,,,,,,诗怀雅,,,,,,,,174,你想......虽然龙门的普通市民很少居住在这，但是过去这些年里，他们不也经常来这里吗？,考えてみて……普通の龍門市民はここに住んでいないけど、昔からよく訪れてきただろ？,スワイヤー,True
