command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,image,fadetime,screenadapt,time,name,name2,focus,a,r,g,b,block,widgetID,style,fadestyle,offsetx,width,index,text,jp_text,jp_name,text_match
blocker,,,,,,,,,,2,,,,,,0,,,,true,,,,,,46,,,,False
character,,,,,,,,,,1,,,char_136_hsguma,char_010_chen_1#1,1,,,,,true,,,,,,47,,,,False
delay,,,,,,,,,,,,1,,,,,,,,,,,,,,48,,,,False
name,你和诗怀雅刚才那出，难道不是为了加强和罗德岛之间的合作吗？,,,,,,,,,,,,星熊,,,,,,,,,,,,,49,你和诗怀雅刚才那出，难道不是为了加强和罗德岛之间的合作吗？,あなたとスワイヤーのやり取りは、ロドスとの協力を強化するためのものじゃなかったの？,ホシグマ,True
name,怎么到了罗德岛这边，你又临阵变卦，不按说好的来？,,,,,,,,,,,,星熊,,,,,,,,,,,,,50,怎么到了罗德岛这边，你又临阵变卦，不按说好的来？,どうしてロドス側に来たら、あなたは直前で態度を変えて、約束通りにしないんだ？,ホシグマ,True
character,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#6,2,,,,,,,,,,,51,,,,False
name,你弄错了，星熊。我没这个打算。,,,,,,,,,,,,陈,,,,,,,,,,,,,52,你弄错了，星熊。我没这个打算。,違うよホシグマ。私はそんなつもりじゃなかった。,チェン,True
character,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#6,1,,,,,,,,,,,53,,,,False
name,可能吧。至少我更乐意看你说实话。你的表情也比刚才坦然多了。,,,,,,,,,,,,星熊,,,,,,,,,,,,,54,可能吧。至少我更乐意看你说实话。你的表情也比刚才坦然多了。,そうかもね。少なくとも私は、君が正直に話してくれるほうが嬉しいよ。今の表情もさっきよりずっと素直そうだ。,ホシグマ,True
name,不过确实，把我放在他那个位置，我一样会很恼火。你得庆幸那个罗德岛的战士还挺好说话。,,,,,,,,,,,,星熊,,,,,,,,,,,,,55,不过确实，把我放在他那个位置，我一样会很恼火。你得庆幸那个罗德岛的战士还挺好说话。,でも確かに、もし自分があの立場だったら、私も怒っていただろうな。あのロドスの戦士が話の分かる人で良かったね。,ホシグマ,True
name,这么说吧，我知道时间紧迫，可我也弄不明白——为什么你要把阿米娅他们那么干脆地留在废城？,,,,,,,,,,,,星熊,,,,,,,,,,,,,56,这么说吧，我知道时间紧迫，可我也弄不明白——为什么你要把阿米娅他们那么干脆地留在废城？,こう言うけど、時間が切迫しているのはわかるけど、なぜアーミヤたちをあっさり廃墟都市に残したのか、私には理解できないよ。,ホシグマ,True
character,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,,,,57,,,,False
name,不确定因素太多了。,,,,,,,,,,,,陈,,,,,,,,,,,,,58,不确定因素太多了。,不確定要素が多すぎました。,チェン,True
name,废城的地况不适合近卫局战斗，我们也很难估计废城内整合运动的实力。我们的队伍不能承担这种风险。,,,,,,,,,,,,陈,,,,,,,,,,,,,59,废城的地况不适合近卫局战斗，我们也很难估计废城内整合运动的实力。我们的队伍不能承担这种风险。,廃墟都市の地形は近衛局の戦闘に適していませんし、整合運動の内部戦力も見積もりにくい。我々の隊はそのリスクを負えません。,チェン,True
character,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,,,,60,,,,False
name,这说服不了我。,,,,,,,,,,,,星熊,,,,,,,,,,,,,61,这说服不了我。,それでは私は納得できないよ。,ホシグマ,True
character,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,,,,62,,,,False
name,......星熊，我们的行动是被规划好的。,,,,,,,,,,,,陈,,,,,,,,,,,,,63,......星熊，我们的行动是被规划好的。,……ホシグマ、私たちの行動はすでに計画されていました。,チェン,True
character,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,,,,64,,,,False
name,命令就是命令，我会服从。但你该亲自和我说，而不是让我等到诗怀雅来告知我。,,,,,,,,,,,,星熊,,,,,,,,,,,,,65,命令就是命令，我会服从。但你该亲自和我说，而不是让我等到诗怀雅来告知我。,命令は命令、私は従うよ。でも、君自身が私に伝えるべきだった。スワイヤーから聞かされるまで待たせないでほしい。,ホシグマ,True
character,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,,,,66,,,,False
name,在当今事态成真之前，命令的具体内容是机密的。,,,,,,,,,,,,陈,,,,,,,,,,,,,67,在当今事态成真之前，命令的具体内容是机密的。,今回の事態が実際に起こるまでは、命令の具体内容は機密でした。,チェン,True
character,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,,,,68,,,,False
name,所以是魏先生亲自下的命令。,,,,,,,,,,,,星熊,,,,,,,,,,,,,69,所以是魏先生亲自下的命令。,つまり、ウェイさんが直接命令を下したわけだ。,ホシグマ,True
character,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,,,,70,,,,False
name,你可以随便猜测。,,,,,,,,,,,,陈,,,,,,,,,,,,,71,你可以随便猜测。,好きに推測すればいい。,チェン,True
character,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,,,,72,,,,False
name,即使现在是，我也不知道你们的具体目标，在龙门没什么人能让近卫局做到这步。,,,,,,,,,,,,星熊,,,,,,,,,,,,,73,即使现在是，我也不知道你们的具体目标，在龙门没什么人能让近卫局做到这步。,今だって、私は君たちの具体的な狙いもわからない。龍門でここまで近衛局を動かせる人はほとんどいないだろう。,ホシグマ,True
name,只可能是这样。,,,,,,,,,,,,星熊,,,,,,,,,,,,,74,只可能是这样。,それしかありえないんだ。,ホシグマ,True
name,我确实很佩服魏先生。但我不会敬重他，今天发生的一切就是原因之一。,,,,,,,,,,,,星熊,,,,,,,,,,,,,75,我确实很佩服魏先生。但我不会敬重他，今天发生的一切就是原因之一。,私は確かにウェイさんを尊敬している。でも敬愛はしていない。今日の出来事がその理由の一つさ。,ホシグマ,True
character,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,,,,76,,,,False
name,这一切都是必要的。,,,,,,,,,,,,陈,,,,,,,,,,,,,77,这一切都是必要的。,この全ては必要なことだった。,チェン,True
character,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,,,,78,,,,False
name,你在说服你自己。,,,,,,,,,,,,星熊,,,,,,,,,,,,,79,你在说服你自己。,自分自身に言い聞かせてるんだね。,ホシグマ,True
name,唉，老陈，你要么是想得太多，要么是连自己都说服不了。,,,,,,,,,,,,星熊,,,,,,,,,,,,,80,唉，老陈，你要么是想得太多，要么是连自己都说服不了。,はぁ……チェン、君は考えすぎか、それとも自分自身すら納得させられていないのか。,ホシグマ,True
character,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,,,,81,,,,False
name,可能吧。,,,,,,,,,,,,陈,,,,,,,,,,,,,82,可能吧。,かもしれないな。,チェン,True
character,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,83,,,,False
name,帮我接诗怀雅。,,,,,,,,,,,,陈,,,,,,,,,,,,,84,帮我接诗怀雅。,スワイヤーに繋いでくれ。,チェン,True
character,,,,,,,,,,,,,char_010_chen_1#1,char_015_lmg,2,,,,,,,,,,,85,,,,False
name,明白。,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,86,明白。,了解しました。,近衛局隊員,True
playsound,,$d_gen_transmissionget,,,,0.4,,,,,,,,,,,,,,,,,,,,87,,,,False
charactercutin,,,,,,,,,,0.5,,,char_308_swire_1#5,,,,,,,true,1,cutin,horiz_expand_center,-300,200,88,,,,False
name,喂？,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,89,喂？,もしもし？,スワイヤー,True
character,,,,,,,,,,,,,char_empty,char_010_chen_1#1,2,,,,,,,,,,,90,,,,False
name,诗怀雅，我们已经离开了罗德岛，你那边可以开始了。,,,,,,,,,,,,陈,,,,,,,,,,,,,91,诗怀雅，我们已经离开了罗德岛，你那边可以开始了。,スワイヤー、私たちはもうロドスを離れた。そっちは始めていい。,チェン,True
character,,,,,,,,,,,,,char_empty,char_010_chen_1#1,1,,,,,,,,,,,92,,,,False
name,刚才骂我骂得挺舒服的，嗯？,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,93,刚才骂我骂得挺舒服的，嗯？,さっき私のことをけっこう言いたい放題だったね、うん？,スワイヤー,True
character,,,,,,,,,,,,,char_empty,char_010_chen_1#1,2,,,,,,,,,,,94,,,,False
name,我们关系很差，但没差到那个地步。我是有点虚张声势。,,,,,,,,,,,,陈,,,,,,,,,,,,,95,我们关系很差，但没差到那个地步。我是有点虚张声势。,私たちの関係は悪いけど、そこまでじゃない。ちょっと見栄を張っただけだ。,チェン,True
character,,,,,,,,,,,,,char_empty,char_010_chen_1#1,1,,,,,,,,,,,96,,,,False
name,但我可不是，我骂爽了。,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,97,但我可不是，我骂爽了。,でも私は違うよ。言いたいことを全部言えてスッキリしたわ。,スワイヤー,True
character,,,,,,,,,,,,,char_empty,char_010_chen_1#4,2,,,,,,,,,,,98,,,,False
name,你这家伙......,,,,,,,,,,,,陈,,,,,,,,,,,,,99,你这家伙......,お前ってやつは……,チェン,True
character,,,,,,,,,,,,,char_empty,char_010_chen_1#4,1,,,,,,,,,,,100,,,,False
name,行，行。真奇怪，我们都只知道自己的任务，却一点也不知道对方的。,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,101,行，行。真奇怪，我们都只知道自己的任务，却一点也不知道对方的。,はいはい。おかしいね、私たちは自分の任務しか分からなくて、お互いのことは何も知らない。,スワイヤー,True
name,还有，我听说了，你为什么不希望罗德岛插手？这是某种程度的赎罪吗？,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,102,还有，我听说了，你为什么不希望罗德岛插手？这是某种程度的赎罪吗？,それと、聞いたけど、どうしてロドスに関わってほしくないの？何かしらの償いなの？,スワイヤー,True
character,,,,,,,,,,,,,char_empty,char_010_chen_1#1,2,,,,,,,,,,,103,,,,False
name,我相信罗德岛的能力，也相信阿米娅和博士。,,,,,,,,,,,,陈,,,,,,,,,,,,,104,我相信罗德岛的能力，也相信阿米娅和博士。,私はロドスの力を信じてるし、アーミヤとドクターも信じている。,チェン,True
name,所以我不想让他们介入现在的情况，他们只会是不确定的因素。,,,,,,,,,,,,陈,,,,,,,,,,,,,105,所以我不想让他们介入现在的情况，他们只会是不确定的因素。,だからこそ、今の状況に彼らを巻き込みたくない。彼らは不確定要素になるだけだ。,チェン,True
name,甚至是那个凯尔希。她绝不会按我们的规划行事。,,,,,,,,,,,,陈,,,,,,,,,,,,,106,甚至是那个凯尔希。她绝不会按我们的规划行事。,あのケルシーでさえ。彼女は絶対に私たちの計画通りには動かない。,チェン,True
character,,,,,,,,,,,,,char_empty,char_010_chen_1#1,1,,,,,,,,,,,107,,,,False
name,我没见过那家伙。,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,108,我没见过那家伙。,私はその人に会ったことがない。,スワイヤー,True
character,,,,,,,,,,,,,char_empty,char_010_chen_1#1,2,,,,,,,,,,,109,,,,False
name,没必要见了。有点像你祖父，而且不用每天戴着呼吸机。,,,,,,,,,,,,陈,,,,,,,,,,,,,110,没必要见了。有点像你祖父，而且不用每天戴着呼吸机。,会う必要はないさ。君のおじいさんみたいな人だけど、毎日呼吸器はつけていない。,チェン,True
character,,,,,,,,,,,,,char_empty,char_010_chen_1#1,1,,,,,,,,,,,111,,,,False
name,啊。,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,112,啊。,ああ。,スワイヤー,True
character,,,,,,,,,,,,,char_empty,char_010_chen_1#1,2,,,,,,,,,,,113,,,,False
name,各自开工吧。不过我要先去找个人。,,,,,,,,,,,,陈,,,,,,,,,,,,,114,各自开工吧。不过我要先去找个人。,それぞれ作業を始めよう。でも私は先に一人探しに行く。,チェン,True
character,,,,,,,,,,,,,char_empty,char_010_chen_1#1,1,,,,,,,,,,,115,,,,False
name,随你。记得看时间。,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,116,随你。记得看时间。,好きにすれば？時間はちゃんと見ておいてね。,スワイヤー,True
playsound,,$d_gen_transmissionget,,,,0.4,,,,,,,,,,,,,,,,,,,,117,,,,False
charactercutin,,,,,,,,,,0.5,,,,,,,,,,true,1,,,,,118,,,,False
character,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,119,,,,False
name,星熊，走吧。,,,,,,,,,,,,陈,,,,,,,,,,,,,120,星熊，走吧。,ホシグマ、行こう。,チェン,True
character,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,,,,121,,,,False
name,去哪？,,,,,,,,,,,,星熊,,,,,,,,,,,,,122,去哪？,どこへ？,ホシグマ,True
character,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,,,,123,,,,False
name,木禾仓库。,,,,,,,,,,,,陈,,,,,,,,,,,,,124,木禾仓库。,ムーファ倉庫だ。,チェン,True
delay,,,,,,,,,,,,0.3,,,,,,,,,,,,,,125,,,,False
blocker,,,,,,,,,,2,,,,,,,,,,true,,,,,,126,,,,False
