command,text_orig,key,is_skippable,fit_mode,name,image,width,height,fadetime,screenadapt,time,intro,volume,crossfade,delay,a,r,g,b,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,name2,focus,options,values,references,option_number,index,text,jp_text,jp_name,text_match
name,你们的白日梦，总该有人来戳醒吧？,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,你们的白日梦，总该有人来戳醒吧？,君たちの白昼夢、誰かが起こしてあげないとね？,？？？,True
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,,,,False
name,通讯设备已经恢复，我联系上了接应的行动预备组，他们正准备与我们汇合！,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,通讯设备已经恢复，我联系上了接应的行动预备组，他们正准备与我们汇合！,通信機器が復旧した！援護の予備チームと連絡が取れた、彼らは今こちらに向かっている！,ドーベルマン,True
name,可是，这个家伙......,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,可是，这个家伙......,でも、こいつが……,ドーベルマン,True
character,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,,,,False
name,小心她手中的爆破物！,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,小心她手中的爆破物！,彼女の手の爆弾に気をつけて！,ニアール,True
playmusic,,$calamity_loop,,,,,,,,,,$calamity_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,0,19,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,20,,,,False
dialog,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,21,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0,22,,,,False
blocker,,,,,,,,,0.1,,,,,,,1,100,100,100,true,,,,,,,,,,,,0,23,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,1,3,5,30,90,false,,,,,,0,24,,,,False
blocker,,,,,,,,,0.3,,,,,,,0,0,0,0,true,,,,,,,,,,,,0,25,,,,False
delay,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,26,,,,False
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,,,,False
name,但是，我还是联系不上侦查小组！,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,但是，我还是联系不上侦查小组！,でも、偵察チームとはまだ連絡が取れない！,ドーベルマン,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,,,,False
name,——你究竟是谁？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,——你究竟是谁？,――あなたはいったい誰ですか？,アーミヤ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,,,,False
character,,,,,char_1504_cqbw,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,False
delay,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,34,,,,False
name,你不认识我很正常——,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,你不认识我很正常——,君が僕を知らないのも無理はない——,？？？,True
name,不过，我认识你身边那个人。,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,不过，我认识你身边那个人。,でも、私は君の隣の人を知っているよ。,？？？,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37,,,,False
name,整合运动......还要，继续战斗吗？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38,整合运动......还要，继续战斗吗？,レユニオン……まだ戦いを続けるのですか？,アーミヤ,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,char_1504_cqbw,2,,,,0,39,,,,False
name,唉唉，别这样。,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,唉唉，别这样。,ああ、そんなふうに言うなよ。,？？？,True
name,我和那个塔露拉龙女可合不来。毕竟我并不是专职守门的人啊。做完了自己的工作赶过来也是很累的！,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,我和那个塔露拉龙女可合不来。毕竟我并不是专职守门的人啊。做完了自己的工作赶过来也是很累的！,私はあのタルラとはそりが合わないんだよ。私は門番専門じゃないし、自分の仕事を終えて急いで来たんだから結構疲れるんだ！,？？？,True
name,为了搞好关系，我们互换姓名吧？,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,为了搞好关系，我们互换姓名吧？,親睦を深めるために、お互いに名前を教え合わない？,？？？,True
name,你可以叫我——W。,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,你可以叫我——W。,私のことは――Wと呼んで。,？？？,True
name,为了见你身边那个人，我在这里可是等了好久呢。,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,44,为了见你身边那个人，我在这里可是等了好久呢。,君の隣のその人に会うために、私はここでずっと待っていたんだ。,W,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,,,,False
name,——博士？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,——博士？,――ドクター？,アーミヤ,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,char_1504_cqbw,2,,,,0,47,,,,False
name,Dr.{@Nickname}......,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,48,Dr.{@Nickname}......,ドクター{@Nickname}……,W,True
name,我有些问题想要问问{@Nickname}，能不能请各位把他......直接送给我呢？,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,49,我有些问题想要问问{@Nickname}，能不能请各位把他......直接送给我呢？,{@Nickname}に聞きたいことがあるんだ、君たち、彼を……直接私に引き渡してくれないか？,W,True
stopmusic,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,50,,,,False
character,,,,,char_148_nearl_1#1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,,,,False
name,你在浪费你自己的时间。,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,你在浪费你自己的时间。,自分の時間を無駄にしているぞ。,ニアール,True
character,,,,,char_148_nearl_1#8,,,,,,,,,,,,,,,,,,,,,,char_1504_cqbw,2,,,,0,53,,,,False
name,——别急嘛。我也有些你们会感兴趣的情报哦。,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54,——别急嘛。我也有些你们会感兴趣的情报哦。,――まあ慌てないで。君たちが興味を持ちそうな情報もあるんだよ。,W,True
name,其实，我们刚刚遇到了不少身手很利落的家伙......和你们的穿着打扮差不多。,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,55,其实，我们刚刚遇到了不少身手很利落的家伙......和你们的穿着打扮差不多。,実は、さっき君たちそっくりな格好の手練れとたくさん出会ったんだ……,W,True
name,虽然做过伪装，但也就是骗骗乌萨斯人的程度，这点小把戏，可是难不倒我的~,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,56,虽然做过伪装，但也就是骗骗乌萨斯人的程度，这点小把戏，可是难不倒我的~,偽装したとはいえ、ウルサス人くらいしか騙せないレベルさ。この程度の小細工、私には全然効かないよ～,W,True
character,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,,,,char_1504_cqbw,1,,,,0,57,,,,False
name,侦察小队的各位吗......？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,58,侦察小队的各位吗......？,偵察小隊の皆さんのことですか……？,アーミヤ,True
name,太好了......他们平安无——,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,59,太好了......他们平安无——,よかった……彼らは無事で――,アーミヤ,True
character,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,,,,char_1504_cqbw,2,,,,0,60,,,,False
name,小兔子，你就是他们的组织者吧？,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,61,小兔子，你就是他们的组织者吧？,ウサギちゃん、君が彼らのリーダーだろう？,W,True
character,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,62,,,,False
name,？！,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,63,？！,？！,アーミヤ,True
character,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,,,,,,,,,char_1504_cqbw,2,,,,0,64,,,,False
name,我很想知道，你究竟有什么魔力......能让他们都心甘情愿，毫无价值地为你送命？,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,65,我很想知道，你究竟有什么魔力......能让他们都心甘情愿，毫无价值地为你送命？,私は知りたいんだよ、君にはどんな魔力があるんだろう……皆を無価値に君のために命を捧げさせることができるなんて？,W,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,char_1504_cqbw,1,,,,0,66,,,,False
name,什么......你想说什么？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,67,什么......你想说什么？,な、何を……あなたは何が言いたいのですか？,アーミヤ,True
character,,,,,char_1504_cqbw,,,,,,,,,,,,,,,,,,,,,,,,,,,0,68,,,,False
name,没错，他们——没有一个人能跟着你回去哦。,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,69,没错，他们——没有一个人能跟着你回去哦。,その通りだ。彼ら――誰一人、君と共に帰ることはできない。,W,True
name,你呀......,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70,你呀......,君ってさ……,W,True
name,你真的......配得上别人的牺牲吗？,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,71,你真的......配得上别人的牺牲吗？,君は本当に……他人の犠牲に値する人間なのか？,W,True
playmusic,,$m_bat_game02_loop,,,,,,,,,,$m_bat_game02_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,0,72,,,,False
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,73,,,,False
name,————,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,74,————,————,アーミヤ,True
decision,你的行为，有什么意义吗，W？,,,,,,,,,,,,,,,,,,,,,,,,,,,,别管她，出口就在前方！;阿米娅......;你的行为，有什么意义吗，W？,1;2;3,,3,75,你的行为，有什么意义吗，W？,お前の行動には、どんな意味があるんだ、W？,,True
decision,阿米娅......,,,,,,,,,,,,,,,,,,,,,,,,,,,,别管她，出口就在前方！;阿米娅......;你的行为，有什么意义吗，W？,1;2;3,,3,76,阿米娅......,アーミヤ……,,True
decision,别管她，出口就在前方！,,,,,,,,,,,,,,,,,,,,,,,,,,,,别管她，出口就在前方！;阿米娅......;你的行为，有什么意义吗，W？,1;2;3,,3,77,别管她，出口就在前方！,彼女を気にするな、出口はすぐそこだ！,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,0,78,,,,False
character,,,,,char_1504_cqbw,,,,,,,,,,,,,,,,,,,,,,,,,,,0,79,,,,False
name,还没轮到你。,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80,还没轮到你。,今はまだ君の番じゃない。,W,True
name,阿米娅......,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,81,阿米娅......,アーミヤ……,W,True
name,————你。生气了吗？,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,82,————你。生气了吗？,――――君、怒ったのか？,W,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,83,,,,False
name,......你不该说这种话。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,84,......你不该说这种话。,……あなたは、そういうことを言うべきではありません。,アーミヤ,True
character,,,,,char_1504_cqbw,,,,,,,,,,,,,,,,,,,,,,,,,,,0,85,,,,False
name,好啊，好啊......就该这样嘛。,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,86,好啊，好啊......就该这样嘛。,いいね、いいね……こうじゃなくっちゃ。,W,True
name,来吧。,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,87,来吧。,さあ、来なよ。,W,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,88,,,,False
name,整合运动的W，你不该说这种话！,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,89,整合运动的W，你不该说这种话！,レユニオンのW、あなたはそんなことを言うべきではありません！,アーミヤ,True
name,每个人的生命，都有价值......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,每个人的生命，都有价值......,誰の命も価値があります……,アーミヤ,True
name,这不是你能玷污的事！,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,91,这不是你能玷污的事！,それは、あなたが汚していいものではありません！,アーミヤ,True
name,博士！！,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,92,博士！！,ドクター！！,アーミヤ,True
decision,罗德岛，准备战斗！,,,,,,,,,,,,,,,,,,,,,,,,,,,,罗德岛，准备战斗！,1,,1,93,罗德岛，准备战斗！,ロドス、戦闘準備！,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,94,,,,False
character,,,,,char_1504_cqbw,,,,,,,,,,,,,,,,,,,,,,,,,,,0,95,,,,False
name,哼哼......,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,96,哼哼......,ふふん……,W,True
delay,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,0,97,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,98,,,,False
blocker,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,0,99,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,,,,False
