command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,block,time,intro,volume,crossfade,name,duration,xstrength,ystrength,vibrato,randomness,fadeout,a,r,g,b,name2,focus,delay,index,text,jp_text,jp_name,text_match
name,先暂缓对近卫局的援助，我现在只敢保证你我的安全！,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,19,先暂缓对近卫局的援助，我现在只敢保证你我的安全！,まず近衛局の援護は後回しだ。今はお前と俺の安全しか保証できない！,煌,True
blocker,,,,,,,,,1,true,,,,,,,,,,,,1,0,0,0,,,,20,,,,False
background,,,,,coverall,bg_outcity_1,,,,,,,,,,,,,,,,,,,,,,,21,,,,False
blocker,,,,,,,,,1,true,,,,,,,,,,,,0,0,0,0,,,,22,,,,False
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,23,,,,False
name,不行，这波我们实在扛不住了！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,24,不行，这波我们实在扛不住了！,ダメだ、この波を耐えきれない！,近衛局メンバー,True
name,必须撤离！再不撤的话，我们小队就完了！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,25,必须撤离！再不撤的话，我们小队就完了！,撤退しないとダメだ！このままだと小隊が壊滅する！,近衛局メンバー,True
name,别慌张。,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,26,别慌张。,慌てるな。,？？？,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,27,,,,False
name,啊？！你是......,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,28,啊？！你是......,えっ？！あなたは......,近衛局メンバー,True
name,这身装束......你......,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,29,这身装束......你......,その格好は……あなた……,近衛局メンバー,True
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,False
character,,,,,,,,,1,true,,,,,avg_npc_041,,,,,,,,,,,,,,31,,,,False
delay,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,32,,,,False
name,援军马上就到了。再坚持一下。,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,33,援军马上就到了。再坚持一下。,援軍はすぐ来る。もう少し耐えてくれ。,？？？,True
name,分成两队吧。向他们两侧移动。,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,34,分成两队吧。向他们两侧移动。,二手に分かれよう。彼らの両側へ移動するんだ。,？？？,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,35,,,,False
name,可是，大人......,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,36,可是，大人......,でも、閣下……,近衛局メンバー,True
character,,,,,,,,,,,,,,,avg_npc_041,,,,,,,,,,,,,,37,,,,False
name,这次请相信我。虽然我不能出手，但这个办法会起效。,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,38,这次请相信我。虽然我不能出手，但这个办法会起效。,今回は私を信じてほしい。私は手出しできないが、この方法ならうまくいく。,？？？,True
name,夹击之后，从两侧把他们控制住；剩下的，就交给援军吧。,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,39,夹击之后，从两侧把他们控制住；剩下的，就交给援军吧。,挟撃して、両側から抑え込む。あとは援軍に任せればいい。,？？？,True
blocker,,,,,,,,,1,true,,,,,,,,,,,,1,0,0,0,,,,40,,,,False
background,,,,,coverall,bg_indoor_n,,,,,,,,,,,,,,,,,,,,,,,41,,,,False
blocker,,,,,,,,,1,true,,,,,,,,,,,,0,0,0,0,,,,42,,,,False
camerashake,,,,,,,,,,false,,,,,,1,10,12,30,90,true,,,,,,,,43,,,,False
name,呃，呃！！,,,,,,,,,,,,,,牧群,,,,,,,,,,,,,,44,呃，呃！！,うっ、うっ！！,群れ,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,45,,,,False
name,......谢谢长官！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,46,......谢谢长官！,……ありがとうございます、上官！,近衛局メンバー,True
name,如果你没帮我们挡下那个......,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,47,如果你没帮我们挡下那个......,もしあなたがあれを止めてくれなかったら……,近衛局メンバー,True
character,,,,,,,,,1,true,,,,,avg_npc_040,,,,,,,,,,,,,,48,,,,False
delay,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,49,,,,False
name,......,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,50,......,......,？？？,True
character,,,,,,,,,,,,,,,avg_npc_040,,,,,,,,,,,,,,51,,,,False
name,背后。,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,52,背后。,後ろだ。,？？？,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,53,,,,False
name,快，快回击！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,54,快，快回击！,急げ、反撃だ！,近衛局メンバー,True
character,,,,,,,,,,,,,,,avg_npc_040,,,,,,,,,,,,,,55,,,,False
name,没用。,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,56,没用。,無駄だ。,？？？,True
name,你们聚拢。缩起来。,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,57,你们聚拢。缩起来。,集まれ。縮まって。,？？？,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,avg_npc_040,1,,58,,,,False
name,明白！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,59,明白！,了解！,近衛局メンバー,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,60,,,,False
name,不，可是那样......,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,61,不，可是那样......,でも、それじゃ……,近衛局メンバー,True
name,不行。在这里，光防御并没有用。我们必须得主动寻找出路......,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,62,不行。在这里，光防御并没有用。我们必须得主动寻找出路......,ダメだ。ここでは防御だけじゃダメだ。自分たちで道を切り開かないと……,近衛局メンバー,True
name,对了，从高处！我们从楼梯走，反过来利用建筑里的走廊攻击它们！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,63,对了，从高处！我们从楼梯走，反过来利用建筑里的走廊攻击它们！,そうだ、高所からだ！階段を使って、建物の廊下を逆手にとって攻撃しよう！,近衛局メンバー,True
name,......不成，好像还是只能防御。但至少不会再被这一大群疯子挤在角落了！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,64,......不成，好像还是只能防御。但至少不会再被这一大群疯子挤在角落了！,……だめか、やっぱり防御しかできない。でも、もうあの大群に隅に追いやられることはない！,近衛局メンバー,True
name,对，先转移，然后通过各出入口聚拢，快速收缩队伍，进入防御姿态！快，动起来！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,65,对，先转移，然后通过各出入口聚拢，快速收缩队伍，进入防御姿态！快，动起来！,そうだ、まず移動して各出口で集合、素早く隊列を縮小して防御体制に入ろう！急げ、動くぞ！,近衛局メンバー,True
character,,,,,,,,,,,,,,,avg_npc_040,,,,,,,,,,,,,,66,,,,False
name,很好。加分。,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,67,很好。加分。,よくできた。加点だ。,？？？,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,avg_npc_040,1,,68,,,,False
name,长官，请跟我们一起来！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,69,长官，请跟我们一起来！,上官も一緒に来てください！,近衛局メンバー,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,avg_npc_040,2,,70,,,,False
name,不用。,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,71,不用。,必要ない。,？？？,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,avg_npc_040,1,,72,,,,False
name,啊？,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,73,啊？,えっ？,近衛局メンバー,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,avg_npc_040,2,,74,,,,False
name,你们去。,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,75,你们去。,君たちが行け。,？？？,True
name,我从地上走过去。,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,76,我从地上走过去。,私は地上を行く。,？？？,True
blocker,,,,,,,,,1,true,,,,,,,,,,,,1,0,0,0,,,,77,,,,False
background,,,,,coverall,bg_outcity_1,,,,,,,,,,,,,,,,,,,,,,,78,,,,False
blocker,,,,,,,,,1,true,,,,,,,,,,,,0,0,0,0,,,,79,,,,False
character,,,,,,,,,,,,,,,avg_npc_039_1,,,,,,,,,,,,,,80,,,,False
name,......,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,81,......,......,？？？,True
name,攻势太猛烈了！！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,82,攻势太猛烈了！！,攻撃が激しすぎる！！,近衛局メンバー,True
name,我们装备的都是穿刺性武器，没法有效对抗他们！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,83,我们装备的都是穿刺性武器，没法有效对抗他们！,僕たちの装備は刺突武器ばかりで、彼らに有効な攻撃ができません！,近衛局メンバー,True
name,不能退后！,,,,,,,,,,,,,,近卫局队长,,,,,,,,,,,,,,84,不能退后！,後退するな！,近衛局隊長,True
name,我们背后是安全区！要是让他们打进去了，里面的市民就完了！,,,,,,,,,,,,,,近卫局队长,,,,,,,,,,,,,,85,我们背后是安全区！要是让他们打进去了，里面的市民就完了！,背後には安全区がある！突破されたら、中の市民が危ない！,近衛局隊長,True
name,那怎么办？！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,86,那怎么办？！,じゃあどうするんですか？！,近衛局メンバー,True
name,要战便战！战到近卫局一个都不剩为止！,,,,,,,,,,,,,,近卫局队长,,,,,,,,,,,,,,87,要战便战！战到近卫局一个都不剩为止！,戦うしかない！近衛局が一人も残らなくなるまで戦え！,近衛局隊長,True
name,小心源石投掷物，除了会腐蚀装备以外，有些是会爆炸的！,,,,,,,,,,,,,,近卫局队长,,,,,,,,,,,,,,88,小心源石投掷物，除了会腐蚀装备以外，有些是会爆炸的！,源石の投擲物には気を付けろ！装備を腐食させるだけでなく、爆発するものもある！,近衛局隊長,True
name,啊......！阿中受伤了！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,89,啊......！阿中受伤了！,あっ……！アチュンが負傷した！,近衛局メンバー,True
name,阿中，退下来！你，顶上去！别让它们穿过防线！,,,,,,,,,,,,,,近卫局队长,,,,,,,,,,,,,,90,阿中，退下来！你，顶上去！别让它们穿过防线！,アチュン、下がれ！お前、代われ！連中を突破させるな！,近衛局隊長,True
name,咕。,,,,,,,,,,,,,,牧群,,,,,,,,,,,,,,91,咕。,グッ。,群れ,True
camerashake,,,,,,,,,,false,,,,,,1,10,12,30,90,true,,,,,,,,92,,,,False
name,啊啊啊啊！它，它抓到我了，它在咬，不，唉啊啊！！！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,93,啊啊啊啊！它，它抓到我了，它在咬，不，唉啊啊！！！,ああああ！やられた、噛まれてる、だめ、うわああ！！,近衛局メンバー,True
name,阿义！！！,,,,,,,,,,,,,,近卫局队长,,,,,,,,,,,,,,94,阿义！！！,アイー！！,近衛局隊長,True
character,,,,,,,,,,,,,,,avg_npc_039_1,,,,,,,,,,,,,,95,,,,False
name,真丢人！,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,96,真丢人！,まったく情けない！,？？？,True
character,,,,,,,,,,,,,,,avg_npc_039_1,,,,,,,,,,,,,,97,,,,False
name,纵贯白雷正法，去！,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,98,纵贯白雷正法，去！,縦貫白雷正法、行くぞ！,？？？,True
camerashake,,,,,,,,,,false,,,,,,0.3,10,12,30,90,true,,,,,,,,99,,,,False
blocker,,,,,,,,,0.02,true,,,,,,,,,,,,0.7,0.95,0.95,0.95,,,,100,,,,False
playsound,,$p_atk_elecball_n,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,False
blocker,,,,,,,,,0.25,true,,,,,,,,,,,,0,0,0,0,,,,102,,,,False
delay,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,103,,,,False
camerashake,,,,,,,,,,false,,,,,,0.3,10,12,30,90,true,,,,,,,,104,,,,False
blocker,,,,,,,,,0.02,true,,,,,,,,,,,,0.7,0.95,0.95,0.95,,,,105,,,,False
playsound,,$p_atk_elecball_n,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,False
blocker,,,,,,,,,0.05,true,,,,,,,,,,,,0,0,0,0,,,,107,,,,False
camerashake,,,,,,,,,,false,,,,,,0.3,10,12,30,90,true,,,,,,,,108,,,,False
blocker,,,,,,,,,0.02,true,,,,,,,,,,,,0.7,0.95,0.95,0.95,,,,109,,,,False
playsound,,$p_atk_elecball_n,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,False
blocker,,,,,,,,,0.25,true,,,,,,,,,,,,0,0,0,0,,,,111,,,,False
camerashake,,,,,,,,,,false,,,,,,0.3,10,12,30,90,true,,,,,,,,112,,,,False
blocker,,,,,,,,,0.02,true,,,,,,,,,,,,0.7,0.95,0.95,0.95,,,,113,,,,False
playsound,,$p_atk_elecball_n,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,False
blocker,,,,,,,,,0.06,true,,,,,,,,,,,,0,0,0,0,,,,115,,,,False
camerashake,,,,,,,,,,false,,,,,,0.3,10,12,30,90,true,,,,,,,,116,,,,False
blocker,,,,,,,,,0.02,true,,,,,,,,,,,,0.7,0.95,0.95,0.95,,,,117,,,,False
playsound,,$p_atk_elecball_n,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,False
blocker,,,,,,,,,0.05,true,,,,,,,,,,,,0,0,0,0,,,,119,,,,False
camerashake,,,,,,,,,,false,,,,,,0.3,10,12,30,90,true,,,,,,,,120,,,,False
blocker,,,,,,,,,0.02,true,,,,,,,,,,,,0.7,0.95,0.95,0.95,,,,121,,,,False
playsound,,$p_atk_elecball_n,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,False
blocker,,,,,,,,,1,true,,,,,,,,,,,,0,0,0,0,,,,123,,,,False
name,唔，唔！！,,,,,,,,,,,,,,牧群,,,,,,,,,,,,,,124,唔，唔！！,うっ、うっ！！,群れ,True
name,雷电法术？！,,,,,,,,,,,,,,近卫局队长,,,,,,,,,,,,,,125,雷电法术？！,雷の術？！,近衛局隊長,True
name,什，什么......一瞬间就把这些躁狂患者都消灭了？,,,,,,,,,,,,,,近卫局队长,,,,,,,,,,,,,,126,什，什么......一瞬间就把这些躁狂患者都消灭了？,な、なんだ……一瞬でこれらの狂った感染者を全部消し去ったのか？,近衛局隊長,True
character,,,,,,,,,,,,,,,avg_npc_039_1#1,,,,,,,,,,,,,,127,,,,False
name,哈，哈......,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,128,哈，哈......,はぁ、はぁ……,？？？,True
name,刚才就说了不会出手不会出手，没想到，你们这些个样子怎么保护百姓？！,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,129,刚才就说了不会出手不会出手，没想到，你们这些个样子怎么保护百姓？！,さっき出ないって言っただろ、出ないって！こんな状態でどうやって市民を守るんだよ、お前ら！,？？？,True
name,到最后居然还是让我动手了，太丢脸了！,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,130,到最后居然还是让我动手了，太丢脸了！,結局俺が手を出すことになった、恥ずかしい！,？？？,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,avg_npc_039_1,1,,131,,,,False
name,监察司长官......,,,,,,,,,,,,,,近卫局队长,,,,,,,,,,,,,,132,监察司长官......,監察司の上官……,近衛局隊長,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,avg_npc_039_1,2,,133,,,,False
name,长官前长官后的，不是让你们当我不存在吗？,,,,,,,,,,,,,,监察司,,,,,,,,,,,,,,134,长官前长官后的，不是让你们当我不存在吗？,上官だのなんだのって、私のこと無視していいって言ってたじゃないか。,監察司,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,avg_npc_039_1,1,,135,,,,False
name,......我们没想......,,,,,,,,,,,,,,近卫局队长,,,,,,,,,,,,,,136,......我们没想......,……そのつもりは……,近衛局隊長,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,avg_npc_039_1,2,,137,,,,False
name,本来想说精神可嘉，结果你们现在都活蹦乱跳的，还把事情丢给我解决，也不知道你们还能干些什么！,,,,,,,,,,,,,,监察司,,,,,,,,,,,,,,138,本来想说精神可嘉，结果你们现在都活蹦乱跳的，还把事情丢给我解决，也不知道你们还能干些什么！,最初はやる気だけは評価したのに、今じゃ全員元気で、面倒事は私任せ。君たちに他に何ができるんだ？,監察司,True
name,走！去下个地方！,,,,,,,,,,,,,,监察司,,,,,,,,,,,,,,139,走！去下个地方！,行くぞ！次の場所だ！,監察司,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,avg_npc_039_1,1,,140,,,,False
name,可是你刚才说......,,,,,,,,,,,,,,近卫局队长,,,,,,,,,,,,,,141,可是你刚才说......,でもさっきあなたは……,近衛局隊長,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,avg_npc_039_1,2,,142,,,,False
name,快指路！我都动手了，你们怎么就不知道动作快点！,,,,,,,,,,,,,,监察司,,,,,,,,,,,,,,143,快指路！我都动手了，你们怎么就不知道动作快点！,さっさと道を案内しろ！私が動いたんだから、お前たちももっと素早く動け！,監察司,True
name,对了，刚刚我没出手过，一定给我记住了，明白吗？,,,,,,,,,,,,,,监察司,,,,,,,,,,,,,,144,对了，刚刚我没出手过，一定给我记住了，明白吗？,そうだ、さっき私は何もしてない。絶対に覚えておくように、いいな？,監察司,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,avg_npc_039_1,1,,145,,,,False
name,明白！,,,,,,,,,,,,,,近卫局队长,,,,,,,,,,,,,,146,明白！,了解！,近衛局隊長,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,avg_npc_039_1,2,,147,,,,False
name,但百姓要是受到一分一毫的伤害，你们都该撤职，我也得辞职，全部失业！,,,,,,,,,,,,,,监察司,,,,,,,,,,,,,,148,但百姓要是受到一分一毫的伤害，你们都该撤职，我也得辞职，全部失业！,だが、市民に少しでも被害が出たら、お前たちは全員クビだし、私も辞めるぞ。みんな無職だ！,監察司,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,avg_npc_039_1,1,,149,,,,False
name,明，明白......我们会尽力的。,,,,,,,,,,,,,,近卫局队长,,,,,,,,,,,,,,150,明，明白......我们会尽力的。,り、了解……最善を尽くします。,近衛局隊長,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,avg_npc_039_1,2,,151,,,,False
name,知道就好！还站在那干嘛？走呀！,,,,,,,,,,,,,,监察司,,,,,,,,,,,,,,152,知道就好！还站在那干嘛？走呀！,分かってるならいい！なに立ち止まってるんだ？行くぞ！,監察司,True
name,......对了，你们认识那些黑蓑吗？,,,,,,,,,,,,,,监察司,,,,,,,,,,,,,,153,......对了，你们认识那些黑蓑吗？,……そうだ、お前たちあの黒い蓑着てる連中を知ってるか？,監察司,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,avg_npc_039_1,1,,154,,,,False
name,黑蓑？那是什么？,,,,,,,,,,,,,,近卫局队长,,,,,,,,,,,,,,155,黑蓑？那是什么？,黒い蓑？それは何ですか？,近衛局隊長,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,avg_npc_039_1,2,,156,,,,False
name,眼力太差了吧！就是那些在楼顶上行动的，穿黑色蓑衣的人啊。,,,,,,,,,,,,,,监察司,,,,,,,,,,,,,,157,眼力太差了吧！就是那些在楼顶上行动的，穿黑色蓑衣的人啊。,全然見えてないじゃないか！屋上で動いていた、あの黒い蓑着てる連中だよ。,監察司,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,avg_npc_039_1,1,,158,,,,False
name,......抱歉长官，你说什么？,,,,,,,,,,,,,,近卫局队长,,,,,,,,,,,,,,159,......抱歉长官，你说什么？,……すみません、上官、何とおっしゃいましたか？,近衛局隊長,True
stopmusic,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,160,,,,False
blocker,,,,,,,,,2,true,,,,,,,,,,,,1,0,0,0,,,,161,,,,False
background,,,,,coverall,bg_outcity_1,1,1,,,,,,,,,,,,,,,,,,,,,162,,,,False
playmusic,,$darkness02_loop,,,,,,,,,,$darkness02_loop,0.8,1.5,,,,,,,,,,,,,,0.5,163,,,,False
blocker,,,,,,,,,2,true,,,,,,,,,,,,0,0,0,0,,,,164,,,,False
playsound,,$d_gen_soldiersrun,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,165,,,,False
character,,,,,,,,,,,,,,,char_308_swire_1#6,,,,,,,,,,,,,,166,,,,False
name,盾卫出列！,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,167,盾卫出列！,シールド隊、前へ！,詩懐雅,True
character,,,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,168,,,,False
name,侦察队，后撤！死守火力点！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,169,侦察队，后撤！死守火力点！,偵察隊、後退！火力ポイントを死守！,陳,True
name,这些突变感染者，居然还会扰乱电波？这样下去，侦察队也会有危险！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,170,这些突变感染者，居然还会扰乱电波？这样下去，侦察队也会有危险！,こいつら突然変異の感染者は、電波まで妨害するのか？このままだと偵察隊も危険だ！,陳,True
character,,,,,,,,,,,,,,,char_308_swire_1#6,,,,,,,,,,,char_010_chen_1#2,1,,171,,,,False
name,......没法停下来！止不住！你刚才一个人砍了多少这种东西？能不能再表演一遍？！,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,172,......没法停下来！止不住！你刚才一个人砍了多少这种东西？能不能再表演一遍？！,......止まらない！止められない！さっき一人でいくつ倒した？もう一度やってくれない？！,詩懐雅,True
character,,,,,,,,,,,,,,,char_308_swire_1#6,,,,,,,,,,,char_010_chen_1#2,2,,173,,,,False
name,不一样！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,174,不一样！,違う！,陳,True
character,,,,,,,,,,,,,,,char_308_swire_1#6,,,,,,,,,,,char_010_chen_1#2,1,,175,,,,False
name,啊？个仆街龙关键时刻怎么这么没用！,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,176,啊？个仆街龙关键时刻怎么这么没用！,えっ？こいつ、肝心な時に全然役立たないじゃないか！,詩懐雅,True
character,,,,,,,,,,,,,,,char_308_swire_1#6,,,,,,,,,,,char_010_chen_1#2,2,,177,,,,False
name,那你先表演点作用给我看看！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,178,那你先表演点作用给我看看！,ならお前がまず役に立つところを見せてみろよ！,陳,True
character,,,,,,,,,,,,,,,char_308_swire_1#6,,,,,,,,,,,char_010_chen_1#2,1,,179,,,,False
name,无人机！,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,180,无人机！,ドローンだ！,詩懐雅,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,,,char_010_chen_1#4,2,,181,,,,False
name,啊。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,182,啊。,あぁ。,陳,True
blocker,,,,,,,,,0.02,true,,,,,,,,,,,,0.7,0.95,0.95,0.95,,,,183,,,,False
playsound,,$e_atk_arrow_h,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,False
camerashake,,,,,,,,,,,,,,,,1,15,10,30,90,true,,,,,,,,185,,,,False
blocker,,,,,,,,,0.25,true,,,,,,,,,,,,0,0.95,0.95,0.95,,,,186,,,,False
blocker,,,,,,,,,0.02,true,,,,,,,,,,,,0.7,0.95,0.95,0.95,,,,187,,,,False
playsound,,$e_atk_arrow_h,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,,False
camerashake,,,,,,,,,,,,,,,,1,15,10,30,90,true,,,,,,,,189,,,,False
blocker,,,,,,,,,0.25,true,,,,,,,,,,,,0,0,0,0,,,,190,,,,False
camerashake,,,,,,,,,,false,,,,,,1,8,6,30,90,true,,,,,,,,191,,,,False
blocker,,,,,,,,,0.02,true,,,,,,,,,,,,0.7,0.95,0.95,0.95,,,,192,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,,False
blocker,,,,,,,,,0.25,true,,,,,,,,,,,,0,0.95,0.95,0.95,,,,194,,,,False
