command,text_orig,key,is_skippable,fit_mode,name,time,intro,volume,crossfade,delay,screenadapt,image,width,height,fadetime,block,name2,focus,a,r,g,b,options,values,references,option_number,index,text,jp_text,jp_name,text_match
name,为什么我只能看着一个个可以被拯救的人......在我眼前消逝呢？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,87,为什么我只能看着一个个可以被拯救的人......在我眼前消逝呢？,どうして目の前で救えるはずの人が……消えていくのをただ見ているしかないのでしょうか？,アーミヤ,True
character,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,0,88,,,,False
name,明明触手可及......也许有时候就差一点点......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,89,明明触手可及......也许有时候就差一点点......,ほんの少し手を伸ばせば届くはずなのに……あと一歩だけなのに……,アーミヤ,True
name,我知道我身上的责任......我会继续走下去......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,90,我知道我身上的责任......我会继续走下去......,私に課された責任は自覚しています……これからも歩みを止めることはありません……,アーミヤ,True
name,但现在......我真的好累。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,91,但现在......我真的好累。,でも今は……本当に、疲れました。,アーミヤ,True
name,......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,92,......,……,アーミヤ,True
character,,,,,char_002_amiya_1#4,,,,,,,,,,,,,-1,,,,,,,,0,93,,,,False
decision,阿米娅......,,,,,,,,,,,,,,,,,,,,,,......;阿米娅......,1;2,,2,94,阿米娅......,アーミヤ……,,True
decision,......,,,,,,,,,,,,,,,,,,,,,,......;阿米娅......,1;2,,2,95,......,……,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,1;2,0,96,,,,False
blocker,,,,,,,,,,,,,,,1.5,true,,,1,0,0,0,,,,0,97,,,,False
character,,,,,,,,,,,,,,,0,,,,,,,,,,,0,98,,,,False
name,让我一个人静一静吧，博士。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,99,让我一个人静一静吧，博士。,少し一人にしてもらってもいいですか、ドクター。,アーミヤ,True
name,谢谢你。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,100,谢谢你。,ありがとうございます。,アーミヤ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,0,101,,,,False
delay,,,,,,1,,,,,,,,,,,,,,,,,,,,0,102,,,,False
blocker,,,,,,,,,,,,,,,2,true,,,1,1,1,1,,,,0,103,,,,False
delay,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0,104,,,,False
blocker,,,,,,,,,,,,,,,1.5,true,,,1,0,0,0,,,,0,105,,,,False
background,,,,,,,,,,,coverall,bg_ri_1,1,1,0,true,,,,,,,,,,0,106,,,,False
playmusic,,$tech_loop,,,,,$tech_intro,0.6,1,0.5,,,,,,,,,,,,,,,,0,107,,,,False
blocker,,,,,,,,,,,,,,,1.5,true,,,0,,,,,,,0,108,,,,False
delay,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0,109,,,,False
character,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,0,110,,,,False
name,早呀博士。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,111,早呀博士。,おはようございます、ドクター。,アーミヤ,True
name,咦，凯尔希医生也在吗？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,112,咦，凯尔希医生也在吗？,あれ、ケルシー先生もいらっしゃるんですか？,アーミヤ,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1,1,,,,,,,,0,113,,,,False
name,阿米娅。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,114,阿米娅。,アーミヤ。,ケルシー,True
name,我这里有一件比较紧急的任务，我需要调用一些人手。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,115,我这里有一件比较紧急的任务，我需要调用一些人手。,こちらに緊急の任務がある。少し人員が必要だ。,ケルシー,True
name,在龙门城外，发现了一块已经被废弃的城区。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,116,在龙门城外，发现了一块已经被废弃的城区。,龍門城の外で、すでに廃棄された市街地が見つかった。,ケルシー,True
name,我推测是在切尔诺伯格事件中侥幸逃出的城区之一。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,117,我推测是在切尔诺伯格事件中侥幸逃出的城区之一。,おそらくチェルノボーグ事件で辛くも逃れた区域の一つだと思われる。,ケルシー,True
name,有必要探索这座城区，发掘更多的有关信息，以及搜救幸存者。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,118,有必要探索这座城区，发掘更多的有关信息，以及搜救幸存者。,この市街地を調査し、さらなる情報の収集と生存者の救助を行う必要がある。,ケルシー,True
name,如果是更加严重的情况，譬如，城区中窝藏着整合运动之类，则对我们之后的安排，同样会有更大的影响。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,119,如果是更加严重的情况，譬如，城区中窝藏着整合运动之类，则对我们之后的安排，同样会有更大的影响。,もし、その区域にレユニオンなどが潜伏していた場合、我々の今後の計画にも大きな影響が及ぶ。,ケルシー,True
name,具体安排的计划书在这里，拿上吧，有时间就看一下。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,120,具体安排的计划书在这里，拿上吧，有时间就看一下。,具体的な計画書はここにある。持っていけ、時間があれば目を通してくれ。,ケルシー,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1,2,,,,,,,,0,121,,,,False
name,了解。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,122,了解。,了解しました。,アーミヤ,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1,1,,,,,,,,0,123,,,,False
name,哦，还有。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,124,哦，还有。,ああ、それと。,ケルシー,True
name,芙兰卡向我提交了报告，提到了她们需要回黑钢复命的事情。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,125,芙兰卡向我提交了报告，提到了她们需要回黑钢复命的事情。,フランカが報告書を提出し、彼女たちがブラックスチールに帰還する必要があると述べていた。,ケルシー,True
name,关于龙门贫民区的情况，企鹅物流认为应该与你在贫民区内进行意见交换。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,126,关于龙门贫民区的情况，企鹅物流认为应该与你在贫民区内进行意见交换。,龍門のスラムの詳細については、ペンギン急便が君と現地で意見交換したいとのことだ。,ケルシー,True
name,一些细枝末节的事情，你最好去现场看看。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,127,一些细枝末节的事情，你最好去现场看看。,細かいことは、君自身が現場へ行くのが一番いいだろう。,ケルシー,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1#2,2,,,,,,,,0,128,,,,False
name,我知道了，我现在就去。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,129,我知道了，我现在就去。,分かりました、すぐ向かいます。,アーミヤ,True
name,博士也一起——,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,130,博士也一起——,ドクターも一緒に――,アーミヤ,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1#2,1,,,,,,,,0,131,,,,False
name,我和博士还有些事情要谈。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,132,我和博士还有些事情要谈。,私とドクターには、まだ話さなければならないことがある。,ケルシー,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1,2,,,,,,,,0,133,,,,False
name,——,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,134,——,——,アーミヤ,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1#2,2,,,,,,,,0,135,,,,False
name,我可以旁听吗？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,136,我可以旁听吗？,私も聞いていていいですか？,アーミヤ,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1#2,1,,,,,,,,0,137,,,,False
name,不行。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,138,不行。,だめだ。,ケルシー,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1#3,2,,,,,,,,0,139,,,,False
name,我可以捂上耳朵——,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,140,我可以捂上耳朵——,耳をふさぐから――,アーミヤ,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1#3,1,,,,,,,,0,141,,,,False
name,不行，去吧。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,142,不行，去吧。,だめだ、行け。,ケルシー,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1#5,2,,,,,,,,0,143,,,,False
name,呜......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,144,呜......,うぅ……,アーミヤ,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1#4,2,,,,,,,,0,145,,,,False
name,凯尔希医生可不许欺负博士哦。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,146,凯尔希医生可不许欺负博士哦。,ケルシー先生、ドクターをいじめちゃだめですよ。,アーミヤ,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1#4,1,,,,,,,,0,147,,,,False
name,知道。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,148,知道。,わかっている。,ケルシー,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,0,149,,,,False
blocker,,,,,,,,,,,,,,,0.3,true,,,1,0,0,0,,,,0,150,,,,False
character,,,,,,,,,,,,,,,0,,,,,,,,,,,0,151,,,,False
blocker,,,,,,,,,,,,,,,0.3,true,,,0,,,,,,,0,152,,,,False
character,,,,,char_003_kalts_1#3,,,,,,,,,,,,,,,,,,,,,0,153,,,,False
name,......你。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,154,......你。,……お前。,ケルシー,True
name,这么简单的事情都做不到。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,155,这么简单的事情都做不到。,こんな簡単なこともできないのか。,ケルシー,True
character,,,,,char_003_kalts_1#2,,,,,,,,,,,,,,,,,,,,,0,156,,,,False
name,算了，我已经料到会是这种结果。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,157,算了，我已经料到会是这种结果。,まあいい、どうせこうなると思っていた。,ケルシー,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,0,158,,,,False
name,阿米娅是一个很坚强的孩子。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,159,阿米娅是一个很坚强的孩子。,アーミヤはとても強い子だ。,ケルシー,True
name,但是，过于坚强的外壳，总有一天会被过大的压力碾成粉尘。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,160,但是，过于坚强的外壳，总有一天会被过大的压力碾成粉尘。,だが、強すぎる殻は、いつか大きな圧力で粉々になるものだ。,ケルシー,True
name,不要让这种事情发生。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,161,不要让这种事情发生。,そんなことが起こらぬようにしてくれ。,ケルシー,True
name,如果有下次，希望你能稍微发挥点作用。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,162,如果有下次，希望你能稍微发挥点作用。,次があれば、少しは役立ってくれるといいが。,ケルシー,True
name,——？,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,163,——？,——？,ケルシー,True
name,怎么了，那个表情。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,164,怎么了，那个表情。,どうした、その顔は。,ケルシー,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,,-1,,,,,,,,0,165,,,,False
decision,请问，阿米娅的戒指是？,,,,,,,,,,,,,,,,,,,,,,请问，阿米娅的戒指是？;......,1;2,,2,166,请问，阿米娅的戒指是？,あの、アーミヤの指輪は？,,True
decision,......,,,,,,,,,,,,,,,,,,,,,,请问，阿米娅的戒指是？;......,1;2,,2,167,......,……,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,1,0,168,,,,False
character,,,,,char_003_kalts_1#2,,,,,,,,,,,,,,,,,,,,,0,169,,,,False
name,这与她的身体状况有关。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,170,这与她的身体状况有关。,それは彼女の体調に関係している。,ケルシー,True
name,如果阿米娅参与了激烈的战斗——,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,171,如果阿米娅参与了激烈的战斗——,アーミヤが激しい戦闘に参加した場合――,ケルシー,True
name,——战后，你必须立刻检查她的戒指。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,172,——战后，你必须立刻检查她的戒指。,――戦闘後、すぐに彼女の指輪を確認しなければならない。,ケルシー,True
name,无论戒指产生了什么变化，都必须向我报告。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,173,无论戒指产生了什么变化，都必须向我报告。,指輪にどんな変化があっても、必ず私に報告しろ。,ケルシー,True
blocker,,,,,,,,,,,,,,,1.2,true,,,,,,,,,,0,174,,,,False
character,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,0,175,,,,False
name,其他的，现在你还不适合知道。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,176,其他的，现在你还不适合知道。,それ以外のことは、今はまだ教えられない。,ケルシー,True
name,哦对了，两天后你还需要去检测中心做一次身体检查。别忘了。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,177,哦对了，两天后你还需要去检测中心做一次身体检查。别忘了。,それと、二日後に検査センターで身体チェックを受ける必要がある。忘れるな。,ケルシー,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,0,178,,,,False
name,——去吧。雷蛇在外面等着护送你。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,179,——去吧。雷蛇在外面等着护送你。,――行け。レイズが外で君を待っている。,ケルシー,True
delay,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0,180,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,0,181,,,,False
blocker,,,,,,,,,,,,,,,,true,,,,,,,,,,0,182,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,0,183,,,,False
