command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,duration,xstrength,ystrength,vibrato,randomness,block,name2,focus,widgetID,style,fadestyle,offsetx,a,r,g,b,afrom,rfrom,gfrom,bfrom,screenadapt,index,text,jp_text,jp_name,text_match
name,刚才的整合运动成员，似乎使用了探知型的法术。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,29,刚才的整合运动成员，似乎使用了探知型的法术。,さっきの整合運動のメンバーは、探知系の魔法を使っていたみたいだ。,インセイン,True
name,为了不暴露我们的位置，必须先发制人了。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,30,为了不暴露我们的位置，必须先发制人了。,私たちの位置をばらさないためには、先に行動しないと。,インセイン,True
name,至少，不能让整合运动之间互相联络。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,31,至少，不能让整合运动之间互相联络。,少なくとも、整合運動同士が連絡し合うのを阻止しないと。,インセイン,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,,,,,,,,,,,,,,,,32,,,,False
name,呼......终于解决了......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,33,呼......终于解决了......,ふう……やっと片付いた……,ジェシカ,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,char_219_meteo_1,2,,,,,,,,,,,,,,34,,,,False
name,霜叶，去看看情况。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,35,霜叶，去看看情况。,シュモク、様子を見てきて。,インセイン,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,36,,,,False
name,了解。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,37,了解。,了解。,シュモク,True
name,通讯器，拿一下。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,38,通讯器，拿一下。,通信機、渡して。,シュモク,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,char_219_meteo_1,2,,,,,,,,,,,,,,39,,,,False
name,好的。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,40,好的。,わかった。,インセイン,True
name,杰西卡，现在还不能懈怠。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,41,杰西卡，现在还不能懈怠。,ジェシカ、まだ油断しちゃダメだよ。,インセイン,True
character,,,,,,,,,,,,,,char_259_Jessica_1#3,,,,,,,char_219_meteo_1,1,,,,,,,,,,,,,,42,,,,False
name,这种事情......我还是知道的！,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,43,这种事情......我还是知道的！,そういうことなら……私だって分かってる！,ジェシカ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#3,,,,,,,char_219_meteo_1,2,,,,,,,,,,,,,,44,,,,False
name,好的，好的，不会再说这些啦。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,45,好的，好的，不会再说这些啦。,はいはい、もう言わないよ。,インセイン,True
name,凯尔希医生，听得见吗？,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,46,凯尔希医生，听得见吗？,ケルシードクター、聞こえてますか？,インセイン,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,False
charactercutin,,,,,,200,,0.5,,,,,,char_003_kalts_1,,,,,,true,,,1,cutin,horiz_expand_center,0,,,,,,,,,,48,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,False
name,一直在听。确实不能懈怠——,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,50,一直在听。确实不能懈怠——,ずっと聞いている。確かに油断できない――,ケルシー,True
name,杰西卡，你背后可能有敌人。,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,51,杰西卡，你背后可能有敌人。,ジェシカ、君の後ろに敵がいるかもしれない。,ケルシー,True
charactercutin,,,,,,,,0.5,,,,,,,,,,,,true,,,1,,,,,,,,,,,,,52,,,,False
character,,,,,,,,,,,,,,char_259_Jessica_1#3,,,,,,,,,,,,,,,,,,,,,,53,,,,False
name,呜哇！,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,54,呜哇！,うわっ！,ジェシカ,True
blocker,,,,,,,,0.1,,,,,,,,,,,,true,,,,,,,1,1,1,1,0,0,0,0,,55,,,,False
playsound,,$b_char_rockexplo,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,False
blocker,,,,,,,,1.5,,,,,,,,,,,,false,,,,,,,0,,,,,,,,,57,,,,False
camerashake,,,,,,,,,,,,,,,1,3,5,30,90,false,,,,,,,,,,,,,,,,58,,,,False
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,,,,59,,,,False
name,怎，怎么会......背后......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,60,怎，怎么会......背后......,な、なんで……後ろから……,整合運動メンバー,True
character,,,,,,,,,,,,,,char_259_Jessica_1#3,,,,,,,,,,,,,,,,,,,,,,61,,,,False
name,......噫？？,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,62,......噫？？,……えっ？？,ジェシカ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,63,,,,False
name,我能从背后攻击你，说明你动作太慢了。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,64,我能从背后攻击你，说明你动作太慢了。,後ろから攻撃できたのは、君の動きが遅すぎたからだよ。,シュモク,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,False
playsound,,$p_imp_axe_h,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,False
camerashake,,,,,,,,,,,,,,,1,3,5,30,90,true,,,,,,,,,,,,,,,,67,,,,False
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,68,,,,False
name,暂时没事了，凯尔希医生。我已经解决了敌人。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,69,暂时没事了，凯尔希医生。我已经解决了敌人。,ひとまず大丈夫です、ケルシードクター。敵は片付けました。,シュモク,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,char_193_frostl_1,1,,,,,,,,,,,,,,70,,,,False
name,你的速度确实好快......,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,71,你的速度确实好快......,本当に君の速さには驚かされるよ……,インセイン,True
name,我甚至都没看清楚你是怎么摸过去，又那么快赶回来的。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,72,我甚至都没看清楚你是怎么摸过去，又那么快赶回来的。,どうやって近づいて、あんなに早く戻ってきたのか、見えなかったくらいだ。,インセイン,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,char_193_frostl_1,2,,,,,,,,,,,,,,73,,,,False
name,——其实我还没去侦查。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,74,——其实我还没去侦查。,――実はまだ偵察していないよ。,シュモク,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,char_193_frostl_1,1,,,,,,,,,,,,,,75,,,,False
name,......,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,76,......,……,インセイン,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,-1,,,,,,,,,,,,,,77,,,,False
charactercutin,,,,,,200,,0.5,,,,,,char_003_kalts_1,,,,,,true,,,1,cutin,horiz_expand_center,0,,,,,,,,,,78,,,,False
name,红联系我了。,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,79,红联系我了。,ホンが私に連絡してきた。,ケルシー,True
name,龙门内部的潜藏着的整合运动还没有活动的迹象。,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,80,龙门内部的潜藏着的整合运动还没有活动的迹象。,龍門内部に潜んでいる整合運動は、まだ動きが見られない。,ケルシー,True
name,现阶段还是不要打草惊蛇为妙。,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,81,现阶段还是不要打草惊蛇为妙。,今の段階では、むやみに騒がない方がいい。,ケルシー,True
name,顺便，综合其它活跃在废城的侦察小队的信息，藏匿在废城的整合运动的规模，可能远比想象中要大。,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,82,顺便，综合其它活跃在废城的侦察小队的信息，藏匿在废城的整合运动的规模，可能远比想象中要大。,ちなみに、他の廃墟で活動している偵察隊の情報を総合すると、この廃墟に隠れている整合運動の規模は、想像以上かもしれない。,ケルシー,True
charactercutin,,,,,,,,0.5,,,,,,,,,,,,true,,,1,,,,,,,,,,,,,83,,,,False
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,char_219_meteo_1,2,,,,,,,,,,,,,,84,,,,False
name,也就是说，中奖的反而是我们这边？,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,85,也就是说，中奖的反而是我们这边？,つまり、当たりを引いたのは私たちの方か？,インセイン,True
name,作为侦查小队，还是有一些压力的。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,86,作为侦查小队，还是有一些压力的。,偵察隊としては、やっぱりプレッシャーがあるね。,インセイン,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,char_219_meteo_1,1,,,,,,,,,,,,,,87,,,,False
name,如果这么说的话，到现在为止，我们所消灭的，已经是第二支整合运动小队了......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,88,如果这么说的话，到现在为止，我们所消灭的，已经是第二支整合运动小队了......,そう考えると、今までに倒したのは、もう二つ目の整合運動の小隊なんだ……,ジェシカ,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,char_219_meteo_1,2,,,,,,,,,,,,,,89,,,,False
name,你能确认我们第一次交火的敌人的身份吗，杰西卡？,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,90,你能确认我们第一次交火的敌人的身份吗，杰西卡？,最初に交戦した敵の身元は確認できる？ジェシカ。,インセイン,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,char_219_meteo_1,1,,,,,,,,,,,,,,91,,,,False
name,嗯，应该没错的。我有好好确认过，再让你射击的。,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,92,嗯，应该没错的。我有好好确认过，再让你射击的。,うん、間違いないと思う。ちゃんと確認してから君に撃ってもらったから。,ジェシカ,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,char_219_meteo_1,2,,,,,,,,,,,,,,93,,,,False
name,......怪我，光顾着计算弹道了。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,94,......怪我，光顾着计算弹道了。,……私のせいだな、弾道計算に夢中で。,インセイン,True
charactercutin,,,,,,200,,0.5,,,,,,char_003_kalts_1,,,,,,true,,,1,cutin,horiz_expand_center,0,,,,,,,,,,95,,,,False
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,char_219_meteo_1,-1,,,,,,,,,,,,,,96,,,,False
name,敌人的数量？,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,97,敌人的数量？,敵の数は？,ケルシー,True
charactercutin,,,,,,,,0.5,,,,,,,,,,,,true,,,1,,,,,,,,,,,,,98,,,,False
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,,,,,,,,,99,,,,False
name,还不清楚具体数字。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,100,还不清楚具体数字。,まだ正確な数は分からない。,インセイン,True
name,霜叶，你那边如何了？,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,101,霜叶，你那边如何了？,シュモク、そっちはどう？」,インセイン,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,102,,,,False
name,......,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,103,......,……,シュモク,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,,,,,,,,,104,,,,False
name,怎么了......？,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,105,怎么了......？,どうした……？,インセイン,True
charactercutin,,,,,,200,,0.5,,,,,,char_003_kalts_1,,,,,,true,,,1,cutin,horiz_expand_center,0,,,,,,,,,,106,,,,False
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,-1,,,,,,,,,,,,,,107,,,,False
name,你们去吧，有问题随时反馈。,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,108,你们去吧，有问题随时反馈。,行ってくれ、何かあればすぐに報告を。,ケルシー,True
charactercutin,,,,,,,,0.5,,,,,,,,,,,,true,,,1,,,,,,,,,,,,,109,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,False
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,char_219_meteo_1,1,,,,,,,,,,,,,,111,,,,False
name,是。,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,112,是。,はい。,ジェシカ,True
name,我们......过去她那里看看吧。,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,113,我们......过去她那里看看吧。,私たち……彼女のところに行ってみよう。,ジェシカ,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,char_219_meteo_1,2,,,,,,,,,,,,,,114,,,,False
name,......,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,115,......,……,インセイン,True
playmusic,,$escape_loop,,,,,,,$escape_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,116,,,,False
blocker,,,,,,,,0.6,,,,,,,,,,,,true,,,,,,,1,0,0,0,,,,,,117,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,False
background,,,,,bg_cher_6,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,coverall,119,,,,False
blocker,,,,,,,,0.6,,,,,,,,,,,,true,,,,,,,0,,,,,,,,,120,,,,False
delay,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,121,,,,False
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,char_219_meteo_1,2,,,,,,,,,,,,,,122,,,,False
name,发生了什么？,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,123,发生了什么？,何があった？,インセイン,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,char_219_meteo_1,1,,,,,,,,,,,,,,124,,,,False
name,......你们没感受到吗？,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,125,......你们没感受到吗？,……気づかなかったのか？,シュモク,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,char_259_Jessica_1,2,,,,,,,,,,,,,,126,,,,False
name,嗯？怎么......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,127,嗯？怎么......,え？どうして……,ジェシカ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,char_219_meteo_1,1,,,,,,,,,,,,,,128,,,,False
name,温度。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,129,温度。,温度だ。,シュモク,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,char_259_Jessica_1,2,,,,,,,,,,,,,,130,,,,False
name,这么一说......是有点冷......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,131,这么一说......是有点冷......,そう言われてみれば……ちょっと寒い……,ジェシカ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,char_259_Jessica_1,1,,,,,,,,,,,,,,132,,,,False
name,温度。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,133,温度。,温度だ。,シュモク,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,char_219_meteo_1,2,,,,,,,,,,,,,,134,,,,False
name,......的确，和城区外，至少有五度以上的温差。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,135,......的确，和城区外，至少有五度以上的温差。,……確かに、街の外と比べると、少なくとも五度は差がある。,インセイン,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,char_219_meteo_1,1,,,,,,,,,,,,,,136,,,,False
name,平白无故天气就变了......怎么会......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,137,平白无故天气就变了......怎么会......,突然天気が変わった……どうして……,ジェシカ,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,char_193_frostl_1,2,,,,,,,,,,,,,,138,,,,False
name,抬头看。天气没有变。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,139,抬头看。天气没有变。,顔を上げて。天気は変わっていない。,シュモク,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,char_193_frostl_1,1,,,,,,,,,,,,,,140,,,,False
name,......啊？,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,141,......啊？,……あれ？,ジェシカ,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,char_193_frostl_1,2,,,,,,,,,,,,,,142,,,,False
name,不是天气。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,143,不是天气。,天気じゃない。,シュモク,True
name,是这里，来，摸一摸。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,144,是这里，来，摸一摸。,ここだよ、触ってみて。,シュモク,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,char_193_frostl_1,1,,,,,,,,,,,,,,145,,,,False
name,......废墟的墙体？,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,146,......废墟的墙体？,……廃墟の壁か？,インセイン,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,char_193_frostl_1,2,,,,,,,,,,,,,,147,,,,False
name,是的。这堵墙，在吸收热量。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,148,是的。这堵墙，在吸收热量。,そう。この壁が熱を吸収している。,シュモク,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,char_193_frostl_1,1,,,,,,,,,,,,,,149,,,,False
name,......怎么会？！,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,150,......怎么会？！,……な、なんで？！,ジェシカ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,151,,,,False
name,吸温过程，在我们来之前，可能就已经结束了。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,152,吸温过程，在我们来之前，可能就已经结束了。,熱を吸う過程は、私たちが来る前にたぶん終わっていたんだ。,シュモク,True
name,墙体正在回温。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,153,墙体正在回温。,壁がまた温め直している。,シュモク,True
name,只是，为什么？,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,154,只是，为什么？,でも、なぜ？,シュモク,True
name,是什么人，留下了这种痕迹？,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,155,是什么人，留下了这种痕迹？,誰が、こんな痕跡を残したのか？,シュモク,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,char_193_frostl_1,1,,,,,,,,,,,,,,156,,,,False
name,......在这个地方活动的，就只有整合运动了。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,157,......在这个地方活动的，就只有整合运动了。,……ここで活動していたのは、整合運動しかいないはずだ。,インセイン,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,,,,,,,,,158,,,,False
name,整合运动？他们......怎么做到的？,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,159,整合运动？他们......怎么做到的？,整合運動？彼らは……どうやって？,ジェシカ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,160,,,,False
name,感染者......,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,161,感染者......,感染者……,シュモク,True
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,162,,,,False
blocker,,,,,,,,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,163,,,,False
name,我听别人说过这么一个传说。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,164,我听别人说过这么一个传说。,私はこんな伝説を人から聞いたことがある。,シュモク,True
name,——一个，关于雪怪的传说。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,165,——一个，关于雪怪的传说。,――雪男についての伝説だ。,シュモク,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,,,,,,,,,166,,,,False
name,......真是......令人讨厌的感觉。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,167,......真是......令人讨厌的感觉。,……本当に……嫌な予感がするな。,インセイン,True
blocker,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,168,,,,False
