command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,block,a,r,g,b,options,values,references,initr,x,y,xScale,yScale,screenadapt,option_number,index,text,jp_text,jp_name,text_match
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,,,,0,24,,,,False
name,明白！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,0,25,明白！,了解！,統合運動メンバー,True
camerashake,,,,,,,,,,,,,,,,,0.5,2,3,30,90,false,,,,,,,,,,,,,,0,26,,,,False
blocker,,,,,,,,0.02,,,,,,,,,,,,,,true,0.7,0.95,0.95,0.5,,,,,,,,,,0,27,,,,False
playsound,,$d_gen_signalbomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,,,true,0,0.95,0.95,0.95,,,,,,,,,,0,29,,,,False
delay,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,0,30,,,,False
blocker,,,,,,,,0.02,,,,,,,,,,,,,,true,0.7,1,0.1,0.3,,,,,,,,,,0,31,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,,,true,0,0.95,0.95,0.95,,,,,,,,,,0,32,,,,False
character,,,,,,,,,,,,,,char_1500_skulsr,,,,,,,,,,,,,,,,,,,,,,0,33,,,,False
name,......撤退。,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,0,34,......撤退。,……撤退だ。,スイグツ,True
dialog,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,,,,False
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0,36,,,,False
name,哼，罗德岛的懦夫......,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,0,37,哼，罗德岛的懦夫......,ふん、ロドスの臆病者どもめ……,スイグツ,True
name,下次见面就是死期了。,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,0,38,下次见面就是死期了。,次に会う時がお前たちの死ぬ時だ。,スイグツ,True
dialog,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,,,,False
character,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,41,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,0,42,,,,False
name,——整合运动——撤退了？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,43,——整合运动——撤退了？,――統合運動――撤退したの？,アーミヤ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1#6,1,,,,,,,,,,,,,,,,,,,,0,44,,,,False
name,撤退非常迅速，应该是事先策划好的。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,0,45,撤退非常迅速，应该是事先策划好的。,撤退がとても早い、事前に計画していたはずだ。,フランカ,True
name,嘴上放狠话，跑得倒是很快啊。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,0,46,嘴上放狠话，跑得倒是很快啊。,強気なことを言いつつ、逃げ足は速いな。,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1#4,2,,,,,,,,,,,,,,,,,,,,0,47,,,,False
name,......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,48,......,……,アーミヤ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1#7,2,,,,,,,,,,,,,,,,,,,,0,49,,,,False
name,情况有些......不对劲。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,50,情况有些......不对劲。,状況がちょっと……おかしい。,アーミヤ,True
character,,,,,,,,,,,,,,char_107_liskam_1,char_002_amiya_1#7,1,,,,,,,,,,,,,,,,,,,,0,51,,,,False
name,你是说——,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,0,52,你是说——,つまり――,レイズ,True
character,,,,,,,,,,,,,,char_107_liskam_1,char_002_amiya_1#7,-1,,,,,,,,,,,,,,,,,,,,0,53,,,,False
decision,指出整合运动的目标可能不是罗德岛,,,,,,,,,,,,,,,,,,,,,,,,,,指出整合运动的目标可能不是罗德岛,1,,,,,,,,1,54,指出整合运动的目标可能不是罗德岛,統合運動の目標はロドスではない可能性を指摘する,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,55,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,0,56,,,,False
name,——！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,57,——！,――！,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,0,58,,,,False
name,整合运动确实可能，只是在拖延我们的脚步......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,59,整合运动确实可能，只是在拖延我们的脚步......,統合運動は確かに、私たちの動きを遅らせていただけかも……,アーミヤ,True
name,这样一来......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,60,这样一来......,そうなると……,アーミヤ,True
name,糟了，近卫局有危险！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,61,糟了，近卫局有危险！,まずい、近衛局が危険だ！,アーミヤ,True
name,......我们应该立刻去支援陈长官！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,62,......我们应该立刻去支援陈长官！,……すぐにチェン長官を援護しに行かないと！,アーミヤ,True
name,芙兰卡，立刻召回侦察小队！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,63,芙兰卡，立刻召回侦察小队！,フランカ、すぐ偵察小隊を召集して！,アーミヤ,True
name,雷蛇，尝试联系陈长官！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,64,雷蛇，尝试联系陈长官！,レイズ、チェン長官と連絡を取ってみて！,アーミヤ,True
blocker,,,,,,,,0.6,,,,,,,,,,,,,,true,1,0,0,0,,,,2,,,,,,0,65,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,66,,,,False
blocker,,,,,,,,0.6,,,,,,,,,,,,,,true,0,,,,,,,,,,,,,0,67,,,,False
character,,,,,,,,,,,,,,char_010_chen_1#2,char_015_lmg,1,,,,,,,,,,,,,,,,,,,,0,68,,,,False
name,特别督察组的主力部队呢！怎么还没有增援我们！,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,69,特别督察组的主力部队呢！怎么还没有增援我们！,特別督察隊の主力部隊はどうした！まだ援軍は来ないのか！,チェン,True
character,,,,,,,,,,,,,,char_010_chen_1#2,char_015_lmg,2,,,,,,,,,,,,,,,,,,,,0,70,,,,False
name,通讯说，他们被整合运动拖住了......！,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,0,71,通讯说，他们被整合运动拖住了......！,通信によると、彼らは統合運動に足止めされているとか……！,近衛局隊員,True
character,,,,,,,,,,,,,,char_010_chen_1#2,char_015_lmg,1,,,,,,,,,,,,,,,,,,,,0,72,,,,False
name,怎么可能，就凭整合运动那帮乌合之众！,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,73,怎么可能，就凭整合运动那帮乌合之众！,まさか、あの統合運動の寄せ集め共だけで！,チェン,True
blocker,,,,,,,,0.6,,,,,,,,,,,,,,true,1,0,0,0,,,,,,,,,,0,74,,,,False
character,,,,,,,,,,,,,,char_010_chen_1#2,char_015_lmg,2,,,,,,,,,,,,,,,,,,,,0,75,,,,False
name,......而且对方只有......一个人......,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,0,76,......而且对方只有......一个人......,……しかも、相手は……一人だけで……,近衛局隊員,True
character,,,,,,,,,,,,,,char_010_chen_1#3,,,,,,,,,,,,,,,,,,,,,,0,77,,,,False
name,......,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,78,......,……,チェン,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,79,,,,False
image,,,,,avg_ep02,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,coverall,0,80,,,,False
blocker,,,,,,,,0.6,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,0,81,,,,False
character,,,,,,,,,,,,,,char_010_chen_1#5,,,,,,,,,,,,,,,,,,,,,,0,82,,,,False
name,除非......,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,0,83,除非......,まさか……,チェン,True
blocker,,,,,,,,0.6,,,,,,,,,,,,,,true,1,0,0,0,,,,,,,,,,0,84,,,,False
image,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,85,,,,False
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0,86,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,0,87,,,,False
