command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,index,text,jp_text,jp_name,text_match
name,是的，也许是情报，也许是信息......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,19,是的，也许是情报，也许是信息......,そうです、もしかしたら情報かもしれませんし、何か他のものかもしれません……,アーミヤ,True
name,所以龙门和整合运动，都想得到她。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,20,所以龙门和整合运动，都想得到她。,だから龍門もレユニオンも、彼女を手に入れたいんです。,アーミヤ,True
character,,,,,,,,,,,,,,,char_107_liskam_1,char_002_amiya_1,1,,,,,,,,,,,,,,,,,,,,21,,,,False
name,——真是场危险的较量。,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,22,——真是场危险的较量。,――本当に危険な駆け引きだな。,レイズ,True
character,,,,,,,,,,,,,,,char_107_liskam_1,char_002_amiya_1,2,,,,,,,,,,,,,,,,,,,,23,,,,False
name,不管是米莎、我们还是近卫局，都无法置身其外。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,24,不管是米莎、我们还是近卫局，都无法置身其外。,ミーシャも、私たちも、近衛局も、誰も無関係ではいられません。,アーミヤ,True
character,,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1,1,,,,,,,,,,,,,,,,,,,,25,,,,False
name,我们是不是被夹在很尴尬的位置啊？,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,26,我们是不是被夹在很尴尬的位置啊？,私たち、すごく面倒な立場に挟まれてない？,フランカ,True
name,什么都不知道，又什么都要管......,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,27,什么都不知道，又什么都要管......,何も知らないのに、全部に関わらなきゃいけないなんて……,フランカ,True
character,,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1,2,,,,,,,,,,,,,,,,,,,,28,,,,False
name,不，不清楚呢......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,29,不，不清楚呢......,ううん、よく分からないわ……,アーミヤ,True
name,但陈长官那里......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,30,但陈长官那里......,でも、チェン長官の所は……,アーミヤ,True
name,我有预感。事情不会这么简单就结束。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,31,我有预感。事情不会这么简单就结束。,私には予感があるんです。事はそんなに簡単には終わりません。,アーミヤ,True
blocker,,,,,,,,,0.5,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,32,,,,False
blocker,,,,,,,,,0.5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,33,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,35,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1,char_103_angel_1,2,,,,,,,,,,,,,,,,,,,,36,,,,False
name,阿米娅，我们还有什么任务吗？,,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,,,,,,,,37,阿米娅，我们还有什么任务吗？,アーミヤ、他に任務はある？,エクシア,True
name,需要我们陪同你回罗德岛吗？,,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,,,,,,,,38,需要我们陪同你回罗德岛吗？,私たちがロドスまで一緒に戻らなくていいの？,エクシア,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_103_angel_1,1,,,,,,,,,,,,,,,,,,,,39,,,,False
name,不用了，现在我们战斗起来没有什么顾忌，应该是没问题的。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,40,不用了，现在我们战斗起来没有什么顾忌，应该是没问题的。,大丈夫です、今なら私たちも自由に戦えますから大丈夫です。,アーミヤ,True
character,,,,,,,,,,,,,,,char_102_texas_1,,,,,,,,,,,,,,,,,,,,,,41,,,,False
name,如果是这样的话，我们就回去待命了。,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,,,,42,如果是这样的话，我们就回去待命了。,そういうことなら、私たちは戻って待機します。,テキサス,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,,43,,,,False
name,没问题。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,44,没问题。,問題ありません。,アーミヤ,True
name,接下来，希望你们能继续进行侦察活动，调查整合运动在龙门内渗透的具体情况。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,45,接下来，希望你们能继续进行侦察活动，调查整合运动在龙门内渗透的具体情况。,このあとも、レユニオンが龍門内部にどう浸透しているか、引き続き偵察活動をお願いします。,アーミヤ,True
name,我们虽然已经把米莎交给了近卫局，但整合运动......依然让我感到些许不安。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,46,我们虽然已经把米莎交给了近卫局，但整合运动......依然让我感到些许不安。,ミーシャは近衛局に引き渡しましたが、レユニオンにはまだ不安があります。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_103_angel_1,2,,,,,,,,,,,,,,,,,,,,47,,,,False
name,好说~那我们走了~,,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,,,,,,,,48,好说~那我们走了~,いいよ～じゃあ、行ってきます～,エクシア,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_103_angel_1,1,,,,,,,,,,,,,,,,,,,,49,,,,False
name,嗯，交给你们了。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,50,嗯，交给你们了。,ええ、よろしくお願いします。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,51,,,,False
name,大家，我们不知道还有多少整合运动在这里潜伏。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,52,大家，我们不知道还有多少整合运动在这里潜伏。,みなさん、まだここにどれだけレユニオンが潜伏しているか分かりません。,アーミヤ,True
name,做好准备，不要放松警惕。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,53,做好准备，不要放松警惕。,しっかり準備して、警戒を怠らないでください。,アーミヤ,True
name,接下来，我们将继续在高层建筑内部转移。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,54,接下来，我们将继续在高层建筑内部转移。,この後は、高層ビル内部を移動し続けます。,アーミヤ,True
name,必要的话，可以通过天台移动。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,55,必要的话，可以通过天台移动。,必要があれば、屋上を通って移動しましょう。,アーミヤ,True
name,这样，我们能获得比在街头巷尾和整合运动缠斗更大的优势。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,56,这样，我们能获得比在街头巷尾和整合运动缠斗更大的优势。,これなら、路地でレユニオンと戦うよりも有利に立ち回れます。,アーミヤ,True
name,有必要的话，我们也要引诱整合运动与我们作战，在我们的掌控下！,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,57,有必要的话，我们也要引诱整合运动与我们作战，在我们的掌控下！,必要なら、こちらのコントロールでレユニオンを誘導して戦いましょう！,アーミヤ,True
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,False
name,明白！,,,,,,,,,,,,,,干员们,,,,,,,,,,,,,,,,,,,,,,59,明白！,了解です！,オペレーターたち,True
blocker,,,,,,,,,1,,,,,,,,,1,,0,0,0,true,,,,,,,,,,,,,,60,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,False
background,,,,,coverall,bg_wild_a,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,False
blocker,,,,,,,,,1,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,63,,,,False
character,,,,,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,,,,,,,,,,64,,,,False
name,塔露拉。,,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,65,塔露拉。,タルラ。,キングスレイヤー,True
name,一切都已安排妥当。,,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,66,一切都已安排妥当。,全て手はず通りです。,キングスレイヤー,True
background,,,,,coverall,,,,0,,,,,,,,,,,,,,true,,,,,,,,,,,,,,67,,,,False
character,,,,,,,,,1,,,,,,char_011_talula_1,,,,,,,,,,,,,,,,,,,,,,68,,,,False
name,——,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,69,——,――,タルラ,True
name,该动身了。,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,70,该动身了。,出発の時だ。,タルラ,True
character,,,,,,,,,,,,,,,char_011_talula_1,char_1502_crowns,2,,,,,,,,,,,,,,,,,,,,71,,,,False
name,......,,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,72,......,……,キングスレイヤー,True
character,,,,,,,,,,,,,,,char_011_talula_1,char_1502_crowns,1,,,,,,,,,,,,,,,,,,,,73,,,,False
name,——说。,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,74,——说。,――話せ。,タルラ,True
character,,,,,,,,,,,,,,,char_011_talula_1,char_1502_crowns,2,,,,,,,,,,,,,,,,,,,,75,,,,False
name,进攻龙门对于整合运动，确实有战略性的意义。,,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,76,进攻龙门对于整合运动，确实有战略性的意义。,龍門への進撃は、レユニオンにとって確かに戦略的な意味がある。,キングスレイヤー,True
name,拿下龙门，整合运动能获得种种优势。,,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,77,拿下龙门，整合运动能获得种种优势。,龍門を制圧できれば、レユニオンは様々な利点を得られる。,キングスレイヤー,True
name,但是风险与代价都很高。,,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,78,但是风险与代价都很高。,だが、リスクも犠牲も大きい。,キングスレイヤー,True
name,——为什么那么执着？,,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,79,——为什么那么执着？,――なぜそこまでこだわる？,キングスレイヤー,True
character,,,,,,,,,,,,,,,char_011_talula_1,char_1502_crowns,1,,,,,,,,,,,,,,,,,,,,80,,,,False
name,————,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,81,————,――――――,タルラ,True
blocker,,,,,,,,,0.6,,,,,,,,,1,,0,0,0,true,,,,,,,,,,,,,,82,,,,False
background,,,,,coverall,bg_lungmen_m,,,0,,,,,,,,,,,,,,,0,-20,1.1,1.1,,,,,,,,,,83,,,,False
blocker,,,,,,,,,0.6,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,84,,,,False
backgroundtween,,,,,,,,,,,,,,,,,,,,,,,false,,,,,0,-20,0,0,1.1,1.1,1,1,17,85,,,,False
name,你看见那座建筑物了吗。,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,86,你看见那座建筑物了吗。,あの建物が見えるか。,タルラ,True
name,我看得见。,,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,87,我看得见。,見える。,キングスレイヤー,True
blocker,,,,,,,,,1,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,88,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,False
background,,,,,coverall,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,False
blocker,,,,,,,,,1,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,91,,,,False
character,,,,,,,,,,,,,,,char_011_talula_1,,,,,,,,,,,,,,,,,,,,,,92,,,,False
name,那是龙门的象征。也是——,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,93,那是龙门的象征。也是——,あれは龍門の象徴だ。そして――,タルラ,True
name,——————,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,94,——————,――――――――,タルラ,True
name,我回到这里，不仅是要夺回本属于感染者的一切。,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,95,我回到这里，不仅是要夺回本属于感染者的一切。,私がここに戻ったのは、感染者たちのものを取り戻すためだけじゃない。,タルラ,True
name,我还要让他——付出代价。,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,96,我还要让他——付出代价。,さらに、あいつに――代償を払わせるためだ。,タルラ,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,97,,,,False
background,,,,,coverall,,,,2,,,,,,,,,,,,,,false,,,,,,,,,,,,,,98,,,,False
name,而且——你难道不觉得，这一切也很有趣吗？,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,99,而且——你难道不觉得，这一切也很有趣吗？,それに――お前も思わないか？このすべてが面白いとは？,タルラ,True
name,对吧，塔露拉——？,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,100,对吧，塔露拉——？,そうだろ、タルラ――？,タルラ,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,101,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,102,,,,False
