command,text_orig,key,is_skippable,fit_mode,name,image,width,height,fadetime,time,intro,volume,crossfade,delay,name2,focus,a,r,g,b,block,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,options,values,references,option_number,index,text,jp_text,jp_name,text_match
background,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,,,,False
blocker,,,,,,,,,,,,,,,,,0,0,0,0,true,,,,,,,,,,,,,,,,,0,40,,,,False
image,,,,,,bg_0_ori,,,1,,,,,,,,,,,,,-100,0,1.2,1.2,,,,,,,,,,,,,0,41,,,,False
imagetween,,,,,,,,,,,,,,,,,,,,,false,,,,,-100,0,0,0,1.2,1.2,1.2,1.2,10,,,,0,42,,,,False
name,感染者本就很难相信别人。,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,感染者本就很难相信别人。,感染者はもともと他人を信じるのが難しいんだ。,エース,True
name,经历过那么多苦难，当然会变得保守与顽固。,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,44,经历过那么多苦难，当然会变得保守与顽固。,あれほど苦しみを経験すれば、保守的にも頑固にもなるさ。,エース,True
name,至少他们那样做......我能理解，也愿意原谅他们。不提防他人，就会被他人伤害。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,至少他们那样做......我能理解，也愿意原谅他们。不提防他人，就会被他人伤害。,少なくとも、彼らの行動は……私は理解できますし、許してあげたいと思います。警戒を怠れば、人から傷つけられてしまいます。,アーミヤ,True
name,何况，就连感染者之间，也是没法轻易互相信任的。而且并不是每个人都愿意像我们一样冒险......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,何况，就连感染者之间，也是没法轻易互相信任的。而且并不是每个人都愿意像我们一样冒险......,それに、感染者同士でも簡単に信じ合うことはできません。それに、私たちのように冒険したいと思う人ばかりではないのです……,アーミヤ,True
blocker,,,,,,,,,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,0,47,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,48,,,,False
blocker,,,,,,,,,,,,,,,,,0,0,0,0,true,,,,,,,,,,,,,,,,,0,49,,,,False
background,,,,,,bg_cher_1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,,,,False
decision,感染者诊所？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,感染者诊所？,1,,1,51,感染者诊所？,感染者の診療所？,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,52,,,,False
character,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,53,,,,False
name,啊......他们是一家只医治感染者的黑市诊所。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54,啊......他们是一家只医治感染者的黑市诊所。,あの……彼らは感染者だけを治療する闇診療所です。,アーミヤ,True
name,鉴于感染者的社会地位，大家是不可能在街道上抛头露面的。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,55,鉴于感染者的社会地位，大家是不可能在街道上抛头露面的。,感染者の社会的立場を考えると、みんなが通りで堂々と姿を現すことはできません。,アーミヤ,True
name,有些不愿被抛进隔离区的感染者，依然也会在城市里，小心翼翼地掩藏自己的身姿，苟活着......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,56,有些不愿被抛进隔离区的感染者，依然也会在城市里，小心翼翼地掩藏自己的身姿，苟活着......,隔離区に入れられたくない感染者たちは、それでも都市の中でこっそりと身を潜め、なんとか生き延びているのです……,アーミヤ,True
name,阿撒兹勒，就是向这些感染者提供服务的。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,57,阿撒兹勒，就是向这些感染者提供服务的。,アザゼルは、そのような感染者にサービスを提供しています。,アーミヤ,True
character,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,58,,,,False
name,......它们，一定是拒绝了整合运动的合作要求。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,59,......它们，一定是拒绝了整合运动的合作要求。,……あの人たちはきっと、統合運動からの協力要請を断ったのでしょう。,アーミヤ,True
name,博士，我之前和你说过，我们得了病吧？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,60,博士，我之前和你说过，我们得了病吧？,ドクター、前に私、私たちが病気にかかっているとお話ししましたよね？,アーミヤ,True
character,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,61,,,,False
name,......这种病，不仅会杀死我们，也会让我们拥有不同于常人的力量。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,62,......这种病，不仅会杀死我们，也会让我们拥有不同于常人的力量。,……この病は、私たちを殺すだけでなく、普通の人と違う力を与えます。,アーミヤ,True
name,我不用法杖，就能释放源石技艺哦。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,63,我不用法杖，就能释放源石技艺哦。,私は杖を使わなくても源石術を使うことができます。,アーミヤ,True
character,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,64,,,,False
name,然而，这种病，不止在生理上，会消磨我们的生命......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,65,然而，这种病，不止在生理上，会消磨我们的生命......,しかし、この病気は肉体的なものだけではなく、私たちの命を削っていきます……,アーミヤ,True
name,它也会让我们再也不能像正常人一样生活。正常人的社会，会剥去你的一切。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,66,它也会让我们再也不能像正常人一样生活。正常人的社会，会剥去你的一切。,そして、この病によって私たちはもう普通の人のような生活はできません。普通の人の社会は、あなたの全てを奪ってしまいます。,アーミヤ,True
name,这座切尔诺伯格城，已经是所有规则的象征了。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,67,这座切尔诺伯格城，已经是所有规则的象征了。,このチェルノボーグの街こそが、すべての掟の象徴です。,アーミヤ,True
name,驱逐感染者，消灭感染者，鄙夷感染者，恐惧感染者......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,68,驱逐感染者，消灭感染者，鄙夷感染者，恐惧感染者......,感染者を追放し、排除し、軽蔑し、恐れる……,アーミヤ,True
character,,,,,char_148_nearl_1#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,69,,,,False
name,......,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70,......,……,リンコウ,True
name,最后，落到如此下场。,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,71,最后，落到如此下场。,結局は、このような結末を迎えるのか。,リンコウ,True
character,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,72,,,,False
name,可是，又有多少感染者，会有机会，选择整合运动，甚至是其他的感染者组织，或者罗德岛？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,73,可是，又有多少感染者，会有机会，选择整合运动，甚至是其他的感染者组织，或者罗德岛？,でも、どれほどの感染者が、統合運動や他の感染者組織、あるいはロドスを選ぶ機会があるでしょうか？,アーミヤ,True
name,大多数感染者，不过是失去了所有。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,74,大多数感染者，不过是失去了所有。,ほとんどの感染者は、全てを失ってしまうだけなのです。,アーミヤ,True
name,这个诊所，大概，也曾经是最后那么几个感染者，温暖的家吧......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,75,这个诊所，大概，也曾经是最后那么几个感染者，温暖的家吧......,この診療所も、多分、最後に残った数人の感染者にとっては温かい家だったのでしょう……,アーミヤ,True
name,矿石病是无药可医的。至少此时此刻，感染者只能在绝望中......痛苦地失去生命。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,76,矿石病是无药可医的。至少此时此刻，感染者只能在绝望中......痛苦地失去生命。,鉱石病は治療法がありません。少なくとも今は、感染者が絶望の中で……苦しみながら命を落とすしかないのです。,アーミヤ,True
name,而后他们的遗体......也会成为新的传染源。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,77,而后他们的遗体......也会成为新的传染源。,その後も遺体が……新たな感染源となってしまいます。,アーミヤ,True
name,不同于常人的特殊力量，染上之后就必然会死去的可怕传染病——,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,78,不同于常人的特殊力量，染上之后就必然会死去的可怕传染病——,普通の人とは違う特殊な力を持ち、かかったら必ず死ぬ恐ろしい伝染病――,アーミヤ,True
name,感染者......被这片大地上的多数人所恐惧。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,79,感染者......被这片大地上的多数人所恐惧。,感染者は……この大地の多くの人に恐れられています。,アーミヤ,True
name,——,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80,——,――,アーミヤ,True
name,光是这么两三句话，博士大概也没法切身体会吧。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,81,光是这么两三句话，博士大概也没法切身体会吧。,この二、三言だけでは、ドクターにもなかなか実感できないと思います。,アーミヤ,True
name,但当你面对这些问题导致的后果时......你会明白的。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,82,但当你面对这些问题导致的后果时......你会明白的。,でも、この問題がもたらす結果に直面したとき……きっとわかるようになります。,アーミヤ,True
character,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,83,,,,False
name,你会明白，感染者的处境，究竟有多现实。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,84,你会明白，感染者的处境，究竟有多现实。,感染者の置かれている現実が、どれだけ厳しいのか、きっと分かります。,アーミヤ,True
character,,,,,char_002_amiya_1#4,,,,,,,,,,char_130_doberm_ex,2,,,,,,,,,,,,,,,,,,,,,,0,85,,,,False
name,像罗德岛这样不分彼此，或是整合运动那样狂热的排外拥内的感染者组织，都很少见。,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,86,像罗德岛这样不分彼此，或是整合运动那样狂热的排外拥内的感染者组织，都很少见。,ロドスのように分け隔てがなく、また統合運動のような過激に排外的な感染者組織も本当に稀有だ。,ドーベルマン,True
name,我能理解你的怒气，但我也能理解那个小诊所的苦衷。,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,87,我能理解你的怒气，但我也能理解那个小诊所的苦衷。,君の怒りは分かるが、あの小さな診療所の苦労も理解できる。,ドーベルマン,True
character,,,,,char_013_riop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,88,,,,False
name,......我明白了。,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,89,......我明白了。,……わかった。,前衛オペレーター,True
name,可能，他们是真的碰上了什么问题吧......,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,可能，他们是真的碰上了什么问题吧......,きっと、何らかの問題があったのだろう……,前衛オペレーター,True
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,91,,,,False
name,至少现在，我们的怨气，都该和这个诊所的曾经一样，化作粉尘。,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,92,至少现在，我们的怨气，都该和这个诊所的曾经一样，化作粉尘。,少なくとも今は、私たちの怨みもこの診療所の過去と同じように、塵となるべきだ。,ドーベルマン,True
character,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,93,,,,False
name,罗德岛的各位都是好人。也许会有很多人因畏惧与敌意，相互间产生了种种隔阂......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,94,罗德岛的各位都是好人。也许会有很多人因畏惧与敌意，相互间产生了种种隔阂......,ロドスの皆さんは皆良い人です。でも、恐れや敵意によって、色々な壁が生まれてしまうことも多いです……,アーミヤ,True
name,但只要在罗德岛，大家一定能解开误会。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,95,但只要在罗德岛，大家一定能解开误会。,でも、ロドスにいれば、きっと皆さんは誤解を解くことができます。,アーミヤ,True
name,阿撒兹勒......罗德岛，又何尝不是一个阿撒兹勒呢？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,96,阿撒兹勒......罗德岛，又何尝不是一个阿撒兹勒呢？,アザゼル……ロドスもまた、一つのアザゼルのようなものなのではないでしょうか？,アーミヤ,True
character,,,,,char_013_riop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,97,,,,False
name,......阿米娅......,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,98,......阿米娅......,……アーミヤ……,前衛オペレーター,True
character,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,99,,,,False
name,我们走吧，博士。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,我们走吧，博士。,行きましょう、ドクター。,アーミヤ,True
delay,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,101,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,102,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,0,103,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,104,,,,False
