command,text_orig,key,is_skippable,fit_mode,name,intro,volume,crossfade,delay,image,fadetime,screenadapt,time,name2,focus,a,r,g,b,block,index,text,jp_text,jp_name,text_match
name,一团糟，具体的自己去看简报。,,,,诗怀雅,,,,,,,,,,,,,,,,17,一团糟，具体的自己去看简报。,めちゃくちゃよ。詳しくは自分で報告書を見て。,スワイヤー,True
name,不管之前发生了什么事，我们反攻的整体进度已经被你拖慢了。,,,,诗怀雅,,,,,,,,,,,,,,,,18,不管之前发生了什么事，我们反攻的整体进度已经被你拖慢了。,これまで何があったにせよ、私たちの反撃の進行があなたのせいで遅れたわ。,スワイヤー,True
name,现在，特别督察组应该调集近卫局的残余队伍，和罗德岛一同向近卫局出发。,,,,诗怀雅,,,,,,,,,,,,,,,,19,现在，特别督察组应该调集近卫局的残余队伍，和罗德岛一同向近卫局出发。,今、特別督察組は近衛局の残存部隊を集めて、ロドスと一緒に近衛局へ向かうべきよ。,スワイヤー,True
character,,,,,char_136_hsguma,,,,,,,,,char_308_swire_1#5,1,,,,,,20,,,,False
name,一路深入上城区吗。机动作战？似乎确实能起到效果。,,,,星熊,,,,,,,,,,,,,,,,21,一路深入上城区吗。机动作战？似乎确实能起到效果。,ずっと上層区に突入するのか。機動作戦？確かに効果はありそうだな。,ホシグマ,True
name,只不过这样的作战有什么意义？,,,,星熊,,,,,,,,,,,,,,,,22,只不过这样的作战有什么意义？,でも、こんな作戦に意味があるのか？,ホシグマ,True
character,,,,,char_136_hsguma,,,,,,,,,char_308_swire_1#5,2,,,,,,23,,,,False
name,沿路捣毁所有的整合运动据点。我们会接手你们建立的优势。,,,,诗怀雅,,,,,,,,,,,,,,,,24,沿路捣毁所有的整合运动据点。我们会接手你们建立的优势。,道中の統合運動の拠点をすべて壊滅するのよ。あなたたちの作った優位は私たちが引き継ぐわ。,スワイヤー,True
character,,,,,char_136_hsguma,,,,,,,,,char_308_swire_1#5,1,,,,,,25,,,,False
name,攻坚战。,,,,星熊,,,,,,,,,,,,,,,,26,攻坚战。,強襲戦だな。,ホシグマ,True
character,,,,,char_136_hsguma,,,,,,,,,char_308_swire_1#5,2,,,,,,27,,,,False
name,没错，趁整合运动还没立足脚跟。,,,,诗怀雅,,,,,,,,,,,,,,,,28,没错，趁整合运动还没立足脚跟。,そう、そのとおり。統合運動がまだ拠点を固めていないうちに。,スワイヤー,True
character,,,,,char_308_swire_1#5,,,,,,,,,char_010_chen_1#5,2,,,,,,29,,,,False
name,但是，摧毁据点之后，干道枢纽周边残余的整合运动会迅速合流。,,,,陈,,,,,,,,,,,,,,,,30,但是，摧毁据点之后，干道枢纽周边残余的整合运动会迅速合流。,だが、拠点を潰した後も、大通りの要所周辺に残った統合運動の連中はすぐに合流するだろう。,チェン,True
name,你根本不能保证你能坚持到我们夺回近卫局，更别说是在这之后清剿散布各处的整合运动了。,,,,陈,,,,,,,,,,,,,,,,31,你根本不能保证你能坚持到我们夺回近卫局，更别说是在这之后清剿散布各处的整合运动了。,そもそも、私たちが近衛局を奪還するまで君たちが持ちこたえられる保証はないし、それ以降分散した統合運動を一掃できるかなんて尚更だ。,チェン,True
name,我们并不需要你所谓的“建立优势”，我也不需要你来教我制订计划。,,,,陈,,,,,,,,,,,,,,,,32,我们并不需要你所谓的“建立优势”，我也不需要你来教我制订计划。,私たちは君の言う「優位の構築」なんて必要ないし、君に作戦の立て方を教えてもらう必要もない。,チェン,True
character,,,,,char_308_swire_1#5,,,,,,,,,char_010_chen_1#5,1,,,,,,33,,,,False
name,那可由不得你，陈警司，就算你是特别督查组组长、在战时拥有特别调遣权及现场执行权，你也不可能逃避所有责任的。,,,,诗怀雅,,,,,,,,,,,,,,,,34,那可由不得你，陈警司，就算你是特别督查组组长、在战时拥有特别调遣权及现场执行权，你也不可能逃避所有责任的。,それはあなたの意思だけじゃ決まらないわ、チェン警司。たとえあなたが特別督察組の組長で、戦時中は特別な指揮権と現場権限があるとしても、すべての責任から逃れることはできない。,スワイヤー,True
character,,,,,char_308_swire_1#5,,,,,,,,,char_010_chen_1#4,2,,,,,,35,,,,False
name,听你的语气，你是想挑战我。这当然可以，但不是现在。,,,,陈,,,,,,,,,,,,,,,,36,听你的语气，你是想挑战我。这当然可以，但不是现在。,その口ぶりだと、私に挑戦したいのか。当然いいが、今じゃない。,チェン,True
name,我们肩负着不同的使命，我们该做的只是执行。,,,,陈,,,,,,,,,,,,,,,,37,我们肩负着不同的使命，我们该做的只是执行。,私たちはそれぞれ違う使命を負っている。やるべきことは、ただ実行するだけだ。,チェン,True
character,,,,,char_308_swire_1#5,,,,,,,,,char_010_chen_1#4,1,,,,,,38,,,,False
name,陈警司，近卫局失守了，整个近卫局大楼都被整合运动控制着，这是你的错。,,,,诗怀雅,,,,,,,,,,,,,,,,39,陈警司，近卫局失守了，整个近卫局大楼都被整合运动控制着，这是你的错。,チェン警司、近衛局は陥落した。ビル全体が統合運動に掌握されたのは、あなたの責任よ。,スワイヤー,True
name,当龙门需要你的时候，你为什么不在龙门？,,,,诗怀雅,,,,,,,,,,,,,,,,40,当龙门需要你的时候，你为什么不在龙门？,龍門があなたを必要としていた時、なぜあなたは龍門にいなかったの？,スワイヤー,True
character,,,,,char_308_swire_1#5,,,,,,,,,char_010_chen_1#5,2,,,,,,41,,,,False
name,......,,,,陈,,,,,,,,,,,,,,,,42,......,……,チェン,True
character,,,,,char_308_swire_1#5,,,,,,,,,char_010_chen_1#5,1,,,,,,43,,,,False
name,这也是你接到的命令？,,,,诗怀雅,,,,,,,,,,,,,,,,44,这也是你接到的命令？,これもあなたが受けた命令なの？,スワイヤー,True
name,没有你的擅离职守，龙门不会失陷。,,,,诗怀雅,,,,,,,,,,,,,,,,45,没有你的擅离职守，龙门不会失陷。,あなたが職務を放棄しなければ、龍門は陥落しなかった。,スワイヤー,True
name,我替你感到羞耻，陈警司。你该马上辞职，而我会接管特别督查组。,,,,诗怀雅,,,,,,,,,,,,,,,,46,我替你感到羞耻，陈警司。你该马上辞职，而我会接管特别督查组。,私はあなたを恥ずかしく思うわ、チェン警司。今すぐ辞任すべきよ。そして私が特別督察組を引き継ぐわ。,スワイヤー,True
delay,,,,,,,,,,,,,0.5,,,,,,,,47,,,,False
blocker,,,,,,,,,,,2,,,,,1,0,0,0,true,48,,,,False
